den	на	den	на	PRO;DEF;MASC+FEM;SG	ADP;ACC
per	пер	per	пер	ADP	
vattendrag	річок	vattendrag	річка	N;NOM;INDF;NEUT;SG	N;INAN;GEN;FEM;PL
vattendrag	річки	vattendrag	річка	N;NOM;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
vattendrag	ріки	vattendrag	ріка	N;NOM;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
kanada	канаді	kanad	канада	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
kanada	канади	kanad	канада	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
kanada	канаду	kanad	канада	PROPN;NOM	PROPN;INAN;ACC;FEM;SG
kanada	канада	kanad	канада	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
högsta	supreme	hög	supreme	ADJ;NOM;DEF;RL	
högsta	максимум	hög	максимум	ADJ;NOM;DEF;RL	N;INAN;NOM;MASC;SG
högsta	найвищий	hög	найвищий	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
augusti	серпні	augusti	серпень	N;NOM;INDF;MASC+FEM;SG	ADV
augusti	серпня	augusti	серпень	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
kan	зміг	kunna	змогти	V;IND;PRS;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
kan	могла	kunna	могти	V;IND;PRS;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
kan	змогли	kunna	змогти	V;IND;PRS;FIN;ACT	V;PFV;IND;PL;PST;FIN
kan	вдалось	kunna	вдатися	V;IND;PRS;FIN;ACT	V;PFV;NEUT;IND;SG;PST;FIN
kan	міг	kunna	могти	V;IND;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
kan	можна	kunna	можна	V;IND;PRS;FIN;ACT	ADV
länkar	посиланнями	länka	посилання	N;NOM;INDF;MASC+FEM;PL	N;INAN;INS;NEUT;PL
länkar	посилань	länka	посилання	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;NEUT;PL
externa	зовнішнє	ext	зовнішній	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;NEUT;SG
externa	зовнішні	ext	зовнішній	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;PL
externa	зовнішній	ext	зовнішній	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;MASC;SG
externa	зовнішня	ext	зовнішній	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;FEM;SG
läge	mode	läge	mode	N;NOM;INDF;NEUT;SG	
även	навіть	även	навіть	ADV	PART
även	даже	även	даже	ADV	
februari	лютому	februari	лютий	N;NOM;INDF;MASC+FEM;SG	N;INAN;DAT;MASC;SG
februari	лютий	februari	лютий	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
februari	лютого	februari	лютий	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
under	підчас	under	підчи	ADP	
under	under	under	under	ADP	
lake	озера	lake	озеро	N;NOM;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
sjö	озера	sjö	озеро	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
inte	not	inte	not	PART;NEG	
sig	sig	sig	sig	PRO;ACC;DEF	
två	двох	två	два	NUM;NOM	NUM;ACC
två	двійка	två	двійка	NUM;NOM	N;INAN;NOM;FEM;SG
lac	лак	lac	лака	V;IMP;FIN;ACT	N;INAN;NOM;MASC;SG
long	довгий	long	довгий	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
long	хай	long	хай	N;NOM;INDF;MASC+FEM;SG	PART
long	лонг	long	лонг	N;NOM;INDF;MASC+FEM;SG	
long	long	long	long	N;NOM;INDF;MASC+FEM;SG	
long	довга	long	довга	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
long	довгі	long	довгий	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;PL
juni	juni	juni	juni	N;NOM;INDF;MASC+FEM;SG	
juni	червня	juni	червень	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
juni	червні	juni	червень	N;NOM;INDF;MASC+FEM;SG	ADV
lat	lat	lat	lat	N;NOM;INDF;MASC+FEM;SG	
lat	лінивий	lat	лінивий	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
lat	ліниві	lat	лінивий	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;PL
december	грудня	december	грудень	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
december	грудні	december	грудний	N;NOM;INDF;MASC+FEM;SG	ADV
växer	нарощування	växa	нарощування	V;IND;PRS;FIN;ACT	N;INAN;NOM;NEUT;SG
många	багато	mången	багато	PRO;INDF;PL	ADV
många	багатьох	mången	багато	PRO;INDF;PL	DET;ACC
nära	закрити	nära	закрити	ADV	V;PFV;NFIN
nära	близький	nära	близький	ADV	ADJ;NOM;MASC;SG
nära	близькі	nära	близький	ADV	ADJ;NOM;PL
nära	закриття	nära	закриття	ADV	N;INAN;NOM;NEUT;SG
nära	поряд	nära	поряд	ADV	
nära	біля	nära	біля	ADV	ADP;GEN
väster	вест	väster	вест	N;NOM;INDF;MASC+FEM;SG	
först	перша	först	перший	ADV	ADJ;NOM;FEM;SG
först	перший	först	перший	ADV	ADJ;NOM;MASC;SG
berg	гірський	berg	гірський	N;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
berg	гірська	berg	гірський	N;NOM;INDF;NEUT;SG	ADJ;NOM;FEM;SG
berg	берг	berg	берг	N;NOM;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
berg	гори	berg	гора	N;NOM;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
indonesien	індонезія	indonesien	індонезія	PROPN;NOM	N;INAN;NOM;FEM;SG
indonesien	індонезії	indonesien	індонезія	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
usa	сша	usa	сШа	PROPN;NOM	PROPN;INAN;GEN
usa	usa	usa	usa	PROPN;NOM	
mars	березні	mars	березень	N;NOM;INDF;MASC+FEM;SG	ADV
mars	березня	mars	березень	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
mars	марс	mars	марс	N;NOM;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
mars	mars	mars	mars	N;NOM;INDF;MASC+FEM;SG	
mindre	меншим	lite	менший	ADV;CMPR	ADJ;INS;RL;NEUT;SG
mindre	менша	lite	менший	ADV;CMPR	ADJ;NOM;RL;FEM;SG
mindre	менший	lite	менший	ADV;CMPR	ADJ;NOM;CMPR;MASC;SG
mindre	менші	lite	менші	ADV;CMPR	ADJ;NOM;RL;PL
mindre	мінор	lite	мінор	ADV;CMPR	
mindre	незначна	lite	незначний	ADV;CMPR	ADJ;NOM;FEM;SG
mindre	молодший	lite	молодший	ADV;CMPR	ADJ;NOM;CMPR;MASC;SG
mindre	незначний	lite	незначний	ADV;CMPR	ADJ;NOM;MASC;SG
mindre	молодші	lite	молодший	ADV;CMPR	ADJ;NOM;RL;PL
norr	північна	norr	північний	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
norr	норт	norr	норт	N;NOM;INDF;MASC+FEM;SG	PROPN;INAN;NOM;MASC;SG
norr	північний	norr	північний	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
oktober	жовтня	oktober	жовтень	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
oktober	жовтні	oktober	жовтень	N;NOM;INDF;MASC+FEM;SG	ADV
man	людина	man	людина	PRO;NOM;INDF;MASC+FEM;SG	N;ANIM;NOM;FEM;SG
man	чоловік	man	чоловік	PRO;NOM;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
man	мужчина	man	мужчина	PRO;NOM;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
man	man	man	man	PRO;NOM;INDF;MASC+FEM;SG	
september	вересня	september	вересень	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
september	вересні	september	вересень	N;NOM;INDF;MASC+FEM;SG	ADV
större	мажор	stor	мажор	ADJ;NOM;CMPR	N;INAN;NOM;FEM;SG
större	майор	stor	майор	ADJ;NOM;CMPR	N;ANIM;NOM;MASC;SG
större	точніше	stor	точніше	ADJ;NOM;CMPR	ADV;CMPR
större	більше	stor	більше	ADJ;NOM;CMPR	ADV;CMPR
större	більшого	stor	більший	ADJ;NOM;CMPR	ADJ;GEN;CMPR;MASC;SG
större	більшим	stor	більший	ADJ;NOM;CMPR	ADJ;INS;RL;NEUT;SG
större	більші	stor	більший	ADJ;NOM;CMPR	ADJ;NOM;RL;PL
större	більше	stor	більше	ADJ;NOM;CMPR	ADV;CMPR
större	більша	stor	більший	ADJ;NOM;CMPR	ADJ;NOM;RL;FEM;SG
centrala	central	central	central	ADJ;NOM;PL	
centrala	центральний	central	центральний	ADJ;NOM;PL	ADJ;NOM;MASC;SG
centrala	центральна	central	центральний	ADJ;NOM;PL	ADJ;NOM;FEM;SG
andra	другий	annan	другий	PRO;INDF;PL	ADJ;NOM;MASC;SG
andra	друге	annan	другий	PRO;INDF;PL	ADJ;NOM;NEUT;SG
andra	друга	annan	друг	PRO;INDF;PL	N;INAN;NOM;FEM;SG
andra	секунда	annan	секунда	PRO;INDF;PL	N;INAN;NOM;FEM;SG
andra	інший	annan	інший	PRO;INDF;PL	DET;NOM;MASC;SG
andra	інша	annan	інший	PRO;INDF;PL	DET;NOM;FEM;SG
andra	інші	annan	інший	PRO;INDF;PL	DET;NOM;PL
andra	інше	annan	інший	PRO;INDF;PL	DET;NOM;NEUT;SG
andra	інших	annan	інший	PRO;INDF;PL	DET;GEN;PL
andra	інших	annan	інший	PRO;INDF;PL	DET;GEN;PL
andra	інші	annan	інший	PRO;INDF;PL	DET;NOM;PL
andra	іншими	annan	інший	PRO;INDF;PL	DET;INS;PL
där	where	där	where	ADV	
huvudsakligen	головним	huvudsakligen	головний	ADV	ADJ;INS;NEUT;SG
huvudsakligen	основному	huvudsakligen	основний	ADV	ADJ;DAT;MASC;SG
ovanligt	незвичні	ovanlig	незвичний	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;PL
ovanligt	незвичайні	ovanlig	незвичайний	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;PL
ovanligt	незрозумілих	ovanlig	незрозумілий	ADJ;NOM;INDF;NEUT;SG	ADJ;GEN;PL
namngivna	названий	namngiven	названий	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
namngivna	назвали	namngiven	назвати	ADJ;NOM;PL;PST;V.PTCP	V;PFV;IND;PL;PST;FIN
namngivna	названо	namngiven	назвати	ADJ;NOM;PL;PST;V.PTCP	V;PFV;IND;0;FIN
söder	південна	söder	південний	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
söder	південний	söder	південний	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
jpg	jpg	jpg	jpg	N	
regionen	ділянку	region	ділянка	N;NOM;DEF;MASC+FEM;SG	N;INAN;ACC;FEM;SG
ottawa	оттава	ottal	оттава	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
creek	крік	creek	крік	N;NOM;INDF;NEUT;SG	
närmaste	найближчий	nära	найближчий	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
närmaste	найближчу	nära	найближчий	ADJ;NOM;DEF;RL	ADJ;ACC;RL;FEM;SG
närmaste	найближчий	nära	найближчий	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
november	листопада	november	листопад	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
maj	травнева	maj	травневий	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
maj	травня	maj	травень	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
maj	травневі	maj	травневий	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;PL
maj	травні	maj	травень	N;NOM;INDF;MASC+FEM;SG	ADV
maj	май	maj	май	N;NOM;INDF;MASC+FEM;SG	
cest	cest	cest	cest		
platt	платт	platt	платт	ADV	PROPN;ANIM;NOM;FEM;SG
platt	рівна	platt	рівний	ADV	N;INAN;NOM;FEM;SG
född	народження	född	народження	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;INAN;NOM;NEUT;SG
född	народився	född	народитися	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
född	борн	född	борно	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	PROPN;ANIM;NOM;MASC;SG
född	народилась	född	народитися	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
född	народилася	född	народитися	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
finland	фінляндія	finland	фінляндія	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
finland	фінляндії	finland	фінляндія	PROPN;NOM	PROPN;INAN;GEN;FEM;SG
samhälle	спільноти	samhälle	спільнота	N;NOM;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
hon	she	hon	she	PRO;NOM;DEF;MASC+FEM;SG	
platser	сидіння	plats	сидіння	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;NEUT;SG
platser	розташування	plats	розташування	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;NEUT;SG
platser	адрес	plats	адрес	N;NOM;INDF;MASC+FEM;PL	
platser	місць	plats	місце	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;NEUT;PL
platser	сайтів	plats	сайт	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL
platser	юнеско	plats	юнеско	N;NOM;INDF;MASC+FEM;PL	
första	перше	en	перше	ADJ;NOM	ADV
fick	got	få	got	V;IND;PST;FIN;ACT	
fick	отримані	få	отриманий	V;IND;PST;FIN;ACT	ADJ;PFV;NOM;PL;V.PTCP;PASS
fick	отриманий	få	отриманий	V;IND;PST;FIN;ACT	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
australien	австралія	australien	австралія	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
australien	australia	australien	australia	PROPN;NOM	
australien	австралії	australien	австралія	PROPN;NOM	PROPN;INAN;GEN;FEM;SG
april	квітня	april	квітень	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
april	квітні	april	квітний	N;NOM;INDF;MASC+FEM;SG	ADV
bar	bar	ba	bar	N;NOM;INDF;NEUT;SG	
hans	ганс	han	ганс	PRO;DEF	PROPN;ANIM;NOM;MASC;SG
södra	південь	södra	південь	ADJ;NOM;DEF;SG	N;INAN;NOM;MASC;SG
toppen	великий	topp	великий	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG
toppen	чудово	topp	чудово	N;NOM;DEF;MASC+FEM;SG	ADV
toppen	згори	topp	згори	N;NOM;DEF;MASC+FEM;SG	ADV
toppen	вгорі	topp	вгорі	N;NOM;DEF;MASC+FEM;SG	
toppen	топ	topp	топ	N;NOM;DEF;MASC+FEM;SG	
toppen	верхній	topp	верхній	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG
toppen	найпопулярніші	topp	найпопулярніший	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;RL;PL
toppen	зверху	topp	зверху	N;NOM;DEF;MASC+FEM;SG	ADV
sverige	швеція	sverige	швеція	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
sverige	швеції	sverige	швеція	PROPN;NOM	PROPN;INAN;GEN;FEM;SG
sedan	відколи	sedan	відколи	ADV	
östra	схід	östra	схід	ADJ;NOM;DEF;SG	N;INAN;NOM;MASC;SG
östra	східної	östra	східний	ADJ;NOM;DEF;SG	ADJ;GEN;FEM;SG
östra	східні	östra	східний	ADJ;NOM;DEF;SG	ADJ;NOM;PL
cet	cet	cet	cet		
genom	крізь	genom	крізь	ADP	
genom	наскрізь	genom	наскрізь	ADP	ADV
genom	передивився	genom	передивитися	ADP	V;PFV;MASC;IND;SG;PST;FIN
sitt	посади	sig	посада	PRO;DEF;NEUT;SG	N;INAN;NOM;FEM;PL
sitt	сісти	sig	сісти	PRO;DEF;NEUT;SG	V;PFV;NFIN
sitt	сидіти	sig	сидіти	PRO;DEF;NEUT;SG	V;IPFV;NFIN
kilometer	кілометр	kilomet	кілометр	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
norra	норт	norra	норт	ADJ;NOM;DEF;SG	PROPN;INAN;NOM;MASC;SG
norra	північ	norra	північ	ADJ;NOM;DEF;SG	N;INAN;NOM;FEM;SG
talet	промову	tal	промова	N;NOM;DEF;NEUT;SG	N;INAN;ACC;FEM;SG
detta	цей	denna	цей	PRO;DEF;NEUT;SG	DET;NOM;MASC;SG
detta	ця	denna	цей	PRO;DEF;NEUT;SG	DET;NOM;FEM;SG
mot	проти	mot	проти	ADP	ADV
mot	мот	mot	мот	ADP	
västra	захід	onstra	захід	ADJ;NOM;DEF;SG	N;INAN;NOM;MASC;SG
västra	вест	onstra	вест	ADJ;NOM;DEF;SG	
västra	західні	onstra	західний	ADJ;NOM;DEF;SG	ADJ;NOM;PL
del	дель	del	дель	N;NOM;INDF;MASC+FEM;SG	
del	del	del	del	N;NOM;INDF;MASC+FEM;SG	
namn	назви	namn	назва	N;NOM;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
namn	імена	namn	ім’я	N;NOM;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
vilket	какой	vilken	какой	PRO;INDF;NEUT;SG	
vilket	який	vilken	який	PRO;INDF;NEUT;SG	DET;NOM;MASC;SG
vilket	які	vilken	який	PRO;INDF;NEUT;SG	DET;NOM;PL
vilket	яке	vilken	який	PRO;INDF;NEUT;SG	DET;NOM;NEUT;SG
vilket	яка	vilken	який	PRO;INDF;NEUT;SG	DET;NOM;FEM;SG
svenska	шведська	svensk	шведський	ADJ;NOM;PL	ADJ;NOM;FEM;SG
svenska	svenska	svensk	svenska	ADJ;NOM;PL	
mellan	поміж	mellan	поміж	ADP	
svensk	шведська	svensk	шведський	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
svensk	svensk	svensk	svensk	N;NOM;INDF;MASC+FEM;SG	
cerro	серро	cerro	серро	N;NOM;INDF;MASC+FEM;SG	PROPN;INAN;NOM;FEM;SG
frankrike	франції	frankrike	франція	PROPN;NOM	PROPN;INAN;GEN;FEM;SG
frankrike	франція	frankrike	франція	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
frankrike	францію	frankrike	франція	PROPN;NOM	N;INAN;ACC;FEM;SG
död	death	död	death	N;NOM;INDF;MASC+FEM;SG	
död	смерті	död	смерть	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
död	помер	död	померти	N;NOM;INDF;MASC+FEM;SG	V;PFV;MASC;IND;SG;PST;FIN
död	померла	död	померти	N;NOM;INDF;MASC+FEM;SG	V;PFV;FEM;IND;SG;PST;FIN
död	мертвий	död	мертвий	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
död	dead	död	dead	N;NOM;INDF;MASC+FEM;SG	
kulle	хілл	kulle	хілл	N;NOM;INDF;MASC+FEM;SG	
kulle	hill	kulle	hill	N;NOM;INDF;MASC+FEM;SG	
kulle	гілл	kulle	гілл	N;NOM;INDF;MASC+FEM;SG	
kina	china	kina	china	PROPN;NOM	
kina	китаї	kina	китай	PROPN;NOM	PROPN;INAN;NOM;MASC;SG
kina	китаю	kina	китати	PROPN;NOM	PROPN;INAN;ACC;FEM;SG
kina	китай	kina	китай	PROPN;NOM	PROPN;INAN;NOM;MASC;SG
kina	кнр	kina	кнр	PROPN;NOM	
est	est	est	est	PROPN;NOM	
text	текстовий	text	текстовий	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
lista	list	lista	list	N;NOM;INDF;MASC+FEM;SG	
annat	інший	annan	інший	PRO;INDF;NEUT;SG	DET;NOM;MASC;SG
annat	інша	annan	інший	PRO;INDF;NEUT;SG	DET;NOM;FEM;SG
annat	інші	annan	інший	PRO;INDF;NEUT;SG	DET;NOM;PL
annat	інше	annan	інший	PRO;INDF;NEUT;SG	DET;NOM;NEUT;SG
