diana	diana	dian	dian		N;INDF;FEM;SG
özlem	lengsel	özlem	lengsel		N;INDF;MASC;SG
özlem	lengsel	özlem	lengsel		N;INDF;MASC;SG
tekil	unik	tekil	unik		ADJ;INDF;SG
tekil	unikt	tekil	unik		ADJ;INDF;NEUT;SG
tekil	unike	tekil	unik		ADJ;PL
tekil	entall	tekil	entall		N;INDF;NEUT;SG
abdi	abdi	abdi	abd		N;INDF;MASC;SG
leningrad	leningrad	leningrad	leningrad		N;INDF;MASC;SG
castle	castle	cast	castle		N
castle	slott	cast	slott		N;INDF;NEUT;SG
rain	regn	rain	regn		N;INDF;NEUT;SG
rain	rain	rain	rain		N;INDF;MASC;SG
eugene	eugene	eugen	euge	PROPN;NOM;SG;3	N;DEF;FEM;SG
çakmak	lightere	çak	lightere		N;INDF;FEM;SG
çakmak	lysere	çak	lysere		N;INDF;FEM;SG
çakmak	lettere	çak	lettere		N;INDF;MASC;SG
çakmak	lighter	çak	lighter		N;INDF;NEUT;SG
duyar	hører	duy	høre		V;IND;PRS;FIN
spin	spinn	spin	spinn		N;INDF;NEUT;SG
kaldırma	fjerne	kaldırma	fjern		ADJ;PL
kaldırma	fjerner	kaldırma	fjerne		N;INDF;FEM;PL
kaldırma	løft	kaldırma	løft		N;INDF;NEUT;SG
kaldırma	løfte	kaldırma	løfte		N;INDF;NEUT;SG
kaldırma	haik	kaldırma	haik		N;INDF;MASC;SG
kaldırma	fjerningen	kaldırma	fjerning		N;DEF;MASC;SG
kaldırma	fjerning	kaldırma	fjerning		N;INDF;FEM;SG
emmanuel	emmanuel	emmanuel	emmanuel		N;INDF;MASC;SG
gregory	gregory	gregory	gregory		N;INDF;MASC;SG
gregory	gregor	gregory	gregor		N;INDF;MASC;SG
aşı	vaksiner	aş	vaksin		N;INDF;FEM;PL
aşı	vaksine	aş	vaksine		N;INDF;FEM;SG
feneri	fyr	fener	fyr		N;INDF;MASC;SG
feneri	fyrtårn	fener	fyrtårn		N;INDF;NEUT;SG
feneri	fyret	fener	fyr		N;DEF;NEUT;SG
atanan	tilordnes	ata	tilordnes		N;INDF;MASC;SG
atanan	tildelte	ata	tildele		ADJ;PL;V.PTCP
atanan	tilordnet	ata	tilordne		N;DEF;NEUT;SG
atanan	tildelt	ata	tildele		ADJ;INDF;SG;V.PTCP
atanan	utnevnte	ata	utnevnte		ADJ;PL
atanan	oppnevnt	ata	oppnevne		ADJ;INDF;NEUT;SG;V.PTCP
atanan	utnevnt	ata	utnevne		ADJ;INDF;SG;V.PTCP
ahlak	moralsk	ahlak	moralsk	N;NOM;SG;3	ADJ;INDF;NEUT;SG
dimitri	dmitrij	dimitri	dmitrij		N;INDF;MASC;SG
dimitri	dmitrij	dimitri	dmitrij		N;INDF;MASC;SG
dimitri	dmitri	dimitri	dmitri		N;INDF;MASC;SG
dimitri	dimitri	dimitri	dimitri		N;INDF;MASC;SG
duyuruldu	annonsert	duyur	annonsere	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;SG;V.PTCP
duyuruldu	kunngjort	duyur	kunngjere	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;NEUT;SG;V.PTCP
malmö	malmø	malmö	malmø	PROPN;NOM;SG;3	N;INDF;MASC;SG
malmö	malmö	malmö	malmö	PROPN;NOM;SG;3	N
sözde	angivelig	söz	angivelig		ADJ;INDF;NEUT;SG
sözde	visstnok	söz	visstnok		N;INDF;MASC;SG
sözde	påståtte	söz	påstått		ADJ;PL;V.PTCP
sözde	påstått	söz	påstå		ADJ;INDF;SG;V.PTCP
sözde	antatt	söz	anta		ADJ;INDF;NEUT;SG;V.PTCP
sözde	angivelig	söz	angivelig		ADJ;INDF;NEUT;SG
şiddetle	sterkt	şiddet	sterk	N;INS;SG;3	ADJ;INDF;NEUT;SG
şiddetle	voldsomt	şiddet	voldsom	N;INS;SG;3	ADJ;INDF;NEUT;SG
şiddetle	voldsomt	şiddet	voldsom	N;INS;SG;3	ADJ;INDF;NEUT;SG
ajan	agenter	aj	agenter		N;INDF;FEM;PL
ajan	agenten	aj	agent		N;DEF;MASC;SG
ajan	agent	aj	agent		N;INDF;MASC;SG
harrison	harrison	harrison	harrison	PROPN;NOM;SG;3	N;INDF;MASC;SG
yasin	yasin	yasin	yasin		N;INDF;MASC;SG
yasin	yassin	yasin	yassin		N;INDF;MASC;SG
kaçak	runner	kaçak	runne		N;INDF;FEM;PL
kaçak	løper	kaçak	løpe		V;IND;PRS;FIN
kaçak	rømling	kaçak	rømling		N;INDF;FEM;SG
kaçak	flyktning	kaçak	flyktning		N;INDF;MASC;SG
kaçak	rømling	kaçak	rømling		N;INDF;FEM;SG
kaçak	løpske	kaçak	løpsk		ADJ;PL
çevirmen	oversetter	çevir	oversetter		N;INDF;FEM;PL
çevirmen	tolk	çevir	tolk		N;INDF;MASC;SG
çevirmen	tolken	çevir	tolk		N;DEF;MASC;SG
çevirmen	oversettelse	çevir	oversettelse		N;INDF;MASC;SG
çevirmen	oversettelsen	çevir	oversettelse		N;DEF;MASC;SG
korunma	beskyttelse	korun	beskyttelse		ADJ;INDF;SG
işçiler	arbeidere	işçi	arbeidere	N;NOM;PL;3	N;INDF;FEM;SG
işçiler	ansatte	işçi	ansatte	N;NOM;PL;3	N;INDF;FEM;SG
işçiler	medarbeidere	işçi	medarbeidere	N;NOM;PL;3	V;NFIN
devil	djevel	devil	djevel		N;INDF;MASC;SG
connecticut	connecticut	connecticut	connecticut		N
uyku	luren	uyku	lur		N;DEF;MASC;SG
uyku	lur	uyku	lur		ADJ;INDF;SG
uyku	blund	uyku	blund		N;INDF;MASC;SG
uyku	nap	uyku	nap		N;INDF;SG
uyku	sleep	uyku	sleep		N;INDF;NEUT;SG
uyku	søvn	uyku	søvn		N;INDF;MASC;SG
uyku	sove	uyku	sove		N;INDF;NEUT;SG
uyku	sovende	uyku	sovende		ADJ;PL;V.PTCP
uyku	sover	uyku	sove		N;INDF;MASC;SG
meksikalı	meksikansk	meksikalı	meksikansk		ADJ;INDF;SG
tanıma	anerkjennelse	tanım	anerkjennelse		N;INDF;MASC;SG
tanıma	erkjennelse	tanım	erkjennels		N;INDF;FEM;SG
colin	colin	colin	colin		PROPN
golcü	toppscorer	golcü	toppscore		N;INDF;FEM;PL
kubbe	kuppel	kubbe	kuppel		N;INDF;MASC;SG
kubbe	kuppelen	kubbe	kuppel		N;DEF;MASC;SG
rakam	sifre	rakam	sifre		N;INDF;MASC;SG
rakam	sifret	rakam	sifr		N;DEF;NEUT;SG
rakam	tall	rakam	tall		N;INDF;NEUT;SG
rakam	nummer	rakam	nummer		N;INDF;NEUT;SG
rakam	number	rakam	number		N
rakam	antall	rakam	antall		N;INDF;NEUT;SG
jules	jules	jules	jules		N;INDF;MASC;SG
görüşmeler	diskusjoner	görüşme	diskusjon	N;NOM;PL;3	N;INDF;NEUT;SG
görüşmeler	møter	görüşme	møte	N;NOM;PL;3	V;IND;PRS;FIN
imal	fremstilt	imal	fremstille		ADJ;INDF;SG;V.PTCP
imal	produsert	imal	produsere		ADJ;INDF;SG;V.PTCP
patrik	patriark	patrik	patriark		N;INDF;MASC;SG
asil	noble	asil	nobel		ADJ;PL
asil	edel	asil	edel		N;INDF;MASC;SG
asil	edle	asil	edle		N;INDF;NEUT;SG
asil	edelt	asil	edel		ADJ;INDF;NEUT;SG
sürpriz	overraskelse	sürpriz	overraskelse		N;INDF;MASC;SG
hotspur	hotspur	hotspur	hotspur	PROPN;NOM;SG;3	N;INDF;MASC;SG
biter	slutter	bit	slutte	V;IPFV;IND;SG;3;POS	V;IND;PRS;FIN
biter	avsluttes	bit	avsluttes	V;IPFV;IND;SG;3;POS	N;INDF;MASC;SG
esnek	fleksibelt	esnek	fleksibel		ADJ;INDF;NEUT;SG
esnek	fleksible	esnek	fleksibel		ADJ;PL
esnek	fleksibel	esnek	fleksibel		ADJ;INDF;SG
esnek	fleksibilitet	esnek	fleksibilitet		N;INDF;MASC;SG
esnek	elastisk	esnek	elastisk		ADJ;INDF;NEUT;SG
esnek	flex	esnek	flex		N;INDF;SG
cameron	cameron	cameron	cameron	PROPN;NOM;SG;3	N;INDF;MASC;SG
lopez	lopez	lopez	lopez		N;INDF;MASC;SG
şikâyet	klagen	şikâyet	klag		N;DEF;MASC;SG
şikâyet	klage	şikâyet	klage		N;INDF;FEM;SG
kalıntılar	gjenstår	kalıntı	gjenstå	N;NOM;PL;3	V;IND;PRS;FIN
kalıntılar	forblir	kalıntı	forblir	N;NOM;PL;3	V;IND;PRS;FIN
günah	synd	günah	synd		N;INDF;FEM;SG
günah	synden	günah	synd		N;DEF;MASC;SG
günah	overtredelser	günah	overtredelser		N;INDF;NEUT;SG
günah	synder	günah	synd		N;INDF;FEM;PL
günah	syndene	günah	synd		N;DEF;FEM;PL
mide	magen	mide	mage		N;DEF;MASC;SG
mide	mage	mide	mage		N;INDF;MASC;SG
parma	parma	parma	parma	PROPN;NOM;SG;3	N;INDF;MASC;SG
mehdi	mehdi	mehdi	mehdi		N;INDF;MASC;SG
denizci	sailor	denizci	sailor		N;INDF;MASC;SG
denizci	sjømann	denizci	sjømann		N;INDF;MASC;SG
denizci	marinesoldat	denizci	marinesoldat		N;INDF;MASC;SG
denizci	marine	denizci	marin		N;INDF;MASC;SG
rika	rika	rika	rike	PROPN;NOM;SG;3	N;DEF;NEUT;PL
ömrü	livssyklus	ömrü	livssyklus		N;INDF;MASC;SG
joel	joel	joel	joel		N;INDF;MASC;SG
elena	elena	elen	elena		N;INDF;FEM;SG
elena	jelena	elen	jelena		N;INDF;MASC;SG
elena	jelena	elen	jelena		N;INDF;MASC;SG
vestfalya	westfalen	vestfalya	westfalen	PROPN;NOM;SG;3	N;DEF;MASC;SG
crystal	crystal	crystal	crystal	PROPN;NOM;SG;3	N;INDF;MASC;SG
crystal	krystall	crystal	krystall	PROPN;NOM;SG;3	N;INDF;NEUT;SG
julian	julian	julian	julian		N;INDF;MASC;SG
beklenmedik	uventede	bekle	uventede	V;PFV;POT;PL;1;NEG;PST	N;INDF;MASC;SG
beklenmedik	uventet	bekle	uvent	V;PFV;POT;PL;1;NEG;PST	N;DEF;NEUT;SG
duyarlı	lydhør	duyarlı	lydhør		N;INDF;MASC;SG
duyarlı	mottakelig	duyarlı	mottakelig		N;INDF;MASC;SG
duyarlı	sensitivt	duyarlı	sensitiv		ADJ;INDF;NEUT;SG
duyarlı	sensitive	duyarlı	sensitiv		ADJ;PL
duyarlı	følsom	duyarlı	følsom		N;INDF;MASC;SG
duyarlı	følsomt	duyarlı	følsom		ADJ;INDF;NEUT;SG
duyarlı	sensitiv	duyarlı	sensitiv		ADJ;INDF;NEUT;SG
şampiyonları	mestere	şampiyon	mestere	N;NOM;PL;3	N;INDF;MASC;SG
fritz	fritz	fritz	fritz	PROPN;NOM;SG;3	N;INDF;MASC;SG
etken	factor	etken	factor		N;INDF;MASC;SG
etken	faktor	etken	faktor		N;INDF;MASC;SG
zincir	kjettinger	zincir	kjetting	N;NOM;SG;3	N;INDF;FEM;PL
zincir	lenker	zincir	lank	N;NOM;SG;3	N;INDF;FEM;PL
depo	varehuset	depo	varehus		N;DEF;NEUT;SG
depo	lageret	depo	lager		N;DEF;NEUT;SG
depo	lagring	depo	lagring		N;INDF;FEM;SG
depo	lagringsplass	depo	lagringsplass		N;INDF;MASC;SG
depo	oppbevaring	depo	oppbevaring		N;INDF;FEM;SG
nişan	aim	nişan	aim		NUM
nişan	sikter	nişan	sikter		N;INDF;MASC;SG
nişan	sikt	nişan	sikt		N;INDF;FEM;SG
nişan	sikte	nişan	sikte		N;INDF;NEUT;SG
nişan	april	nişan	april		N;INDF;MASC;SG
nişan	engasjement	nişan	engasjement		N;INDF;NEUT;SG
nişan	forlovelse	nişan	forlovelse		N;INDF;MASC;SG
burton	burton	burton	burton		N;INDF;MASC;SG
stanford	stanford	stanford	stanford	PROPN;NOM;SG;3	N;INDF;NEUT;SG
hac	pilegrimsreisen	hac	pilegrimsreis		N;DEF;MASC;SG
planlı	planlagte	planlı	planleggje		ADJ;PL;V.PTCP
planlı	planlagt	planlı	planleggje		ADJ;INDF;NEUT;SG;V.PTCP
planlı	planlagt	planlı	planleggje		ADJ;INDF;NEUT;SG;V.PTCP
çerçeve	rammer	çerçev	ramme	N;NOM;SG;3	N;INDF;FEM;PL
artı	arti	artı	arti		N;INDF;MASC;SG
artı	plus	artı	plus		N;INDF;NEUT;SG
artı	pluss	artı	pluss		N;INDF;NEUT;SG
protokol	protokoll	protokol	protokoll		N;INDF;MASC;SG
edinburgh	edinburgh	edinburgh	edinburgh	PROPN;NOM;SG;3	N;INDF;MASC;SG
cadde	street	cadde	stre	N;NOM;SG;3	PROPN
tanımlama	definisjon	tanımla	definisjon	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
tanımlama	defining	tanımla	defining	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
tanımlama	identifisering	tanımla	identifisering	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
tanımlama	identifikasjon	tanımla	identifikasjon	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
tanımlama	skildring	tanımla	skildring	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
tanımlama	beskrivelse	tanımla	beskrivelse	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
tanımlama	beskrivelsen	tanımla	beskrivels	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;MASC;SG
rovers	rovers	rovers	rovers		N;INDF;MASC;SG
yatan	legger	yat	legg		V;IND;PRS;FIN
yatan	ligger	yat	ligger		V;IND;PRS;FIN
tutulması	eclipse	tut	eclipse	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;MASC;SG
jedi	jedi	jedi	jedi		N;INDF;MASC;SG
