של	shel	של	shel	PART;GEN	N;INDF;SG
רבים	mangen	רב	mang	V;MASC;PL;V.PTCP;ACT	N;DEF;MASC;SG
רבים	mange	רב	mange	V;MASC;PL;V.PTCP;ACT	ADJ;PL
רבים	flertall	רב	flertall	V;MASC;PL;V.PTCP;ACT	N;INDF;NEUT;SG
בה	hennes	ב	hennes		N;INDF;MASC;SG
בה	henne	ב	ho		PRO;ACC;FEM;SG;3
אין	ingen	None	ingen	ADV;NEG	PRO;PL;3;NEG
אביב	aviv	אביב	aviv	N;MASC;SG	PROPN
אביב	spring	אביב	springe	N;MASC;SG	V;IND;PRS;FIN
שנה	årevis	שנה	årevis	N;FEM;SG	ADV
נולד	born	נולד	barn	V;MASC;SG;3;PST;MID	N;INDF;NEUT;PL
נולד	født	נולד	føde	V;MASC;SG;3;PST;MID	ADJ;INDF;SG;V.PTCP
הערות	notat	הערה	notat	N;FEM;PL	N;INDF;NEUT;SG
הערות	notater	הערה	notat	N;FEM;PL	N;INDF;MASC;SG
חלק	del	חלק	dele	N;MASC;SG	V;IMP;FIN
חלק	glatt	חלק	glatt	N;MASC;SG	ADJ;INDF;NEUT;SG
לפני	before	לפני	brfor	ADP	N;INDF;NEUT;SG
אחת	one	אחת	one	NUM;FEM;SG	
אחת	en	אחת	en	NUM;FEM;SG	
אחת	ett	אחת	ett	NUM;FEM;SG	
אחת	én	אחת	én	NUM;FEM;SG	
ביולי	juli	ביולי	juli	PROPN	N;INDF;MASC;SG
ביולי	july	ביולי	july	PROPN	N
שוליים	marginer	שול	margin	N;MASC;PL	N;INDF;NEUT;SG
שוליים	ytterliggående	שול	ytterliggående	N;MASC;PL	N;INDF;NEUT;SG
שוליים	marg	שול	marg	N;MASC;PL	N;INDF;MASC;SG
שוליים	margin	שול	margin	N;MASC;PL	N;INDF;MASC;SG
להיות	being	היה	being	V;POS;NFIN	N;INDF;NEUT;SG
באוקטובר	oktober	באוקטובר	oktober	PROPN	N;INDF;MASC;SG
באוקטובר	october	באוקטובר	october	PROPN	N
באוקטובר	okt	באוקטובר	okt	PROPN	N
באוקטובר	oct	באוקטובר	oct	PROPN	NUM
בשם	navngitt	בשם	navngitt		N;INDF;MASC;SG
בשם	oppkalt	בשם	oppkalt		ADJ;INDF;SG;V.PTCP
במקום	isteden	במקום	isted	ADP	N;INDF;MASC;SG
במקום	istedet	במקום	isted	ADP	N;DEF;NEUT;SG
במקום	istedenfor	במקום	istedenfor	ADP	N;INDF;MASC;SG
אותה	hennes	None	hennes	PRO;ACC;FEM;SG;3	N;INDF;MASC;SG
החל	begynte	None	begynne	ADP	V;IND;PST;FIN
החל	starter	None	starte	ADP	V;IND;PRS;FIN
החל	begynner	None	begynne	ADP	V;IND;PRS;FIN
הרב	herb	הרב	herb		N;INDF;MASC;SG
ארצות	land	ארץ	land	N;FEM;PL	N;INDF;NEUT;SG
מן	manna	מן	manne	ADP	N;DEF;NEUT;SG
בינואר	januar	בינואר	januar		N;INDF;MASC;SG
במרץ	marsjer	במרץ	marsje	PROPN	N;INDF;MASC;SG
במרץ	march	במרץ	march	PROPN	N
במרץ	marsj	במרץ	marsj	PROPN	N;INDF;MASC;SG
במרץ	mars	במרץ	mars	PROPN	N;INDF;MASC;SG
במרץ	marsjere	במרץ	marsjere	PROPN	V;NFIN
חיים	liv	חיים	liv	PROPN	N;INDF;NEUT;SG
חיים	livet	חיים	liv	PROPN	N;DEF;NEUT;SG
חיים	life	חיים	life	PROPN	N;INDF;MASC;SG
חיים	chaim	חיים	chaim	PROPN	N;INDF;MASC;SG
חיים	haim	חיים	haim	PROPN	N;INDF;MASC;SG
המאה	århundre	המאה	århundre		N;INDF;NEUT;SG
בנובמבר	november	בנובמבר	november	ADV	N;INDF;MASC;SG
בדצמבר	desember	בדצמבר	desember	PROPN	N;INDF;MASC;SG
לי	lee	ל	le		PROPN
בבית	hjemme	בבית	hjemme		
בבית	heime	בבית	heime		ADP
בבית	hjem	בבית	hjem		N;INDF;NEUT;SG
בבית	hjemmet	בבית	hjem		N;DEF;NEUT;SG
בבית	home	בבית	home		N;INDF;NEUT;SG
בפברואר	februar	בפברואר	februar	ADV	N;INDF;MASC;SG
אלו	desse	אלו	desse	PRO;PL;3	PRO;PL;3
אלו	disse	אלו	disse	PRO;PL;3	N;INDF;NEUT;SG
אחר	andre	אחר	annan	ADP	DET;PL
אחר	annet	אחר	annet	ADP	N;INDF;NEUT;SG
אחר	annen	אחר	annen	ADP	N;INDF;MASC;SG
אחר	annet	אחר	annet	ADP	N;INDF;NEUT;SG
אחר	else	אחר	else	ADP	N;INDF;MASC;SG
בני	benny	בני	benny	PROPN	N;INDF;NEUT;SG
בני	sønn	בני	sønn	PROPN	N;INDF;MASC;SG
בני	son	בני	son	PROPN	N;INDF;MASC;SG
בעיקר	hovedsakelig	בעיקר	hovedsakelig	ADV	N;INDF;FEM;SG
בעיקר	hovedsaklig	בעיקר	hovedsaklig	ADV	ADJ;INDF;NEUT;SG
בעיקר	hovedsakelig	בעיקר	hovedsakelig	ADV	N;INDF;FEM;SG
בעיקר	mest	בעיקר	mykje	ADV	ADJ;INDF;RL
ללא	without	ללא	without	ADP	N;INDF;NEUT;SG
ללא	uten	ללא	uten	ADP	N;INDF;NEUT;SG
שונים	annerledes	שונה	annerledes	ADJ;MASC;PL	N;INDF;MASC;SG
שונים	forskjellig	שונה	forskjellig	ADJ;MASC;PL	ADJ;INDF;NEUT;SG
אדם	menneskelig	אדם	menneskelig	N;MASC;SG	ADJ;INDF;NEUT;SG
כלל	regelen	כלל	regel	ADV	N;DEF;MASC;SG
כלל	regel	כלל	regel	ADV	N;INDF;MASC;SG
עוד	fleire	עוד	mange	ADV	ADJ;CMPR
עוד	fler	עוד	fler	ADV	N;INDF;NEUT;SG
עוד	flere	עוד	flere	ADV	
עוד	mer	עוד	mer	ADV	N;INDF;MASC;SG
עוד	meir	עוד	mykje	ADV	ADJ;CMPR
עוד	mere	עוד	mere	ADV	N;INDF;MASC;SG
דבר	snakke	דבר	snakke	N;MASC;SG	V;NFIN
אחרים	andre	אחר	annan	ADJ;MASC;PL	DET;PL
אחרים	annet	אחר	annet	ADJ;MASC;PL	N;INDF;NEUT;SG
אחרים	annen	אחר	annen	ADJ;MASC;PL	N;INDF;MASC;SG
אחרים	andre	אחר	annan	ADJ;MASC;PL	DET;PL
ספר	fortelle	ספר	fortelje	N;MASC;SG	V;IMP;NFIN
לה	hennes	ל	hennes		N;INDF;MASC;SG
לה	henne	ל	ho		PRO;ACC;FEM;SG;3
זכה	vinnes	זכה	vinnas	V;MASC;SG;3;PST;ACT	N;INDF;NEUT;SG
זכה	vunnet	זכה	vunn	V;MASC;SG;3;PST;ACT	N;DEF;NEUT;SG
זכה	won	זכה	won	V;MASC;SG;3;PST;ACT	N
זכה	vant	זכה	venje	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
אחרי	after	אחרי	after	ADP	N;INDF;NEUT;SG
אחרי	etterpå	אחרי	etterpå	ADP	ADV
אחרי	efter	אחרי	efter	ADP	
אולם	imidlertid	אולם	imidlertid	CONJ	N;INDF;FEM;SG
הן	de	הוא	de	PRO;FEM;PL;3	PRO;HUM;NOM;PL;2
הן	they	הוא	they	PRO;FEM;PL;3	N
אלה	desse	אלה	desse	PRO;MASC;PL;3	PRO;PL;3
אלה	disse	אלה	disse	PRO;MASC;PL;3	N;INDF;NEUT;SG
אלה	ella	אלה	ell	PRO;MASC;PL;3	N;INDF;MASC;SG
אלה	elleville	אלה	ellevill	PRO;MASC;PL;3	ADJ;PL
אלה	gudinne	אלה	gudinne	PRO;MASC;PL;3	N;INDF;FEM;SG
ירושלים	jerusalem	ירושלים	jerusalem	PROPN	N;INDF;MASC;SG
המדינה	stat	המדין	stat	V;FEM;SG;3;PST;ACT	N;INDF;MASC;SG
המדינה	staten	המדין	stat	V;FEM;SG;3;PST;ACT	N;DEF;MASC;SG
המדינה	delstater	המדין	delstater	V;FEM;SG;3;PST;ACT	N;INDF;MASC;PL
המדינה	state	המדין	state	V;FEM;SG;3;PST;ACT	PROPN
המדינה	tilstand	המדין	tilstand	V;FEM;SG;3;PST;ACT	N;INDF;MASC;SG
המדינה	delstat	המדין	delstat	V;FEM;SG;3;PST;ACT	N;INDF;MASC;SG
מקום	sted	מקום	stå	N;MASC;SG	
מאוד	svært	מאוד	svær	ADV	ADJ;INDF;NEUT;SG
מאוד	very	מאוד	very	ADV	
מאוד	meget	מאוד	meget	ADV	N;DEF;NEUT;SG
מאוד	veldig	מאוד	veldig	ADV	ADJ;INDF;NEUT;SG
יהודים	jødisk	יהודי	jødisk	N;MASC;PL	ADJ;INDF;SG
יהודים	jødiske	יהודי	jødisk	N;MASC;PL	ADJ;PL
רבות	mangt	רב	mangt	N;FEM;PL	N;INDF;MASC;SG
רבות	mangen	רב	mang	N;FEM;PL	N;DEF;MASC;SG
רבות	mange	רב	mange	N;FEM;PL	ADJ;PL
כמה	some	כמה	some	DET;PSSD	N
כמה	noen	כמה	noen	DET;PSSD	
כמה	enkelte	כמה	enkelt	DET;PSSD	ADJ;PL
מטר	fot	מטר	fot	PROPN	N;INDF;MASC;SG
מטר	føtter	מטר	føtte	PROPN	N;INDF;FEM;PL
מטר	meter	מטר	meter	PROPN	N;INDF;MASC;PL
מטר	meter	מטר	meter	PROPN	N;INDF;MASC;PL
מטר	meter	מטר	meter	PROPN	N;INDF;MASC;PL
דרך	via	דרך	via		ADP
דרך	gjennom	דרך	gjennom		ADP
דרך	through	דרך	through		
דרך	igjennom	דרך	igjennom		ADP
דרך	veg	דרך	veg		N;INDF;MASC;SG
דרך	måte	דרך	måte		N;INDF;MASC;SG
דרך	way	דרך	way		N
שנת	årsmodell	שנה	årsmodell	N;PSSD;FEM;SG	N;INDF;MASC;SG
שנת	året	שנה	år	N;PSSD;FEM;SG	N;DEF;NEUT;SG
שנת	år	שנה	år	N;PSSD;FEM;SG	N;INDF;NEUT;SG
יכול	kunne	None	kunne	V;MASC;SG;V.PTCP	V;IND;PST;FIN
יכול	kan	None	kunne	V;MASC;SG;V.PTCP	V;IND;PRS;FIN
יכול	can	None	cann	V;MASC;SG;V.PTCP	N
בעלי	ektemann	בעל	ektemann	N;PSSD;MASC;PL	N;INDF;MASC;SG
יחד	sammen	יחד	sam	ADV	
יחד	together	יחד	together	ADV	N;INDF;MASC;SG
בשל	moden	בשל	moden	ADP	ADJ;INDF;SG
בשל	modne	בשל	modne	ADP	ADJ;PL
בשל	ripe	בשל	ripe	ADP	N;INDF;NEUT;SG
פרס	belønning	פרס	belønning	PROPN	N;INDF;FEM;SG
פרס	dusør	פרס	dusør	PROPN	N;INDF;MASC;SG
פרס	premie	פרס	premie	PROPN	N;INDF;MASC;SG
פרס	utmerkelse	פרס	utmerkelse	PROPN	N;INDF;MASC;SG
פרס	award	פרס	award	PROPN	N;INDF;MASC;SG
ראו	rao	ראה	rao	V;PL;3;PST;ACT	N
דוד	dodd	דוד	dodd	PROPN	N;INDF;MASC;SG
דוד	onkel	דוד	onkel	PROPN	N;INDF;MASC;SG
דוד	onkelen	דוד	onkel	PROPN	N;DEF;MASC;SG
דוד	david	דוד	david	PROPN	N;INDF;MASC;SG
שלה	hennes	של	hennes		N;INDF;MASC;SG
שלה	hennes	של	hennes		N;INDF;MASC;SG
שלה	henne	של	ho		PRO;ACC;FEM;SG;3
בנוסף	plus	בנוסף	plus	ADV	N;INDF;NEUT;SG
בנוסף	pluss	בנוסף	pluss	ADV	N;INDF;NEUT;SG
תחת	ass	תחת	ass	ADP	N
תחת	rumpe	תחת	rumpe	ADP	N;INDF;FEM;SG
תחת	rumpa	תחת	rumpe	ADP	N;DEF;FEM;SG
תחת	rumpe	תחת	rumpe	ADP	N;INDF;FEM;SG
כתב	skreiv	כתב	skrive	N;MASC;SG	V;IND;PST;FIN
הקבוצה	gruppe	הקבוצה	gruppe	PROPN	N;INDF;FEM;SG
הקבוצה	gruppen	הקבוצה	grupp	PROPN	N;DEF;MASC;SG
הערך	verdien	הערך	verdi		N;DEF;MASC;SG
הערך	verdi	הערך	verdi		N;INDF;MASC;SG
היום	today	היום	today	ADV	N;INDF;MASC;SG
היום	idag	היום	idag	ADV	N;INDF;MASC;SG
רבי	rabbi	רבי	rabbi	PROPN	N;INDF;MASC;SG
רבי	rabbiner	רבי	rabbiner	PROPN	N;INDF;FEM;PL
מי	kven	מי	kven	ADV	PRO;HUM
מי	who	מי	who	ADV	N
מי	hvem	מי	hvem	ADV	N;INDF;MASC;SG
למרות	tross	למרות	tross	ADP	N;INDF;NEUT;SG
למרות	selvom	למרות	selvom	ADP	N;INDF;MASC;SG
למרות	skjønt	למרות	skjøne	ADP	ADJ;INDF;NEUT;SG;V.PTCP
למרות	though	למרות	though	ADP	N
אחרות	andre	אחר	annan	ADJ;FEM;PL	DET;PL
אותם	them	None	them	PRO;ACC;MASC;PL;3	
אותם	dem	None	dem	PRO;ACC;MASC;PL;3	
המלחמה	krigen	המלחם	krig	PROPN	N;DEF;MASC;SG
המלחמה	krig	המלחם	krig	PROPN	N;INDF;MASC;SG
שונות	annerledes	שונה	annerledes	ADJ;FEM;PL	N;INDF;MASC;SG
שונות	forskjellig	שונה	forskjellig	ADJ;FEM;PL	ADJ;INDF;NEUT;SG
הארץ	jorden	הארץ	jord		N;DEF;MASC;SG
הארץ	jorda	הארץ	jord		N;DEF;FEM;SG
הארץ	jord	הארץ	jord		N;INDF;FEM;SG
הארץ	earth	הארץ	earth		N
תאריך	årstall	תאריך	årstall	PROPN	N;INDF;MASC;SG
תאריך	dato	תאריך	dato	PROPN	N;INDF;MASC;SG
תאריך	date	תאריך	date	PROPN	N;INDF;MASC;SG
בלבד	only	בלבד	only	ADV	
בלבד	kun	בלבד	kun	ADV	N;INDF;NEUT;SG
עבר	forbi	עבר	forbi	N;MASC;SG	ADP
עבר	flytta	עבר	flytte	N;MASC;SG	ADJ;INDF;SG;V.PTCP
עבר	flyttet	עבר	flytt	N;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
עבר	bestått	עבר	bestå	N;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
אפשר	aktivere	אפשר	aktivere	V	V;NFIN
אפשר	aktiver	אפשר	aktiver	V	ADJ;PL
אפשר	tillat	אפשר	tillat	V	N;INDF;MASC;SG
אפשר	tillate	אפשר	tillate	V	ADJ;INDF;NEUT;SG;V.PTCP
מרכז	sentral	מרכז	sentral	N;MASC;SG	ADJ;INDF;SG
מרכז	sentralt	מרכז	sentral	N;MASC;SG	ADJ;INDF;NEUT;SG
שימוש	bruke	שימוש	bruke	N;MASC;SG	V;NFIN
שימוש	bruker	שימוש	bruke	N;MASC;SG	V;IND;PRS;FIN
שימוש	bruke	שימוש	bruke	N;MASC;SG	V;NFIN
שיש	marmor	שיש	marmor		N;INDF;MASC;SG
רוב	meste	רוב	mykje	N;MASC;SG	ADJ;DEF;RL
רוב	mest	רוב	mykje	N;MASC;SG	ADJ;INDF;RL
רוב	rob	רוב	rob	N;MASC;SG	PROPN
כולל	inkluderende	כלל	inkluderende	V;MASC;SG;V.PTCP;ACT	ADJ;PL;V.PTCP
כולל	inklusiv	כלל	inklusiv	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
כולל	deriblant	כלל	deriblant	V;MASC;SG;V.PTCP;ACT	N;INDF;NEUT;SG
כולל	inklusive	כלל	inklusiv	V;MASC;SG;V.PTCP;ACT	ADJ;PL
כולל	inkludert	כלל	inkludere	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;SG;V.PTCP
כולל	inkludert	כלל	inkludere	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;SG;V.PTCP
גדול	large	גדול	larg	ADJ;MASC;SG	N
גדול	big	גדול	big	ADJ;MASC;SG	N;INDF;SG
גדול	store	גדול	stor	ADJ;MASC;SG	ADJ;PL
גדול	flotte	גדול	flott	ADJ;MASC;SG	ADJ;PL
ישראלים	israelske	ישראלי	israelsk	N;MASC;PL	ADJ;PL
ישראלים	israelsk	ישראלי	israelsk	N;MASC;PL	ADJ;INDF;SG
ישראלים	israelerne	ישראלי	israelerne	N;MASC;PL	ADJ;PL;V.PTCP
ישראלים	israelere	ישראלי	israelere	N;MASC;PL	V;NFIN
מאז	siden	מאז	siden	ADV	
יהודי	jødisk	יהודי	jødisk	N;MASC;SG	ADJ;INDF;SG
יהודי	jødiske	יהודי	jødisk	N;MASC;SG	ADJ;PL
סוג	snill	סוג	snill	N;MASC;SG	ADJ;INDF;SG
סוג	skriv	סוג	skrive	N;MASC;SG	V;IMP;FIN
ראשון	søndag	ראשון	søndag	PROPN	N;INDF;MASC;SG
ראשון	rishon	ראשון	rishon	PROPN	N;INDF;MASC;SG
ראשון	første	ראשון	første	PROPN	ADJ;DEF;SG
ראשון	først	ראשון	først	PROPN	ADV
ראשון	forst	ראשון	forst	PROPN	N;INDF;MASC;SG
ראשון	first	ראשון	first	PROPN	N
מידע	opplysninger	מידע	opplysninger	N;MASC;SG	N;INDF;FEM;PL
מידע	dataene	מידע	data	N;MASC;SG	N;DEF;FEM;PL
אנשים	mennesker	איש	menneske	N;MASC;PL	N;INDF;MASC;SG
קובץ	fil	קובץ	fil	PROPN	N;INDF;MASC;SG
דקות	minutter	דקה	minutter	N;FEM;PL	N;INDF;MASC;SG
צריך	trenge	צריך	trenge	V;MASC;SG	V;IMP;NFIN
צריך	treng	צריך	trenge	V;MASC;SG	V;IND;PRS;FIN
צריך	need	צריך	need	V;MASC;SG	N
צריך	behov	צריך	behov	V;MASC;SG	N;INDF;NEUT;SG
צריך	trenger	צריך	trenger	V;MASC;SG	V;IND;PRS;FIN
צריך	skulle	צריך	skulle	V;MASC;SG	V;IND;PST;FIN
צריך	bør	צריך	burde	V;MASC;SG	V;IND;PRS;FIN
צריך	burde	צריך	burde	V;MASC;SG	V;IND;PST;FIN
ויקיפדיה	wikipedia	ויקיפדיה	wikipedia	PROPN	N;DEF;NEUT;SG
השם	namn	השם	namn		N;INDF;NEUT;SG
השם	navnet	השם	navn		N;DEF;NEUT;SG
השם	navn	השם	navn		N;INDF;NEUT;SG
בתוך	innenfor	בתוך	innenfor	ADP	
בתוך	inside	בתוך	inside	ADP	N
בתוך	innsiden	בתוך	innside	ADP	N;DEF;MASC;SG
בתוך	innvendig	בתוך	innvendig	ADP	ADJ;INDF;NEUT;SG
בתוך	innenfor	בתוך	innenfor	ADP	
בתוך	innen	בתוך	innen	ADP	
האדם	person	האדם	person		N;INDF;MASC;SG
האדם	personen	האדם	person		N;DEF;MASC;SG
מול	mol	מול	mol	ADP	N;INDF;NEUT;SG
שלהם	sine	של	sin		PRO;PL
שלהם	deres	של	deres		N;INDF;MASC;SG
שלהם	deres	של	deres		N;INDF;MASC;SG
שלהם	dems	של	dems		N;INDF;MASC;SG
הכנסת	knesset	הכנסה	kness	N;PSSD;FEM;SG	N;DEF;NEUT;SG
הכנסת	synagogen	הכנסה	synagog	N;PSSD;FEM;SG	N;DEF;MASC;SG
הכנסת	synagoge	הכנסה	synagog	N;PSSD;FEM;SG	N;INDF;MASC;SG
וגם	òg	וגם	òg		ADV
וגם	også	וגם	også		ADV
הים	sjøs	הים	sjøs		N;INDF;MASC;SG
הים	sea	הים	seie		N;INDF;MASC;SG
הים	hav	הים	hav		N;INDF;NEUT;SG
הים	havet	הים	hav		N;DEF;NEUT;SG
השיר	sang	השיר	sang	ADV	N;INDF;MASC;SG
השיר	låt	השיר	låt	ADV	N;INDF;MASC;SG
השיר	sangen	השיר	sang	ADV	N;DEF;MASC;SG
השיר	song	השיר	song	ADV	N;INDF;MASC;SG
בזמן	mens	בזמן	mens	PROPN	CONJ
חדש	nyhet	חדש	nyh	ADJ;MASC;SG	N;INDF;MASC;SG
חדש	nye	חדש	ny	ADJ;MASC;SG	ADJ;PL
חדש	new	חדש	new	ADJ;MASC;SG	N;INDF;SG
השלישי	iii	השליש	iii	PROPN	DET
השלישי	tredje	השליש	tredje	PROPN	ADJ;DEF;SG
השלישי	third	השליש	third	PROPN	N
משה	moses	משה	moses	PROPN	N;INDF;MASC;SG
משה	moshe	משה	moshe	PROPN	PROPN
גרמניה	tysk	גרמניה	tysk	PROPN	N;INDF;MASC;SG
גרמניה	tyskland	גרמניה	tyskland	PROPN	PROPN
יורק	york	יורק	york	PROPN	N;INDF;MASC;SG
הממשלה	regjering	הממשלה	regjering	PROPN	N;INDF;FEM;SG
חיל	korps	חיל	korps	PROPN	N;INDF;NEUT;SG
יהודה	yehuda	יהודה	yehud	PROPN	N;DEF;FEM;SG
יהודה	judas	יהודה	jud	PROPN	N;GEN;DEF;FEM;SG
יהודה	juda	יהודה	jud	PROPN	N;DEF;FEM;SG
יהודה	judah	יהודה	judah	PROPN	N;INDF;FEM;SG
מעל	overstått	מעל	overstå	ADP	ADJ;INDF;SG;V.PTCP
מעל	bortom	מעל	bortom	ADP	N;INDF;MASC;SG
מעל	ovenfor	מעל	ovenfor	ADP	N;INDF;NEUT;SG
מעל	above	מעל	above	ADP	N
