strasbourg	strasbourg	strasbourg	strasbourg	N;INDF;MASC;SG	PROPN;NOM
crima	brott	crimă	brott	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
crima	crime	crimă	crime	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
gotic	gotiska	gotic	gotisk	N;INDF;MASC;SG	ADJ;NOM;PL
tre	tre	tre	tre		NUM;NOM
roz	rosa	roz	rosa		N;NOM;INDF;MASC+FEM;SG
ahmed	ahmed	ahmed	ahmed	PROPN	PROPN;NOM
latine	latin	latin	latin	ADJ;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
frunzele	löv	frunză	löv	N;DEF;FEM;PL	N;NOM;INDF;NEUT;SG
frunzele	löven	frunză	löv	N;DEF;FEM;PL	N;NOM;DEF;NEUT;PL
frunzele	blad	frunză	blad	N;DEF;FEM;PL	N;NOM;INDF;NEUT;SG
moscovei	moskva	moscovă	moskva	PROPN;DEF;FEM;SG	PROPN;NOM
kashmir	kashmir	kashmir	kashmir	PROPN	PROPN;NOM
belgian	belgiska	belgian	belgisk	N;INDF;MASC;SG	ADJ;NOM;PL
belgian	belgare	belgian	belgare	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
belgian	belgisk	belgian	belgisk	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
belgian	belgiskt	belgian	belgisk	N;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
parohiala	provinsiell	parohială	provinsiell	N;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
pierderile	förlust	pierdere	förlust	N;DEF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
pierderile	förluster	pierdere	förlust	N;DEF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
naviga	segla	naviga	segla	V;IND;SG;3;IPFV;FIN	V;IMP;FIN;ACT
naviga	segel	naviga	segel	V;IND;SG;3;IPFV;FIN	N;NOM;INDF;NEUT;SG
includerea	inkludering	includere	inkludering	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
includerea	integration	includere	integration	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
simona	simona	simona	simon	N;DEF;FEM;SG	PROPN;NOM
joachim	joachim	joachim	joachim	PROPN	PROPN;NOM
formal	formellt	formal	formell	ADV	ADJ;NOM;INDF;NEUT;SG
formal	formella	formal	formell	ADV	ADJ;NOM;PL
formal	formell	formal	formell	ADV	ADJ;NOM;INDF;MASC+FEM;SG
formal	formellt	formal	formell	ADV	ADJ;NOM;INDF;NEUT;SG
austin	austin	austin	austin	PROPN	PROPN;NOM
filozofia	filosofin	filozofie	filosofi	N;DEF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
filozofia	filosofi	filozofie	filosofi	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
aedes	aedes	aedes	aede	PROPN	V;FIN;PASS
implicarea	delaktighet	implicare	delaktighet	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
implicarea	engagemang	implicare	engagemang	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
implicarea	inblandning	implicare	inblandning	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
wall	logg	wall	logg	PROPN	N;NOM;INDF;NEUT;SG
wall	väggen	wall	vägg	PROPN	N;NOM;DEF;MASC+FEM;SG
wall	vägg	wall	vägg	PROPN	N;NOM;INDF;MASC+FEM;SG
wall	mur	wall	mur	PROPN	N;NOM;INDF;MASC+FEM;SG
harald	harald	harald	harald	PROPN	PROPN;NOM
autonome	självständig	autonom	självständig	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG
autonome	autonom	autonom	autonom	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG
village	byn	villag	byn	PROPN	N;NOM;DEF;MASC+FEM;SG
village	by	villag	by	PROPN	N;NOM;INDF;MASC+FEM;SG
village	village	villag	village	PROPN	N;NOM;INDF;NEUT;SG
raspandirea	spridning	raspandire	spridning	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
raspandirea	sprider	raspandire	sprida	N;DEF;FEM;SG	V;IND;PRS;FIN;ACT
raspandirea	sprida	raspandire	sprida	N;DEF;FEM;SG	V;IMP;NFIN;ACT
raspandirea	sprida	raspandire	sprida	N;DEF;FEM;SG	V;IMP;NFIN;ACT
raspandirea	spridning	raspandire	spridning	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
raspandirea	spridit	raspandire	spridit	N;DEF;FEM;SG	V;V.CVB;ACT
raspandirea	sprid	raspandire	sprid	N;DEF;FEM;SG	V;IMP;FIN;ACT
intensa	intensivt	intensa	intensiv	ADJ;DEF;FEM;SG	ADV
intensa	intensiv	intensa	intensiv	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
intensa	intensiva	intensa	intensiv	ADJ;DEF;FEM;SG	ADJ;NOM;PL
intensa	intensivt	intensa	intensiv	ADJ;DEF;FEM;SG	ADV
intensa	intensiv	intensa	intensiv	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
intensa	intensiva	intensa	intensiv	ADJ;DEF;FEM;SG	ADJ;NOM;PL
mutata	flyttade	mutată	flytta	ADJ;DEF;FEM;SG	V;IND;PST;FIN;ACT
mutata	flyttat	mutată	flytta	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
mutata	rörd	mutată	rörd	ADJ;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
mutata	flyttad	mutată	flytta	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
stramtoarea	sundet	stramtoare	sund	N;DEF;FEM;SG	N;NOM;DEF;NEUT;SG
stramtoarea	sund	stramtoare	sund	N;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
refugiat	flykting	refugiat	flykting	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
ungara	ungerska	ungar	ungerska	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ungara	ungrare	ungar	ungrare	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;PL
ungara	ungersk	ungar	ungersk	N;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
scazuta	låga	scazuta	låg	ADJ;DEF;FEM;SG	ADJ;NOM;PL
scazuta	lågt	scazuta	låg	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
scazuta	low	scazuta	low	ADJ;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
scazuta	låg	scazuta	låg	ADJ;DEF;FEM;SG	INTJ
compune	komponera	compune	komponera	V;IND;SG;3;PRS;FIN	V;IMP;FIN;ACT
exterioara	utvändigt	exterior	utvändig	ADJ;DEF;FEM;SG	ADV
exterioara	yttre	exterior	yttre	ADJ;DEF;FEM;SG	ADJ;NOM;CMPR
exterioara	utvändig	exterior	utvändig	ADJ;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
interventie	interventioner	interventie	intervention	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;PL
interventie	ingripande	interventie	ingripande	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
interventie	intervention	interventie	intervention	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
galilor	gallien	gal	gallien	N;DEF;MASC;PL	PROPN;NOM
galilor	galler	gal	galler	N;DEF;MASC;PL	N;NOM;INDF;NEUT;SG
fenomene	fenomen	fenomen	fenom	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
austrieci	österrikiska	austriac	österrikisk	N;INDF;MASC;PL	ADJ;NOM;PL
austrieci	österrikisk	austriac	österrikisk	N;INDF;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
costume	passar	costum	passa	N;INDF;FEM;PL	V;IND;PRS;FIN;ACT
grija	omsorg	grijă	omsorg	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
grija	omtanke	grijă	omtanke	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
grija	omtänksam	grijă	omtänksam	N;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
grija	skötsel	grijă	skötsel	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
grija	bryr	grijă	bryra	N;DEF;FEM;SG	V;IMP;FIN;ACT
grija	omsorg	grijă	omsorg	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
grija	vård	grijă	vård	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
grija	care	grijă	care	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
corul	kören	cor	köra	N;DEF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
modelele	modeller	model	modell	N;DEF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
modelele	modellerna	model	modell	N;DEF;FEM;PL	N;NOM;DEF;MASC+FEM;PL
modelele	förlagor	model	förlaga	N;DEF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
indeplini	uppfylla	indeplin	uppfylla	V;IND;SG;3;PRS;FIN	V;IMP;FIN;ACT
reich	riket	reich	rike	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
reich	rikets	reich	rike	N;INDF;MASC;SG	N;GEN;DEF;NEUT;SG
józsef	józsef	józsef	jags	PROPN	PROPN;NOM
originile	ursprung	origine	ursprung	N;DEF;FEM;PL	N;NOM;INDF;NEUT;SG
khan	khan	khan	khan	PROPN	PROPN;NOM
mutarea	rörliga	mutare	rörlig	N;DEF;FEM;SG	ADJ;NOM;PL
mutarea	flytta	mutare	flytta	N;DEF;FEM;SG	V;IMP;FIN;ACT
mutarea	flytt	mutare	flytt	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
mutarea	flyttar	mutare	flytta	N;DEF;FEM;SG	V;IND;PRS;FIN;ACT
moscheea	moské	moschee	moské	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
moscheea	moskén	moschee	moskén	N;DEF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
latimea	bredd	latimă	bredd	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ladislau	ladislaus	ladisla	ladislaus	V;IND;PL;3;IPFV;FIN	N;NOM;INDF;MASC+FEM;SG
cooper	coopers	cooper	coop	N;INDF;MASC;SG	PROPN;GEN
cooper	cooper	cooper	coop	N;INDF;MASC;SG	PROPN;NOM
invazie	invasion	invazie	invasion	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
invazie	invasionen	invazie	invasion	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
ehf	ehf	ehf	ehf	N	PROPN;NOM
dealuri	kullarna	deal	kull	N;INDF;FEM;PL	N;NOM;DEF;MASC+FEM;PL
dealuri	hills	deal	hills	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
danny	danny	danny	danny	PROPN	PROPN;NOM
determinata	beslutsam	determinat	beslutsam	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
determinata	fastställd	determinat	fastställd	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
determinata	bestämd	determinat	bestämd	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
tag	taggen	tag	tagg		N;NOM;DEF;MASC+FEM;SG
tag	tagga	tag	tagga		V;IMP;FIN;ACT
tag	tagg	tag	tagg		N;NOM;INDF;MASC+FEM;SG
perete	väggen	perete	vägg	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
amenajare	montering	amenajare	montering	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
amenajare	passande	amenajare	passa	N;INDF;FEM;SG	ADJ;NOM;PRS;V.PTCP
nicholas	nikolaj	nicholas	nikolaj	PROPN	PROPN;NOM
nicholas	nicholas	nicholas	nichola	PROPN	PROPN;NOM
istoricii	historiker	istoric	historik	N;DEF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
straina	utrikes	straină	utrikes	ADJ;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
straina	utländska	straină	utländsk	ADJ;DEF;FEM;SG	ADJ;NOM;PL
straina	utländsk	straină	utländsk	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
straina	utländskt	straină	utländsk	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
straina	främmande	straină	främmande	ADJ;DEF;FEM;SG	ADJ;NOM
iubit	älskade	iubit	älskad	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
iubit	älskade	iubit	älskad	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
iubit	pojkvän	iubit	pojkvän	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
iubit	pojkvännen	iubit	pojkvänn	ADJ;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
entitate	väsen	entitate	väs	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
entitate	enhet	entitate	enhet	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
platina	platina	platină	platin	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
rezolva	löser	rezolva	lösa	V;IND;SG;3;IPFV;FIN	V;IND;PRS;FIN;ACT
rezolva	lösa	rezolva	lösa	V;IND;SG;3;IPFV;FIN	V;IMP;FIN;ACT
rezolva	lös	rezolva	lö	V;IND;SG;3;IPFV;FIN	N;NOM;INDF;MASC+FEM;SG
rezolva	löser	rezolva	lösa	V;IND;SG;3;IPFV;FIN	V;IND;PRS;FIN;ACT
rezolva	lösa	rezolva	lösa	V;IND;SG;3;IPFV;FIN	V;IMP;FIN;ACT
rezolva	lös	rezolva	lö	V;IND;SG;3;IPFV;FIN	N;NOM;INDF;MASC+FEM;SG
continental	continental	continental	continental	ADV	N;NOM;INDF;MASC+FEM;SG
continental	kontinental	continental	kontinental	ADV	N;NOM;INDF;MASC+FEM;SG
continental	kontinentala	continental	kontinental	ADV	ADJ;NOM;PL
caesar	caesar	caesar	caes	N;INDF;MASC;SG	PROPN;NOM
cruci	kryss	cruce	kryss	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
cruci	korsar	cruce	korsa	N;INDF;FEM;PL	V;IND;PRS;FIN;ACT
cruci	kors	cruce	kors	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
pierdute	förlorat	pierdut	förlora	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
pierdute	förlorad	pierdut	förlorad	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
pierdute	vilse	pierdut	vilse	ADJ;INDF;FEM;PL	ADV
pierdute	lost	pierdut	lost	ADJ;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
perioadele	perioder	perioadă	period	N;DEF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
ilustreaza	åskådliggör	ilustrațză	åskådliggöra	V;IND;SG;3;IPFV;FIN	V;IND;PRS;FIN;ACT
ilustreaza	illustrerar	ilustrațză	illustrera	V;IND;SG;3;IPFV;FIN	V;IND;PRS;FIN;ACT
ilustreaza	illustrerar	ilustrațză	illustrera	V;IND;SG;3;IPFV;FIN	V;IND;PRS;FIN;ACT
ilustreaza	illustrera	ilustrațză	illustrera	V;IND;SG;3;IPFV;FIN	V;IMP;FIN;ACT
cardinal	kardinalen	cardinal	kardinal	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
clare	clare	clar	clare	ADJ;INDF;FEM;PL	PROPN;NOM
mostenit	ärvde	mostenit	ärvde	ADJ;INDF;MASC;SG	V;IND;PST;FIN;ACT
mostenit	ärvt	mostenit	ärva	ADJ;INDF;MASC;SG	V;V.CVB;ACT
mostenit	ärvde	mostenit	ärvde	ADJ;INDF;MASC;SG	V;IND;PST;FIN;ACT
mostenit	ärvt	mostenit	ärva	ADJ;INDF;MASC;SG	V;V.CVB;ACT
curentului	aktuell	curent	aktuell	N;DEF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
curentului	nuvarande	curent	nuvarande	N;DEF;MASC;SG	ADJ;NOM;PRS;V.PTCP
curentului	aktuellt	curent	aktuell	N;DEF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
curentului	aktuella	curent	aktuell	N;DEF;MASC;SG	ADJ;NOM;PL
destinatie	destination	destinatie	destination	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
destinatie	destinationen	destinatie	destination	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
destinatie	resmål	destinatie	resmål	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
destinatie	destination	destinatie	destination	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
destinatie	destinationen	destinatie	destination	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
destinatie	resmål	destinatie	resmål	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
hawaii	hawaii	hawai	hawaii	PROPN	N;NOM;INDF;MASC+FEM;SG
sunetul	sound	sunet	sound	N;DEF;MASC;SG	N;NOM;INDF;NEUT;SG
sunetul	ljudet	sunet	ljud	N;DEF;MASC;SG	N;NOM;DEF;NEUT;SG
sunetul	ljud	sunet	ljud	N;DEF;MASC;SG	N;NOM;INDF;NEUT;SG
gama	gamma	gamă	gamma	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
baby	bebis	baby	bebis		N;NOM;INDF;MASC+FEM;SG
baby	älskling	baby	älskling		N;NOM;INDF;MASC+FEM;SG
evaluarea	värderingen	evaluare	värdering	N;DEF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
evaluarea	värdering	evaluare	värdering	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
evaluarea	bedömning	evaluare	bedömning	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
evaluarea	utvärdering	evaluare	utvärdering	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
evaluarea	utvärdering	evaluare	utvärdering	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
evaluarea	bedömning	evaluare	bedömning	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
danez	danska	danez	dansk	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
raportat	anmälda	raporta	anmäla	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
raportat	rapporterade	raporta	rapportera	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
raurilor	floder	raură	flod	N;DEF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
raurilor	vattendrag	raură	vattendrag	N;DEF;FEM;PL	N;NOM;INDF;NEUT;SG
raurilor	floderna	raură	flod	N;DEF;FEM;PL	N;NOM;DEF;MASC+FEM;PL
raurilor	rivers	raură	rivars	N;DEF;FEM;PL	PROPN;GEN
paula	paula	paulă	paula	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
acoperis	taket	acoperis	taket	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
acoperis	taket	acoperis	taket	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
acoperis	taket	acoperis	taket	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
legala	rättsligt	legală	rättslig	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
legala	rättslig	legală	rättslig	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
legala	lagligt	legală	laglig	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
legala	juridiska	legală	juridisk	ADJ;DEF;FEM;SG	ADJ;NOM;PL
legala	rättsliga	legală	rättslig	ADJ;DEF;FEM;SG	ADJ;NOM;PL
civili	civila	civil	civil	N;INDF;MASC;PL	ADJ;NOM;PL
elisabeth	elisabet	elisabeth	elisabet	PROPN	PROPN;NOM
elisabeth	elisabeth	elisabeth	elisabeth	PROPN	PROPN;NOM
citeste	läs	citesc	läsa	V;IND;SG;3;PRS;FIN	V;IMP;FIN;ACT
citeste	läst	citesc	läsa	V;IND;SG;3;PRS;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
citeste	läsa	citesc	läsa	V;IND;SG;3;PRS;FIN	V;IMP;FIN;ACT
citeste	läste	citesc	läsa	V;IND;SG;3;PRS;FIN	V;IMP;FIN;ACT
citeste	läs	citesc	läsa	V;IND;SG;3;PRS;FIN	V;IMP;FIN;ACT
citeste	läst	citesc	läsa	V;IND;SG;3;PRS;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
citeste	läsa	citesc	läsa	V;IND;SG;3;PRS;FIN	V;IMP;FIN;ACT
citeste	läste	citesc	läsa	V;IND;SG;3;PRS;FIN	V;IMP;FIN;ACT
variate	varierad	variat	variera	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
variate	varierat	variat	variera	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
bros	bros	bros	bros	PROPN	PROPN;NOM
prabusit	störtade	prabusi	störta	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
prabusit	kraschade	prabusi	kraschad	ADJ;INDF;MASC;SG	V;IND;PST;V.PTCP;ACT
prabusit	kraschat	prabusi	kraschat	ADJ;INDF;MASC;SG	V;V.CVB;ACT
prabusit	rasat	prabusi	rasat	ADJ;INDF;MASC;SG	V;V.CVB;ACT
prabusit	kollapsade	prabusi	kollapsad	ADJ;INDF;MASC;SG	V;IND;PST;V.PTCP;ACT
clasificate	klassificerat	clasificat	klassificerad	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
clasificate	klassificeras	clasificat	klassificera	ADJ;INDF;FEM;PL	V;IND;NFIN;PASS
clasificate	annonser	clasificat	annons	ADJ;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
pic	befälhavare	pic	befälhavare	ADV	N;NOM;INDF;MASC+FEM;SG
pic	pic	pic	pic	ADV	N;NOM;INDF;NEUT;SG
pic	plc	pic	plc	ADV	PROPN;NOM
administrare	förvaltning	administrare	förvaltning	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
administrare	administration	administrare	administration	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
cereale	säd	cereală	säd	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
cereale	spannmål	cereală	spannmål	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
cereale	spannmål	cereală	spannmål	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
cereale	spannmål	cereală	spannmål	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
warren	warren	warren	farr	PROPN	PROPN;NOM
parlamentara	parlamentarisk	parlamentar	parlamentarisk	N;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
parlamentara	parlamentariska	parlamentar	parlamentarisk	N;DEF;FEM;SG	ADJ;NOM;PL
ferenc	ferenc	ferenc	ferenc	PROPN	PROPN;NOM
pictori	målare	pictor	mål	N;INDF;MASC;PL	N;NOM;INDF;MASC+FEM;SG
stein	stein	stein	stein	N;INDF;MASC;SG	PROPN;NOM
basel	basel	basel	basel	PROPN	PROPN;NOM
étienne	étienne	étienne	étienne	PROPN	PROPN;NOM
trafic	trafiken	trafic	trafik	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
baraj	dammen	baraj	damm	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
islamica	islamisk	islamică	islamisk	N;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
islamica	islamistiska	islamică	islamistisk	N;DEF;FEM;SG	ADJ;NOM;PL
islamica	islamiska	islamică	islamisk	N;DEF;FEM;SG	ADJ;NOM;PL
islamica	islamska	islamică	islamsk	N;DEF;FEM;SG	ADJ;NOM;PL
deriva	driva	deriva	driva	V;IND;SG;3;IPFV;FIN	V;IMP;NFIN;ACT
deriva	drift	deriva	drift	V;IND;SG;3;IPFV;FIN	N;NOM;INDF;MASC+FEM;SG
deriva	drivande	deriva	drivande	V;IND;SG;3;IPFV;FIN	ADJ;NOM;PRS;V.PTCP
deriva	driver	deriva	driva	V;IND;SG;3;IPFV;FIN	V;IND;PRS;FIN;ACT
deriva	driva	deriva	driva	V;IND;SG;3;IPFV;FIN	V;IMP;NFIN;ACT
deriva	drift	deriva	drift	V;IND;SG;3;IPFV;FIN	N;NOM;INDF;MASC+FEM;SG
balta	damm	baltă	damm	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
aires	aires	aires	aires	PROPN	N;NOM;INDF;NEUT;SG
roberts	roberts	roberts	robert	PROPN	PROPN;GEN
kingdom	kingdom	kingdom	kingdom	N;INDF;MASC;SG	PROPN;NOM
kingdom	kungariket	kingdom	kungarik	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
amandoi	båda	amandoi	båda		PRO;DEF;PL
amandoi	både	amandoi	både		CONJ
statuie	staty	statuie	staty	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
tennessee	tennessee	tennessee	tennesse	PROPN	PROPN;NOM
mostenirea	arv	mostenire	arv	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
mostenirea	efterlevande	mostenire	efterlevande	N;DEF;FEM;SG	ADJ;NOM;PRS;V.PTCP
