분류	מיון	분류	מיון	N	
문서	תיעוד	문서	תיעוד	N	
문서	המסמך	문서	המסמך	N	PROPN
그림	התמונה	그림	התמונה	N	V;FEM;SG;3;PST
그림	התמונה	그림	התמונה	N	V;FEM;SG;3;PST
지역	האזור	지역	האזור	N	PROPN
목록	הרשימה	목록	הרשים	N	V;FEM;SG;3;PST;ACT
한국	קוריאנית	한국	קורינני	PROPN	PROPN
한국	קוריאני	한국	קוריאני	PROPN	PROPN
한국	קוריאה	한국	קוריאה	PROPN	PROPN
주로	ברובו	주로	ברובו	ADV	
주로	לרוב	주로	ררוב	ADV	
많이	המון	많이	המון	ADV	
도시	טאון	도시	טאון	N	PROPN
도시	העיר	도시	העיר	N	V;MASC;SG;3;PST;ACT
도시	העיר	도시	העיר	N	V;MASC;SG;3;PST;ACT
도시	הערים	도시	הערים	N	V;MASC;SG;3;PST;ACT
도시	עירונית	도시	עירוני	N	ADV
도시	עירוני	도시	עירוני	N	PROPN
프랑스	צרפתי	프랑스	צרפתי	PROPN	PROPN
프랑스	צרפתית	프랑스	צרפתית	PROPN	PROPN
프랑스	צרפתים	프랑스	צרפתי	PROPN	N;MASC;PL
프랑스	צרפת	프랑스	צרפת	PROPN	PROPN
가수	זמרת	가수	זמרת	N	PROPN
가수	זמר	가수	זמר	N	PROPN
도쿄	טוקיו	도쿄	טוקיו	PROPN	PROPN
중국	חרסינה	중국	חרסינה	PROPN	N;FEM;SG
중국	סין	중국	סין	PROPN	PROPN
죽음	המוות	죽음	המווה	N	
죽음	מות	죽음	מוות	N	
전쟁	המלחמה	전쟁	המלחם	N	PROPN
독일	גרמני	독일	גרמני	PROPN	N;MASC;SG
독일	גרמנית	독일	גרמנית	PROPN	PROPN
독일	גרמנים	독일	גרמני	PROPN	N;MASC;PL
독일	גרמניה	독일	גרמניה	PROPN	PROPN
독일	גרמניה	독일	גרמניה	PROPN	PROPN
다음	הבא	다음	הבא	N	PROPN
직업	איוב	직업	איוב	N	
대학	המכללה	대학	המכללה	N	
동안	בזמן	동안	בזמן		PROPN
한국어	קוריאנית	한국어	קורינני		PROPN
한국어	קוריאני	한국어	קוריאני		PROPN
자료	דאטה	자료	דאטה	N	PROPN
이름	השם	이름	השם	N	
이름	שם	이름	שם	N	ADV
음반	האלבום	음반	האלבום	N	PROPN
일부	כמה	일부	כמה	N	DET;PSSD
일부	חלקם	일부	חלקם	N	
영국	בריטים	영국	בריטי	PROPN	N;MASC;PL
영국	בריטי	영국	בריטי	PROPN	N;MASC;SG
영국	בריטית	영국	בריטי	PROPN	PROPN
야구	בייסבול	야구	בייסבול	N	PROPN
역사	היסטורית	역사	היסטורי	N	ADV
역사	היסטורי	역사	היסטורי	N	PROPN
시간	הזמן	시간	הזמן	N	
시간	טיים	시간	טיים	N	PROPN
기타	אחרים	기타	אחר	N	ADJ;MASC;PL
기타	אחר	기타	אחר	N	ADP
기타	שונות	기타	שונה	N	ADJ;FEM;PL
기타	אחרות	기타	אחר	N	ADJ;FEM;PL
기타	אחרים	기타	אחר	N	ADJ;MASC;PL
기타	ואחרים	기타	ואחר	N	PROPN
기타	עוד	기타	עוד	N	ADV
기타	יותר	기타	יותר	N	ADV
애니메이션	אנימציה	애니메이션	אנימציה		N;FEM;SG
애니메이션	אנימציה	애니메이션	אנימציה		N;FEM;SG
애니메이션	אנימה	애니메이션	אנימה		PROPN
애니메이션	אנימציות	애니메이션	אנימציה		N;FEM;PL
구역	האזור	구역	האזור	N	PROPN
로마	רומן	로마	רומן	PROPN	PROPN
로마	רומי	로마	רומי	PROPN	PROPN
로마	רומא	로마	רומא	PROPN	PROPN
로마	רומא	로마	רומא	PROPN	PROPN
우승	מנצחת	우승	ניצח	N	V;FEM;SG;V.PTCP;ACT
대회	הטורניר	대회	הטורניר	N	PROPN
제작	הפיק	제작	הפיק	N	V;MASC;SG;3;PST;ACT
제작	מיוצר	제작	יוצר	N	V;MASC;SG;V.PTCP;PASS
수도	הון	수+도	הון		N;MASC;SG
국제	international	국제	קגקגק		PROPN
국제	בינלאומית	국제	בינלאומית		PROPN
국제	בינלאומי	국제	בינלאומי		PROPN
국제	הבינלאומי	국제	הבינלאומי		PROPN
청소년	הנוער	청소년	הנוער	N	
청소년	מתבגר	청소년	התבגר	N	V;MASC;SG;V.PTCP
청소년	מתבגרת	청소년	התבגר	N	V;FEM;SG;V.PTCP
청소년	ילדותי	청소년	ילדותי	N	ADJ;MASC;SG
가지	חציל	가지	חציל		PROPN
영어	אנגלית	영어	אנגלית		PROPN
남자	בנאדם	남자	בנאדם	N	ADV
프로	מקצועיות	프로	מקצועיות		N;FEM;PL
프로	מקצוען	프로	מקצוען		PROPN
프로	מקצועית	프로	מקצועי		ADV
프로	מקצועי	프로	מקצועי		ADJ;MASC;SG
프로	מקצוען	프로	מקצוען		PROPN
프로	פרו	프로	פרו		PROPN
아들	בני	아들	בני	N	PROPN
아들	בן	아들	בן	N	PROPN
활동	פעילה	활동	פעיל	N	ADJ;FEM;SG
역시	תחנה	역시	תחנה	ADV	N;FEM;SG
역시	תחנת	역시	תחנה	ADV	N;FEM;SG
이상	אידיאלי	이상	אידיאלי	N	ADJ;MASC;SG
국가	ארצי	국가	ארצי	N	PROPN
국가	המדינה	국가	המדין	N	V;FEM;SG;3;PST;ACT
철도	רכבת	철도	רכבת		N;FEM;SG
철도	מסילות	철도	מסילות		N;FEM;PL
철도	רכבת	철도	רכבת		N;FEM;SG
그룹	חבורה	그룹	חבורה		N;FEM;SG
그룹	הקבוצה	그룹	הקבוצה		PROPN
그룹	קבוצה	그룹	קבוצה		N;FEM;SG
그룹	קבוצות	그룹	קבוצה		N;FEM;PL
마지막	אחרונה	마지막	אחרון	N	ADJ;FEM;SG
마지막	האחרון	마지막	האחרון	N	PROPN
마지막	אחרונים	마지막	אחרון	N	ADJ;MASC;PL
마지막	אחרון	마지막	אחרון	N	ADJ;MASC;SG
설명	הכיתוב	설명	הכיתוב	N	PROPN
설명	תסביר	설명	הסביר	N	V;MASC;SG;2;FUT;ACT
설명	להסביר	설명	הסביר	N	V;NFIN;ACT
설명	תאר	설명	תאר	N	
설명	לתאר	설명	תיאר	N	V;NFIN;ACT
설명	תארי	설명	תואר	N	PROPN
설명	התיאור	설명	התיאור	N	PROPN
시대	עידן	시대	עידן	N	PROPN
대통령	נשיאה	대통령	נשיאה	N	PROPN
대통령	הנשיא	대통령	הנשיא	N	PROPN
가운데	ממורכז	가운데	ממורכז	N	V;MASC;SG;V.PTCP;PASS
가운데	ביניים	가운데	ביניים	N	
가운데	התיכון	가운데	התיכון	N	PROPN
가운데	האמצע	가운데	האמצע	N	
교통	התנועה	교통	התנועה	N	V;MASC;SG;3;PST
계속	המשך	계속	המשך		N;MASC;SG
러시아	רוסיה	러시아	רוסיה	PROPN	PROPN
직접	ישירה	직접	ישיר		ADV
날짜	תאריך	날짜	תאריך		PROPN
날짜	התאריך	날짜	התאריך		ADV
날짜	דייט	날짜	דייט		PROPN
날짜	תאריכים	날짜	תאריך		N;MASC;PL
인물	תו	인물	תו	N	
유럽	אירופה	유럽	אירופה	PROPN	PROPN
싱글	רווקים	싱글	רווק		N;MASC;PL
싱글	יחיד	싱글	יחיד		ADJ;MASC;SG
싱글	סינגל	싱글	סינגל		PROPN
싱글	רווקה	싱글	רווק		PROPN
싱글	רווק	싱글	רווק		PROPN
요청	בקשי	요청	בקש	N	PROPN
요청	בקש	요청	בקש	N	PROPN
노래	לשיר	노래	השיר	N	
노래	שירו	노래	שירו	N	
노래	שירה	노래	שירה	N	
노래	השיר	노래	השיר	N	ADV
이탈리아	איטליה	이탈리아	איטליה	PROPN	PROPN
이탈리아	איטלקית	이탈리아	איטלקית	PROPN	PROPN
이탈리아	איטלקי	이탈리아	איטלקי	PROPN	PROPN
차단	רחובות	차단	רחובות	N	PROPN
차단	חוסם	차단	חסם	N	V;MASC;SG;V.PTCP;ACT
차단	בלוק	차단	בלוק	N	PROPN
차단	חסום	차단	חסום	N	ADJ;MASC;SG
차단	לחסום	차단	חסם	N	V;NFIN;ACT
차단	נחסמה	차단	נחסם	N	V;FEM;SG;3;PST;MID
차단	חסום	차단	חסום	N	ADJ;MASC;SG
차단	נחסם	차단	נחסם	N	
처음	ראשון	처음	ראשון	N	PROPN
처음	קודם	처음	קודם	N	ADV
처음	ראשית	처음	ראשית	N	ADV
처음	תחילה	처음	תחילה	N	ADV
불교	בודהיזם	불교	בודהיזם	N	PROPN
불교	בודהיסטי	불교	בודהיסטי	N	PROPN
채널	ערוץ	채널	ערוץ	N	
시리즈	סדרה	시리즈	סדרה		N;FEM;SG
시리즈	סידרה	시리즈	סדרה		N;FEM;SG
시리즈	סדרת	시리즈	סדרה		N;FEM;SG
삭제	מוחקת	삭제	הוחק	N	V;FEM;SG;V.PTCP;PASS
삭제	מוחק	삭제	מוחק	N	V;MASC;SG;V.PTCP;ACT
삭제	להסיר	삭제	הסיר	N	V;NFIN;ACT
삭제	הסר	삭제	הסר	N	
삭제	למחוק	삭제	מחק	N	V;NFIN;ACT
삭제	מחק	삭제	מחק	N	
뉴욕	nyc	뉴욕	nyc	PROPN	PROPN
항공	אייר	항공	אייר	N	PROPN
항공	אויר	항공	אויר	N	PROPN
이전	קודמת	이전	קודם	N	ADJ;FEM;SG
이전	הקודם	이전	הקודם	N	PROPN
이전	קודמים	이전	קדם	N	V;MASC;PL;V.PTCP;ACT
이전	לפני	이전	לפני	N	ADP
만든	עשה	만들+ㄴ	עשה		V;MASC;SG;3;PST;ACT
만든	הכין	만들+ㄴ	הכין		V;MASC;SG;3;PST;ACT
전투	קרבית	전투	קרבית	N	ADV
전투	קרבי	전투	קרבי	N	PROPN
아버지	אבא	아버지	אבא	N	
아버지	אבי	아버지	אבי	N	PROPN
어느	אשר	어느	אשר	DET	CONJ
어느	איזה	어느	איזה	DET	
지정	שצוין	지정	שצוין	N	
지정	צוין	지정	צוין	N	V;MASC;SG;3;PST;PASS
지정	ציין	지정	ציין	N	V;MASC;SG;3;PST;ACT
지정	לפרט	지정	פירט	N	V;NFIN;ACT
지정	לציין	지정	ציין	N	V;NFIN;ACT
변경	משתנה	변경	השתנה	N	V;MASC;SG;V.PTCP
변경	משתנה	변경	השתנה	N	V;MASC;SG;V.PTCP
변경	שינויי	변경	שינוי	N	ADJ;MASC;PL
변경	עודף	변경	עודף	N	
작곡	הלחין	작곡	הלחין	N	V;MASC;SG;3;PST;ACT
설치	התקין	설치	התקין	N	
설치	מותקן	설치	הותקן	N	V;MASC;SG;V.PTCP;PASS
설치	התקן	설치	התקן	N	
설치	להתקין	설치	התקין	N	V;NFIN;ACT
기록	תקליט	기록	הקליט	N	PROPN
업데이트	מעודכנת	업데이트	עודכן	N	V;FEM;SG;V.PTCP;PASS
업데이트	מעודכן	업데이트	עודכן	N	V;MASC;SG;V.PTCP;PASS
업데이트	עודכן	업데이트	עודכן	N	PROPN
업데이트	מעודכנים	업데이트	עודכן	N	V;MASC;PL;V.PTCP;PASS
업데이트	עדכני	업데이트	עדכן	N	ADJ;MASC;SG
업데이트	העדכון	업데이트	העדכון	N	PROPN
업데이트	עדכן	업데이트	עדכן	N	PROPN
업데이트	מעדכן	업데이트	עדכן	N	V;MASC;SG;V.PTCP;ACT
업데이트	עדכוני	업데이트	עדכון	N	PROPN
앨범	האלבום	앨범	האלבום	N	PROPN
출연	בכיכובו	출연	בכיכובו	N	
출연	מככב	출연	מככב	N	V;MASC;SG;V.PTCP;ACT
출연	כיכבה	출연	כיכב	N	V;FEM;SG;3;PST;ACT
편집	ערוך	편집	ערך	N	PROPN
편집	ערכי	편집	ערך	N	
최고	best	최고	best	N	
외국인	זר	외국인	זר		ADJ;MASC;SG
외국인	זר	외국인	זר		ADJ;MASC;SG
외국인	זרים	외국인	זר		N;MASC;PL
장르	סוגה	장르	סוג	N	ADV
현대	מודרנית	현대	מודרני	N	ADV
현대	מודרני	현대	מודרני	N	ADJ;MASC;SG
현대	מודרניות	현대	מודרני	N	ADJ;FEM;PL
현대	יונדאי	현대	יונדאי	N	PROPN
디지털	דיגיטלית	디지털	דיגיטלי	N	PROPN
디지털	דיגיטלי	디지털	דיגיטלי	N	PROPN
비디오	וידאו	비디오	וידאו	N	PROPN
그를	בו	그+를	ב	PRO	ADP
교장	המנהל	교장	המנהל	N	
정부	הממשלה	정부	הממשלה	N	PROPN
원래	במקור	원래	במקור	N	
보고	דווח	보+고	דווח		PROPN
보고	דיווח	보+고	דיווח		N;MASC;SG
보고	מדווחת	보+고	מדווח		V;FEM;SG;V.PTCP
보고	דיווח	보+고	דיווח		N;MASC;SG
보고	מדווח	보+고	דיווח		V;MASC;SG;V.PTCP
전에	לפני	전+에	לפני	ADV	ADP
보통	רגילה	보통	רגיל	N	ADJ;FEM;SG
보통	סדיר	보통	סדיר	N	
보통	רגיל	보통	רגיל	N	ADJ;MASC;SG
보통	קבוע	보통	קבוע	N	ADJ;MASC;SG
보통	נורמלי	보통	נורמלי	N	ADJ;MASC;SG
보통	נורמאלי	보통	נורמאלי	N	ADJ;MASC;SG
보통	רגיל	보통	רגיל	N	ADJ;MASC;SG
보통	נורמלית	보통	נורמאלית	N	ADV
어떻게	איך	어떻+게	איך	CONJ	ADV
어떻게	כיצד	어떻+게	כיצד	CONJ	ADV
기업	תאגידי	기업	תאגיד	N	PROPN
기업	אנטרפרייז	기업	אנטרפרייז	N	PROPN
링크	לינק	링크	לינק		PROPN
링크	קישורים	링크	קישורים		N;MASC;PL
대부분의	הרוב	대부분+의	הרוב	N	
대부분의	הכי	대부분+의	הכי	N	
지방	שמנה	지방	שמנה	N	PROPN
교육	מלמד	교육	לימד	N	V;MASC;SG;V.PTCP;ACT
교육	מלמדת	교육	לימד	N	V;FEM;SG;V.PTCP;ACT
교육	חינוכית	교육	חינוכי	N	ADV
교육	חינוכי	교육	חינוכי	N	ADJ;MASC;SG
오사카	אוסקה	오사카	אוסקה	PROPN	PROPN
대신	ובמקום	대신	ובמקום		PROPN
대신	במקום	대신	במקום		ADP
교수	סגל	교수	סגל	N	PROPN
교수	הפקולטה	교수	הפקולטה	N	PROPN
구간	מרווח	구간	מרווח	N	
고려	התחשבות	고려	התחשבות	PROPN	N;FEM;SG
고려	שיקול	고려	שיקול	PROPN	N;MASC;SG
고려	שיקולים	고려	שיקול	PROPN	N;MASC;PL
고려	תשקול	고려	תשקול	PROPN	V;FEM;SG;3;FUT;ACT
고려	שקול	고려	שקול	PROPN	ADJ;MASC;SG
고려	לשקול	고려	שקל	PROPN	V;NFIN;ACT
외부	חיצוניים	외부	חיצוני		ADJ;MASC;PL
외부	חיצוניות	외부	חיצוני		ADJ;FEM;PL
외부	חיצונית	외부	חיצוני		ADV
외부	חיצוני	외부	חיצוני		ADJ;MASC;SG
그리스	יוונים	그리스	יוון	PROPN	N;MASC;PL
그리스	יווני	그리스	יווני	PROPN	PROPN
그리스	יוונית	그리스	יוונית	PROPN	PROPN
그리스	גריז	그리스	גריז	PROPN	PROPN
그리스	יוון	그리스	יוון	PROPN	PROPN
사이트	אתר	사이트	אתר		N;MASC;SG
사이트	אתרים	사이트	אתר		N;MASC;PL
정치	פוליטיות	정치	פוליטי	N	ADJ;FEM;PL
정치	פוליטית	정치	פוליטי	N	ADV
사용	להשתמש	사용	השתמש	N	V;NFIN
사용	השתמש	사용	השתמש	N	V;MASC;SG;3;PST
사용	משומש	사용	משומש	N	V;MASC;SG;V.PTCP;PASS
사용	בשימוש	사용	בשימוש	N	PROPN
사용	לממש	사용	מימש	N	V;NFIN;ACT
사용	משתמשת	사용	השתמש	N	V;FEM;SG;V.PTCP
초기	ארלי	초기	ארלי	N	PROPN
초기	מוקדם	초기	מוקדם	N	ADV
초기	ראשוני	초기	ראשוני	N	ADJ;MASC;SG
초기	הראשונית	초기	הראשונית	N	ADV
고대	עתיקות	고대	עתיקות	N	
고대	עתיק	고대	עתיק	N	
고대	העתיקה	고대	העתיק	N	V;FEM;SG;3;PST;ACT
먼저	ראשון	먼저	ראשון	ADV	PROPN
지도	מפה	지+도	מפה		N;FEM;SG
지도	מפות	지+도	מפות		N;FEM;PL
발매	שחרר	발매	שחרר	N	PROPN
발매	שחררו	발매	שחרר	N	V;PL;3;PST;ACT
발매	שוחרר	발매	שוחרר	N	V;MASC;SG;3;PST;PASS
발매	שוחררו	발매	שוחרר	N	V;PL;3;PST;PASS
발매	משוחרר	발매	משוחרר	N	V;MASC;SG;V.PTCP;PASS
발매	שוחררה	발매	שוחרר	N	V;FEM;SG;3;PST;PASS
항목	הפריט	항목	הפריט	N	V;MASC;SG;3;PST;ACT
불구하고	למרות	불구+하+고	למרות	V	ADP
불구하고	חרף	불구+하+고	None	V	
인터넷	האינטרנט	인터넷	האינטרנט		PROPN
종교	דתיות	종교	דתי	N	ADJ;FEM;PL
전역	גלובל	전역	גלובל	N	PROPN
전역	גלובלי	전역	גלובלי	N	PROPN
전역	קמפיין	전역	קמפיין	N	PROPN
전역	הקמפיין	전역	הקמפיין	N	PROPN
전체	כל	전체	כול	N	DET;PSSD
전체	הכולל	전체	הכולל	N	PROPN
제국	אמפייר	제국	אמפייר	N	PROPN
제국	אימפריה	제국	אימפריה	N	PROPN
제국	האימפריה	제국	האימפריה	N	PROPN
연구	למידה	연구	למידה	N	PROPN
용어	מונח	용어	הונח	N	V;MASC;SG;V.PTCP;PASS
용어	תנאי	용어	תנאי	N	
스페인	ספרד	스페인	ספרד	PROPN	PROPN
과거	העבר	과거	העבר	N	
관리	לנהל	관리	ניהל	N	V;NFIN;ACT
관리	נהלי	관리	נהלי	N	ADJ;MASC;PL
연속	עוקבות	연속	עקב	N	V;FEM;PL;V.PTCP;ACT
연속	רצופים	연속	רצוף	N	ADJ;MASC;PL
연속	מתמשך	연속	התמשך	N	V;MASC;SG;V.PTCP
연속	רציף	연속	רציף	N	
삼성	סמסונג	삼성	סמסונג		PROPN
수상자	זוכים	수상자	זכה	N	V;MASC;PL;V.PTCP;ACT
이란	איראן	이+란	איראן		PROPN
이란	אירן	이+란	אירן		PROPN
이란	האיראני	이+란	האיראני		PROPN
경제	כלכלי	경제	כלכלי	N	ADJ;MASC;SG
경제	כלכלית	경제	כלכלי	N	ADV
데이터	דאטה	데이터	דאטה	N	PROPN
초대	מוזמנים	초대	הוזמן		V;MASC;PL;V.PTCP;PASS
초대	מוזמנת	초대	הוזמן		V;FEM;SG;V.PTCP;PASS
초대	הוזמן	초대	הוזמן		V;MASC;SG;3;PST;PASS
초대	הוזמנה	초대	הוזמן		V;FEM;SG;3;PST;PASS
초대	מוזמן	초대	הוזמן		V;MASC;SG;V.PTCP;PASS
초대	הזמנות	초대	הזמנה		N;FEM;PL
초대	הזמנה	초대	הזמנה		N;FEM;SG
초대	להזמנה	초대	הזמנה		V;NFIN;ACT
초대	הזמנות	초대	הזמנה		N;FEM;PL
초대	הזמנה	초대	הזמנה		N;FEM;SG
초대	להזמנה	초대	הזמנה		V;NFIN;ACT
초대	ההזמנה	초대	ההזמן		PROPN
캘리포니아	קליפורניה	캘리포니아	קליפורניה	PROPN	PROPN
여성	נשי	여성	איש	N	
여성	נקבה	여성	נקבה	N	PROPN
나라	ארצי	나라	ארצי	N	PROPN
나라	נארה	나라	נארה	N	PROPN
추가	מוסיף	추가	הוסיף		V;MASC;SG;V.PTCP;ACT
추가	מוסיפה	추가	הוסיף		V;FEM;SG;V.PTCP;ACT
추가	מוסיף	추가	הוסיף		V;MASC;SG;V.PTCP;ACT
추가	מוסיפה	추가	הוסיף		V;FEM;SG;V.PTCP;ACT
추가	להוסיף	추가	הוסיף		V;NFIN;ACT
추가	הוספה	추가	הוספה		N;FEM;SG
비슷한	דומות	비슷+하+ㄴ	דומה	V	ADJ;FEM;PL
비슷한	דומה	비슷+하+ㄴ	דומה	V	
비슷한	דומים	비슷+하+ㄴ	דומה	V	N;MASC;PL
라운드	עגולה	라운드	עגולה		N;FEM;SG
라운드	סיבוב	라운드	סיבוב		N;MASC;SG
라운드	עגולים	라운드	עגולים		N
라운드	סיבובים	라운드	סיבוב		N;MASC;PL
자주	תכופים	자주	תכוף	ADV	ADJ;MASC;PL
어머니	אימא	어머니	אימא	N	
소설	בדיה	소설	בדיה	N	
소설	רומן	소설	רומן	N	PROPN
아시아	אסייתית	아시아	אסייתי	PROPN	ADV
아시아	אסייתי	아시아	אסייתי	PROPN	PROPN
아시아	אסיאתית	아시아	אסיאתי	PROPN	PROPN
아시아	אסיה	아시아	אסיה	PROPN	PROPN
아시아	אסיאתי	아시아	אסיאתי	PROPN	PROPN
아시아	אסיה	아시아	אסיה	PROPN	PROPN
만화	קומיקס	만화	קומיקס	N	PROPN
만화	קומיקס	만화	קומיקס	N	PROPN
만화	מנגה	만화	גיגה	N	PROPN
만화	מצויר	만화	צויר	N	V;MASC;SG;V.PTCP;PASS
모델	דוגמנית	모델	דוגמנית	N	ADV
모델	דוגמנית	모델	דוגמנית	N	ADV
모델	דוגמן	모델	דוגמן	N	PROPN
대부분	הרוב	대부분	הרוב	N	
대부분	הכי	대부분	הכי	N	
대부분	ברובו	대부분	ברובו	N	
대부분	לרוב	대부분	ררוב	N	
대부분	בעיקר	대부분	בעיקר	N	ADV
사진	צילום	사진	צילום	N	PROPN
사진	התמונה	사진	התמונה	N	V;FEM;SG;3;PST
특정	ספציפית	특정	ספציפית		ADV
특정	ספציפי	특정	ספציפי		ADJ;MASC;SG
특정	ספציפיות	특정	ספציפי		ADJ;FEM;PL
특정	ספציפיים	특정	ספציפיים		ADJ;MASC;PL
특정	בפרט	특정	בפרט		ADV
시스템	המערכת	시스템	המערך	N	
뉴스	בשורות	뉴스	בשורה	N	
지하철	התחתית	지하철	התחתית	N	V;MASC;SG;3;PST
지하철	מטרו	지하철	מטרה	N	PROPN
유명한	מפורסמים	유명+하+ㄴ	מפורסם	V	ADJ;MASC;PL
유명한	המפורסם	유명+하+ㄴ	המפורסם	V	PROPN
