של	شيل	של	شيل	PART;GEN	
הברית	الحلف	הברית	حِلف	PROPN	N;NOM;DEF;SG
הברית	تحالف	הברית	تَحَالُف	PROPN	N;NOM;INDF;SG
הברית	التحالف	הברית	تَحَالُف	PROPN	N;NOM;DEF;SG
בו	له	ב	هُوَ	ADP	
בו	هو	ב	هُوَ	ADP	PRO;NOM;MASC;SG;3
בו	بوو	ב	بوو	ADP	
רק	مجرد	רק	مُجَرَّد	ADV	N;NOM;INDF;SG
כאשר	حين	כאשר	حِينَ	CONJ	ADP;ACC
כאשר	عندما	כאשר	عِندَمَا	CONJ	CONJ
כאשר	متى	כאשר	مَتَى	CONJ	DET
אותו	له	None	هُوَ	PRO;ACC;MASC;SG;3	
אותו	هو	None	هُوَ	PRO;ACC;MASC;SG;3	PRO;NOM;MASC;SG;3
בן	بين	בן	بَينَ	PROPN	ADP;ACC
בן	بن	בן	بِن	PROPN	PROPN
בן	ابن	בן	ابن	PROPN	
בן	بني	בן	بني	PROPN	
בן	الابن	בן	اِبن	PROPN	N;NOM;DEF;SG
שלו	ده	של	دٰهٰ		
שני	ثانيا	שני	ثَانِي	NUM;MASC;PL	ADJ;ACC;INDF;MASC;SG
שני	الثانيه	שני	الثانيه	NUM;MASC;PL	
שני	تاني	שני	تَانِي	NUM;MASC;PL	
שני	الثاني	שני	ثَانِي	NUM;MASC;PL	ADJ;NOM;DEF;MASC;SG
שני	الثانية	שני	ثَانِي	NUM;MASC;PL	ADJ;NOM;DEF;FEM;SG
שני	ثاني	שני	ثاني	NUM;MASC;PL	
שני	اثنان	שני	اِثنَان	NUM;MASC;PL	N;NOM;INDF;SG
שני	الاثنين	שני	اِثنَان	NUM;MASC;PL	N;NOM;DEF;SG
לו	لو	ל	لَو		CONJ
לו	لوو	ל	لُوُو		
מה	ما	מה	مَا	ADV	DET
מה	ماذا	מה	مَاذَا	ADV	DET
מה	ايش	מה	أَيش	ADV	
מה	شنو	מה	شَنُو	ADV	
העולם	عالم	העולם	عَالَم		N;NOM;INDF;SG
העולם	العالمي	העולם	عَالَمِيّ		ADJ;NOM;DEF;MASC;SG
העולם	الدنيا	העולם	دِنِّيَا		N;NOM;DEF;SG
העולם	العالم	העולם	عَالَم		N;NOM;DEF;SG
העולם	world	העולם	world		
העיר	تاون	העיר	تَاون	V;MASC;SG;3;PST;ACT	
העיר	بلدة	העיר	بَلدَة	V;MASC;SG;3;PST;ACT	N;NOM;INDF;SG
העיר	المدينة	העיר	مَدِينَة	V;MASC;SG;3;PST;ACT	N;NOM;DEF;SG
העיר	البلدة	העיר	بَلدَة	V;MASC;SG;3;PST;ACT	N;NOM;DEF;SG
העיר	المدينه	העיר	المدينه	V;MASC;SG;3;PST;ACT	
העיר	مدينة	העיר	مَدِينَة	V;MASC;SG;3;PST;ACT	N;NOM;INDF;SG
העיר	المدينة	העיר	مَدِينَة	V;MASC;SG;3;PST;ACT	N;NOM;DEF;SG
העיר	سيتي	העיר	سِيتِي	V;MASC;SG;3;PST;ACT	
במהלך	اثناء	במהלך	أَثنَاءَ	ADV	ADP;ACC
במהלך	خلال	במהלך	خِلَالَ	ADV	ADP;ACC
כן	حاضر	כן	حَاضِر	ADV	
כן	اجل	כן	اجل	ADV	
כן	بلى	כן	بَلَى	ADV	
כן	نعم	כן	نَعَم	ADV	
כן	اجل	כן	اجل	ADV	
כן	نعم	כן	نَعَم	ADV	
אף	الانف	אף	أَنف	CONJ	N;NOM;DEF;SG
אף	انف	אף	أَنف	CONJ	N;NOM;INDF;SG
רבים	كثير	רב	كَثِير	V;MASC;PL;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG
רבים	العديد	רב	عَدِيد	V;MASC;PL;V.PTCP;ACT	ADJ;NOM;DEF;MASC;SG
רבים	الكثيرون	רב	كَثِير	V;MASC;PL;V.PTCP;ACT	ADJ;NOM;DEF;MASC;PL
רבים	كثيرون	רב	كَثِير	V;MASC;PL;V.PTCP;ACT	ADJ;NOM;INDF;MASC;PL
רבים	الكثير	רב	كَثِير	V;MASC;PL;V.PTCP;ACT	ADJ;NOM;DEF;MASC;SG
רבים	جمع	רב	جَمَع	V;MASC;PL;V.PTCP;ACT	V;PFV;MASC;SG;3;ACT
רבים	الجمع	רב	جَمع	V;MASC;PL;V.PTCP;ACT	N;NOM;DEF;SG
אבל	لكن	אבל	لكن	CONJ	
אבל	بس	אבל	بِسّ	CONJ	
אבל	ولكن	אבל	ولكن	CONJ	
בה	لها	ב	لها		
בה	هي	ב	هُوَ		PRO;NOM;FEM;SG;3
אביב	ابيب	אביב	أَبِيب	N;MASC;SG	
אביב	ربيع	אביב	ربيع	N;MASC;SG	
במאי	قد	במאי	قَد	N;MASC;SG	PART
במאי	ماي	במאי	مَاي	N;MASC;SG	
שנה	السنين	שנה	سَنَة	N;FEM;SG	N;NOM;DEF;PL
שנה	اعوام	שנה	عَام	N;FEM;SG	N;NOM;INDF;PL
שנה	سنين	שנה	سَنَة	N;FEM;SG	N;NOM;INDF;PL
שנה	السنوات	שנה	سَنَة	N;FEM;SG	N;NOM;DEF;PL
שנה	سنوات	שנה	سَنَة	N;FEM;SG	N;NOM;INDF;PL
נולד	ولد	נולד	وَلَد	V;MASC;SG;3;PST;MID	N;NOM;INDF;SG
נולד	تولد	נולד	تَوَلُّد	V;MASC;SG;3;PST;MID	V;IPFV;FEM;IND;SG;3;FIN;ACT
נולד	مولود	נולד	مولود	V;MASC;SG;3;PST;MID	N;NOM;INDF;SG
נולד	يولد	נולד	وَلَّد	V;MASC;SG;3;PST;MID	V;IPFV;MASC;IND;SG;3;FIN;ACT
נולד	ولدت	נולד	وَلَد	V;MASC;SG;3;PST;MID	V;PFV;FEM;SG;3;PASS
חלק	ناعمة	חלק	نَاعِمَة	N;MASC;SG	ADJ;NOM;INDF;FEM;SG
חלק	ناعم	חלק	نَاعِم	N;MASC;SG	
אחת	احد	אחת	أَحَد	NUM;FEM;SG	N;NOM;INDF;SG
אחת	واحدة	אחת	وَاحِد	NUM;FEM;SG	ADJ;NOM;INDF;FEM;SG
אחת	واحد	אחת	وَاحِد	NUM;FEM;SG	ADJ;NOM;INDF;MASC;SG
אחת	واحده	אחת	واحده	NUM;FEM;SG	PRO;NOM;MASC;SG;3
ביולי	يوليو	ביולי	يُولِيُو	PROPN	N;GEN;INDF;SG
ביולי	تموز	ביולי	تَمُّوز	PROPN	N;GEN;INDF;SG
שוליים	هامشية	שול	هَامِشِيّ	N;MASC;PL	ADJ;NOM;INDF;FEM;SG
שוליים	هامش	שול	هَامِش	N;MASC;PL	N;NOM;INDF;SG
שוליים	الهامشية	שול	هَامِشِيّ	N;MASC;PL	ADJ;NOM;DEF;FEM;SG
שוליים	هامش	שול	هَامِش	N;MASC;PL	N;NOM;INDF;SG
שוליים	الهامش	שול	هَامِش	N;MASC;PL	N;NOM;DEF;SG
להיות	كونك	היה	كُونك	V;POS;NFIN	
באוקטובר	اكتوبر	באוקטובר	أُكتُوبِر	PROPN	N;GEN;INDF;SG
בשם	سميت	בשם	سَمَّى		V;PFV;FEM;SG;3;PASS
בשם	مسمى	בשם	مُسَمَّى		N;NOM;INDF;SG
אותה	لها	None	لها	PRO;ACC;FEM;SG;3	
אותה	هي	None	هُوَ	PRO;ACC;FEM;SG;3	PRO;NOM;FEM;SG;3
החל	بدء	None	بَدء	ADP	N;NOM;INDF;SG
החל	البدء	None	بَدء	ADP	N;NOM;DEF;SG
הרב	هيرب	הרב	هَيرَب		
הרב	عشبة	הרב	عَشَبَة		N;NOM;INDF;SG
מן	المن	מן	مِن	ADP	
בינואר	يناير	בינואר	يَنَايِر		N;GEN;INDF;SG
במרץ	المسيرة	במרץ	مَسِيرَة	PROPN	N;NOM;DEF;SG
במרץ	مارس	במרץ	مَارِس	PROPN	N;GEN;INDF;SG
במרץ	مسيرة	במרץ	مَسِيرَة	PROPN	N;NOM;INDF;SG
במרץ	اذار	במרץ	آذَار	PROPN	N;NOM;INDF;SG
ראש	راسي	ראש	راسي	N;MASC;SG	
ראש	راس	ראש	رَأس	N;MASC;SG	
ראש	راش	ראש	رَاش	N;MASC;SG	
חיים	الحياة	חיים	حَيَاة	PROPN	N;NOM;DEF;SG
חיים	الحياه	חיים	حِيَاه	PROPN	N;NOM;DEF;SG
חיים	حياة	חיים	حَيَاة	PROPN	N;NOM;INDF;SG
חיים	lif	חיים	قَثحَة	PROPN	
המאה	قرن	המאה	قَرن		N;NOM;INDF;SG
המאה	القرن	המאה	قَرن		N;NOM;DEF;SG
בנובמבר	نوفمبر	בנובמבר	نُوفِمبِر	ADV	N;GEN;INDF;SG
בדצמבר	ديسمبر	בדצמבר	دِيسَمبِر	PROPN	N;GEN;INDF;SG
לי	ليي	ל	لَيِّيّ		
לי	لي	ל	لِي		
לי	لى	ל	لِي		
תל	تل	תל	تَلّ	N;MASC;SG	
בבית	المنزل	בבית	مَنزِل		N;NOM;DEF;SG
בבית	الوطن	בבית	وَطَن		N;NOM;DEF;SG
בבית	منزل	בבית	مَنزِل		N;NOM;INDF;SG
בבית	البيت	בבית	بَيت		N;NOM;DEF;SG
בפברואר	فبراير	בפברואר	فِبرَايِر	ADV	N;GEN;INDF;SG
בפברואר	شباط	בפברואר	شُبَاط	ADV	N;NOM;INDF;SG
אלו	هؤلاء	אלו	هٰذَا	PRO;PL;3	DET;NOM;MASC;PL
אלו	هذه	אלו	هٰذَا	PRO;PL;3	DET;NOM;FEM;SG
אחר	اخرى	אחר	آخَر	ADP	ADJ;NOM;INDF;FEM;SG
בני	بينى	בני	بَينَى	PROPN	
בני	ابن	בני	ابن	PROPN	
בני	بني	בני	بني	PROPN	
בני	الابن	בני	اِبن	PROPN	N;NOM;DEF;SG
בעיקר	غالبا	בעיקר	غَالِب	ADV	ADJ;ACC;INDF;MASC;SG
אתר	اثير	אתר	أَثِير	N;MASC;SG	
ללא	بدون	ללא	بدون	ADP	
שונים	مختلف	שונה	مُختَلِف	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
שונים	مختلفة	שונה	مُختَلِف	ADJ;MASC;PL	ADJ;NOM;INDF;FEM;SG
שונים	مختلفا	שונה	مُختَلِف	ADJ;MASC;PL	ADJ;ACC;INDF;MASC;SG
שונים	شتى	שונה	شتى	ADJ;MASC;PL	N;NOM;INDF;SG
אדם	ادم	אדם	أَدَّم	N;MASC;SG	
אדם	ادام	אדם	أَدَام	N;MASC;SG	
אדם	بشري	אדם	بشري	N;MASC;SG	
אדם	بشرية	אדם	بَشَرِيّ	N;MASC;SG	ADJ;NOM;INDF;FEM;SG
אדם	man	אדם	فَصَم	N;MASC;SG	
אדם	مان	אדם	مَان	N;MASC;SG	
כלל	القاعدة	כלל	قَاعِدَة	ADV	N;NOM;DEF;SG
כלל	قاعدة	כלל	قَاعِدَة	ADV	N;NOM;INDF;SG
עוד	المزيد	עוד	مَزِيد	ADV	N;NOM;DEF;SG
עוד	اكتر	עוד	أَكتَر	ADV	
עוד	اكثر	עוד	أَكثَر	ADV	ADJ;NOM;INDF;MASC;SG
עוד	مزيد	עוד	مَزِيد	ADV	N;NOM;INDF;SG
אחרים	اخرى	אחר	آخَر	ADJ;MASC;PL	ADJ;NOM;INDF;FEM;SG
ספר	باربر	ספר	باربر	N;MASC;SG	
ספר	اخبر	ספר	أَخبَر	N;MASC;SG	V;PFV;MASC;SG;3;ACT
לה	لها	ל	لها		
לה	هي	ל	هُوَ		PRO;NOM;FEM;SG;3
זכה	وون	זכה	وون	V;MASC;SG;3;PST;ACT	
אחרי	بعدما	אחרי	بَعدَمَا	ADP	CONJ
הן	انهم	הוא	اِنهَمّ	PRO;FEM;PL;3	
יום	نهار	יום	نَهَار	N;MASC;SG	
אלה	هؤلاء	אלה	هٰذَا	PRO;MASC;PL;3	DET;NOM;MASC;PL
אלה	هذه	אלה	هٰذَا	PRO;MASC;PL;3	DET;NOM;FEM;SG
אלה	ايلا	אלה	إِيلَا	PRO;MASC;PL;3	
אלה	الهة	אלה	هَة	PRO;MASC;PL;3	
אלה	الالهة	אלה	أَلَّه	PRO;MASC;PL;3	N;NOM;DEF;SG
כיום	حاليا	כיום	حَالِيّ	ADV	ADJ;ACC;INDF;MASC;SG
ירושלים	القدس	ירושלים	قُدس	PROPN	N;NOM;DEF;SG
המדינה	الولاية	המדין	وِلَايَة	V;FEM;SG;3;PST;ACT	N;NOM;DEF;SG
המדינה	دولة	המדין	دَولَة	V;FEM;SG;3;PST;ACT	N;NOM;INDF;SG
המדינה	ولاية	המדין	وِلَايَة	V;FEM;SG;3;PST;ACT	N;NOM;INDF;SG
המדינה	الحالة	המדין	حَالَة	V;FEM;SG;3;PST;ACT	N;NOM;DEF;SG
המדינה	الدولة	המדין	دَولَة	V;FEM;SG;3;PST;ACT	N;NOM;DEF;SG
מאוד	جدا	מאוד	جِدّ	ADV	N;ACC;INDF;SG
יהודים	اليهودية	יהודי	يَهُودِيّ	N;MASC;PL	ADJ;NOM;DEF;FEM;SG
יהודים	يهودية	יהודי	يَهُودِيّ	N;MASC;PL	ADJ;NOM;INDF;FEM;SG
יהודים	يهودي	יהודי	يَهُودِيّ	N;MASC;PL	ADJ;NOM;INDF;MASC;SG
יהודים	اليهود	יהודי	يَهُودِيّ	N;MASC;PL	ADJ;NOM;DEF;MASC;PL
רבות	كثير	רב	كَثِير	N;FEM;PL	ADJ;NOM;INDF;MASC;SG
רבות	العديد	רב	عَدِيد	N;FEM;PL	ADJ;NOM;DEF;MASC;SG
רבות	الكثيرون	רב	كَثِير	N;FEM;PL	ADJ;NOM;DEF;MASC;PL
רבות	كثيرون	רב	كَثِير	N;FEM;PL	ADJ;NOM;INDF;MASC;PL
רבות	الكثير	רב	كَثِير	N;FEM;PL	ADJ;NOM;DEF;MASC;SG
כמה	البعض	כמה	بَعض	DET;PSSD	N;NOM;DEF;SG
כמה	بعض	כמה	بَعض	DET;PSSD	N;NOM;INDF;SG
מטר	الاقدام	מטר	قَدَم	PROPN	N;NOM;DEF;PL
מטר	اقدام	מטר	قَدَم	PROPN	N;NOM;INDF;PL
מטר	القدم	מטר	قَدَم	PROPN	N;NOM;DEF;SG
מטר	قدم	מטר	قَدَّم	PROPN	V;PFV;MASC;SG;3;ACT
מטר	القدمين	מטר	قَدَم	PROPN	N;ACC;DEF;DU
מטר	متر	מטר	مِتر	PROPN	N;NOM;INDF;SG
מטר	متر	מטר	مِتر	PROPN	N;NOM;INDF;SG
מטר	امتار	מטר	مِتر	PROPN	N;NOM;INDF;PL
מטר	عداد	מטר	عِدَاد	PROPN	N;NOM;INDF;SG
מטר	المتر	מטר	مِتر	PROPN	N;NOM;DEF;SG
מטר	متر	מטר	مِتر	PROPN	N;NOM;INDF;SG
מטר	العداد	מטר	عِدَاد	PROPN	N;NOM;DEF;SG
מטר	مترا	מטר	مِتر	PROPN	N;ACC;INDF;SG
מטר	متر	מטר	مِتر	PROPN	N;NOM;INDF;SG
מטר	امتار	מטר	مِتر	PROPN	N;NOM;INDF;PL
דרך	عبر	דרך	عَبرَ		ADP;ACC
דרך	فيا	דרך	فِيَا		
דרך	عبر	דרך	عَبرَ		ADP;ACC
דרך	خلال	דרך	خِلَالَ		ADP;ACC
דרך	طريقه	דרך	طريقه		PRO;NOM;FEM;SG;3
דרך	الطريق	דרך	طَرِيق		N;NOM;DEF;SG
דרך	طريقة	דרך	طَرِيقَة		N;NOM;INDF;SG
דרך	الطريقة	דרך	طَرِيقَة		N;NOM;DEF;SG
שנת	عام	שנה	عَام	N;PSSD;FEM;SG	N;NOM;INDF;SG
שנת	العام	שנה	عَام	N;PSSD;FEM;SG	N;NOM;DEF;SG
שנת	السنه	שנה	سَنه	N;PSSD;FEM;SG	N;NOM;DEF;SG
שנת	سنة	שנה	سَنَة	N;PSSD;FEM;SG	N;NOM;INDF;SG
שנת	سنه	שנה	سنه	N;PSSD;FEM;SG	N;NOM;INDF;SG
שנת	السنة	שנה	سَنَة	N;PSSD;FEM;SG	N;NOM;DEF;SG
יכול	يمكن	None	أَمكَن	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
יכול	يستطيع	None	اِستَطَاع	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
יכול	يمكن	None	أَمكَن	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
יכול	يم	None	يم	V;MASC;SG;V.PTCP	
באמצעות	فيا	באמצעות	فِيَا	ADP	
בעלי	الزوج	בעל	زَوج	N;PSSD;MASC;PL	N;NOM;DEF;SG
בעלי	زوجي	בעל	زَوجِيّ	N;PSSD;MASC;PL	
בעלי	زوج	בעל	زَوج	N;PSSD;MASC;PL	N;NOM;INDF;SG
יחד	سويا	יחד	سُويَا	ADV	
יחד	سوية	יחד	سُوِيّ	ADV	
יחד	معا	יחד	مَعًا	ADV	
בשל	المستحقة	בשל	مُستَحِقّ	ADP	ADJ;NOM;DEF;FEM;SG
פרס	ثواب	פרס	ثَابِيَة	PROPN	N;NOM;INDF;PL
פרס	الجائزة	פרס	جَائِزَة	PROPN	N;NOM;DEF;SG
פרס	جائزة	פרס	جَائِزَة	PROPN	N;NOM;INDF;SG
פרס	الجائزة	פרס	جَائِزَة	PROPN	N;NOM;DEF;SG
פרס	جائزة	פרס	جَائِزَة	PROPN	N;NOM;INDF;SG
ראו	راو	ראה	راو	V;PL;3;PST;ACT	
דוד	دود	דוד	دَودَة	PROPN	
דוד	عمو	דוד	عُمُوّ	PROPN	
דוד	عمي	דוד	عمي	PROPN	
דוד	عم	דוד	عَمّ	PROPN	
דוד	العم	דוד	عَمّ	PROPN	
דוד	ديفيد	דוד	دِيفِيد	PROPN	
דוד	داود	דוד	دَاوُد	PROPN	
דוד	ديفد	דוד	دَيَّف	PROPN	
דוד	دايفيد	דוד	دايفيد	PROPN	
דוד	دافيد	דוד	دَافِيد	PROPN	
בעל	بعل	בעל	بَعل	N;MASC;SG	
בעל	زوجي	בעל	زَوجِيّ	N;MASC;SG	
שלה	لها	של	لها		
שלה	هي	של	هُوَ		PRO;NOM;FEM;SG;3
בנוסף	زايد	בנוסף	زايد	ADV	
בנוסף	زائد	בנוסף	زَائِد	ADV	ADJ;NOM;INDF;MASC;SG
בנוסף	بالاضافة	בנוסף	بالاضافة	ADV	N;NOM;DEF;SG
תחת	مؤخرة	תחת	مُؤَخَّر	ADP	N;NOM;INDF;SG
תחת	الحمار	תחת	حَمَار	ADP	N;NOM;DEF;SG
תחת	حمار	תחת	حمار	ADP	N;NOM;INDF;SG
תחת	مؤخرة	תחת	مُؤَخَّر	ADP	N;NOM;INDF;SG
תמונה	p	תמונה	!	N;FEM;SG	
תמונה	الصوره	תמונה	صُوره	N;FEM;SG	
תמונה	صوره	תמונה	صُوره	N;FEM;SG	
כתב	كتبت	כתב	كَتَب	N;MASC;SG	V;PFV;FEM;SG;3;ACT
הקבוצה	مجموعة	הקבוצה	مَجمُوعَة	PROPN	N;NOM;INDF;SG
הקבוצה	المجموعة	הקבוצה	مَجمُوعَة	PROPN	N;NOM;DEF;SG
הערך	القيمة	הערך	قِيمَة		N;NOM;DEF;SG
הערך	قيمة	הערך	قِيمَة		N;NOM;INDF;SG
היום	اليوم	היום	يَوم	ADV	N;ACC;DEF;SG
רבי	الحاخام	רבי	حَاخَام	PROPN	N;NOM;DEF;SG
מי	من	מי	مِن	ADV	ADP
מי	اللي	מי	لَيّ	ADV	
למרות	بالرغم	למרות	بِ	ADP	N;NOM;DEF;SG
אותם	هم	None	هُوَ	PRO;ACC;MASC;PL;3	PRO;NOM;MASC;PL;3
החברה	شركه	החברה	شركه	N;FEM;SG	
המלחמה	حرب	המלחם	حَرب	PROPN	N;NOM;INDF;SG
המלחמה	الحرب	המלחם	حَرب	PROPN	N;NOM;DEF;SG
שונות	مختلف	שונה	مُختَلِف	ADJ;FEM;PL	ADJ;NOM;INDF;MASC;SG
שונות	مختلفة	שונה	مُختَلِف	ADJ;FEM;PL	ADJ;NOM;INDF;FEM;SG
שונות	مختلفا	שונה	مُختَلِف	ADJ;FEM;PL	ADJ;ACC;INDF;MASC;SG
שונות	المتنوعة	שונה	مُتَنَوِّع	ADJ;FEM;PL	ADJ;NOM;DEF;FEM;SG
שונות	متنوع	שונה	مُتَنَوِّع	ADJ;FEM;PL	ADJ;NOM;INDF;MASC;SG
שונות	متنوعة	שונה	مُتَنَوِّع	ADJ;FEM;PL	ADJ;NOM;INDF;FEM;SG
הארץ	الارض	הארץ	أَرض		N;NOM;DEF;SG
תאריך	موعد	תאריך	مَوعِد	PROPN	N;NOM;INDF;SG
תאריך	الموعد	תאריך	مَوعِد	PROPN	N;NOM;DEF;SG
תאריך	التاريخ	תאריך	تَارِيخ	PROPN	N;NOM;DEF;SG
תאריך	تاريخ	תאריך	تَارِيخ	PROPN	N;NOM;INDF;SG
עבר	الماضى	עבר	الماضى	N;MASC;SG	
עבר	ماضي	עבר	مَاضِي	N;MASC;SG	
עבר	الماضي	עבר	مَاضِي	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
עבר	انتقلت	עבר	اِنتَقَل	N;MASC;SG	V;PFV;FEM;SG;3;ACT
עבר	تحركت	עבר	تَحَرَّك	N;MASC;SG	V;PFV;FEM;SG;3;ACT
עבר	مرت	עבר	مَرّ	N;MASC;SG	V;PFV;FEM;SG;3;ACT
אפשר	مكن	אפשר	مَكَّن	V	V;PFV;MASC;SG;3;ACT
אפשר	تمكين	אפשר	تَمكِين	V	N;NOM;INDF;SG
אפשר	السماح	אפשר	سَمَاح	V	N;NOM;DEF;SG
אפשר	اسمح	אפשר	أَسمَح	V	PRO;NOM;MASC;SG;2
נוסף	اضاف	None	أَضَاف	ADP	V;PFV;MASC;SG;3;ACT
נוסף	اضيف	None	أَضِيف	ADP	
נוסף	اضيفت	None	أَضَاف	ADP	V;PFV;FEM;SG;3;PASS
מרכז	مركزية	מרכז	مَركَزِيّ	N;MASC;SG	ADJ;NOM;INDF;FEM;SG
מרכז	سنترال	מרכז	سنترال	N;MASC;SG	
מרכז	مركزي	מרכז	مركزي	N;MASC;SG	ADJ;NOM;INDF;MASC;SG
מרכז	سنتر	מרכז	سنتر	N;MASC;SG	
שימוש	استعمل	שימוש	اِستَعمَل	N;MASC;SG	V;PFV;MASC;SG;3;ACT
שימוש	استخدم	שימוש	اِستَخدَم	N;MASC;SG	V;PFV;MASC;SG;3;ACT
שיש	الرخام	שיש	رُخَام		N;NOM;DEF;SG
רוב	الاكثر	רוב	أَكثَر	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
רוב	اغلب	רוב	أَغلَب	N;MASC;SG	
רוב	روب	רוב	رُوب	N;MASC;SG	
כולל	شاملة	כלל	شَامِل	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;FEM;SG
כולל	شامل	כלל	شَامِل	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG
כולל	يشمل	כלל	شَمِل	V;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
כולל	يتضمن	כלל	تَضَمَّن	V;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
כולל	تتضمن	כלל	تَضَمَّن	V;MASC;SG;V.PTCP;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
כולל	تشمل	כלל	شَمِل	V;MASC;SG;V.PTCP;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
כולל	شملت	כלל	شَمَل	V;MASC;SG;V.PTCP;ACT	V;PFV;FEM;SG;3;ACT
כולל	المدرجة	כלל	مَدرَجَة	V;MASC;SG;V.PTCP;ACT	N;NOM;DEF;SG
כולל	شمل	כלל	شَمِل	V;MASC;SG;V.PTCP;ACT	V;PFV;MASC;SG;3;ACT
כולל	مدرج	כלל	مُدَرِّج	V;MASC;SG;V.PTCP;ACT	N;NOM;INDF;SG
גדול	كبيره	גדול	كبيره	ADJ;MASC;SG	
