periferia	predmestja	periferia	predmestje	N;FEM;SG	N;NOM;NEUT;PL
batterie	baterijo	batteria	baterija	N;FEM;PL	N;ACC;FEM;SG
batterie	akumulator	batteria	akumulator	N;FEM;PL	N;NOM;MASC;SG
riservato	rezervirane	riservato	rezerviran	ADJ;MASC;SG	ADJ;NOM;FEM;PL;V.PTCP
riservato	zaupni	riservato	zaupen	ADJ;MASC;SG	ADJ;NOM;MASC;PL
riservato	zaupno	riservato	zaupen	ADJ;MASC;SG	ADV
jake	jaka	jake	jak	N;MASC	PROPN;NOM;MASC;SG
premiato	nagrajena	premiare	nagrajen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
premiato	nagrajeni	premiare	nagrajen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
premiato	nagrajen	premiare	nagrajen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
buio	temna	buio	temen	N;MASC;SG	ADJ;NOM;FEM;SG
buio	temni	buio	temen	N;MASC;SG	ADJ;NOM;MASC;PL
buio	temno	buio	temno	N;MASC;SG	ADV
statistica	statistike	statistica	statistika	N;FEM;SG	N;NOM;FEM;PL
statistica	statistična	statistica	statističen	N;FEM;SG	ADJ;NOM;FEM;SG
statistica	statistične	statistica	statističen	N;FEM;SG	ADJ;NOM;FEM;PL
statistica	statistično	statistica	statistično	N;FEM;SG	ADV
johannes	johannes	johannes	johannes	N;MASC;SG	PROPN;NOM;MASC;SG
main	glavne	main	glaven		ADJ;NOM;FEM;PL
main	main	main	main		
main	glavni	main	glaven		ADJ;NOM;DEF;MASC;SG
main	glavno	main	glaven		ADJ;NOM;NEUT;SG
main	glavna	main	glaven		ADJ;NOM;FEM;SG
munizioni	streliva	munizione	strelivo	N;FEM;PL	N;GEN;NEUT;SG
munizioni	strelivo	munizione	strelivo	N;FEM;PL	N;NOM;NEUT;SG
munizioni	strelivo	munizione	strelivo	N;FEM;PL	N;NOM;NEUT;SG
munizioni	strelivo	munizione	strelivo	N;FEM;PL	N;NOM;NEUT;SG
votato	glasovali	votare	glasovati	V;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
esisteva	obstajali	esistere	obstajati	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;PL;V.PTCP
identificato	ugotovljene	identificare	ugotovljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
identificato	ugotovljena	identificare	ugotovljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
english	angleško	english	angleško	N	ADV
english	angleški	english	angleški	N	ADJ;NOM;MASC;SG
lettori	bralec	lettore	bralec	N;MASC;PL	N;NOM;MASC;SG
ohio	ohio	ohio	ohio	N;FEM;SG	PROPN;NOM;MASC;SG
approvato	odobrena	approvare	odobren	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
approvato	odobrene	approvare	odobren	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
approvato	odobreni	approvare	odobren	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL
approvato	odobreno	approvare	odobreno	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
approvato	odobren	approvare	odobren	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
glenn	glenn	glenn	glenn	N;MASC	PROPN;NOM;MASC;SG
industrie	industries	industria	industries	N;FEM;PL	N;NOM;MASC;SG
gemelli	dvojček	gemello	dvojček	N;MASC;PL	N;NOM;MASC;SG
gemelli	twin	gemello	twin	N;MASC;PL	N;NOM;MASC;SG
gemelli	dvojčka	gemello	dvojček	N;MASC;PL	N;NOM;MASC;DU
gemelli	dvojčica	gemello	dvojčica	N;MASC;PL	N;NOM;FEM;SG
gemelli	dvojčka	gemello	dvojček	N;MASC;PL	N;NOM;MASC;DU
invitato	vabljeni	invitare	vabljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
invitato	vabljen	invitare	vabljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
invitato	povabljeni	invitare	povabljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
invitato	vabljena	invitare	vabljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
treccani	treccani	treccano	treccan	ADJ;FEM;SG	N;NOM;MASC;SG
meccanico	mehanik	meccanico	mehanik	ADJ;MASC;SG	N;NOM;MASC;SG
meccanico	mehanika	meccanico	mehanika	ADJ;MASC;SG	N;NOM;FEM;SG
meccanico	mehansko	meccanico	mehanski	ADJ;MASC;SG	ADV
meccanico	mehanski	meccanico	mehanski	ADJ;MASC;SG	ADJ;NOM;MASC;PL
meccanico	mehanske	meccanico	mehanski	ADJ;MASC;SG	ADJ;NOM;FEM;PL
lane	lane	lana	lan	N;FEM;SG	
trilogia	trilogije	trilogia	trilogija	N;FEM;SG	N;NOM;FEM;PL
servire	servis	servire	servis	V;NFIN	N;NOM;MASC;SG
ampliato	razširjeni	ampliare	razširjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
ampliato	razširjen	ampliare	razširjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
ampliato	razširjena	ampliare	razširjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
ampliato	razširjene	ampliare	razširjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
incluse	vključena	incluso	vključen	ADJ;FEM;PL	ADJ;NOM;FEM;SG;V.PTCP
incluse	vključen	incluso	vključen	ADJ;FEM;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
incluse	vključeno	incluso	vključen	ADJ;FEM;PL	ADJ;NOM;NEUT;SG;V.PTCP
temporaneamente	začasni	temporaneamente	začasen	ADV	ADJ;NOM;DEF;MASC;SG
temporaneamente	začasna	temporaneamente	začasen	ADV	ADJ;NOM;FEM;SG
temporaneamente	začasen	temporaneamente	začasen	ADV	ADJ;NOM;INDF;MASC;SG
dame	dama	dama	dama	N;FEM;PL	N;NOM;FEM;SG
virgilio	virgil	virgilio	virgiti	N;MASC;SG	V;PFV;MASC;SG;V.PTCP
grassi	grassi	grasso	grassa	N;MASC;PL	
grassi	debel	grasso	debel	N;MASC;PL	ADJ;NOM;INDF;MASC;SG
grassi	debela	grasso	debela	N;MASC;PL	ADJ;NOM;FEM;SG
grassi	maščoba	grasso	maščoba	N;MASC;PL	N;NOM;FEM;SG
grassi	debeli	grasso	debela	N;MASC;PL	ADJ;NOM;MASC;PL
panzer	panzer	panzer	panzer	N;MASC;PL	N;NOM;MASC;SG
cecilia	cecilia	cecilia	cecilia	N;FEM;SG	PROPN;NOM;FEM;SG
sopravvissuti	preživelih	sopravvivere	preživel	V;MASC;PL;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
sopravvissuti	preživela	sopravvivere	preživeti	V;MASC;PL;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
sopravvissuti	preživel	sopravvivere	preživeti	V;MASC;PL;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
javier	javier	javier	javier	N;MASC;SG	PROPN;NOM;MASC;SG
spessore	debeline	spessore	debelina	N;MASC;SG	N;NOM;FEM;PL
operativa	operativec	operativo	operativec	ADJ;FEM;SG	N;NOM;MASC;SG
operativa	operativno	operativo	operativen	ADJ;FEM;SG	ADV
operativa	operativnih	operativo	operativen	ADJ;FEM;SG	ADJ;GEN;MASC;PL
inviata	poslan	inviare	poslan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
inviata	poslana	inviare	poslan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
inviata	poslani	inviare	poslan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
inviata	poslano	inviare	poslan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
inviata	poslane	inviare	poslan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
petto	prsi	petto	prsi	N;MASC;SG	N;NOM;FEM;PL
petto	prsi	petto	prsi	N;MASC;SG	N;NOM;FEM;PL
igor	igor	igor	igor	N;MASC;SG	PROPN;NOM;MASC;SG
terrestri	kopenski	terrestre	kopenski	N;MASC;PL	ADJ;NOM;DEF;MASC;SG
terrestri	kopenske	terrestre	kopenski	N;MASC;PL	ADJ;NOM;FEM;PL
terrestri	kopenskih	terrestre	kopenski	N;MASC;PL	ADJ;GEN;MASC;PL
terrestri	zemljani	terrestre	zemljan	N;MASC;PL	ADJ;NOM;MASC;PL;V.PTCP
biografie	življenjepis	biografia	življenjepis	N;FEM;PL	N;NOM;MASC;SG
biografie	biografijo	biografia	biografija	N;FEM;PL	N;ACC;FEM;SG
repubblicano	republikanec	repubblicano	republikanec	ADJ;MASC;SG	N;NOM;MASC;SG
pavimento	tla	pavimento	tla	N;MASC;SG	N;NOM;NEUT;PL
legali	zakonito	legale	zakonit	ADJ;PL	ADV
legali	pravna	legale	praven	ADJ;PL	ADJ;NOM;FEM;SG
legali	pravno	legale	praven	ADJ;PL	ADJ;NOM;NEUT;SG
frontale	fronta	frontale	fronta	ADJ;SG	N;NOM;FEM;SG
frontale	spredaj	frontale	spredaj	ADJ;SG	N;NOM;MASC;SG
england	england	england	england	N;SG	PROPN;NOM;MASC;SG
ordinario	navadni	ordinario	navaden	ADJ;MASC;SG	ADJ;NOM;MASC;PL
soci	partnerja	socio	partner	N;MASC;PL	N;NOM;MASC;DU
pérez	pérez	pérez	pérez	N;SG	PROPN;NOM;MASC;SG
again	spet	again	spet		ADV
again	znova	again	znova		ADV
again	ponovno	again	ponovno		ADV
secondarie	sekundarno	secondario	sekundaren	ADJ;FEM;PL	ADV
secondarie	sekundarni	secondario	sekundaren	ADJ;FEM;PL	ADJ;NOM;MASC;SG
secondarie	sekundarna	secondario	sekundarn	ADJ;FEM;PL	ADJ;NOM;FEM;SG
specializzata	specializiranih	specializzato	specializiran	ADJ;FEM;SG	ADJ;GEN;MASC;PL;V.PTCP
specializzata	specializirani	specializzato	specializiran	ADJ;FEM;SG	ADJ;NOM;MASC;PL;V.PTCP
specializzata	specializirane	specializzato	specializiran	ADJ;FEM;SG	ADJ;NOM;FEM;PL;V.PTCP
variazione	variacije	variazione	variacija	N;FEM;SG	N;NOM;FEM;PL
variazione	spremembe	variazione	sprememba	N;FEM;SG	N;NOM;FEM;PL
variazione	spremeni	variazione	spremeniti	N;FEM;SG	V;PFV;IND;SG;3;PRS;FIN
archivi	arhiv	archivio	arhiv	N;MASC;PL	N;NOM;MASC;SG
pirati	pirat	pirata	pirat	N;MASC;PL	N;NOM;MASC;SG
pesaro	pesaro	pesaro	pesara	N;MASC;SG	PROPN;NOM;MASC;SG
eletti	izvoljeni	eleggere	izvoljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
eletti	izvoljen	eleggere	izvoljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
eletti	izvoljena	eleggere	izvoljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
modern	moderna	modern	moderen	N	ADJ;NOM;FEM;SG
modern	sodobno	modern	sodoben	N	ADJ;NOM;NEUT;SG
modern	sodobna	modern	sodoben	N	ADJ;NOM;FEM;SG
modern	sodobni	modern	sodoben	N	ADJ;NOM;MASC;SG
modern	moderno	modern	moderno	N	ADV
emissione	emisije	emissione	emisija	N;FEM;SG	N;NOM;FEM;PL
massimi	maxima	massimo	maxim	ADJ;MASC;PL	N;NOM;FEM;SG
after	po	after	po		N;NOM;MASC;SG
kiev	kijevu	kiev	kijeva	N;FEM;SG	PROPN;DAT;MASC;SG
kiev	kijevu	kiev	kijeva	N;FEM;SG	PROPN;DAT;MASC;SG
vendere	prodaja	vendere	prodaja	V;NFIN	N;NOM;FEM;SG
corno	horn	corno	horen	N;MASC;SG	
piatti	posodo	piatto	posoda	N;MASC;PL	N;ACC;FEM;SG
piatti	posoda	piatto	posoda	N;MASC;PL	N;NOM;FEM;SG
futuri	prihodnje	futuro	prihodnji	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
futuri	bodočnost	futuro	bodočnost	ADJ;MASC;PL	N;NOM;FEM;SG
futuri	prihodnosti	futuro	prihodnost	ADJ;MASC;PL	N;GEN;FEM;SG
futuri	prihodnost	futuro	prihodnost	ADJ;MASC;PL	N;NOM;FEM;SG
protesta	protesti	protesta	protest	N;FEM;SG	N;NOM;MASC;PL
canti	poj	canto	poj	N;MASC;PL	ADV
canti	zapoj	canto	zapoj	N;MASC;PL	N;NOM;MASC;SG
intellettuali	intelektualna	intellettuale	intelektualen	N;PL	ADJ;NOM;FEM;SG
intellettuali	intelektualne	intellettuale	intelektualen	N;PL	ADJ;NOM;FEM;PL
intellettuali	intelektualno	intellettuale	intelektualno	N;PL	ADJ;NOM;NEUT;SG
elia	elijah	elia	elija	N;MASC;SG	N;ESS;FEM;PL
elia	elia	elia	eli	N;MASC;SG	PROPN;NOM;MASC;SG
bersaglio	ciljna	bersaglio	ciljen	N;MASC;SG	ADJ;NOM;FEM;SG
raw	surova	raw	surov	N;MASC	ADJ;NOM;FEM;SG
raw	surovo	raw	surovo	N;MASC	ADV
raw	surovi	raw	surov	N;MASC	ADJ;NOM;MASC;SG
raw	surov	raw	surov	N;MASC	ADJ;NOM;INDF;MASC;SG
illustri	ugleden	illustrare	ugleden	N;MASC;PL	ADJ;NOM;INDF;MASC;SG
illustri	razlikovati	illustrare	razlikovati	N;MASC;PL	V;IPFV;NFIN
integrato	integrirani	integrato	integriran	ADJ;MASC;SG	ADJ;NOM;MASC;PL;V.PTCP
integrato	vgrajeni	integrato	vgrajen	ADJ;MASC;SG	ADJ;NOM;MASC;PL;V.PTCP
perfino	celo	perfino	celo	ADV	PART
tomáš	tomáš	tomáš	tomki	PROPN	PROPN;NOM;MASC;SG
finanziaria	finančno	finanziaria	finančen	N;FEM;SG	ADJ;NOM;NEUT;SG
finanziaria	finančna	finanziaria	finančen	N;FEM;SG	ADJ;NOM;FEM;SG
terrore	groze	terrore	groza	N;MASC;SG	N;NOM;FEM;PL
istanbul	istanbulu	istanbul	istanbulel	N;MASC	PROPN;DAT;MASC;SG
istanbul	istanbul	istanbul	istanbul	N;MASC	PROPN;NOM;MASC;SG
für	für	für	für		
separati	ločena	separare	ločen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
separati	ločeni	separare	ločen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
separati	ločen	separare	ločen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
separati	ločeno	separare	ločen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
separati	ločena	separare	ločen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
separati	ločeni	separare	ločen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
separati	ločeno	separare	ločen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
continuato	nadaljevanje	continuare	nadaljevanje	V;MASC;SG;PST;V.PTCP	N;NOM;NEUT;SG
colorazione	barvil	colorazione	barvilo	N;FEM;SG	N;GEN;NEUT;PL
parità	enakost	parità	enakost	N;FEM	DET;NOM;NEUT;SG
parità	enakost	parità	enakost	N;FEM	DET;NOM;NEUT;SG
illinois	illinois	illinois	illinois	N;MASC;SG	PROPN;NOM;MASC;SG
magico	čarovnija	magico	čarovnija	ADJ;MASC;SG	N;NOM;FEM;SG
magico	magic	magico	magica	ADJ;MASC;SG	N;NOM;MASC;SG
magico	magijo	magico	magija	ADJ;MASC;SG	N;ACC;FEM;SG
orleans	orleans	orleans	orleans	N;FEM;SG	PROPN;NOM;MASC;SG
spalla	rame	spalla	rame	N;FEM;SG	N;ACC;MASC;PL
bach	bach	bach	bacha	N;MASC;PL	N;NOM;MASC;SG
bros	bros	bros	bros	N	PROPN;NOM;MASC;SG
giocate	igraj	giocare	igraj	V;FEM;PL;PST;V.PTCP	V;IPFV;IMP;SG;2;FIN
sloveno	slovenščina	sloveno	slovenščina	ADJ;MASC;SG	N;NOM;FEM;SG
call	pokliči	call	poklic	N	V;PFV;IMP;SG;2;FIN
call	pokličite	call	poklicati	N	V;PFV;IMP;PL;2;FIN
indiani	indijansko	indiano	indijansko	N;MASC;PL	ADJ;NOM;NEUT;SG
indiani	indijsko	indiano	indijski	N;MASC;PL	ADJ;NOM;NEUT;SG
indiani	indijski	indiano	indijski	N;MASC;PL	ADJ;NOM;MASC;SG
indiani	indijanec	indiano	indijanec	N;MASC;PL	N;NOM;MASC;SG
indiani	indijska	indiano	indijski	N;MASC;PL	ADJ;NOM;FEM;SG
biagio	biagio	biagio	biagio	N;MASC;SG	
millennio	tisočletja	millennio	tisočletje	N;MASC;SG	N;NOM;NEUT;PL
giganti	velikanski	gigante	velikanski	N;MASC;PL	ADJ;NOM;MASC;SG
giganti	ogromen	gigante	ogromen	N;MASC;PL	ADJ;NOM;INDF;MASC;SG
giganti	velikan	gigante	velikan	N;MASC;PL	N;NOM;MASC;SG
giganti	orjaški	gigante	orjaški	N;MASC;PL	ADJ;NOM;DEF;MASC;SG
zia	tete	zio	ta	N;FEM;SG	N;NOM;FEM;PL
zia	zia	zio	zia	N;FEM;SG	PROPN;NOM;MASC;SG
rimosso	odstranjena	rimuovere	odstranjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
rimosso	odstranjen	rimuovere	odstranjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
rimosso	odstranjene	rimuovere	odstranjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
rimosso	odstranjeno	rimuovere	odstranjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
traduzioni	prevajanje	traduzione	prevajanje	N;FEM;PL	N;NOM;NEUT;SG
traduzioni	prevod	traduzione	prevod	N;FEM;PL	N;NOM;MASC;SG
happy	srečna	happy	srečen	N	ADJ;NOM;FEM;SG
happy	srečen	happy	srečen	N	ADJ;NOM;INDF;MASC;SG
happy	vesela	happy	vesel	N	ADJ;NOM;FEM;SG
happy	srečno	happy	srečno	N	ADJ;NOM;NEUT;SG
voll	voll	volle	vola	N	
accompagnamento	spremljevalni	accompagnamento	spremljevalen	N;MASC;SG	ADJ;NOM;MASC;SG
accompagnamento	spremljevalne	accompagnamento	spremljevalen	N;MASC;SG	ADJ;NOM;FEM;PL
accompagnamento	spremni	accompagnamento	spremeniti	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
minerali	mineralnih	minerale	mineralen	N;MASC;PL	ADJ;GEN;MASC;PL
minerali	mineralno	minerale	mineralen	N;MASC;PL	ADJ;NOM;NEUT;SG
fissa	popravljeno	fissare	popravljen	V;IND;SG;3;PRS;FIN	ADJ;NOM;NEUT;SG;V.PTCP
fissa	fiksno	fissare	fiksen	V;IND;SG;3;PRS;FIN	ADJ;NOM;NEUT;SG
fissa	fiksna	fissare	fiksen	V;IND;SG;3;PRS;FIN	ADJ;NOM;FEM;SG
distinguere	razlikovanje	distinguere	razlikovanje	V;NFIN	N;NOM;NEUT;SG
bmw	bmw	bmw	bmw	N	PROPN;NOM;MASC;SG
adolfo	adolfo	adolfo	adolfo	N;MASC;SG	PROPN;NOM;MASC;SG
adolfo	adolf	adolfo	adolf	N;MASC;SG	PROPN;NOM;MASC;SG
installazione	namesti	installazione	namestiti	N;FEM;SG	V;PFV;IND;SG;3;PRS;FIN
spin	zavrti	spino	zavrt	N;MASC	V;PFV;IND;SG;3;PRS;FIN
michigan	michigan	michigan	michigan	N;FEM;SG	PROPN;NOM;MASC;SG
monferrato	bonifacija	monferrato	bonifacija	ADJ;MASC;SG	N;NOM;FEM;SG
monferrato	monferrato	monferrato	monferrat	ADJ;MASC;SG	N;NOM;MASC;SG
esposti	izpostavljen	esporre	izpostavljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
esposti	izpostavljeni	esporre	izpostavljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
esposti	izpostavljena	esporre	izpostavljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
esposti	izpostavljeno	esporre	izpostavljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
esposti	izpostavljene	esporre	izpostavljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
colli	vratu	collo	vrat	N;MASC;PL	N;DAT;MASC;SG
colli	colli	collo	coll	N;MASC;PL	
colli	hills	collo	hills	N;MASC;PL	N;NOM;MASC;SG
definiti	opredeljen	definire	opredeljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
definiti	opredeljeni	definire	opredeljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
definiti	opredeljeno	definire	opredeljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
definiti	opredeljena	definire	opredeljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
assi	osi	assi	osi	N;MASC;PL	N;NOM;MASC;SG
assi	asi	assi	as	N;MASC;PL	N;NOM;MASC;SG
assi	osi	assi	osi	N;MASC;PL	N;NOM;MASC;SG
cristoforo	christopher	cristoforo	christopher	N;MASC;SG	PROPN;NOM;MASC;SG
carrara	carrare	carrara	carrar	N;FEM;SG	
severo	severus	severo	severus	ADJ;MASC;SG	N;NOM;MASC;SG
severo	hude	severo	hud	ADJ;MASC;SG	ADJ;NOM;FEM;PL
severo	hudo	severo	hudo	ADJ;MASC;SG	ADV
severo	krma	severo	krma	ADJ;MASC;SG	N;NOM;FEM;SG
severo	stern	severo	stern	ADJ;MASC;SG	N;NOM;MASC;SG
return	povratek	return	povratek		N;NOM;MASC;SG
return	vrnitev	return	vrnitev		N;NOM;FEM;SG
cecil	cecil	cecil	ceciti	N;MASC	
adatta	primerni	adattare	primeren	ADJ;FEM;SG	ADJ;NOM;MASC;PL
adatta	fit	adattare	fit	ADJ;FEM;SG	N;NOM;MASC;SG
arizona	arizona	arizonare	arizon	N;FEM;SG	PROPN;NOM;MASC;SG
promosse	povišan	promuovere	povišan	V;FEM;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
cristallo	kristalno	cristallo	kristalno	N;MASC;SG	ADV
cristallo	crystal	cristallo	crystati	N;MASC;SG	
secco	suha	secco	suh	N;MASC;SG	ADJ;NOM;FEM;SG
secco	suhi	secco	suh	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
secco	suhe	secco	suh	N;MASC;SG	ADJ;NOM;FEM;PL
secco	posuši	secco	posušiti	N;MASC;SG	V;PFV;IND;SG;3;PRS;FIN
secco	suho	secco	suh	N;MASC;SG	ADV
amanda	amanda	amanda	amanda	N;FEM;SG	PROPN;NOM;FEM;SG
negozi	prodajalne	negozio	prodajalna	N;MASC;PL	ADJ;NOM;FEM;PL
cancellazioni	odpovedi	cancellazione	odpoved	N;FEM;PL	N;NOM;FEM;SG
cancellazioni	razveljavitev	cancellazione	razveljavitev	N;FEM;PL	N;NOM;FEM;SG
cancellazioni	preklic	cancellazione	preklic	N;FEM;PL	N;NOM;MASC;SG
cancellazioni	izbris	cancellazione	izbris	N;FEM;PL	N;NOM;MASC;SG
naso	nosom	naso	nos	N;MASC;SG	N;DAT;MASC;PL
melbourne	melbourne	melbourne	melbouren	N;FEM;SG	ADJ;NOM;FEM;SG
pausa	zlomil	pausa	zlomiti	N;FEM;SG	V;PFV;MASC;SG;V.PTCP
formando	oblikovanje	formare	oblikovanje	V;V.MSDR	N;NOM;NEUT;SG
