शोधकर्ता	výskumník	शोधकर्ता	výskumník	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;SG
आधुनिकता	modernosti	आधुनिकता	modernosť	N;NOM;FEM;SG;3	N;NOM;FEM;PL
रॉबर्ट्स	roberts	रॉबर्ट्स	roberts	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
क्लाइंट	klienta	क्लाइंट	klienta	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;SG
क्लाइंट	klienti	क्लाइंट	klient	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
क्लाइंट	klientov	क्लाइंट	klient	N;NOM;MASC;SG;3	N;ANIM;GEN;MASC;PL
क्लाइंट	klientmi	क्लाइंट	klient	N;NOM;MASC;SG;3	N;INAN;INS;MASC;PL
डायरी	denníku	डायरी	denník	N;NOM;FEM;SG;3	N;INAN;DAT;MASC;SG
अपडेट	aktualizovať	अपडेट	aktualizovať	N;NOM;MASC;SG;3	V;IPFV;POS;NFIN
अपडेट	aktualizuje	अपडेट	aktualizovať	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;POS;PRS;FIN
अपडेट	aktuality	अपडेट	aktualita	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अपडेट	aktualizácie	अपडेट	aktualizácia	N;NOM;MASC;SG;3	N;NOM;FEM;PL
डेनिस	denise	डेनिस	denisa	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
डेनिस	denisa	डेनिस	denisa	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
डेनिस	dennis	डेनिस	dennis	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
डेनिस	denis	डेनिस	denis	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
डेनिस	denis	डेनिस	denis	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
जोएल	joel	जोएल	joel	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
मैगज़ीन	časopisy	मैगज़ीन	časopis	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
मैगज़ीन	časopisov	मैगज़ीन	časopis	PROPN;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
शंघाई	šanghaji	शंघाई	šanghaj	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
किट	súpravu	किट	súprava	N;NOM;FEM;SG;3	N;ACC;FEM;SG
भ्रमित	zmätené	भ्रमित	zmätený		ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
भ्रमित	zmätení	भ्रमित	zmätený		ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
भ्रमित	zmätený	भ्रमित	zmätený		ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
संस्मरण	pamäte	संस्मरण	pamäť	N;NOM;MASC;SG;3	N;NOM;FEM;PL
बाप	otče	बाप	otče	N;NOM;MASC;SG;3	N;ANIM;VOC;MASC;SG
बाप	otca	बाप	otec	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;SG
थाली	platne	थाला	platňa	N;NOM;FEM;SG;3	N;NOM;FEM;PL
नग्न	nahý	नग्न	nahý		N;ANIM;NOM;MASC;SG
नग्न	nahá	नग्न	nahý		N;NOM;FEM;SG
नग्न	nahé	नग्न	nahý		N;NOM;NEUT;PL
नग्न	nahá	नग्न	nahý		N;NOM;FEM;SG
नग्न	nahý	नग्न	nahý		N;ANIM;NOM;MASC;SG
नग्न	nahé	नग्न	nahý		N;NOM;NEUT;PL
कार्यभार	pridelenia	कार्यभार	pridelenie	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
कार्यभार	úlohy	कार्यभार	úloha	N;NOM;MASC;SG;3	N;NOM;FEM;PL
एनालॉग	analógové	एनालॉग	analógový	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
युगों	juga	युग	jug	N;ACC;MASC;PL;3	PROPN;ANIM;NOM;MASC;SG
रुकावट	zablokovaniu	रुकावट	zablokovanie	N;NOM;FEM;SG;3	N;DAT;NEUT;SG
प्रतिबिंब	zrkadla	प्रतिबिंब	zrkadlo	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
ब्लेड	čepele	ब्लेड	čepel	N;NOM;MASC;SG;3	N;NOM;FEM;PL
सदिश	vektora	सदिश	vektor	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
सदिश	vektorov	सदिश	vektor	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
स्थगित	pozastaviť	स्थगित	pozastaviť	ADJ	V;PFV;POS;NFIN
स्थगित	odložiť	स्थगित	odložiť	ADJ	V;PFV;POS;NFIN
स्थगित	odložili	स्थगित	odložiť	ADJ	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
स्थगित	čaká	स्थगित	čakať	ADJ	V;IPFV;IND;SG;3;POS;PRS;FIN
दायित्वों	povinnosťami	दायित्व	povinnosť	N;ACC;MASC;PL;3	N;INS;FEM;PL
दायित्वों	povinností	दायित्व	povinnosť	N;ACC;MASC;PL;3	N;GEN;FEM;PL
दायित्वों	záväzky	दायित्व	záväzok	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
दायित्वों	povinnosti	दायित्व	povinnosť	N;ACC;MASC;PL;3	N;NOM;FEM;PL
पावन	svätá	पावन	svätý		ADJ;NOM;FEM;SG
पावन	svätý	पावन	svätý		ADJ;ANIM;NOM;MASC;SG
पावन	sväté	पावन	svätý		ADJ;NOM;NEUT;SG
मर्यादा	dôstojný	मर्यादा	dôstojný	N;NOM;FEM;SG;3	ADJ;ANIM;NOM;MASC;SG
बैले	balet	बैले	balet	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
बसंत	prameň	बसंत	prameň	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
बसंत	jar	बसंत	jar	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
बसंत	jarná	बसंत	jarný	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
बसंत	jaro	बसंत	jaro	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
बसंत	jarné	बसंत	jarný	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
शर्ट	tričká	शर्ट	tričko	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;PL
शर्ट	košele	शर्ट	košelo	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
न्यायाधीशों	sudcovia	न्यायाधीश	sudca	N;ACC;MASC;PL;3	N;ANIM;NOM;MASC;PL
सेंसर	snímačov	सेंसर	snímač	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
सेंसर	snímače	सेंसर	snímač	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
सेंसर	senzorov	सेंसर	senzor	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
सेंसर	senzory	सेंसर	senzor	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
सेंसर	snímača	सेंसर	snímač	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
स्टैंड	stáť	स्टैंड	stáť	N;NOM;MASC;SG;3	V;IPFV;POS;NFIN
स्टैंड	stojí	स्टैंड	stáť	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;POS;PRS;FIN
उपनिवेशों	kolónie	उपनिवेश	kolónia	N;ACC;MASC;PL;3	N;NOM;FEM;PL
उपनिवेशों	kolóniu	उपनिवेश	kolónia	N;ACC;MASC;PL;3	N;ACC;FEM;SG
उपनिवेशों	kolónia	उपनिवेश	kolónia	N;ACC;MASC;PL;3	N;NOM;FEM;SG
उपनिवेशों	kolónii	उपनिवेश	kolónia	N;ACC;MASC;PL;3	N;DAT;FEM;SG
एकाधिकार	monopoly	एकाधिकार	monopol	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विनाशकारी	katastrofálne	विनाशकारी	katastrofálne	ADJ	ADV
मिसौरी	missouri	मिसौरी	missouri	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
बहुराष्ट्रीय	nadnárodná	बहुराष्ट्रीय	nadnárodný	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
मारी	márie	मार	mária	V;PFV;FEM;SG;V.PTCP;ACT	N;NOM;FEM;PL
मारी	marie	मार	marie	V;PFV;FEM;SG;V.PTCP;ACT	PROPN;NOM;FEM;SG
मारी	mária	मार	máriť	V;PFV;FEM;SG;V.PTCP;ACT	N;NOM;FEM;SG
मारी	mari	मार	mari	V;PFV;FEM;SG;V.PTCP;ACT	PROPN;ANIM;NOM;MASC;SG
कार्गो	nákladu	कार्ग	náklad	N;NOM;MASC;PL;3	N;INAN;GEN;MASC;SG
कार्गो	náklad	कार्ग	náklad	N;NOM;MASC;PL;3	N;INAN;NOM;MASC;SG
आमेर	amer	आमेर	amer	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
दारा	darius	दारा	darius	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
दारा	dara	दारा	dar	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
फ़्रांसीसी	francúzske	फ़्रांसीसी	francúzsky	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
फ़्रांसीसी	francúzština	फ़्रांसीसी	francúzština	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
फ़्रांसीसी	francúzsky	फ़्रांसीसी	francúzsky	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
फ़्रांसीसी	francúz	फ़्रांसीसी	francúz	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
फ़्रांसीसी	francúzska	फ़्रांसीसी	francúzsky	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
जादूगर	čarodejníka	जादूगर	čarodejník	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;SG
जादूगर	kúzelníci	जादूगर	kúzelník	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
प्रतिमान	paradigmy	प्रतिमान	paradigma	N;NOM;MASC;SG;3	N;NOM;FEM;PL
सच्चा	pravda	सच्चा	pravda	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
सच्चा	true	सच्चा	true	PROPN;NOM;MASC;SG;3	
सच्चा	pravdivé	सच्चा	pravdivý	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
वोल्ट	volt	वोल्ट	volt	N;NOM;MASC;SG;3	
अमोनिया	amoniaku	अमोनिया	amoniak	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
डू	doo	डू	doo	N;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
कॉफ़ी	káve	कॉफ़ी	káva	N;NOM;FEM;SG;3	N;DAT;FEM;SG
कॉफ़ी	kávu	कॉफ़ी	káva	N;NOM;FEM;SG;3	N;ACC;FEM;SG
उल्टा	reverznej	उल्टा	reverzný		ADJ;GEN;FEM;SG
उल्टा	spätný	उल्टा	spätný		ADJ;ANIM;NOM;MASC;SG
उल्टा	obrátenej	उल्टा	obrátený		ADJ;GEN;FEM;SG;POS;V.PTCP;PASS
एलेन	ellen	एलेन	ellen	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
किराए	cestovné	किराया	cestovný	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
किराए	cestovného	किराया	cestovný	N;NOM;MASC;SG;3	ADJ;GEN;NEUT;SG
किराए	prenajať	किराया	prenajať	N;NOM;MASC;SG;3	V;IPFV;POS;NFIN
किराए	nájomné	किराया	nájomný	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
न्यायालयों	súdy	न्यायालय	súd	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
न्यायालयों	súdov	न्यायालय	súd	N;ACC;MASC;PL;3	N;INAN;GEN;MASC;PL
एस्टन	aston	एस्टन	aston	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
मांसपेशी	svaly	मांसपेशी	sval	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
मांसपेशी	svalov	मांसपेशी	sval	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;PL
विषाक्त	jedovatý	विषाक्त	jedovatý	N;NOM;MASC;SG;3	ADJ;ANIM;NOM;MASC;SG
विषाक्त	toxické	विषाक्त	toxický	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
विषाक्त	toxická	विषाक्त	toxický	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
विषाक्त	toxický	विषाक्त	toxický	N;NOM;MASC;SG;3	ADJ;ANIM;NOM;MASC;SG
तूफ़ान	búrky	तूफ़ान	búrka	N;NOM;MASC;SG;3	N;NOM;FEM;PL
तूफ़ान	storm	तूफ़ान	storý	N;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
कड़ा	silno	कड़ा	silno	ADJ;NOM;MASC;SG	ADV
कड़ा	pevne	कड़ा	pevne	ADJ;NOM;MASC;SG	ADV
कड़ा	tvrdo	कड़ा	tvrdo	ADJ;NOM;MASC;SG	ADV
कड़ा	silno	कड़ा	silno	ADJ;NOM;MASC;SG	ADV
कड़ा	ťažko	कड़ा	ťažko	ADJ;NOM;MASC;SG	ADV
बदली	zatiahnuté	बदल	zatiahnutý	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
मूसा	mojžiš	मूसा	môjžiť	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
मूसा	musa	मूसा	mus	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
पिंक	pink	पिंक	pink	PROPN;NOM;FEM;SG;3	PROPN;ANIM;NOM;MASC;SG
पिंक	ružovú	पिंक	ružový	PROPN;NOM;FEM;SG;3	N;ACC;FEM;SG
पिंक	ružové	पिंक	ružový	PROPN;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
पिंक	ružový	पिंक	ružový	PROPN;NOM;FEM;SG;3	ADJ;ANIM;NOM;MASC;SG
पिंक	ružová	पिंक	ružový	PROPN;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
बैरी	barry	बैरी	barra		N;NOM;FEM;SG
बैरी	antagonista	बैरी	antagonista		N;ANIM;NOM;MASC;SG
कॉमर्स	komerčné	कॉमर्स	komerčný	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
जीप	jeep	जीप	jeep	N;NOM;FEM;SG;3	PROPN;ANIM;NOM;MASC;SG
चलाना	exec	चला	exec	V;MASC;NFIN;ACT	PROPN;ANIM;NOM;MASC;SG
चलाना	vykonávanie	चला	vykonávanie	V;MASC;NFIN;ACT	N;NOM;NEUT;SG
चलाना	poprava	चला	poprava	V;MASC;NFIN;ACT	N;NOM;FEM;SG
चलाना	vykonanie	चला	vykonanie	V;MASC;NFIN;ACT	N;NOM;NEUT;SG
चलाना	realizácia	चला	realizácia	V;MASC;NFIN;ACT	N;NOM;FEM;SG
चलाना	plnenie	चला	plnenie	V;MASC;NFIN;ACT	N;NOM;NEUT;SG
दादी	starka	दादी	starka	N;NOM;FEM;SG;3	PROPN;NOM;FEM;SG
पहाड़ियाँ	kopcov	पहाड़ी	kopec	N;NOM;FEM;PL;3	N;INAN;GEN;MASC;PL
पहाड़ियाँ	hills	पहाड़ी	hills	N;NOM;FEM;PL;3	PROPN;ANIM;NOM;MASC;SG
मैथ्यू	matthew	मैथ्यू	matthew	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
मैथ्यू	matúš	मैथ्यू	matúš	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
गंधक	síry	गंधक	sír	N;NOM;MASC;SG;3	N;NOM;FEM;PL
गंधक	síry	गंधक	sír	N;NOM;MASC;SG;3	N;NOM;FEM;PL
दूषित	poškodený	दूषित	poškodený	ADP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
दूषित	poškodená	दूषित	poškodený	ADP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
दूषित	poškodené	दूषित	poškodený	ADP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
पश्च	zadné	पश्च	zadný		ADJ;NOM;NEUT;SG
पश्च	zadná	पश्च	zadný		ADJ;NOM;FEM;SG
पश्च	zadný	पश्च	zadný		ADJ;ANIM;NOM;MASC;SG
मिर्ज़ा	mirza	मिर्ज़ा	mirz	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
क्रांतिकारियों	revolucionári	क्रांतिकारी	revolucionár	N;ACC;MASC;PL;3	N;ANIM;NOM;MASC;PL
हीरे	diamantov	हीरा	diamant	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
हीरे	diamanty	हीरा	diamant	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
प्रशिक्षक	trénera	प्रशिक्षक	tréner	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;SG
प्रशिक्षक	inštruktora	प्रशिक्षक	inštruktor	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;SG
सांसारिक	pozemské	सांसारिक	pozemský	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
फसलें	plodín	फसल	plodina	N;NOM;FEM;PL;3	N;GEN;FEM;PL
अमूर्त	abstraktné	अमूर्त	abstraktný	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
सौभाग्य	našťastie	सौभाग्य	našťastie	PROPN;NOM;MASC;SG;3	PART
सौभाग्य	bohatstvo	सौभाग्य	bohatstvo	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG
ब्रायंट	bryant	ब्रायंट	bryant	N;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
गैरी	garry	गैरी	garra	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
गैरी	garyho	गैरी	garyho	PROPN;NOM;MASC;SG;3	N;ANIM;ACC;MASC;SG
गैरी	gary	गैरी	gary	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
साइमन	šimon	साइमन	šimon	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
साइमन	simon	साइमन	simon	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
साइमन	simona	साइमन	simon	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
कार्बोनेट	uhličitan	कार्बोनेट	uhličitan	N;NOM;MASC;PL;3	N;NOM;FEM;SG
कार्बोनेट	uhličitanu	कार्बोनेट	uhličitan	N;NOM;MASC;PL;3	N;ACC;FEM;SG
हिब्रू	hebrejčine	हिब्रू	hebrejčine	PROPN;NOM;MASC;SG;3	N;DAT;FEM;SG
बर्ड	vtáčik	बर्ड	vtáčik	PROPN;NOM;FEM;SG;3	N;ANIM;NOM;MASC;SG
बर्ड	bird	बर्ड	bird	PROPN;NOM;FEM;SG;3	PROPN;ANIM;NOM;MASC;SG
बर्ड	vták	बर्ड	vták	PROPN;NOM;FEM;SG;3	N;ANIM;NOM;MASC;SG
बर्ड	vtáka	बर्ड	vták	PROPN;NOM;FEM;SG;3	N;ANIM;ACC;MASC;SG
आत्मसमर्पण	vzdať	आत्मसमर्पण	vzdať	N;NOM;MASC;SG;3	V;PFV;POS;NFIN
तैराकी	plávajúce	तैराकी	plávajúci	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
हक	haq	हक	haq	N;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
संस्थागत	inštitucionálne	संस्थागत	inštitucionálny	N;NOM;3	ADJ;NOM;NEUT;SG
संस्थागत	inštitucionálny	संस्थागत	inštitucionálny	N;NOM;3	ADJ;INAN;NOM;MASC;SG
संस्थागत	inštitucionálna	संस्थागत	inštitucionálny	N;NOM;3	ADJ;NOM;FEM;SG
चिट्ठा	blogu	चिट्ठा	bloga	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
ठंड	studená	ठंड	studený	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
ठंड	studené	ठंड	studený	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
ठंड	chladná	ठंड	chladný	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
चूहे	myší	चूह	myšať	V;PFV;MASC;SG;V.PTCP;ACT	N;GEN;FEM;PL
चूहे	myši	चूह	myš	V;PFV;MASC;SG;V.PTCP;ACT	N;VOC;FEM;SG
चूहे	myšiach	चूह	myšiť	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;NEUT;PL
चूहे	potkany	चूह	potkan	V;PFV;MASC;SG;V.PTCP;ACT	N;INAN;NOM;MASC;PL
चूहे	krysy	चूह	krys	V;PFV;MASC;SG;V.PTCP;ACT	N;INAN;NOM;MASC;PL
चूहे	potkanov	चूह	potkan	V;PFV;MASC;SG;V.PTCP;ACT	N;INAN;GEN;MASC;PL
लीड	vedú	लीड	viesť		V;IPFV;IND;PL;3;POS;PRS;FIN
लीड	vedie	लीड	viesť		V;IPFV;IND;SG;3;POS;PRS;FIN
लीड	vedenia	लीड	vedenie		N;NOM;NEUT;PL
लीड	vedúci	लीड	vedúci		N;ANIM;NOM;MASC;SG
लीड	olovo	लीड	olovo		N;NOM;NEUT;SG
लीड	vedenie	लीड	vedenie		N;NOM;NEUT;SG
लीड	viesť	लीड	viesť		V;IPFV;POS;NFIN
दार्शनिकों	filozofi	दार्शनिक	filozofi	N;ACC;MASC;PL;3	N;ANIM;NOM;MASC;PL
प्राणायाम	pránajáma	प्राणायाम	pránajámy	N;NOM;MASC;SG;3	V;IPFV;IND;PL;1;POS;PRS;FIN
परवाह	care	परवाह	cara	N;NOM;FEM;SG;3	N;VOC;FEM;SG
परवाह	starostlivosti	परवाह	starostlivosť	N;NOM;FEM;SG;3	N;NOM;FEM;PL
