krans	آرائشی	krans	آرائشی	N;MASC+FEM;SG	ADJ
symboliek	علامتیت.	symboliek	علامتیت.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
specialiteit	مصنوعہ	specialiteit	مصنوعہ	N;MASC+FEM;SG	ADJ
specialiteit	امتیاز.	specialiteit	امتیاز.	N;MASC+FEM;SG	ADJ;NOM
pleidooi	التماس.	pleidooi	التماس.	N;NEUT;SG	PROPN;NOM;MASC;SG;3
soeverein	عمدہ	soeverein	عمدہ	N;MASC+FEM;SG	ADJ
soeverein	مؤثر.	soeverein	مؤثر.	N;MASC+FEM;SG	ADJ
minnaar	عاشق	minnaar	عاشق	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
minnaar	شیدا.	minnaar	شیدا.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
echtscheiding	علاحدگی	echtscheiding	علاحدگی	N;MASC+FEM;SG	ADJ
echtscheiding	ناموافقت	echtscheiding	ناموافقت	N;MASC+FEM;SG	ADJ
voorhoofd	پیشانی.	voorhoofd	پیشانی.	N;NEUT;SG	PROPN;NOM;MASC;SG;3
voorhoofd	ماتھا	voorhoofd	ماتھا	N;NEUT;SG	PROPN;NOM;MASC;SG;3
voorhoofd	ماتھا	voorhoofd	ماتھا	N;NEUT;SG	PROPN;NOM;MASC;SG;3
voorhoofd	کھڈ	voorhoofd	کھڈ	N;NEUT;SG	
voorhoofd	ابرو.	voorhoofd	ابرو.	N;NEUT;SG	PROPN;NOM;MASC;SG;3
voorhoofd	ماتھا	voorhoofd	ماتھا	N;NEUT;SG	PROPN;NOM;MASC;SG;3
voorhoofd	کھڈ	voorhoofd	کھڈ	N;NEUT;SG	
voorhoofd	ابرو.	voorhoofd	ابرو.	N;NEUT;SG	PROPN;NOM;MASC;SG;3
jurk	رسمی	jurk	رسمی	N;MASC+FEM;SG	ADJ
bessen	گری	bessen	گری	N;PL	N;NOM;MASC;SG;3
aangeboren	طبعی	aangeboren	طبعی	V;V.PTCP	ADJ
aangeboren	پکّا	aangeboren	پکڑ	V;V.PTCP	PROPN;NOM;MASC;SG;3
aangeboren	قدرتی.	aangeboren	قدرتی.	V;V.PTCP	PROPN;NOM;MASC;SG;3
aangeboren	پیدائشی	aangeboren	پیدائشی	V;V.PTCP	N;NOM;MASC;SG;3
onderdrukken	(	onderdrukken	(	V;NFIN	
onderdrukken	تابع	onderdrukken	تابع	V;NFIN	N;NOM;MASC;SG;3
onderdrukken	دفعیہ	onderdrukken	دفعیہ	V;NFIN	PROPN;NOM;MASC;SG;3
button	ٹانکنا-	button	ٹانکنا-	N;MASC+FEM;SG	
button	تکمہ	button	تکمہ	N;MASC+FEM;SG	
button	شمشیرزنی	button	شمشیرزنی	N;MASC+FEM;SG	ADJ
button	ٹانکنا-	button	ٹانکنا-	N;MASC+FEM;SG	
button	تکمہ	button	تکمہ	N;MASC+FEM;SG	
button	بٹن	button	بٹن	N;MASC+FEM;SG	
button	شمشیرزنی	button	شمشیرزنی	N;MASC+FEM;SG	ADJ
postzegel	بھانتی	postzegel	بھانتی	N;MASC+FEM;SG	V;IPFV;FEM;SG;V.PTCP;ACT
glans	روشن	glans	روشن	N;MASC+FEM;SG	ADJ
glans	تابناکی.	glans	تابناکی.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
glans	جودت	glans	جودت	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
glans	(	glans	(	N;MASC+FEM;SG	
glans	روشن	glans	روشن	N;MASC+FEM;SG	ADJ
glans	تابناکی.	glans	تابناکی.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
glans	تابانی	glans	تابانی	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
glans	چمکنا	glans	چمک	N;MASC+FEM;SG	V;MASC;SG;NFIN;ACT
glans	جودت	glans	جودت	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
glans	(	glans	(	N;MASC+FEM;SG	
glans	اجلاپن.	glans	اجلاپن.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
glans	جِلا	glans	جِلا	N;MASC+FEM;SG	
glans	چمکانا.	glans	چمکانا.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
glans	جھوٹی	glans	جھوٹا	N;MASC+FEM;SG	ADJ;FEM
criminaliteit	پاپ	criminaliteit	پاپ	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
mislukking	برپا	mislukking	برپا	N;MASC+FEM;SG	V;V.PTCP;ACT
mislukking	منعقد	mislukking	منعقد	N;MASC+FEM;SG	ADJ
mislukking	دیوالہ	mislukking	دیوالہ	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
mislukking	سقوط	mislukking	سقوط	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
mislukking	خرابی	mislukking	خرابی	N;MASC+FEM;SG	ADJ
mislukking	بربادی.	mislukking	بربادی.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
mislukking	بگاڑ	mislukking	بگاڑ	N;MASC+FEM;SG	V;ACT
mislukking	برپا	mislukking	برپا	N;MASC+FEM;SG	V;V.PTCP;ACT
mislukking	منعقد	mislukking	منعقد	N;MASC+FEM;SG	ADJ
mislukking	دیوالہ	mislukking	دیوالہ	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
mislukking	سقوط	mislukking	سقوط	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
mislukking	خرابی	mislukking	خرابی	N;MASC+FEM;SG	ADJ
mislukking	بربادی.	mislukking	بربادی.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
mislukking	بگاڑ	mislukking	بگاڑ	N;MASC+FEM;SG	V;ACT
vrijgekomen	خالی	vrijkomen	خالی	V;V.PTCP	ADJ
nagel	مینح	nagel	مینح	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
nagel	کیل	nagel	کیل	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
aanbidding	تقدیس	aanbidding	تقدیس	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
aanbidding	تقدیس	aanbidding	تقدیس	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
aanbidding	ارجمندی	aanbidding	ارجمندی	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
aanbidding	پوجنا	aanbidding	پوجنا	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
aanbidding	احترام.	aanbidding	احترام.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
groente	جامد-	groente	جامد-	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
groente	لدّھڑ	groente	لدّھڑ	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
groente	بقلی	groente	بقلی	N;MASC+FEM;SG	
groente	نباتی	groente	نباتی	N;MASC+FEM;SG	ADJ
estlandse	ایسٹونیائی.	estlands	ایسٹونیائی.	ADJ	PROPN;NOM;MASC;SG;3
socialist	اشتراکی	socialist	اشتراکی	N;MASC+FEM;SG	ADJ
ontkennen	مکرنا	ontkennen	مکر	V;NFIN	PROPN;NOM;MASC;SG;3
spoed	فوری	spoed	فوری	N;MASC+FEM;SG	ADJ
spoed	جلد.	spoed	جلد.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
magisch	طلسمی	magisch	طلسمی	ADJ	PROPN;NOM;MASC;SG;3
magisch	سحر	magisch	سحر	ADJ	PROPN;NOM;MASC;SG;3
magisch	طلسمی	magisch	طلسمی	ADJ	PROPN;NOM;MASC;SG;3
magisch	جادوئی.	magisch	جادوئی	ADJ	PROPN;NOM;MASC;SG;3
epic	عظیم	epic	عظیم	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
epic	بہادرانہ.	epic	بہادرانہ.	N;MASC+FEM;SG	ADJ
epic	زبردست	epic	زبردست	N;MASC+FEM;SG	ADJ
epic	عظیم	epic	عظیم	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
epic	بہادرانہ.	epic	بہادرانہ.	N;MASC+FEM;SG	ADJ
epic	زبردست	epic	زبردست	N;MASC+FEM;SG	ADJ
epic	رزمیہ	epic	رزمیہ	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
scheenbeen	پنڈلی	scheenbeen	پنڈلی	N;NEUT;SG	V;PFV;FEM;SG;V.PTCP;ACT
scheenbeen	ساق.	scheenbeen	ساق.	N;NEUT;SG	PROPN;NOM;MASC;SG;3
rotten	تعجب	rot	تعجب	V;NFIN	;NOM;MASC;SG;3
rotten	بکواس	rot	بکواس	V;NFIN	PROPN;NOM;MASC;SG;3
rotten	ستانا	rot	ستانا	V;NFIN	PROPN;NOM;MASC;SG;3
rotten	away	rot	away	V;NFIN	PROPN;NOM;MASC;SG;3
rotten	خرابی	rot	خرابی	V;NFIN	ADJ
rotten	سڑانا	rot	سڑانا	V;NFIN	PROPN;NOM;MASC;SG;3
rotten	تباہی.	rot	تباہی.	V;NFIN	PROPN;NOM;MASC;SG;3
rotten	انحطاط	rot	انحطاط	V;NFIN	N;NOM;MASC;SG;3
eerlijke	مُبّیضہ	eerlijk	مُبّیضہ	ADJ	PROPN;NOM;MASC;SG;3
eerlijke	حتمی.	eerlijk	حتمی.	ADJ	PROPN;NOM;MASC;SG;3
eerlijke	گورا	eerlijk	گورا	ADJ	PROPN;NOM;MASC;SG;3
eerlijke	حسین	eerlijk	حسین	ADJ	PROPN;NOM;MASC;SG;3
eerlijke	حسینہ.	eerlijk	حسینہ.	ADJ	PROPN;NOM;MASC;SG;3
eerlijke	مہربان	eerlijk	مہربان	ADJ	PROPN;NOM;MASC;SG;3
eerlijke	واقعی.	eerlijk	واقعی.	ADJ	N;SG
eerlijke	مخلص.	eerlijk	مخلص.	ADJ	PROPN;NOM;MASC;SG;3
eerlijke	دھوکے	eerlijk	دھوکا	ADJ	V;PFV;MASC;PL;V.PTCP;ACT
eerlijke	خالص	eerlijk	خالص	ADJ	N;NOM;MASC;SG;3
verwarming	گرماؤ	verwarming	گرماوا	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
configuratie	نفسیات	configuratie	نفسیات	N;MASC+FEM;SG	N;NOM;MASC;PL;3
onschuldige	بغیر	onschuldig	بغیر	ADJ	PART;NEG
onschuldige	بدوں.	onschuldig	بدہ	ADJ	V;MASC;PL;FIN;ACT
onschuldige	بغیر	onschuldig	بغیر	ADJ	PART;NEG
onschuldige	بدوں.	onschuldig	بدہ	ADJ	V;MASC;PL;FIN;ACT
onschuldige	معصوم	onschuldig	معصوم	ADJ	N;NOM;MASC;SG;3
coöperatieve	کاروبار	copperatief	کاروبار	ADJ	N;NOM;MASC;SG;3
tolerantie	سمائی.	tolerantie	سمائی.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
tolerantie	سمائی.	tolerantie	سمائی.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
bewaker	سرپرست.	bewaker	سرپرست.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
bewaker	خبرداری.	bewaker	خبرداری.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
bewaker	گارڈ.	bewaker	گارڈ.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
bewaker	ہوشیاری	bewaker	ہوشیاری	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
bewaker	نگہبانی	bewaker	نگہبانی	N;MASC+FEM;SG	ADJ
bewaker	پتّے	bewaker	پتیے	N;MASC+FEM;SG	V;MASC;SG;V.PTCP;ACT
form	جون	form	جون		PROPN;NOM;MASC;SG;3
form	قاعدہ	form	قاعدہ		N;NOM;MASC;SG;3
form	روایت.	form	روایت.		PROPN;NOM;MASC;SG;3
form	جنس	form	جنس		N;NOM;MASC;SG;3
form	بنانا.	form	بناناؤ		V;MASC;SG;NFIN;ACT
form	سدھانا.	form	سدھاناؤ		PROPN;NOM;MASC;SG;3
form	حُلیہ	form	حُلیہ		PROPN;NOM;MASC;SG;3
form	نقشہ	form	نقشہ		N;NOM;MASC;SG;3
form	خاکہ	form	خاکہ		N;NOM;MASC;SG;3
form	ذات.	form	ذات.		PROPN;NOM;MASC;SG;3
form	قسم	form	قسم		N;NOM;MASC;SG;3
form	جماعت	form	جماعت		N;NOM;FEM;SG;3
form	ضابطہ	form	ضابطہ		N;NOM;MASC;SG;3
form	کلاس.	form	کلاس.		PROPN;NOM;MASC;SG;3
form	رسم	form	رسم		N;NOM;FEM;SG;3
form	گھڑنا.	form	گھڑنا.		
form	بولنا.	form	بولنا.		V;NFIN;ACT
form	پیرایہ	form	پیرایہ		PROPN;NOM;MASC;SG;3
form	جون	form	جون		PROPN;NOM;MASC;SG;3
form	قاعدہ	form	قاعدہ		N;NOM;MASC;SG;3
form	روایت.	form	روایت.		PROPN;NOM;MASC;SG;3
form	جنس	form	جنس		N;NOM;MASC;SG;3
form	بنانا.	form	بناناؤ		V;MASC;SG;NFIN;ACT
form	سدھانا.	form	سدھاناؤ		PROPN;NOM;MASC;SG;3
form	حُلیہ	form	حُلیہ		PROPN;NOM;MASC;SG;3
form	نقشہ	form	نقشہ		N;NOM;MASC;SG;3
form	خاکہ	form	خاکہ		N;NOM;MASC;SG;3
form	ذات.	form	ذات.		PROPN;NOM;MASC;SG;3
form	قسم	form	قسم		N;NOM;MASC;SG;3
form	جماعت	form	جماعت		N;NOM;FEM;SG;3
form	ضابطہ	form	ضابطہ		N;NOM;MASC;SG;3
form	کلاس.	form	کلاس.		PROPN;NOM;MASC;SG;3
form	رسم	form	رسم		N;NOM;FEM;SG;3
form	گھڑنا.	form	گھڑنا.		
form	بولنا.	form	بولنا.		V;NFIN;ACT
form	پیرایہ	form	پیرایہ		PROPN;NOM;MASC;SG;3
form	شکل	form	شکل		N;NOM;MASC;SG;3
mioceen	مائسینی	mioceen	مائسینی	N;PL	PROPN;NOM;MASC;SG;3
dolly	dolly-bird	dolly	dolly-bird	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
berk	بدّھو	berk	بدّھو	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
grip	تھئیٹر	grip	تھئیٹر	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
grip	روزگار-	grip	روزگار-	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
grip	کتّا	grip	کتّا	N;MASC+FEM;SG	
grip	پکڑ	grip	پکڑ	N;MASC+FEM;SG	V;ACT
grip	تھئیٹر	grip	تھئیٹر	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
grip	روزگار-	grip	روزگار-	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
grip	کتّا	grip	کتّا	N;MASC+FEM;SG	
vergetelheid	سہو	vergetelheid	سہو	N;MASC+FEM;SG	V;ACT
vergetelheid	نسیان	vergetelheid	نسیان	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
vergetelheid	درگزر.	vergetelheid	درگزر.	N;MASC+FEM;SG	
verbranden	داغ	verbranden	داغ	V;NFIN	N;NOM;MASC;SG;3
verbranden	سگریٹ.	verbranden	سگریٹ.	V;NFIN	PROPN;NOM;MASC;SG;3
verbranden	چرکا	verbranden	چرکا	V;NFIN	
verbranden	گلانا.	verbranden	گلانا.	V;NFIN	PROPN;NOM;MASC;SG;3
verbranden	جْھلسا-	verbranden	جْھلسا-	V;NFIN	PROPN;NOM;MASC;SG;3
verbranden	شدید	verbranden	شدید	V;NFIN	ADJ
verbranden	نہایت	verbranden	نہایت	V;NFIN	ADV
verbranden	ظاہر	verbranden	ظاہر	V;NFIN	ADJ
voorwaarts	مستک	voorwaarts	مستک	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
voorwaarts	تیز.	voorwaarts	تیز.	N;MASC+FEM;SG	
voorwaarts	لدوانا	voorwaarts	لدوا	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
voorwaarts	ڈھوانا	voorwaarts	ڈھوا	N;MASC+FEM;SG	V;MASC;SG;NFIN;ACT
voorwaarts	گستاخ	voorwaarts	گستاخ	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
voorwaarts	آئندہ	voorwaarts	آئندہ	N;MASC+FEM;SG	ADJ
nan	نان	nan	نان	N;MASC+FEM;SG	
uwe	تمھارا	uw	تمھارا	N;MASC+FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
daddy	ابا	daddy	ابا	N;MASC+FEM;SG	
daddy	ابو.	daddy	ابو.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
hydraulische	آبی	hydraulisch	آبی	ADJ	PROPN;NOM;MASC;SG;3
integreren	مکمل	integreren	مکمل	V;NFIN	ADJ
afstamming	میراث.	afstamming	میراث.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
afstamming	شجرہ.	afstamming	شجرہ.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
duurzaamheid	(	duurzaamheid	(	N;MASC+FEM;SG	
mislukken	(	mislukken	(	V;NFIN	
mislukken	منعقد	mislukken	منعقد	V;NFIN	ADJ
mislukken	دیوالہ	mislukken	دیوالہ	V;NFIN	PROPN;NOM;MASC;SG;3
mislukken	سقوط	mislukken	سقوط	V;NFIN	PROPN;NOM;MASC;SG;3
mislukken	خرابی	mislukken	خرابی	V;NFIN	ADJ
mislukken	بربادی.	mislukken	بربادی.	V;NFIN	PROPN;NOM;MASC;SG;3
mislukken	تباہی	mislukken	تباہی	V;NFIN	N;NOM;MASC;SG;3
mislukken	منعقد	mislukken	منعقد	V;NFIN	ADJ
mislukken	دیوالہ	mislukken	دیوالہ	V;NFIN	PROPN;NOM;MASC;SG;3
mislukken	سقوط	mislukken	سقوط	V;NFIN	PROPN;NOM;MASC;SG;3
mislukken	ناکامی	mislukken	ناکامی	V;NFIN	N;NOM;MASC;SG;3
mislukken	خرابی	mislukken	خرابی	V;NFIN	ADJ
mislukken	بربادی.	mislukken	بربادی.	V;NFIN	PROPN;NOM;MASC;SG;3
mislukken	تباہی	mislukken	تباہی	V;NFIN	N;NOM;MASC;SG;3
besmetting	تعدیہ	besmetting	تعدیہ	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
agressie	زبردستی-	agressie	زبردستی-	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
agressie	جنگجوئی	agressie	جنگجوئی	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
symmetrische	متشاکُل	symmetrisch	متشاکُل	ADJ	PROPN;NOM;MASC;SG;3
struikgewas	شاخسار.	struikgewas	شاخسار.	N;NEUT;SG	PROPN;NOM;MASC;SG;3
struikgewas	جھاڑی	struikgewas	جھاڑی	N;NEUT;SG	ADJ
struikgewas	شاخسار.	struikgewas	شاخسار.	N;NEUT;SG	PROPN;NOM;MASC;SG;3
bereiding	مستعدی.	bereiding	مستعدی.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
fit	تشنج	fit	تشنج	ADJ	
fit	جوڑنا	fit	جوڑ	ADJ	V;MASC;SG;NFIN;ACT
fit	مطابق	fit	مطابق	ADJ	ADP
fit	موزونیت	fit	موزونیت	ADJ	N;NOM;MASC;SG;3
fit	توانا	fit	توانا	ADJ	N;NOM;MASC;SG;3
carry	مضمر	carry	مضمر	N;MASC+FEM;SG	ADJ
carry	گھسنا.	carry	گھسنا.	N;MASC+FEM;SG	
carry	ٹپّا.	carry	ٹپّا.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
carry	مضمن	carry	مضمن	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
carry	پہنچانا	carry	پہنچ	N;MASC+FEM;SG	V;MASC;SG;NFIN;ACT
carry	مضمر	carry	مضمر	N;MASC+FEM;SG	ADJ
carry	گھسنا.	carry	گھسنا.	N;MASC+FEM;SG	
carry	ٹپّا.	carry	ٹپّا.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
carry	مضمن	carry	مضمن	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
terugtocht	ضعیفوں	terugtocht	ضعیفہ	N;MASC+FEM;SG	N;ACC;MASC;PL;3
wederzijdse	متلازم	wederzijds	متلازم	ADJ	PROPN;NOM;MASC;SG;3
wederzijdse	معکوس	wederzijds	معکوس	ADJ	PROPN;NOM;MASC;SG;3
wederzijdse	متلازم	wederzijds	متلازم	ADJ	PROPN;NOM;MASC;SG;3
wederzijdse	معکوس	wederzijds	معکوس	ADJ	PROPN;NOM;MASC;SG;3
laurel	اعزاز.	laurel	اعزاز.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
laurel	افتخار	laurel	افتخار	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
bruto	پھپّس-	bruto	پھپّس-	N;NEUT;SG	PROPN;NOM;MASC;SG;3
bruto	غبی	bruto	غبی	N;NEUT;SG	
bruto	گرس.	bruto	گرس.	N;NEUT;SG	PROPN;NOM;MASC;SG;3
bruto	ٹھوس.	bruto	ٹھوس.	N;NEUT;SG	PROPN;NOM;MASC;SG;3
bruto	مجموعی	bruto	مجموعی	N;NEUT;SG	ADJ
bruto	گاڑھا	bruto	گاڑھا	N;NEUT;SG	V;PFV;MASC;SG;V.PTCP;ACT
bruto	گرز	bruto	گرز	N;NEUT;SG	
bruto	موٹا	bruto	موٹا	N;NEUT;SG	ADJ;NOM;MASC;SG
bruto	پھپّس-	bruto	پھپّس-	N;NEUT;SG	PROPN;NOM;MASC;SG;3
bruto	غبی	bruto	غبی	N;NEUT;SG	
bruto	گرس.	bruto	گرس.	N;NEUT;SG	PROPN;NOM;MASC;SG;3
bruto	ٹھوس.	bruto	ٹھوس.	N;NEUT;SG	PROPN;NOM;MASC;SG;3
bruto	مجموعی	bruto	مجموعی	N;NEUT;SG	ADJ
bruto	گاڑھا	bruto	گاڑھا	N;NEUT;SG	V;PFV;MASC;SG;V.PTCP;ACT
bruto	گرز	bruto	گرز	N;NEUT;SG	
lei	سلیٹی	lei	سلیٹی	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
dear	پیارا	dear	پیارا	N;MASC+FEM;SG	ADJ;NOM;MASC;SG
statische	ساکت	statisch	ساکت	ADJ	N;NOM;MASC;SG;3
statische	مجہول.	statisch	مجہول.	ADJ	PROPN;NOM;MASC;SG;3
korst	چھیلنا	korst	چھیل	N;MASC+FEM;SG	V;NFIN;ACT
korst	ٹپنا	korst	ٹپنا	N;MASC+FEM;SG	V;MASC;SG;NFIN;ACT
korst	کھرنڈ	korst	کھرنڈ	N;MASC+FEM;SG	
korst	پپڑی.	korst	پپڑی.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
korst	ڈھکنا	korst	ڈھک	N;MASC+FEM;SG	V;SG;ACT
overlap	چھانا	overlap	چھانا	N;MASC+FEM;SG	V;SG;NFIN;ACT
herr	صاحب.	herr	صاحب.	N;MASC+FEM;SG	
herr	مسٹر	herr	مسٹر	N;MASC+FEM;SG	PART
soep	کہر	soep	کہر	N;MASC+FEM;SG	
soep	دُھند	soep	دُھند	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
soep	کہر	soep	کہر	N;MASC+FEM;SG	
soep	دُھند	soep	دُھند	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
erotische	ہوسناک.	erotisch	ہوسناک.	ADJ	PROPN;NOM;MASC;SG;3
shin	پنڈلی	shin	پنڈلی	N;MASC+FEM;SG	V;PFV;FEM;SG;V.PTCP;ACT
shin	ساق.	shin	ساق.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
inlichtingendienst	ذہین	inlichtingendienst	ذہین	N;MASC+FEM;SG	ADJ
inlichtingendienst	خبر.	inlichtingendienst	خبر.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
inlichtingendienst	ذہین	inlichtingendienst	ذہین	N;MASC+FEM;SG	ADJ
inlichtingendienst	خبر.	inlichtingendienst	خبر.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
seksualiteit	جنسیت	seksualiteit	جنسیت	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
display	نظرفریبی.	display	نظرفریبی.	N;NEUT;SG	ADJ
display	تماشا.	display	تماشا.	N;NEUT;SG	
display	دکھاوا	display	دکھا	N;NEUT;SG	V;PFV;MASC;SG;V.PTCP;ACT
schors	درختوں	schor	درخت	N;MASC+FEM;SG	N;ACC;MASC;PL;3
schors	کھجانا	schor	کھجا	N;MASC+FEM;SG	V;MASC;SG;NFIN;ACT
schors	بھونکنا.	schor	بھونکنا.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
kin	زنخداں	kin	زنخداں	N;MASC+FEM;SG	ADJ
kin	ٹھوڑی	kin	ٹھوڑی	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
kin	ذقن	kin	ذقن	N;MASC+FEM;SG	
kin	زنخداں	kin	زنخداں	N;MASC+FEM;SG	ADJ
kin	ٹھوڑی	kin	ٹھوڑی	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
kin	عزیز	kin	عزیز	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
parel	مہرہ	parel	مہرہ	N;MASC+FEM;SG	
parel	بوند	parel	بوند	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
parel	سُمرن	parel	سُمرن	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
parel	بلبلہ.	parel	بلبلہ.	N;MASC+FEM;SG	
