кратеров	kraattereita	кратер	kraatteri	N;INAN;GEN;MASC;PL	N;PRT;PL
норвежский	norjaksi	норвежский	norja	ADJ;NOM;MASC;SG	N;TRANS;SG
норвежский	norjan	норвежский	norja	ADJ;NOM;MASC;SG	N;GEN;SG
норвежский	norja	норвежский	norja	ADJ;NOM;MASC;SG	PROPN;NOM;SG
командиров	komentajat	командир	komentaja	N;ANIM;GEN;MASC;PL	N;NOM;PL
взяв	ottaa	брать	ottaa	V;PFV;PST;V.CVB;ACT	V;IND;SG;3;PRS;FIN;ACT
взяв	ottaminen	брать	ottaminen	V;PFV;PST;V.CVB;ACT	N;NOM;SG
дополнительная	lisä	дополнительный	lisä	ADJ;NOM;FEM;SG	N;NOM;SG
дополнительная	ylimääräiset	дополнительный	yli#määräinen	ADJ;NOM;FEM;SG	ADJ;NOM;PL
дополнительная	ylimääräistä	дополнительный	yli#määräinen	ADJ;NOM;FEM;SG	ADJ;PRT;SG
дополнительная	extra	дополнительный	extra	ADJ;NOM;FEM;SG	N;NOM;SG
дополнительная	lisä	дополнительный	lisä	ADJ;NOM;FEM;SG	N;NOM;SG
десятилетий	vuosikymmeniä	десятилетие	vuosikymmen	N;INAN;GEN;NEUT;PL	N;PRT;PL
десятилетий	vuosikymmen	десятилетие	vuosi#kymmen	N;INAN;GEN;NEUT;PL	N;NOM;SG
гостиницы	hotellia	гостиница	hotelli	N;INAN;NOM;FEM;PL	N;PRT;SG
конкретный	erityiset	конкретный	erityinen	ADJ;NOM;MASC;SG	ADJ;NOM;PL
конкретный	erityisiä	конкретный	erityinen	ADJ;NOM;MASC;SG	ADJ;PRT;PL
конкретный	erityistä	конкретный	erityinen	ADJ;NOM;MASC;SG	ADJ;PRT;SG
конкретный	konkreettista	конкретный	konkreettinen	ADJ;NOM;MASC;SG	ADJ;PRT;SG
конкретный	konkreettisia	конкретный	konkreettinen	ADJ;NOM;MASC;SG	ADJ;PRT;PL
конкретный	konkreettiset	конкретный	konkreettinen	ADJ;NOM;MASC;SG	ADJ;NOM;PL
конкретный	betonia	конкретный	betonia	ADJ;NOM;MASC;SG	N;PRT;SG
купить	ostetaan	купить	ostaa	V;PFV;NFIN;ACT	V;IND;PRS;FIN;PASS
верность	uskollisuutta	верность	uskollisuus	N;INAN;NOM;FEM;SG	N;PRT;SG
поднять	nosto	поднять	nosto	V;PFV;NFIN;ACT	N;NOM;SG
плата	maksua	плата	maksu	N;INAN;NOM;FEM;SG	N;PRT;SG
репутацию	mainetta	репутация	maine	N;INAN;ACC;FEM;SG	N;PRT;SG
репутацию	maine	репутация	maine	N;INAN;ACC;FEM;SG	N;NOM;SG
коммуникации	viestintä	коммуникация	viestin	N;INAN;NOM;FEM;PL	N;NOM;SG
коммуникации	tietoliikenne	коммуникация	tieto#liikenne	N;INAN;NOM;FEM;PL	N;NOM;SG
коммуникации	viestinnän	коммуникация	viestintä	N;INAN;NOM;FEM;PL	N;GEN;SG
костюм	puvun	костюм	puku	N;INAN;NOM;MASC;SG	N;GEN;SG
избирательный	valikoivaa	избирательный	valikoiva	ADJ;NOM;MASC;SG	ADJ;PRT;SG
отдельное	erikseen	отдельный	erikseen	ADJ;NOM;NEUT;SG	ADV
отдельное	erilliset	отдельный	erillinen	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
крус	cruz	крус	cruz	N;INAN;NOM;FEM;SG	PROPN;NOM;SG
отбора	valikoima	отбор	valikoima	N;INAN;GEN;MASC;SG	N;NOM;SG
отбора	valinta	отбор	valinta	N;INAN;GEN;MASC;SG	N;NOM;SG
бойцы	taistelijoiden	боец	taistelija	N;ANIM;NOM;MASC;PL	N;GEN;PL
бойцы	hävittäjiä	боец	hävittäjä	N;ANIM;NOM;MASC;PL	N;PRT;PL
бойцы	taistelijoita	боец	taistelija	N;ANIM;NOM;MASC;PL	N;PRT;PL
лук	sipulia	лук	sipuli	N;INAN;NOM;MASC;SG	N;PRT;SG
лук	sipulia	лук	sipuli	N;INAN;NOM;MASC;SG	N;PRT;SG
лук	kumartaa	лук	kumartaa	N;INAN;NOM;MASC;SG	V;IND;SG;3;PRS;FIN;ACT
ушел	poissa	уйти	poissa	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADV
прусской	preussin	прусский	preussi	ADJ;INS;FEM;SG	N;GEN;SG
фишер	fisher	фишер	fisher	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG
фишер	fischer	фишер	fischer	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG
скажите	sano	сказать	sanoa	V;PFV;IMP;PL;2;FIN;ACT	V;IMP;SG;2;FIN;ACT
разрешено	valtuutettu	разрешить	valtuutettu	V;PFV;NEUT;SG;PST;V.PTCP;PASS	N;NOM;SG
разрешено	sallittu	разрешить	sallittu	V;PFV;NEUT;SG;PST;V.PTCP;PASS	N;NOM;SG
разрешено	sallitaan	разрешить	sallia	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IND;PRS;FIN;PASS
разрешено	sallittua	разрешить	sallittu	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;PRT;SG
разрешено	sallitut	разрешить	sallia	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;NOM;PL;V.PTCP;PASS
разрешено	sallittu	разрешить	sallittu	V;PFV;NEUT;SG;PST;V.PTCP;PASS	N;NOM;SG
разрешено	sallitaan	разрешить	sallia	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IND;PRS;FIN;PASS
разрешено	sallitut	разрешить	sallia	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;NOM;PL;V.PTCP;PASS
разрешено	sallittu	разрешить	sallittu	V;PFV;NEUT;SG;PST;V.PTCP;PASS	N;NOM;SG
разрешено	valtuutettu	разрешить	valtuutettu	V;PFV;NEUT;SG;PST;V.PTCP;PASS	N;NOM;SG
разрешено	sallittu	разрешить	sallittu	V;PFV;NEUT;SG;PST;V.PTCP;PASS	N;NOM;SG
гражданские	siviili	гражданский	siviillä	ADJ;NOM;PL	N;NOM;SG
гражданские	siviili	гражданский	siviillä	ADJ;NOM;PL	N;NOM;SG
гражданские	siviilit	гражданский	siviili	ADJ;NOM;PL	N;NOM;PL
гражданские	siviilejä	гражданский	siviili	ADJ;NOM;PL	N;PRT;PL
марино	marinon	марино	marino	N;INAN;NOM;MASC;SG	N;GEN;SG
марино	marino	марино	marino	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
проектирование	suunnitella	проектирование	suunnitella	N;INAN;NOM;NEUT;SG	V;SG;NFIN;ACT
функционирования	toimiva	функционирование	toimia	N;INAN;NOM;NEUT;PL	V;NOM;SG;V.PTCP;ACT
низкая	matalalla	низкий	matala	ADJ;NOM;FEM;SG	ADJ;AT+ESS
;SG
низкая	vähä	низкий	vähän	ADJ;NOM;FEM;SG	ADV
завершено	päätökseen	завершить	päätös	V;PFV;NEUT;SG;PST;V.PTCP;PASS	N;IN+ALL;SG
завершено	päättynyt	завершить	päättyä	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;NOM;SG;V.PTCP;ACT
завершено	valmis	завершить	valmis	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;SG
завершено	valmiit	завершить	valmis	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;PL
завершено	päättynyt	завершить	päättyä	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;NOM;SG;V.PTCP;ACT
франс	ranska	франс	ranska	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
франс	ranskan	франс	ranska	N;INAN;NOM;MASC;SG	N;GEN;SG
индейцы	intiaaneja	индеец	intiaani	N;ANIM;NOM;MASC;PL	N;PRT;PL
польшу	puola	польша	puola	N;INAN;ACC;FEM;SG	PROPN;NOM;SG
польшу	puolaa	польша	puola	N;INAN;ACC;FEM;SG	N;PRT;SG
польшу	puolan	польша	puola	N;INAN;ACC;FEM;SG	N;GEN;SG
толщиной	paksu	толщина	paksu	N;INAN;INS;FEM;SG	ADJ;NOM;SG
толщиной	paksua	толщина	paksu	N;INAN;INS;FEM;SG	ADJ;PRT;SG
толщиной	paksut	толщина	paksu	N;INAN;INS;FEM;SG	ADJ;NOM;PL
достоинство	arvokkuutta	достоинство	arvokkuus	N;INAN;NOM;NEUT;SG	N;PRT;SG
верующих	uskovat	верующий	uskoa	N;ANIM;ACC;MASC;PL	V;IND;PL;3;PRS;FIN;ACT
верующих	uskollinen	верующий	uskollinen	N;ANIM;ACC;MASC;PL	ADJ;NOM;SG
верующих	uskolliset	верующий	uskollinen	N;ANIM;ACC;MASC;PL	ADJ;NOM;PL
пустыни	aavikkoa	пустыня	aavikko	N;INAN;NOM;FEM;PL	N;PRT;SG
пустыни	aavikon	пустыня	aavikko	N;INAN;NOM;FEM;PL	N;GEN;SG
пустыни	desert	пустыня	desert	N;INAN;NOM;FEM;PL	
оборона	puolustukseen	оборона	puolustus	N;INAN;NOM;FEM;SG	N;IN+ALL;SG
оборона	puolustusta	оборона	puolustus	N;INAN;NOM;FEM;SG	N;PRT;SG
аллен	allen	аллен	allen	N;ANIM;NOM;MASC;SG	
эрика	erika	эрик	erika	N;ANIM;NOM;FEM;SG	PROPN;NOM;SG
эрика	erica	эрик	erica	N;ANIM;NOM;FEM;SG	PROPN;NOM;SG
согласиться	hyväksy	согласиться	hyväksyä	V;PFV;NFIN;MID	V;IMP;SG;2;FIN;ACT
согласиться	sovittava	согласиться	sopia	V;PFV;NFIN;MID	V;NOM;SG;V.PTCP;PASS
упомянуть	maininta	упомянуть	maininta	V;PFV;NFIN;ACT	N;NOM;SG
снимаю	kuvaaminen	снимать	kuvaaminen	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;SG
снимаю	kuvaukset	снимать	kuvaus	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;PL
снимаю	kuvaan	снимать	kuva	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;IN+ALL;SG
гости	vierailijoita	гость	vierailija	N;ANIM;NOM;MASC;PL	N;PRT;PL
гости	kävijöitä	гость	kävijä	N;ANIM;NOM;MASC;PL	N;PRT;PL
гости	vieraita	гость	vieras	N;ANIM;NOM;MASC;PL	N;PRT;PL
гости	vieraita	гость	vieras	N;ANIM;NOM;MASC;PL	N;PRT;PL
обнаружена	havaitut	обнаружить	havaita	V;PFV;FEM;SG;PST;V.PTCP;PASS	V;NOM;PL;V.PTCP;PASS
переворот	vallankaappauksen	переворот	vallan#kaappaus	N;INAN;NOM;MASC;SG	N;GEN;SG
южные	etelä	южный	etelä	ADJ;NOM;PL	N;NOM;SG
южные	etelän	южный	etelä	ADJ;NOM;PL	N;GEN;SG
южные	eteläinen	южный	eteläinen	ADJ;NOM;PL	ADJ;NOM;SG
афганистан	afganistan	афганистан	afganista	N;INAN;NOM;MASC;SG	N;GEN;SG
афганистан	afganistanin	афганистан	afganistan	N;INAN;NOM;MASC;SG	N;GEN;SG
перри	perryn	перрь	perry	N;INAN;NOM;MASC;SG	N;GEN;SG
перри	perry	перрь	perry	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
обслуживание	palvelujen	обслуживание	palvelu	N;INAN;NOM;NEUT;SG	N;GEN;PL
обслуживание	palvelut	обслуживание	palvelu	N;INAN;NOM;NEUT;SG	N;NOM;PL
обслуживание	palveluja	обслуживание	palvelu	N;INAN;NOM;NEUT;SG	N;PRT;PL
обслуживание	huollon	обслуживание	huolto	N;INAN;NOM;NEUT;SG	N;GEN;SG
обслуживание	palvelun	обслуживание	palvelu	N;INAN;NOM;NEUT;SG	N;GEN;SG
обслуживание	palvelua	обслуживание	palvelu	N;INAN;NOM;NEUT;SG	N;PRT;SG
религиозный	uskonnolliset	религиозный	uskonnollinen	ADJ;NOM;MASC;SG	ADJ;NOM;PL
сортов	lajikkeet	сорт	lajike	N;INAN;GEN;MASC;PL	N;NOM;PL
вероятности	todennäköisyyksiä	вероятность	toden#näköisyys	N;INAN;NOM;FEM;SG	N;PRT;PL
банки	pankkien	банк	pankki	N;INAN;NOM;MASC;PL	N;GEN;PL
используемый	käytetyt	использовать	käyttää	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS	V;NOM;PL;V.PTCP;PASS
используемый	käytettyjä	использовать	käyttää	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS	V;PRT;PL;V.PTCP;PASS
настоящие	real	настоящий	real	ADJ;NOM;PL	
настоящие	todellinen	настоящий	todellinen	ADJ;NOM;PL	ADJ;NOM;SG
настоящие	oikea	настоящий	oikea	ADJ;NOM;PL	ADJ;NOM;SG
настоящие	aito	настоящий	aito	ADJ;NOM;PL	ADJ;NOM;SG
настоящие	todellista	настоящий	todellinen	ADJ;NOM;PL	ADJ;PRT;SG
настоящие	aito	настоящий	aito	ADJ;NOM;PL	ADJ;NOM;SG
тяжёлый	raskasta	тяжёлый	raskas	ADJ;NOM;MASC;SG	ADJ;PRT;SG
тяжёлый	raskaat	тяжёлый	raskas	ADJ;NOM;MASC;SG	ADJ;NOM;PL
сорок	neljäkymmentä	сорок	neljä#kymmenen	NUM;NOM	NUM;PRT;SG
сорок	forty	сорок	forty	NUM;NOM	
ларри	larryn	ларри	larry	N;ANIM;NOM;MASC;SG	N;GEN;SG
ларри	larry	ларри	larry	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG
курган	kurgan	курган	kurga	N;INAN;NOM;MASC;SG	N;GEN;SG
запретить	kielto	запретить	kielto	V;PFV;NFIN;ACT	N;NOM;SG
запретить	kieltäminen	запретить	kieltäminen	V;PFV;NFIN;ACT	N;NOM;SG
крыша	katolla	крыша	katto	N;INAN;NOM;FEM;SG	N;AT+ESS
;SG
крыша	kattoa	крыша	katto	N;INAN;NOM;FEM;SG	N;PRT;SG
крыша	katon	крыша	katto	N;INAN;NOM;FEM;SG	N;GEN;SG
продюсеры	tuottajia	продюсер	tuottaja	N;ANIM;NOM;MASC;PL	N;PRT;PL
объяснение	selitykset	объяснение	selitys	N;INAN;NOM;NEUT;SG	N;NOM;PL
уэст	west	уэст	west	PART	PROPN;NOM;SG
уэст	lännessä	уэст	länsi	PART	N;IN+ESS;SG
уэст	läntinen	уэст	läntinen	PART	ADJ;NOM;SG
уэст	länsi	уэст	länteä	PART	N;NOM;SG
атмосферу	ilmakehä	атмосфера	ilma#kehä	N;INAN;ACC;FEM;SG	N;NOM;SG
атмосферу	ilmapiiri	атмосфера	ilma#piiri	N;INAN;ACC;FEM;SG	N;NOM;SG
атмосферу	tunnelma	атмосфера	tunnelma	N;INAN;ACC;FEM;SG	N;NOM;SG
атмосферу	tunnelmaa	атмосфера	tunnelma	N;INAN;ACC;FEM;SG	N;PRT;SG
добавления	lisäyksiä	добавление	lisäys	N;INAN;NOM;NEUT;PL	N;PRT;PL
добавления	lisäyksiä	добавление	lisäys	N;INAN;NOM;NEUT;PL	N;PRT;PL
прорыв	puhjennut	прорыв	puhjeta	N;INAN;NOM;MASC;SG	V;NOM;SG;V.PTCP;ACT
сложный	monimutkaista	сложный	monimutkainen	ADJ;NOM;MASC;SG	ADJ;PRT;SG
сложный	monimutkaiset	сложный	monimutkainen	ADJ;NOM;MASC;SG	ADJ;NOM;PL
сложный	monimutkaista	сложный	monimutkainen	ADJ;NOM;MASC;SG	ADJ;PRT;SG
сложный	monimutkaiset	сложный	monimutkainen	ADJ;NOM;MASC;SG	ADJ;NOM;PL
лат	lat	латинский	lat		N;NOM;SG
мастерство	käsityötä	мастерство	käsi#työ	N;INAN;NOM;NEUT;SG	N;PRT;SG
мастерство	taitoa	мастерство	taito	N;INAN;NOM;NEUT;SG	N;PRT;SG
мастерство	taidot	мастерство	taito	N;INAN;NOM;NEUT;SG	N;NOM;PL
приоритет	etusijalla	приоритет	etu#sija	N;INAN;NOM;MASC;SG	N;AT+ESS
;SG
приоритет	ensisijainen	приоритет	ensisijainen	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
кратко	lyhyt	кратко	lyhyt	ADV	ADJ;NOM;SG
боли	kipu	боль	kipu	N;INAN;NOM;FEM;PL	N;NOM;SG
боли	kipua	боль	kipu	N;INAN;NOM;FEM;PL	N;PRT;SG
боли	tuska	боль	tuska	N;INAN;NOM;FEM;PL	N;NOM;SG
боли	tuskaa	боль	tuska	N;INAN;NOM;FEM;PL	N;PRT;SG
секс	seksiä	секс	seksi	N;INAN;NOM;MASC;SG	N;PRT;SG
уолтер	walterin	уолтер	walteri	N;ANIM;NOM;MASC;SG	N;GEN;SG
посредничества	sovittelu	посредничество	sovittelu	N;INAN;NOM;NEUT;PL	N;NOM;SG
посредничества	välitys	посредничество	välitys	N;INAN;NOM;NEUT;PL	N;NOM;SG
серый	gray	серый	gray	ADJ;NOM;MASC;SG	PROPN;NOM;SG
серый	harmaata	серый	harmaa	ADJ;NOM;MASC;SG	ADJ;PRT;SG
серый	harmaita	серый	harmaa	ADJ;NOM;MASC;SG	ADJ;PRT;PL
серый	harmaata	серый	harmaa	ADJ;NOM;MASC;SG	ADJ;PRT;SG
серый	grey	серый	grey	ADJ;NOM;MASC;SG	
филармонии	filharmoninen	филармония	filharmoninen	N;INAN;NOM;FEM;PL	ADJ;NOM;SG
точность	tarkkuutta	точность	tarkkuus	N;INAN;NOM;FEM;SG	N;PRT;SG
точность	tarkkuuden	точность	tarkkuus	N;INAN;NOM;FEM;SG	N;GEN;SG
точность	tarkkuutta	точность	tarkkuus	N;INAN;NOM;FEM;SG	N;PRT;SG
просмотра	katsominen	просмотр	katsominen	N;INAN;GEN;MASC;SG	N;NOM;SG
просмотра	katselu	просмотр	katselu	N;INAN;GEN;MASC;SG	N;NOM;SG
политбюро	politbyroon	политбюро	politbyro	N;INAN;NOM;NEUT;SG	N;GEN;SG
заявляет	julistetaan	заявлять	julistaa	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;PASS
изящных	dainty	изящный	dainty	ADJ;GEN;PL	N;NOM;SG
проза	proosaa	проза	proosa	N;INAN;NOM;FEM;SG	N;PRT;SG
белки	proteiini	белок	prote	N;INAN;NOM;MASC;PL	N;NOM;SG
белки	proteiinia	белок	proteiini	N;INAN;NOM;MASC;PL	N;PRT;SG
белки	proteiineja	белок	proteiini	N;INAN;NOM;MASC;PL	N;PRT;PL
белки	proteiinin	белок	proteiini	N;INAN;NOM;MASC;PL	N;GEN;SG
белки	proteiineja	белок	proteiini	N;INAN;NOM;MASC;PL	N;PRT;PL
белки	oravia	белок	orava	N;INAN;NOM;MASC;PL	N;PRT;PL
мяса	liha	мясо	liha	N;INAN;GEN;NEUT;SG	N;NOM;SG
мяса	lihaa	мясо	liha	N;INAN;GEN;NEUT;SG	N;PRT;SG
скандал	skandaalin	скандал	skandaali	N;INAN;NOM;MASC;SG	N;GEN;SG
разницы	marginaali	разница	marginaali	N;INAN;NOM;FEM;PL	N;NOM;SG
свадьбы	häitä	свадьба	häät	N;INAN;NOM;FEM;PL	N;PRT;PL
свадьбы	häissä	свадьба	häät	N;INAN;NOM;FEM;PL	N;IN+ESS;PL
свадьбы	häitä	свадьба	häät	N;INAN;NOM;FEM;PL	N;PRT;PL
ранение	vahinkoa	ранение	vahinko	N;INAN;NOM;NEUT;SG	N;PRT;SG
ранение	vammat	ранение	vamma	N;INAN;NOM;NEUT;SG	N;NOM;PL
ранение	haavaa	ранение	haava	N;INAN;NOM;NEUT;SG	N;PRT;SG
ранение	haavan	ранение	haava	N;INAN;NOM;NEUT;SG	N;GEN;SG
пенсильвания	pennsylvanian	пенсильвание	pennsylvania	N;INAN;NOM;NEUT;PL	N;GEN;SG
цепь	ketjun	цепь	ketju	N;INAN;NOM;FEM;SG	N;GEN;SG
цепь	ketjut	цепь	ketju	N;INAN;NOM;FEM;SG	N;NOM;PL
цепь	ketjussa	цепь	ketju	N;INAN;NOM;FEM;SG	N;IN+ESS;SG
видна	näkyvä	видный	näkyä	ADJ;FEM;SG	V;NOM;SG;V.PTCP;ACT
видна	näkyvissä	видный	näkyä	ADJ;FEM;SG	V;IN+ESS;PL;V.PTCP;ACT
видна	näkyy	видный	näkyä	ADJ;FEM;SG	V;IND;SG;3;PRS;FIN;ACT
видна	näkyvät	видный	näkyä	ADJ;FEM;SG	V;IND;PL;3;PRS;FIN;ACT
звёздный	stellar	звёздный	stellar	ADJ;NOM;MASC;SG	
пятой	viidenneksi	пятый	viides	ADJ;INS;FEM;SG	ADJ;TRANS;SG
пятой	viides	пятый	viides	ADJ;INS;FEM;SG	ADJ;NOM;SG
волгоград	volgogradin	волгоград	volgogradi	N;INAN;NOM;MASC;SG	N;GEN;SG
умершего	kuolleet	умереть	kuolla	V;PFV;GEN;MASC;SG;PST;V.PTCP;ACT	V;NOM;PL;V.PTCP;ACT
умершего	edesmennyt	умереть	edes#mennä	V;PFV;GEN;MASC;SG;PST;V.PTCP;ACT	V;NOM;SG;V.PTCP;ACT
умершего	vainaja	умереть	vainaja	V;PFV;GEN;MASC;SG;PST;V.PTCP;ACT	N;NOM;SG
умершего	kuollut	умереть	kuolla	V;PFV;GEN;MASC;SG;PST;V.PTCP;ACT	V;NOM;SG;V.PTCP;ACT
длиннее	kauemmin	длинный	kauemmin	ADJ;CMPR	ADV
длиннее	pidempään	длинный	pitkään	ADJ;CMPR	ADV;CMPR
длиннее	pitempään	длинный	pitkään	ADJ;CMPR	ADV;CMPR
заменены	korvattu	заменить	korvata	V;PFV;PL;PST;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
заменены	tilalle	заменить	tilalle	V;PFV;PL;PST;V.PTCP;PASS	ADP
заменены	korvattu	заменить	korvata	V;PFV;PL;PST;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
эксперименты	kokeita	эксперимент	kokea	N;INAN;NOM;MASC;PL	N;PRT;PL
эксперименты	kokeiluja	эксперимент	kokeilu	N;INAN;NOM;MASC;PL	N;PRT;PL
монах	munkin	монах	minä	N;ANIM;NOM;MASC;SG	N;GEN;SG
гражданина	kansalaista	гражданин	kansalainen	N;ANIM;ACC;MASC;SG	N;PRT;SG
гражданина	kansalainen	гражданин	kansalainen	N;ANIM;ACC;MASC;SG	N;NOM;SG
гражданина	kansalaisena	гражданин	kansalainen	N;ANIM;ACC;MASC;SG	ADJ;FRML;SG
флоренции	florence	флоренция	florence	N;INAN;NOM;FEM;PL	
флоренции	firenzen	флоренция	firenze	N;INAN;NOM;FEM;PL	PROPN;GEN;SG
флоренции	firenze	флоренция	firenze	N;INAN;NOM;FEM;PL	PROPN;NOM;SG
флоренции	firenzessä	флоренция	firenze	N;INAN;NOM;FEM;PL	PROPN;IN+ESS;SG
занят	kiire	занять	kiire	V;PFV;MASC;SG;PST;V.PTCP;PASS	N;NOM;SG
занят	kiireinen	занять	kiireinen	V;PFV;MASC;SG;PST;V.PTCP;PASS	ADJ;NOM;SG
баз	baz	база	baz	N;INAN;GEN;FEM;PL	PROPN;NOM;SG
добровольцев	vapaaehtoisia	доброволец	vapaa#ehtoinen	N;ANIM;ACC;MASC;PL	ADJ;PRT;PL
добровольцев	vapaaehtoiset	доброволец	vapaa#ehtoinen	N;ANIM;ACC;MASC;PL	ADJ;NOM;PL
добровольцев	vapaaehtoistyö	доброволец	vapaa#ehtois#työ	N;ANIM;ACC;MASC;PL	N;NOM;SG
добровольцев	vapaaehtoista	доброволец	vapaa#ehtoinen	N;ANIM;ACC;MASC;PL	ADJ;PRT;SG
добровольцев	vapaaehtoiset	доброволец	vapaa#ehtoinen	N;ANIM;ACC;MASC;PL	ADJ;NOM;PL
добровольцев	vapaaehtoinen	доброволец	vapaa#ehtoinen	N;ANIM;ACC;MASC;PL	ADJ;NOM;SG
рождение	syntyneet	рождение	syntyä	N;INAN;NOM;NEUT;SG	V;NOM;PL;V.PTCP;ACT
отменить	peru	отменить	perua	V;PFV;NFIN;ACT	INTJ
отменить	peru	отменить	perua	V;PFV;NFIN;ACT	INTJ
