月	maandenlang	月	maandenlang	N	ADJ
將	will	將	will	V;CAUS	
將	zal	將	zullen	V;CAUS	V;SG;PRS;FIN
將	zullen	將	zullen	V;CAUS	V;PL;PRS;FIN
高	high	高	high	PROPN	
高	hoog	高	hoog	PROPN	ADJ
高	hoge	高	hoog	PROPN	ADJ
高	tall	高	tall	PROPN	N;MASC+FEM;SG
高	gao	高	gaan	PROPN	PROPN;MASC+FEM;SG
美國	amerika	美國	amerika	PROPN	PROPN;NEUT;SG
集	instellen	集	instellen	N	V;NFIN
集	ingesteld	集	instellen	N	V;V.PTCP
台灣	taiwan	台灣	taiwan	PROPN	PROPN;NEUT;SG
台灣	taiwanese	台灣	taiwanees	PROPN	ADJ
布	doek	布	doek		N;NEUT;SG
南	zuid	南	zuid	N	ADJ
南	nam	南	nemen	N	V;SG;PST;FIN
路	weg	路	weg	N	ADV
五	five	五	five	NUM	N;MASC+FEM;SG
本	ben	本	zijn		V;SG;PRS;FIN
金	jin	金	jin	PROPN	N;MASC+FEM;SG
金	goud	金	goud	PROPN	N;NEUT;SG
金	kim	金	kimlen	PROPN	N;MASC+FEM;SG
曾	zeng	曾	zengen	ADV	N;MASC+FEM;SG
林	lincoln	林	lincoln	PROPN	N;NEUT;SG
包括	inclusief	包括	inclusief	V	ADJ
包括	inclusief	包括	inclusief	V	ADJ
包括	inclusief	包括	inclusief	V	ADJ
峰	peak	峰	peak	PROPN	N;MASC+FEM;SG
峰	piek	峰	piek	PROPN	N;MASC+FEM;SG
峰	hoogtepunt	峰	hoogtepunt	PROPN	N;NEUT;SG
峰	pieken	峰	pieken	PROPN	N;PL
其他	overige	其他	overig	DET	ADJ
其他	andere	其他	ander	DET	ADJ
其他	ander	其他	ander	DET	ADJ
其他	overig	其他	overig	DET	
其他	overige	其他	overig	DET	ADJ
其他	andere	其他	ander	DET	ADJ
其他	overigen	其他	overigen	DET	ADJ
其他	anderen	其他	ander	DET	ADJ
第一	eerste	第一	één	NUM	ADJ
第一	eerst	第一	eerst	NUM	ADV
比	ratio	比	ratio	ADP	N;MASC+FEM;SG
比	verhouding	比	verhouding	ADP	N;MASC+FEM;SG
元	meta	元	meta	PROPN	N;MASC+FEM;SG
元	yuan	元	yuan	PROPN	N;MASC+FEM;SG
元	dollar	元	dollar	PROPN	N;MASC+FEM;SG
元	gewonnen	元	winnen	PROPN	V;V.PTCP
元	won	元	winnen	PROPN	V;SG;PST;FIN
中國	china	中國	china	PROPN	PROPN;NEUT;SG
中國	porselein	中國	porselein	PROPN	N;NEUT;SG
六	six	六	six	NUM	N;MASC+FEM;SG
主要	majoor	主要	majoor	ADV	N;MASC+FEM;SG
主要	major	主要	major	ADV	N;MASC+FEM;SG
主要	hoofdvak	主要	hoofdvak	ADV	N;NEUT;SG
主要	belangrijkste	主要	belangrijk	ADV	ADJ;RL
主要	voornaamste	主要	voornaam	ADV	ADJ;RL
主要	main	主要	main	ADV	N;MASC+FEM;SG
法	methode	法	methode	PROPN	N;MASC+FEM;SG
中心	centreren	中心	centreren	N	V;NFIN
中心	centreren	中心	centreren	N	V;NFIN
第二	tweede	第二	twee	NUM	ADJ
山	aankoppelen	山	aankoppelen	N	V;NFIN
山	bergen	山	bergen	N	V;NFIN
加	toevoegen	加	toevoegen	ADP	V;NFIN
加	voeg	加	voegen	ADP	V;SG;PRS;FIN
加	plus	加	plus	ADP	ADV
自己	zelf	自己	zelf	PRO	ADV
張	chang	張	chang	PROPN	N;MASC+FEM;SG
張	zhang	張	zhang	PROPN	N;MASC+FEM;SG
內	innerlijke	內	innerlijk	N	ADJ
內	innerlijk	內	innerlijk	N	ADJ
主	heer	主	heer	PART	N;MASC+FEM;SG
主	lord	主	lord	PART	N;MASC+FEM;SG
主	heere	主	heere	PART	N;MASC+FEM;SG
雷	ray	雷	ray	PROPN	N;MASC+FEM;SG
管理	beheer	管理	beheer	V	N;NEUT;SG
管理	management	管理	management	V	N;NEUT;SG
成	wordt	成	worden	V	V;SG;PRS;FIN
成	word	成	worden	V	V;SG;PRS;FIN
成	worden	成	worden	V	V;PL;PRS;FIN
性	seksuele	性	seksueel	N	ADJ
性	seksueel	性	seksueel	N	ADJ
成	sung	成	sung	V	N;MASC+FEM;SG
代表	representatief	代表	representatief	N	ADJ
代表	representatieve	代表	representatief	N	ADJ
代表	gedelegeerde	代表	gedelegeerde	N	V;V.PTCP
代表	afgevaardigde	代表	afvaardigen	N	V;V.PTCP
代表	delegeren	代表	delegeren	N	V;NFIN
代表	gemachtigde	代表	machtigen	N	V;V.PTCP
那	dan	那	dan	PRO	ADV
那	daarna	那	daarna	PRO	ADV
羅	luo	羅	luo	PROPN	PROPN;MASC+FEM;SG
原	oorspronkelijke	原	oorspronkelijk	PART	ADJ
原	origineel	原	origineel	PART	ADJ
原	originele	原	origineel	PART	ADJ
原	hara	原	hara	PART	N;MASC+FEM;SG
工作	werken	工作	werken	N	V;NFIN
工作	klussen	工作	klus	N	V;NFIN
工作	werkend	工作	werkend	N	V;V.PTCP
工作	werken	工作	werken	N	V;NFIN
工作	werkende	工作	werken	N	V;V.PTCP
政治	politieke	政治	politiek	N	ADJ
陳	chen	陳	chen	PROPN	N;MASC+FEM;SG
陳	chan	陳	chan	PROPN	N;MASC+FEM;SG
陳	trần	陳	trần	PROPN	N;MASC+FEM;SG
他	zijn	他	zijn	PRO;3	V;PL;PRS;FIN
作品	werkt	作品	werken	N	V;SG;PRS;FIN
作品	werken	作品	werken	N	V;NFIN
更	more	更	more	ADV	
更	meer	更	veel	ADV	PRO
曼	mann	曼	mann	PROPN	N;MASC+FEM;SG
女	woman	女	woman	N	
女	vrouwelijke	女	vrouwelijk	N	ADJ
女	vrouwelijk	女	vrouwelijk	N	ADJ
正式	officieel	正式	officieel	ADV	ADJ
正式	formeel	正式	formeel	ADV	ADJ
正式	officieel	正式	officieel	ADV	ADJ
正式	formele	正式	formeel	ADV	ADJ
正式	formeel	正式	formeel	ADV	ADJ
外	buiten	外	buiten	N	ADP
外	buitenkant	外	buitenkant	N	ADJ
明	ming	明	mingen	PROPN	N;MASC+FEM;SG
美	mooi	美	mooi	PROPN	ADJ
美	prachtig	美	prachtig	PROPN	ADJ
美	mooie	美	mooi	PROPN	ADJ
美	beauty	美	beauty	PROPN	N;MASC+FEM;SG
美	schoonheid	美	schoonheid	PROPN	N;MASC+FEM;SG
因為	want	因為	want	ADP	CONJ
因為	omdat	因為	omdat	ADP	CONJ
北京	beijing	北京	beijing	PROPN	N;NEUT;SG
北京	peking	北京	peking	PROPN	N;NEUT;SG
北京	peking	北京	peking	PROPN	N;NEUT;SG
不同	anders	不同	anders	ADJ	ADV
足球	voetballen	足球	voetballen	N	V;NFIN
足球	voetballen	足球	voetballen	N	V;NFIN
目前	huidig	目前	huidig	N	ADJ
目前	huidige	目前	huidig	N	ADJ
目前	actueel	目前	actueel	N	ADJ
目前	momenteel	目前	momenteel	N	ADJ
所有	allen	所有	al	DET	PRO
所有	allemaal	所有	allemaal	DET	ADV
所有	alles	所有	alles	DET	PRO;3
部分	gedeeltelijk	部分	gedeeltelijk	N	ADJ
部分	gedeeltelijke	部分	gedeeltelijk	N	ADJ
部分	partiële	部分	partiel	N	ADJ
部分	gedeeltelijk	部分	gedeeltelijk	N	ADJ
部分	deels	部分	deels	N	ADJ
森	mori	森	mori	PROPN	N;MASC+FEM;SG
國家	staat	國家	staan	N	V;SG;PRS;FIN
國家	nationaal	國家	nationaal	N	ADJ
國家	nationale	國家	nationaal	N	ADJ
生	rauw	生	rauw	N	ADJ
生	ruw	生	ruw	N	ADJ
生	ruwe	生	ruw	N	ADJ
生	rauwe	生	rauw	N	ADJ
但是	maar	但是	maar	ADV	CONJ
一些	enkele	一些	enkele	ADJ	PRO
一些	sommigen	一些	sommigen	ADJ	PRO
一些	sommige	一些	sommig	ADJ	PRO
長	lang	長	lang	PART	ADJ
長	lange	長	lang	PART	ADJ
長	long	長	long	PART	N;MASC+FEM;SG
加入	join	加入	join	V	
加入	toetreding	加入	toetreding	V	N;MASC+FEM;SG
英	ying	英	ying	PROPN	N;MASC+FEM;SG
上海	shanghai	上海	shanghai	PROPN	N;MASC+FEM;SG
上海	sjanghai	上海	sjanghai	PROPN	N;NEUT;SG
第三	derde	第三	drie	NUM	ADJ
第三	third	第三	third	NUM	
魚	vissen	魚	vissen	N	V;NFIN
波	zwaaien	波	zwaaien	N	V;NFIN
回	terug	回	terug	PROPN	ADV
回	rug	回	rug	PROPN	N;MASC+FEM;SG
回	back	回	back	PROPN	N;MASC+FEM;SG
無	geen	無	geen	V	DET
吉	kat	吉	kat	PROPN	N;MASC+FEM;SG
英國	engeland	英國	engeland	PROPN	PROPN;NEUT;SG
英國	england	英國	england	PROPN	
周	week	周	week	PROPN	N;MASC+FEM;SG
周	weekje	周	weekje	PROPN	N;NEUT;SG
周	weeks	周	weeks	PROPN	N;MASC+FEM;SG
周	weken	周	week	PROPN	N;PL
周	zhou	周	zhou	PROPN	N;MASC+FEM;SG
周	chow	周	chow	PROPN	N;MASC+FEM;SG
建立	schepping	建立	schepping	V	N;MASC+FEM;SG
建立	creatie	建立	creatie	V	N;MASC+FEM;SG
建立	vestiging	建立	vestiging	V	N;MASC+FEM;SG
生活	living	生活	living	V	N;MASC+FEM;SG
生活	life	生活	life	V	
生活	leven	生活	leven	V	N;NEUT;SG
派	taart	派	taart	V;CAUS	N;MASC+FEM;SG
派	pie	派	pie	V;CAUS	N;MASC+FEM;SG
教育	leerzaam	教育	leerzaam	N	ADJ
教育	educatief	教育	educatief	N	ADJ
之後	na	之後	na	N	ADP
之後	after	之後	after	N	
萬	wan	萬	winnen	PROPN	N;MASC+FEM;SG
國際	internationaal	國際	internationaal	N	ADJ
完成	klaar	完成	klaar	V	ADJ
完成	finish	完成	finish	V	N;MASC+FEM;SG
完成	afwerking	完成	afwerking	V	N;MASC+FEM;SG
完成	done	完成	doon	V	ADJ
完成	klaar	完成	klaar	V	ADJ
完成	complete	完成	compleet	V	ADJ
完成	compleet	完成	compleet	V	ADJ
白	wit	白	wit	N	ADJ
白	witte	白	wit	N	ADJ
音樂	muzikale	音樂	muzikaal	N	ADJ
音樂	muzikaal	音樂	muzikaal	N	ADJ
沙	sha	沙	shaan	PROPN	N;MASC+FEM;SG
沙	zand	沙	zand	PROPN	N;NEUT;SG
沙	shah	沙	shah	PROPN	N;MASC+FEM;SG
沙	sjah	沙	sjah	PROPN	N;MASC+FEM;SG
可能	mogelijke	可能	mogelijk	N	ADJ
可能	mogelijk	可能	mogelijk	N	ADJ
分布	distributies	分布	distributie	V	N;PL
分布	uitkeringen	分布	uitkering	V	N;PL
分布	distributie	分布	distributie	V	N;MASC+FEM;SG
分布	verdeling	分布	verdeling	V	N;MASC+FEM;SG
梅	mogen	梅	mogen	PROPN	V;PL;PRS;FIN
梅	may	梅	may	PROPN	
梅	mei	梅	mei	PROPN	PROPN;MASC+FEM;SG
梅	mag	梅	mogen	PROPN	V;SG;PRS;FIN
梅	moge	梅	mogen	PROPN	V;SG;PRS;FIN
梅	mei	梅	mei	PROPN	PROPN;MASC+FEM;SG
中文	chinees	中文	chinees	N	ADJ
中文	chinese	中文	chinees	N	ADJ
自由	free	自由	free	N	
自由	vrij	自由	vrij	N	ADJ
自由	gratis	自由	gratis	N	ADJ
黃	wong	黃	weggen	PROPN	N;MASC+FEM;SG
黃	hwang	黃	hwang	PROPN	N;MASC+FEM;SG
黃	huang	黃	huang	PROPN	N;MASC+FEM;SG
黃	gele	黃	geel	PROPN	ADJ
黃	geel	黃	geel	PROPN	ADJ
獲得	get	獲得	get	V	
光	lichte	光	licht	N	ADJ
重要	belangrijkheid	重要	belangrijkheid	ADJ	N;MASC+FEM;SG
重要	belang	重要	belang	ADJ	N;NEUT;SG
工程	werkt	工程	werken	N	V;SG;PRS;FIN
工程	werken	工程	werken	N	V;NFIN
港	harbor	港	harbor	PROPN	N;MASC+FEM;SG
港	bakboord	港	bakboord	PROPN	N;MASC+FEM;SG
港	haven	港	haven	PROPN	N;MASC+FEM;SG
港	poort	港	poort	PROPN	N;MASC+FEM;SG
列	column	列	column	V	N;MASC+FEM;SG
列	zuil	列	zuil	V	N;MASC+FEM;SG
列	kolom	列	kolom	V	N;MASC+FEM;SG
最後	laatste	最後	laat	N	ADJ;RL
提交	onderwerping	提交	onderwerping	V	N;MASC+FEM;SG
提交	inzending	提交	inzending	V	N;MASC+FEM;SG
提交	indiening	提交	indiening	V	N;MASC+FEM;SG
經	sutra	經	sutra	ADP	N;MASC+FEM;SG
需要	nood	需要	nood	V	N;MASC+FEM;SG
需要	need	需要	need	V	
需要	nodig	需要	nodig	V	ADJ
需要	noodzaak	需要	noodzaak	V	N;MASC+FEM;SG
需要	behoefte	需要	behoefte	V	N;MASC+FEM;SG
需要	nodig	需要	nodig	V	ADJ
需要	benodigd	需要	benodigd	V	ADJ
需要	behoeften	需要	behoefte	V	N;PL
需要	noden	需要	nood	V	N;PL
江	rivier	江	rivier	PROPN	N;MASC+FEM;SG
江	river	江	river	PROPN	N;MASC+FEM;SG
江	jiang	江	jiang	PROPN	N;MASC+FEM;SG
臺灣	taiwan	臺灣	taiwan	PROPN	PROPN;NEUT;SG
臺灣	taiwanese	臺灣	taiwanees	PROPN	ADJ
臺灣	taiwanese	臺灣	taiwanees	PROPN	ADJ
這	dit	這	dit	DET	PRO;3
這	deze	這	deze	DET	PRO
泰	tae	泰	tae	PROPN	N;MASC+FEM;SG
泰	tai	泰	tai	PROPN	N;MASC+FEM;SG
登	deng	登	dengen	N	PROPN;MASC+FEM;SG
黑	duister	黑	duister	N	ADJ
黑	donker	黑	donker	N	ADJ
黑	donkere	黑	donker	N	ADJ
黑	zwarte	黑	zwart	N	ADJ
黑	black	黑	black	N	
黑	zwart	黑	zwart	N	ADJ
清	qing	清	qing	PROPN	PROPN;MASC+FEM;SG
最高	top	最高	top	ADJ	N;MASC+FEM;SG
最高	bovenkant	最高	bovenkant	ADJ	N;MASC+FEM;SG
最高	supreme	最高	supreem	ADJ	N;MASC+FEM;SG
要求	eis	要求	eis	V	N;MASC+FEM;SG
要求	voorschrift	要求	voorschrift	V	N;NEUT;SG
要求	aanvraag	要求	aanvraag	V	N;MASC+FEM;SG
要求	verzoek	要求	verzoek	V	N;NEUT;SG
要求	verzoeken	要求	verzoek	V	N;PL
要求	eis	要求	eis	V	N;MASC+FEM;SG
要求	verzoeken	要求	verzoek	V	N;PL
讓	jean	讓	jean	V;CAUS	N;MASC+FEM;SG
發現	ontdekking	發現	ontdekking	V	N;MASC+FEM;SG
發現	ontdekkingen	發現	ontdekking	V	N;PL
發現	discovery	發現	discovery	V	N;MASC+FEM;SG
只有	alleen	只有	alleen	ADP	ADV
只有	enkel	只有	enkel	ADP	PRO
只有	slechts	只有	slechts	ADP	ADV
最大	max	最大	max	ADJ	N;MASC+FEM;SG
華	hua	華	huben	PROPN	N;MASC+FEM;SG
華	wah	華	wij	PROPN	N;MASC+FEM;SG
製作	produktie	製作	produktie	V	N;MASC+FEM;SG
製作	productie	製作	productie	V	N;MASC+FEM;SG
製作	produkties	製作	produktie	V	N;PL
製作	productions	製作	production	V	N;PL
製作	producties	製作	productie	V	N;PL
出生	born	出生	born	V	N;MASC+FEM;SG
出生	geboorte	出生	geboorte	V	N;MASC+FEM;SG
朱	zhu	朱	zhul	PROPN	PROPN;MASC+FEM;SG
朱	joo	朱	joo	PROPN	N;MASC+FEM;SG
數	tellen	數	tellen	N	V;NFIN
數	tellen	數	tellen	N	V;NFIN
出版	publicatie	出版	publicatie	V	N;MASC+FEM;SG
出版	uitgeverijen	出版	uitgeverij	V	N;PL
出版	uitgeverij	出版	uitgeverij	V	N;MASC+FEM;SG
出版	publicatie	出版	publicatie	V	N;MASC+FEM;SG
出版	publikatie	出版	publikatie	V	N;MASC+FEM;SG
出版	bekendmaking	出版	bekendmaking	V	N;MASC+FEM;SG
發展	ontwikkeling	發展	ontwikkeling	V	N;MASC+FEM;SG
成功	succesvol	成功	succesvol	N	ADJ
成功	geslaagde	成功	geslaagd	N	V;V.PTCP
成功	geslaagd	成功	slagen	N	V;V.PTCP
成功	succesvolle	成功	succesvol	N	ADJ
成功	success	成功	success	N	
蘭	lan	蘭	lan	PROPN	N;MASC+FEM;SG
蘭	ian	蘭	ian	PROPN	N;MASC+FEM;SG
劉	yoo	劉	yoo	PROPN	PROPN;MASC+FEM;SG
劉	liu	劉	liu	PROPN	PROPN;MASC+FEM;SG
劉	lau	劉	lau	PROPN	N;MASC+FEM;SG
班	squad	班	squad	PROPN	N;MASC+FEM;SG
班	team	班	team	PROPN	N;NEUT;SG
問題	vragen	問題	vraag	N	V;NFIN
康	kang	康	kang	PROPN	N;MASC+FEM;SG
島	eiland	島	eiland	PROPN	N;NEUT;SG
島	isle	島	isle	PROPN	N;MASC+FEM;SG
請	alstublieft	請	alstublieft	V	V;SG;PRS;FIN
請	aub	請	aub	V	INTJ
請	alsjeblieft	請	alsjeblieft	V	V;SG;PRS;FIN
名稱	namen	名稱	nemen	N	V;PL;PST;FIN
官方	officieel	官方	officieel	N	ADJ
愛	love	愛	love	V	
愛	liefs	愛	lief	V	N;PL
愛	liefde	愛	liefde	V	N;MASC+FEM;SG
得到	get	得到	get	V	
平	plat	平	plat		ADJ
平	ping	平	ping		
印度	india	印度	india	PROPN	PROPN;NEUT;SG
存在	aanwezigheid	存在	aanwezigheid	V	N;MASC+FEM;SG
刪除	verwijdering	刪除	verwijdering	V	N;MASC+FEM;SG
刪除	schrapping	刪除	schrapping	V	N;MASC+FEM;SG
設計	designs	設計	designs	V	N;PL
設計	ontwerp	設計	ontwerp	V	N;NEUT;SG
設計	design	設計	design	V	N;MASC+FEM;SG
設計	vormgeving	設計	vormgeving	V	N;MASC+FEM;SG
發行	uitgifte	發行	uitgifte	V	N;MASC+FEM;SG
卡特	carter	卡特	carter	PROPN	N;MASC+FEM;SG
負責	verantwoordelijke	負責	verantwoordelijk	V	ADJ
負責	verantwoordelijk	負責	verantwoordelijk	V	ADJ
服務	diensten	服務	dienst	V	N;PL
服務	dienstverlening	服務	dienstverlening	V	N;MASC+FEM;SG
服務	dienst	服務	dienst	V	N;MASC+FEM;SG
服務	service	服務	service	V	N;MASC+FEM;SG
列表	lijstje	列表	lijst		N;NEUT;SG
列表	lijst	列表	lijst		N;MASC+FEM;SG
唐	tang	唐	tang	PROPN	N;MASC+FEM;SG
唐	don	唐	don	PROPN	N;MASC+FEM;SG
西班牙	spanje	西班牙	spanje	PROPN	PROPN;NEUT;SG
兩	two	兩	two	NUM	
當	wanneer	當	wanneer	ADP	ADV
超	ultra	超	ultra	PART	N;MASC+FEM;SG
超	super	超	super	PART	ADJ
丁	ding	丁	ding	PROPN	N;NEUT;SG
夏	xia	夏	xia	PROPN	N;MASC+FEM;SG
以上	hierboven	以上	hierboven	DET	N;PL
以上	boven	以上	boven	DET	ADP
聖	heilige	聖	heilige	PROPN	ADJ
梁	straal	梁	straal	PROPN	N;MASC+FEM;SG
梁	balk	梁	balk	PROPN	N;MASC+FEM;SG
梁	leung	梁	leung	PROPN	N;MASC+FEM;SG
梁	liang	梁	liang	PROPN	N;MASC+FEM;SG
梁	stralen	梁	straal	PROPN	N;PL
梁	balken	梁	balk	PROPN	N;PL
赫	hyuk	赫	hyuk	PROPN	N;MASC+FEM;SG
半	helft	半	helft	PART	N;MASC+FEM;SG
半	half	半	half	PART	ADJ
東京	tokyo	東京	tokyo	PROPN	N;MASC+FEM;SG
東京	tokio	東京	tokio	PROPN	PROPN;NEUT;SG
新聞	nieuws	新聞	nieuws	N	ADJ
現在	nu	現在	nu	N	ADV
後來	later	後來	laat	N	ADJ;CMPR
後來	straks	後來	straks	N	ADV
女性	vrouwelijke	女性	vrouwelijk	N	ADJ
女性	vrouwelijk	女性	vrouwelijk	N	ADJ
說	say	說	say	V	
男	mannelijk	男	mannelijk	N	ADJ
男	mannelijke	男	mannelijk	N	ADJ
之前	voordat	之前	voordat	N	CONJ
之前	vóór	之前	voor	N	ADP
合作	medewerking	合作	medewerking	V	N;MASC+FEM;SG
合作	samenwerking	合作	samenwerking	V	N;MASC+FEM;SG
合作	medewerking	合作	medewerking	V	N;MASC+FEM;SG
合作	samenwerking	合作	samenwerking	V	N;MASC+FEM;SG
只	enkel	只	enkel	ADV	PRO
一	eens	一	eens	NUM	ADV
封	feng	封	feng	V	N;MASC+FEM;SG
封	zegel	封	zegel	V	N;NEUT;SG
封	zeehond	封	zeehond	V	N;MASC+FEM;SG
封	verzegeling	封	verzegeling	V	N;MASC+FEM;SG
皮	lederen	皮	lederen	N	V;NFIN
而且	en	而且	en	ADV	CONJ
通常	gewoonlijk	通常	gewoonlijk	ADV	ADJ
通常	gewoonlijk	通常	gewoonlijk	ADV	ADJ
通常	normaal	通常	normaal	ADV	ADJ
形成	formatie	形成	formatie	V	N;MASC+FEM;SG
形成	vorming	形成	vorming	V	N;MASC+FEM;SG
九	negen	九	negen		NUM
九	nine	九	nine		N;MASC+FEM;SG
完全	volledig	完全	volledig	ADV	ADJ
完全	compleet	完全	compleet	ADV	ADJ
接受	acceptatie	接受	acceptatie	V	N;MASC+FEM;SG
接受	aanvaarding	接受	aanvaarding	V	N;MASC+FEM;SG
木	houten	木	houten	N	ADJ
討論	discussies	討論	discussie	V	N;PL
討論	besprekingen	討論	bespreking	V	N;PL
直接	rechtstreeks	直接	rechtstreeks	ADV	ADJ
直接	directe	直接	direct	ADV	ADJ
直接	direct	直接	direct	ADV	ADJ
直接	rechtstreekse	直接	rechtstreeks	ADV	ADJ
直接	rechtstreeks	直接	rechtstreeks	ADV	ADJ
直接	direct	直接	direct	ADV	ADJ
參與	engagement	參與	engagement	V	N;NEUT;SG
參與	betrokkenheid	參與	betrokkenheid	V	N;MASC+FEM;SG
參與	verloving	參與	verloving	V	N;MASC+FEM;SG
參與	betrokkenheid	參與	betrokkenheid	V	N;MASC+FEM;SG
參與	deelneming	參與	deelneming	V	N;MASC+FEM;SG
參與	participatie	參與	participatie	V	N;MASC+FEM;SG
參與	deelname	參與	deelname	V	N;MASC+FEM;SG
朗	lang	朗	lang		ADJ
朗	lon	朗	lon		N;MASC+FEM;SG
湖	meer	湖	veel	N	PRO
根	root	根	root	PROPN	N;MASC+FEM;SG
根	wortel	根	wortel	PROPN	N;MASC+FEM;SG
根	wortels	根	wortel	PROPN	N;PL
根	roots	根	roots	PROPN	N;MASC+FEM;SG
保留	reserveringen	保留	reservering	V	N;PL
保留	reservering	保留	reservering	V	N;MASC+FEM;SG
希望	hoop	希望	hoop	V	N;MASC+FEM;SG
希望	hope	希望	hope	V	N;MASC+FEM;SG
心	heart	心	heart	N	
心	hearts	心	hearts	N	
播放	uitzending	播放	uitzending	V	N;MASC+FEM;SG
播放	toneelstukken	播放	toneelstuk	V	N;PL
增加	verhoging	增加	verhoging	V	N;MASC+FEM;SG
增加	stijging	增加	stijging	V	N;MASC+FEM;SG
增加	verhogingen	增加	verhoging	V	N;PL
角	hoekig	角	hoekig	N	ADJ
耶	joepie	耶	joepie		N;MASC+FEM;SG
這些	deze	這些	deze	DET	PRO
丹	dan	丹	dan	PROPN	ADV
徐	seo	徐	seo	PROPN	N;MASC+FEM;SG
徐	tsui	徐	tsui	PROPN	N;NEUT;SG
永	vleugel	永	vleugel	PROPN	N;MASC+FEM;SG
永	wing	永	wingen	PROPN	N;MASC+FEM;SG
永	yong	永	yong	PROPN	N;MASC+FEM;SG
美	dollars	美	dollar	PROPN	N;PL
美	dollar	美	dollar	PROPN	N;MASC+FEM;SG
霍	huo	霍	huo	PROPN	N;MASC+FEM;SG
投票	stemmen	投票	stem	V	N;PL
投票	stemming	投票	stemming	V	N;MASC+FEM;SG
投票	stem	投票	stem	V	N;MASC+FEM;SG
投票	stemmen	投票	stem	V	N;PL
投票	stemming	投票	stemming	V	N;MASC+FEM;SG
投票	enquête	投票	enquyt	V	N;MASC+FEM;SG
投票	poll	投票	poll	V	N;MASC+FEM;SG
投票	opiniepeiling	投票	opiniepeiling	V	N;MASC+FEM;SG
投票	peiling	投票	peiling	V	N;MASC+FEM;SG
雖然	hoewel	雖然	hoewel	ADP	CONJ
