die	на	die	на	DET;DEF	ADP;ACC
soos	подобається	soos	подобатися	CONJ	V;IPFV;IND;SG;3;PRS;FIN
soos	зразок	soos	зразок	CONJ	N;INAN;NOM;MASC;SG
soos	like	soos	like	CONJ	
afrika	африка	afrika	африка	PROPN;SG	PROPN;INAN;NOM;FEM;SG
afrika	африканська	afrika	африканський	PROPN;SG	ADJ;NOM;FEM;SG
afrika	африканський	afrika	африканський	PROPN;SG	ADJ;NOM;MASC;SG
afrika	африканські	afrika	африканський	PROPN;SG	ADJ;NOM;PL
afrika	африканських	afrika	африканський	PROPN;SG	ADJ;ANIM;ACC;PL
oor	приблизно	oor	приблизно	ADP	ADV
oor	інфо	oor	інфо	ADP	
oor	слуху	oor	слух	ADP	N;INAN;GEN;MASC;SG
oor	вухо	oor	вухо	ADP	N;INAN;NOM;NEUT;SG
oor	залишилося	oor	залишитися	ADP	V;PFV;NEUT;IND;SG;PST;FIN
oor	залишилось	oor	залишитися	ADP	V;PFV;NEUT;IND;SG;PST;FIN
oor	лишилось	oor	лишитися	ADP	V;PFV;NEUT;IND;SG;PST;FIN
een	one	een	one	NUM	
een	одне	een	один	NUM	DET;NOM;NEUT;SG
gebruik	користування	gebruik	користування	V;PRS	N;INAN;NOM;NEUT;SG
gebruik	використання	gebruik	використання	V;PRS	N;INAN;NOM;NEUT;SG
gebruik	користування	gebruik	користування	V;PRS	N;INAN;NOM;NEUT;SG
gebruik	використання	gebruik	використання	V;PRS	N;INAN;NOM;NEUT;SG
afrikaanse	африканська	afrikaans	африканський	N;PL	ADJ;NOM;FEM;SG
afrikaanse	африканський	afrikaans	африканський	N;PL	ADJ;NOM;MASC;SG
afrikaanse	африканські	afrikaans	африканський	N;PL	ADJ;NOM;PL
afrikaanse	африканських	afrikaans	африканський	N;PL	ADJ;ANIM;ACC;PL
groot	великий	groot	великий	V;PRS	ADJ;NOM;MASC;SG
groot	чудово	groot	чудово	V;PRS	ADV
meer	озеро	baie	озеро	DET	N;INAN;NOM;NEUT;SG
meer	озера	baie	озеро	DET	N;INAN;NOM;NEUT;PL
meer	більше	baie	більше	DET	ADV;CMPR
onder	нижче	onder	нижче	ADP	ADV;CMPR
onder	знизу	onder	знизу	ADP	ADV
onder	внизу	onder	внизу	ADP	ADV
onder	знизу	onder	знизу	ADP	ADV
twee	двійка	twee	двійка	NUM	N;INAN;NOM;FEM;SG
kerk	церква	kerk	церква		N;INAN;NOM;FEM;SG
kerk	костел	kerk	костел		N;INAN;NOM;MASC;SG
duimnael	мініатюра	duimnael	мініатюра	V;PRS	N;INAN;NOM;FEM;SG
duimnael	ескіз	duimnael	ескіз	V;PRS	N;INAN;NOM;MASC;SG
duimnael	мініатюр	duimnael	мініатюра	V;PRS	N;INAN;GEN;FEM;PL
duimnael	мініатюри	duimnael	мініатюра	V;PRS	N;INAN;NOM;FEM;PL
tussen	поміж	tussen	поміж	ADP	
gemeente	прихожан	gemeent	прихожан	N;SG	N;ANIM;ACC;MASC;PL
gemeente	зборів	gemeent	збір	N;SG	N;INAN;GEN;MASC;PL
gemeente	збори	gemeent	збори	N;SG	N;INAN;NOM
baie	дуже	baie	дуже	DET	ADV
baie	багато	baie	багато	DET	ADV
begin	старт	begin	старт	V;PRS	N;INAN;NOM;MASC;SG
begin	початок	begin	початок	V;PRS	N;INAN;NOM;MASC;SG
hul	своїх	hul	свій	PRO;PL;3	DET;ANIM;ACC;PL;REFL
hul	їхньому	hul	їхній	PRO;PL;3	PRO;DAT;SG;3
hul	свої	hul	свій	PRO;PL;3	DET;NOM;PL;REFL
hul	їхнє	hul	їхній	PRO;PL;3	DET;NOM;NEUT;SG;3
waar	звідки	waar	звідки	PRO	ADV
waar	де	waar	де	PRO	ADV
waar	where	waar	where	PRO	
waar	куди	waar	куди	PRO	ADV
waar	істина	waar	істина	PRO	N;INAN;NOM;FEM;SG
waar	правда	waar	правда	PRO	N;INAN;NOM;FEM;SG
eeu	ст	eeu	ст.		N;INAN;NOM;NEUT;SG
eeu	століття	eeu	століття		N;INAN;NOM;NEUT;SG
eeu	century	eeu	century		
haar	her	haar	her	PRO;ACC;SG;3	
haar	нею	haar	вона	PRO;ACC;SG;3	PRO;INS;FEM;SG;3
haar	їй	haar	вона	PRO;ACC;SG;3	PRO;DAT;FEM;SG;3
eksterne	зовнішнє	ekstern	зовнішній	V;PRS	ADJ;NOM;NEUT;SG
eksterne	зовнішні	ekstern	зовнішній	V;PRS	ADJ;NOM;PL
eksterne	зовнішній	ekstern	зовнішній	V;PRS	ADJ;NOM;MASC;SG
eksterne	зовнішня	ekstern	зовнішній	V;PRS	ADJ;NOM;FEM;SG
sien	див	sien	див.	V;PRS	
nuwe	створити	nuut	створити	ADJ;NOM	V;PFV;NFIN
leë	порожнім	leë	порожній		ADJ;INS;FEM;SG
leë	порожнє	leë	порожній		ADJ;NOM;NEUT;SG
leë	порожня	leë	порожній		ADJ;NOM;FEM;SG
leë	порожні	leë	порожній		ADJ;NOM;PL
leë	порожній	leë	порожній		ADJ;DAT;FEM;SG
leë	бланк	leë	бланк		N;INAN;NOM;MASC;SG
leë	порожній	leë	порожній		ADJ;DAT;FEM;SG
hom	нього	hom	він	PRO;NOM;SG;3	PRO;ACC;MASC;SG;3
hom	постане	hom	постане	PRO;NOM;SG;3	V;PFV;IND;SG;3;FUT;FIN
hom	йому	hom	він	PRO;NOM;SG;3	PRO;DAT;MASC;SG;3
hom	ним	hom	він	PRO;NOM;SG;3	PRO;INS;MASC;SG;3
hom	його	hom	він	PRO;NOM;SG;3	PRO;ACC;MASC;SG;3
voor	front	voor	front	ADP	
voor	спереду	voor	спереду	ADP	ADV
voor	передні	voor	передній	ADP	ADJ;NOM;PL
voor	фронт	voor	фронт	ADP	N;INAN;NOM;MASC;SG
voor	передній	voor	передній	ADP	ADJ;NOM;MASC;SG
voor	before	voor	before	ADP	
land	країни	land	країна	N;SG	N;INAN;NOM;FEM;PL
land	кантрі	land	кантрі	N;SG	N;INAN;NOM;FEM;PL
later	потому	laat	потому	ADV;CMPR	
nog	ногайська	nog	ногайський	ADV	ADJ;NOM;FEM;SG
nog	більше	nog	більше	ADV	ADV;CMPR
net	лише	net	лише	ADV	PART
net	тільки	net	тільки	ADV	PART
net	просто	net	просто	ADV	PART
tydens	підчас	tydens	підчи	ADP	
sou	would	sal	would	V;PST;FIN	
deel	акція	deel	акція	V;PRS	N;INAN;NOM;FEM;SG
deel	поширення	deel	поширення	V;PRS	N;INAN;NOM;NEUT;SG
deel	частина	deel	частина	V;PRS	N;INAN;NOM;FEM;SG
drie	втрьох	drie	втріх	NUM	N;ANIM;NOM;MASC;PL
drie	трійка	drie	трійка	NUM	N;INAN;NOM;FEM;SG
egter	однак	egter	однак	PART	CONJ
grootste	greatest	groot	greatest		
pous	папи	pous	папа		PROPN;ANIM;ACC;MASC;SG
pous	папа	pous	пап		N;ANIM;NOM;MASC;SG
sal	воля	sal	воля	V;PRS	N;INAN;NOM;FEM;SG
sal	буде	sal	бути	V;PRS	V;IPFV;IND;SG;3;FUT;FIN
sal	будуть	sal	бути	V;PRS	V;IPFV;IND;PL;3;FUT;FIN
kon	зміг	kan	змогти	V;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
kon	могла	kan	могти	V;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN
kon	змогли	kan	змогти	V;PST;FIN	V;PFV;IND;PL;PST;FIN
kon	вдалось	kan	вдатися	V;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
kon	міг	kan	могти	V;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
ons	наше	ons	наш	PRO;PL;1	DET;NOM;NEUT;SG;1
ons	наша	ons	наш	PRO;PL;1	DET;NOM;FEM;SG;1
ons	наші	ons	наш	PRO;PL;1	DET;NOM;PL;1
ons	наш	ons	наш	PRO;PL;1	DET;NOM;MASC;SG;1
mense	народ	mens	народ	N;PL	N;INAN;NOM;MASC;SG
svg	svg	svg	svg	N;SG	
nasionale	націонал	nasionaal	націонал	ADJ;NOM	
maak	make	maak	make	V;PRS	
kom	come	kom	come	V;PRS	
noord	північна	noord	північний		ADJ;NOM;FEM;SG
noord	норт	noord	норт		PROPN;INAN;NOM;MASC;SG
noord	північний	noord	північний		ADJ;NOM;MASC;SG
noord	північ	noord	північ		N;INAN;NOM;FEM;SG
jpg	jpg	jpg	jpg		
gebied	територія	bied	територія	V;PST;V.PTCP	N;INAN;NOM;FEM;SG
gebied	область	bied	область	V;PST;V.PTCP	N;INAN;NOM;FEM;SG
gebied	ділянка	bied	ділянка	V;PST;V.PTCP	N;INAN;NOM;FEM;SG
gebied	площа	bied	площа	V;PST;V.PTCP	N;INAN;NOM;FEM;SG
gebied	місцевість	bied	місцевість	V;PST;V.PTCP	N;INAN;NOM;FEM;SG
laat	запізнюється	laat	запізнюватися	V;PRS	V;IPFV;IND;SG;3;PRS;FIN
laat	пізно	laat	пізно	V;PRS	ADV
laat	запізно	laat	запізно	V;PRS	ADV
style	стилів	styal	стиль		N;INAN;GEN;MASC;PL
style	стилі	styal	стиль		N;INAN;NOM;MASC;SG
terwyl	поки	terwyl	поки	CONJ	ADV
moet	мусить	moet	мусити	V;PRS	V;IPFV;IND;SG;3;PRS;FIN
moet	має	moet	мати	V;PRS	V;IPFV;IND;SG;3;PRS;FIN
moet	повинен	moet	повинний	V;PRS	ADJ;NOM;MASC;SG
weer	знов	weer	знов		ADV
weer	знову	weer	знову		ADV
weer	погода	weer	погода		N;INAN;NOM;FEM;SG
werk	роботи	werk	робота	V;PRS	N;INAN;NOM;FEM;PL
werk	робота	werk	робота	V;PRS	N;INAN;NOM;FEM;SG
werk	роботу	werk	робота	V;PRS	N;INAN;ACC;FEM;SG
werk	робочий	werk	робочий	V;PRS	ADJ;NOM;MASC;SG
werk	завдання	werk	завдання	V;PRS	N;INAN;NOM;NEUT;SG
werk	робота	werk	робота	V;PRS	N;INAN;NOM;FEM;SG
werk	werk	werk	werk	V;PRS	
klein	малий	klein	малий		ADJ;NOM;MASC;SG
klein	малі	klein	малий		ADJ;NOM;PL
klein	маленькі	klein	маленький		ADJ;NOM;PL
klein	мінор	klein	мінор		
klein	незначна	klein	незначний		ADJ;NOM;FEM;SG
klein	молодший	klein	молодший		ADJ;NOM;CMPR;MASC;SG
klein	незначний	klein	незначний		ADJ;NOM;MASC;SG
klein	молодші	klein	молодший		ADJ;NOM;RL;PL
klein	маленькі	klein	маленький		ADJ;NOM;PL
oos	схід	oos	схід		N;INAN;NOM;MASC;SG
geword	стануть	word	стати	V;PST;FIN	V;PFV;IND;PL;3;FUT;FIN
geword	стати	word	стати	V;PST;FIN	V;PFV;NFIN
geword	стають	word	ставати	V;PST;FIN	V;IPFV;IND;PL;3;PRS;FIN
geword	став	word	стати	V;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
geword	стали	word	стати	V;PST;FIN	V;PFV;IND;PL;PST;FIN
geword	стало	word	стати	V;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
verenigde	united	verenig	united	ADJ;NOM	
verenigde	юнайтед	verenig	юнайтед	ADJ;NOM	PROPN;INAN;NOM;MASC;SG
mei	травнева	mei	травневий		ADJ;NOM;FEM;SG
mei	травня	mei	травень		N;INAN;GEN;MASC;SG
mei	травневі	mei	травневий		ADJ;NOM;PL
mei	травні	mei	травень		ADV
mei	травень	mei	травень		N;INAN;NOM;MASC;SG
wes	захід	wes	захід		N;INAN;NOM;MASC;SG
wes	вест	wes	вест		
vorm	форму	vorm	форма	V;PRS	N;INAN;ACC;FEM;SG
vorm	форма	vorm	форма	V;PRS	N;INAN;NOM;FEM;SG
staan	стенд	staan	стенд	V;PRS	N;INAN;NOM;MASC;SG
staan	stand	staan	stand	V;PRS	
gereformeerde	квітку	reformeer	квітка	ADJ;NOM	N;INAN;ACC;FEM;SG
isbn	isbn	isbn	isbn		
gemaak	made	maak	made	V;PST;V.PTCP	
gebou	будівля	bou	будівля	V;PST;V.PTCP	N;INAN;NOM;FEM;SG
gebou	будівництво	bou	будівництво	V;PST;V.PTCP	N;INAN;NOM;NEUT;SG
gebou	будуємо	bou	будувати	V;PST;V.PTCP	V;IPFV;IND;PL;1;PRS;FIN
gebou	будівельні	bou	будівельний	V;PST;V.PTCP	ADJ;NOM;PL
gebou	будівлі	bou	будівля	V;PST;V.PTCP	N;INAN;NOM;FEM;PL
januarie	січні	januarie	січень		ADV
januarie	січень	januarie	січеня		N;INAN;NOM;NEUT;SG
januarie	січня	januarie	січень		N;INAN;GEN;MASC;SG
januarie	підручник	januarie	підручник		N;INAN;NOM;MASC;SG
januarie	ручний	januarie	ручний		ADJ;NOM;MASC;SG
januarie	ручна	januarie	ручний		ADJ;NOM;FEM;SG
januarie	ручне	januarie	ручний		ADJ;NOM;NEUT;SG
januarie	вручну	januarie	вручну		ADV
januarie	довідок	januarie	довідка		N;INAN;GEN;FEM;PL
junie	червня	junie	червень		N;INAN;GEN;MASC;SG
junie	червні	junie	червень		ADV
junie	червень	junie	червень		N;INAN;NOM;MASC;SG
amerikaanse	американець	amerikaans	американець	ADJ;NOM	N;ANIM;NOM;MASC;SG
amerikaanse	американської	amerikaans	американський	ADJ;NOM	ADJ;GEN;FEM;SG
slegs	лише	slegs	лише	ADV	PART
slegs	тільки	slegs	тільки	ADV	PART
slegs	просто	slegs	просто	ADV	PART
nadat	після	nadat	після	CONJ	ADP;GEN
april	квітень	april	квітень		N;INAN;NOM;MASC;SG
april	квітня	april	квітень		N;INAN;GEN;MASC;SG
april	квітні	april	квітний		ADV
lank	високий	lank	високий	ADV	ADJ;NOM;MASC;SG
lank	довгий	lank	довгий	ADV	ADJ;NOM;MASC;SG
lank	хай	lank	хай	ADV	PART
lank	лонг	lank	лонг	ADV	
lank	long	lank	long	ADV	
lank	довга	lank	довга	ADV	ADJ;NOM;FEM;SG
lank	довгі	lank	довгий	ADV	ADJ;NOM;PL
oktober	жовтень	oktober	жовтень		N;INAN;NOM;MASC;SG
oktober	жовтня	oktober	жовтень		N;INAN;GEN;MASC;SG
oktober	жовтні	oktober	жовтень		ADV
julie	липень	julie	липень		N;INAN;NOM;MASC;SG
julie	липні	julie	липень		ADV
julie	липня	julie	липень		N;INAN;GEN;MASC;SG
sedert	відтоді	sedert	відтоді	ADP	ADV
sedert	відколи	sedert	відколи	ADP	
sedert	запустили	sedert	запустити	ADP	V;PFV;IND;PL;PST;FIN
sedert	розпочали	sedert	розпочати	ADP	V;PFV;IND;PL;PST;FIN
kaapstad	барселона	kaapstad	барселон		PROPN;INAN;NOM;FEM;SG
september	вересня	september	вересень		N;INAN;GEN;MASC;SG
september	вересні	september	вересень		ADV
september	вересень	september	вересень		N;INAN;NOM;MASC;SG
engels	англійською	engels	англійський		ADJ;INS;FEM;SG
engels	англійська	engels	англійський		ADJ;NOM;FEM;SG
party	вечірка	party	вечірка	V;PRS	N;INAN;NOM;FEM;SG
party	партії	party	партія	V;PRS	N;INAN;GEN;FEM;SG
party	вечірки	party	вечірка	V;PRS	N;INAN;NOM;FEM;PL
party	партія	party	партія	V;PRS	N;INAN;NOM;FEM;SG
party	party	party	party	V;PRS	
desember	грудень	desember	грудень		N;INAN;NOM;MASC;SG
desember	грудня	desember	грудень		N;INAN;GEN;MASC;SG
desember	грудні	desember	грудний		ADV
maart	березні	maart	березень		ADV
maart	березень	maart	березень		N;INAN;NOM;MASC;SG
maart	березня	maart	березень		N;INAN;GEN;MASC;SG
alle	усі	al	увесь	DET	DET;NOM;PL
alle	всі	al	весь	DET	DET;NOM;PL
alle	все	al	все	DET	PRO;INAN;NOM;NEUT;SG
alle	всіх	al	всі	DET	PRO;ANIM;ACC
augustus	серпні	augustus	серпень		ADV
augustus	серпня	augustus	серпень		N;INAN;GEN;MASC;SG
augustus	серпень	augustus	серпень		N;INAN;NOM;MASC;SG
februarie	лютому	februarie	лютий		N;INAN;DAT;MASC;SG
februarie	лютий	februarie	лютий		ADJ;NOM;MASC;SG
februarie	лютого	februarie	лютий		N;INAN;GEN;MASC;SG
gaan	їду	gaan	їха		V;IPFV;IND;SG;1;PRS;FIN
gaan	йдемо	gaan	йти		V;IPFV;IND;PL;1;PRS;FIN
meeste	найцікавіше	baie	найцікавіше		ADV;RL
meeste	більшість	baie	більшість		N;INAN;NOM;FEM;SG
gebore	народження	gebore	народження	V;PRS	N;INAN;NOM;NEUT;SG
gebore	народився	gebore	народитися	V;PRS	V;PFV;MASC;IND;SG;PST;FIN
gebore	борн	gebore	борно	V;PRS	PROPN;ANIM;NOM;MASC;SG
gebore	народилась	gebore	народитися	V;PRS	V;PFV;FEM;IND;SG;PST;FIN
gebore	народилася	gebore	народитися	V;PRS	V;PFV;FEM;IND;SG;PST;FIN
beskou	розглянемо	beskou	розглянити	V;PRS	V;PFV;IND;PL;1;FUT;FIN
lewe	лайф	lewe	Лайф	N;SG	
vier	четвірка	vier	четвірка	V;PRS	N;INAN;NOM;FEM;SG
vier	чотирьох	vier	чотири	V;PRS	NUM;NOM
vier	чотири	vier	чотири	V;PRS	NUM;NOM
november	листопаді	november	листопад		N;INAN;NOM;MASC;SG
november	листопад	november	листопад		N;INAN;NOM;MASC;SG
november	листопада	november	листопад		N;INAN;GEN;MASC;SG
franse	френч	frans	френч	ADJ;NOM	
franse	французькою	frans	французький	ADJ;NOM	ADJ;INS;FEM;SG
dood	death	dood	death	N;SG	
dood	смерті	dood	смерть	N;SG	N;INAN;NOM;FEM;PL
dood	помер	dood	померти	N;SG	V;PFV;MASC;IND;SG;PST;FIN
dood	померла	dood	померти	N;SG	V;PFV;FEM;IND;SG;PST;FIN
dood	мертвий	dood	мертвий	N;SG	ADJ;NOM;MASC;SG
dood	dead	dood	dead	N;SG	
koning	кінг	koning	кінг		PROPN;ANIM;NOM;MASC;SG
koning	король	koning	король		N;ANIM;NOM;MASC;SG
koning	цар	koning	цар		N;ANIM;NOM;MASC;SG
der	дер	der	дер		
moes	мали	moet	мати	V;PST;FIN	V;IPFV;IND;PL;PST;FIN
moes	мав	moet	мати	V;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
dieselfde	збігається	dieselfde	збігатися	ADJ;NOM	V;IPFV;IND;SG;3;PRS;FIN
dieselfde	same	dieselfde	same	ADJ;NOM	
dieselfde	самий	dieselfde	самий	ADJ;NOM	DET;NOM;MASC;SG;REFL
wêreld	світовий	wêreld	світовий	N;SG	ADJ;NOM;MASC;SG
wêreld	world	wêreld	world	N;SG	
volgende	наступний	volg	наступний	N;SG	ADJ;NOM;MASC;SG
volgende	наступна	volg	наступний	N;SG	ADJ;NOM;FEM;SG
volgende	next	volg	next	N;SG	
volgende	наступне	volg	наступний	N;SG	ADJ;NOM;NEUT;SG
volgende	далі	volg	далі	N;SG	ADV
geleë	розташовані	geleë	розташований		ADJ;PFV;NOM;PL;V.PTCP;PASS
geleë	знаходиться	geleë	знаходитися		V;IPFV;IND;SG;3;PRS;FIN
geleë	розташовано	geleë	розташовано		V;PFV;IND;0;FIN
geleë	розташований	geleë	розташований		ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
miljoen	мільйон	miljoen	мільйон	NUM	
regs	правий	regs	правий	ADP	ADJ;NOM;MASC;SG
regs	права	regs	право	ADP	N;INAN;NOM;NEUT;PL
regs	право	regs	право	ADP	N;INAN;NOM;NEUT;SG
regs	праворуч	regs	праворуч	ADP	ADV
internasionale	інтернаціонал	internasionaal	інтернаціонал	ADJ;NOM	N;INAN;NOM;MASC;SG
eie	налаштувати	eie	налаштувати	ADJ;NOM	V;PFV;NFIN
eie	власне	eie	власне	ADJ;NOM	PART
eers	перше	eers	перше		ADV
eers	перша	eers	перший		ADJ;NOM;FEM;SG
eers	перший	eers	перший		ADJ;NOM;MASC;SG
pretoria	преторія	pretoria	преторія		PROPN;ANIM;NOM;FEM;SG
steeds	still	steeds	still	ADV	
groep	групова	groep	груповий	N;SG	ADJ;NOM;FEM;SG
groep	груповий	groep	груповий	N;SG	ADJ;NOM;MASC;SG
stel	комплект	stel	комплект	V;PRS	N;INAN;NOM;MASC;SG
stel	набір	stel	набір	V;PRS	N;INAN;NOM;MASC;SG
stel	множина	stel	множина	V;PRS	N;INAN;NOM;FEM;SG
sluit	вихід	sluit	вихід	V;PRS	N;INAN;NOM;MASC;SG
sluit	близький	sluit	близький	V;PRS	ADJ;NOM;MASC;SG
sluit	близько	sluit	близько	V;PRS	ADV
sluit	близькі	sluit	близький	V;PRS	ADJ;NOM;PL
sluit	закриття	sluit	закриття	V;PRS	N;INAN;NOM;NEUT;SG
frankryk	франції	frankryk	франція		PROPN;INAN;GEN;FEM;SG
frankryk	франція	frankryk	франція		PROPN;INAN;NOM;FEM;SG
frankryk	францію	frankryk	франція		N;INAN;ACC;FEM;SG
naby	поблизу	naby	поблизу	ADP	ADV
naby	поруч	naby	поруч	ADP	ADV
naby	поряд	naby	поряд	ADP	
naby	близько	naby	близько	ADP	ADV
naby	поблизу	naby	поблизу	ADP	ADV
naby	поруч	naby	поруч	ADP	ADV
verwys	навели	verwys	навеля	V;PRS	V;PFV;IND;PL;PST;FIN
state	штати	staat	штати	N;PL	PROPN;INAN;NOM
water	водні	water	водній	N;SG	N;INAN;NOM;MASC;PL
water	водяний	water	водяний	N;SG	ADJ;NOM;MASC;SG
water	водяне	water	водяний	N;SG	ADJ;NOM;NEUT;SG
einde	завершити	einde	завершити	N;SG	V;PFV;NFIN
einde	закінчити	einde	закінчити	N;SG	V;PFV;NFIN
einde	завершити	einde	завершити	N;SG	V;PFV;NFIN
einde	закінчити	einde	закінчити	N;SG	V;PFV;NFIN
einde	закінчиться	einde	закінчитися	N;SG	V;PFV;IND;SG;3;FUT;FIN
duitsland	німеччини	duitsland	німеччина	N;SG	PROPN;INAN;GEN;FEM;SG
duitsland	німеччині	duitsland	німеччина	N;SG	PROPN;INAN;DAT;FEM;SG
duitsland	німеччина	duitsland	німеччина	N;SG	PROPN;INAN;NOM;FEM;SG
duitsland	німеччину	duitsland	німеччина	N;SG	PROPN;INAN;ACC;FEM;SG
daarna	захоче	daarna	захочити	PRO	V;IPFV;IND;SG;3;PRS;FIN
elke	кожен	elk	кожний	PRO	DET;NOM;MASC;SG
elke	кожні	elk	кожний	PRO	NUM;NOM
kaap	мис	kaap	мис		N;INAN;NOM;MASC;SG
wanneer	коли	wanneer	коли	PRO	ADV
laaste	останній	laaste	останній	DET	ADJ;NOM;MASC;SG
laaste	остання	laaste	останній	DET	ADJ;NOM;FEM;SG
laaste	останнє	laaste	останній	DET	ADJ;NOM;NEUT;SG
besluit	рішенням	besluit	рішення	V;PRS	N;INAN;INS;NEUT;SG
besluit	рішення	besluit	рішення	V;PRS	N;INAN;NOM;NEUT;SG
besluit	вирішили	besluit	вирішити	V;PRS	V;PFV;IND;PL;PST;FIN
besluit	вирішив	besluit	вирішити	V;PRS	V;PFV;MASC;IND;SG;PST;FIN
besluit	вирішила	besluit	вирішити	V;PRS	V;PFV;FEM;IND;SG;PST;FIN
ryk	імперія	ryk	імперія		N;INAN;NOM;FEM;SG
ryk	багаті	ryk	багатий		ADJ;NOM;PL
ryk	багатий	ryk	багатий		ADJ;NOM;MASC;SG
ryk	rich	ryk	rich		
sommige	дехто	sommige	дехто	DET	PRO;ANIM;NOM
sommige	трохи	sommige	трохи	DET	ADV
gewoonlik	зазвичай	gewoonlik	зазвичай		ADV
gewoonlik	зазвичай	gewoonlik	зазвичай		ADV
afrikaans	африкаанс	afrikaans	африкаанс		N;INAN;NOM;FEM;SG
geskiedenis	історії	geskiedenis	історія	N;SG	N;INAN;NOM;FEM;PL
vis	риб	vis	риба	N;SG	N;ANIM;ACC;FEM;PL
vis	риби	vis	риба	N;SG	N;ANIM;NOM;FEM;PL
plaas	ферма	plaas	ферма	V;PRS	
plaas	дописі	plaas	допис	V;PRS	ADV
plaas	допис	plaas	допис	V;PRS	N;INAN;NOM;MASC;SG
plaas	допису	plaas	допис	V;PRS	N;INAN;GEN;MASC;SG
wikipedia	вікіпедія	wikipedia	вікіпедія		
wetenskaplike	науковець	wetenskaplik	науковець	ADJ;NOM	N;ANIM;NOM;MASC;SG
wetenskaplike	наукових	wetenskaplik	науковий	ADJ;NOM	ADJ;GEN;PL
ontwikkel	розробили	ontwikkel	розробити	V;PRS	V;PFV;IND;PL;PST;FIN
ontwikkel	розроблений	ontwikkel	розроблений	V;PRS	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
ontwikkel	розробка	ontwikkel	розробка	V;PRS	N;INAN;NOM;FEM;SG
seun	закохалася	seun	закохатися	N;SG	V;PFV;FEM;IND;SG;PST;FIN
algemene	загальні	algemeen	загальний	ADV	ADJ;NOM;PL
algemene	генерал	algemeen	генерал	ADV	N;ANIM;NOM;MASC;SG
algemene	загальний	algemeen	загальний	ADV	ADJ;NOM;MASC;SG
algemene	загальне	algemeen	загальний	ADV	ADJ;NOM;NEUT;SG
verskillende	different	verskil	different	ADJ;NOM	
verskillende	інше	verskil	інший	ADJ;NOM	DET;NOM;NEUT;SG
verskillende	різних	verskil	різний	ADJ;NOM	ADJ;ACC;PL
ontstaan	сталася	ontstaan	статися	V;PRS	V;PFV;FEM;IND;SG;PST;FIN
ontstaan	сталась	ontstaan	статися	V;PRS	V;PFV;FEM;IND;SG;PST;FIN
