kategória	kategória	kategória	kategória	N;NOM;FEM;SG	
team	team	team	team	PROPN;ANIM;NOM;MASC;SG	
byť	lenni	byť	lesz	V;IPFV;POS;NFIN	V;NFIN;ACT
francúzska	francia	francúzsky	francia	N;NOM;FEM;SG	
francúzska	franciák	francúzsky	francia	N;NOM;FEM;SG	N;NOM;PL
francúzska	france	francúzsky	france	N;NOM;FEM;SG	
najvyšší	legfelsőbb	vysoký	felsőbb	ADJ;ANIM;NOM;RL;MASC;SG	N;IN+ESS;SG
však	mindamellett	však	mindamellett	PART	
však	mindazonáltal	však	mindazonáltal	PART	CONJ
však	azonban	však	azonban	PART	CONJ
pod	alul	pod	alul	ADP;INS	
pod	alatta	pod	alat	ADP;INS	
pod	alább	pod	alá	ADP;INS	ADV
pod	lent	pod	lesz	ADP;INS	
pod	pod	pod	pod	ADP;INS	
pod	alatta	pod	alat	ADP;INS	
pred	előtte	pred	előtte	ADP;INS	
pred	mielőtt	pred	mielőtt	ADP;INS	ADV
vývoj	fejlesztési	vývoj	fejlesztési	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
vývoj	fejlemények	vývoj	fejlemény	N;INAN;NOM;MASC;SG	N;NOM;PL
vývoj	fejlesztések	vývoj	fejlesztés	N;INAN;NOM;MASC;SG	N;NOM;PL
najnižší	legalacsonyabb	žízky	legalsony	ADJ;INAN;NOM;RL;MASC;SG	ADV
kde	kde	kde	kde	ADV	N;NOM;SG
kde	hol	kde	hol	ADV	ADV
kde	ahol	kde	ahol	ADV	ADV
môže	may	môcť	may	V;IPFV;IND;SG;3;POS;PRS;FIN	
môže	május	môcť	május	V;IPFV;IND;SG;3;POS;PRS;FIN	N;NOM;SG
môže	májusi	môcť	májusi	V;IPFV;IND;SG;3;POS;PRS;FIN	ADJ;NOM;SG
môže	májusban	môcť	május	V;IPFV;IND;SG;3;POS;PRS;FIN	N;IN+ESS;SG
môže	can	môcť	can	V;IPFV;IND;SG;3;POS;PRS;FIN	
môže	lehet	môcť	lesz	V;IPFV;IND;SG;3;POS;PRS;FIN	V;INDF;POT;SG;3;PRS;FIN;ACT
nasledujúci	követni	nasledujúci	követ	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	V;NFIN;ACT
nasledujúci	követem	nasledujúci	követ	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	V;DEF;IND;SG;1;PRS;FIN;ACT
nasledujúci	követi	nasledujúci	követ	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	V;DEF;IND;SG;3;PRS;FIN;ACT
nasledujúci	következő	nasledujúci	következő	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	
zobrazuje	kijelzők	zobrazovať	kijelző	V;IPFV;IND;SG;3;POS;PRS;FIN	N;NOM;PL
zobrazuje	műsorok	zobrazovať	műsor	V;IPFV;IND;SG;3;POS;PRS;FIN	N;NOM;PL
keď	mikor	keď	mikor	CONJ	ADV
keď	amikor	keď	amikor	CONJ	ADV
len	csak	len	csak	PART	ADV
len	kizárólag	len	kizárólag	PART	
len	csak	len	csak	PART	ADV
mesto	városban	mesto	város	N;NOM;NEUT;SG	N;IN+ESS;SG
mesto	town	mesto	town	N;NOM;NEUT;SG	
mesto	city	mesto	city	N;NOM;NEUT;SG	
mesto	városi	mesto	városi	N;NOM;NEUT;SG	ADJ;NOM;SG
počas	során	počas	sor	ADP;GEN	N;ON+ESS;SG
tiež	szintén	tiež	szintén	PART	
tiež	egyben	tiež	egyben	PART	ADV
tiež	úgyszintén	tiež	úgyszintén	PART	
usa	usa	usa	usa		
rokov	évek	rok	év	N;INAN;GEN;MASC;PL	N;NOM;PL
rokov	év	rok	év	N;INAN;GEN;MASC;PL	N;NOM;SG
nie	nem	nie	nem	PART	ADV
september	szeptemberben	september	szeptember	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
september	szeptemberi	september	szeptemberi	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
úmrtia	halál	úmrtie	halál	N;NOM;NEUT;PL	N;NOM;SG
úmrtia	haláleset	úmrtie	haláleset	N;NOM;NEUT;PL	N;NOM;SG
storočia	évszázadokkal	storočie	évszázad	N;NOM;NEUT;PL	N;INS;PL
storočia	évszázad	storočie	évszázad	N;NOM;NEUT;PL	N;NOM;SG
storočia	század	storočie	század	N;NOM;NEUT;PL	N;NOM;SG
nad	fölötte	nad	fölött	ADP;INS	
nad	fent	nad	fent	ADP;INS	
nad	fenti	nad	fent	ADP;INS	
nad	felette	nad	felet	ADP;INS	PRO;NOM;SG;3
utc	utc	utc	utc		N;NOM;SG
jpg	jpg	jpg	jpg		
časti	alkatrész	časť	alkatrész	N;DAT;FEM;SG	N;NOM;SG
časti	alkatrészek	časť	alkatrész	N;DAT;FEM;SG	N;NOM;PL
časti	részek	časť	rész	N;DAT;FEM;SG	N;NOM;PL
stránka	oldalt	stránka	oldal	N;NOM;FEM;SG	N;ACC;SG
stránka	helyén	stránka	hely	N;NOM;FEM;SG	N;ON+ESS;SG
skupiny	csoport	skupina	csoport	N;NOM;FEM;PL	N;NOM;SG
skupiny	csoportban	skupina	csoport	N;NOM;FEM;PL	N;IN+ESS;SG
skupiny	csoportoknak	skupina	csoport	N;NOM;FEM;PL	N;DAT;PL
roka	évjárat	rok	évjárat	N;INAN;GEN;MASC;SG	N;NOM;SG
roka	éve	rok	év	N;INAN;GEN;MASC;SG	N;NOM;SG
roka	évi	rok	évi	N;INAN;GEN;MASC;SG	
roka	év	rok	év	N;INAN;GEN;MASC;SG	N;NOM;SG
ktorú	ami	ktorý	ami	DET;ACC;FEM;SG	PRO;NOM;SG;3
ktorú	melyik	ktorý	melyik	DET;ACC;FEM;SG	
ktorú	mely	ktorý	mely	DET;ACC;FEM;SG	
ktorú	amely	ktorý	amely	DET;ACC;FEM;SG	PRO;NOM;SG;3
časť	részben	časť	részben	N;NOM;FEM;SG	ADV
október	októberi	október	októberi	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
október	októberben	október	október	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
mesta	városban	mesto	város	N;NOM;NEUT;SG	N;IN+ESS;SG
mesta	town	mesto	town	N;NOM;NEUT;SG	
mesta	city	mesto	city	N;NOM;NEUT;SG	
mesta	városi	mesto	városi	N;NOM;NEUT;SG	ADJ;NOM;SG
marec	márciusi	marec	márciusi	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
august	augusztusban	august	augusztus	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
august	august	august	augus	N;INAN;NOM;MASC;SG	
skupina	csoportban	skupina	csoport	N;NOM;FEM;SG	N;IN+ESS;SG
potom	aztán	potom	aztán	ADV	
oficiálna	tisztviselő	oficiálny	tisztviselő	ADJ;NOM;FEM;SG	N;NOM;SG
narodenia	születés	narodenie	születés	N;NOM;NEUT;PL	N;NOM;SG
narodenia	születési	narodenie	születési	N;NOM;NEUT;PL	ADJ;NOM;SG
narodenia	szülés	narodenie	szülés	N;NOM;NEUT;PL	N;NOM;SG
tento	ezt	tento	ez	DET;INAN;NOM;MASC;SG	PRO;ACC;SG;3
tento	ez	tento	ez	DET;INAN;NOM;MASC;SG	PRO;NOM;SG;3
osobnosti	személyiség	osobnosť	személyiség	N;NOM;FEM;PL	N;NOM;SG
osobnosti	személyisége	osobnosť	személyiség	N;NOM;FEM;PL	N;NOM;SG
osobnosti	egyéniség	osobnosť	egyéniség	N;NOM;FEM;PL	N;NOM;SG
november	novemberi	november	novemberi	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
november	novemberben	november	november	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
december	decemberi	december	decemberi	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
december	decemberben	december	december	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
iba	csak	iba	csak	PART	ADV
iba	kizárólag	iba	kizárólag	PART	
iba	csak	iba	csak	PART	ADV
roky	év	rok	év	N;INAN;NOM;MASC;PL	N;NOM;SG
oblasti	terület	oblasť	terület	N;NOM;FEM;PL	N;NOM;SG
oblasti	környék	oblasť	környék	N;NOM;FEM;PL	N;NOM;SG
január	januári	január	januári	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
január	januárban	január	január	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
mal	mal	mať	mal	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	
proti	ellene	proti	ellen	ADP;DAT	PRO;NOM;SG;3
apríl	apr	aprila	apr	N;INAN;NOM;MASC;SG	
apríl	april	aprila	ap	N;INAN;NOM;MASC;SG	
apríl	áprilisi	aprila	áprilisi	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
apríl	áprilisban	aprila	április	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
sveta	világ	svet	világ	N;INAN;GEN;MASC;SG	
sveta	world	svet	world	N;INAN;GEN;MASC;SG	
sveta	vilag	svet	vilag	N;INAN;GEN;MASC;SG	N;NOM;SG
bez	anélkül	bez	anélkül	ADP;GEN	
najmä	főként	najmä	főként	PART	
najmä	főleg	najmä	főleg	PART	
najmä	elsősorban	najmä	elsősorban	PART	ADV
najmä	különösen	najmä	különös	PART	ADJ;FRML;SG
najmä	főleg	najmä	főleg	PART	
viac	több	viac	több	NUM;NOM;NEUT;SG	DET;INDF
viac	more	viac	more	NUM;NOM;NEUT;SG	
viac	további	viac	további	NUM;NOM;NEUT;SG	N;NOM;SG
viac	tobb	viac	tobb	NUM;NOM;NEUT;SG	
február	februárban	február	február	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
február	februári	február	februári	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
mužov	férfi	muž	férfi	N;ANIM;ACC;MASC;PL	N;NOM;SG
mužov	férfiak	muž	férfi	N;ANIM;ACC;MASC;PL	N;NOM;PL
mužov	emberek	muž	ember	N;ANIM;ACC;MASC;PL	N;NOM;PL
okolo	körbe	okolo	kör	ADP;GEN	ADV
ešte	mégis	ešte	mégis	PART	CONJ
prvý	először	prvý	először	ADJ;ANIM;NOM;MASC;SG	ADV
máj	may	mať	may	INTJ	
máj	május	mať	május	INTJ	N;NOM;SG
máj	májusi	mať	májusi	INTJ	ADJ;NOM;SG
máj	májusban	mať	május	INTJ	N;IN+ESS;SG
slovenskej	szlovák	slovenský	szlovák	ADJ;GEN;FEM;SG	ADJ;NOM;SG
spolu	teljes	spolu	teljes	ADV	
spolu	összesen	spolu	összesen	ADV	
spolu	együtt	spolu	együtt	ADV	
preto	ennélfogva	preto	ennélfogva	ADV	
preto	ezért	preto	ezért	ADV	CONJ
tom	tomi	to	tomi	DET;NOM;NEUT;SG	
tom	tom	to	tom	DET;NOM;NEUT;SG	
majstrovstvá	bajnokság	majstrovstvo	bajnokság	N;NOM;NEUT;PL	N;NOM;SG
majstrovstvá	biatlon	majstrovstvo	biatlon	N;NOM;NEUT;PL	N;NOM;SG
saint	saint	saint	saint	PROPN;ANIM;NOM;MASC;SG	
saint	szent	saint	szent	PROPN;ANIM;NOM;MASC;SG	
okrem	kivéve	okrem	kivév	ADP;GEN	
bar	bar	bar	bar	N;INAN;NOM;MASC;SG	
bar	bár	bar	bár	N;INAN;NOM;MASC;SG	CONJ
júl	júliusban	júl	július	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
júl	júliusi	júl	júliusi	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
júl	jul	júl	jul	N;INAN;NOM;MASC;SG	
cez	via	cez	via	ADP;ACC	
cez	át	cez	át	ADP;ACC	ADV
asi	valószínű	asi	valószínű	PART	
asi	valószínűleg	asi	valószínűleg	PART	
jeden	egy	jeden	egy	NUM;ANIM;NOM;MASC;SG	DET;INDF
vojny	háború	vojna	háború	N;NOM;FEM;PL	N;NOM;SG
rok	évi	rok	évi	N;INAN;NOM;MASC;SG	
žien	nőnemű	žena	nőnemű	N;GEN;FEM;PL	
žien	nő	žena	nő	N;GEN;FEM;PL	N;NOM;SG
žien	női	žena	női	N;GEN;FEM;PL	
žien	nőstény	žena	nőstény	N;GEN;FEM;PL	N;NOM;SG
žien	nők	žena	nő	N;GEN;FEM;PL	N;NOM;PL
žien	asszonyok	žena	asszony	N;GEN;FEM;PL	N;NOM;PL
žien	női	žena	női	N;GEN;FEM;PL	
žien	nő	žena	nő	N;GEN;FEM;PL	N;NOM;SG
tieto	ezek	tento	ez	DET;NOM;MASC;PL	PRO;NOM;PL;3
tieto	ezeket	tento	ez	DET;NOM;MASC;PL	PRO;ACC;PL;3
januára	januári	január	januári	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
januára	január	január	január	N;INAN;GEN;MASC;SG	N;NOM;SG
januára	januárban	január	január	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
majú	van	mať	van	V;IPFV;IND;PL;3;POS;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
toto	ezt	toto	ez	DET;NOM;NEUT;SG	PRO;ACC;SG;3
toto	ez	toto	ez	DET;NOM;NEUT;SG	PRO;NOM;SG;3
toto	toto	toto	toto	DET;NOM;NEUT;SG	
ktorí	ki	ktorý	ki	DET;ANIM;NOM;MASC;PL	PRO;NOM;SG;3
ktorí	aki	ktorý	aki	DET;ANIM;NOM;MASC;PL	PRO;NOM;SG;3
všetky	mindegyik	všetok	mindegyik	DET;INAN;NOM;MASC;PL	
všetky	mind	všetok	mind	DET;INAN;NOM;MASC;PL	CONJ
všetky	minden	všetok	minden	DET;INAN;NOM;MASC;PL	PRO;NOM;SG;3
francúzsky	francia	francúzsky	francia	N;ANIM;NOM;MASC;SG	
francúzsky	franciák	francúzsky	francia	N;ANIM;NOM;MASC;SG	N;NOM;PL
mestá	városokat	mesto	város	N;NOM;NEUT;PL	N;ACC;PL
žije	életek	žiť	élet	V;IPFV;IND;SG;3;POS;PRS;FIN	N;NOM;PL
český	csehország	český	csehország	ADJ;ANIM;NOM;MASC;SG	
český	český	český	český	ADJ;ANIM;NOM;MASC;SG	PROPN;NOM;SG
často	gyakran	často	gyakran	ADV	
často	gyakran	často	gyakran	ADV	
ján	jan	ján	jan	PROPN;ANIM;NOM;MASC;SG	
ján	john	ján	john	PROPN;ANIM;NOM;MASC;SG	
ján	jános	ján	jános	PROPN;ANIM;NOM;MASC;SG	N;NOM;SG
niekoľko	számos	niekoľko	számos	DET;NOM;NEUT;SG	
okres	körzet	okres	körzet	INTJ	N;NOM;SG
okres	járás	okres	járás	INTJ	N;NOM;SG
okres	kerület	okres	kerület	INTJ	
jún	jun	jún	jun	INTJ	
jún	júniusi	jún	júniusi	INTJ	ADJ;NOM;SG
jún	june	jún	june	INTJ	
jún	június	jún	június	INTJ	N;NOM;SG
jún	júniusban	jún	június	INTJ	N;IN+ESS;SG
šablóny	sablon	šablón	sablon	N;INAN;NOM;MASC;PL	N;NOM;SG
ani	ani	ani	ani	PART	
ani	sem	ani	sem	PART	ADV
slovenska	slovenska	slovensky	slovenska	N;NOM;NEUT;SG	
nové	újdonság	nový	újdonság	ADJ;NOM;NEUT;SG	N;NOM;SG
všetkých	mindegyik	všetok	mindegyik	DET;ANIM;ACC;MASC;PL	
všetkých	mind	všetok	mind	DET;ANIM;ACC;MASC;PL	CONJ
všetkých	minden	všetok	minden	DET;ANIM;ACC;MASC;PL	PRO;NOM;SG;3
štátu	állapot	štát	állap	N;INAN;GEN;MASC;SG	N;NOM;SG
štátu	állami	štát	állami	N;INAN;GEN;MASC;SG	
štátu	állam	štát	állam	N;INAN;GEN;MASC;SG	N;NOM;SG
ďalšie	további	ďalší	további	ADJ;NOM;NEUT;SG	N;NOM;SG
ďalšie	következő	ďalší	következő	ADJ;NOM;NEUT;SG	
ďalšie	egyéb	ďalší	egyéb	ADJ;NOM;NEUT;SG	
ďalšie	más	ďalší	más	ADJ;NOM;NEUT;SG	PRO;NOM;SG;3
ďalšie	tovább	ďalší	tovább	ADJ;NOM;NEUT;SG	ADV
ďalšie	további	ďalší	további	ADJ;NOM;NEUT;SG	N;NOM;SG
ďalšie	több	ďalší	több	ADJ;NOM;NEUT;SG	DET;INDF
ďalšie	more	ďalší	more	ADJ;NOM;NEUT;SG	
ďalšie	további	ďalší	további	ADJ;NOM;NEUT;SG	N;NOM;SG
ďalšie	tobb	ďalší	tobb	ADJ;NOM;NEUT;SG	
tým	csapat	to	csapat	DET;INS;NEUT;SG	N;NOM;SG
tým	team	to	team	DET;INS;NEUT;SG	
dve	kettő	dva	kettő	NUM;NOM;FEM;PL	
dva	kettő	dva	kettő	NUM;INAN;NOM;MASC;PL	
mala	mala	mať	mala	V;IPFV;FEM;SG;POS;PST;V.PTCP	
style	stílus	style	stílus	INTJ	N;NOM;SG
približne	kb	približne	kb	ADV	N;NOM;SG
približne	nagyjából	približne	nagy	ADV	N;IN+ABL;SG
približne	durván	približne	durván	ADV	
približne	nagyjából	približne	nagy	ADV	N;IN+ABL;SG
približne	megközelítőleg	približne	megközelítőleg	ADV	ADJ;FRML;SG
táto	ezt	táto	ez	DET;NOM;FEM;SG	PRO;ACC;SG;3
táto	ez	táto	ez	DET;NOM;FEM;SG	PRO;NOM;SG;3
prvé	először	prvý	először	ADJ;NOM;NEUT;SG	ADV
martin	márton	martin	márt	PROPN;ANIM;NOM;MASC;SG	
martin	martin	martin	martin	PROPN;ANIM;NOM;MASC;SG	
http	http	http	http		
tri	tri	tri	tri	NUM;INAN;NOM;MASC;PL	
tri	három	tri	három	NUM;INAN;NOM;MASC;PL	NUM;NOM;SG
loire	loire	loira	loire	N;NOM;NEUT;SG	PROPN;NOM;SG
nich	ők	on	ők	PRO;ANIM;ACC;MASC;PL;3	PRO;NOM;PL;3
praha	prága	praha	prága	PROPN;NOM;FEM;SG	PROPN;NOM;SG
praha	prágai	praha	prágai	PROPN;NOM;FEM;SG	
stránke	oldalt	stránka	oldal	N;DAT;FEM;SG	N;ACC;SG
stránke	oldal	stránka	oldal	N;DAT;FEM;SG	N;NOM;SG
film	filmet	film	film	N;INAN;NOM;MASC;SG	N;ACC;SG
spoločnosti	társaság	spoločnosť	társaság	N;NOM;FEM;PL	N;NOM;SG
spoločnosti	vállalat	spoločnosť	vállalat	N;NOM;FEM;PL	N;NOM;SG
spoločnosti	cég	spoločnosť	cég	N;NOM;FEM;PL	N;NOM;SG
spoločnosti	század	spoločnosť	század	N;NOM;FEM;PL	N;NOM;SG
peter	peter	peter	peter	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG
peter	péter	peter	péter	N;ANIM;NOM;MASC;SG	
mali	volt	mať	van	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
mali	mali	mať	mali	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	
strany	oldalakon	strana	oldal	N;NOM;FEM;PL	N;ON+ESS;PL
slovensky	angolul	slovensky	angolul	ADV	
slovensky	angol	slovensky	angol	ADV	
prvá	először	prvý	először	ADJ;NOM;FEM;SG	ADV
van	furgon	van	furgon	PROPN;ANIM;NOM;MASC;SG	N;NOM;SG
nemecký	németül	nemecký	németül	ADJ;ANIM;NOM;MASC;SG	
storočí	évszázadok	storočie	évszázad	N;NOM;NEUT;SG	N;NOM;PL
storočí	évszázadokkal	storočie	évszázad	N;NOM;NEUT;SG	N;INS;PL
hlavne	főként	hlavne	főként	ADV	
hlavne	főleg	hlavne	főleg	ADV	
hlavne	különösen	hlavne	különös	ADV	ADJ;FRML;SG
hlavne	főleg	hlavne	főleg	ADV	
hlavne	főleg	hlavne	főleg	ADV	
hlavne	főként	hlavne	főként	ADV	
hlavne	többnyire	hlavne	többnyir	ADV	
rod	rod	rod	rod	N;ANIM;NOM;MASC;SG	
bude	will	byť	will	V;IPFV;IND;SG;3;POS;FUT;FIN	
bude	fog	byť	fog	V;IPFV;IND;SG;3;POS;FUT;FIN	V;INDF;IND;SG;3;PRS;ACT
bude	akarat	byť	akarat	V;IPFV;IND;SG;3;POS;FUT;FIN	N;NOM;SG
týchto	ezek	táto	ez	DET;ANIM;ACC;MASC;PL	PRO;NOM;PL;3
týchto	ezeket	táto	ez	DET;ANIM;ACC;MASC;PL	PRO;ACC;PL;3
republiky	köztársaság	republika	köztársaság	N;NOM;FEM;PL	N;NOM;SG
možno	talán	možno	talán	PART	ADV
možno	talán	možno	talán	PART	ADV
ženy	női	žena	női	N;NOM;FEM;PL	
ženy	nő	žena	nő	N;NOM;FEM;PL	N;NOM;SG
ďalej	további	ďalej	további	ADV	N;NOM;SG
ďalej	következő	ďalej	következő	ADV	
kedy	mikor	kedy	mikor	ADV	ADV
kedy	amikor	kedy	amikor	ADV	ADV
územia	terület	územie	terület	N;NOM;NEUT;PL	N;NOM;SG
územia	területe	územie	terület	N;NOM;NEUT;PL	N;NOM;SG
systém	system	systém	system	N;INAN;NOM;MASC;SG	
ide	megyek	ísť	megy	V;IPFV;IND;SG;3;POS;PRS;FIN	V;INDF;IND;SG;1;PRS;FIN;ACT
latinsky	latin	latinsky	latin	ADV	
latinsky	latinul	latinsky	latinul	ADV	
góly	célokat	góla	cél	N;NOM;FEM;PL	N;ACC;PL
európy	európa	európa	európa	N;NOM;FEM;PL	
európy	europe	európa	europe	N;NOM;FEM;PL	
európy	európában	európa	európa	N;NOM;FEM;PL	N;IN+ESS;SG
pôvodne	kezdetben	pôvodne	kezdet	ADV	N;IN+ESS;SG
pôvodne	eleinte	pôvodne	eleint	ADV	
pôvodne	eredetileg	pôvodne	eredeti	ADV	
známy	ismeretes	známy	ismeretes	ADJ;ANIM;NOM;MASC;SG	
známy	ismertek	známy	ismer	ADJ;ANIM;NOM;MASC;SG	V;INDF;IND;PL;3;PST;FIN;ACT
známy	ismert	známy	ismert	ADJ;ANIM;NOM;MASC;SG	
haute	haute	haute	haute	N;NOM;FEM;SG	
john	john	john	john	PROPN;ANIM;NOM;MASC;SG	
john	jános	john	jános	PROPN;ANIM;NOM;MASC;SG	N;NOM;SG
klub	club	klub	club	N;INAN;NOM;MASC;SG	
objektov	tárgyak	objekt	tárgy	N;INAN;GEN;MASC;PL	N;NOM;PL
objektov	objektumok	objekt	ob	N;INAN;GEN;MASC;PL	N;NOM;PL
isbn	isbn	isbn	isbn		
ľudí	emberek	človek	ember	N;ANIM;ACC;MASC;PL	N;NOM;PL
ľudí	emberek	človek	ember	N;ANIM;ACC;MASC;PL	N;NOM;PL
hudobné	zene	hudobný	zene	ADJ;NOM;NEUT;SG	N;NOM;SG
hudobné	zenés	hudobný	zenés	ADJ;NOM;NEUT;SG	N;NOM;SG
hudobné	musical	hudobný	musical	ADJ;NOM;NEUT;SG	N;NOM;SG
herec	színésznek	herec	színészik	N;ANIM;NOM;MASC;SG	N;GEN;SG
hry	játék	hra	játék	N;NOM;FEM;PL	N;NOM;SG
veľký	nagyok	veľký	nagy	ADJ;ANIM;NOM;MASC;SG	N;NOM;PL
veľký	nagyok	veľký	nagy	ADJ;ANIM;NOM;MASC;SG	N;NOM;PL
života	élet	život	élet	N;INAN;GEN;MASC;SG	N;NOM;SG
života	életem	život	élet	N;INAN;GEN;MASC;SG	N;NOM;SG
života	life	život	life	N;INAN;GEN;MASC;SG	
septembra	szeptemberben	september	szeptember	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
septembra	szeptember	september	szeptember	N;INAN;GEN;MASC;SG	N;NOM;SG
septembra	szeptemberi	september	szeptemberi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
kráľ	kinga	kráľ	kinga	N;ANIM;NOM;MASC;SG	
iii	iii	iii	iii	NUM	
maďarsku	hungary	maďarsky	hungary	N;NOM;NEUT;SG	
