категория	kategorien	категория	kategorien	N;INDF;FEM;SG	N;NOM;FEM;PL
име	bezeichnung	име	Bezeichnung	N;INDF;NEUT;SG	ADJ
име	vorname	име	vornam	N;INDF;NEUT;SG	
заедно	gemeinsam	заедно	gemeinsam	ADV	ADJ
фон	hintergründe	фон	hintergründe	N;INDF;MASC;SG	ADJ
фон	vorgeschichte	фон	vorgeschicht	N;INDF;MASC;SG	ADJ;NOM;SG
фон	hintergrundinformationen	фон	hintergrundinformationen	N;INDF;MASC;SG	V;PL
фон	hintergrund	фон	hintergrund	N;INDF;MASC;SG	ADJ
американски	amerikanische	американски	amerikanisch	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
американски	amerikanischen	американски	amerikanisch	ADJ;INDF;MASC;SG	ADJ;NOM;PL
март	marsch	март	marsch	N;INDF;MASC;SG	ADJ
март	march	март	march	N;INDF;MASC;SG	PROPN
март	märz	март	märz	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
ноември	november	ноември	november	N;INDF;MASC;SG	PROPN
ноември	nov	ноември	nov	N;INDF;MASC;SG	
ноември	november	ноември	november	N;INDF;MASC;SG	PROPN
април	apr	април	apr	N;INDF;MASC;SG	
април	april	април	april	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
април	april	април	april	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
декември	december	декември	december	N;INDF;MASC;SG	PROPN
декември	dezember	декември	dezember	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
декември	dezember	декември	dezember	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
декември	dec	декември	der	N;INDF;MASC;SG	
декември	dez	декември	dez	N;INDF;MASC;SG	
чрез	via	чрез	via	ADP	
история	geschichte	история	geschicht	N;INDF;FEM;SG	
история	meldung	история	meldung	N;INDF;FEM;SG	ADJ
история	vergangenheit	история	vergangenheit	N;INDF;FEM;SG	ADJ
история	werdegang	история	werdegang	N;INDF;FEM;SG	
история	geschichte	история	geschicht	N;INDF;FEM;SG	
жители	bewohner	жител	bewohner	N;INDF;MASC;PL	ADJ
жители	anwohner	жител	anwohner	N;INDF;MASC;PL	
жители	bewohner	жител	bewohner	N;INDF;MASC;PL	ADJ
различни	diverse	различен	divers	ADJ;INDF;PL	N;NOM;FEM;PL
различни	sonstiges	различен	sonstig	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
различни	verschiedenes	различен	verschieden	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
без	without	без	withouen	ADP	
често	häufig	често	häufig	ADV	ADJ
февруари	february	февруари	february	N;INDF;MASC;SG	
февруари	februar	февруари	februaer	N;INDF;MASC;SG	PROPN;NOM;SG
февруари	feb	февруари	feb	N;INDF;MASC;SG	
февруари	februar	февруари	februaer	N;INDF;MASC;SG	PROPN;NOM;SG
работи	werk	работя	werk	V;IPFV;IMP;SG;2;FIN	N;NOM;NEUT;SG
работи	arbeit	работя	arbeit	V;IPFV;IMP;SG;2;FIN	N;NOM;FEM;SG
работи	arbeitsplatz	работя	arbeitsplatz	V;IPFV;IMP;SG;2;FIN	
работи	funktioniert	работя	funktionieren	V;IPFV;IMP;SG;2;FIN	V;IND;SG;3;PRS;FIN
работи	bauleistungen	работя	bauleistung	V;IPFV;IMP;SG;2;FIN	N;NOM;FEM;PL
работи	arbeitet	работя	arbeiten	V;IPFV;IMP;SG;2;FIN	V;IND;SG;3;PRS;FIN
работи	werke	работя	werk	V;IPFV;IMP;SG;2;FIN	N;NOM;NEUT;PL
провинция	bundesland	провинция	bundesland	N;INDF;FEM;SG	
провинция	provinz	провинция	provinz	N;INDF;FEM;SG	
империя	kaiserreich	империя	kaiserreich	N;INDF;FEM;SG	PROPN
империя	empire	империя	empir	N;INDF;FEM;SG	PROPN;NOM;SG
империя	reich	империя	reich	N;INDF;FEM;SG	ADJ
иван	ivan	иван	ivan	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
иван	iwan	иван	iwan	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
център	zentrum	център	zentrum	N;INDF;MASC;SG	PROPN;NOM;SG
център	mitte	център	mitte	N;INDF;MASC;SG	ADV
център	zentriert	център	zentrieren	N;INDF;MASC;SG	V;V.PTCP
център	center	център	center	N;INDF;MASC;SG	PROPN;SG
център	zentrum	център	zentrum	N;INDF;MASC;SG	PROPN;NOM;SG
център	stadtzentrum	център	stadtzentrum	N;INDF;MASC;SG	V;V.PTCP
център	mitte	център	mitte	N;INDF;MASC;SG	ADV
център	stadtmitte	център	stadtmitt	N;INDF;MASC;SG	
център	mittelpunkt	център	mittelpunkt	N;INDF;MASC;SG	ADV
повече	weiteres	повече	weit	ADV;INDF;PL	ADJ;NOM;NEUT;SG
повече	weitere	повече	weit	ADV;INDF;PL	ADJ;NOM;FEM;PL
три	dreien	три	dreien	NUM;INDF;PL	
три	three	три	threen	NUM;INDF;PL	PROPN
три	dreier	три	dreier	NUM;INDF;PL	
страна	land	страна	land	N;INDF;FEM;SG	
страна	seitlich	страна	seitlich	N;INDF;FEM;SG	ADJ
страна	side	страна	side	N;INDF;FEM;SG	
градове	ortschaften	град	ortschaften	N;INDF;MASC;PL	ADJ
градове	stadt	град	staden	N;INDF;MASC;PL	
население	bevölkerung	население	bevölkerung	N;INDF;NEUT;SG	ADJ
население	demographie	население	demographie	N;INDF;NEUT;SG	
население	einwohnerzahl	население	einwohnerzahl	N;INDF;NEUT;SG	ADJ
население	demografische	население	demografisch	N;INDF;NEUT;SG	ADJ;NOM;FEM;PL
население	demografie	население	demografie	N;INDF;NEUT;SG	PROPN
население	bevölkerung	население	bevölkerung	N;INDF;NEUT;SG	ADJ
население	bevölkerungszahl	население	bevölkerungszahl	N;INDF;NEUT;SG	ADJ
население	grundgesamtheit	население	grundgesamtheit	N;INDF;NEUT;SG	ADJ;NOM;SG
население	einwohner	население	einwohner	N;INDF;NEUT;SG	N;NOM;MASC;PL
население	einwohnerzahl	население	einwohnerzahl	N;INDF;NEUT;SG	ADJ
завършва	ende	завършвам	ende	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;ACC;NEUT;SG
бил	rechnung	съм	rechnung	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	PROPN;SG
бил	bill	съм	billen	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	PROPN;NOM;MASC;SG
бил	schein	съм	schein	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	
малко	kleiner	малко	klein	ADV;INDF;PL	ADJ
малко	kleine	малко	klein	ADV;INDF;PL	ADJ;NOM;FEM;PL
малко	little	малко	little	ADV;INDF;PL	PROPN
малко	klein	малко	klein	ADV;INDF;PL	ADJ
хора	leute	хора	leute	N;INDF	N;NOM;PL
хора	menschen	хора	menschen	N;INDF	N;NOM;PL
хора	personen	хора	Person	N;INDF	N;NOM;FEM;PL
университет	universität	университет	universität	N;INDF;MASC;SG	ADJ
университет	universitäten	университет	universitäten	N;INDF;MASC;SG	N;NOM;PL
германия	deutschland	германия	deutschland	PROPN;INDF;FEM;SG	PROPN;NOM
могат	kann	мога	können	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
могат	können	мога	können	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
могат	can	мога	can	V;IPFV;IND;PL;3;PRS;FIN;ACT	
могат	kannst	мога	können	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;SG;2;PRS;FIN
син	blaue	син	blau	N;INDF;MASC;SG	ADJ;NOM;FEM;PL
син	blue	син	blue	N;INDF;MASC;SG	PROPN;NOM;SG
син	blau	син	blau	N;INDF;MASC;SG	ADJ
син	blauen	син	blau	N;INDF;MASC;SG	ADJ
награда	lohn	награда	lohn	N;INDF;FEM;SG	
награда	belohnen	награда	belohnen	N;INDF;FEM;SG	V;NFIN
награда	belohnung	награда	belohnung	N;INDF;FEM;SG	ADJ
награда	preisgeld	награда	preisgeld	N;INDF;FEM;SG	
награда	preis	награда	preis	N;INDF;FEM;SG	PROPN
награда	ausgezeichnet	награда	auszeichnen	N;INDF;FEM;SG	V;V.PTCP
награда	award	награда	award	N;INDF;FEM;SG	PROPN;NOM;MASC;SG
георги	georgi	георга	georgi	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
георги	georgi	георга	georgi	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
голяма	großen	голям	groß	ADJ;INDF;FEM;SG	ADJ;PL
голяма	große	голям	groß	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;PL
голяма	grosse	голям	groß	ADJ;INDF;FEM;SG	N;NOM;FEM;PL
голяма	big	голям	bigen	ADJ;INDF;FEM;SG	
голяма	großen	голям	groß	ADJ;INDF;FEM;SG	ADJ;PL
голяма	große	голям	groß	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;PL
италия	italien	италия	italien	PROPN;INDF;FEM;SG	PROPN;NOM;NEUT;SG
сайт	internetseite	сайт	internetseite	N;INDF;MASC;SG	ADJ
сайт	webseiten	сайт	webseiten	N;INDF;MASC;SG	V;NFIN
сайт	webseite	сайт	webseite	N;INDF;MASC;SG	
сайт	aufstellungsort	сайт	aufstellungsort	N;INDF;MASC;SG	ADJ
сайт	webseite	сайт	webseite	N;INDF;MASC;SG	
сайт	standort	сайт	standoren	N;INDF;MASC;SG	ADV
участва	beteiligt	участвам	beteiligen	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;V.PTCP
световна	weltweite	световен	weltweit	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;PL
край	beenden	край	beenden	ADP	V;NFIN
край	end	край	end	ADP	
край	ende	край	ende	ADP	N;ACC;NEUT;SG
уикипедия	wikipedia	уикипедия	wikipedia	N;INDF;FEM;SG	
използва	verwendung	използвам	verwendung	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;SG
сезон	staffel	сезон	staffel	N;INDF;MASC;SG	
сезон	jahreszeit	сезон	jahreszeit	N;INDF;MASC;SG	ADJ
окръг	komitat	окръг	komitat	N;INDF;MASC;SG	PROPN
окръг	kreis	окръг	kreis	N;INDF;MASC;SG	ADV
окръг	bezirk	окръг	bezirk	N;INDF;MASC;SG	PROPN
окръг	grafschaft	окръг	grafschaft	N;INDF;MASC;SG	ADJ
окръг	county	окръг	county	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
окръг	district	окръг	district	N;INDF;MASC;SG	PROPN
окръг	bezirk	окръг	bezirk	N;INDF;MASC;SG	PROPN
окръг	stadtteil	окръг	stadtteil	N;INDF;MASC;SG	ADJ
окръг	distrikt	окръг	distrikt	N;INDF;MASC;SG	ADJ
днес	heutige	днес	heutig	ADV	ADJ;NOM;FEM;PL
днес	heutigen	днес	heutig	ADV	ADJ;NOM;MASC;PL
смъртта	todes	смърт	tod	N;DEF;FEM;SG	
смъртта	tode	смърт	toden	N;DEF;FEM;SG	ADV
смъртта	tod	смърт	tod	N;DEF;FEM;SG	
франция	frankreich	франция	frankreich	PROPN;INDF;FEM;SG	PROPN;NOM;SG
национален	nationale	национален	national	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
гърция	griechenland	гърция	griechenland	PROPN;INDF;FEM;SG	ADJ
вижте	schau	видя-(се)	schau	V;PFV;IMP;PL;2;FIN	;SG
вижте	see	видя-(се)	see	V;PFV;IMP;PL;2;FIN	
вижте	siehe	видя-(се)	sehen	V;PFV;IMP;PL;2;FIN	V;IMP;SG;FIN
русия	rußland	русия	rußland	PROPN;INDF;FEM;SG	
русия	russland	русия	rußland	PROPN;INDF;FEM;SG	PROPN;NOM;NEUT;SG
английски	englische	английски	englisch	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
едно	einen	един	ein	NUM;INDF;NEUT;SG	PRO;ACC;INDF;MASC;SG
едно	eins	един	ein	NUM;INDF;NEUT;SG	
едно	einer	един	ein	NUM;INDF;NEUT;SG	PRO;NOM;INDF;MASC;SG
едно	eine	един	ein	NUM;INDF;NEUT;SG	DET;NOM;INDF;FEM;SG
едно	ein	един	ein	NUM;INDF;NEUT;SG	ADV
първи	erste	първи	erst	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
първи	zuerst	първи	zuerst	ADJ;INDF;MASC;SG	ADV
първи	first	първи	fersen	ADJ;INDF;MASC;SG	PROPN
първи	ersten	първи	erst	ADJ;INDF;MASC;SG	ADJ;NOM;PL
отново	nochmal	отново	nochmal	ADV	
отново	erneut	отново	erneut	ADV	ADJ
член	mitglieds	член	mitglieds	N;INDF;MASC;SG	
член	mitglied	член	mitglied	N;INDF;MASC;SG	ADJ
член	mitglieder	член	mitglied	N;INDF;MASC;SG	N;NOM;NEUT;PL
член	mitgliedstaat	член	mitgliedstaat	N;INDF;MASC;SG	ADJ
член	mitgliedstaaten	член	mitgliedstaat	N;INDF;MASC;SG	V;IND;PL;3;FIN
член	artikel	член	artikel	N;INDF;MASC;SG	ADJ
височина	höhen	височина	höhen	N;INDF;FEM;SG	V;NFIN
височина	höhe	височина	höch	N;INDF;FEM;SG	
височина	höhe	височина	höch	N;INDF;FEM;SG	
височина	körpergröße	височина	körpergröße	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
височина	grösse	височина	groß	N;INDF;FEM;SG	
височина	höhe	височина	höch	N;INDF;FEM;SG	
дъщеря	tochter	дъщеря	tocht	N;INDF;FEM;SG	
нея	ihr	аз	ihr	PRO;ACC;FEM;SG;3	PRO;NOM;MASC;SG
нея	ihre	аз	ihr	PRO;ACC;FEM;SG;3	DET;NOM;FEM;SG
училище	schuljahr	училище	schuljahr	N;INDF;NEUT;SG	ADJ
училище	schulen	училище	schallen	N;INDF;NEUT;SG	V;NFIN
били	billy	съм	billy	V;IPFV;INDF;IND;PL;V.PTCP;ACT	PROPN;NOM;MASC;SG
били	billie	съм	billie	V;IPFV;INDF;IND;PL;V.PTCP;ACT	PROPN;NOM;MASC;SG
света	sveta	свят	sveta	N;DEF;MASC;SG	PROPN;NOM;SG
света	weltweit	свят	weltweit	N;DEF;MASC;SG	ADJ
села	dorf	село	dorf	N;INDF;NEUT;PL	N;NOM;NEUT;SG
села	dörfer	село	dörfern	N;INDF;NEUT;PL	
села	ortschaften	село	ortschaften	N;INDF;NEUT;PL	ADJ
филми	filmen	филм	filmen	N;INDF;MASC;PL	V;NFIN
филми	filme	филм	filmen	N;INDF;MASC;PL	
филми	kino	филм	kino	N;INDF;MASC;PL	N;NOM;NEUT;SG
филми	filme	филм	filmen	N;INDF;MASC;PL	
филми	kinos	филм	kinos	N;INDF;MASC;PL	
александър	aleksandar	александър	aleksandar	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
александър	alexandre	александър	alexandre	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
александър	alexander	александър	alexander	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
южна	süden	южен	süden	ADJ;INDF;FEM;SG	V;NFIN
южна	süd	южен	süd	ADJ;INDF;FEM;SG	N;NOM;NEUT;SG
южна	southern	южен	southern	ADJ;INDF;FEM;SG	PROPN
южна	südliche	южен	südlich	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;PL
южна	süd	южен	süd	ADJ;INDF;FEM;SG	N;NOM;NEUT;SG
южна	süden	южен	süden	ADJ;INDF;FEM;SG	V;NFIN
