przez	דרך	przez	דרך	ADP	
kwietnia	אפריל	kwiecia	אפריל		PROPN
listopada	נובמבר	listopada	נובמבר	N;GEN;MASC;SG	PROPN
listopada	בנובמבר	listopada	בנובמבר	N;GEN;MASC;SG	ADV
listopada	נוב	listopada	נוב	N;GEN;MASC;SG	
czerwca	יוני	czerwiec	יוני	N;GEN;MASC;SG	PROPN
lipca	ביולי	lipiec	ביולי		PROPN
lipca	יולי	lipiec	יולי		PROPN
lutego	בפברואר	luty	בפברואר		ADV
lutego	פברואר	luty	פברואר		PROPN
lutego	פברואר	luty	פברואר		PROPN
były	לשעבר	być	לשעבר	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADV
były	היו	być	היה	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;PL;3;POS;PST
pierwszy	ראשון	pierwszy	ראשון	ADJ;NOM;MASC;SG	PROPN
pierwszy	קודם	pierwszy	קודם	ADJ;NOM;MASC;SG	ADV
pierwszy	ראשית	pierwszy	ראשית	ADJ;NOM;MASC;SG	ADV
pierwszy	תחילה	pierwszy	תחילה	ADJ;NOM;MASC;SG	ADV
która	אשר	który	אשר	DET;NOM;FEM;SG	CONJ
która	איזה	który	איזה	DET;NOM;FEM;SG	
wojny	המלחמה	wojna	המלחם	N;GEN;FEM;SG	PROPN
wojny	המלחמות	wojna	המלחמות	N;GEN;FEM;SG	N;FEM;PL
wojny	מלחמות	wojna	מלחמה	N;GEN;FEM;SG	N;FEM;PL
można	יכולה	można	יכול	V;IND;PRS;FIN	V;FEM;SG;V.PTCP
można	יכול	można	None	V;IND;PRS;FIN	V;MASC;SG;V.PTCP
znajduje	מוצאת	znajdować	מצא	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP
znajduje	מוצא	znajdować	מוצא	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
data	תאריך	datać	תאריך		PROPN
data	התאריך	datać	התאריך		ADV
data	דייט	datać	דייט		PROPN
data	מידע	datać	מידע		N;MASC;SG
data	דאטה	datać	דאטה		PROPN
data	נתונים	datać	נתון		N;MASC;PL
warszawa	ורשה	warszawa	ורשה		PROPN
miasto	טאון	miasto	טאון	N;NOM;NEUT;SG	PROPN
miasto	העיר	miasto	העיר	N;NOM;NEUT;SG	V;MASC;SG;3;PST;ACT
miasto	העיר	miasto	העיר	N;NOM;NEUT;SG	V;MASC;SG;3;PST;ACT
lata	שנה	rok	שנה	N;NOM;MASC;PL	N;FEM;SG
nazwa	השם	nazwa	השם	N;NOM;FEM;SG	
nazwa	שם	nazwa	שם	N;NOM;FEM;SG	ADV
kraju	ארצי	kraj	ארצי	N;GEN;MASC;SG	PROPN
dwa	שתיים	dwa	שתיים	NUM;ACC;MASC;PL	NUM;FEM;SG
liczba	המספר	liczba	המספר	N;NOM;FEM;SG	PROPN
mieszkańców	מתמחים	mieszkaniec	התמחה	N;ACC;MASC;PL	V;MASC;PL;V.PTCP
gdy	מתי	gdy	מתי	CONJ	ADV
innych	אחר	inny	אחר	ADJ;GEN;MASC;PL	ADP
iii	iii	iii	iii		NUM
iii	השלישי	iii	השליש		PROPN
śmierci	המוות	śmierć	המווה	N;GEN;FEM;SG	
śmierci	מות	śmierć	מוות	N;GEN;FEM;SG	
około	בקירוב	około	בקירוב	PART	ADV
stronie	דף	strona	דף	N;DAT;FEM;SG	
stronie	עמוד	strona	עמוד	N;DAT;FEM;SG	
stronie	הדף	strona	הדף	N;DAT;FEM;SG	
strona	דף	strona	דף	N;NOM;FEM;SG	
strona	עמוד	strona	עמוד	N;NOM;FEM;SG	
strona	הדף	strona	הדף	N;NOM;FEM;SG	
jeszcze	עדיין	jeszcze	עדיין	PART	ADV
udział	השתתפו	udział	השתתף	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PL;3;PST
udział	מעורבות	udział	מעורבות	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;FEM;SG
udział	שתף	udział	שתף	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADV
udział	שתפו	udział	שתף	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PL;1;PST;ACT
udział	שיתוף	udział	שיתוף	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;MASC;SG
udział	השתתפות	udział	השתתפות	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;FEM;SG
udział	ההשתתפות	udział	ההשתתפות	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;FEM;SG
zespół	הלהקה	zespół	הלהקה	N;NOM;MASC;SG	PROPN
kościół	כנסיה	kościół	כנסיה	N;NOM;MASC;SG	PROPN
inne	אחרים	inny	אחר	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
inne	אחר	inny	אחר	ADJ;NOM;NEUT;SG	ADP
inne	אחרות	inny	אחר	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
inne	אחרים	inny	אחר	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
inne	ואחרים	inny	ואחר	ADJ;NOM;NEUT;SG	PROPN
jan	יאן	jan	יאן	PROPN;NOM;MASC;SG	PROPN
raz	פעם	raz	פעם	N;ACC;MASC;SG	ADV
jeden	אחת	jeden	אחת	ADJ;NOM;MASC;SG	NUM;FEM;SG
jeden	אחד	jeden	אחד	ADJ;NOM;MASC;SG	NUM;MASC;SG
tych	אלו	ten	אלו	DET;GEN;MASC;PL	PRO;PL;3
tych	אלה	ten	אלה	DET;GEN;MASC;PL	PRO;MASC;PL;3
isbn	isbn	isbny	isbn		PROPN
gminy	עיריות	gmina	עירייה		N;FEM;PL
polska	פולין	polski	פולין	ADJ;NOM;FEM;SG	PROPN
dwóch	שתיים	dwa	שתיים	NUM;ACC;MASC;PL	NUM;FEM;SG
grupy	הקבוצה	grupa	הקבוצה	N;ACC;FEM;SG	PROPN
grupy	קבוצות	grupa	קבוצה	N;ACC;FEM;SG	N;FEM;PL
wynik	ציון	wynik	ציון	N;NOM;MASC;SG	PROPN
wynik	תוצאות	wynik	תוצאה	N;NOM;MASC;SG	N;FEM;PL
nim	נים	nim	נים	CONJ	
mistrzostw	אליפות	mistrzostwa	אליפות	N;GEN;NEUT;PL	N;FEM;SG
kiedy	כאשר	kiedy	כאשר	ADV	CONJ
kod	קוד	kod	קוד	N;ACC;MASC;SG	
lista	הרשימה	list	הרשים	N;NOM;FEM;SG	V;FEM;SG;3;PST;ACT
bgcolor	bgcolor	bgcolor	bgcolor		PRO;MASC;SG;3
http	http	http	http		PROPN
francji	צרפת	francja	צרפת	PROPN;GEN;FEM;SG	PROPN
zespołu	הלהקה	zespół	הלהקה	N;GEN;MASC;SG	PROPN
jpg	jpg	jeść	jpg		PROPN
album	האלבום	album	האלבום	N;NOM;MASC;SG	PROPN
kościoła	כנסיה	kościół	כנסיה	N;GEN;MASC;SG	PROPN
rodziny	משפחה	rodzina	משפחה	N;NOM;FEM;PL	N;FEM;SG
amerykański	אמריקאים	amerykański	אמריקני	ADJ;NOM;MASC;SG	N;MASC;PL
amerykański	אמריקני	amerykański	אמריקני	ADJ;NOM;MASC;SG	PROPN
amerykański	אמריקאית	amerykański	אמריקני	ADJ;NOM;MASC;SG	ADV
wielu	הרבה	wiele	הרבה	DET;ACC;MASC;PL	ADV
wielu	רבות	wiele	רב	DET;ACC;MASC;PL	N;FEM;PL
wielu	רבים	wiele	רב	DET;ACC;MASC;PL	V;MASC;PL;V.PTCP;ACT
wielu	מרובה	wiele	מרובה	DET;ACC;MASC;PL	ADJ;FEM;SG
wielu	מרובות	wiele	מרובה	DET;ACC;MASC;PL	ADJ;FEM;PL
wielu	ריבוי	wiele	ריבוי	DET;ACC;MASC;PL	N;MASC;SG
opis	הכיתוב	opis	הכיתוב		PROPN
opis	כיתוב	opis	כיתוב		N;MASC;SG
opis	תיאור	opis	תיאור		N;MASC;SG
opis	התיאור	opis	התיאור		PROPN
pracy	איוב	praca	איוב	N;GEN;FEM;SG	
sezonie	העונה	sezon	העונה	N;INS;MASC;SG	ADV
miejscowości	ערים	miejscowość	עיר	N;GEN;FEM;SG	N;FEM;PL
miejscowości	עיירות	miejscowość	עיירה	N;GEN;FEM;SG	N;FEM;PL
związku	החיבור	związek	החיבור	N;GEN;MASC;SG	PROPN
związku	יחסים	związek	יחסים	N;GEN;MASC;SG	N;MASC;PL
związku	זוגיות	związek	זוגית	N;GEN;MASC;SG	N;FEM;PL
czas	הזמן	czas	הזמן	N;NOM;MASC;SG	
czas	טיים	czas	טיים	N;NOM;MASC;SG	PROPN
pierwsze	ראשון	pierwszy	ראשון	ADJ;NOM;NEUT;SG	PROPN
pierwsze	קודם	pierwszy	קודם	ADJ;NOM;NEUT;SG	ADV
pierwsze	ראשית	pierwszy	ראשית	ADJ;NOM;NEUT;SG	ADV
pierwsze	תחילה	pierwszy	תחילה	ADJ;NOM;NEUT;SG	ADV
wiele	הרבה	wiele	הרבה	DET;ACC;MASC;PL	ADV
wiele	רבות	wiele	רב	DET;ACC;MASC;PL	N;FEM;PL
wiele	רבים	wiele	רב	DET;ACC;MASC;PL	V;MASC;PL;V.PTCP;ACT
wiele	הרבה	wiele	הרבה	DET;ACC;MASC;PL	ADV
wiele	מרובה	wiele	מרובה	DET;ACC;MASC;PL	ADJ;FEM;SG
wiele	מרובות	wiele	מרובה	DET;ACC;MASC;PL	ADJ;FEM;PL
wiele	ריבוי	wiele	ריבוי	DET;ACC;MASC;PL	N;MASC;SG
wiele	לוט	wiele	לוט	DET;ACC;MASC;PL	
kilka	מעטות	kilka	מעט	DET;ACC;MASC;PL	
kilka	מעטים	kilka	מעטה	DET;ACC;MASC;PL	N;MASC;PL
trzy	שלושה	trzy	שלושה	NUM;ACC;MASC;PL	NUM;MASC;SG
trzy	שלוש	trzy	שלוש	NUM;ACC;MASC;PL	NUM;FEM;SG
trzy	three	trzy	three	NUM;ACC;MASC;PL	
źródło	המקור	źródło	המקור	N;NOM;NEUT;SG	
niż	מאשר	niż	מאשר	ADV	CONJ
strony	דף	strona	דף	N;NOM;FEM;PL	
strony	עמוד	strona	עמוד	N;NOM;FEM;PL	
strony	הדף	strona	הדף	N;NOM;FEM;PL	
nawet	אפילו	nawet	אפילו	PART	CONJ
mapy	מפות	mapa	מפות	N;ACC;FEM;SG	N;FEM;PL
mapy	מפת	mapa	מפה	N;ACC;FEM;SG	
mapy	המפה	mapa	המפה	N;ACC;FEM;SG	
film	וידאו	film	וידאו	N;ACC;MASC;SG	PROPN
początku	ההתחלה	początek	ההתחלה	N;GEN;MASC;SG	V;FEM;SG;3;PST
powierzchni	משטח	powierzchnia	משטח	N;GEN;FEM;SG	
plik	קובץ	plik	קובץ	N;ACC;MASC;SG	PROPN
plik	הקובץ	plik	הקובץ	N;ACC;MASC;SG	PROPN
armii	צבאות	armia	צבא	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
armii	צבא	armia	צבא	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
głównie	בעיקר	głównie	בעיקר	PART	ADV
głównie	ברובו	głównie	ברובו	PART	
głównie	לרוב	głównie	ררוב	PART	
głównie	בעיקר	głównie	בעיקר	PART	ADV
dnia	day	dzień	day	N;GEN;MASC;SG	
ponad	נגמר	ponad	נגמר	PART	V;MASC;SG;V.PTCP;MID
ponad	מעל	ponad	מעל	PART	ADP
ponad	לעיל	ponad	לעיל	PART	ADV
ponad	מעל	ponad	מעל	PART	ADP
dzięki	תודה	dzięki	תודה	ADP	PROPN
kariera	קריירות	kariera	קריירות	N;NOM;FEM;SG	N;FEM;PL
wszystkie	כולם	wszystek	None	DET;NOM;MASC;PL	N;MASC;PL
wszystkie	הכל	wszystek	הכיל	DET;NOM;MASC;PL	N
rady	עצות	rada	עצות	N;GEN;FEM;SG	N;FEM;PL
rady	עצה	rada	עצה	N;GEN;FEM;SG	
rady	המועצה	rada	המועצה	N;GEN;FEM;SG	PROPN
życia	life	życie	life	N;GEN;NEUT;SG	
życia	החיים	życie	החיים	N;GEN;NEUT;SG	ADV
życia	חיים	życie	חיים	N;GEN;NEUT;SG	PROPN
prawa	חוק	prawo	חוק		N;MASC;SG
prawa	משפטים	prawo	משפט		N;MASC;PL
prawa	חוקים	prawo	חוק		N;MASC;PL
prawa	זכויות	prawo	זכות		N;FEM;PL
prawa	הזכויות	prawo	הזכות		N;FEM;PL
miejsca	למקומות	miejsce	למקום	N;NOM;NEUT;PL	
jana	יאנה	jani	יאנה		PROPN
mistrzostwa	אליפות	mistrzostwa	אליפות	N;NOM;NEUT;PL	N;FEM;SG
mar	מאר	mar	מאר		PROPN
profil	הפרופיל	profil	הפרופיל	N;NOM;MASC;SG	PROPN
często	שכיח	często	שכיח	ADV	ADJ;MASC;SG
często	נפוץ	często	נפוץ	ADV	V;MASC;SG;V.PTCP;MID
często	משותף	często	משותף	ADV	ADJ;MASC;SG
często	נפוצה	często	נפוץ	ADV	ADJ;FEM;SG
często	תכופים	często	תכוף	ADV	ADJ;MASC;PL
sposób	שיטה	sposób	שיטה	V;IND;PRS;FIN	N;FEM;SG
sposób	השיטה	sposób	השיט	V;IND;PRS;FIN	V;FEM;SG;3;PST;ACT
sposób	דרך	sposób	דרך	V;IND;PRS;FIN	
będzie	ויל	być	ויל	V;IPFV;IND;SG;3;FUT;FIN	PROPN
będzie	וויל	być	וויל	V;IPFV;IND;SG;3;FUT;FIN	PROPN
dwie	שתיים	dwa	שתיים	NUM;ACC;FEM;PL	NUM;FEM;SG
pozycji	הפריטים	pozycja	הפריט	N;GEN;FEM;SG	N;MASC;PL
pozycji	פריטים	pozycja	פריט	N;GEN;FEM;SG	N;MASC;PL
xix	xix	xix	xix		NUM
nowy	חדשים	nowy	חדש	ADJ;NOM;MASC;SG	ADJ;MASC;PL
osoby	האדם	osoba	האדם	N;NOM;FEM;PL	
osoby	אדם	osoba	אדם	N;NOM;FEM;PL	N;MASC;SG
artykuł	המאמר	artykuł	המאמר	N;NOM;MASC;SG	PROPN
poza	שמעבר	poza	שמעבר	ADP	PROPN
poza	מעבר	poza	מעבר	ADP	
grupa	הקבוצה	grupa	הקבוצה	N;NOM;FEM;SG	PROPN
pomiędzy	בין	pomiędzy	בין		ADP
sam	לבדי	sam	לבדי	ADJ;NOM;MASC;SG	
sam	לבדו	sam	לבד	ADJ;NOM;MASC;SG	
sam	לבד	sam	לבד	ADJ;NOM;MASC;SG	
sam	סם	sam	סם	ADJ;NOM;MASC;SG	
sam	סאם	sam	סאם	ADJ;NOM;MASC;SG	
linii	קווים	linia	קווה	N;GEN;FEM;SG	N;MASC;PL
linii	קווי	linia	קו	N;GEN;FEM;SG	
linii	שורות	linia	שורה	N;GEN;FEM;SG	N;FEM;PL
wojska	צבאי	wojsko	צבאי	N;NOM;NEUT;SG	ADJ;MASC;SG
wojska	חיילים	wojsko	חייל	N;NOM;NEUT;SG	N;MASC;PL
lip	שפתיים	lip	שפה		N;FEM;DU
liczby	דמויות	liczba	דמות	N;ACC;FEM;SG	N;FEM;PL
liczby	מספרים	liczba	מספר	N;ACC;FEM;SG	N;MASC;PL
razem	ביחד	razem	ביחד	ADV	
centrum	המרכז	centrum	המרכז	N;ACC;NEUT;SG	PROPN
centrum	סנטר	centrum	סנטר	N;ACC;NEUT;SG	PROPN
centrum	המרכז	centrum	המרכז	N;ACC;NEUT;SG	PROPN
szkoły	לימודים	szkoła	לימודים	N;GEN;FEM;SG	N;MASC;PL
reprezentacji	לייצוג	reprezentacja	לייצוג	N;DAT;FEM;SG	V;NFIN;ACT
parafia	פאריש	parafia	פריש		PROPN
trener	המאמן	trener	המאמן	N;NOM;MASC;SG	PROPN
koniec	סוף	koniec	None	N;NOM;MASC;SG	ADV
koniec	סופו	koniec	סופה	N;NOM;MASC;SG	
koniec	קץ	koniec	קץ	N;NOM;MASC;SG	
takie	כזאת	taki	כזאת	DET;NOM;MASC;SG	
takie	כזה	taki	כזה	DET;NOM;MASC;SG	
takie	כזו	taki	כזו	DET;NOM;MASC;SG	
takie	כאלה	taki	כאלה	DET;NOM;MASC;SG	PROPN
klub	קלאב	klub	קלאב	N;NOM;MASC;SG	PROPN
klub	המועדון	klub	המועדון	N;NOM;MASC;SG	PROPN
muzeum	המוזיאון	muzeum	המוזיאון	N;ACC;NEUT;SG	PROPN
ziemi	הארץ	ziemia	הארץ	N;GEN;FEM;SG	
gatunek	סוגה	gatunek	סוג	N;NOM;MASC;SG	ADV
gatunek	מין	gatunek	מין	N;NOM;MASC;SG	
gatunek	מינים	gatunek	מין	N;NOM;MASC;SG	N;MASC;PL
gatunek	זן	gatunek	זן	N;NOM;MASC;SG	
zjednoczonych	יונייטד	zjednoczyć	יונייטד	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	PROPN
zjednoczonych	מאוחדים	zjednoczyć	אוחד	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;MASC;PL;V.PTCP;PASS
wcześniej	בעבר	wcześnie	בעבר	ADV;CMPR	
wcześniej	לפני	wcześnie	לפני	ADV;CMPR	ADP
partii	מסיבה	partia	מסיבה	N;GEN;FEM;SG	
partii	המפלגה	partia	המפלג	N;GEN;FEM;SG	PROPN
partii	אצווה	partia	אצווה	N;GEN;FEM;SG	
stadion	האצטדיון	stadion	האצטדיון	N;NOM;MASC;SG	PROPN
stanisław	סטניסלב	stanisław	סטניסלב	PROPN;NOM;MASC;SG	PROPN
style	סטיילס	style	סטיילס		PROPN
style	סגנונות	style	סגנון		N;MASC;PL
style	הסגנון	style	הסגנון		PROPN
style	סטייל	style	סטייל		PROPN
style	סגנון	style	סגנון		N;MASC;SG
olimpijskich	האולימפיים	olimpijski	האולימפיים	ADJ;GEN;MASC;PL	N;MASC;DU
język	לשון	język	לשון	N;NOM;MASC;SG	
rodzaj	אדיב	rodzaj	אדיב	N;NOM;MASC;SG	PROPN
www	www	www	www		PROPN
czasu	הזמן	czas	הזמן	N;GEN;MASC;SG	
czasu	טיים	czas	טיים	N;GEN;MASC;SG	PROPN
najbardziej	רובם	bardzo	None	ADV;RL	N;MASC;SG
najbardziej	רוב	bardzo	רוב	ADV;RL	N;MASC;SG
najbardziej	הרוב	bardzo	הרוב	ADV;RL	
najbardziej	הכי	bardzo	הכי	ADV;RL	
kategorii	קטגוריות	kategoria	קטגוריה	N;GEN;FEM;SG	N;FEM;PL
metrów	מטר	metr	מטר	N;GEN;MASC;PL	PROPN
metrów	מטר	metr	מטר	N;GEN;MASC;PL	PROPN
metrów	מטר	metr	מטר	N;GEN;MASC;PL	PROPN
oficjalna	רישמי	oficjalny	רישמי	ADJ;NOM;FEM;SG	PROPN
powodu	הסיבה	powodu	הסיב	ADP	V;FEM;SG;3;PST;ACT
powodu	סיבה	powodu	סיבה	ADP	N;FEM;SG
gru	גרו	gra	גרו		PROPN
król	המלך	król	המלך	N;NOM;MASC;SG	
król	קינג	król	קינג	N;NOM;MASC;SG	PROPN
andrzej	אנדרו	andrzej	אנדרו	PROPN;NOM;MASC;SG	PROPN
lis	שועל	lis	שועל		PROPN
lis	פוקס	lis	פוקס		PROPN
lis	ליס	lis	ליס		PROPN
prowincji	נפה	prowincja	נפה	N;GEN;FEM;SG	PROPN
puchar	ספל	puchar	ספל	N;ACC;MASC;SG	PROPN
puchar	כוס	puchar	כוס	N;ACC;MASC;SG	
drugi	שניה	drugi	שניה	ADJ;NOM;MASC;SG	NUM;FEM;SG
drugi	שנייה	drugi	שנייה	ADJ;NOM;MASC;SG	NUM;FEM;SG
drugi	שני	drugi	שני	ADJ;NOM;MASC;SG	NUM;MASC;PL
drugi	שנית	drugi	שנית	ADJ;NOM;MASC;SG	
działalność	פעילויות	działalność	פעילות	N;NOM;FEM;SG	N;FEM;PL
początkowo	במקור	początkowo	במקור	ADV	
tys	אלף	tys	אלף		NUM;MASC;SG
wydawnictwo	מפרסם	wydawnictwo	פרסם	N;NOM;NEUT;SG	V;MASC;SG;V.PTCP;ACT
temat	הנושא	temat	הנושא	N;ACC;MASC;SG	
sezon	העונה	sezon	העונה	N;NOM;MASC;SG	ADV
nazwy	שמות	nazwa	שם		N;MASC;PL
życie	life	życie	life	N;NOM;NEUT;SG	
życie	החיים	życie	החיים	N;NOM;NEUT;SG	ADV
życie	חיים	życie	חיים	N;NOM;NEUT;SG	PROPN
nowe	חדשים	nowy	חדש	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
różnych	שונה	różny	שונה	ADJ;GEN;MASC;PL	
parafii	פאריש	parafia	פריש	N;GEN;FEM;SG	PROPN
gmin	עיריות	gmina	עירייה		N;FEM;PL
ligi	הליגה	liga	הליגה	N;ACC;FEM;SG	
niemiecki	גרמני	niemiecki	גרמני	ADJ;NOM;MASC;SG	N;MASC;SG
niemiecki	גרמנית	niemiecki	גרמנית	ADJ;NOM;MASC;SG	PROPN
