kategória	kategorii	kategória	kategorie	N;NOM;FEM;SG	N;ACC;FEM;SG;POS
francúzska	francii	francúzsky	francie	N;NOM;FEM;SG	PROPN;ACC;FEM;SG;POS
francúzska	francie	francúzsky	francie	N;NOM;FEM;SG	PROPN;NOM;FEM;SG;POS
však	nicméně	však	nicméně	PART	CONJ
však	avšak	však	avšak	PART	CONJ
pod	níže	pod	nízko	ADP;INS	ADV;CMPR;POS
pod	podpalubí	pod	podpalubí	ADP;INS	N;NOM;NEUT;SG;POS
pod	pod	pod	pod	ADP;INS	ADP;ACC
pod	pode	pod	pode	ADP;INS	ADV
pod	pod	pod	pod	ADP;INS	ADP;ACC
pred	pre	pred	pre	ADP;INS	PROPN;MASC;SG;POS
pred	než	pred	než	ADP;INS	CONJ
pred	před	pred	před	ADP;INS	N;FEM;SG;POS
pred	předtím	pred	předtím	ADP;INS	ADV
vývoj	evoluci	vývoj	evoluce	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG;POS
graf	grafu	graf	graf	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
môže	májový	môcť	májový	V;IPFV;IND;SG;3;POS;PRS;FIN	ADJ;INAN;NOM;MASC;SG;POS
môže	máj	môcť	máj	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INAN;NOM;MASC;SG;POS
môže	květen	môcť	květen	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INAN;NOM;MASC;SG;POS
môže	května	môcť	květen	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INAN;GEN;MASC;SG;POS
môže	mohou	môcť	moci	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;PL;3;POS;PRS;FIN;ACT
nasledujúci	následuje	nasledujúci	následovat	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
nasledujúci	dále	nasledujúci	dále	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADV
zobrazuje	displeje	zobrazovať	displej	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INAN;NOM;MASC;PL;POS
zobrazuje	zobrazí	zobrazovať	zobrazit	V;IPFV;IND;SG;3;POS;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN;ACT
zobrazuje	pořady	zobrazovať	pořad	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INAN;NOM;MASC;PL;POS
keď	kdy	keď	kdy	CONJ	ADV
len	jedině	len	jedině	PART	ADV;POS
len	pouze	len	pouze	PART	ADV
len	prostě	len	prostě	PART	ADV;POS
počas	behem	počas	beh	ADP;GEN	N;GEN;MASC;SG;POS
tiež	rovněž	tiež	rovněž	PART	ADV
tiež	také	tiež	také	PART	ADV
tiež	též	tiež	též	PART	ADV
tiež	taky	tiež	také	PART	ADV
usa	usa	usa	usa		PROPN;INAN;MASC;PL;POS
rokov	léta	rok	rok	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL;POS
rokov	roky	rok	rok	N;INAN;GEN;MASC;PL	N;INAN;NOM;MASC;PL;POS
nie	není	nie	být	PART	V;IND;SG;3;NEG;PRS;FIN;ACT
úmrtia	smrt	úmrtie	smrt	N;NOM;NEUT;PL	N;NOM;FEM;SG;POS
úmrtia	death	úmrtie	death	N;NOM;NEUT;PL	N;INAN;NOM;MASC;SG;POS
úmrtia	smrti	úmrtie	smrt	N;NOM;NEUT;PL	N;GEN;FEM;SG;POS
úmrtia	úmrtí	úmrtie	úmrtí	N;NOM;NEUT;PL	N;NOM;NEUT;SG;POS
úmrtia	úmrtí	úmrtie	úmrtí	N;NOM;NEUT;PL	N;NOM;NEUT;SG;POS
úmrtia	úmrtí	úmrtie	úmrtí	N;NOM;NEUT;PL	N;NOM;NEUT;SG;POS
neskôr	později	neskôr	pozdě	ADV	ADV;CMPR;POS
aby	učinit	aby	učinit	CONJ;COND	V;PFV;POS;NFIN
aby	udělat	aby	udělat	CONJ;COND	V;PFV;POS;NFIN
aby	vyrobit	aby	vyrobit	CONJ;COND	V;PFV;POS;NFIN
storočia	století	storočie	století	N;NOM;NEUT;PL	N;NOM;NEUT;SG;POS
storočia	století	storočie	století	N;NOM;NEUT;PL	N;NOM;NEUT;SG;POS
nad	nad	nad	nad	ADP;INS	
nad	výše	nad	výše	ADP;INS	N;NOM;FEM;SG;POS
nad	nad	nad	nad	ADP;INS	
utc	utc	utc	utc		N;MASC;POS
jpg	jpg	jpg	jpg		N;NEUT;POS
časti	díly	časť	díl	N;DAT;FEM;SG	N;INAN;NOM;MASC;PL;POS
časti	části	časť	část	N;DAT;FEM;SG	N;NOM;FEM;PL;POS
stránka	stránky	stránka	stránka	N;NOM;FEM;SG	N;NOM;FEM;PL;POS
stránka	page	stránka	page	N;NOM;FEM;SG	PROPN;MASC;SG;POS
stránka	stránku	stránka	stránka	N;NOM;FEM;SG	N;ACC;FEM;SG;POS
stránka	stránky	stránka	stránka	N;NOM;FEM;SG	N;NOM;FEM;PL;POS
skupiny	skupinu	skupina	skupina	N;NOM;FEM;PL	N;ACC;FEM;SG;POS
skupiny	skupina	skupina	skupina	N;NOM;FEM;PL	N;NOM;FEM;SG;POS
skupiny	skupin	skupina	skupina	N;NOM;FEM;PL	N;GEN;FEM;PL;POS
roka	rok	rok	rok	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
roka	ročník	rok	ročník	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
ktorú	který	ktorý	který	DET;ACC;FEM;SG	DET;NOM;MASC;SG
ktorú	což	ktorý	což	DET;ACC;FEM;SG	PRO;NOM
ktorú	která	ktorý	který	DET;ACC;FEM;SG	DET;NOM;FEM;SG
ktorú	které	ktorý	který	DET;ACC;FEM;SG	DET;NOM;NEUT;PL
časť	sekci	časť	sekce	N;NOM;FEM;SG	N;ACC;FEM;SG;POS
október	října	október	říjen	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
marec	března	marec	březen	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
marec	pochodovat	marec	pochodovat	N;INAN;NOM;MASC;SG	V;IPFV;POS;NFIN
august	srpna	august	srpen	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
august	august	august	august	N;INAN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
august	aug	august	aug	N;INAN;NOM;MASC;SG	PROPN;MASC;SG;POS
skupina	skupinu	skupina	skupina	N;NOM;FEM;SG	N;ACC;FEM;SG;POS
skupina	skupiny	skupina	skupina	N;NOM;FEM;SG	N;NOM;FEM;PL;POS
oficiálna	úředník	oficiálny	úředník	ADJ;NOM;FEM;SG	N;ANIM;NOM;MASC;SG;POS
narodenia	zrození	narodenie	zrození	N;NOM;NEUT;PL	N;NOM;NEUT;SG;POS
narodenia	narození	narodenie	narození	N;NOM;NEUT;PL	N;NOM;NEUT;SG;POS
narodenia	porod	narodenie	porod	N;NOM;NEUT;PL	N;INAN;NOM;MASC;SG;POS
osobnosti	osobností	osobnosť	osobnost	N;NOM;FEM;PL	N;INS;FEM;SG;POS
osobnosti	osobnost	osobnosť	osobnost	N;NOM;FEM;PL	N;NOM;FEM;SG;POS
bratislava	bratislava	bratislava	bratislava	N;NOM;FEM;SG	PROPN;NOM;FEM;SG;POS
november	listopadu	november	listopad	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
december	prosince	december	prosinec	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
december	prosinci	december	prosinec	N;INAN;NOM;MASC;SG	N;INAN;DAT;MASC;SG;POS
december	dec	december	dec	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;POS
iba	jedině	iba	jedině	PART	ADV;POS
iba	pouze	iba	pouze	PART	ADV
iba	prostě	iba	prostě	PART	ADV;POS
roky	roků	rok	rok	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL;POS
roky	let	rok	rok	N;INAN;NOM;MASC;PL	N;GEN;NEUT;PL;POS
oblasti	oblast	oblasť	oblast	N;NOM;FEM;PL	N;NOM;FEM;SG;POS
oblasti	plocha	oblasť	plocha	N;NOM;FEM;PL	N;NOM;FEM;SG;POS
január	lednu	január	leden	N;INAN;NOM;MASC;SG	N;INAN;DAT;MASC;SG;POS
január	ledna	január	leden	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
mal	měla	mať	mít	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;POS;PST;V.PTCP;ACT
mal	male	mať	malo	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	PROPN;NOM;MASC;SG;POS
mal	mal	mať	malión	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	PROPN;NOM;MASC;SG;POS
apríl	apr	aprila	apr	N;INAN;NOM;MASC;SG	PROPN;MASC;SG;POS
apríl	dubna	aprila	duben	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
sveta	world	svet	world	N;INAN;GEN;MASC;SG	ADJ;POS
sveta	svět	svet	svět	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
sveta	světový	svet	světový	N;INAN;GEN;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
sveta	světová	svet	světový	N;INAN;GEN;MASC;SG	ADJ;NOM;FEM;SG;POS
sveta	světové	svet	světový	N;INAN;GEN;MASC;SG	ADJ;NOM;FEM;SG;POS
najmä	hlavně	najmä	hlavně	PART	ADV;POS
najmä	převážně	najmä	převážně	PART	ADV;POS
najmä	zvlášť	najmä	zvlášť	PART	ADV
najmä	hlavně	najmä	hlavně	PART	ADV;POS
najmä	obzvlášť	najmä	obzvlášť	PART	ADV
najmä	zejména	najmä	zejména	PART	ADV
najmä	zvláště	najmä	zvláště	PART	ADV
viac	další	viac	další	NUM;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
viac	více	viac	hodně	NUM;NOM;NEUT;SG	ADV;CMPR;POS
viac	víc	viac	hodně	NUM;NOM;NEUT;SG	ADV;CMPR;POS
viac	more	viac	more	NUM;NOM;NEUT;SG	N;MASC;SG;POS
február	února	február	únor	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
mužov	pánské	muž	pánský	N;ANIM;ACC;MASC;PL	ADJ;NOM;MASC;PL;POS
mužov	men	muž	men	N;ANIM;ACC;MASC;PL	PROPN;NOM;MASC;SG;POS
mužov	mužů	muž	muž	N;ANIM;ACC;MASC;PL	N;ANIM;GEN;MASC;PL;POS
mužov	muži	muž	muž	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
ešte	přesto	ešte	přesto	PART	ADV;POS
prvý	nejdřív	prvý	brzy	ADJ;ANIM;NOM;MASC;SG	ADV;RL;POS
prvý	nejprve	prvý	nejprve	ADJ;ANIM;NOM;MASC;SG	ADV
prvý	nejdříve	prvý	brzy	ADJ;ANIM;NOM;MASC;SG	ADV;RL;POS
máj	májový	mať	májový	INTJ	ADJ;INAN;NOM;MASC;SG;POS
máj	máj	mať	máj	INTJ	N;INAN;NOM;MASC;SG;POS
máj	květen	mať	květen	INTJ	N;INAN;NOM;MASC;SG;POS
máj	května	mať	květen	INTJ	N;INAN;GEN;MASC;SG;POS
slovenskej	slovenská	slovenský	slovenský	ADJ;GEN;FEM;SG	ADJ;NOM;FEM;SG;POS
slovenskej	slovenské	slovenský	slovenský	ADJ;GEN;FEM;SG	ADJ;NOM;NEUT;SG;POS
spolu	celková	spolu	celkový	ADV	ADJ;NOM;FEM;SG;POS
spolu	celkové	spolu	celkový	ADV	ADJ;NOM;NEUT;SG;POS
spolu	celkový	spolu	celkový	ADV	ADJ;INAN;NOM;MASC;SG;POS
preto	proto	preto	proto	ADV	CONJ
preto	tudíž	preto	tudíž	ADV	CONJ
preto	proto	preto	proto	ADV	CONJ
tom	tome	to	ten	DET;NOM;NEUT;SG	V;IMP;SG;2;POS;FIN
tom	tom	to	ten	DET;NOM;NEUT;SG	DET;DAT;SG
majstrovstvá	mistrovství	majstrovstvo	mistrovství	N;NOM;NEUT;PL	N;NOM;NEUT;SG;POS
majstrovstvá	šampionát	majstrovstvo	šampionát	N;NOM;NEUT;PL	N;INAN;NOM;MASC;SG;POS
majstrovstvá	biatlon	majstrovstvo	biatlon	N;NOM;NEUT;PL	N;INAN;NOM;MASC;SG;POS
saint	svatý	saint	svatý	PROPN;ANIM;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
saint	světec	saint	světec	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
saint	svatá	saint	svatý	PROPN;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
saint	saint	saint	saint	PROPN;ANIM;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
okrem	vyjma	okrem	vyjma	ADP;GEN	N;NOM;FEM;SG;POS
bar	baru	bar	bar	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
americký	američan	americký	američan	ADJ;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
americký	american	americký	american	ADJ;ANIM;NOM;MASC;SG	PROPN;MASC;SG;POS
americký	americké	americký	americký	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;PL;POS
júl	července	júl	červenec	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
cez	prostřednictvím	cez	prostřednictví	ADP;ACC	N;INS;NEUT;SG;POS
cez	via	cez	via	ADP;ACC	PROPN;FEM;SG;POS
cez	skrz	cez	skrz	ADP;ACC	
cez	prostřednictvím	cez	prostřednictví	ADP;ACC	N;INS;NEUT;SG;POS
cez	skrze	cez	skrz	ADP;ACC	ADP;ACC
česko	czechia	česko	czechia	PROPN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
asi	pravděpodobně	asi	pravděpodobně	PART	ADV;POS
asi	nejspíš	asi	spíše	PART	ADV;RL;POS
jeden	jednu	jeden	jeden	NUM;ANIM;NOM;MASC;SG	NUM;ACC;FEM;SG
objavil	objeven	objaviť	objevený	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
objavil	objevili	objaviť	objevit	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP;ACT
objavil	objevila	objaviť	objevit	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;POS;PST;V.PTCP;ACT
ktorých	čí	ktorý	čí	DET;ANIM;ACC;MASC;PL	ADV
vojny	válka	vojna	válka	N;NOM;FEM;PL	N;NOM;FEM;SG;POS
vojny	válce	vojna	válka	N;NOM;FEM;PL	N;DAT;FEM;SG;POS
vojny	válku	vojna	válka	N;NOM;FEM;PL	N;ACC;FEM;SG;POS
vojny	válek	vojna	válka	N;NOM;FEM;PL	N;GEN;FEM;PL;POS
rok	roku	rok	rok	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
rok	roce	rok	rok	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
album	alba	album	album	N;INAN;NOM;MASC;SG	N;NOM;NEUT;PL;POS
žien	samice	žena	samice	N;GEN;FEM;PL	N;NOM;FEM;SG;POS
žien	ženská	žena	ženský	N;GEN;FEM;PL	ADJ;NOM;FEM;SG;POS
žien	žena	žena	žena	N;GEN;FEM;PL	N;NOM;FEM;SG;POS
žien	ženské	žena	ženský	N;GEN;FEM;PL	ADJ;NOM;NEUT;SG;POS
žien	ženský	žena	ženský	N;GEN;FEM;PL	ADJ;INAN;NOM;MASC;SG;POS
žien	dámské	žena	dámský	N;GEN;FEM;PL	ADJ;NOM;MASC;SG;POS
žien	ženy	žena	žena	N;GEN;FEM;PL	N;NOM;FEM;PL;POS
januára	lednu	január	leden	N;INAN;GEN;MASC;SG	N;INAN;DAT;MASC;SG;POS
januára	leden	január	leden	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
ktorí	ktery	ktorý	kter	DET;ANIM;NOM;MASC;PL	PROPN;ANIM;GEN;MASC;SG;POS
ktorí	kdo	ktorý	kdo	DET;ANIM;NOM;MASC;PL	PRO;ANIM;NOM;MASC
ktorí	který	ktorý	který	DET;ANIM;NOM;MASC;PL	DET;NOM;MASC;SG
ktorí	koho	ktorý	kdo	DET;ANIM;NOM;MASC;PL	PRO;ANIM;ACC;MASC
ktorí	who	ktorý	who	DET;ANIM;NOM;MASC;PL	PROPN;FEM;POS
všetky	vse	všetok	vse	DET;INAN;NOM;MASC;PL	N;NOM;FEM;SG;POS
všetky	všichni	všetok	všechen	DET;INAN;NOM;MASC;PL	DET;ANIM;NOM;MASC;PL
všetky	všechno	všetok	všechen	DET;INAN;NOM;MASC;PL	DET;NOM;NEUT;SG
všetky	vše	všetok	všechen	DET;INAN;NOM;MASC;PL	DET;NOM;NEUT;SG
francúzsky	francouzské	francúzsky	francouzský	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
francúzsky	francouzsky	francúzsky	francouzsky	N;ANIM;NOM;MASC;SG	ADV;POS
francúzsky	francouzská	francúzsky	francouzský	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
mestá	měst	mesto	město	N;NOM;NEUT;PL	N;GEN;NEUT;PL;POS
svoje	její	svoj	jeho	DET;ACC;NEUT;SG;REFL	DET;NOM;FEM;SG;3
žije	životy	žiť	život	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INAN;NOM;MASC;PL;POS
žije	životů	žiť	život	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INAN;GEN;MASC;PL;POS
český	česky	český	česky	ADJ;ANIM;NOM;MASC;SG	ADV;POS
český	český	český	český	ADJ;ANIM;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
český	český	český	český	ADJ;ANIM;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
ján	jan	ján	jan	PROPN;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
ján	jana	ján	jana	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;FEM;SG;POS
ján	honza	ján	honza	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
ján	ján	ján	ján	PROPN;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
ján	jan	ján	jan	PROPN;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
ján	john	ján	john	PROPN;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
ján	honza	ján	honza	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
niekoľko	několika	niekoľko	několik	DET;NOM;NEUT;SG	DET;INS
okres	okres	okres	okres	INTJ	N;INAN;NOM;MASC;SG;POS
okres	okrsek	okres	okrsek	INTJ	N;INAN;NOM;MASC;SG;POS
jún	jun	jún	jun	INTJ	PROPN;ANIM;NOM;MASC;SG;POS
jún	červen	jún	červen	INTJ	N;INAN;NOM;MASC;SG;POS
jún	června	jún	červen	INTJ	N;INAN;GEN;MASC;SG;POS
dnes	dnešek	dnes	dnešek	ADV	N;INAN;NOM;MASC;SG;POS
slovensko	slovensko	slovensko	slovenský	N;NOM;NEUT;SG	PROPN;NOM;NEUT;SG;POS
ani	ani	ani	ani	PART	CONJ
ani	ani	ani	ani	PART	CONJ
ktorého	čí	ktorý	čí	DET;ANIM;GEN;MASC;SG	ADV
slovenska	slovenska	slovensky	slovensko	N;NOM;NEUT;SG	PROPN;NOM;NEUT;SG;POS
nové	nově	nový	nově	ADJ;NOM;NEUT;SG	ADV;POS
nové	nové	nový	nový	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL;POS
nové	novinka	nový	novinka	ADJ;NOM;NEUT;SG	N;NOM;FEM;SG;POS
všetkých	vse	všetok	vse	DET;ANIM;ACC;MASC;PL	N;NOM;FEM;SG;POS
všetkých	všichni	všetok	všechen	DET;ANIM;ACC;MASC;PL	DET;ANIM;NOM;MASC;PL
všetkých	všechno	všetok	všechen	DET;ANIM;ACC;MASC;PL	DET;NOM;NEUT;SG
všetkých	všechny	všetok	všechen	DET;ANIM;ACC;MASC;PL	DET;NOM;MASC;PL
všetkých	vše	všetok	všechen	DET;ANIM;ACC;MASC;PL	DET;NOM;NEUT;SG
štátu	stát	štát	stát	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
štátu	státní	štát	státní	N;INAN;GEN;MASC;SG	ADJ;NOM;MASC;SG;POS
ďalšie	dále	ďalší	dále	ADJ;NOM;NEUT;SG	ADV
ďalšie	ostatní	ďalší	ostatní	ADJ;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;PL;POS
ďalšie	dále	ďalší	dále	ADJ;NOM;NEUT;SG	ADV
ďalšie	více	ďalší	hodně	ADJ;NOM;NEUT;SG	ADV;CMPR;POS
ďalšie	víc	ďalší	hodně	ADJ;NOM;NEUT;SG	ADV;CMPR;POS
ďalšie	more	ďalší	more	ADJ;NOM;NEUT;SG	N;MASC;SG;POS
tým	mužstvo	to	mužstvo	DET;INS;NEUT;SG	N;NOM;NEUT;SG;POS
tým	tým	to	tým	DET;INS;NEUT;SG	N;INAN;NOM;MASC;SG;POS
tým	team	to	team	DET;INS;NEUT;SG	N;INAN;NOM;MASC;SG;POS
dve	dvojka	dva	dvojka	NUM;NOM;FEM;PL	N;NOM;FEM;SG;POS
dva	dvojka	dva	dvojka	NUM;INAN;NOM;MASC;PL	N;NOM;FEM;SG;POS
mala	měla	mať	mít	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;POS;PST;V.PTCP;ACT
mala	malo	mať	mít	V;IPFV;FEM;SG;POS;PST;V.PTCP	N;NOM;MASC;SG;POS
mala	mala	mať	malo	V;IPFV;FEM;SG;POS;PST;V.PTCP	N;NOM;FEM;SG;POS
style	styl	style	styl	INTJ	N;INAN;NOM;MASC;SG;POS
style	stylu	style	styl	INTJ	N;INAN;GEN;MASC;SG;POS
