seattle	سياتل	settlli	سِيَاتِل	N;NOM;MASC;SG	
ovaca	الاغنام	ovac	إِغنَام	N;GEN;MASC;SG	N;NOM;DEF;PL
ovaca	خروف	ovac	خَرف	N;GEN;MASC;SG	
ovaca	الغنم	ovac	غَنَم	N;GEN;MASC;SG	N;NOM;DEF;SG
beck	بيك	beck	بَيكَ	N;NOM;MASC;SG	
helen	هيلين	helen	هيلين	N;NOM;MASC;SG	
manga	المانجا	manga	مَانجَا	N;NOM;MASC;SG	
sigurnošću	يقين	sigurnost	يَقِين	N;INS;FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
sigurnošću	التيقن	sigurnost	تَيَقُّن	N;INS;FEM;SG	N;NOM;DEF;SG
sigurnošću	اليقين	sigurnost	يَقِين	N;INS;FEM;SG	
kantona	الكانتونات	kanton	الكانتونات	N;GEN;MASC;SG	N;NOM;DEF;PL
kantona	كانتون	kanton	كَانتُون	N;GEN;MASC;SG	
teritoriji	الاقليم	teritorij	إِقلِيم	N;DAT;MASC;SG	
teritoriji	اقليم	teritorij	اقليم	N;DAT;MASC;SG	
sutra	الغد	sutra	غَد	ADV	N;NOM;DEF;SG
sutra	بكره	sutra	بكره	ADV	PRO;ACC;MASC;SG;3
sutra	بكرا	sutra	بكرا	ADV	N;ACC;INDF;SG
sutra	بكرة	sutra	بَكرَة	ADV	N;NOM;INDF;SG
sutra	غدا	sutra	غَد	ADV	N;ACC;INDF;SG
kariba	الكاريبي	kariba	الكاريبي	N;GEN;MASC;SG	
maroko	المغرب	maroko	مَغرِب	PROPN;NOM;MASC;SG	N;NOM;DEF;SG
unutarnja	داخلي	unutarnji	دَاخِلِيّ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
unutarnja	داخلية	unutarnji	دَاخِلِيّ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
unutarnja	داخليا	unutarnji	دَاخِلِيّ	ADJ;NOM;DEF;FEM;SG	ADJ;ACC;INDF;MASC;SG
građanima	مواطنو	građanin	مُوَاطِن	N;DAT;MASC;PL	N;NOM;INDF;PL
građanima	المواطنين	građanin	مُوَاطِن	N;DAT;MASC;PL	N;NOM;DEF;PL
građanima	مواطنون	građanin	مُوَاطِن	N;DAT;MASC;PL	N;NOM;INDF;PL
građanima	المواطنون	građanin	مُوَاطِن	N;DAT;MASC;PL	N;NOM;DEF;PL
građanima	مواطنين	građanin	مُوَاطِن	N;DAT;MASC;PL	N;NOM;INDF;PL
trinidad	ترينيداد	trinidad	ترينيداد	N;NOM;MASC;SG	
alpe	الالب	alpe	أَلب	N;NOM;FEM;PL	
springer	سبرينغر	springer	سبرينغر	N;NOM;MASC;SG	
springer	سبرنجر	springer	سبرنجر	N;NOM;MASC;SG	
jupitera	المشتري	jupiter	مُشتَرَى	N;ANIM;ACC;MASC;SG	
jupitera	جوبيتر	jupiter	جوبيتر	N;ANIM;ACC;MASC;SG	
gif	gif	gif	مُثَّة	PROPN;NOM;MASC;SG	
sebastian	سباستيان	sebastian	سباستيان	N;NOM;MASC;SG	
sebastian	سيباستيان	sebastian	سِيبَاستِيَان	N;NOM;MASC;SG	
novinari	اضغط	novinar	اِضغَطّ	N;NOM;MASC;PL	
novinari	الصحافة	novinar	صَحَافَة	N;NOM;MASC;PL	N;NOM;DEF;SG
novinari	صحافة	novinar	صَحَافَة	N;NOM;MASC;PL	N;NOM;INDF;SG
plaže	شاطئ	plaža	شَاطِئ	N;NOM;FEM;PL	N;NOM;INDF;SG
plaže	شاطيء	plaža	شَاطِيّ	N;NOM;FEM;PL	N;NOM;INDF;SG
plaže	الشاطئ	plaža	شَاطِئ	N;NOM;FEM;PL	N;NOM;DEF;SG
plaže	بيتش	plaža	بيتش	N;NOM;FEM;PL	
plaže	الشاطيء	plaža	شَاطِيء	N;NOM;FEM;PL	N;NOM;DEF;SG
sony	سوني	sony	سُونِي	PROPN;NOM;MASC;SG	
zec	هير	zec	هير	N;NOM;MASC;SG	
zec	رابيت	zec	رابيت	N;NOM;MASC;SG	
profesionalna	مهنية	profesionalan	مِهنِيّ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
profesionalna	مهني	profesionalan	مِهنِيّ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
profesionalna	محترف	profesionalan	مُحتَرَف	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
profesionalna	احترافية	profesionalan	احترافية	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
profesionalna	المهنية	profesionalan	مِهنِيّ	ADJ;NOM;DEF;FEM;SG	N;NOM;DEF;SG
govornici	متكلمون	govornik	مُتَكَلِّم	N;NOM;MASC;PL	ADJ;NOM;INDF;MASC;PL
govornici	المتكلمين	govornik	مُتَكَلِّم	N;NOM;MASC;PL	ADJ;ACC;DEF;MASC;PL
govornici	المتكلمون	govornik	مُتَكَلِّم	N;NOM;MASC;PL	ADJ;NOM;DEF;MASC;PL
bare	البرك	bara	بَرَك	N;NOM;FEM;SG	
plodovi	فواكه	plod	فَاكِه	N;NOM;MASC;PL	
plodovi	الثمار	plod	ثَمَر	N;NOM;MASC;PL	N;NOM;DEF;SG
loša	سيئة	loš	سَيِّئ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
loša	باد	loš	بَاد	ADJ;NOM;DEF;FEM;SG	
loša	سيء	loš	سِيَّة	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
loša	سيئ	loš	سَيِّئ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
loša	سئ	loš	سَأّ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
promjeru	القطر	promjer	قَطَر	N;DAT;MASC;SG	N;NOM;DEF;SG
boca	بوكا	boca	بوكا	N;NOM;FEM;SG	
minas	ميناس	minas	ميناس	PROPN;NOM;FEM;SG	
bavarske	البافاري	bavarski	البافاري	ADJ;NOM;DEF;FEM;PL	
nominaciju	ترشيح	nominacija	تَرشِيح	N;ACC;FEM;SG	N;NOM;INDF;SG
nominaciju	الترشيح	nominacija	تَرشِيح	N;ACC;FEM;SG	N;NOM;DEF;SG
specifična	محدد	specifičan	مُحَدَّد	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
specifična	محددة	specifičan	مُحَدَّد	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
divlja	برية	divlji	بَرِّيّ	N;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
prikupljanje	جمع	prikupljanje	جَمَع	N;NOM;NEUT;SG	V;PFV;MASC;SG;3;ACT
ličnost	شخصيه	ličnost	شخصيه	N;NOM;FEM;SG	
ličnost	الشخصية	ličnost	شَخصِيّ	N;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
drukčije	مختلف	drukčije	مُختَلِف	ADV	ADJ;NOM;INDF;MASC;SG
drukčije	مختلفة	drukčije	مُختَلِف	ADV	ADJ;NOM;INDF;FEM;SG
drukčije	مختلفا	drukčije	مُختَلِف	ADV	ADJ;ACC;INDF;MASC;SG
drukčije	مختلفين	drukčije	مُختَلِف	ADV	ADJ;ACC;INDF;MASC;PL
tribina	المدرجات	tribina	مُدَرَّج	N;NOM;FEM;SG	N;NOM;DEF;PL
panorama	بانوراما	panora	بانوراما	N;NOM;FEM;PL	
turističko	السياحية	turistički	سِيَاحِيّ	ADV	ADJ;NOM;DEF;FEM;SG
turističko	سائح	turistički	سَائِح	ADV	N;NOM;INDF;SG
gps	g	gps	!	N;NOM;MASC;SG	
mjuzikl	موسيقية	mjuzikl	مُوسِيقِيّ	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
daj	اعطاء	dati	إِعطَاء	INTJ	N;NOM;INDF;SG
daj	اعطي	dati	أَعطَى	INTJ	V;PFV;MASC;SG;3;ACT
tjedno	اسبوعيا	tjedno	أُسبُوعِيّ	ADV	ADJ;ACC;INDF;MASC;SG
tjedno	الاسبوعية	tjedno	أُسبُوعِيّ	ADV	ADJ;NOM;DEF;FEM;SG
tjedno	اسبوعي	tjedno	أُسبُوعِيّ	ADV	ADJ;NOM;INDF;MASC;SG
tjedno	الاسبوعي	tjedno	أُسبُوعِيّ	ADV	ADJ;NOM;DEF;MASC;SG
tjedno	اسبوعية	tjedno	أُسبُوعِيّ	ADV	ADJ;NOM;INDF;FEM;SG
torpedo	الطوربيد	torpedo	طُوربِيد	N;NOM;MASC;SG	N;NOM;DEF;PL
dante	دانتي	danta	دَانتِي	N;NOM;MASC;SG	
poljaci	البولنديين	poljak	بُولَندِيّ	N;NOM;MASC;PL	ADJ;ACC;DEF;MASC;PL
poljaci	الاقطاب	poljak	قُطب	N;NOM;MASC;PL	N;NOM;DEF;SG
englezi	الانجليزية	engleg	إِنجلِيزِيَّة	N;NOM;MASC;PL	N;NOM;DEF;SG
englezi	انجليزي	engleg	أَنجِلِيزِيّ	N;NOM;MASC;PL	
englezi	انجليزية	engleg	إِنجلِيزِيّ	N;NOM;MASC;PL	ADJ;NOM;INDF;FEM;SG
englezi	الانكليزية	engleg	الانكليزية	N;NOM;MASC;PL	
englezi	بالانكليزية	engleg	بَالانكلِيزِيّ	N;NOM;MASC;PL	
tragove	مسارات	trag	مَسَار	N;ACC;MASC;PL	N;NOM;INDF;PL
tragove	المسارات	trag	مَسَار	N;ACC;MASC;PL	N;NOM;DEF;PL
tragove	دلائل	trag	دَلِيل	N;ACC;MASC;PL	N;NOM;INDF;PL
salona	الصالون	salon	صَالُون	N;ACC;MASC;SG	N;NOM;DEF;SG
salona	صالون	salon	صَالُون	N;ACC;MASC;SG	N;NOM;INDF;SG
hat	القبعة	hat	قِبعَة	ADP	N;NOM;DEF;SG
hat	قبعة	hat	قِبعَة	ADP	N;NOM;INDF;SG
stvori	انشاء	stvor	إِنشَاء	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
stvori	انشئ	stvor	أَنشَأ	V;IND;SG;3;PRS;FIN	
kopno	ارض	kopno	ارض	N;NOM;NEUT;SG	
kopno	اراض	kopno	أَرض	N;NOM;NEUT;SG	N;NOM;INDF;PL
kopno	الاراضي	kopno	أَرض	N;NOM;NEUT;SG	N;NOM;DEF;PL
publikacija	منشورات	publikacija	مَنشُور	N;NOM;FEM;SG	N;NOM;INDF;PL
publikacija	المطبوعات	publikacija	مَطبُوع	N;NOM;FEM;SG	N;NOM;DEF;PL
publikacija	المنشورات	publikacija	مَنشُور	N;NOM;FEM;SG	N;NOM;DEF;PL
provedena	منفذة	provesti	منفذة	ADJ;NOM;DEF;FEM;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
voldemort	فولدمورت	voldemort	فُولدَمُور	N;INS;MASC;SG	
planirao	المخطط	planirati	مُخَطَّط	V;MASC;SG;PST;V.PTCP;ACT	N;NOM;DEF;SG
otrov	سما	otrov	سَمَّا	N;NOM;MASC;SG	
otrov	سم	otrov	سَمّ	N;NOM;MASC;SG	
berry	بيري	berry	بِيرِي	ADP	
poplave	فيضان	poplava	فَيَضَان	N;NOM;FEM;PL	N;NOM;INDF;SG
poplave	الفيضان	poplava	الفيضان	N;NOM;FEM;PL	N;NOM;DEF;SG
poplave	الفيضان	poplava	الفيضان	N;NOM;FEM;PL	N;NOM;DEF;SG
poplave	فيضان	poplava	فَيَضَان	N;NOM;FEM;PL	N;NOM;INDF;SG
poplave	فلود	poplava	فُلُود	N;NOM;FEM;PL	
poljoprivredu	الزراعة	poljoprivreda	زِرَاعَة	N;ACC;FEM;SG	N;NOM;DEF;SG
poljoprivredu	زراعة	poljoprivreda	زِرَاعَة	N;ACC;FEM;SG	N;NOM;INDF;SG
susjedi	الجيران	susjed	جِيرَان	N;NOM;MASC;PL	N;NOM;DEF;SG
susjedi	جيران	susjed	جِيرَان	N;NOM;MASC;PL	
susjedi	الجيران	susjed	جِيرَان	N;NOM;MASC;PL	N;NOM;DEF;SG
alkohol	الكحوليات	alkohol	الكحوليات	N;NOM;MASC;SG	N;NOM;DEF;PL
dora	دورا	dora	دَور	N;NOM;FEM;SG	N;ACC;INDF;SG
obiteljima	العائلات	obitelj	عَائِلَة	N;INS;MASC;PL	N;NOM;DEF;PL
obiteljima	الاسر	obitelj	أُسرَة	N;INS;MASC;PL	N;NOM;DEF;PL
obiteljima	العوائل	obitelj	عَائِلَة	N;INS;MASC;PL	N;NOM;DEF;PL
obiteljima	اسر	obitelj	أُسرَة	N;INS;MASC;PL	
obiteljima	عائلات	obitelj	عَائِلَة	N;INS;MASC;PL	N;NOM;INDF;PL
peto	خامسا	peti	خَامِس	ADJ;NOM;NEUT;SG	
mustafa	مصطفى	mustaf	مصطفى	N;NOM;MASC;SG	
kamp	كامب	kamp	كَامب	N;NOM;MASC;SG	
dojke	الصدر	dojka	الصدر	N;NOM;FEM;PL	
dojke	الثدي	dojka	ثَدِيّ	N;NOM;FEM;PL	N;NOM;DEF;SG
komentara	تعليقات	komentar	تَعلِيق	N;GEN;MASC;PL	N;NOM;INDF;PL
komentara	التعليقات	komentar	تَعلِيق	N;GEN;MASC;PL	N;NOM;DEF;PL
uvale	الخلجان	uvala	خَلجَان	N;NOM;FEM;PL	
svjedok	شاهد	svjedok	شَاهَد	N;NOM;MASC;SG	
svjedok	شاهدة	svjedok	شَاهِدَة	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
aranžman	الترتيبات	aranžman	تَرتِيب	N;NOM;MASC;SG	N;NOM;DEF;PL
aranžman	ترتيبات	aranžman	تَرتِيب	N;NOM;MASC;SG	N;NOM;INDF;PL
batman	باتمان	batman	باتمان	N;NOM;MASC;SG	
usvojen	اعتمدت	usvojiti	اِعتَمَد	ADJ;NOM;MASC;SG;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
koloniju	المستعمرة	kolonija	مُستَعمِر	N;ACC;FEM;SG	N;NOM;DEF;SG
koloniju	مستعمرة	kolonija	مُستَعمِر	N;ACC;FEM;SG	N;NOM;INDF;SG
pozitivan	الايجابي	pozitivan	إِيجَابِيّ	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
pozitivan	الايجابية	pozitivan	إِيجَابِيّ	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
pozitivan	موجب	pozitivan	مُوجِب	ADJ;NOM;INDF;MASC;SG	N;NOM;INDF;SG
drevne	القدماء	drevan	قَدِيم	ADJ;NOM;DEF;FEM;PL	N;NOM;DEF;PL
odluci	المقرر	odluka	مُقَرَّر	N;DAT;FEM;SG	ADJ;NOM;DEF;MASC;SG
odluci	قرار	odluka	قَرَار	N;DAT;FEM;SG	N;NOM;INDF;SG
odluci	القرار	odluka	قَرَار	N;DAT;FEM;SG	N;NOM;DEF;SG
odluci	مقرر	odluka	مُقَرَّر	N;DAT;FEM;SG	
apache	اباتشي	apache	اِبتَشَى	N;NOM;MASC;SG	
podne	ظهرا	podne	ظُهر	N;NOM;FEM;SG	N;ACC;INDF;SG
tina	تينا	tina	تينا	N;NOM;FEM;SG	
sjene	ظلال	sjena	ظَلَال	N;NOM;FEM;PL	N;NOM;INDF;SG
sjene	الظل	sjena	ظِلّ	N;NOM;FEM;PL	N;NOM;DEF;SG
sjene	الظل	sjena	ظِلّ	N;NOM;FEM;PL	N;NOM;DEF;SG
sjene	ظل	sjena	ظَلّ	N;NOM;FEM;PL	V;PFV;MASC;SG;3;ACT
staljin	ستالين	staljin	ستالين	N;NOM;MASC;SG	N;ACC;INDF;DU
pripovijetke	السرد	pripovijetak	سَرد	N;NOM;FEM;PL	N;NOM;DEF;SG
lopez	لوبيز	lopez	لوبيز	N;NOM;FEM;SG	
poteškoća	صعوبة	poteškoća	صُعُوبَة	N;NOM;FEM;PL	N;NOM;INDF;SG
poteškoća	الصعوبة	poteškoća	صُعُوبَة	N;NOM;FEM;PL	N;NOM;DEF;SG
disanje	يتنفس	disanje	تَنَفَّس	N;NOM;NEUT;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
software	برمجيات	softwar	بَرمَجِيّ	N;NOM;MASC;SG	N;NOM;INDF;PL
software	البرمجيات	softwar	بَرمَجِيّ	N;NOM;MASC;SG	
software	برامج	softwar	بَرنَامَج	N;NOM;MASC;SG	N;NOM;INDF;PL
software	البرامج	softwar	بَرنَامَج	N;NOM;MASC;SG	N;NOM;DEF;PL
jede	الاكل	jese	أَكل	V;IND;SG;3;PRS;FIN	N;NOM;DEF;SG
jede	اكل	jese	أَكل	V;IND;SG;3;PRS;FIN	
gusto	سميك	gusto	سميك	ADV	ADJ;NOM;INDF;MASC;SG
gusto	سميكة	gusto	سمِيكَة	ADV	ADJ;NOM;INDF;FEM;SG
kan	خان	kan	خان	N;NOM;MASC;SG	
kan	kan	kan	ثَصَث	N;NOM;MASC;SG	
sumnja	اشك	sumnjati	شَكّ	N;NOM;FEM;SG	
sumnja	شكوك	sumnjati	شَكّ	N;NOM;FEM;SG	N;NOM;INDF;PL
sumnja	الشكوك	sumnjati	شَكّ	N;NOM;FEM;SG	N;NOM;DEF;PL
sumnja	يشتبه	sumnjati	اِشتَبَه	N;NOM;FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;PASS
uživa	الاستمتاع	uživati	اِستِمتَاع	V;IND;SG;3;PRS;FIN	N;NOM;DEF;SG
igranje	يلعب	igranje	لَعِب	N;NOM;NEUT;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
jaki	قوى	jak	قُوَّة	ADJ;NOM;DEF;MASC;PL	N;NOM;INDF;PL
jaki	قويا	jak	قَوِيّ	ADJ;NOM;DEF;MASC;PL	ADJ;ACC;INDF;MASC;SG
jaki	قوية	jak	قَوِيّ	ADJ;NOM;DEF;MASC;PL	ADJ;NOM;INDF;FEM;SG
jaki	قوي	jak	قَوِيّ	ADJ;NOM;DEF;MASC;PL	ADJ;NOM;INDF;MASC;SG
horn	هورن	horn	هُورن	ADP	
horn	بوق	horn	بُوق	ADP	
horn	قرن	horn	قَرن	ADP	N;NOM;INDF;SG
horn	القرن	horn	قَرن	ADP	N;NOM;DEF;SG
pobunjenika	المتمردين	pobunjenik	مُتَمَرِّد	N;ANIM;ACC;MASC;SG	N;NOM;DEF;PL
pobunjenika	متمردة	pobunjenik	مُتَمَرِّد	N;ANIM;ACC;MASC;SG	ADJ;NOM;INDF;FEM;SG
pobunjenika	المتمرد	pobunjenik	مُتَمَرِّد	N;ANIM;ACC;MASC;SG	N;NOM;DEF;SG
pobunjenika	متمرد	pobunjenik	مُتَمَرِّد	N;ANIM;ACC;MASC;SG	ADJ;NOM;INDF;MASC;SG
koordinate	الاحداثيات	koordinat	حَدَثِيَّة	N;NOM;FEM;PL	ADJ;NOM;DEF;FEM;PL
koordinate	احداثيات	koordinat	حَدَثِيَّة	N;NOM;FEM;PL	ADJ;NOM;INDF;FEM;PL
walesa	ويلز	wales	ويلز	N;GEN;MASC;SG	
sao	ساو	sao	ساو	PROPN;NOM;MASC;SG	
stockholm	استكهولم	stockholm	استكهولم	N;NOM;MASC;SG	
stockholm	ستوكهولم	stockholm	ستوكهولم	N;NOM;MASC;SG	
magnetsko	المغناطيسية	magnetski	مَغطَاطِيسِيَّة	ADV	N;NOM;DEF;SG
zbunjen	محتار	zbunjen	محتار	ADJ;NOM;INDF;MASC;SG;V.PTCP	
zbunjen	الخلط	zbunjen	خَلط	ADJ;NOM;INDF;MASC;SG;V.PTCP	N;NOM;DEF;SG
standardima	معايير	standard	مِعيَار	N;INS;MASC;PL	N;NOM;INDF;PL
standardima	المقاييس	standard	مِقيَاس	N;INS;MASC;PL	N;NOM;DEF;PL
standardima	المعايير	standard	مِعيَار	N;INS;MASC;PL	N;NOM;DEF;PL
kontroverze	خلاف	kontroverza	خِلَاف	N;NOM;FEM;PL	N;NOM;INDF;SG
kontroverze	جدل	kontroverza	جَدَل	N;NOM;FEM;PL	N;NOM;INDF;SG
kontroverze	الجدل	kontroverza	جَدَل	N;NOM;FEM;PL	N;NOM;DEF;SG
kontroverze	الخلاف	kontroverza	خِلَاف	N;NOM;FEM;PL	N;NOM;DEF;SG
abdul	عبد	abdul	عبد	PROPN;NOM;MASC;SG	
margaret	مارغريت	margaret	مارغريت	N;NOM;FEM;SG	
margaret	مارجريت	margaret	مارجريت	N;NOM;FEM;SG	
price	الثمن	price	ثَمَن	N;NOM;FEM;PL	N;NOM;DEF;SG
price	سعره	price	سعره	N;NOM;FEM;PL	PRO;NOM;FEM;SG;3
price	سعر	price	سِعر	N;NOM;FEM;PL	N;NOM;INDF;SG
price	السعر	price	سِعر	N;NOM;FEM;PL	N;NOM;DEF;SG
stana	ستان	stan	ستان	N;GEN;MASC;SG	
židove	يهود	žid	يَهُودِيّ	N;ACC;MASC;PL	N;NOM;INDF;PL
židove	اليهود	žid	يَهُودِيّ	N;ACC;MASC;PL	ADJ;NOM;DEF;MASC;PL
židove	يهودا	žid	يَهُودِيّ	N;ACC;MASC;PL	
židove	يهود	žid	يَهُودِيّ	N;ACC;MASC;PL	N;NOM;INDF;PL
židove	اليهودي	žid	يَهُودِيّ	N;ACC;MASC;PL	ADJ;NOM;DEF;MASC;SG
židove	يهودي	žid	يَهُودِيّ	N;ACC;MASC;PL	ADJ;NOM;INDF;MASC;SG
atlantic	الاطلسي	atlantic	أَطلَسِيّ	N;NOM;MASC;SG	
atlantic	اتلانتيك	atlantic	إِتلَانِيك	N;NOM;MASC;SG	
očuvanju	الحفظ	očuvanje	حِفظ	N;DAT;NEUT;SG	N;NOM;DEF;SG
očuvanju	الحفاظ	očuvanje	حِفَاظ	N;DAT;NEUT;SG	N;NOM;DEF;SG
očuvanju	المحافظة	očuvanje	مُحَافَظَة	N;DAT;NEUT;SG	N;NOM;DEF;SG
svinje	الخنازير	svinja	خِنَازِير	N;NOM;FEM;PL	
plamen	لهب	plamen	لَهَب	N;NOM;MASC;SG	
plamen	لهب	plamen	لَهَب	N;NOM;MASC;SG	
beat	تغلب	beat	تَغَلَّب	ADP	V;PFV;MASC;SG;3;ACT
beat	ضرب	beat	ضَرب	ADP	N;NOM;INDF;SG
čuvar	وصي	čuvar	وَصي	N;NOM;MASC;SG	
ratko	راتكو	ratko	راتكو	PROPN;NOM;MASC;SG	
melodije	الحان	melodija	حَان	N;NOM;FEM;PL	
kiss	قبله	kiss	قبله	ADP	PRO;NOM;MASC;SG;3
kiss	قبلة	kiss	قَبلَة	ADP	N;NOM;INDF;SG
optužio	المتهمين	optužiti	مُتَّهَم	V;MASC;SG;PST;V.PTCP;ACT	ADJ;ACC;DEF;MASC;PL
optužio	متهم	optužiti	مُتَّهَم	V;MASC;SG;PST;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG
optužio	المتهم	optužiti	مُتَّهَم	V;MASC;SG;PST;V.PTCP;ACT	ADJ;NOM;DEF;MASC;SG
odgovorna	مسؤول	odgovoran	مَسؤُول	ADJ;NOM;DEF;FEM;SG	N;NOM;INDF;SG
odgovorna	المسؤول	odgovoran	مَسؤُول	ADJ;NOM;DEF;FEM;SG	N;NOM;DEF;SG
okusa	نكهات	okus	نَكهَة	N;GEN;MASC;SG	N;NOM;INDF;PL
okusa	تذوق	okus	عَاق	N;GEN;MASC;SG	
okusa	ذوق	okus	ذَوق	N;GEN;MASC;SG	N;NOM;INDF;SG
okusa	الذوق	okus	ذَوق	N;GEN;MASC;SG	N;NOM;DEF;SG
okusa	نكهة	okus	نَكهَة	N;GEN;MASC;SG	N;NOM;INDF;SG
okusa	النكهة	okus	نَكهَة	N;GEN;MASC;SG	N;NOM;DEF;SG
osjećaje	المشاعر	osjećati	مَشعَر	N;ACC;MASC;PL	N;NOM;DEF;PL
osjećaje	مشاعر	osjećati	مَشعَر	N;ACC;MASC;PL	N;NOM;INDF;PL
hipoteza	الفرضيات	hipoteza	فَرضِيَّة	N;NOM;FEM;SG	N;NOM;DEF;PL
kylie	كايلي	kyli	كايلي	N;NOM;MASC;SG	
pravno	قانونيا	pravan	قَانُونِيَا	ADV	ADJ;ACC;INDF;MASC;SG
pravno	قانوني	pravan	قانوني	ADV	ADJ;NOM;INDF;MASC;SG
pravno	قانونية	pravan	قَانُونِيّ	ADV	ADJ;NOM;INDF;FEM;SG
pravno	القانوني	pravan	قَانُونِيّ	ADV	ADJ;NOM;DEF;MASC;SG
diamond	ماسة	diamond	مَاسَّة	N;NOM;MASC;SG	
diamond	دايموند	diamond	دايموند	N;NOM;MASC;SG	
duncan	دنكان	duncan	دَنكَان	PROPN;NOM;MASC;SG	
duncan	دانكن	duncan	دَانكُن	PROPN;NOM;MASC;SG	
duncan	دونكان	duncan	دُونكَان	PROPN;NOM;MASC;SG	
clara	كلارا	clar	كلارا	N;NOM;FEM;SG	
pera	ريشة	perati	ريشة	N;NOM;MASC;SG	
pera	ريش	perati	ريش	N;NOM;MASC;SG	
pera	ريش	perati	ريش	N;NOM;MASC;SG	
norme	معيار	norma	مُعِير	N;NOM;FEM;PL	N;NOM;INDF;SG
nosa	الانف	nos	أَنف	N;GEN;MASC;SG	N;NOM;DEF;SG
