צפייה	гледам	צפייה	гледам	N;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
בצמוד	съседни	בצמוד	съседен		ADJ;INDF;PL
בצמוד	съседни	בצמוד	съседен		ADJ;INDF;PL
תומפסון	томсън	תומפסון	томсън	PROPN	PROPN;INDF;MASC;SG
תומפסון	томпсън	תומפסון	томпсън	PROPN	PROPN;INDF;MASC;SG
הש	хеш	הש	хеш		N;INDF;MASC;SG
שלד	скелет	שלד	скелет	PROPN	N;INDF;MASC;SG
שלד	скелетни	שלד	скелетен	PROPN	ADJ;INDF;PL
שלד	скелета	שלד	скелет	PROPN	N;DEF;MASC;SG
שלד	скелет	שלד	скелет	PROPN	N;INDF;MASC;SG
כותבת	пише	כתב	пиша	V;FEM;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
כותבת	пиша	כתב	пиша	V;FEM;SG;V.PTCP;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
כותבת	писане	כתב	писане	V;FEM;SG;V.PTCP;ACT	N;INDF;NEUT;SG
פרננדו	фернандо	פרננדו	фернандо	PROPN	PROPN;INDF;MASC;SG
גויס	вербува	גויס	вербувам	PROPN	V;IPFV;IND;SG;3;PRS;FIN;ACT
קודמת	предишни	קודם	предишен	ADJ;FEM;SG	ADJ;INDF;PL
קודמת	предишно	קודם	предишно	ADJ;FEM;SG	ADV
נורמן	норман	נורמן	норман	PROPN	N;INDF;MASC;SG
מוקשים	мините	מקשה	мина	V;MASC;PL;V.PTCP;PASS	N;DEF;FEM;PL
מוקשים	мини	מקשה	мина	V;MASC;PL;V.PTCP;PASS	N;INDF;FEM;PL
חסד	мърси	חסד	мърся		N;INDF;FEM;SG
חסד	милосърдие	חסד	милосърдие		N;INDF;NEUT;SG
חסד	милост	חסד	милост		N;INDF;FEM;SG
חסד	любезност	חסד	любезност		N;INDF;FEM;SG
חסד	доброта	חסד	доброта		N;INDF;FEM;SG
חסד	добрина	חסד	добрина		N;INDF;FEM;SG
חסד	грейс	חסד	грейс		PROPN;INDF;FEM;SG
הולמס	холмс	הולמס	холмс	PROPN	N;INDF;MASC;SG
גולדשטיין	голдщайн	גולדשטיין	голдщайн	PROPN	PROPN;INDF;MASC;SG
קיצוניים	екстремисти	קיצוני	екстремист	ADJ;MASC;PL	N;INDF;MASC;PL
החשבון	сметка	החשבון	сметка	PROPN	N;INDF;FEM;SG
החשבון	акаунт	החשבון	акаунт	PROPN	N;INDF;MASC;SG
הדוק	стегнато	הדוק	стегна-(се)	ADJ;MASC;SG	ADV
הדוק	здраво	הדוק	здраво	ADJ;MASC;SG	ADV
לותר	лотар	ויתר	лотар	PROPN	PROPN;INDF;MASC;SG
לותר	лутер	ויתר	лутер	PROPN	N;INDF;MASC;SG
לותר	лутър	ויתר	лутър	PROPN	N;INDF;MASC;SG
לותר	лутър	ויתר	лутър	PROPN	N;INDF;MASC;SG
לחזית	преден	לחזית	преден	ADV	ADJ;INDF;MASC;SG
לחזית	предни	לחזית	преден	ADV	ADJ;INDF;PL
לחזית	фронт	לחזית	фронт	ADV	N;INDF;MASC;SG
לחזית	предна	לחזית	преден	ADV	ADJ;INDF;FEM;SG
ליף	лейф	ליף	лейф	PROPN	N;INDF;MASC;SG
אוסטרי	austrian	אוסטרי	austrian	PROPN	PROPN;INDF;MASC;SG
אוסטרי	австрия	אוסטרי	австрия	PROPN	PROPN;INDF;FEM;SG
אוסטרי	австрийски	אוסטרי	австрийски	PROPN	PROPN;INDF;MASC;SG
המחיר	цена	המחיר	цена	V;MASC;SG;3;PST;ACT	N;INDF;FEM;SG
פרסומת	търговско	פרסומת	търговски	N;FEM;SG	ADV
פרסומת	търговска	פרסומת	търговски	N;FEM;SG	ADJ;INDF;FEM;SG
פרסומת	търговски	פרסומת	търговски	N;FEM;SG	ADJ;INDF;MASC;SG
חלשה	слабо	חלש	слабо	N;FEM;SG	ADV
חלשה	слаби	חלש	слаб	N;FEM;SG	ADJ;INDF;PL
חלשה	слаб	חלש	слаб	N;FEM;SG	ADJ;INDF;MASC;SG
חלשה	слаба	חלש	слаб	N;FEM;SG	ADJ;INDF;FEM;SG
מנגן	пиеси	מנגן	пиеса	N;MASC;SG	N;INDF;FEM;PL
מנגן	играе	מנגן	играя	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
מנגן	играе	מנגן	играя	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
מנגן	играят	מנגן	играя	N;MASC;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
מנצחים	печеливши	מנצח	печеливш	N;MASC;PL	ADJ;INDF;PL
מנצחים	печелившите	מנצח	печеливш	N;MASC;PL	ADJ;DEF;PL
הורג	убива	הרג	убивам	PROPN	V;IPFV;IND;SG;3;PRS;FIN;ACT
הורג	убиване	הרג	убиване	PROPN	N;INDF;NEUT;SG
הורג	убивам	הרג	убивам	PROPN	V;IPFV;IND;SG;1;PRS;FIN;ACT
מל	мел	מל	мел	PROPN	PROPN;INDF;MASC;SG
מל	мал	מל	мал	PROPN	N;INDF;MASC;SG
ששון	сасон	ששון	сасон	PROPN	N;INDF;MASC;SG
טיים	времето	טיים	време	PROPN	N;DEF;NEUT;SG
טיים	време	טיים	време	PROPN	N;INDF;NEUT;SG
השכונות	квартали	השכונה	квартал	PROPN	N;INDF;MASC;PL
רוזנברג	розенберг	רוזנברג	розенберг	PROPN	N;INDF;MASC;SG
ארנה	арена	ארנה	арена	PROPN	N;INDF;FEM;SG
רוצח	убийствен	רצח	убийствен	PROPN	ADJ;INDF;MASC;SG
רוצח	убиец	רצח	убиец	PROPN	N;INDF;MASC;SG
רוצח	убиец	רצח	убиец	PROPN	N;INDF;MASC;SG
אורלינס	орлеанс	אורלינס	орлеанс	PROPN	N;INDF;MASC;SG
אורלינס	орлиънс	אורלינס	орлиънс	PROPN	N;INDF;MASC;SG
הפיליפינים	филипините	הפיליפינים	филипина	PROPN	N;DEF;MASC;PL
ניסים	чудеса	ניסה	чудо	PROPN	N;INDF;NEUT;PL
ניסים	чудесата	ניסה	чудо	PROPN	N;DEF;FEM;SG
ניסים	нисим	ניסה	нисим	PROPN	N;INDF;MASC;SG
נשימה	диша	נשימה	диша	N;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
המשיח	христос	המשיח	христос	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
ריקו	рико	ריקו	рико	PROPN	PROPN;INDF;MASC;SG
זירת	сцена	זירה	сцена	ADV	N;INDF;FEM;SG
סטודיו	студия	סטודיו	студия	PROPN	N;INDF;NEUT;PL
סטודיו	ателие	סטודיו	ателие	PROPN	N;INDF;NEUT;SG
סטודיו	студио	סטודיו	студио	PROPN	N;INDF;NEUT;SG
נפגעה	повреден	נפגע	повреден	V;FEM;SG;3;PST;MID	V;PFV;INDF;MASC;SG;V.PTCP;PASS
נפגעה	повредена	נפגע	повредя-(се)	V;FEM;SG;3;PST;MID	V;PFV;INDF;FEM;SG;V.PTCP;PASS
נפגעה	повредени	נפגע	повредя-(се)	V;FEM;SG;3;PST;MID	V;PFV;INDF;PL;V.PTCP;PASS
נפגעה	увреден	נפגע	увредя-(се)	V;FEM;SG;3;PST;MID	V;PFV;INDF;MASC;SG;V.PTCP;PASS
נפגעה	повредено	נפגע	повредя	V;FEM;SG;3;PST;MID	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
פסקול	саундтрак	פסקול	саундтрак	PROPN	N;INDF;MASC;SG
גורל	съдба	גורל	съдба		N;INDF;FEM;SG
גורל	съдбата	גורל	съдба		N;DEF;FEM;SG
גורל	съдба	גורל	съдба		N;INDF;FEM;SG
גורל	съдбата	גורל	съдба		N;DEF;FEM;SG
אריזונה	аризона	אריזונה	аризон	PROPN	N;DEF;FEM;SG
בטוחה	безопасно	בטוח	безопасен	ADJ;FEM;SG	ADV
בטוחה	сейф	בטוח	сейф	ADJ;FEM;SG	N;INDF;FEM;SG
בטוחה	уверено	בטוח	уверено	ADJ;FEM;SG	ADV
בטוחה	уверени	בטוח	уверя-(се)	ADJ;FEM;SG	ADJ;INDF;PL
אסטוניה	естония	אסטוניה	естония	PROPN	PROPN;INDF;FEM;SG
בודק	проверка	בדק	проверка	V;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
בודק	проверявам	בדק	проверявам	V;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
ארט	арт	ארט	арт	PROPN	N;INDF;NEUT;SG
ארט	изкуството	ארט	изкуство	PROPN	N;DEF;NEUT;SG
ארט	art	ארט	art	PROPN	N;INDF;MASC;SG
ארט	изкуство	ארט	изкуство	PROPN	N;INDF;NEUT;SG
יקום	вселената	יקום	вселя	PROPN	N;DEF;FEM;SG
יקום	вселена	יקום	вселя	PROPN	N;INDF;FEM;SG
מיניות	сексуален	מיני	сексуален	N;FEM;SG	ADJ;INDF;MASC;SG
מיניות	сексуално	מיני	сексуално	N;FEM;SG	ADV
מיניות	сексуална	מיני	сексуален	N;FEM;SG	ADJ;INDF;FEM;SG
מיניות	сексуални	מיני	сексуален	N;FEM;SG	ADJ;INDF;PL
סודי	секретно	סודי	секретен	N;MASC;SG	ADV
סודי	тайно	סודי	тайно	N;MASC;SG	ADV
סודי	поверително	סודי	поверителен	N;MASC;SG	ADV
סודי	поверителни	סודי	поверителен	N;MASC;SG	ADJ;INDF;PL
סודי	поверителна	סודי	поверителен	N;MASC;SG	ADJ;INDF;FEM;SG
אחי	бро	אחי	бро		N;INDF;MASC;SG
אחי	пич	אחי	пич		N;INDF;MASC;SG
אחי	пича	אחי	пичам		N;DEF;MASC;SG
אחי	братко	אחי	братко		N;INDF;MASC;SG
אחי	брат	אחי	брат		N;INDF;MASC;SG
פאשה	паша	פאשה	паша		N;INDF;FEM;SG
קדומה	предразсъдъци	קדום	предразсъдък		N;INDF;MASC;PL
דיק	кур	שדיק	кур	PROPN	N;INDF;MASC;SG
דיק	дик	שדיק	дик	PROPN	PROPN;INDF;MASC;SG
דיק	хуй	שדיק	хуй	PROPN	N;INDF;MASC;SG
עדים	свидетел	עד	свидетел	N;MASC;PL	N;INDF;MASC;SG
צפויה	очаквано	צפוי	очаквам	ADJ;FEM;SG	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
צפויה	очаквани	צפוי	очаквам	ADJ;FEM;SG	V;IPFV;INDF;PL;V.PTCP;PASS
צפויה	очакван	צפוי	очаквам	ADJ;FEM;SG	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
צפויה	очаквана	צפוי	очаквам	ADJ;FEM;SG	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
צפויה	предвидим	צפוי	предвидя	ADJ;FEM;SG	V;PFV;IND;PL;1;PRS;FIN;ACT
צפויה	предвидими	צפוי	предвидим	ADJ;FEM;SG	ADJ;INDF;PL
כיס	джобен	כיס	джобен	N;MASC;SG	ADJ;INDF;MASC;SG
ברמות	нива	ברמות	ниво		N;INDF;NEUT;PL
ברמות	равнища	ברמות	равнище		N;INDF;NEUT;PL
נחת	кацнал	נחת	кацнал		V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
נחת	морски	נחת	морски		ADJ;INDF;MASC;SG
נחת	пехотинец	נחת	пехотинец		N;INDF;MASC;SG
נחת	морска	נחת	морски		ADJ;INDF;FEM;SG
מיר	мире	מיר	мире	PROPN	N;INDF;MASC;SG
לטביה	латвия	לטביה	латвия	PROPN	PROPN;INDF;FEM;SG
לטביה	латвийски	לטביה	латвийски	PROPN	ADJ;INDF;MASC;SG
שביעי	седмо	שביעי	седми	PROPN	ADJ;INDF;NEUT;SG
שביעי	седма	שביעי	седми	PROPN	ADJ;INDF;FEM;SG
שביעי	седми	שביעי	седми	PROPN	ADJ;INDF;MASC;SG
ערובה	заложници	ערובה	заложник	N;FEM;SG	N;INDF;MASC;PL
ערובה	гаранции	ערובה	гаранция	N;FEM;SG	N;INDF;FEM;PL
מוקף	обкръжени	הוקף	обкръжа	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
מוקף	обградени	הוקף	обградя	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
גנטית	генетично	גנטי	генетично	PROPN	ADV
גנטית	генетична	גנטי	генетичен	PROPN	ADJ;INDF;FEM;SG
גנטית	генетични	גנטי	генетичен	PROPN	ADJ;INDF;PL
גנטית	генетичен	גנטי	генетичен	PROPN	ADJ;INDF;MASC;SG
גנטית	генетично	גנטי	генетично	PROPN	ADV
הוסף	добави	הוסף	добавя		V;PFV;IND;SG;3;PST;FIN;ACT
הוסף	добавяне	הוסף	добавяне		N;INDF;NEUT;SG
הוסף	добавя	הוסף	добавям		V;IPFV;IND;SG;3;PRS;FIN;ACT
הוסף	добавете	הוסף	добавя		V;PFV;IMP;PL;2;FIN
בוואריה	баварски	בוואריה	баварски	PROPN	ADJ;INDF;MASC;SG
בוואריה	бавария	בוואריה	бавария	PROPN	PROPN;INDF;FEM;SG
אוריינות	ерудиран	אוריינות	ерудирам	N;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
שושנה	шошана	שושנה	шошана	PROPN	N;INDF;FEM;SG
פשוטות	прост	פשוט	прост	ADJ;FEM;PL	ADJ;INDF;MASC;SG
פשוטות	проста	פשוט	прост	ADJ;FEM;PL	ADJ;INDF;FEM;SG
פשוטות	простичко	פשוט	простичка	ADJ;FEM;PL	ADV
אמנותי	артистично	אמנותי	артистичен	ADJ;MASC;SG	ADV
אטומי	атомна	אטומי	атомен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
מישיגן	мичиган	מישיגן	мичиган	PROPN	N;INDF;MASC;SG
מישיגן	мичигън	מישיגן	мичигън	PROPN	N;INDF;MASC;SG
כיסא	стол	כיסא	стол	PROPN	N;INDF;MASC;SG
כיסא	столче	כיסא	столче	PROPN	N;INDF;NEUT;SG
כיסא	столът	כיסא	стол	PROPN	N;DEF;MASC;SG
הילדה	хилда	הילדה	хилд	PROPN	N;INDF;FEM;SG
שנפלו	паднал	שנפל	падна-(се)	PROPN	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
שנפלו	паднали	שנפל	падна-(се)	PROPN	V;PFV;INDF;PL;PST;V.PTCP;ACT
שנפלו	паднало	שנפל	падна-(се)	PROPN	V;PFV;INDF;NEUT;SG;PST;V.PTCP;ACT
שנפלו	паднала	שנפל	падна-(се)	PROPN	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
חינוכי	образователно	חינוכי	образователно	ADJ;MASC;SG	ADV
חינוכי	образователни	חינוכי	образователен	ADJ;MASC;SG	ADJ;INDF;PL
הורשע	осъдени	הורשע	осъдя	V;MASC;SG;3;PST;PASS	V;PFV;INDF;PL;V.PTCP;PASS
דחף	бутнат	דחף	бутна	N;MASC;SG	V;PFV;IND;PL;3;PRS;FIN;ACT
דאלאס	далас	דאלאס	далас	PROPN	N;INDF;FEM;SG
הרווח	печалба	הרווח	печалба		N;INDF;FEM;SG
הרווח	печалби	הרווח	печалба		N;INDF;FEM;PL
קליבלנד	кливлънд	קליבלנד	кливлънд	PROPN	N;INDF;MASC;SG
קליבלנד	кливланд	קליבלנד	кливланд	PROPN	N;INDF;MASC;SG
כובע	шапки	כובע	шапка	N;MASC;SG	N;INDF;FEM;PL
כובע	шапките	כובע	шапка	N;MASC;SG	N;DEF;FEM;PL
קורפוס	корпус	קורפוס	корпус	PROPN	N;INDF;MASC;SG
סוני	sony	סוני	sony	PROPN	PROPN;INDF;MASC;SG
סוני	сони	סוני	сона	PROPN	N;INDF;FEM;PL
סוני	сони	סוני	сона	PROPN	N;INDF;FEM;PL
בחינם	свободно	בחינם	свободно		ADV
בחינם	свободни	בחינם	свободен		ADJ;INDF;PL
בחינם	свободен	בחינם	свободен		ADJ;INDF;MASC;SG
בחינם	свободна	בחינם	свободен		ADJ;INDF;FEM;SG
בחינם	безплатни	בחינם	безплатен		ADJ;INDF;PL
בחינם	безплатно	בחינם	безплатно		ADV
לכוון	цел	לכוון	цел	V;NFIN;ACT	N;INDF;FEM;SG
רחמים	съжаление	רחמים	съжаление	N;MASC;PL	N;INDF;NEUT;SG
רחמים	жалост	רחמים	жалост	N;MASC;PL	N;INDF;FEM;SG
רחמים	жалко	רחמים	жалко	N;MASC;PL	ADV
רחמים	жал	רחמים	жал	N;MASC;PL	N;INDF;FEM;SG
רחמים	мърси	רחמים	мърся	N;MASC;PL	N;INDF;FEM;SG
רחמים	милосърдие	רחמים	милосърдие	N;MASC;PL	N;INDF;NEUT;SG
רחמים	милост	רחמים	милост	N;MASC;PL	N;INDF;FEM;SG
רומני	румъния	רומני	румъния	PROPN	PROPN;INDF;FEM;SG
רומני	румънски	רומני	румънски	PROPN	ADJ;INDF;MASC;SG
רומני	румънска	רומני	румънски	PROPN	ADJ;INDF;FEM;SG
רומני	ромни	רומני	ромен	PROPN	PROPN;INDF;MASC;SG
ברטון	бъртън	ברטון	бъртън	PROPN	PROPN;INDF;MASC;SG
ברטון	бартън	ברטון	бартън	PROPN	N;INDF;MASC;SG
ברטון	бретон	ברטון	бретон	PROPN	N;INDF;MASC;SG
זרעים	семе	זרע	семе	N;MASC;PL	N;INDF;NEUT;SG
נידון	осъден	נידון	осъдя	V;MASC;SG;PST;MID	V;PFV;INDF;MASC;SG;V.PTCP;PASS
נידון	осъди	נידון	осъдя	V;MASC;SG;PST;MID	V;PFV;IND;SG;3;PST;FIN;ACT
נידון	осъдена	נידון	осъдя	V;MASC;SG;PST;MID	V;PFV;INDF;FEM;SG;V.PTCP;PASS
נידון	осъден	נידון	осъдя	V;MASC;SG;PST;MID	V;PFV;INDF;MASC;SG;V.PTCP;PASS
נידון	осъдени	נידון	осъдя	V;MASC;SG;PST;MID	V;PFV;INDF;PL;V.PTCP;PASS
נירנברג	нюрнберг	נירנברג	нюрнберг	PROPN	PROPN;INDF;MASC;SG
מודרניות	модерно	מודרני	модерно	ADJ;FEM;PL	ADV
מודרניות	модерна	מודרני	модерен	ADJ;FEM;PL	ADJ;INDF;FEM;SG
מודרניות	съвременно	מודרני	съвременно	ADJ;FEM;PL	ADV
מודרניות	модерен	מודרני	модерен	ADJ;FEM;PL	ADJ;INDF;MASC;SG
מודרניות	съвременен	מודרני	съвременен	ADJ;FEM;PL	ADJ;INDF;MASC;SG
בהינתן	дадени	בהינתן	дам-(се)	ADV	V;PFV;INDF;PL;V.PTCP;PASS
בהינתן	дадена	בהינתן	даден	ADV	ADJ;INDF;FEM;SG
הנחיות	упътване	הנחיה	упътване	N;FEM;PL	N;INDF;NEUT;SG
הנחיות	инструкция	הנחיה	инструкция	N;FEM;PL	N;INDF;FEM;SG
פסים	раирана	פס	раирам-(се)	N;MASC;PL	N;INDF;FEM;SG
חלקיק	частици	חלקיק	частица	PROPN	N;INDF;FEM;PL
חלקיק	частица	חלקיק	частица	PROPN	N;INDF;FEM;SG
חלקיק	частици	חלקיק	частица	PROPN	N;INDF;FEM;PL
נזקים	обезщетение	נזק	обезщетение	N;MASC;PL	N;INDF;NEUT;SG
נזקים	увреждане	נזק	увреждане	N;MASC;PL	N;INDF;NEUT;SG
נזקים	повреда	נזק	повреда	N;MASC;PL	N;INDF;FEM;SG
בואנוס	буенос	בואנוס	буенос	PROPN	ADV
מני	мани	מן	мана		N;INDF;MASC;SG
מני	мени	מן	аз		V;IPFV;IND;SG;3;PRS;FIN;ACT
מני	мани	מן	мана		N;INDF;MASC;SG
מקל	пръчка	הקל	пръчка		N;INDF;FEM;SG
מקל	стик	הקל	стик		N;INDF;MASC;SG
אטלס	атлас	אטלס	атлас	PROPN	N;INDF;MASC;SG
מיאמי	маями	מיאמי	маям-(се)	PROPN	PROPN;INDF;MASC;SG
מוסוליני	мусолини	מוסוליני	мусолин	PROPN	N;INDF;FEM;PL
נרשמה	отбелязана	נרשם	отбележа	V;FEM;SG;3;PST;MID	V;PFV;INDF;FEM;SG;V.PTCP;PASS
נרשמה	отбеляза	נרשם	отбележа	V;FEM;SG;3;PST;MID	V;PFV;IND;SG;3;PST;FIN;ACT
נרשמה	отбелязано	נרשם	отбележа	V;FEM;SG;3;PST;MID	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
נרשמה	отбелязан	נרשם	отбележа	V;FEM;SG;3;PST;MID	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ולס	валс	ולס	валс	PROPN	N;INDF;MASC;SG
ולס	уелс	ולס	уелс	PROPN	PROPN;INDF;MASC;SG
ולס	кладенци	ולס	кладенец	PROPN	N;INDF;MASC;PL
רצופים	последователно	רצוף	последователно	ADJ;MASC;PL	ADV
בקביעות	редовно	בקביעות	редовно		ADV
בקביעות	постоянно	בקביעות	постоянно		ADV
בקביעות	непрестанно	בקביעות	непрестанно		ADV
בקביעות	непрекъснато	בקביעות	непрекъснато		ADV
פיה	пия	פיה	пия		V;IPFV;IND;SG;1;PRS;FIN;ACT
פיה	пиа	פיה	пиа		PROPN;INDF;FEM;SG
פיה	феята	פיה	фея		N;DEF;FEM;SG
פיה	фея	פיה	фея		N;INDF;FEM;SG
ליון	лайън	ליון	лайън	PROPN	N;INDF;MASC;SG
ליון	лион	ליון	лион	PROPN	PROPN;INDF;MASC;SG
ספיידרמן	спайдърмен	ספיידרמן	спайдърмен	PROPN	ADJ;INDF;MASC;SG
ביתא	бета	ביתא	бет	PROPN	N;INDF;FEM;SG
נאפולי	неапол	נאפולי	неапол	PROPN	PROPN;INDF;MASC;SG
נאפולי	неапол	נאפולי	неапол	PROPN	PROPN;INDF;MASC;SG
נאפולי	наполи	נאפולי	наполи	PROPN	N;INDF;MASC;SG
חולי	пациенти	חולי	пациент	PROPN	N;INDF;MASC;PL
חולי	пациентите	חולי	пациент	PROPN	N;DEF;MASC;PL
חולי	болест	חולי	болест	PROPN	N;INDF;FEM;SG
חולי	болести	חולי	болест	PROPN	N;INDF;FEM;PL
ארגן	организиране	ארגן	организиране	PROPN	N;INDF;NEUT;SG
ארגן	организираме	ארגן	организирам	PROPN	V;IPFV;IND;PL;1;PRS;FIN;ACT
ארגן	организиране	ארגן	организиране	PROPN	N;INDF;NEUT;SG
ארגן	уредено	ארגן	уреда	PROPN	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ארגן	подредени	ארגן	подредя	PROPN	V;PFV;INDF;PL;V.PTCP;PASS
ארגן	уреден	ארגן	уреден	PROPN	ADJ;INDF;MASC;SG
ארגן	уговорено	ארגן	уговоря	PROPN	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
הולם	подходящ	הולם	подходящ		ADJ;INDF;MASC;SG
הולם	подходяща	הולם	подходящ		ADJ;INDF;FEM;SG
הולם	уместно	הולם	уместно		ADV
הולם	подходящи	הולם	подходящ		ADJ;INDF;PL
הולם	подходящо	הולם	подходящ		ADV
הולם	адекватно	הולם	адекватно		ADV
הולם	адекватни	הולם	адекватен		ADJ;INDF;PL
הולם	задоволителна	הולם	задоволителен		ADJ;INDF;FEM;SG
הולם	адекватен	הולם	адекватен		ADJ;INDF;MASC;SG
הולם	адекватна	הולם	адекватен		ADJ;INDF;FEM;SG
הולם	холм	הולם	холм		N;INDF;MASC;SG
