med	med	med	med	ADP	
juni	june	juni	juny	N;NOM;INDF;MASC+FEM;SG	
juni	czerwiec	juni	czerwiec	N;NOM;INDF;MASC+FEM;SG	
lat	lat	lat	rok	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;PL
lat	leniwy	lat	leniwy	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
lat	leniwa	lat	leniwo	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
lat	leniwe	lat	leniwy	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
december	grudnia	december	grudzień	N;NOM;INDF;MASC+FEM;SG	
december	grudniu	december	grudzień	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
växer	rosnące	växa	rosnąć	V;IND;PRS;FIN;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
växer	rosnący	växa	rosnąć	V;IND;PRS;FIN;ACT	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
växer	uprawa	växa	uprawa	V;IND;PRS;FIN;ACT	
växer	uprawy	växa	uprawa	V;IND;PRS;FIN;ACT	N;GEN;FEM;SG
många	wielu	mången	wiele	PRO;INDF;PL	DET;ACC;MASC;PL
många	wiele	mången	wiele	PRO;INDF;PL	DET;ACC;MASC;PL
efter	after	efter	after	ADP	
efter	po	efter	po	ADP	INTJ
nära	zamknij	nära	zamknąć	ADV	V;PFV;IMP;SG;2;FIN;ACT
nära	blisko	nära	blisko	ADV	
nära	blisko	nära	blisko	ADV	
nära	niedaleko	nära	niedaleko	ADV	
väster	zachodnia	väster	zachodni	N;NOM;INDF;MASC+FEM;SG	
väster	west	väster	wysta	N;NOM;INDF;MASC+FEM;SG	
provins	prowincji	provins	prowincja	N;NOM;INDF;MASC+FEM;SG	N;GEN;FEM;SG
öster	wschodnie	öster	wschodni	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
öster	east	öster	east	N;NOM;INDF;MASC+FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
öster	wschodni	öster	wschodni	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
öster	wschodnia	öster	wschodnia	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
först	pierwszy	först	pierwszy	ADV	ADJ;NOM;MASC;SG
först	pierwsze	först	pierwszy	ADV	ADJ;NOM;NEUT;SG
först	pierwsza	först	pierwszy	ADV	ADJ;NOM;FEM;SG
berg	górski	berg	górski	N;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
berg	mountain	berg	mountain	N;NOM;INDF;NEUT;SG	
berg	góra	berg	góra	N;NOM;INDF;NEUT;SG	
berg	góry	berg	góra	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
berg	berg	berg	berg	N;NOM;INDF;NEUT;SG	PROPN;NOM;MASC;SG
berg	gór	berg	gór	N;NOM;INDF;NEUT;SG	
berg	góry	berg	góra	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
indonesien	indonezja	indonesien	indonezja	PROPN;NOM	
usa	stany	usa	stany	PROPN;NOM	N;NOM;MASC;PL
usa	ameryka	usa	ameryka	PROPN;NOM	
usa	usa	usa	usać	PROPN;NOM	PROPN;NOM;NEUT;PL
mars	marzec	mars	marzec	N;NOM;INDF;MASC+FEM;SG	
mars	marca	mars	marza	N;NOM;INDF;MASC+FEM;SG	
mars	marsie	mars	marsa	N;NOM;INDF;MASC+FEM;SG	
mars	marsa	mars	marsa	N;NOM;INDF;MASC+FEM;SG	
mars	mars	mars	mars	N;NOM;INDF;MASC+FEM;SG	
mindre	mniejszej	lite	mały	ADV;CMPR	ADJ;GEN;CMPR;FEM;SG
mindre	mniejsze	lite	mały	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
mindre	mniejszy	lite	mały	ADV;CMPR	ADJ;NOM;CMPR;MASC;SG
mindre	mniejsza	lite	mały	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
mindre	drobne	lite	drobny	ADV;CMPR	ADJ;NOM;NEUT;SG
mindre	mniejsza	lite	mały	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
norr	północnej	norr	północny	N;NOM;INDF;MASC+FEM;SG	ADJ;GEN;FEM;SG
norr	north	norr	north	N;NOM;INDF;MASC+FEM;SG	
oktober	października	oktober	październik	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
man	mężczyzna	man	mężczyzna	PRO;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG
man	człowiek	man	człowiek	PRO;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG
man	man	man	mana	PRO;NOM;INDF;MASC+FEM;SG	
september	wrzesień	september	wrzesień	N;NOM;INDF;MASC+FEM;SG	
september	września	september	wrzesień	N;NOM;INDF;MASC+FEM;SG	
större	major	stor	major	ADJ;NOM;CMPR	N;NOM;MASC;SG
större	większej	stor	duży	ADJ;NOM;CMPR	ADJ;GEN;CMPR;FEM;SG
större	większego	stor	duży	ADJ;NOM;CMPR	ADJ;ACC;CMPR;MASC;SG
centrala	centralnego	central	centralny	ADJ;NOM;PL	ADJ;ACC;MASC;SG
centrala	central	central	centrala	ADJ;NOM;PL	
centrala	centralny	central	centralny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
centrala	środkowa	central	środkowy	ADJ;NOM;PL	ADJ;NOM;FEM;SG
centrala	centralne	central	centralny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
centrala	centralna	central	centralny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
nordväst	northwest	nordväst	northwest	ADV	N;NOM;MASC;SG
andra	druga	annan	drugi	PRO;INDF;PL	ADJ;NOM;FEM;SG
andra	drugi	annan	drugi	PRO;INDF;PL	ADJ;NOM;MASC;SG
andra	drugie	annan	drugi	PRO;INDF;PL	ADJ;NOM;NEUT;SG
andra	innych	annan	inny	PRO;INDF;PL	ADJ;GEN;MASC;PL
andra	inne	annan	inny	PRO;INDF;PL	ADJ;NOM;NEUT;SG
andra	pozostał	annan	pozostać	PRO;INDF;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
andra	inny	annan	inny	PRO;INDF;PL	ADJ;NOM;MASC;SG
andra	inne	annan	inny	PRO;INDF;PL	ADJ;NOM;NEUT;SG
andra	pozostał	annan	pozostać	PRO;INDF;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
andra	inni	annan	inny	PRO;INDF;PL	ADJ;NOM;MASC;PL
county	hrabstwa	county	hrabstwo	N;NOM;INDF;NEUT;SG	N;ACC;NEUT;SG
county	powiat	county	powiat	N;NOM;INDF;NEUT;SG	
nog	nog	nog	nog	ADV	V;IPFV;IND;SG;PRS;FIN;ACT
huvudsakligen	głównie	huvudsakligen	głównie	ADV	PART
namngivna	nazwany	namngiven	nazwać	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
namngivna	nazwane	namngiven	nazwać	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
mycket	much	mycket	much	ADV	
mycket	wiele	mycket	wiele	ADV	DET;ACC;MASC;PL
jpg	jpg	jpg	jeść	N	
regionen	regionie	region	region	N;NOM;DEF;MASC+FEM;SG	N;ACC;MASC;SG
regionen	regiony	region	regić	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;PL
regionen	regionu	region	regić	N;NOM;DEF;MASC+FEM;SG	N;GEN;MASC;SG
ottawa	ottawa	ottal	ottawy	PROPN;NOM	N;NOM;MASC;SG
närmaste	najbliższy	nära	bliski	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
närmaste	najbliższa	nära	bliski	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;FEM;SG
närmaste	najbliższej	nära	bliski	ADJ;NOM;DEF;RL	ADJ;GEN;CMPR;FEM;SG
närmaste	najbliższe	nära	bliski	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;NEUT;SG
närmaste	najbliżej	nära	blisko	ADJ;NOM;DEF;RL	ADV;RL
närmaste	najbliższy	nära	bliski	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
närmaste	najbliższych	nära	bliski	ADJ;NOM;DEF;RL	ADJ;ACC;CMPR;MASC;PL
närmaste	najbliższe	nära	bliski	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;NEUT;SG
närmaste	najbliżej	nära	blisko	ADJ;NOM;DEF;RL	ADV;RL
november	listopada	november	listopada	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
november	listopadzie	november	listopad	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
november	listopad	november	listopad	N;NOM;INDF;MASC+FEM;SG	
maj	majowe	maj	majowy	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
maj	maja	maj	mieć	N;NOM;INDF;MASC+FEM;SG	
maj	może	maj	móc	N;NOM;INDF;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
maj	majowy	maj	majowy	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
maj	maj	maj	maj	N;NOM;INDF;MASC+FEM;SG	
maj	maj	maj	maj	N;NOM;INDF;MASC+FEM;SG	
platt	platt	platt	platt	ADV	
platt	mieszkanie	platt	mieszkanie	ADV	N;NOM;NEUT;SG
finland	finlandii	finland	finlandia	PROPN;NOM	PROPN;GEN;FEM;SG
finland	finlandia	finland	finlandia	PROPN;NOM	N;NOM;FEM;SG
samhälle	society	samhälle	societa	N;NOM;INDF;NEUT;SG	
samhälle	społeczeństwa	samhälle	społeczeństwo	N;NOM;INDF;NEUT;SG	N;GEN;NEUT;SG
samhälle	społeczności	samhälle	społeczność	N;NOM;INDF;NEUT;SG	N;GEN;FEM;SG
samhälle	wspólnoty	samhälle	wspólnota	N;NOM;INDF;NEUT;SG	N;GEN;FEM;SG
består	złożona	bestå	złożyć	V;IND;PRS;FIN;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
består	złożony	bestå	złożyć	V;IND;PRS;FIN;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
platser	siedzenia	plats	siedzenie	N;NOM;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
platser	lokalizacji	plats	lokalizacja	N;NOM;INDF;MASC+FEM;PL	N;GEN;FEM;SG
platser	miejsc	plats	miejsce	N;NOM;INDF;MASC+FEM;PL	N;GEN;NEUT;PL
platser	witryny	plats	witryna	N;NOM;INDF;MASC+FEM;PL	N;GEN;FEM;PL
platser	witryn	plats	witryna	N;NOM;INDF;MASC+FEM;PL	N;GEN;FEM;PL
första	najpierw	en	najpierw	ADJ;NOM	ADV
fick	got	få	gotować	V;IND;PST;FIN;ACT	
fick	mam	få	mieć	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
fick	otrzymana	få	otrzymać	V;IND;PST;FIN;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
fick	otrzymany	få	otrzymać	V;IND;PST;FIN;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
fick	otrzymane	få	otrzymać	V;IND;PST;FIN;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
sydväst	southwest	sydväst	southwest	ADV	N;NOM;MASC;SG
området	obszarze	område	obszarz	N;NOM;DEF;NEUT;SG	N;ACC;MASC;SG
australien	australii	australien	australia	PROPN;NOM	PROPN;GEN;FEM;SG
australien	australia	australien	australia	PROPN;NOM	PROPN;NOM;FEM;SG
april	kwietnia	april	kwiecia	N;NOM;INDF;MASC+FEM;SG	
april	april	april	april	N;NOM;INDF;MASC+FEM;SG	
hans	hans	han	hans	PRO;DEF	PROPN;NOM;MASC;SG
hans	hansa	han	hansa	PRO;DEF	
södra	południowej	södra	południowy	ADJ;NOM;DEF;SG	ADJ;GEN;FEM;SG
södra	southern	södra	southerny	ADJ;NOM;DEF;SG	N;NOM;MASC;SG
södra	południe	södra	południe	ADJ;NOM;DEF;SG	N;NOM;NEUT;SG
södra	södra	södra	sódrać	ADJ;NOM;DEF;SG	
toppen	świetne	topp	świetny	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
toppen	świetnie	topp	świetnie	N;NOM;DEF;MASC+FEM;SG	ADV
toppen	super	topp	super	N;NOM;DEF;MASC+FEM;SG	
toppen	wspaniale	topp	wspaniale	N;NOM;DEF;MASC+FEM;SG	
toppen	top	topp	top	N;NOM;DEF;MASC+FEM;SG	
toppen	góra	topp	góra	N;NOM;DEF;MASC+FEM;SG	
sverige	szwecji	sverige	szwecja	PROPN;NOM	
sverige	szwecja	sverige	szwecja	PROPN;NOM	
östra	east	östra	east	ADJ;NOM;DEF;SG	V;IPFV;IND;SG;PRS;FIN;ACT
östra	wschód	östra	wschód	ADJ;NOM;DEF;SG	N;NOM;MASC;SG
östra	wschód	östra	wschód	ADJ;NOM;DEF;SG	N;NOM;MASC;SG
östra	wschodniej	östra	wschodni	ADJ;NOM;DEF;SG	ADJ;GEN;FEM;SG
genom	poprzez	genom	poprzez	ADP	
kilometer	kilometrów	kilomet	kilometr	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
kilometer	kilometra	kilomet	kilometra	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;SG
kilometer	kilometr	kilomet	kilometr	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;SG
kilometer	kilometrów	kilomet	kilometr	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
norra	północnej	norra	północny	ADJ;NOM;DEF;SG	ADJ;GEN;FEM;SG
norra	północ	norra	północ	ADJ;NOM;DEF;SG	N;NOM;FEM;SG
norra	north	norra	north	ADJ;NOM;DEF;SG	
norra	północ	norra	północ	ADJ;NOM;DEF;SG	N;NOM;FEM;SG
norra	północna	norra	północny	ADJ;NOM;DEF;SG	
norra	północnej	norra	północny	ADJ;NOM;DEF;SG	ADJ;GEN;FEM;SG
norra	północny	norra	północny	ADJ;NOM;DEF;SG	N;ACC;MASC;SG
också	także	också	także	ADV	PART
också	też	också	też	ADV	PART
också	również	också	również	ADV	PART
också	tez	också	tez	ADV	
också	też	också	też	ADV	PART
också	too	också	too	ADV	
också	zbyt	också	zbyt	ADV	PART
talet	mowa	tal	mowa	N;NOM;DEF;NEUT;SG	
mot	przeciw	mot	przeciw	ADP	
mot	mot	mot	mot	ADP	
västra	zachodnia	onstra	zachodni	ADJ;NOM;DEF;SG	
västra	west	onstra	wysta	ADJ;NOM;DEF;SG	
västra	zachodni	onstra	zachodni	ADJ;NOM;DEF;SG	N;NOM;MASC;SG
västra	zachód	onstra	zachód	ADJ;NOM;DEF;SG	N;NOM;MASC;SG
