और	ja	और	ja		CONJ
दिया	annettu	दे	antaa	V;PFV;MASC;SG;V.PTCP;ACT	V;NOM;SG;V.PTCP;PASS
दिया	annetut	दे	antaa	V;PFV;MASC;SG;V.PTCP;ACT	V;NOM;PL;V.PTCP;PASS
अन्य	muu	अन्य	muu	N;NOM;MASC;SG;3	PRO;NOM;SG
अन्य	muut	अन्य	muu	N;NOM;MASC;SG;3	PRO;NOM;PL
अन्य	muut	अन्य	muu	N;NOM;MASC;SG;3	PRO;NOM;PL
अन्य	toiset	अन्य	toinen	N;NOM;MASC;SG;3	PRO;NOM;PL
अन्य	muita	अन्य	muu	N;NOM;MASC;SG;3	PRO;PRT;PL
वर्ष	vuotta	वर्ष	vuosi	N;NOM;MASC;SG;3	N;PRT;SG
वर्ष	vuodet	वर्ष	vuosi	N;NOM;MASC;SG;3	N;NOM;PL
वर्ष	vuosien	वर्ष	vuosi	N;NOM;MASC;SG;3	N;GEN;PL
वर्ष	vuosia	वर्ष	vuosi	N;NOM;MASC;SG;3	N;PRT;PL
वर्ष	vuoden	वर्ष	vuosi	N;NOM;MASC;SG;3	N;GEN;SG
वर्ष	vuonna	वर्ष	vuosi	N;NOM;MASC;SG;3	N;FRML;SG
समय	ajan	समय	aika	N;NOM;MASC;SG;3	N;GEN;SG
समय	aikaa	समय	aika	N;NOM;MASC;SG;3	N;PRT;SG
नाम	nimeä	नाम	nimi	N;NOM;MASC;SG;3	N;PRT;SG
वे	ne	वह	se	PRO;NOM;SG;3	PRO;NOM;PL
वे	he	वह	hän	PRO;NOM;SG;3	PRO;NOM;PL;3
प्रकार	kirjoita	प्रकार	kirja	N;NOM;MASC;SG;3	V;IMP;SG;2;FIN;ACT
प्रकार	tyypit	प्रकार	tyyppi	N;NOM;MASC;SG;3	N;NOM;PL
भारतीय	intian	भारतीय	inti	PROPN;NOM;SG;3	N;GEN;SG
भारतीय	intialainen	भारतीय	intialainen	PROPN;NOM;SG;3	ADJ;NOM;SG
भारतीय	intiaani	भारतीय	intia	PROPN;NOM;SG;3	N;NOM;SG
भारतीय	intialaista	भारतीय	intialainen	PROPN;NOM;SG;3	N;PRT;SG
किसी	joku	कोई	joku	PRO;ACC;SG;3	PRO;NOM;SG
किसी	jonkun	कोई	joku	PRO;ACC;SG;3	PRO;GEN;SG
क्षेत्र	alueen	क्षेत्र	alue	N;NOM;MASC;SG;3	N;GEN;SG
क्षेत्र	alueilla	क्षेत्र	alue	N;NOM;MASC;SG;3	N;AT+ESS
;PL
क्षेत्र	alueet	क्षेत्र	alue	N;NOM;MASC;SG;3	N;NOM;PL
अधिक	lisää	अधिक	lisää	DET	ADV
अधिक	enemmän	अधिक	enemmän	DET	ADV
कई	monet	कई	moni	DET	PRO;NOM;PL
कई	monia	कई	moni	DET	PRO;PRT;PL
कई	monta	कई	moni	DET	PRO;PRT;SG
कई	moni	कई	moni	DET	PRO;NOM;SG
कई	useita	कई	usea	DET	ADJ;PRT;PL
कई	useat	कई	usea	DET	ADJ;NOM;PL
स्थित	sijaitsee	स्थित	sijaita	ADJ	V;IND;SG;3;PRS;FIN;ACT
मण्डल	vyöhyke	मण्डल	vyöhyke	PROPN;NOM;MASC;SG;3	N;NOM;SG
मण्डल	alue	मण्डल	alue	PROPN;NOM;MASC;SG;3	N;NOM;SG
आधिकारिक	virkamies	आधिकारिक	virka#mies	ADJ	N;NOM;SG
कारण	syyt	कारण	syy	N;NOM;MASC;SG;3	N;NOM;PL
कारण	syitä	कारण	syy	N;NOM;MASC;SG;3	N;PRT;PL
कारण	syyn	कारण	syy	N;NOM;MASC;SG;3	N;GEN;SG
कारण	aiheuttaa	कारण	aiheuttaa	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN;ACT
कारण	koska	कारण	koska	N;NOM;MASC;SG;3	CONJ
कारण	aatteen	कारण	aate	N;NOM;MASC;SG;3	N;GEN;SG
कारण	aiheuttaa	कारण	aiheuttaa	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN;ACT
कारण	syyt	कारण	syy	N;NOM;MASC;SG;3	N;NOM;PL
कारण	syitä	कारण	syy	N;NOM;MASC;SG;3	N;PRT;PL
होने	olemisen	हो	oleminen	V;MASC;NFIN;ACT	N;GEN;SG
होने	oleminen	हो	oleminen	V;MASC;NFIN;ACT	N;NOM;SG
जैसे	tykkää	जैसे	tykätä	CONJ	V;IMP;SG;2;FIN;ACT
उनके	heidän	वह	hän	PRO;MASC;SG;3;FORM	PRO;GEN;PL;3
उनके	niiden	वह	se	PRO;MASC;SG;3;FORM	PRO;GEN;PL
सबसे	eniten	सबसे	eniten	ADJ;NOM	ADV
सबसे	useimmilla	सबसे	usea	ADJ;NOM	ADJ;AT+ESS
;RL;PL
सबसे	useimpia	सबसे	usea	ADJ;NOM	ADJ;PRT;CMPR;PL
हिन्दी	hindiä	हिन्दी	hinti	PROPN;NOM;FEM;SG;3	N;PRT;PL
बहुत	hyvin	बहुत	hyvin	DET	ADV
बहुत	erittäin	बहुत	erittäin	DET	ADV
पहले	aikaisempi	पहले	aikainen	ADV;NOM;MASC;SG;3	ADJ;NOM;CMPR;SG
पहले	aiempi	पहले	aiempi	ADV;NOM;MASC;SG;3	ADJ;NOM;SG
पहले	ensimmäinen	पहले	ensimmäinen	ADV;NOM;MASC;SG;3	ADJ;NOM;SG
पहले	eka	पहले	ensin	ADV;NOM;MASC;SG;3	N;NOM;SG
अपनी	omista	अपना	oma	PRO;NOM;FEM	ADJ;IN+ABL;PL
अपनी	oman	अपना	oma	PRO;NOM;FEM	ADJ;GEN;SG
अपनी	oma	अपना	oma	PRO;NOM;FEM	ADJ;NOM;SG
अपनी	omat	अपना	oma	PRO;NOM;FEM	ADJ;NOM;PL
जब	kun	जब	kun	PRO;NOM	CONJ
जब	milloin	जब	milloin	PRO;NOM	ADV
उन्होंने	ne	वह	se	PRO;SG;3;FORM	PRO;NOM;PL
उन्होंने	he	वह	hän	PRO;SG;3;FORM	PRO;NOM;PL;3
उन्होंने	egyptiläiset	वह	egyptiläinen	PRO;SG;3;FORM	N;NOM;PL
जन्म	syntynyt	जन्म	syntyä	N;NOM;MASC;SG;3	V;NOM;SG;V.PTCP;ACT
जन्म	syntyneet	जन्म	syntyä	N;NOM;MASC;SG;3	V;NOM;PL;V.PTCP;ACT
जन्म	syntyi	जन्म	syntyä	N;NOM;MASC;SG;3	V;IND;SG;3;PST;FIN;ACT
इन	majatalo	यह	maja#talo	DET;ACC;PL;3	N;NOM;SG
ये	tämän	यह	tämä	PRO;NOM;PL;3	PRO;GEN;SG
ये	tätä	यह	tämä	PRO;NOM;PL;3	PRO;PRT;SG
ये	tästä	यह	tämä	PRO;NOM;PL;3	PRO;IN+ABL;SG
ये	tämä	यह	tämä	PRO;NOM;PL;3	PRO;NOM;SG
ये	nämä	यह	tämä	PRO;NOM;PL;3	PRO;NOM;PL
ये	näitä	यह	tämä	PRO;NOM;PL;3	PRO;PRT;PL
कम	matala	कम	matala	DET	ADJ;NOM;SG
कम	matalalla	कम	matala	DET	ADJ;AT+ESS
;SG
कम	vähä	कम	vähän	DET	ADV
कम	alhainen	कम	alhainen	DET	ADJ;NOM;SG
कम	vähemmän	कम	vähemmän	DET	ADV
कम	vähemmän	कम	vähemmän	DET	ADV
लोग	ihmisiä	लोग	ihminen	N;NOM;MASC;PL;3	N;PRT;PL
आदि	jne	आदि	jne.	PART	ADV
आदि	lisää	आदि	lisää	PART	ADV
आदि	enemmän	आदि	enemmän	PART	ADV
आदि	adi	आदि	adi	PART	N;NOM;SG
उसके	hänen	वह	hän	PRO;MASC;SG;3	PRO;GEN;SG;3
उसके	hänen	वह	hän	PRO;MASC;SG;3	PRO;GEN;SG;3
प्राचीन	antiikin	प्राचीन	antiikki	ADJ;NOM	N;GEN;SG
देखें	kello	देख	kello	V;SBJV;PL;FIN;ACT	N;NOM;SG
देखें	katso	देख	katsoa	V;SBJV;PL;FIN;ACT	V;IMP;SG;2;FIN;ACT
देखें	nää	देख	tämä	V;SBJV;PL;FIN;ACT	PRO;NOM;PL
देखें	katso	देख	katsoa	V;SBJV;PL;FIN;ACT	V;IMP;SG;2;FIN;ACT
देखें	näkymä	देख	näkymä	V;SBJV;PL;FIN;ACT	N;NOM;SG
देखें	view	देख	view	V;SBJV;PL;FIN;ACT	N;NOM;SG
देखें	näytä	देख	näyttää	V;SBJV;PL;FIN;ACT	V;IMP;SG;2;FIN;ACT
देखें	mieltä	देख	mieli	V;SBJV;PL;FIN;ACT	N;PRT;SG
उत्तर	vastaa	उत्तर	vastata	PROPN;NOM;MASC;SG;3	V;IMP;SG;2;FIN;ACT
उत्तर	vastaus	उत्तर	vastaus	PROPN;NOM;MASC;SG;3	N;NOM;SG
उत्तर	vastata	उत्तर	vastata	PROPN;NOM;MASC;SG;3	V;SG;NFIN;ACT
उत्तर	pohjoinen	उत्तर	pohjoinen	PROPN;NOM;MASC;SG;3	N;NOM;SG
उत्तर	pohjoiseen	उत्तर	pohjoinen	PROPN;NOM;MASC;SG;3	N;IN+ALL;SG
उत्तर	pohjois	उत्तर	pohjois	PROPN;NOM;MASC;SG;3	N;NOM;SG
उत्तर	vastauksia	उत्तर	vastaus	PROPN;NOM;MASC;SG;3	N;PRT;PL
उत्तर	vastaukset	उत्तर	vastaus	PROPN;NOM;MASC;SG;3	N;NOM;PL
भाषा	kieliä	भाषा	kieli	N;NOM;FEM;SG;3	N;PRT;PL
भाषा	kielet	भाषा	kieli	N;NOM;FEM;SG;3	N;NOM;PL
भाषा	kielet	भाषा	kieli	N;NOM;FEM;SG;3	N;NOM;PL
लिये	varten	ले	varten	V;PFV;MASC;SG;V.PTCP;ACT	ADV
सभी	kaikille	सब	kaikki	PRO;NOM;3	PRO;AT+ALL;PL
सभी	kaikki	सब	kaikki	PRO;NOM;3	PRO;NOM;SG
प्राप्त	saadut	प्राप्त	saada	ADJ	V;NOM;PL;V.PTCP;PASS
प्राप्त	saatu	प्राप्त	saada	ADJ	V;NOM;SG;V.PTCP;PASS
प्राप्त	vastaanotettu	प्राप्त	vastaanottaa	ADJ	V;NOM;SG;V.PTCP;PASS
प्राप्त	saadut	प्राप्त	saada	ADJ	V;NOM;PL;V.PTCP;PASS
प्राप्त	saanut	प्राप्त	saada	ADJ	V;NOM;SG;V.PTCP;ACT
प्राप्त	saatu	प्राप्त	saada	ADJ	V;NOM;SG;V.PTCP;PASS
इसका	sen	यह	se	PRO;MASC;SG;3	PRO;GEN;SG
प्रयोग	kokeita	प्रयोग	kokea	N;NOM;MASC;SG;3	N;PRT;PL
प्रयोग	kokeiluja	प्रयोग	kokeilu	N;NOM;MASC;SG;3	N;PRT;PL
प्रयोग	kokeet	प्रयोग	koe	N;NOM;MASC;SG;3	N;NOM;PL
प्रयोग	koe	प्रयोग	kokea	N;NOM;MASC;SG;3	V;IMP;SG;2;FIN;ACT
शामिल	osallistunut	शामिल	osallistua	ADJ	V;NOM;SG;V.PTCP;ACT
शामिल	sisältää	शामिल	sisältää	ADJ	V;IND;SG;3;PRS;FIN;ACT
शामिल	sisällytetty	शामिल	sisällyttää	ADJ	V;NOM;SG;V.PTCP;PASS
शामिल	sisältyy	शामिल	sisältyä	ADJ	V;IND;SG;3;PRS;FIN;ACT
उस	tuo	वह	tuo	DET;ACC;SG;3	PRO;NOM;SG
उस	että	वह	että	DET;ACC;SG;3	CONJ
स्थान	paikat	स्थान	paikka	N;NOM;MASC;SG;3	N;NOM;PL
स्थान	paikkoja	स्थान	paikka	N;NOM;MASC;SG;3	N;PRT;PL
स्थान	sijainnit	स्थान	sijainti	N;NOM;MASC;SG;3	N;NOM;PL
स्थान	paikassa	स्थान	paikka	N;NOM;MASC;SG;3	N;IN+ESS;SG
स्थान	place	स्थान	place	N;NOM;MASC;SG;3	
प्रमुख	major	प्रमुख	major	N;NOM;MASC;SG;3	
प्रमुख	pääasialliset	प्रमुख	pää#asiallinen	N;NOM;MASC;SG;3	ADJ;NOM;PL
प्रमुख	pääasiallinen	प्रमुख	pää#asiallinen	N;NOM;MASC;SG;3	ADJ;NOM;SG
प्रमुख	tärkein	प्रमुख	tärkeä	N;NOM;MASC;SG;3	ADJ;NOM;RL;SG
प्रमुख	tärkeimmät	प्रमुख	tärkeä	N;NOM;MASC;SG;3	ADJ;NOM;RL;PL
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	INTJ
बीच	rannan	बीच	ranta	ADV;NOM;MASC;SG;3	N;GEN;SG
बीच	ranta	बीच	ranta	ADV;NOM;MASC;SG;3	N;NOM;SG
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	N;NOM;SG
बीच	rantaa	बीच	ranta	ADV;NOM;MASC;SG;3	N;PRT;SG
बीच	beachin	बीच	beach	ADV;NOM;MASC;SG;3	PROPN;GEN;SG
बीच	keskus	बीच	keskus	ADV;NOM;MASC;SG;3	N;NOM;SG
बीच	keskusta	बीच	keskusta	ADV;NOM;MASC;SG;3	N;NOM;SG
बीच	center	बीच	center	ADV;NOM;MASC;SG;3	N;NOM;SG
गए	mennyt	जा	mennä	V;PFV;MASC;PL;V.PTCP;ACT	V;NOM;SG;V.PTCP;ACT
गए	poissa	जा	poissa	V;PFV;MASC;PL;V.PTCP;ACT	ADV
गए	meni	जा	mennä	V;PFV;MASC;PL;V.PTCP;ACT	V;IND;SG;3;PST;FIN;ACT
मुख्य	päällikkö	मुख्य	päällikkö	PROPN;NOM;MASC;SG;3	N;NOM;SG
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	N;NOM;SG
मुख्य	pääasialliset	मुख्य	pää#asiallinen	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
मुख्य	pääasiallinen	मुख्य	pää#asiallinen	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
मुख्य	tärkein	मुख्य	tärkeä	PROPN;NOM;MASC;SG;3	ADJ;NOM;RL;SG
मुख्य	tärkeimmät	मुख्य	tärkeä	PROPN;NOM;MASC;SG;3	ADJ;NOM;RL;PL
थी	oli	था	olla	V;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
बिहार	bihar	बिहार	bihar	PROPN;NOM;MASC;SG;3	N;NOM;SG
उसे	hänet	वह	hän	PRO;SG;3	PRO;ACC;SG;3
उसे	hänen	वह	hän	PRO;SG;3	PRO;GEN;SG;3
कार्य	tehtäviä	कार्य	tehtävä	N;NOM;MASC;SG;3	N;PRT;PL
कार्य	tehtävien	कार्य	tehtävä	N;NOM;MASC;SG;3	N;GEN;PL
कार्य	tehtävät	कार्य	tehtävä	N;NOM;MASC;SG;3	N;NOM;PL
कार्य	työtä	कार्य	työ	N;NOM;MASC;SG;3	N;PRT;SG
कार्य	työn	कार्य	työ	N;NOM;MASC;SG;3	N;GEN;SG
कार्य	työn	कार्य	työ	N;NOM;MASC;SG;3	N;GEN;SG
कार्य	työt	कार्य	työ	N;NOM;MASC;SG;3	N;NOM;PL
कार्य	työtä	कार्य	työ	N;NOM;MASC;SG;3	N;PRT;SG
कार्य	työpaikkoja	कार्य	työ#paikka	N;NOM;MASC;SG;3	N;PRT;PL
कार्य	työt	कार्य	työ	N;NOM;MASC;SG;3	N;NOM;PL
कार्य	työpaikat	कार्य	työ#paikka	N;NOM;MASC;SG;3	N;NOM;PL
कार्य	tehtävän	कार्य	tehtävä	N;NOM;MASC;SG;3	N;GEN;SG
उनकी	heidän	वह	hän	PRO;FEM;SG;3;FORM	PRO;GEN;PL;3
उनकी	niiden	वह	se	PRO;FEM;SG;3;FORM	PRO;GEN;PL
आंध्र	andra	आंध्र	andra	PROPN;NOM;MASC;SG;3	
नगर	city	नगर	city	N;NOM;MASC;SG;3	PROPN;NOM;SG
उपयोग	käyttää	उपयोग	käyttää	N;NOM;MASC;SG;3	V;IND;SG;PRS;FIN;ACT
उपयोग	käytä	उपयोग	käyttää	N;NOM;MASC;SG;3	V;IMP;SG;2;FIN;ACT
उपयोग	käytettävä	उपयोग	käyttää	N;NOM;MASC;SG;3	V;NOM;SG;V.PTCP;PASS
उपयोग	käyttää	उपयोग	käyttää	N;NOM;MASC;SG;3	V;IND;SG;PRS;FIN;ACT
उपयोग	käyttötarkoitukset	उपयोग	käyttö#tarkoitus	N;NOM;MASC;SG;3	N;NOM;PL
लोगों	ihmiset	लोग	ihminen	N;ACC;MASC;PL;3	N;NOM;PL
लोगों	ihmisiä	लोग	ihminen	N;ACC;MASC;PL;3	N;PRT;PL
लोगों	henkilöt	लोग	henkilö	N;ACC;MASC;PL;3	N;NOM;PL
काम	työn	काम	työ	N;NOM;MASC;SG;3	N;GEN;SG
काम	työt	काम	työ	N;NOM;MASC;SG;3	N;NOM;PL
काम	työtä	काम	työ	N;NOM;MASC;SG;3	N;PRT;SG
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	
जीवन	elämää	जीवन	elämä	N;NOM;MASC;SG;3	N;PRT;SG
जीवन	elämän	जीवन	elämä	N;NOM;MASC;SG;3	N;GEN;SG
विश्व	maailmassa	विश्व	maailma	N;NOM;MASC;SG;3	N;IN+ESS;SG
विश्व	maailmaa	विश्व	maailma	N;NOM;MASC;SG;3	N;PRT;SG
विश्व	maailman	विश्व	maailma	N;NOM;MASC;SG;3	N;GEN;SG
विश्व	world	विश्व	world	N;NOM;MASC;SG;3	PROPN;NOM;SG
विश्व	maailmaan	विश्व	maailma	N;NOM;MASC;SG;3	N;IN+ALL;SG
भाग	jaksot	भाग	jakso		N;NOM;PL
भाग	osa	भाग	osa		N;NOM;SG
भाग	osaa	भाग	osata		V;IMP;SG;2;FIN;ACT
भाग	osittain	भाग	osittain		ADV
भाग	osat	भाग	osa		N;NOM;PL
भाग	osia	भाग	osa		N;PRT;PL
निर्माण	rakentaa	निर्माण	rakentaa	N;NOM;MASC;SG;3	V;SG;NFIN;ACT
निर्माण	rakenna	निर्माण	rakenna	N;NOM;MASC;SG;3	V;IMP;SG;2;FIN;ACT
दोनों	molemmat	दो	molemmat	N;ACC;MASC;PL;3	PRO;NOM;PL
दोनों	molempia	दो	molemmat	N;ACC;MASC;PL;3	PRO;PRT;PL
दोनों	kumpikin	दो	kumpikin	N;ACC;MASC;PL;3	PRO;NOM;SG
राष्ट्रीय	kansallinen	राष्ट्रीय	kansallinen	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
राष्ट्रीय	kansalliset	राष्ट्रीय	kansallinen	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
राष्ट्रीय	kansallisten	राष्ट्रीय	kansallinen	PROPN;NOM;MASC;SG;3	ADJ;GEN;PL
जानकारी	info	जानकारी	info	N;NOM;FEM;SG;3	INTJ
जानकारी	tiedot	जानकारी	tieto	N;NOM;FEM;SG;3	N;NOM;PL
जानकारी	tietoja	जानकारी	tieto	N;NOM;FEM;SG;3	N;PRT;PL
जानकारी	tiedot	जानकारी	tieto	N;NOM;FEM;SG;3	N;NOM;PL
जानकारी	tietoa	जानकारी	tieto	N;NOM;FEM;SG;3	N;PRT;SG
जानकारी	tietoja	जानकारी	tieto	N;NOM;FEM;SG;3	N;PRT;PL
पोर्टल	portaalin	पोर्टल	portaali	N;NOM;MASC;SG;3	N;GEN;SG
शहर	keskustaan	शहर	keskusta	N;NOM;MASC;SG;3	N;IN+ALL;SG
शहर	keskustassa	शहर	keskusta	N;NOM;MASC;SG;3	N;IN+ESS;SG
शहर	keskustan	शहर	keskusta	N;NOM;MASC;SG;3	N;GEN;SG
शहर	city	शहर	city	N;NOM;MASC;SG;3	PROPN;NOM;SG
शहर	kaupunkeja	शहर	kaupunki	N;NOM;MASC;SG;3	N;PRT;PL
शहर	kaupunkien	शहर	kaupunki	N;NOM;MASC;SG;3	N;GEN;PL
शहर	kaupungit	शहर	kaupunki	N;NOM;MASC;SG;3	N;NOM;PL
बार	tangot	बार	tankko	N;NOM;FEM;SG;3	N;NOM;PL
बार	baareissa	बार	baari	N;NOM;FEM;SG;3	N;IN+ESS;PL
बार	baarit	बार	baari	N;NOM;FEM;SG;3	N;NOM;PL
बार	baareja	बार	baari	N;NOM;FEM;SG;3	N;PRT;PL
बार	baariin	बार	baari	N;NOM;FEM;SG;3	N;IN+ALL;SG
बार	baarissa	बार	baari	N;NOM;FEM;SG;3	N;IN+ESS;SG
बार	baarin	बार	baari	N;NOM;FEM;SG;3	N;GEN;SG
बार	aikoja	बार	aika	N;NOM;FEM;SG;3	N;PRT;PL
बार	ajat	बार	aika	N;NOM;FEM;SG;3	N;NOM;PL
बार	kertaa	बार	kerta	N;NOM;FEM;SG;3	N;PRT;SG
बार	times	बार	times	N;NOM;FEM;SG;3	
वाली	wali	वाला	wali	ADP;NOM;FEM;SG	N;NOM;SG
लगभग	lähes	लगभग	lähes	PART	ADV
लगभग	melkein	लगभग	melkein	PART	ADV
लगभग	suunnilleen	लगभग	suunnilleen	PART	ADV
फिल्म	elokuvan	फिल्म	elo#kuva	N;NOM;FEM;SG;3	N;GEN;SG
यहाँ	täällä	यहाँ	täällä	PRO;NOM	ADV
यहाँ	tässä	यहाँ	tämä	PRO;NOM	PRO;IN+ESS;SG
विकास	kehitystä	विकास	kehitys	N;NOM;MASC;SG;3	N;PRT;SG
विकास	kasvuun	विकास	kasvu	N;NOM;MASC;SG;3	N;IN+ALL;SG
