tlenu	oksijen	tlen	oksij	N;GEN;MASC;SG	
pfalz	pfalz	pfalzyć	pfalz	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
zabrze	zabrze	zabrze	zabüz	PROPN;NOM;MASC;SG	
iran	iran	iran	iran	PROPN;NOM;MASC;SG	
han	han	han	han	PROPN;NOM;MASC;SG	
pisanie	daktilo	pisać	daktilo	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	
pisanie	yazma	pisać	yazma	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	
pisanie	yazma	pisać	yazma	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	
pisanie	yazmak	pisać	yaz	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;PFV;NOM;IND;POS;PRS;V.MSDR
pisanie	yazı	pisać	yazı	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	
pisanie	yazmaya	pisać	yaz	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	ADV
olympic	olimpiyat	olympic	olimpiyat		N;NOM;SG;3
olympic	olimpik	olympic	ol		N;NOM;SG;3
słownika	sözlük	słownik	sözlük	N;GEN;MASC;SG	N;NOM;SG;3
słownika	sözlüğü	słownik	sözlük	N;GEN;MASC;SG	N;NOM;SG;3
dochód	gelir	dochód	gel	N;NOM;MASC;SG	
dochód	gelir	dochód	gel	N;NOM;MASC;SG	
winter	winter	winter	winte		PROPN;NOM;SG;3
poprawki	düzeltme	poprawka	düzel	N;ACC;FEM;PL	V;PFV;IMP;SG;2;POS;PRS;CAUS
samolotem	uçak	samolot	uçak	N;INS;MASC;SG	N;NOM;SG;3
samolotem	uçak	samolot	uçak	N;INS;MASC;SG	N;NOM;SG;3
samolotem	uçak	samolot	uçak	N;INS;MASC;SG	N;NOM;SG;3
zhang	zhang	zhang	zhang	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
anioł	melek	anioł	melek	N;NOM;MASC;SG	PROPN;NOM;SG;3
seattle	seattle	seatle	seat	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
łączna	kümülatif	łączny	kümülatif	ADJ;NOM;FEM;SG	
zbędne	gereksiz	zbędny	gereksiz	ADJ;NOM;NEUT;SG	
zbędne	lüzumsuz	zbędny	lüzumsuz	ADJ;NOM;NEUT;SG	
zbędne	gereksiz	zbędny	gereksiz	ADJ;NOM;NEUT;SG	
zbędne	gereksiz	zbędny	gereksiz	ADJ;NOM;NEUT;SG	
zbędne	lüzumsuz	zbędny	lüzumsuz	ADJ;NOM;NEUT;SG	
przekracza	aşıyor	przekraczać	aş	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
dzieciństwie	çocukluğum	dzieciństwo	çocukluk	N;DAT;NEUT;SG	N;NOM;SG;3
dzieciństwie	çocukluğu	dzieciństwo	çocukluk	N;DAT;NEUT;SG	N;NOM;SG;3
dzieciństwie	çocukluk	dzieciństwo	çocukluk	N;DAT;NEUT;SG	N;NOM;SG;3
santo	santo	santo	santo	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
bristol	bristol	bristol	bristol	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
centralna	merkezi	centralny	merkez	ADJ;NOM;FEM;SG	N;ACC;SG;3
centralna	merkez	centralny	merkez	ADJ;NOM;FEM;SG	
traci	traci	tracić	traci	V;IPFV;IND;SG;3;PRS;FIN;ACT	
traci	kaybediyor	tracić	kaybet	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
traci	kaybeder	tracić	kaybet	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS
działki	arsa	działka	arsa	N;ACC;FEM;PL	N;NOM;SG;3
działki	paket	działka	paket	N;ACC;FEM;PL	
działki	komplo	działka	komplo	N;ACC;FEM;PL	
działki	arsa	działka	arsa	N;ACC;FEM;PL	N;NOM;SG;3
powstać	yüksel	powstać	yüksel	V;PFV;NFIN;ACT	
krajowym	yerli	krajowy	yerli	ADJ;INS;MASC;SG	
krajowym	yurtiçi	krajowy	yurtiçi	ADJ;INS;MASC;SG	
nazwane	adında	nazwać	ad	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;ESS;SG;3
autorskie	telif	autorski	telif	ADJ;NOM;NEUT;SG	
parafie	bucaktan	paraf	bucak	N;NOM;FEM;PL	N;AT+ABL;SG;3
gilbert	gilbert	gilbert	gilbert	N;NOM;MASC;SG	
równanie	denklemleri	równać	denklem	N;NOM;NEUT;SG	N;ACC;PL;3
rzekomo	sözde	rzekomo	söz	N;DAT;FEM;PL	
więzień	tutuklu	więzienie	tutuklu	N;GEN;NEUT;PL	
więzień	tutsak	więzienie	tutsak	N;GEN;NEUT;PL	
więzień	mahkum	więzienie	mahkum	N;GEN;NEUT;PL	
więzień	esir	więzienie	esir	N;GEN;NEUT;PL	
więzień	mahkûm	więzienie	mahkûm	N;GEN;NEUT;PL	
więzień	tutuklu	więzienie	tutuklu	N;GEN;NEUT;PL	
więzień	mahkum	więzienie	mahkum	N;GEN;NEUT;PL	
więzień	mahkûm	więzienie	mahkûm	N;GEN;NEUT;PL	
więzień	hapishane	więzienie	hapishan	N;GEN;NEUT;PL	
poinformował	bilgili	poinformować	bilgili	V;PFV;MASC;IND;SG;PST;FIN;ACT	
jasno	parlak	jasno	parlak	ADV	
jasno	aydınlık	jasno	aydınlık	ADV	N;NOM;SG;3
kuba	küba	kuba	küba	PROPN;NOM;MASC;SG	
felix	felix	felix	felix	PROPN;NOM;MASC;SG	
aktualne	güncel	aktualny	güncel	ADJ;NOM;NEUT;SG	
aktualne	akım	aktualny	akım	ADJ;NOM;NEUT;SG	
aktualne	şimdiki	aktualny	şimdiki	ADJ;NOM;NEUT;SG	
aktualne	mevcut	aktualny	mevcut	ADJ;NOM;NEUT;SG	
aktualne	akıntı	aktualny	akıntı	ADJ;NOM;NEUT;SG	N;NOM;SG;3
dachau	dachau	dachau	dachau	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
przemiany	değişim	przemiać	değişim	N;ACC;FEM;SG	
przemiany	dönüşüm	przemiać	dönüşüm	N;ACC;FEM;SG	
dziwne	acayip	dziwny	acayip	ADJ;NOM;NEUT;SG	ADV
dziwne	tuhaf	dziwny	tuhaf	ADJ;NOM;NEUT;SG	N;NOM;SG;3
dziwne	garip	dziwny	garip	ADJ;NOM;NEUT;SG	
dziwne	tuhaf	dziwny	tuhaf	ADJ;NOM;NEUT;SG	N;NOM;SG;3
dziwne	garip	dziwny	garip	ADJ;NOM;NEUT;SG	
dziwne	strange	dziwny	strange	ADJ;NOM;NEUT;SG	
dziwne	tuhaf	dziwny	tuhaf	ADJ;NOM;NEUT;SG	N;NOM;SG;3
dziwne	garip	dziwny	garip	ADJ;NOM;NEUT;SG	
gerard	gérard	gerard	gürar	N;NOM;MASC;SG	
gerard	gerard	gerard	gerar	N;NOM;MASC;SG	
gerard	gerard	gerard	gerar	N;NOM;MASC;SG	
zagraniczne	yönlendiren	zagraniczny	yönlen	ADJ;NOM;NEUT;SG	V;PFV;IND;POS;PRS;V.PTCP;CAUS
zagraniczne	yabancı	zagraniczny	yabancı	ADJ;NOM;NEUT;SG	
wyrzutni	fırlatıcı	wyrzutniać	fırlatıcı	V;IPFV;IND;SG;FIN;ACT	
turynie	torino	turyn	torino	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
recenzji	değerlendirmeler	recenzja	değerlen	V;IPFV;IND;SG;2;FIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
recenzji	değerlendirme	recenzja	değerlen	V;IPFV;IND;SG;2;FIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
recenzji	yorumlar	recenzja	yorum	V;IPFV;IND;SG;2;FIN;ACT	N;NOM;PL;3
recenzji	değerlendirmeleri	recenzja	değerlen	V;IPFV;IND;SG;2;FIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
pastor	papaz	pastor	papaz	N;NOM;MASC;SG	
brzegi	kenarları	brzeg	kenar	N;NOM;MASC;PL	ADJ;NOM;PL;3
urban	kentsel	urbany	kentsel		N;NOM;SG;3
fotograf	fotoğrafçı	fotograf	fotoğrafçı	N;NOM;MASC;SG	
zaatakował	saldırdılar	zaatakować	sal	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;PL;3;POS;PST;CAUS
zaatakował	saldırdı	zaatakować	sal	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;POS;PST;CAUS
zaatakował	saldırıya	zaatakować	saldırı	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;DAT;SG;3
turystyczna	turist	turystyczny	turist	ADJ;NOM;FEM;SG	
turystyczna	turizm	turystyczny	turizm	ADJ;NOM;FEM;SG	
symboli	semboller	symbolia	sembol		N;NOM;PL;3
symboli	sembolleri	symbolia	sembol		N;ACC;PL;3
symboli	simgeler	symbolia	simge		N;NOM;PL;3
podania	uygulamalar	podać	uygulama	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;PL;3
podania	uygulamaları	podać	uygulama	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;PL;3
zabił	öldürüldü	zabić	öl	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;POS;PST;PASS
zabił	öldürülmüş	zabić	öl	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;NFH;IND;SG;3;POS;PST;PASS
zabił	öldürdüm	zabić	öl	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;1;POS;PST;CAUS
zabił	öldürdü	zabić	öl	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;POS;PST;CAUS
rzeczywistość	hakikat	rzeczywistość	hakikat	N;NOM;FEM;SG	
rzeczywistość	reality	rzeczywistość	reality	N;NOM;FEM;SG	
korporacji	şirketler	korporacja	şirket	N;GEN;FEM;SG	N;NOM;PL;3
korporacji	corporation	korporacja	corporation	N;GEN;FEM;SG	N;NOM;SG;3
ludzkości	insanlığı	ludzkość	insanlık	N;GEN;FEM;SG	N;ACC;SG;3
ludzkości	insanlık	ludzkość	insanlık	N;GEN;FEM;SG	N;NOM;SG;3
ludzkości	insanlık	ludzkość	insanlık	N;GEN;FEM;SG	N;NOM;SG;3
obserwacje	gözlem	obserwacja	gözlem	N;NOM;FEM;PL	
satelity	uydular	satelita	uy	N;ACC;FEM;PL	N;NOM;PL;3
satelity	uyduları	satelita	uy	N;ACC;FEM;PL	N;NOM;PL;3
satelity	uydu	satelita	uy	N;ACC;FEM;PL	N;NOM;SG;3
szyi	boynun	szyi	boyun		N;NOM;SG;3
młodzi	genç	młody	genç	N;NOM;MASC;PL	
młodzi	young	młody	young	N;NOM;MASC;PL	
borys	boris	borys	boris	PROPN;NOM;MASC;SG	
uznana	tanıdı	uznać	tanı	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;POS;PST
uznana	tanınan	uznać	tanı	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
uznana	tanınan	uznać	tanı	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
tożsamość	kimliği	tożsamość	kimlik	N;ACC;FEM;SG	N;NOM;SG;3
tożsamość	kimlik	tożsamość	kimlik	N;ACC;FEM;SG	N;NOM;SG;3
machine	makine	machina	makine		N;NOM;SG;3
składników	içindekiler	składnik	içindeki	N;GEN;MASC;PL	ADJ;NOM;PL;3
składników	malzeme	składnik	malzem	N;GEN;MASC;PL	
składników	malzemeleri	składnik	malzeme	N;GEN;MASC;PL	N;ACC;PL;3
składników	malzemeler	składnik	malzeme	N;GEN;MASC;PL	N;NOM;PL;3
sławy	ünlüler	sława	ünlü		ADJ;NOM;PL;3
sławy	ünlülerin	sława	ünlü		ADJ;GEN;PL;3
wykonawcy	sanatçı	wykonawca	sanatçı	N;NOM;MASC;PL	
wykonawcy	müteahhit	wykonawca	müteahhit	N;NOM;MASC;PL	
zaliczony	saydım	zaliczyć	say	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;1;POS;PST
rodríguez	rodriguez	rodríguez	rodriguez	PROPN;NOM;MASC;SG	
rodríguez	rodríguez	rodríguez	rodríguez	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
zysk	kâr	zysk	kâr	N;NOM;MASC;SG	
zysk	kar	zysk	kar	N;NOM;MASC;SG	
zysk	kâr	zysk	kâr	N;NOM;MASC;SG	
zysk	kar	zysk	kar	N;NOM;MASC;SG	
zysk	kazançlar	zysk	kazanç	N;NOM;MASC;SG	N;NOM;PL;3
ring	yüzük	ring	yüzük		N;NOM;SG;3
instruktor	eğitmen	instruktor	eğitmen	N;NOM;MASC;SG	
ludzkie	insani	ludzki	insani	ADJ;NOM;NEUT;SG	
ludzkie	insan	ludzki	insan	ADJ;NOM;NEUT;SG	N;NOM;SG;3
resztki	kalanlar	resztka	kalan	N;ACC;FEM;PL	N;NOM;PL;3
martínez	martínez	martrnez	martínez	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
dzieciństwa	çocukluğum	dzieciństwo	çocukluk	N;GEN;NEUT;SG	N;NOM;SG;3
dzieciństwa	çocukluğu	dzieciństwo	çocukluk	N;GEN;NEUT;SG	N;NOM;SG;3
dzieciństwa	çocukluk	dzieciństwo	çocukluk	N;GEN;NEUT;SG	N;NOM;SG;3
portów	limanlar	port	liman	N;GEN;MASC;PL	N;NOM;PL;3
nicholas	nicholas	nicholas	nicholas	PROPN;NOM;MASC;SG	
mateusza	matthew	mateusz	matthew	N;ACC;MASC;SG	
brać	al	brać	al	V;IPFV;NFIN;ACT	V;PFV;IMP;SG;2;POS;PRS
brać	alın	brać	al	V;IPFV;NFIN;ACT	V;PFV;IMP;PL;2;POS;PRS
specjalistów	uzmanlar	specjalista	uzman	N;ACC;MASC;PL	ADJ;NOM;PL;3
specjalistów	uzmanlara	specjalista	uzman	N;ACC;MASC;PL	ADJ;DAT;PL;3
specjalistów	profesyoneller	specjalista	profesyon	N;ACC;MASC;PL	N;NOM;PL;3
specjalistów	profesyonel	specjalista	profesyonel	N;ACC;MASC;PL	
spencer	spencer	spencer	spencer	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
wiatru	rüzgar	wiatr	rüzgar	N;GEN;MASC;SG	
wiatru	rüzgâr	wiatr	rüzgâr	N;GEN;MASC;SG	
ósmy	sekizinci	ósmy	sekizinci	ADJ;NOM;MASC;SG	
ósmy	eighth	ósmy	eighth	ADJ;NOM;MASC;SG	
syberii	sibirya	syberia	sibirya	N;GEN;FEM;SG	
tarcza	kalkan	tarczyć	kalk	N;NOM;FEM;SG	
przedstawiciela	temsilcisi	przedstawiciel	temsilci	N;ACC;MASC;SG	N;NOM;SG;3
przedstawiciela	temsilci	przedstawiciel	temsilci	N;ACC;MASC;SG	
piwo	bira	piwo	bira	N;NOM;NEUT;SG	
piwo	bira	piwo	bira	N;NOM;NEUT;SG	
piwo	biralar	piwo	bira	N;NOM;NEUT;SG	N;NOM;PL;3
arystokrata	aristokrat	arystokrata	aristokrat	N;NOM;MASC;SG	
kultur	kültürler	kultur	kültür		N;NOM;PL;3
willi	willi	willa	willi	N;GEN;FEM;SG	
willi	villalar	willa	villa	N;GEN;FEM;SG	N;NOM;PL;3
katastrof	felaketler	katastrofa	felaket	N;GEN;FEM;PL	N;NOM;PL;3
katastrof	felaketler	katastrofa	felaket	N;GEN;FEM;PL	N;NOM;PL;3
komenda	komuta	komenda	komut		N;NOM;SG;3
atlantic	atlantic	atlantic	atlantic		PROPN;NOM;SG;3
pokonać	alt	pokonać	alt	V;PFV;NFIN;ACT	
pokonać	üstesinden	pokonać	üste	V;PFV;NFIN;ACT	N;AT+ABL;SG;3
pokonać	mağlup	pokonać	mağlup	V;PFV;NFIN;ACT	ADJ
pokonać	yenilgi	pokonać	yenilgi	V;PFV;NFIN;ACT	
rysunek	fotoğraf	rysunek	fotoğraf	N;NOM;MASC;SG	
rysunek	resim	rysunek	resim	N;NOM;MASC;SG	
rysunek	resmi	rysunek	resmi	N;NOM;MASC;SG	
rysunek	çizim	rysunek	çiz	N;NOM;MASC;SG	
rysunek	figür	rysunek	figür	N;NOM;MASC;SG	
rysunek	çizim	rysunek	çiz	N;NOM;MASC;SG	
rysunek	resim	rysunek	resim	N;NOM;MASC;SG	
widząc	görmek	widzieć	gör	V;IPFV;PRS;V.CVB;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
urzędnicy	yetkililer	urzędnik	yetkili	N;NOM;MASC;PL	ADJ;NOM;PL;3
urzędnicy	görevliler	urzędnik	görevli	N;NOM;MASC;PL	ADJ;NOM;PL;3
panorama	panorama	panoram	panor	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;SG;3
gitarze	gitar	gitarz	gitar	V;IPFV;IND;SG;PRS;FIN;ACT	
dole	dole	dół	dole	V;PFV;IND;SG;PRS;FIN;ACT	
dole	altta	dół	altta	V;PFV;IND;SG;PRS;FIN;ACT	
dole	alt	dół	alt	V;PFV;IND;SG;PRS;FIN;ACT	
dole	alttaki	dół	alttaki	V;PFV;IND;SG;PRS;FIN;ACT	
dole	dibi	dół	dibi	V;PFV;IND;SG;PRS;FIN;ACT	
dole	dibe	dół	dibe	V;PFV;IND;SG;PRS;FIN;ACT	
podpis	başlık	podpis	başlık	N;ACC;MASC;SG	
podpis	açıklama	podpis	açıkla	N;ACC;MASC;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
podpis	manşet	podpis	manşet	N;ACC;MASC;SG	
podpis	imza	podpis	imza	N;ACC;MASC;SG	
znajomości	bağlantılar	znajomość	bağlantı	N;GEN;FEM;SG	N;NOM;PL;3
znajomości	bağlar	znajomość	bağla	N;GEN;FEM;SG	
znajomości	bağlantıları	znajomość	bağlantı	N;GEN;FEM;SG	N;NOM;PL;3
nigerii	nijerya	nigeria	nijer		PROPN;NOM;SG;3
potencjał	potansiyel	potencjać	potansiyel	N;ACC;MASC;SG	
włoskie	italyanca	włoski	italyanca	ADJ;NOM;NEUT;SG	ADV
włoskie	italyan	włoski	italyan	ADJ;NOM;NEUT;SG	
boeing	boeing	boeing	boeing	N;NOM;MASC;SG	
dick	sik	dick	sik	PROPN;NOM;MASC;SG	
dick	dick	dick	dick	PROPN;NOM;MASC;SG	
konie	atlara	koń	at	N;NOM;MASC;PL	N;DAT;PL;3
konie	at	koń	at	N;NOM;MASC;PL	
agresji	saldırganlık	agresja	saldırganlık	N;GEN;FEM;SG	N;NOM;SG;3
kiss	öp	kiss	öp		V;PFV;IMP;SG;2;POS;PRS
kiss	öpücük	kiss	öpücük		N;NOM;SG;3
kiss	öptüm	kiss	öptüm		V;PFV;IND;SG;1;POS;PST
rezerw	rezervleri	rezerw	rezerv		N;ACC;PL;3
kolejność	düzen	kolejność	düz	N;NOM;FEM;SG	
kolejność	emir	kolejność	imir	N;NOM;FEM;SG	
kolejność	sıralı	kolejność	sıralı	N;NOM;FEM;SG	
imigrantów	göçmenler	imigrant	göçmen	N;GEN;MASC;PL	ADJ;NOM;PL;3
imigrantów	göçmen	imigrant	göçmen	N;GEN;MASC;PL	
pogrzeb	defin	pogrzeb	defin	N;NOM;MASC;SG	
pogrzeb	cenaze	pogrzeb	cenaze	N;NOM;MASC;SG	
mostów	köprüler	most	köprü	N;GEN;MASC;PL	N;NOM;PL;3
petra	petra	petr	petra	PROPN;NOM;FEM;SG	PROPN;NOM;SG;3
bułgaria	bulgaristan	bułgarium	bulgaristan	N;NOM;FEM;SG	PROPN;NOM;SG;3
straße	straße	stras	stra	INTJ	PROPN;NOM;SG;3
kopia	kopya	kopia	kopya	N;NOM;FEM;SG	
kopia	kopyası	kopia	kopya	N;NOM;FEM;SG	
kopia	kopyala	kopia	kopyal	N;NOM;FEM;SG	V;PFV;IMP;SG;2;POS;PRS
podróżnik	yolcu	podróżnik	yolcu	N;NOM;MASC;SG	
podróżnik	yolcu	podróżnik	yolcu	N;NOM;MASC;SG	
bogate	zengin	bogaty	zengin	ADJ;NOM;NEUT;SG	
bogate	rich	bogaty	rich	ADJ;NOM;NEUT;SG	
bogate	zenginler	bogaty	zengin	ADJ;NOM;NEUT;SG	N;NOM;PL;3
odziedziczył	kalıtsal	odziedziczyć	kalıtsal	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ
delegacji	heyeti	delegacja	heyet	N;GEN;FEM;SG	N;NOM;SG;3
delegacji	heyet	delegacja	heyet	N;GEN;FEM;SG	
delegacji	heyetler	delegacja	heyet	N;GEN;FEM;SG	N;NOM;PL;3
delegacji	heyet	delegacja	heyet	N;GEN;FEM;SG	
wątek	iplik	wątek	iplik	N;ACC;MASC;SG	N;NOM;SG;3
związani	bağlanmış	związać	bağla	ADJ;NOM;MASC;PL	V;PFV;NFH;IND;SG;3;POS;PST;PASS
związani	bağlı	związać	bağlı	ADJ;NOM;MASC;PL	
ograniczone	sınırlı	ograniczyć	sınırlı	ADJ;NOM;NEUT;SG	
ograniczone	kısıtlı	ograniczyć	kısıtlı	ADJ;NOM;NEUT;SG	
ograniczone	sınırlıdır	ograniczyć	sınırlı	ADJ;NOM;NEUT;SG	
ograniczone	kısıtlı	ograniczyć	kısıtlı	ADJ;NOM;NEUT;SG	
kowalczyk	kowalczyk	kowalczyk	kowalczyk	PROPN;NOM;MASC;SG	
amerykanów	amerikalılar	amerykanin	amerikalı	N;GEN;MASC;PL	N;NOM;PL;3
dowolny	serbest	dowolny	serbest	ADJ;NOM;MASC;SG	
dowolny	herhangi	dowolny	herhangi	ADJ;NOM;MASC;SG	
alfons	alfonso	alfons	alfonso	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
amerykanin	amerikalı	amerykanin	amerikalı	N;NOM;MASC;SG	
amerykanin	amerikan	amerykanin	amerikan	N;NOM;MASC;SG	
linux	linux	linux	lin	N;NOM;MASC;SG	
teorie	teorisi	teoria	teori	N;NOM;FEM;PL	N;NOM;SG;3
teorie	kuramı	teoria	kuram	N;NOM;FEM;PL	N;NOM;SG;3
teorie	teori	teoria	teori	N;NOM;FEM;PL	N;NOM;SG;3
teorie	teorileri	teoria	teori	N;NOM;FEM;PL	N;ACC;PL;3
hierarchii	hiyerarşi	hierarchia	hiyerarş	N;GEN;FEM;SG	
centralne	merkezi	centralny	merkez	ADJ;NOM;NEUT;SG	N;ACC;SG;3
centralne	merkez	centralny	merkez	ADJ;NOM;NEUT;SG	
emilia	emilia	emilia	emilia	PROPN;NOM;FEM;SG	PROPN;NOM;SG;3
emilia	emilie	emilia	emili	PROPN;NOM;FEM;SG	PROPN;NOM;SG;3
powiązane	ilişkili	powiązać	ilişkili	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	bağlantılı	powiązać	bağlantılı	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	bağlı	powiązać	bağlı	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
