yaralar	as	yara	o	N;NOM;PL;3	DET
öfkeli	anoxado	öfkeli	anoxar		V
öfkeli	enfadada	öfkeli	enfadar		V
kıvılcım	chispa	kıvılcım	chispa		N
büro	despacho	büro	despacho		N
büro	oficina	büro	oficinar		N
büro	despacho	büro	despacho		N
büro	correo	büro	correo		N
ter	suor	ter	suor		N
ter	factoría	ter	factoría		N
mare	egua	mare	egua	PROPN;NOM;SG;3	N
mare	égoa	mare	égoa	PROPN;NOM;SG;3	PROPN
tartışmak	sobre	tartış	sobre	V;PFV;NOM;IND;POS;PRS;V.MSDR	ADP
aygıt	aparello	aygıt	aparello		N
aygıt	dispositivo	aygıt	dispositivo		N
aygıt	de	aygıt	de		ADP
aygıt	historias	aygıt	historia		N
aygıt	mecanismo	aygıt	mecanismo		N
aygıt	mecanismos	aygıt	mecanismo		N
aygıt	dispositivos	aygıt	dispositivo		N
aygıt	aparellos	aygıt	aparello		N
aygıt	utensilios	aygıt	utensilio		N
sunset	solpor	sunset	solpor		N
jill	jill	jill	jill		PROPN
gözün	visual	göz	visual	N;GEN;SG;3	ADJ
kırıcı	ofensivo	kırıcı	ofensivo		ADJ
kırıcı	ofensiva	kırıcı	ofensivo		N
birgün	algún	birgün	algún		DET
birgün	día	birgün	día		N
kaçırma	secuestro	kaçırma	secuestro		N
raporları	sobre	rapor	sobre	N;ACC;PL;3	ADP
ego	ego	ego	ego		N
springer	springer	springer	springer		PROPN
yavaşça	vagar	yavaşça	vagar		V
yavaşça	lentamente	yavaşça	lentamente		ADV
yavaşça	despacio	yavaşça	despacio		ADV
yavaşça	modo	yavaşça	modo		N
yavaşça	pouco	yavaşça	pouco		ADV
yavaşça	a	yavaşça	o		DET
medikal	medicina	medikal	medicina		N
medikal	médico	medikal	médico		N
medikal	médicos	medikal	médico		N
medikal	médica	medikal	médica		N
kapılar	gates	kapı	gate	N;NOM;PL;3	PROPN
kapılar	as	kapı	o	N;NOM;PL;3	DET
göster	espectáculo	göster	espectáculo	V;PFV;IMP;PL;2;POS;PRS	N
sıtma	malaria	sıt	malaria		N
sıtma	a	sıt	o		DET
borcu	débeda	borcu	débeda		N
sıkıcı	aburrido	sıkıcı	aburrido		ADJ
sıkıcı	aburrida	sıkıcı	aburrido		ADJ
ekipman	equipamento	ekipman	equipamento		N
seksi	sexy	seks	sexy		PROPN
oku	lin	oku	lin		V
oku	ler	oku	ler		V
oku	leo	oku	lear		PROPN
oku	le	oku	le		PROPN
anaokulu	cativos	anaokulu	cativo		ADJ
dehşet	terror	dehşet	terror		N
havva	eva	havva	eve		PROPN
havva	aninovo	havva	aninovo		N
havva	data	havva	data		N
havva	véspera	havva	véspera		N
havva	noitevella	havva	noitevella		PROPN
safari	safaris	safari	safaris		N
safari	safari	safari	safar		PROPN
farz	que	farz	que		PRO
farz	supoño	farz	supor		V
farz	asumo	farz	asumo		V
testler	probando	test	probar	N;NOM;PL;3	V
poz	poder	poz	poder		V
pis	porca	pis	porco		N
pis	sucio	pis	sucio		ADJ
esmer	brown	esmer	brown		PROPN
esmer	marróns	esmer	marrón		N
esmer	marrón	esmer	marrón		N
esmer	claro	esmer	claro		ADJ
finansman	finanzas	finansman	finanzas	N;NOM;SG;3	PROPN
shirley	shirley	shirley	shirley	PROPN;NOM;SG;3	PROPN
gerçekler	feitos	gerçek	feito	ADJ;NOM;PL;3	N
gerçekler	probas	gerçek	proba	ADJ;NOM;PL;3	N
gerçekler	verdade	gerçek	verdade	ADJ;NOM;PL;3	N
gerçekler	a	gerçek	o	ADJ;NOM;PL;3	DET
edna	edna	edna	edna		PROPN
baska	máis	baska	máis		ADV
baska	outro	baska	outro		DET
baska	outra	baska	outro		DET
baska	demais	baska	demais		DET
baska	cousa	baska	cousa		N
messenger	mensaxeiro	messenger	mensaxeiro		N
cildi	pel	cildi	pel		N
cildi	ósos	cildi	óso		N
tuvalet	cuarto	tuvalet	cuarto	N;NOM;SG;3	ADJ
dikkatle	con	dikkat	con	N;INS;SG;3	ADP
saate	de	saat	de	N;DAT;SG;3	ADP
dawson	dawson	dawson	dawson		PROPN
trilyon	trillóns	trilyon	trillón		N
trilyon	de	trilyon	de		ADP
trilyon	billóns	trilyon	billón		N
filler	marchar	fil	marchar	N;NOM;PL;3	V
daniels	daniels	daniels	daniels		PROPN
kimler	quen	kim	quen		PRO
kimler	que	kim	que		PRO
sopa	quedarei	sopa	quedar		V
ergenlik	adolescencia	ergenlik	adolescencia		N
çinliler	os	çinli	o	ADJ;NOM;PL;3	DET
çinliler	chineses	çinli	chinés	ADJ;NOM;PL;3	N
çinliler	chinés	çinli	chinés	ADJ;NOM;PL;3	N
uyanık	esperta	uyanık	esperta		V
salvatore	salvatore	salvatore	salvatore		N
kargaşa	un	kargaş	un		DET
kargaşa	caos	kargaş	caos		PROPN
kargaşa	confusión	kargaş	confusión		N
tacı	coroa	tacı	coroa		N
jenkins	jenkins	jenkins	jenkins		N
serseri	un	serser	un		DET
serseri	vago	serser	vago		N
fok	focas	fok	foca		N
fok	as	fok	o		DET
fok	foca	fok	foca		N
fok	selo	fok	selo		N
fenomen	fenómeno	fenomen	fenómeno		N
imtiyaz	privilexio	imtiyaz	privilexio		N
yakalanmış	prisioneiro	yakala	prisioneiro	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N
sons	fillos	sons	fillo		N
sons	os	sons	o		DET
sons	mozos	sons	mozo		N
buck	dólar	buck	dólar		N
welt	welt	welt	welt	PROPN;NOM;SG;3	PROPN
koşar	corre	koş	currir		V
eğrisi	curva	eğri	curvar	ADJ;NOM;SG;3	N
ihbar	punta	ihbar	punta		N
ihbar	dan	ihbar	dar		V
ihbar	propinas	ihbar	propina		N
mercek	lentes	mercek	lente		N
mercek	lente	mercek	lente		N
garrett	garrett	garrett	garrett		PROPN
higgs	higgs	higgs	higgs		PROPN
higgs	de	higgs	de		ADP
genler	os	gen	o	N;NOM;PL;3	DET
tuzu	salgado	tuz	salgar		V
tuzu	sal	tuz	sal		N
raporlar	sobre	rapor	sobre	N;NOM;PL;3	ADP
minibüs	van	minibüs	ir	N;NOM;SG;3	V
minibüs	pham	minibüs	pham	N;NOM;SG;3	PROPN
mill	fábrica	mill	fábrica		N
mill	mill	mill	mill		PROPN
mill	muíño	mill	muíño		N
shake	a	shake	o		DET
imaj	imaxe	imaj	imaxe		N
kırma	romper	kırma	romper		V
kırma	o	kırma	o		DET
kırma	mesmo	kırma	mesmo		DET
konuştu	con	konuş	con	V;PFV;IND;SG;3;POS;PST	ADP
tutuklama	arresto	tutukla	arresto	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
unutma	lembrar	unut	lembrar		V
unutma	lembro	unut	lembro		V
unutma	lembra	unut	lembra		V
unutma	lembras	unut	lembra		N
haberci	mensaxeiro	haberci	mensaxeiro		N
izle	ver	izle	ver		V
izle	mirade	izle	mirade		V
izle	coidado	izle	coidado		N
izle	ten	izle	ter		V
avlanma	caza	avlan	caza	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
dolma	disecado	dolma	disecar		V
eyaletler	unidos	eyalet	unir	N;NOM;PL;3	V
eyaletler	ee	eyalet	ee	N;NOM;PL;3	PROPN
eyaletler	uu	eyalet	uu	N;NOM;PL;3	PROPN
eyaletler	eua	eyalet	eua	N;NOM;PL;3	PROPN
hormon	hormona	hormon	hormona		N
hormon	hormonal	hormon	hormonal		ADJ
hormon	hormonas	hormon	hormona		N
lay	aí	lay	aí		ADV
sertifikası	de	sertifikası	de	N;NOM;SG;3	ADP
dürbün	os	dürbün	o		DET
dürbün	prismáticos	dürbün	prismáticos		N
nakit	diñeiro	nakit	diñeiro		N
nakit	en	nakit	en		ADP
nakit	efectivo	nakit	efectivo		ADJ
nakit	contado	nakit	contado		ADJ
nakit	cartos	nakit	carto		N
nakit	suficiente	nakit	suficiente		ADJ
nakit	cobro	nakit	cobro		N
nakit	cobrar	nakit	cobrar		V
görseller	as	görsel	o	V;PFV;PL;3;POS;PRS	DET
görseller	imaxes	görsel	imaxe	V;PFV;PL;3;POS;PRS	N
mekanlar	onde	mekan	onde	N;NOM;PL;3	PRO
aynısı	mesmo	aynı	mesmo	N;NOM;SG;3	DET
aynısı	mesmas	aynı	mesmo	N;NOM;SG;3	DET
aynısı	mesma	aynı	mesmo	N;NOM;SG;3	DET
kulakları	oídos	kulak	oír	N;ACC;PL;3	V
kırıldı	roto	kır	roto	V;PFV;IND;SG;3;POS;PST;PASS	N
kırıldı	a	kır	o	V;PFV;IND;SG;3;POS;PST;PASS	DET
kırıldı	rompín	kır	rompon	V;PFV;IND;SG;3;POS;PST;PASS	PROPN
ceset	corpo	ceset	corpo		N
ceset	corporal	ceset	corporal		ADJ
ceset	cadáver	ceset	cadáver		N
ceset	corpo	ceset	corpo		N
vale	jack	vale	jack	N;NOM;SG;3	PROPN
sakal	barbas	sakal	barba		N
sakal	tipo	sakal	tipo		N
sakal	barba	sakal	barba		N
sakal	home	sakal	home		N
bardak	de	bardak	de	N;NOM;SG;3	ADP
bardak	as	bardak	o	N;NOM;SG;3	DET
corey	corey	corey	corey		PROPN
operatör	operadora	operatör	operador		ADJ
saklanır	almacénanse	saklan	almacénanse	V;IPFV;IND;SG;3;POS;PASS	PROPN
yakındaki	preto	yakındaki	preto	ADJ;ESS;SG;3	ADV
mallar	bens	mal	ben		N
mallar	luxo	mal	luxo		N
mallar	o	mal	o		DET
mallar	ben	mal	ben		ADV
cassius	cassius	cassius	cassius		PROPN
pulitzer	pulitzer	pulitzer	pulitzer	N;NOM;SG;3	V
penguen	pingüíns	penguen	pingüín		PROPN
penguen	pingüín	penguen	pingüín		N
sayar	contan	sayar	contar		V
sayar	contar	sayar	contar		V
sayar	conde	sayar	conder		PROPN
sayar	con	sayar	con		ADP
sayar	conta	sayar	conta		N
botlar	as	bot	o	N;NOM;PL;3	DET
tutku	paixón	tutku	paixón		N
antibiyotik	coa	antibiyotik	coar	N;NOM;SG;3	V
antibiyotik	dos	antibiyotik	dos	N;NOM;SG;3	PROPN
antibiyotik	os	antibiyotik	o	N;NOM;SG;3	DET
antibiyotik	dos	antibiyotik	dos	N;NOM;SG;3	PROPN
karıştı	confuso	karış	confuso	V;PFV;IND;SG;3;POS;PST	N
merhamet	a	merhamet	o	N;NOM;SG;3	DET
merhamet	misericordioso	merhamet	misericordioso	N;NOM;SG;3	ADJ
atinalı	ateniense	atin	ateniense		PROPN
melodi	melodía	melodi	melodía		N
ira	ira	ira	ir		N
aylarca	meses	aylarca	mes	ADV	N
öğrenmiş	que	öğren	que	V;PFV;NFH;IND;SG;3;POS;PST	PRO
sarışın	loira	sarışın	loira		N
aram	aram	aram	aram		N
tüketilen	de	tüket	de	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADP
maliyetleri	custa	maliyet	custar	N;NOM;PL;3	V
maliyetleri	custar	maliyet	custar	N;NOM;PL;3	V
maliyetleri	sanitarios	maliyet	sanitario	N;NOM;PL;3	ADJ
bones	ósos	bones	óso		N
umutsuz	esperanza	umutsuz	esperanza		N
umutsuz	desesperado	umutsuz	desesperar		V
umutsuz	e	umutsuz	e		CONJ
toksik	tóxicos	toksik	tóxico		ADJ
toksik	tóxica	toksik	tóxico		ADJ
tonu	ton	ton	ton		N
doz	dose	doz	dose		N
uzağa	de	uzak	de	ADJ;DAT;SG;3	ADP
uzağa	moito	uzak	moito	ADJ;DAT;SG;3	ADV
uzağa	lonxe	uzak	lonxe	ADJ;DAT;SG;3	ADV
uzağa	ata	uzak	ata	ADJ;DAT;SG;3	ADP
uzağa	lonxe	uzak	lonxe	ADJ;DAT;SG;3	ADV
yığın	pila	yığın	pila		N
yığın	feixe	yığın	feixe		N
yığın	rochas	yığın	rocha		N
yığın	de	yığın	de		ADP
yığın	da	yığın	da		V
yürüme	camiñando	yürü	camiñar		V
yürüme	pola	yürü	pola		N
yürüme	andar	yürü	andar		V
yürüme	andando	yürü	andar		V
yürüme	subindo	yürü	subir		V
yürüme	camiñaba	yürü	camiñar		V
yürüme	camiñar	yürü	camiñar		V
yürüme	polas	yürü	pola		N
şanlı	gloriosa	şanlı	glorioso		ADJ
şanlı	gloriosas	şanlı	glorioso		ADJ
madam	señora	madam	señor		N
madam	señora	madam	señor		N
madam	madame	madam	madame		N
istikrar	estabilidade	istikrar	estabilidade		N
travis	travis	travis	travis		PROPN
detaylar	roubada	detay	roubada	N;NOM;PL;3	V
sunshine	do	sunsh	do	N;DAT;SG;3	PROPN
saman	feo	saman	feo		N
hay	feo	hay	feo		N
rico	rico	rico	rico	PROPN;NOM;SG;3	ADJ
rico	ei	rico	ei	PROPN;NOM;SG;3	PROPN
edinme	adquisición	edin	adquisición	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
dereceler	16	derece	16	N;NOM;PL;3	NUM
sahilde	beach	sahilde	beach	N;ESS;SG;3	PROPN
mühür	foca	mühür	foca		N
mühür	selo	mühür	selo		N
tedbir	medidas	tedbir	medida		N
firar	fuxida	firar	fuxida		N
firar	escapar	firar	escapar		V
firar	da	firar	da		V
firar	fugarse	firar	fugarsir		N
firar	fuxir	firar	fuxir		V
firar	fuga	firar	fugar		N
isimsiz	anónimos	isimsiz	anónir		N
yıkama	a	yıka	o	V;PFV;IND;2;NEG;PRS	DET
yıkama	lavadora	yıka	lavador	V;PFV;IND;2;NEG;PRS	N
yıkama	lavado	yıka	lavado	V;PFV;IND;2;NEG;PRS	N
yıkama	lavadoras	yıka	lavador	V;PFV;IND;2;NEG;PRS	N
yıkama	roupa	yıka	roupa	V;PFV;IND;2;NEG;PRS	N
yıkama	lavado	yıka	lavado	V;PFV;IND;2;NEG;PRS	N
yıkama	lava	yıka	lavar	V;PFV;IND;2;NEG;PRS	N
yıkama	lavalo	yıka	lavalo	V;PFV;IND;2;NEG;PRS	PROPN
marta	marta	marta	marto		N
gönüllüler	voluntarios	gönüllü	voluntario	ADJ;NOM;PL;3	N
örgü	súas	örgü	seu	N;NOM;SG;3	DET
işlenmesi	procesamento	işle	procesamento	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N
tak	toc	tak	toc		PROPN
tak	knock	tak	knock		N
tak	vouche	tak	vouche		V
laurie	laurie	lauri	laurie		PROPN
hector	héctor	hector	héctor		N
pike	pike	pike	pikir		PROPN
gayrimenkul	inmobiliario	gayrimenkul	inmobiliario	N;NOM;SG;3	ADJ
durmak	parada	dur	parado	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
mack	mackie	mack	mackie		PROPN
mack	navalla	mack	navalla		N
mack	mack	mack	mack		PROPN
kaldım	por	kal	por	V;PFV;IND;SG;1;POS;PST	ADP
işsiz	no	işsiz	no		V
işsiz	paro	işsiz	paro		N
işsiz	parados	işsiz	parado		N
işsiz	aumento	işsiz	aumento		N
nerdeyse	case	nerdeyse	case		ADV
nerdeyse	case	nerdeyse	case		ADV
nerdeyse	preto	nerdeyse	preto		ADV
sevdiğini	me	sev	me	V;PFV;ACC;IND;POS;PST;V.PTCP	PRO
sevdiğini	amas	sev	ama	V;PFV;ACC;IND;POS;PST;V.PTCP	N
sevdiğini	encantábache	sev	encantábache	V;PFV;ACC;IND;POS;PST;V.PTCP	PROPN
sevmek	agarimosa	sev	agarimosar	V;PFV;NOM;IND;POS;PRS;V.MSDR	ADJ
mercy	misericordia	mercy	misericordia		N
mercy	piedade	mercy	piedade		N
mercy	misericordioso	mercy	misericordioso		ADJ
kapitalizm	o	kapitalizm	o	N;NOM;SG;3	DET
penny	a	penny	o		DET
penny	penique	penny	penique		N
penny	penny	penny	penny		PROPN
toy	xoguete	toy	xoguete		N
utanç	mágoa	utanç	mágoa		ADJ
utanç	vergoña	utanç	vergoña		N
utanç	que	utanç	que		PRO
utanç	vergoña	utanç	vergoña		N
soldaki	esquerda	soldaki	esquerda		N
soldaki	queda	soldaki	quedar		V
giriyor	violación	gir	violación	V;PROG;IND;SG;3;POS;INFM;PRS	N
hırsızlık	roubar	hırsızlık	roubar	N;NOM;SG;3	V
hırsızlık	roubando	hırsızlık	roubar	N;NOM;SG;3	V
hırsızlık	un	hırsızlık	un	N;NOM;SG;3	DET
mola	romper	mola	romper	N;NOM;SG;3	V
mola	o	mola	o	N;NOM;SG;3	DET
cömert	xenerosa	cömert	xeneroso		ADJ
diğerlerini	aos	diğer	aos	N;ACC;PL;3	PROPN
diğerlerini	outros	diğer	outro	N;ACC;PL;3	DET
diğerlerini	demais	diğer	demais	N;ACC;PL;3	DET
diğerlerini	outras	diğer	outro	N;ACC;PL;3	DET
ayaklar	os	ayak	o	N;NOM;PL;3	DET
delikanlı	tipo	delikanlı	tipo	ADJ;NOM;SG;3	N
delikanlı	mariñeiro	delikanlı	mariñeiro	ADJ;NOM;SG;3	N
denizler	alta	deniz	alto	N;NOM;PL;3	ADJ
uçtu	sobre	uç	sobre	V;PFV;IND;SG;3;POS;PST	ADP
dinozor	de	dinozor	de		ADP
dinozor	dinosauro	dinozor	dinosauro		N
dinozor	dinosauros	dinozor	dinosauro		N
tahminler	estima	tahmin	estimar	N;NOM;PL;3	V
tahminler	que	tahmin	que	N;NOM;PL;3	PRO
harabe	a	harabe	o		DET
harabe	ruínas	harabe	ruína		N
atmosferi	atmosfera	atmosferi	atmosfera		N
atmosferi	ambiente	atmosferi	ambiente		N
organizma	organismo	organizma	organismo		N
soğanlı	cebola	soğanlı	cebola		N
bedava	libre	bedava	libre		ADJ
bedava	libres	bedava	libre		ADJ
bedava	balde	bedava	balde		N
aptal	idiota	aptal	idiota		N
aptal	parvo	aptal	parvo		N
aptal	imbécil	aptal	imbécil		ADJ
aptal	parva	aptal	parva		N
aptal	parvo	aptal	parvo		N
aptal	idiota	aptal	idiota		N
aptal	toleaches	aptal	toleache		N
aptal	paspán	aptal	paspán		PROPN
aptal	tomo	aptal	tomo		N
aptal	ridículo	aptal	ridículo		N
aptal	estúpido	aptal	estúpido		ADJ
aptal	estúpida	aptal	estúpido		ADJ
aptal	estúpidos	aptal	estúpido		ADJ
aptal	parvo	aptal	parvo		N
aptal	estúpidas	aptal	estúpido		ADJ
aptal	parvadas	aptal	parvar		ADJ
aptal	parvo	aptal	parvo		N
aptal	parvos	aptal	parvo		ADJ
aptal	parvadas	aptal	parvar		ADJ
aptal	parva	aptal	parva		N
aptal	unha	aptal	un		DET
aptal	parvada	aptal	parvada		N
horn	corno	horn	corno	PROPN;NOM;SG;3	N
yerliler	indios	yerli	indio	ADJ;NOM;PL;3	N
minh	minh	minh	minh	PROPN;NOM;SG;3	PROPN
minh	vietminh	minh	vietminh	PROPN;NOM;SG;3	PROPN
auschwitz	auschwitz	auschwitz	auschwitz	PROPN;NOM;SG;3	PROPN
babalar	os	baba	o	N;NOM;PL;3	DET
çabucak	rápido	çabucak	rápido	ADV	ADJ
sürücüsü	de	sürücü	de	N;NOM;SG;3	ADP
sürücüsü	o	sürücü	o	N;NOM;SG;3	DET
konsepti	concepto	konsep	concepto		N
fili	elefante	fili	elefante		N
zum	fixarnos	zum	fixarno		N
ask	amor	ask	amor		N
ask	o	ask	o		DET
ida	ida	ida	ida		PROPN
kısıtlama	restrición	kısıtla	restrición	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
narin	delicado	narin	delicar		ADJ
narin	delicada	narin	delicado		ADJ
doris	doris	doris	doris		PROPN
bekleniyor	se	bekle	se	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	CONJ
bekleniyor	que	bekle	que	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	PRO
editörler	editores	editör	editor	ADJ;NOM;PL;3	N
pişirme	cociñar	pişir	cociñar		V
pişirme	cociña	pişir	cociñar		N
pişirme	cociñando	pişir	cociñar		V
pişirme	comida	pişir	comida		N
onbir	once	onbir	once		NUM
varsayım	hipótese	varsayım	hipótese		N
follow	seguir	follow	seguir		V
follow	seguen	follow	seguir		V
follow	siga	follow	siga		V
guzel	fermoso	guzel	fermoso		ADJ
guzel	bonita	guzel	bonita		N
guzel	fermosa	guzel	fermosa		ADJ
guzel	precioso	guzel	precioso		ADJ
guzel	fermosas	guzel	fermosa		ADJ
guzel	bonito	guzel	bonito		N
guzel	ben	guzel	ben		ADV
guzel	bonita	guzel	bonita		N
guzel	bo	guzel	bo		ADJ
guzel	boa	guzel	bo		ADJ
lisan	idioma	lisan	idioma		N
lisan	linguaxe	lisan	linguaxe		N
lisan	a	lisan	o		DET
lisan	lingua	lisan	lingua		N
bakıyorum	a	bak	o	V;PROG;IND;SG;1;POS;INFM;PRS	DET
kartlar	tarxetas	kart	tarxeta	ADJ;NOM;PL;3	N
kartlar	cartas	kart	carta	ADJ;NOM;PL;3	N
kartlar	naipes	kart	naipe	ADJ;NOM;PL;3	N
kartlar	as	kart	o	ADJ;NOM;PL;3	DET
kartlar	ás	kart	á	ADJ;NOM;PL;3	N
mile	milla	mile	milla		N
seviyor	gústalle	sev	gústalle	V;PROG;IND;SG;3;POS;INFM;PRS	ADJ
seviyor	me	sev	me	V;PROG;IND;SG;3;POS;INFM;PRS	PRO
seviyor	quéreme	sev	quéreme	V;PROG;IND;SG;3;POS;INFM;PRS	PROPN
seviyor	ama	sev	ama	V;PROG;IND;SG;3;POS;INFM;PRS	N
seviyor	quérete	sev	quérete	V;PROG;IND;SG;3;POS;INFM;PRS	PROPN
root	orixe	root	orixe		N
root	raíz	root	raíz		N
bekar	cada	bekar	cada		DET
bekar	simple	bekar	simple		ADJ
bekar	soa	bekar	só		DET
bekar	só	bekar	só		ADV
bekar	única	bekar	único		ADJ
bekar	único	bekar	único		ADJ
bunalım	depresión	bu	depresión		N
bunalım	deprimido	bu	deprimir		N
bunalım	depresión	bu	depresión		N
bunalım	posparto	bu	posparto		N
bunalım	a	bu	o		DET
bunalım	da	bu	da		V
çamaşır	lavar	çamaş	lavar		V
çamaşır	a	çamaş	o		DET
çamaşır	lavadora	çamaş	lavador		N
çamaşır	lavado	çamaş	lavado		N
çamaşır	lavadoras	çamaş	lavador		N
çamaşır	roupa	çamaş	roupa		N
çamaşır	roupa	çamaş	roupa		N
ebedi	eterna	ebe	eterno		N
ajans	axencia	ajans	axencia		N
ajans	de	ajans	de		ADP
saul	saúl	saul	saúl		PROPN
metan	metano	metan	metano		N
kazanın	gañar	kaza	gañar	N;GEN;SG;3	V
başarısızlık	por	başarısızlık	por	N;NOM;SG;3	ADP
başarısızlık	cardíacos	başarısızlık	cardíaco	N;NOM;SG;3	ADJ
başarısızlık	fracasado	başarısızlık	fracasar	N;NOM;SG;3	V
ekspres	expresar	ekspres	expresar		V
edith	edith	edith	edithr		PROPN
hizmetçi	criado	hizmetçi	criar	N;NOM;SG;3	V
hizmetçi	criada	hizmetçi	criar	N;NOM;SG;3	V
vaka	caso	vaka	caso		N
vaka	se	vaka	se		CONJ
nezaket	amabilidade	nezaket	amabilidade		N
nezaket	bondade	nezaket	bondade		N
sütlü	leite	sütlü	leite		N
etek	saia	etek	saia		V
etek	saias	etek	saio		N
inn	inn	inn	inn	N;NOM;SG;3	PROPN
inn	hotel	inn	hotel	N;NOM;SG;3	PROPN
metresi	a	metre	o		DET
metresi	señora	metre	señor		N
metresi	patroa	metre	patroa		N
boynu	pescozo	boynu	pescozo		N
boynu	par	boynu	par		N
boynu	deles	boynu	del		PROPN
boynu	caluga	boynu	caluga		N
gösterici	espectador	gösterici	espectador		N
rivers	ríos	rivers	río	PROPN;NOM;SG;3	N
rabbi	rabino	rabbi	rabino		N
bil	sabes	bil	saber		V
bil	sabe	bil	saber		V
bil	sei	bil	saber		V
bil	sabemos	bil	saber		V
vur	dispáralle	vur	dispáralle	V;PFV;IMP;SG;2;POS;PRS	ADJ
vur	éxito	vur	éxito	V;PFV;IMP;SG;2;POS;PRS	N
çıkarlarını	interesa	çıkar	interesar	N;ACC;PL;3	V
sadakat	lealdade	sadakat	lealdade		N
yard	xardín	yard	xardír		N
yard	pendente	yard	pendente		N
yard	metros	yard	metro		N
dai	dai	dai	dai		PROPN
kollar	brazos	kol	brazo		N
kollar	armas	kol	arma		N
sac	pelo	sac	pelo		N
sac	cabelo	sac	cabelo		N
hook	todos	hook	todo		DET
pier	peirao	pier	peirao		N
saklama	almacenamento	sakla	almacenamento		N
saklama	consigna	sakla	consignar		N
ipucu	punta	ipuç	punta		N
ipucu	dan	ipuç	dar		V
ipucu	propinas	ipuç	propina		N
ipucu	pista	ipuç	pistar		N
ipucu	idea	ipuç	idea		N
toplanma	reunión	toplanma	reunión	V;PFV;NOM;IND;SG;POS;PRS;V.MSDR	N
bilimadamı	científico	bil	científico		ADJ
bilimadamı	científicos	bil	científico		ADJ
bilimadamı	científica	bil	científico		ADJ
kasırga	furacán	kasırga	furacán		N
trip	a	trip	o		DET
trip	viaxe	trip	viaxe		N
işaretli	marcados	işaretli	marcar	ADJ	V
terapi	de	terapi	de	N;NOM;SG;3	ADP
genom	xenoma	genom	xenomar		N
gergin	nerviosa	gergin	nervioso		ADJ
gergin	nervioso	gergin	nervioso		ADJ
gergin	nerviosos	gergin	nervioso		ADJ
gergin	nervios	gergin	nervio		N
ağlama	chorar	ağla	chorar		V
ağlama	chores	ağla	chores		V
ağlama	choro	ağla	choro		N
ağlama	berra	ağla	berra		N
ağlama	chorando	ağla	chorar		V
ağlama	choraba	ağla	chorar		V
ağlama	chorar	ağla	chorar		V
ağlama	vergoña	ağla	vergoña		N
ağlama	choras	ağla	chora		N
ağlama	choran	ağla	chorar		V
aktarım	transferir	aktarım	transferir		V
aktarım	traslado	aktarım	traslado		N
kiralama	renda	kiralama	renda		N
kiralama	aluguer	kiralama	aluguer		PROPN
kiralama	alugar	kiralama	alugar		V
solucan	verme	solucan	verme		N
tabak	pratos	tabak	prato		N
