tine	کانٹے	tine	کانٹہ		N;NOM;MASC;SG;3
cosmological	کونیاتی	cosmological	کونیاتی	V	ADJ
cosmological	کونی	cosmological	کونی	V	PROPN;NOM;MASC;SG;3
protist	پھپوند.	protist	پھپوند.		PROPN;NOM;MASC;SG;3
hele	گاڑنا.	hele	گاڑنا.		V;MASC;SG;NFIN;ACT
grep	قبضہ	grep	قبضہ		N;NOM;MASC;SG;3
grep	تھئیٹر	grep	تھئیٹر		PROPN;NOM;MASC;SG;3
grep	روزگار-	grep	روزگار-		PROPN;NOM;MASC;SG;3
grep	نوکری	grep	نوکری		N;NOM;FEM;SG;3
grep	پکڑ	grep	پکڑ		V;ACT
grep	قبضہ	grep	قبضہ		N;NOM;MASC;SG;3
grep	تھئیٹر	grep	تھئیٹر		PROPN;NOM;MASC;SG;3
grep	روزگار-	grep	روزگار-		PROPN;NOM;MASC;SG;3
grep	نوکری	grep	نوکری		N;NOM;FEM;SG;3
treacherous	(	treacherous	(	V	
treacherous	دغاباز	treacherous	دغاباز	V	PROPN;NOM;MASC;SG;3
treacherous	برف	treacherous	برف	V	N;NOM;MASC;SG;3
treacherous	فریبی.	treacherous	فریبی.	V	PROPN;NOM;MASC;SG;3
treacherous	(	treacherous	(	V	
treacherous	دغاباز	treacherous	دغاباز	V	PROPN;NOM;MASC;SG;3
treacherous	برف	treacherous	برف	V	N;NOM;MASC;SG;3
treacherous	فریبی.	treacherous	فریبی.	V	PROPN;NOM;MASC;SG;3
treacherous	غدّار	treacherous	غدّار	V	PROPN;NOM;MASC;SG;3
ides	مئی	ides	مئی		PROPN;NOM;MASC;SG;3
pergola	منڈھا	pergola	منڈھا		PROPN;NOM;MASC;SG;3
bellows	کھنچنے	bellows	کھنچ		V;NFIN
halon	کاربن	halon	کاربن		N;NOM;MASC;SG;3
successive	متوالی	successive	متوالی	N	ADJ
mercurial	چنچل	mercurial	چنچل		PROPN;NOM;MASC;SG;3
mercurial	سیمابی	mercurial	سیمابی		ADJ
lexis	لغات.	lexis	لغاتچ		V;IPFV;MASC;SG;V.PTCP;ACT
lexis	الفاظ	lexis	لفظ		N;NOM;MASC;PL;3
mameluke	مملوک	mameluke	مملوک		PROPN;NOM;MASC;SG;3
primacy	فضیلت	primacy	فضیلت		N;NOM;MASC;SG;3
primacy	بزرگی	primacy	بزرگی		N;NOM;MASC;SG;3
primacy	بڑائی	primacy	بڑائی		V;PFV;FEM;SG;V.PTCP;ACT
primacy	برتری.	primacy	برتری.		PROPN;NOM;MASC;SG;3
rotting	ٹوکریاں	rotting	ٹوکری		N;NOM;MASC;PL;3
refutation	تردید	refutation	تردید		N;NOM;MASC;SG;3
maturation	گدرانا.	maturation	گدرانا.		PROPN;NOM;MASC;SG;3
maturation	پکنے	maturation	پک		V;NFIN;ACT
creepy	جھرجھری	creepy	جھرجھری	V	ADJ
polyphonic	مخلوط	polyphonic	مخلوط	V	ADJ
martyrdom	ایذا	martyrdom	ایذا		PROPN;NOM;MASC;SG;3
martyrdom	شہادت	martyrdom	شہادت		N;NOM;MASC;SG;3
martyrdom	شدائد.	martyrdom	شدائد.		ADJ
duelist	مبارز	duelist	مبارز		PROPN;NOM;MASC;SG;3
eminence	ٹیلا	eminence	ٹیلا	N	PROPN;NOM;MASC;SG;3
depletion	تخفیف	depletion	تخفیف		N;NOM;MASC;SG;3
depletion	تقلیل	depletion	تقلیل		PROPN;NOM;MASC;SG;3
vernal	ربیعی	vernal	ربیعی		PROPN;NOM;MASC;SG;3
vernal	بَہاری	vernal	بَہاری		PROPN;NOM;MASC;SG;3
vernal	بہاریں	vernal	بہار		V;FEM;PL;FIN;ACT
xau	بیہودہ	xau	بیہودہ		ADJ
xau	گھنائونا	xau	گھنائونا		PROPN;NOM;MASC;SG;3
xau	ڈرائونا	xau	ڈرائونا		V;MASC;SG;V.PTCP;ACT
xau	صورت	xau	صورت		N;NOM;MASC;SG;3
xau	واہیات	xau	واہیات		N;NOM;MASC;PL;3
xau	خطرناک	xau	خطرناک		ADJ
xau	خوفناک	xau	خوفناک		ADJ
xau	زشت	xau	زشت		PROPN;NOM;MASC;SG;3
xau	بھیانک	xau	بھیانک		ADJ
xau	بھدّا	xau	بھدلا		PROPN;NOM;MASC;SG;3
xau	بیہودہ	xau	بیہودہ		ADJ
xau	گھنائونا	xau	گھنائونا		PROPN;NOM;MASC;SG;3
xau	ڈرائونا	xau	ڈرائونا		V;MASC;SG;V.PTCP;ACT
xau	صورت	xau	صورت		N;NOM;MASC;SG;3
xau	واہیات	xau	واہیات		N;NOM;MASC;PL;3
xau	خطرناک	xau	خطرناک		ADJ
xau	بدنما	xau	بدنما		V;ACT
xau	خوفناک	xau	خوفناک		ADJ
xau	زشت	xau	زشت		PROPN;NOM;MASC;SG;3
xau	بھیانک	xau	بھیانک		ADJ
xau	بھدّا	xau	بھدلا		PROPN;NOM;MASC;SG;3
transom	دنبالک	transom	دنبالک		PROPN;NOM;MASC;SG;3
kipper	سُکھائی	kipper	سُکھائی		PROPN;NOM;MASC;SG;3
icky	میٹھا	icky	میٹھا		N;NOM;MASC;SG;3
icky	ناپسندیدہ.	icky	ناپسندیدہ.		PROPN;NOM;MASC;SG;3
faff	اضطرار.	faff	اضطرار.		PROPN;NOM;MASC;SG;3
ragged	گھٹیا	ragged	گھٹیا	V	ADJ
ragged	خراب-	ragged	خراب-	V	PROPN;NOM;MASC;SG;3
ragged	کھردرا.	ragged	کھردرا.	V	PROPN;NOM;MASC;SG;3
ragged	ناقص	ragged	ناقص	V	ADJ
contention	حجّت	contention	حجّت		PROPN;NOM;MASC;SG;3
contention	تنازعہ	contention	تنازعہ		N;NOM;MASC;SG;3
relativism	حق	relativism	حق		PROPN;NOM;MASC;SG;3
sequencer	آلہ.	sequencer	آلہ.		N;NOM;MASC;SG;3
sequencer	مؤلّف	sequencer	مؤلّف		PROPN;NOM;MASC;SG;3
moonstruck	سودائی.	moonstruck	سودائی.	N	PROPN;NOM;MASC;SG;3
moonstruck	جنونی	moonstruck	جنونی	N	PROPN;NOM;MASC;SG;3
unfree	ناآزاد	unfree	ناآزاد		PROPN;NOM;MASC;SG;3
mamilla	بھٹنی.	mamilla	بھٹنی.	N	PROPN;NOM;MASC;SG;3
glassy	پتھرائی	glassy	پتھرائی		ADJ
defect	کسر.	defect	کسر.	N	
defect	دھبّا	defect	دھبّا	N	PROPN;NOM;MASC;SG;3
defect	داغ.	defect	داغ.	N	
defect	کسر.	defect	کسر.	N	
defect	دھبّا	defect	دھبّا	N	PROPN;NOM;MASC;SG;3
defect	داغ.	defect	داغ.	N	
drip	ٹپکا.	drip	ٹپکا.		PROPN;NOM;MASC;SG;3
drip	مجہول	drip	مجہول		N;NOM;MASC;SG;3
plr	ہم	plr	ہم		PRO;NOM;PL;1
plr	ہمارا	plr	مےں		PRO;NOM;MASC;SG;1
plr	ہم	plr	ہم		PRO;NOM;PL;1
weakly	بیمار	weakly	بیمار		ADJ
weakly	روگی.	weakly	روگی.		PROPN;NOM;MASC;SG;3
curio	عجوبہ	curio	عجوبہ		N;NOM;MASC;SG;3
forage	جستجو.	forage	جستجو.		PROPN;NOM;MASC;SG;3
cleave	چپکا	cleave	چپکا		V;PFV;MASC;SG;V.PTCP;ACT
cleave	چمٹارہنا	cleave	چمٹارہنا		PROPN;NOM;MASC;SG;3
kink	گھونگھر	kink	گھونگھر		PROPN;NOM;MASC;SG;3
kink	مروڑا	kink	مروڑا		PROPN;NOM;MASC;SG;3
lector	لیکچرار	lector	لیکچرار		N;NOM;MASC;SG;3
implant	لگانا	implant	لگا	N	V;MASC;SG;NFIN;ACT
implant	بونا	implant	بونا	N	PROPN;NOM;MASC;SG;3
implant	ٹانکنا	implant	ٹانکنا	N	V;SG;NFIN;ACT
implant	جوڑی	implant	جوڑی	N	PROPN;NOM;MASC;SG;3
implant	لگائی	implant	لگا	N	V;PFV;FEM;SG;V.PTCP;ACT
cetacean	ڈالفن	cetacean	ڈالفن	N	PROPN;NOM;MASC;SG;3
facile	برجستہ	facile	برجستہ	N	
expresso	کالی	expresso	کالی		ADJ
geminate	تکرار	geminate	تکرار	V	N;NOM;MASC;SG;3
rhizome	جذر	rhizome	جذر		N;NOM;MASC;SG;3
gush	پُرجوش	gush	پُرجوش		ADJ
undersea	آبدوز.	undersea	آبدوز.	N	PROPN;NOM;MASC;SG;3
activism	فعالیت	activism	فعالیت		N;NOM;MASC;SG;3
seizure	قبضہ	seizure	قبضہ		N;NOM;MASC;SG;3
seizure	پکڑ	seizure	پکڑ		V;ACT
seizure	تسلط.	seizure	تسلط.		PROPN;NOM;MASC;SG;3
pacy	تیزرو	pacy	تیزرو		N;NOM;MASC;SG;3
satoh	ہرانا	satoh	ہرانا		PROPN;NOM;MASC;SG;3
vaseline	ویسلین	vaseline	ویسلین	N	PROPN;NOM;MASC;SG;3
designate	معیّن	designate	معیّن	N	PROPN;NOM;MASC;SG;3
berth	جہاز	berth	جہاز		N;NOM;MASC;SG;3
berth	اسامی-	berth	اسامی-		PROPN;NOM;MASC;SG;3
berth	تقرر	berth	تقرر		N;NOM;MASC;SG;3
ranee	رانی	ranee	رانی	V	PROPN;NOM;MASC;SG;3
dismal	افسردہ	dismal	افسردہ	N	ADJ
dismal	اندھیرا	dismal	اندھیرا	N	PROPN;NOM;MASC;SG;3
dismal	دلگیر	dismal	دلگیر	N	PROPN;NOM;MASC;SG;3
dismal	اداس	dismal	اداس	N	PROPN;NOM;MASC;SG;3
mumble	بڑبڑاہٹ	mumble	بڑبڑاہٹ	N	
abrau	رنجہ.	abrau	رنجہ.		PROPN;NOM;MASC;SG;3
volte	پھرکنت	volte	پھرکنت		PROPN;NOM;MASC;SG;3
kadi	cadiکامتبادل.	kadi	عافنکامتبادل......................................		PROPN;NOM;MASC;SG;3
kadi	قاضی	kadi	قاضی		PROPN;NOM;MASC;SG;3
billon	سونے	billon	سو		V;NFIN;ACT
inhibition	امتناع.	inhibition	امتناع.		ADJ
hight	موسوم	hight	موسوم	N	ADJ
hight	معروف.	hight	معروف.	N	PROPN;NOM;MASC;SG;3
élan	ولولہ	élan	ولولہ		PROPN;NOM;MASC;SG;3
élan	جوش	élan	جوش		N;NOM;MASC;SG;3
élan	جذبہ	élan	جذبہ		N;NOM;MASC;SG;3
allure	لبھانا	allure	لبھانا	N	PROPN;NOM;MASC;SG;3
allure	لُبھائو	allure	لُبھائو	N	PROPN;NOM;MASC;SG;3
allure	جاذبیت.	allure	جاذبیت.	N	PROPN;NOM;MASC;SG;3
plunge	ابھرنا.	plunge	ابھرنا.		V;MASC;SG;NFIN;ACT
plunge	سقوط	plunge	سقوط		PROPN;NOM;MASC;SG;3
plunge	چھلانگ.	plunge	چھلانگ.		PROPN;NOM;MASC;SG;3
plunge	اترنا	plunge	اتر		V;MASC;SG;NFIN;ACT
plunge	غوطہ	plunge	غوطہ		N;NOM;MASC;SG;3
plunge	نزول	plunge	نزول		PROPN;NOM;MASC;SG;3
brevity	ایجاز	brevity	ایجاز		N;NOM;MASC;SG;3
brevity	کمی	brevity	کمی		N;NOM;FEM;SG;3
brevity	اختصار	brevity	اختصار		N;NOM;MASC;SG;3
naira	نائرہ.	naira	نائرہ.		PROPN;NOM;MASC;SG;3
anteater	بجرکیٹ	anteater	بجرکیٹ		PROPN;NOM;MASC;SG;3
clump	گِھرنا	clump	گِھر	N	PROPN;NOM;MASC;SG;3
clump	ضرب	clump	ضرب	N	
clump	مارنا	clump	مار	N	V;MASC;SG;NFIN;ACT
corbie	کوّا	corbie	کوّا		PROPN;NOM;MASC;SG;3
cush	اختصار.	cush	اختصار.		N;NOM;MASC;SG;3
abet	اُکسانا	abet	اُکسانا		PROPN;NOM;MASC;SG;3
cracked	سڑی.	cracked	سڑی.		PROPN;NOM;MASC;SG;3
cracked	سڑی.	cracked	سڑی.		PROPN;NOM;MASC;SG;3
cracked	چٹخا	cracked	چٹخا		PROPN;NOM;MASC;SG;3
reciprocal	جوابی	reciprocal	جوابی	V	ADJ
reciprocal	متلازم	reciprocal	متلازم	V	PROPN;NOM;MASC;SG;3
reciprocal	تکمیلی	reciprocal	تکمیلی	V	ADJ
reciprocal	معکوس	reciprocal	معکوس	V	PROPN;NOM;MASC;SG;3
reciprocal	جوابی	reciprocal	جوابی	V	ADJ
reciprocal	متلازم	reciprocal	متلازم	V	PROPN;NOM;MASC;SG;3
reciprocal	تکمیلی	reciprocal	تکمیلی	V	ADJ
reciprocal	باہمی	reciprocal	باہمی	V	ADJ
reciprocal	معکوس	reciprocal	معکوس	V	PROPN;NOM;MASC;SG;3
duster	ہلکا	duster	ہلکا		ADJ;NOM;MASC;SG
malar	کلّے	malar	کلیے		PROPN;NOM;MASC;SG;3
balm	تسکین.	balm	تسکین.	N	PROPN;NOM;MASC;SG;3
geode	ارضیہ.	geode	ارضیہ.		PROPN;NOM;MASC;SG;3
genitive	مضاف	genitive	مضاف	V	N;NOM;MASC;SG;3
genitive	اضافی.	genitive	اضافیؤ	V	PROPN;NOM;MASC;SG;3
fallow	افتادہ	fallow	افتادہ	N	ADJ
principally	خصوصاً.	principally	خصوصاً.		ADV
formalism	رسمیّت	formalism	رسمیّت		PROPN;NOM;MASC;SG;3
formalism	صوریت.	formalism	صوریت.		PROPN;NOM;MASC;SG;3
caricature	خاکہ.	caricature	خاکہ.	N	
orchestration	تنظیم	orchestration	تنظیم		N;NOM;FEM;SG;3
periodicity	دورانیت	periodicity	دورانیت		PROPN;NOM;MASC;SG;3
cohesion	التصاق	cohesion	التصاق	N	PROPN;NOM;MASC;SG;3
cohesion	اتّصال	cohesion	اتّصال	N	PROPN;NOM;MASC;SG;3
wain	ویگن.	wain	ویگن.		PROPN;NOM;MASC;SG;3
wain	ارابہ	wain	ارابہ		PROPN;NOM;MASC;SG;3
sympathetic	ہمدردانہ.	sympathetic	ہمدردانہ.	V	ADJ
sympathetic	(	sympathetic	(	V	
sympathetic	حامی.	sympathetic	حامی.	V	PROPN;NOM;MASC;SG;3
sympathetic	ہمدردانہ.	sympathetic	ہمدردانہ.	V	ADJ
sympathetic	ہمدرد	sympathetic	ہمدرد	V	PROPN;NOM;MASC;SG;3
sympathetic	(	sympathetic	(	V	
sympathetic	حامی.	sympathetic	حامی.	V	PROPN;NOM;MASC;SG;3
clippers	ناخن	clippers	ناخن		N;NOM;MASC;SG;3
clippers	قینچی	clippers	قینچی		N;NOM;FEM;SG;3
awe	ہیبت-	awe	ہیبت-		PROPN;NOM;MASC;SG;3
samsara	سمسار.	samsara	سمسار.		PROPN;NOM;MASC;SG;3
bacteriology	جرثومیات	bacteriology	جرثوم		PROPN;NOM;MASC;PL;3
thresh	(	thresh	(	N	
tribology	گھسائی	tribology	گھسائی		PROPN;NOM;MASC;SG;3
tribology	رگڑ	tribology	رگڑ		N;NOM;MASC;SG;3
hashish	حشیش	hashish	حشیش		PROPN;NOM;MASC;SG;3
shastra	شاستر.	shastra	شاستر.		PROPN;NOM;MASC;SG;3
sinfonietta	مختصر	sinfonietta	مختصر		ADJ
glandular	غددی.	glandular	غددی.		PROPN;NOM;MASC;SG;3
glottal	حنجری	glottal	حنجری		PROPN;NOM;MASC;SG;3
bosh	خرافات	bosh	خراف		N;NOM;MASC;PL;3
bosh	بکواس	bosh	بکواس		PROPN;NOM;MASC;SG;3
fuhrer	قائد	fuhrer	قائد		N;NOM;MASC;SG;3
visceral	امعائی.	visceral	امعائی.		PROPN;NOM;MASC;SG;3
visceral	احشائی	visceral	احشائی		N;NOM;MASC;SG;3
visceral	بطونی	visceral	بطونی		ADJ
hẹt	پورا	hẹt	پورا		ADJ;NOM;MASC;SG
hẹt	سموچا	hẹt	سموچ		PROPN;NOM;MASC;SG;3
hẹt	کل	hẹt	کل		N;NOM;MASC;SG;3
hẹt	سالم	hẹt	سالم		PROPN;NOM;MASC;SG;3
hẹt	مکمل	hẹt	مکمل		ADJ
hẹt	پورا	hẹt	پورا		ADJ;NOM;MASC;SG
hẹt	سموچا	hẹt	سموچ		PROPN;NOM;MASC;SG;3
hẹt	کل	hẹt	کل		N;NOM;MASC;SG;3
hẹt	سالم	hẹt	سالم		PROPN;NOM;MASC;SG;3
hẹt	مکمل	hẹt	مکمل		ADJ
nipa	تاڑی.	nipa	تاڑی.		PROPN;NOM;MASC;SG;3
earthly	دنیوی	earthly	دنیوی		N;NOM;MASC;SG;3
earthly	عسیرالفہم	earthly	عسیرالفہم		PROPN;NOM;MASC;SG;3
earthly	زمینی.	earthly	زمینی.		PROPN;NOM;MASC;SG;3
cloister	مدرسے	cloister	مدرسہ		N;NOM;MASC;SG;3
prana	روح	prana	روح		N;NOM;MASC;SG;3
porch	ڈیوڑھی.	porch	ڈیوڑھی.		PROPN;NOM;MASC;SG;3
bunyip	ڈھونگیا	bunyip	ڈھونگیا		PROPN;NOM;MASC;SG;3
pragmatic	متشدد.	pragmatic	متشدد.		ADJ
carnal	جنسی	carnal	جنسی		ADJ
carnal	شہوانی.	carnal	شہوانی.		PROPN;NOM;MASC;SG;3
gist	خلاصہ	gist	خلاصہ		N;NOM;MASC;SG;3
gist	نچوڑ.	gist	نچوڑ.		PROPN;NOM;MASC;SG;3
anathema	ملعون	anathema	ملعون	N	PROPN;NOM;MASC;SG;3
anathema	مردود	anathema	مردود	N	PROPN;NOM;MASC;SG;3
anathema	لعین	anathema	لعین	N	
anathema	پھٹکار.	anathema	پھٹکار.	N	PROPN;NOM;MASC;SG;3
convergent	مرتکز	convergent	مرتکز	N	ADJ
monastic	درویشانہ	monastic	درویشانہ	N	ADJ
monastic	راہبانہ	monastic	راہبانہ	N	ADJ
nutty	پاگل	nutty	پاگل		;SG;3
nutty	دیوانہ	nutty	دیوانہ		PROPN;NOM;MASC;SG;3
fragmentary	نامربوط.	fragmentary	نامربوط.	V	ADJ
beater	ڈھلیّا.	beater	ڈھلیّا.		PROPN;NOM;MASC;SG;3
monger	بیوپاری	monger	بیوپاری		PROPN;NOM;MASC;SG;3
gecman	متضمّن.	gecman	متضمّن.	V	ADJ
gecman	متعلق	gecman	متعلق	V	ADP
anise	انیسُون.	anise	انیسُون.	N	PROPN;NOM;MASC;SG;3
waterfowl	قاز	waterfowl	قاز	N	
sadhu	فقیر	sadhu	فقیر		PROPN;NOM;MASC;SG;3
sadhu	سادھو	sadhu	سادھو		PROPN;NOM;MASC;SG;3
sadhu	بیراگی.	sadhu	بیراگی.		PROPN;NOM;MASC;SG;3
paraphrase	تکریر	paraphrase	تکریر		N;NOM;MASC;SG;3
molasses	کثیف	molasses	کثیف		N;NOM;MASC;SG;3
protractor	پٹّھا.	protractor	پٹّھا.		PROPN;NOM;MASC;SG;3
protractor	چاندا.	protractor	چاندا.		PROPN;NOM;MASC;SG;3
downy	ہوشیار.	downy	ہوشیار.		PROPN;NOM;MASC;SG;3
downy	مخملیں.	downy	مخمل		V;PL;FIN;ACT
lucid	صاف	lucid	صاف		ADJ
lucid	بین	lucid	بین		N;NOM;MASC;SG;3
lucid	واضح	lucid	واضح		ADJ
lucid	منوّر	lucid	منوّر		PROPN;NOM;MASC;SG;3
lucid	چکنی	lucid	چکنی		ADJ;FEM
cobweb	پھندا.	cobweb	پھندا.	N	PROPN;NOM;MASC;SG;3
currier	دبّاغ.	currier	دبّاغ.		PROPN;NOM;MASC;SG;3
hemp	قِنّب.	hemp	قِنّب.		PROPN;NOM;MASC;SG;3
hemp	چرس	hemp	چرس		N;NOM;MASC;SG;3
hemp	گانجا	hemp	گانجا		PROPN;NOM;MASC;SG;3
ripple	ہلکورے.	ripple	ہلکورے.	ADJ	V;SG;FIN;ACT
ripple	شکنیں.	ripple	شکنیں	ADJ	V;IND;PL;FUT;FIN;ACT
ripple	کھنکتی	ripple	کھنک	ADJ	PROPN;NOM;MASC;SG;3
ripple	سلوٹیں	ripple	سلوٹ	ADJ	N;NOM;MASC;PL;3
kingship	سلطانی	kingship	سلطانی	V	ADJ
menhir	لمبا	menhir	لمبا		ADJ;NOM;MASC
delve	نکالنا.	delve	نکال		V;MASC;SG;ACT
delve	تحقیق	delve	تحقیق		N;NOM;MASC;SG;3
delve	کھودنا	delve	کھود		V;SG;NFIN;ACT
delve	نکالنا.	delve	نکال		V;MASC;SG;ACT
delve	تحقیق	delve	تحقیق		N;NOM;MASC;SG;3
workout	زورآزمائی	workout	زورآزمائی		N;NOM;MASC;SG;3
reverb	گونج.	reverb	گونج.	N	PROPN;NOM;MASC;SG;3
tcdd	tetrachlorodibenzoparadioxin.	tcdd	tetrachlorodibenzoparadioxin.		PROPN;NOM;MASC;SG;3
brassy	گستاخ	brassy	گستاخ		PROPN;NOM;MASC;SG;3
brassy	بنکارنے	brassy	بنکار		V;ACC;NFIN
brassy	پیتلی	brassy	پیتلی		N;NOM;MASC;SG;3
arterial	بڑی.	arterial	بڑی.		V;PFV;SG;V.PTCP;ACT
arterial	شریانی.	arterial	شریانی.		PROPN;NOM;MASC;SG;3
abracadabra	زرغونہ	abracadabra	زرغونہ	N	PROPN;NOM;MASC;SG;3
invent	گھڑنا	invent	گھڑ		V;SG;NFIN;ACT
gasp	ہانپنا	gasp	ہانپنا		V;MASC;SG;NFIN;ACT
mog	بلّی.	mog	بلّی.		PROPN;NOM;MASC;SG;3
minty	نعنائی	minty	نعنائی		PROPN;NOM;MASC;SG;3
futurism	آرٹ	futurism	آرٹ		PROPN;NOM;MASC;SG;3
uro	شورش	uro	شورش		N;NOM;MASC;SG;3
uro	ہلچل	uro	ہلچل		V;ACT
wellness	سلامتی	wellness	سلامتی	N	PROPN;NOM;MASC;SG;3
chatty	بکواسی	chatty	بکواسی	ADJ	PROPN;NOM;MASC;SG;3
chatty	شگفتہ	chatty	شگفتہ	ADJ	
riverboat	بجرا	riverboat	بجرا	ADJ	PROPN;NOM;MASC;SG;3
invocation	دعا	invocation	دعا		N;NOM;FEM;SG;3
invocation	مناجات.	invocation	مناج		V;IPFV;MASC;SG;V.PTCP;ACT
plenary	مطلق	plenary	مطلق		N;NOM;MASC;SG;3
plenary	تمام	plenary	تمام		ADJ
plenary	کُلّی	plenary	کُلّی		PROPN;NOM;MASC;SG;3
phenomenological	مظہریاتی	phenomenological	مظہریاتی	V	ADJ;NOM
turpentine	ملنا.	turpentine	ملنا.		PROPN;NOM;MASC;SG;3
turpentine	پھیرنا	turpentine	پھیر		PROPN;NOM;MASC;SG;3
dispersive	انتشاری	dispersive	انتشاری	N	PROPN;NOM;MASC;SG;3
obdurate	ہٹیلا.	obdurate	ہٹیلا.		PROPN;NOM;MASC;SG;3
obdurate	اڑیل	obdurate	اڑیل		PROPN;NOM;MASC;SG;3
obdurate	ضدّی	obdurate	ضدّی		PROPN;NOM;MASC;SG;3
yds	yards	yds	yards		PROPN;NOM;MASC;SG;3
nabob	رئیس	nabob	رئیس		N;NOM;MASC;SG;3
terpene	تارپین	terpene	تارپین		PROPN;NOM;MASC;SG;3
bloomer	غلطی	bloomer	غلطی		
clank	ٹھناکا	clank	ٹھناکا		PROPN;NOM;MASC;SG;3
clank	چھناکا	clank	چھناکا		PROPN;NOM;MASC;SG;3
acrid	تندوتیز.	acrid	تندوتیز.		PROPN;NOM;MASC;SG;3
