και	si	και	sine	CONJ	
πόλη	orașul	πόλη	oraș	N;NOM;FEM;SG	N;DEF;MASC;SG
σύνδεσμοι	linkuri	σύνδεσμος	link	N;ACC;MASC;SG	N;INDF;FEM;PL
σύνδεσμοι	legaturi	σύνδεσμος	legatură	N;ACC;MASC;SG	N;INDF;FEM;PL
σύνδεσμοι	linkurile	σύνδεσμος	link	N;ACC;MASC;SG	N;DEF;FEM;PL
σύνδεσμοι	legături	σύνδεσμος	legătură	N;ACC;MASC;SG	N;INDF;FEM;PL
κάθε	fiecare	κάθε	fiecare	PRO;ACC;FEM;SG;3	PRO;SG;3
κάθε	fiecare	κάθε	fiecare	PRO;ACC;FEM;SG;3	PRO;SG;3
περιοχή	regiunea	περιοχή	regiune	N;NOM;FEM;SG	N;DEF;FEM;SG
περιοχή	regiune	περιοχή	regiune	N;NOM;FEM;SG	N;INDF;FEM;SG
περιοχή	zonă	περιοχή	zonă	N;NOM;FEM;SG	N;INDF;FEM;SG
περιοχή	zona	περιοχή	zonă	N;NOM;FEM;SG	N;DEF;FEM;SG
περιοχή	suprafață	περιοχή	suprafață	N;NOM;FEM;SG	N;INDF;FEM;SG
αιώνα	secolul	αιώνας	secol	N;ACC;MASC;SG	N;DEF;MASC;SG
αιώνα	century	αιώνας	century	N;ACC;MASC;SG	PROPN
αθήνα	atena	αθήνα	atena	PROPN;ACC;FEM;SG	PROPN
περίοδο	perioadă	περίοδος	perioadă	N;ACC;FEM;SG	N;INDF;FEM;SG
περίοδο	perioada	περίοδος	perioadă	N;ACC;FEM;SG	N;DEF;FEM;SG
όνομα	numele	όνομα	nume	N;NOM;NEUT;SG	N;DEF;MASC;SG
όνομα	denumire	όνομα	denumire	N;NOM;NEUT;SG	N;INDF;FEM;SG
όνομα	name	όνομα	name	N;NOM;NEUT;SG	
ελλάδα	grecia	ελλάδα	grecie	PROPN;ACC;FEM;SG	PROPN
μέρος	parte	μέρος	parte	N;NOM;NEUT;SG	N;INDF;FEM;SG
μέρος	partea	μέρος	parte	N;NOM;NEUT;SG	N;DEF;FEM;SG
μέρος	locul	μέρος	loc	N;NOM;NEUT;SG	N;DEF;MASC;SG
σήμερα	astazi	σήμερα	astazi	ADV	
μέσα	interior	μέσα	interior	ADV	N;INDF;MASC;SG
μέσα	înăuntru	μέσα	înăuntru	ADV	
πως	cum	πως	cum	CONJ	ADV
μαζί	împreuna	μαζί	împreuna	ADV	
μαζί	impreuna	μαζί	impreuna	ADV	
διάρκεια	durata	διάρκεια	durată	N;ACC;FEM;SG	N;DEF;FEM;SG
διάρκεια	durată	διάρκεια	durată	N;ACC;FEM;SG	N;INDF;FEM;SG
ιστορία	poveste	ιστορία	poveste	N;NOM;FEM;SG	N;INDF;FEM;SG
ιστορία	povestea	ιστορία	poveste	N;NOM;FEM;SG	N;DEF;FEM;SG
ιστορία	istoricul	ιστορία	istoric	N;NOM;FEM;SG	N;DEF;MASC;SG
ιστορία	istorie	ιστορία	istorie	N;NOM;FEM;SG	N;INDF;FEM;SG
ιστορία	istoric	ιστορία	istoric	N;NOM;FEM;SG	ADJ;INDF;MASC;SG
ιστορία	istoria	ιστορία	istorie	N;NOM;FEM;SG	N;DEF;FEM;SG
πρωτάθλημα	ligii	πρωτάθλημα	ligă	N;NOM;NEUT;SG	N;DEF;FEM;SG
πρωτάθλημα	liga	πρωτάθλημα	ligă	N;NOM;NEUT;SG	N;DEF;FEM;SG
πρωτάθλημα	ligă	πρωτάθλημα	ligă	N;NOM;NEUT;SG	N;INDF;FEM;SG
πρωτάθλημα	campionatul	πρωτάθλημα	campionat	N;NOM;NEUT;SG	N;DEF;MASC;SG
νέα	nou	νέος	nou	ADJ;NOM;NEUT;PL	ADJ;INDF;MASC;SG
νέα	noua	νέος	nou	ADJ;NOM;NEUT;PL	ADJ;DEF;FEM;SG
νέα	noi	νέος	eu	ADJ;NOM;NEUT;PL	PRO;PL;1
νέα	nouă	νέος	nou	ADJ;NOM;NEUT;PL	
νέα	ştiri	νέος	ptire	ADJ;NOM;NEUT;PL	N;INDF;FEM;PL
νέα	stiri	νέος	stire	ADJ;NOM;NEUT;PL	
νέα	noutati	νέος	noutat	ADJ;NOM;NEUT;PL	
νέα	știri	νέος	știre	ADJ;NOM;NEUT;PL	N;INDF;FEM;PL
περίπου	despre	περίπου	despre	ADV	ADP;ACC
αυτά	acestea	αυτός	acesta	PRO;NOM;NEUT;PL;3	PRO;FEM;PL;3
αυτά	aceste	αυτός	acest	PRO;NOM;NEUT;PL;3	DET;FEM;PL;3
αυτά	astea	αυτός	acesta	PRO;NOM;NEUT;PL;3	PRO;FEM;PL;3
πριν	inainte	πριν	inainte	ADV	
χωρίς	fara	χωρίς	fară	ADP	
εθνική	națională	εθνικός	național	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
εθνική	nationala	εθνικός	national	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
συζήτηση	conversatie	συζήτηση	conversatie	N;ACC;FEM;SG	N;INDF;FEM;SG
συζήτηση	conversație	συζήτηση	conversație	N;ACC;FEM;SG	N;INDF;FEM;SG
συζήτηση	discuții	συζήτηση	discuție	N;ACC;FEM;SG	N;INDF;FEM;PL
συζήτηση	discutie	συζήτηση	discutie	N;ACC;FEM;SG	N;INDF;FEM;SG
συζήτηση	discuţie	συζήτηση	discuţie	N;ACC;FEM;SG	N;INDF;FEM;SG
συζήτηση	discutii	συζήτηση	discut	N;ACC;FEM;SG	N;INDF;FEM;PL
συζήτηση	discuție	συζήτηση	discuție	N;ACC;FEM;SG	N;INDF;FEM;SG
συζήτηση	dezbateri	συζήτηση	dezbatere	N;ACC;FEM;SG	N;INDF;FEM;PL
συζήτηση	dezbatere	συζήτηση	dezbatere	N;ACC;FEM;SG	N;INDF;FEM;SG
συζήτηση	dezbaterea	συζήτηση	dezbatere	N;ACC;FEM;SG	N;DEF;FEM;SG
αρχείο	arhiva	αρχείο	arhivă	N;NOM;NEUT;SG	N;DEF;FEM;SG
αρχείο	arhivă	αρχείο	arhivă	N;NOM;NEUT;SG	N;INDF;FEM;SG
αρχείο	fișierul	αρχείο	fișier	N;NOM;NEUT;SG	N;DEF;MASC;SG
φορά	ora	φορά	oră	N;ACC;FEM;SG	N;DEF;FEM;SG
φορά	timpul	φορά	timp	N;ACC;FEM;SG	N;DEF;MASC;SG
έλληνες	grecilor	έλληνας	grec	ADJ;NOM;MASC;PL	N;DEF;MASC;PL
έλληνες	greci	έλληνας	grec	ADJ;NOM;MASC;PL	N;INDF;MASC;PL
έλληνες	grecii	έλληνας	grec	ADJ;NOM;MASC;PL	N;DEF;MASC;PL
ομάδες	grupurile	ομάδα	grup	N;NOM;FEM;PL	N;DEF;FEM;PL
ομάδες	echipele	ομάδα	echipă	N;NOM;FEM;PL	N;DEF;FEM;PL
πρώτο	primii	πρώτος	prim	NUM;NOM;NEUT;SG	NUM;DEF;MASC;PL
πρώτο	prima	πρώτος	prim	NUM;NOM;NEUT;SG	NUM;DEF;FEM;SG
πρώτο	primul	πρώτος	prim	NUM;NOM;NEUT;SG	NUM;DEF;MASC;SG
έργο	proiectului	έργο	proiect	N;NOM;NEUT;SG	N;DEF;MASC;SG
έργο	proiectul	έργο	proiect	N;NOM;NEUT;SG	N;DEF;MASC;SG
έργο	munca	έργο	muncă	N;NOM;NEUT;SG	N;DEF;FEM;SG
έργο	muncă	έργο	muncă	N;NOM;NEUT;SG	N;INDF;FEM;SG
ελληνική	greci	ελληνικός	grec	ADJ;NOM;FEM;SG	N;INDF;MASC;PL
ελληνική	grec	ελληνικός	grec	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
ελληνική	greacă	ελληνικός	greacă	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
ελληνική	greaca	ελληνικός	greacă	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
μεγάλη	mari	μεγάλος	mare	ADJ;NOM;FEM;SG	ADJ;INDF;PL
μεγάλη	big	μεγάλος	big	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
ταινία	bandă	ταινία	bandă	N;NOM;FEM;SG	N;INDF;FEM;SG
ταινία	banda	ταινία	bandă	N;NOM;FEM;SG	N;DEF;FEM;SG
ταινία	casetă	ταινία	casetă	N;NOM;FEM;SG	N;INDF;FEM;SG
ταινία	peliculă	ταινία	pelicul	N;NOM;FEM;SG	N;INDF;FEM;SG
άλλα	altele	άλλος	altul	PRO;NOM;NEUT;PL;3	PRO;FEM;PL;3
άλλα	alte	άλλος	alt	PRO;NOM;NEUT;PL;3	DET;FEM;PL;3
άλλα	alți	άλλος	alt	PRO;NOM;NEUT;PL;3	DET;MASC;PL;3
άλλα	altele	άλλος	altul	PRO;NOM;NEUT;PL;3	PRO;FEM;PL;3
άλλα	altii	άλλος	altul	PRO;NOM;NEUT;PL;3	
άλλα	alții	άλλος	altul	PRO;NOM;NEUT;PL;3	PRO;MASC;PL;3
τμήμα	departamentul	τμήμα	departament	N;NOM;NEUT;SG	N;DEF;MASC;SG
τμήμα	sectiune	τμήμα	sectiune	N;NOM;NEUT;SG	N;INDF;FEM;SG
τμήμα	secţiunea	τμήμα	secgiune	N;NOM;NEUT;SG	N;DEF;FEM;SG
τμήμα	secțiune	τμήμα	secțiune	N;NOM;NEUT;SG	N;INDF;FEM;SG
τμήμα	secţiune	τμήμα	secţiune	N;NOM;NEUT;SG	N;INDF;FEM;SG
τμήμα	secțiunea	τμήμα	secțiune	N;NOM;NEUT;SG	N;DEF;FEM;SG
σαν	like	σαν	like	ADV	
άλλες	altele	άλλος	altul	PRO;NOM;FEM;PL;3	PRO;FEM;PL;3
άλλες	alte	άλλος	alt	PRO;NOM;FEM;PL;3	DET;FEM;PL;3
άλλες	alți	άλλος	alt	PRO;NOM;FEM;PL;3	DET;MASC;PL;3
τέλος	sfârșit	τέλος	sfârșit	ADV	N;INDF;MASC;SG
τέλος	sfarsit	τέλος	sfarsi	ADV	
τέλος	final	τέλος	final	ADV	N;INDF;MASC;SG
σειρά	serie	σειρά	serie	N;ACC;FEM;SG	N;INDF;FEM;SG
σειρά	serii	σειρά	serie	N;ACC;FEM;SG	N;INDF;FEM;PL
σειρά	seria	σειρά	serie	N;ACC;FEM;SG	N;DEF;FEM;SG
σειρά	comanda	σειρά	comandă	N;ACC;FEM;SG	N;DEF;FEM;SG
σειρά	ordinea	σειρά	ordine	N;ACC;FEM;SG	N;DEF;FEM;SG
σειρά	comandă	σειρά	comandă	N;ACC;FEM;SG	N;INDF;FEM;SG
σειρά	ordine	σειρά	ordine	N;ACC;FEM;SG	N;INDF;FEM;SG
σειρά	rândul	σειρά	rând	N;ACC;FEM;SG	N;DEF;MASC;SG
στοιχεία	datele	στοιχείο	dată	N;NOM;NEUT;PL	N;DEF;FEM;PL
στοιχεία	data	στοιχείο	dată	N;NOM;NEUT;PL	N;DEF;FEM;SG
εκτός	exceptând	εκτός	excepta	ADV	V;V.MSDR
συνέχεια	continuitatea	συνέχεια	continuitate	N;ACC;FEM;SG	N;DEF;FEM;SG
συνέχεια	continuitate	συνέχεια	continuitate	N;ACC;FEM;SG	N;INDF;FEM;SG
συνέχεια	continuați	συνέχεια	continua	N;ACC;FEM;SG	V;IND;PL;2;IPFV;FIN
συνέχεια	continuă	συνέχεια	continua	N;ACC;FEM;SG	V;IND;SG;3;PST;FIN
συνέχεια	continua	συνέχεια	continua	N;ACC;FEM;SG	V;IND;SG;3;IPFV;FIN
συνέχεια	continuat	συνέχεια	continua	N;ACC;FEM;SG	ADJ;INDF;MASC;SG
κάτω	inferioară	κάτω	inferior	ADV	ADJ;INDF;FEM;SG
κάτω	dedesubt	κάτω	dedesubt	ADV	
πολλές	multi	πολύς	mult	ADJ;NOM;FEM;PL	
πολλές	mulți	πολύς	mult	ADJ;NOM;FEM;PL	PRO;MASC;PL;3
πολλές	multe	πολύς	mult	ADJ;NOM;FEM;PL	PRO;FEM;PL;3
όλα	totul	όλος	tot	ADJ;NOM;NEUT;PL	PRO;MASC;SG;3
όλα	toti	όλος	toti	ADJ;NOM;NEUT;PL	
όλα	toți	όλος	tot	ADJ;NOM;NEUT;PL	PRO;MASC;PL;3
όλα	toate	όλος	tot	ADJ;NOM;NEUT;PL	PRO;FEM;PL;3
όλα	tot	όλος	tot	ADJ;NOM;NEUT;PL	PRO;MASC;SG;3
σύστημα	sistemul	σύστημα	sistem	N;NOM;NEUT;SG	N;DEF;MASC;SG
ακόμα	inca	ακόμα	inca	ADV	
ακόμα	tot	ακόμα	tot	ADV	PRO;MASC;SG;3
φορές	timpurile	φορά	timp	N;NOM;FEM;PL	N;DEF;FEM;PL
φορές	times	φορά	times	N;NOM;FEM;PL	N;INDF;MASC;SG
ίδια	identice	ίδιος	identic	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
ίδια	identică	ίδιος	identic	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
ίδια	același	ίδιος	același	ADJ;NOM;FEM;SG	DET;MASC;SG;3
χώρα	țară	χώρα	țară	N;NOM;FEM;SG	N;INDF;FEM;SG
χώρα	tara	χώρα	tară	N;NOM;FEM;SG	N;DEF;FEM;SG
χώρα	țara	χώρα	țară	N;NOM;FEM;SG	N;DEF;FEM;SG
χώρα	ţara	χώρα	gară	N;NOM;FEM;SG	N;DEF;FEM;SG
χώρα	ţară	χώρα	ţară	N;NOM;FEM;SG	N;INDF;FEM;SG
αποτέλεσμα	rezultatul	αποτέλεσμα	rezultat	N;ACC;NEUT;SG	N;DEF;MASC;SG
αποτέλεσμα	efectul	αποτέλεσμα	efect	N;ACC;NEUT;SG	N;DEF;MASC;SG
ιανουαρίου	ianuarie	ιανουάριος	ianuarie	PROPN;GEN;MASC;SG	N;INDF;MASC;SG
αγώνες	jocurile	αγώνας	joc	N;NOM;MASC;PL	N;DEF;FEM;PL
ταινίες	filmele	ταινία	filme	N;NOM;FEM;PL	N;DEF;FEM;PL
μέσω	via	μέσω	via	ADP	
γεννήθηκε	nascut	γεννώ	naște	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;MASC;SG
γεννήθηκε	născută	γεννώ	naște	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;FEM;SG
γεννήθηκε	născut	γεννώ	naște	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;MASC;SG
ιουνίου	june	ιούνιος	june	N;GEN;MASC;SG	
αυτές	acestea	αυτός	acesta	PRO;NOM;FEM;PL;3	PRO;FEM;PL;3
αυτές	aceste	αυτός	acest	PRO;NOM;FEM;PL;3	DET;FEM;PL;3
αυτές	astea	αυτός	acesta	PRO;NOM;FEM;PL;3	PRO;FEM;PL;3
πολλά	multi	πολύς	mult	ADJ;NOM;NEUT;PL	
πολλά	mulți	πολύς	mult	ADJ;NOM;NEUT;PL	PRO;MASC;PL;3
πολλά	multe	πολύς	mult	ADJ;NOM;NEUT;PL	PRO;FEM;PL;3
απριλίου	april	απρίλιος	april	N;GEN;MASC;SG	
τρεις	three	τρεις	three	NUM;NOM;MASC;PL	N;INDF;MASC;SG
έργα	funcționează	έργο	funcționa	N;NOM;NEUT;PL	V;IND;3;PRS;FIN
έργα	proiectele	έργο	proiect	N;NOM;NEUT;PL	N;DEF;FEM;PL
χρήση	utilizează	χρήση	utiliza	N;ACC;FEM;SG	V;IND;3;PRS;FIN
χρήση	utilizarea	χρήση	utilizare	N;ACC;FEM;SG	N;DEF;FEM;SG
χρήση	folosește	χρήση	folosi	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
χρήση	utilizare	χρήση	utilizare	N;ACC;FEM;SG	N;INDF;FEM;SG
πρόεδρος	președintele	πρόεδρος	președinte	N;ACC;MASC;SG	N;DEF;MASC;SG
πρόεδρος	preşedintele	πρόεδρος	președinte	N;ACC;MASC;SG	N;DEF;MASC;SG
πολιτική	politică	πολιτική	politic	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
πολιτική	politica	πολιτική	politică	N;NOM;FEM;SG	N;DEF;FEM;SG
πολιτική	politică	πολιτική	politic	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
πολιτική	politica	πολιτική	politică	N;NOM;FEM;SG	N;DEF;FEM;SG
ακόμη	inca	ακόμα	inca	ADV	
ακόμη	tot	ακόμα	tot	ADV	PRO;MASC;SG;3
ίδιο	același	ίδιος	același	ADJ;NOM;NEUT;SG	DET;MASC;SG;3
μας	our	μου	our	PRO;GEN;MASC;PL;1	N;INDF;MASC;SG
μας	noastră	μου	meu	PRO;GEN;MASC;PL;1	DET;FEM;SG;1
μας	noastra	μου	meu	PRO;GEN;MASC;PL;1	N;DEF;FEM;SG
μας	nostru	μου	meu	PRO;GEN;MASC;PL;1	DET;MASC;SG;1
μας	noastre	μου	meu	PRO;GEN;MASC;PL;1	DET;FEM;PL;1
εκλογές	alegerile	εκλογή	alegere	N;NOM;FEM;PL	N;DEF;FEM;PL
μέλη	membrii	μέλος	membru	N;NOM;NEUT;PL	N;DEF;MASC;PL
μέλος	membră	μέλος	membră	N;NOM;NEUT;SG	N;INDF;FEM;SG
μέλος	membrul	μέλος	membru	N;NOM;NEUT;SG	N;DEF;MASC;SG
εποχή	epoca	εποχή	epocă	N;ACC;FEM;SG	N;DEF;FEM;SG
εποχή	anotimpul	εποχή	anotimp	N;ACC;FEM;SG	N;DEF;MASC;SG
εποχή	sezonul	εποχή	sezon	N;ACC;FEM;SG	N;DEF;MASC;SG
χωριό	satul	χωριό	sat	N;NOM;NEUT;SG	N;DEF;MASC;SG
χωριό	village	χωριό	villag	N;NOM;NEUT;SG	PROPN
χωριό	satului	χωριό	sat	N;NOM;NEUT;SG	N;DEF;MASC;SG
αρχικά	initial	αρχικά	initial	ADV	ADJ;INDF;MASC;SG
αρχικά	iniţial	αρχικά	iniţial	ADV	ADJ;INDF;MASC;SG
αρχικά	initial	αρχικά	initial	ADV	ADJ;INDF;MASC;SG
αρχικά	iniţial	αρχικά	iniţial	ADV	ADJ;INDF;MASC;SG
αρχικά	initiale	αρχικά	initial	ADV	ADJ;INDF;FEM;PL
περίοδος	perioadă	περίοδος	perioadă	N;NOM;FEM;SG	N;INDF;FEM;SG
περίοδος	perioada	περίοδος	perioadă	N;NOM;FEM;SG	N;DEF;FEM;SG
δήμος	comuna	δήμος	comună	N;NOM;MASC;SG	N;DEF;FEM;SG
κύπελλο	cupa	κύπελλος	cupă	N;NOM;NEUT;SG	N;DEF;FEM;SG
κύπελλο	cupă	κύπελλος	cupă	N;NOM;NEUT;SG	N;INDF;FEM;SG
κύπελλο	ceașcă	κύπελλος	ceașcă	N;NOM;NEUT;SG	N;INDF;FEM;SG
ζωή	life	ζωή	life	N;ACC;FEM;SG	
ζωή	viaţa	ζωή	viapă	N;ACC;FEM;SG	N;DEF;FEM;SG
ζωή	viaţă	ζωή	viaţă	N;ACC;FEM;SG	N;INDF;FEM;SG
ζωή	viața	ζωή	viață	N;ACC;FEM;SG	N;DEF;FEM;SG
ζωή	viață	ζωή	viață	N;ACC;FEM;SG	N;INDF;FEM;SG
ζωή	viata	ζωή	viată	N;ACC;FEM;SG	N;DEF;FEM;SG
έδρα	sedii	έδρα	sedie	N;NOM;FEM;SG	N;INDF;FEM;PL
μεγάλο	mari	μεγάλος	mare	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
μεγάλο	big	μεγάλος	big	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
βάση	baza	βάση	bază	N;ACC;FEM;SG	N;DEF;FEM;SG
βάση	bază	βάση	bază	N;ACC;FEM;SG	N;INDF;FEM;SG
κέντρο	centrul	κέντρο	centru	N;NOM;NEUT;SG	N;DEF;MASC;SG
κέντρο	centrul	κέντρο	centru	N;NOM;NEUT;SG	N;DEF;MASC;SG
κάτι	ceva	κάτι	ceva	PRO;NOM;NEUT;SG;3	PRO;SG;3
κοντά	lângă	κοντά	lângă	ADV	ADP;ACC
κοντά	închide	κοντά	închide	ADV	V;IND;SG;3;PRS;FIN
κοντά	inchide	κοντά	inchide	ADV	V;IND;SG;3;PRS;FIN
μορφή	formă	μορφή	formă	N;NOM;FEM;SG	N;INDF;FEM;SG
μορφή	forma	μορφή	formă	N;NOM;FEM;SG	N;DEF;FEM;SG
μορφή	formularul	μορφή	formular	N;NOM;FEM;SG	N;DEF;MASC;SG
μορφή	formatul	μορφή	format	N;NOM;FEM;SG	N;DEF;MASC;SG
χρόνο	ora	χρόνος	oră	N;ACC;MASC;SG	N;DEF;FEM;SG
χρόνο	timpul	χρόνος	timp	N;ACC;MASC;SG	N;DEF;MASC;SG
ιστοσελίδα	website	ιστοσελίδα	websit	N;NOM;FEM;SG	
κόμμα	petrecere	κόμμα	petrecere	N;NOM;NEUT;SG	N;INDF;FEM;SG
κόμμα	virgulă	κόμμα	virgulă	N;NOM;NEUT;SG	N;INDF;FEM;SG
γιατί	dece	γιατί	dece	CONJ	
ρόλο	rollo	ρόλος	rollo	N;ACC;MASC;SG	PROPN
ρόλο	rolul	ρόλος	rol	N;ACC;MASC;SG	N;DEF;MASC;SG
άλμπουμ	albumele	άλμπουμ	album	N;MASC;SG	N;DEF;FEM;PL
άλμπουμ	albume	άλμπουμ	album	N;MASC;SG	N;INDF;FEM;PL
έκδοση	ediția	έκδοση	ediție	N;ACC;FEM;SG	N;DEF;FEM;SG
έκδοση	ediţie	έκδοση	ediţie	N;ACC;FEM;SG	N;INDF;FEM;SG
έκδοση	editie	έκδοση	editie	N;ACC;FEM;SG	N;INDF;FEM;SG
έκδοση	ediție	έκδοση	ediție	N;ACC;FEM;SG	N;INDF;FEM;SG
έκδοση	ediţia	έκδοση	edigie	N;ACC;FEM;SG	N;DEF;FEM;SG
έκδοση	versiunea	έκδοση	versiune	N;ACC;FEM;SG	N;DEF;FEM;SG
έκδοση	versiune	έκδοση	versiune	N;ACC;FEM;SG	N;INDF;FEM;SG
γκολ	obiectivele	γκολ	obiectiv		N;DEF;FEM;PL
γκολ	goluri	γκολ	gol		N;INDF;FEM;PL
γκολ	obiective	γκολ	obiectiv		N;INDF;FEM;PL
γκολ	gol	γκολ	gol		N;INDF;MASC;SG
γκολ	obiectiv	γκολ	obiectiv		N;INDF;MASC;SG
γκολ	scopul	γκολ	scop		N;DEF;MASC;SG
αρχές	autoritățile	αρχή	autoritate	N;NOM;FEM;PL	N;DEF;FEM;PL
αρχές	autoritatile	αρχή	autoritate	N;NOM;FEM;PL	N;DEF;FEM;PL
αρχές	principiile	αρχή	princip	N;NOM;FEM;PL	N;DEF;FEM;PL
ονομασία	numele	ονομασία	nume	N;NOM;FEM;SG	N;DEF;MASC;SG
ονομασία	denumire	ονομασία	denumire	N;NOM;FEM;SG	N;INDF;FEM;SG
ονομασία	name	ονομασία	name	N;NOM;FEM;SG	
ονομασία	desemnarea	ονομασία	desemnare	N;NOM;FEM;SG	N;DEF;FEM;SG
