right	jobbra	righta	jobbra		ADV
opombe	jegyzet	opomba	jegyzet	N;NOM;FEM;PL	N;NOM;SG
opombe	hozzászólás	opomba	hozzászólás	N;NOM;FEM;PL	
opombe	megjegyzés	opomba	megjegyzés	N;NOM;FEM;PL	N;NOM;SG
opombe	lábjegyzet	opomba	lábjegyzet	N;NOM;FEM;PL	N;NOM;SG
opombe	lábjegyzeteket	opomba	lábjegyzet	N;NOM;FEM;PL	N;ACC;PL
pred	előtte	pred	előtte	ADP;INS	
pred	mielőtt	pred	mielőtt	ADP;INS	ADV
vse	mindent	ves	minden	DET;NOM;NEUT;SG	
vse	minden	ves	minden	DET;NOM;NEUT;SG	PRO;NOM;SG;3
vse	mindegyik	ves	mindegyik	DET;NOM;NEUT;SG	
vse	mind	ves	mind	DET;NOM;NEUT;SG	CONJ
vse	minden	ves	minden	DET;NOM;NEUT;SG	PRO;NOM;SG;3
center	középre	center	közép	N;NOM;MASC;SG	N;ON+ALL;SG
center	center	center	center	N;NOM;MASC;SG	
center	középre	center	közép	N;NOM;MASC;SG	N;ON+ALL;SG
viri	forrás	vir	forrás	N;NOM;MASC;PL	N;NOM;SG
viri	erőforrás	vir	erőforrás	N;NOM;MASC;PL	
ljubljana	ljubljana	ljubljana	ljubl	PROPN;NOM;FEM;SG	N;NOM;SG
prvi	először	prvi	először	ADJ;NOM;MASC;PL	ADV
prvi	első	prvi	első	ADJ;NOM;MASC;PL	ADJ;NOM;SG
proti	ellene	proti	ellen	ADP;DAT	PRO;NOM;SG;3
oktober	októberi	oktober	októberi	N;NOM;MASC;SG	ADJ;NOM;SG
oktober	októberben	oktober	október	N;NOM;MASC;SG	N;IN+ESS;SG
let	repülőút	leto	repülőú	N;GEN;NEUT;PL	N;NOM;SG
let	repülés	leto	repülés	N;GEN;NEUT;PL	N;NOM;SG
let	járat	leto	járat	N;GEN;NEUT;PL	N;NOM;SG
let	repülési	leto	repülési	N;GEN;NEUT;PL	ADJ;NOM;SG
let	évek	leto	év	N;GEN;NEUT;PL	N;NOM;PL
let	év	leto	év	N;GEN;NEUT;PL	N;NOM;SG
polk	polk	polk	polk	N;NOM;MASC;SG	
slovenski	szlovén	slovenski	szlovén	ADJ;NOM;DEF;MASC;SG	
slovenije	slovenije	slovenija	slovenije	N;NOM;FEM;PL	V;DEF;IND;SG;3;PRS;FIN;ACT
marec	márciusi	marec	márciusi	N;NOM;MASC;SG	ADJ;NOM;SG
zda	usa	zdati	usa	PROPN;GEN;FEM;PL	
veliko	sok	veliko	sok	DET	
veliko	sok	veliko	sok	DET	
veliko	sokan	veliko	sokan	DET	ADV
veliko	sok	veliko	sok	DET	
veliko	sokat	veliko	sok	DET	
veliko	veliko	veliko	veliko	DET	N;NOM;PL
avgust	augusztusban	avgust	augusztus	N;NOM;MASC;SG	N;IN+ESS;SG
avgust	august	avgust	augus	N;NOM;MASC;SG	
avgust	augustus	avgust	augustus	N;NOM;MASC;SG	
strani	oldalakon	stran	oldal	N;NOM;FEM;PL	N;ON+ESS;PL
tega	ezt	ta	ez	DET;GEN;NEUT;SG	PRO;ACC;SG;3
tega	ez	ta	ez	DET;GEN;NEUT;SG	PRO;NOM;SG;3
nekaj	néhány	nekaj	néhány	PRO;ACC;NEUT;SG	DET;INDF
nekaj	valami	nekaj	valami	PRO;ACC;NEUT;SG	
nekaj	valamit	nekaj	valamit	PRO;ACC;NEUT;SG	
januar	januári	januar	januári	N;NOM;MASC;SG	ADJ;NOM;SG
januar	januárban	januar	január	N;NOM;MASC;SG	N;IN+ESS;SG
fff	fff	fff	fff	N;NOM;MASC;SG	
december	decemberi	december	decemberi	N;NOM;MASC;SG	ADJ;NOM;SG
december	decemberben	december	december	N;NOM;MASC;SG	N;IN+ESS;SG
november	novemberi	november	novemberi	N;NOM;MASC;SG	ADJ;NOM;SG
november	novemberben	november	november	N;NOM;MASC;SG	N;IN+ESS;SG
nato	nato	nato	nato	ADV	N;NOM;SG
letih	évek	leto	év	N;ESS;NEUT;PL	N;NOM;PL
letih	év	leto	év	N;ESS;NEUT;PL	N;NOM;SG
drugi	egyéb	drug	egyéb	ADJ;NOM;MASC;SG	
drugi	más	drug	más	ADJ;NOM;MASC;SG	PRO;NOM;SG;3
drugi	másoknak	drug	más	ADJ;NOM;MASC;SG	PRO;DAT;PL;3
drugi	egyéb	drug	egyéb	ADJ;NOM;MASC;SG	
drugi	mások	drug	más	ADJ;NOM;MASC;SG	
drugi	egyebek	drug	egyéb	ADJ;NOM;MASC;SG	
april	april	april	ap	N;NOM;MASC;SG	
april	áprilisi	april	áprilisi	N;NOM;MASC;SG	ADJ;NOM;SG
april	áprilisban	april	április	N;NOM;MASC;SG	N;IN+ESS;SG
druge	egyéb	drug	egyéb	ADJ;NOM;FEM;PL	
druge	más	drug	más	ADJ;NOM;FEM;PL	PRO;NOM;SG;3
druge	másoknak	drug	más	ADJ;NOM;FEM;PL	PRO;DAT;PL;3
druge	egyéb	drug	egyéb	ADJ;NOM;FEM;PL	
druge	mások	drug	más	ADJ;NOM;FEM;PL	
druge	egyebek	drug	egyéb	ADJ;NOM;FEM;PL	
vojne	háború	vojna	háború	N;NOM;FEM;PL	N;NOM;SG
februar	februárban	februar	február	N;NOM;MASC;SG	N;IN+ESS;SG
februar	februári	februar	februári	N;NOM;MASC;SG	ADJ;NOM;SG
samo	csak	samo	csak	PART	ADV
samo	kizárólag	samo	kizárólag	PART	
samo	csak	samo	csak	PART	ADV
stoletja	évszázadok	stoletje	évszázad	N;ACC;NEUT;PL	N;NOM;PL
stoletja	évszázadokkal	stoletje	évszázad	N;ACC;NEUT;PL	N;INS;PL
okoli	körbe	okoli	kör	ADP;GEN	ADV
zajema	borító	zajema	borító	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;SG
zajema	takaró	zajema	takaró	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;SG
liga	league	liga	leag	N;NOM;FEM;SG	
dela	munkahelyi	delo	munkahelyi	N;NOM;NEUT;PL	N;NOM;SG
dela	munka	delo	munka	N;NOM;NEUT;PL	N;NOM;SG
dela	működik	delo	működik	N;NOM;NEUT;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
dela	dolgozó	delo	dolgozó	N;NOM;NEUT;PL	ADJ;NOM;SG
dela	dolgozik	delo	dolgozik	N;NOM;NEUT;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
dela	dolgozom	delo	dolgozik	N;NOM;NEUT;PL	V;INDF;IND;SG;1;PRS;FIN;ACT
dela	dolgozok	delo	dolgozik	N;NOM;NEUT;PL	V;INDF;IND;SG;1;PRS;FIN;ACT
maj	május	maj	május		N;NOM;SG
maj	májusi	maj	májusi		ADJ;NOM;SG
maj	májusban	maj	május		N;IN+ESS;SG
bolj	több	bolj	több	ADV;CMPR	DET;INDF
bolj	more	bolj	more	ADV;CMPR	
bolj	további	bolj	további	ADV;CMPR	N;NOM;SG
bolj	tobb	bolj	tobb	ADV;CMPR	
skupaj	teljes	skupaj	teljes	ADV	
skupaj	összesen	skupaj	összesen	ADV	
skupaj	együtt	skupaj	együtt	ADV	
predvsem	főként	predvsem	főként	PART	
predvsem	főleg	predvsem	főleg	PART	
predvsem	elsősorban	predvsem	elsősorban	PART	ADV
predvsem	elsődlegesen	predvsem	elsődlegesen	PART	ADJ;FRML;SG
predvsem	elsősorban	predvsem	elsősorban	PART	ADV
republike	köztársaság	republika	köztársaság	N;NOM;FEM;PL	N;NOM;SG
najbolj	legtöbb	najbolj	legtöbb	ADV;RL	
poleg	amellett	poleg	amellett	ADP;GEN	ADV
cest	utakon	cesta	út	N;GEN;FEM;PL	N;ON+ESS;PL
cest	utak	cesta	út	N;GEN;FEM;PL	N;NOM;PL
stran	oldalt	stran	oldal	N;NOM;FEM;SG	N;ACC;SG
julij	julius	julij	julius	N;NOM;MASC;SG	
julij	júliusban	julij	július	N;NOM;MASC;SG	N;IN+ESS;SG
julij	júliusi	julij	júliusi	N;NOM;MASC;SG	ADJ;NOM;SG
prebivalcev	lakói	prebivalec	lakó	N;GEN;MASC;PL	N;NOM;PL
prebivalcev	lakosok	prebivalec	lakos	N;GEN;MASC;PL	N;NOM;PL
prebivalcev	lakos	prebivalec	lakos	N;GEN;MASC;PL	N;NOM;SG
prebivalcev	lakói	prebivalec	lakó	N;GEN;MASC;PL	N;NOM;PL
prebivalcev	lakók	prebivalec	lakó	N;GEN;MASC;PL	N;NOM;PL
prebivalcev	lakosok	prebivalec	lakos	N;GEN;MASC;PL	N;NOM;PL
svetovno	világszerte	svetoven	világszerte	ADJ;NOM;NEUT;SG	
svetovno	világ	svetoven	világ	ADJ;NOM;NEUT;SG	
svetovno	world	svetoven	world	ADJ;NOM;NEUT;SG	
svetovno	vilag	svetoven	vilag	ADJ;NOM;NEUT;SG	N;NOM;SG
svetovno	global	svetoven	global	ADJ;NOM;NEUT;SG	
glede	kb	glede	kb	ADV	N;NOM;SG
glede	nagyjából	glede	nagy	ADV	N;IN+ABL;SG
leto	leto	leto	leto	N;NOM;NEUT;SG	
leto	évi	leto	évi	N;NOM;NEUT;SG	
imajo	van	imeti	van	V;IPFV;IND;PL;3;POS;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
brez	anélkül	brez	anélkül	ADP;GEN	
mesta	városokat	mesto	város	N;NOM;NEUT;PL	N;ACC;PL
vojno	háború	vojna	háború	N;ACC;FEM;SG	N;NOM;SG
primer	case	primer	case	N;NOM;MASC;SG	
sicer	máskülönben	sicer	máskülönben	PART	ADV
sicer	egyébként	sicer	egyébként	PART	ADV
sicer	másképpen	sicer	másképpen	PART	
sicer	másképp	sicer	másképp	PART	
dan	dan	dan	dan	N;NOM;MASC;SG	PROPN;NOM;SG
dan	napon	dan	nap	N;NOM;MASC;SG	N;ON+ESS;SG
dan	nappal	dan	nap	N;NOM;MASC;SG	N;INS;SG
dan	napot	dan	nap	N;NOM;MASC;SG	N;ACC;SG
imena	neveket	ime	nevék	N;NOM;NEUT;PL	N;ACC;PL
velika	nagyok	velik	nagy	ADJ;NOM;FEM;SG	N;NOM;PL
velika	nagyok	velik	nagy	ADJ;NOM;FEM;SG	N;NOM;PL
drugih	másoknak	drug	más	ADJ;GEN;MASC;PL	PRO;DAT;PL;3
drugih	egyéb	drug	egyéb	ADJ;GEN;MASC;PL	
drugih	mások	drug	más	ADJ;GEN;MASC;PL	
drugih	egyebek	drug	egyéb	ADJ;GEN;MASC;PL	
dve	kettő	dva	kettő	NUM;NOM;FEM;DU	
vseh	mindegyik	ves	mindegyik	DET;GEN;MASC;PL	
vseh	mind	ves	mind	DET;GEN;MASC;PL	CONJ
vseh	minden	ves	minden	DET;GEN;MASC;PL	PRO;NOM;SG;3
prav	jobbra	prav	jobbra	PART	ADV
junij	júniusi	junij	júniusi	N;NOM;MASC;SG	ADJ;NOM;SG
junij	june	junij	june	N;NOM;MASC;SG	
junij	júniusban	junij	június	N;NOM;MASC;SG	N;IN+ESS;SG
uss	uss	uss	uss	PROPN;NOM;MASC;SG	N;NOM;SG
jpg	jpg	jpg	jpg	N;NOM;MASC;SG	
mestu	városban	mesto	város	N;DAT;NEUT;SG	N;IN+ESS;SG
mestu	town	mesto	town	N;DAT;NEUT;SG	
mestu	város	mesto	város	N;DAT;NEUT;SG	N;NOM;SG
mestu	city	mesto	city	N;DAT;NEUT;SG	
mestu	városi	mesto	városi	N;DAT;NEUT;SG	ADJ;NOM;SG
mestu	város	mesto	város	N;DAT;NEUT;SG	N;NOM;SG
drugo	egyéb	drug	egyéb	ADJ;NOM;NEUT;SG	
drugo	más	drug	más	ADJ;NOM;NEUT;SG	PRO;NOM;SG;3
pesmi	verseket	pesem	vers	N;NOM;FEM;PL	N;ACC;PL
pesmi	dalokat	pesem	dalok	N;NOM;FEM;PL	N;ACC;PL
tri	három	trije	három	NUM;NOM;FEM;PL	NUM;NOM;SG
slovenska	szlovén	slovenski	szlovén	ADJ;NOM;FEM;SG	
slovenska	slovenska	slovenski	slovenska	ADJ;NOM;FEM;SG	
dva	kettő	dva	kettő	NUM;NOM;MASC;DU	
veliki	veliki	velik	veliki	ADJ;NOM;DEF;MASC;SG	
veliki	nagyok	velik	nagy	ADJ;NOM;DEF;MASC;SG	N;NOM;PL
slika	képet	slika	kép	N;NOM;FEM;SG	N;ACC;SG
slika	képet	slika	kép	N;NOM;FEM;SG	N;ACC;SG
katerih	ami	kateri	ami	DET;GEN;MASC;PL	PRO;NOM;SG;3
katerih	melyik	kateri	melyik	DET;GEN;MASC;PL	
katerih	mely	kateri	mely	DET;GEN;MASC;PL	
katerih	amely	kateri	amely	DET;GEN;MASC;PL	PRO;NOM;SG;3
prva	először	prvi	először	ADJ;NOM;FEM;SG	ADV
van	furgon	van	furgon		N;NOM;SG
druga	egyéb	drug	egyéb	ADJ;NOM;FEM;SG	
druga	más	drug	más	ADJ;NOM;FEM;SG	PRO;NOM;SG;3
pogosto	gyakran	pogosto	gyakran	ADV	
pogosto	gyakran	pogosto	gyakran	ADV	
pogosto	közös	pogosto	közös	ADV	
pogosto	gyakori	pogosto	gyakori	ADV	
eno	egy	en	egy	NUM;NOM;NEUT;SG	DET;INDF
življenje	life	življenje	life	N;NOM;NEUT;SG	
john	john	john	john	PROPN;NOM;MASC;SG	
john	jános	john	jános	PROPN;NOM;MASC;SG	N;NOM;SG
prvo	először	prvi	először	ADJ;ACC;NEUT;SG	ADV
prvo	első	prvi	első	ADJ;ACC;NEUT;SG	ADJ;NOM;SG
skupina	csoportban	skupina	csoport	N;NOM;FEM;SG	N;IN+ESS;SG
nagrada	díjat	nagrada	díjat	N;NOM;FEM;SG	N;ACC;SG
katerega	ami	kateri	ami	DET;GEN;MASC;SG	PRO;NOM;SG;3
katerega	melyik	kateri	melyik	DET;GEN;MASC;SG	
katerega	mely	kateri	mely	DET;GEN;MASC;SG	
katerega	amely	kateri	amely	DET;GEN;MASC;SG	PRO;NOM;SG;3
čeprav	habár	čeprav	habár	CONJ	CONJ
čeprav	habár	čeprav	habár	CONJ	CONJ
izvirno	eredeti	izviren	eredeti	ADJ;NOM;NEUT;SG	N;NOM;SG
isbn	isbn	isbn	isbn		
skupine	csoportoknak	skupina	csoport	N;NOM;FEM;PL	N;DAT;PL
von	von	von	von		
francoski	francia	francoski	francia	ADJ;NOM;DEF;MASC;SG	
francoski	franciák	francoski	francia	ADJ;NOM;DEF;MASC;SG	N;NOM;PL
ena	egy	en	egy	NUM;NOM;FEM;SG	DET;INDF
časa	ideje	čas	idő	N;GEN;MASC;SG	N;NOM;SG
časa	időpont	čas	időpont	N;GEN;MASC;SG	N;NOM;SG
časa	idő	čas	idő	N;GEN;MASC;SG	N;NOM;SG
smrti	haláleset	smrt	haláleset	N;NOM;FEM;PL	N;NOM;SG
kralj	kinga	kralj	kinga	N;NOM;MASC;SG	
eden	eden	eden	eden	NUM;NOM;MASC;SG	
eden	egy	eden	egy	NUM;NOM;MASC;SG	DET;INDF
saint	saint	saint	saint	PROPN;NOM;MASC;SG	
saint	szent	saint	szent	PROPN;NOM;MASC;SG	
kateri	ami	kateri	ami	DET;NOM;MASC;SG	PRO;NOM;SG;3
kateri	melyik	kateri	melyik	DET;NOM;MASC;SG	
kateri	mely	kateri	mely	DET;NOM;MASC;SG	
kateri	amely	kateri	amely	DET;NOM;MASC;SG	PRO;NOM;SG;3
http	http	http	http	N;NOM;MASC;SG	
skozi	át	skozi	át	ADP;ACC	ADV
decembra	december	december	december	N;GEN;MASC;SG	N;NOM;SG
decembra	decemberi	december	decemberi	N;GEN;MASC;SG	ADJ;NOM;SG
decembra	decemberben	december	december	N;GEN;MASC;SG	N;IN+ESS;SG
približno	megközelítőleg	približno	megközelítőleg	ADV	ADJ;FRML;SG
približno	hozzávetőleges	približno	hozzávetőleges	ADV	N;NOM;SG
približno	hozzávetőlegesen	približno	hozzávetőleges	ADV	ADJ;FRML;SG
približno	megközelítőleg	približno	megközelítőleg	ADV	ADJ;FRML;SG
nemški	németül	nemški	németül	ADJ;NOM;DEF;MASC;SG	
ljudi	emberek	človek	ember	N;ACC;MASC;PL	N;NOM;PL
države	államokat	država	állam	N;NOM;FEM;PL	N;ACC;PL
države	országokban	država	ország	N;NOM;FEM;PL	N;IN+ESS;PL
maja	may	maj	may	N;GEN;MASC;SG	
maja	május	maj	május	N;GEN;MASC;SG	N;NOM;SG
maja	májusi	maj	májusi	N;GEN;MASC;SG	ADJ;NOM;SG
maja	májusban	maj	május	N;GEN;MASC;SG	N;IN+ESS;SG
maja	maja	maj	maja	N;GEN;MASC;SG	
novo	novo	nov	novo	ADJ;NOM;NEUT;SG	
novo	újdonság	nov	újdonság	ADJ;NOM;NEUT;SG	N;NOM;SG
potem	aztán	potem	aztán	ADV	
pesem	verset	pesem	vers	N;NOM;FEM;SG	N;ACC;SG
pesem	dalt	pesem	dalt	N;NOM;FEM;SG	N;ACC;SG
pesem	song	pesem	song	N;NOM;FEM;SG	
švedska	svéd	švedska	svéd	ADJ;NOM;FEM;SG	
švedska	svédország	švedska	svédország	ADJ;NOM;FEM;SG	N;NOM;SG
švedska	svédország	švedska	svédország	ADJ;NOM;FEM;SG	N;NOM;SG
vas	vas	ti	vas	PRO;ACC;PL;2	
str	str	str	str		V;INDF;IND;SG;3;PRS;FIN;ACT
iii	iii	iiti	iii		
krog	kört	krog	kör	N;NOM;MASC;SG	N;ACC;SG
krog	kerek	krog	kér	N;NOM;MASC;SG	
krog	körbe	krog	kör	N;NOM;MASC;SG	ADV
teh	ezek	ta	ez	DET;GEN;MASC;PL	PRO;NOM;PL;3
teh	ezeket	ta	ez	DET;GEN;MASC;PL	PRO;ACC;PL;3
red	piros	red	piros	N;NOM;MASC;SG	
red	piroska	red	piroska	N;NOM;MASC;SG	
red	vörös	red	vörös	N;NOM;MASC;SG	
nagrado	jutalom	nagrada	jutalom	N;ACC;FEM;SG	N;NOM;SG
nagrado	díj	nagrada	díj	N;ACC;FEM;SG	N;NOM;SG
nagrado	jutalom	nagrada	jutalom	N;ACC;FEM;SG	N;NOM;SG
nagrado	nyeremény	nagrada	nyeremény	N;ACC;FEM;SG	N;NOM;SG
nagrado	díj	nagrada	díj	N;ACC;FEM;SG	N;NOM;SG
glavni	fő	glaven	fő	ADJ;NOM;DEF;MASC;SG	
glavni	main	glaven	main	ADJ;NOM;DEF;MASC;SG	
glavni	főbb	glaven	fő	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;CMPR;SG
celo	még	celo	még	PART	ADV
slovenija	szlovénia	slovenija	szlovénia	N;NOM;FEM;SG	
sam	egyedül	samo	egyedül	PART	
sam	samu	samo	samu	PART	
sam	sam	samo	sam	PART	
ivan	ivan	ivan	ivan	N;NOM;MASC;SG	PROPN;NOM;SG
ivan	iván	ivan	iván	N;NOM;MASC;SG	
skoraj	majdnem	skoraj	majdnem	PART	
skoraj	majdnem	skoraj	majdnem	PART	
knjiga	könyvet	knjiga	könyv	N;NOM;FEM;SG	N;ACC;SG
anderson	anderson	anderson	anders	N;NOM;MASC;SG	
der	der	der	der		
sistem	system	sistem	system	N;NOM;MASC;SG	
večinoma	főként	večinoma	főként	ADV	
večinoma	főleg	večinoma	főleg	ADV	
večinoma	főleg	večinoma	főleg	ADV	
večinoma	főként	večinoma	főként	ADV	
večinoma	többnyire	večinoma	többnyir	ADV	
oseb	személyek	oseba	személy	N;GEN;FEM;PL	N;NOM;PL
januarja	januári	januar	januári	N;GEN;MASC;SG	ADJ;NOM;SG
januarja	január	januar	január	N;GEN;MASC;SG	N;NOM;SG
januarja	januárban	januar	január	N;GEN;MASC;SG	N;IN+ESS;SG
živi	live	živeti	live	V;IPFV;IND;SG;3;PRS;FIN	
živi	élőben	živeti	élő	V;IPFV;IND;SG;3;PRS;FIN	N;IN+ESS;SG
živi	élő	živeti	élő	V;IPFV;IND;SG;3;PRS;FIN	
živi	életek	živeti	élet	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;PL
ford	ford	ford	ford	N;NOM;MASC;SG	PROPN;NOM;SG
julija	júliusban	julij	július	N;GEN;MASC;SG	N;IN+ESS;SG
julija	júliusi	julij	júliusi	N;GEN;MASC;SG	ADJ;NOM;SG
julija	július	julij	július	N;GEN;MASC;SG	N;NOM;SG
julija	julia	julij	julia	N;GEN;MASC;SG	
julija	júlia	julij	júlia	N;GEN;MASC;SG	N;NOM;SG
julija	juliet	julij	juliet	N;GEN;MASC;SG	
julija	júlia	julij	júlia	N;GEN;MASC;SG	N;NOM;SG
jim	jim	on	jim	PROPN;NOM;MASC;PL	
peter	peter	peter	peter	N;NOM;MASC;SG	PROPN;NOM;SG
peter	péter	peter	péter	N;NOM;MASC;SG	
grad	vár	grad	vár	N;NOM;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
grad	várban	grad	vár	N;NOM;MASC;SG	N;IN+ESS;SG
grad	castle	grad	castle	N;NOM;MASC;SG	
kmalu	nemsokára	kmalu	nemsoka	ADV	N;ON+ALL;SG
manj	kevesebben	manj	keveseb	DET	ADV
manj	kevesebb	manj	kevesebb	DET	
manj	kevesebbet	manj	kevesebb	DET	
manj	kevesebb	manj	kevesebb	DET	
manj	kevésbé	manj	kevésbé	DET	ADV
septembra	szeptemberben	september	szeptember	N;GEN;MASC;SG	N;IN+ESS;SG
septembra	szeptember	september	szeptember	N;GEN;MASC;SG	N;NOM;SG
septembra	szeptemberi	september	szeptemberi	N;GEN;MASC;SG	ADJ;NOM;SG
junija	júniusi	junij	júniusi	N;GEN;MASC;SG	ADJ;NOM;SG
junija	june	junij	june	N;GEN;MASC;SG	
junija	június	junij	június	N;GEN;MASC;SG	N;NOM;SG
junija	júniusban	junij	június	N;GEN;MASC;SG	N;IN+ESS;SG
način	mode	način	mode	N;NOM;MASC;SG	
janez	john	janez	john	PROPN;NOM;MASC;SG	
janez	jános	janez	jános	PROPN;NOM;MASC;SG	N;NOM;SG
imen	nevek	ime	név	N;GEN;NEUT;PL	N;NOM;PL
imen	neveket	ime	nevék	N;GEN;NEUT;PL	N;ACC;PL
mesa	húsok	meso	hús	N;GEN;NEUT;SG	N;NOM;PL
mesa	hús	meso	hús	N;GEN;NEUT;SG	N;NOM;SG
mesa	húst	meso	húst	N;GEN;NEUT;SG	N;ACC;SG
film	filmet	film	film	N;NOM;MASC;SG	N;ACC;SG
oktobra	októberi	oktober	októberi	N;GEN;MASC;SG	ADJ;NOM;SG
oktobra	októberben	oktober	október	N;GEN;MASC;SG	N;IN+ESS;SG
oktobra	október	oktober	október	N;GEN;MASC;SG	N;NOM;SG
vrste	faj	vrsta	faj	N;NOM;FEM;PL	N;NOM;SG
vrste	állatfaj	vrsta	állatfaj	N;NOM;FEM;PL	N;NOM;SG
sveta	szent	svet	szent	N;NOM;MASC;SG	
svetovna	világszerte	svetoven	világszerte	ADJ;NOM;FEM;SG	
svetovna	világ	svetoven	világ	ADJ;NOM;FEM;SG	
svetovna	world	svetoven	world	ADJ;NOM;FEM;SG	
svetovna	vilag	svetoven	vilag	ADJ;NOM;FEM;SG	N;NOM;SG
svetovna	global	svetoven	global	ADJ;NOM;FEM;SG	
marca	március	marec	március	N;GEN;MASC;SG	N;NOM;SG
marca	márciusi	marec	márciusi	N;GEN;MASC;SG	ADJ;NOM;SG
nahaja	található	nahajati	található	V;IPFV;IND;SG;3;PRS;FIN	ADJ;NOM;SG
verjetno	valószínű	verjetno	valószínű	ADV	
verjetno	valószínűleg	verjetno	valószínűleg	ADV	
njihova	övék	njihov	övék	DET;NOM;FEM;SG;3	N;NOM;SG
pot	utat	pot	út	N;NOM;FEM;SG	N;ACC;SG
pot	útvonalon	pot	útvonal	N;NOM;FEM;SG	N;ON+ESS;SG
pot	uton	pot	ut	N;NOM;FEM;SG	
houten	houten	houten	hout	N;NOM;MASC;SG	PROPN;NOM;SG
vsi	mindenki	ves	mindenki	DET;NOM;MASC;PL	
vsi	mindenkinek	ves	mindenki	DET;NOM;MASC;PL	
vsi	mindegyik	ves	mindegyik	DET;NOM;MASC;PL	
vsi	mind	ves	mind	DET;NOM;MASC;PL	CONJ
vsi	minden	ves	minden	DET;NOM;MASC;PL	PRO;NOM;SG;3
vsi	mindenki	ves	mindenki	DET;NOM;MASC;PL	
vsi	mindenkinek	ves	mindenki	DET;NOM;MASC;PL	
avgusta	augusztusban	avgust	augusztus	N;GEN;MASC;SG	N;IN+ESS;SG
avgusta	august	avgust	augus	N;GEN;MASC;SG	
avgusta	augusztus	avgust	augusztus	N;GEN;MASC;SG	N;NOM;SG
aprila	april	april	ap	N;GEN;MASC;SG	
aprila	április	april	április	N;GEN;MASC;SG	N;NOM;SG
aprila	áprilisi	april	áprilisi	N;GEN;MASC;SG	ADJ;NOM;SG
aprila	áprilisban	april	április	N;GEN;MASC;SG	N;IN+ESS;SG
vsebuje	tartalmaznak	vsebovati	tartalmaz	V;IPFV;IND;SG;3;PRS;FIN	V;INDF;IND;PL;3;PRS;FIN;ACT
večina	legtöbb	večina	legtöbb	N;NOM;FEM;SG	
večina	többségi	večina	többségi	N;NOM;FEM;SG	ADJ;NOM;SG
večina	többség	večina	többség	N;NOM;FEM;SG	
generalov	tábornokok	general	tábornok	N;GEN;MASC;PL	N;NOM;PL
pogovor	beszélgetést	pogovor	beszélgetés	N;NOM;MASC;SG	N;ACC;SG
pogovor	beszélni	pogovor	beszél	N;NOM;MASC;SG	V;NFIN;ACT
