stan	stane	stan	stát	N;INDF;MASC+FEM;SG	V;IND;SG;3;POS;PRS;FIN;ACT
inkluderede	zahrnuté	inkludere	zahrnutý	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS
unikke	jedinečný	unik	jedinečný	ADJ;PL	ADJ;INAN;NOM;MASC;SG;POS
unikke	unikátní	unik	unikátní	ADJ;PL	ADJ;NOM;MASC;SG;POS
unikke	jedinečná	unik	jedinečný	ADJ;PL	ADJ;NOM;FEM;SG;POS
unikke	jedinečné	unik	jedinečný	ADJ;PL	ADJ;NOM;NEUT;SG;POS
banks	banks	banks	banks	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
banks	banky	banks	banka	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL;POS
banks	bankám	banks	banka	N;INDF;MASC+FEM;SG	N;DAT;FEM;PL;POS
banks	bank	banks	banka	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL;POS
tove	lana	tov	lano	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL;POS
tove	provazy	tov	provaz	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL;POS
jupiter	jupiter	jupiter	jupiter		N;INAN;NOM;MASC;SG;POS
skygge	stíny	skygge	stín	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL;POS
anhalt	anhaltsko	anhalt	anhaltský	N;INDF;MASC+FEM;SG	PROPN;NOM;NEUT;SG;POS
betty	betty	betty	betta		PROPN;FEM;SG;POS
levet	žila	leve	žít	V;INDF;SG;PST;V.PTCP	V;POS;PST;V.PTCP;ACT
levet	žili	leve	žít	V;INDF;SG;PST;V.PTCP	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
eksperimenter	experiment	eksperiment	experiment	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG;POS
eksperimenter	pokus	eksperiment	pokus	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG;POS
eksperimenter	experimentovat	eksperiment	experimentovat	N;INDF;MASC+FEM;PL	V;IPFV;POS;NFIN
eksperimenter	experimentování	eksperiment	experimentování	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG;POS
måler	měřicí	måle	měřicí	V;IND;PRS;FIN;ACT	ADJ;NOM;MASC;SG;POS
måler	měření	måle	měření	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG;POS
måler	metr	måle	metr	V;IND;PRS;FIN;ACT	N;INAN;NOM;MASC;SG;POS
atlantic	atlantic	atlantic	atlantic		PROPN;NOM;MASC;SG;POS
atlantic	atlantik	atlantic	atlantik		N;INAN;NOM;MASC;SG;POS
helena	helena	helena	helený	N;DEF;MASC+FEM;SG	PROPN;NOM;FEM;SG;POS
helena	helena	helena	helený	N;DEF;MASC+FEM;SG	PROPN;NOM;FEM;SG;POS
helena	helen	helena	helený	N;DEF;MASC+FEM;SG	PROPN;NOM;FEM;SG;POS
daf	daf	daf	daf		PROPN;INAN;NOM;MASC;SG;POS
dick	dick	dick	dick		PROPN;ANIM;NOM;MASC;SG;POS
dick	kokot	dick	kokotit		N;ANIM;NOM;MASC;SG;POS
spiser	stravování	spise	stravování	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG;POS
spiser	jí	spise	on	V;IND;PRS;FIN;ACT	PRO;DAT;FEM;SG;3
skift	přepnout	skift	přepnout	N;INDF;NEUT;SG	V;POS;NFIN
skift	změnit	skift	změnit	N;INDF;NEUT;SG	V;PFV;POS;NFIN
skift	změny	skift	změna	N;INDF;NEUT;SG	N;NOM;FEM;PL;POS
skift	směny	skift	směna	N;INDF;NEUT;SG	N;NOM;FEM;PL;POS
helene	helene	hel	heleno	N;DEF;MASC+FEM;PL	PROPN;NOM;FEM;SG;POS
klint	cliff	klint	cliff	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
boris	boris	boris	boris		PROPN;ANIM;NOM;MASC;SG;POS
udvides	rozšiřuje	udvide	rozšiřovat	V;IND;PRS;FIN;PASS	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
output	výstupy	output	výstup	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL;POS
output	výstupů	output	výstup	N;INDF;NEUT;SG	N;INAN;GEN;MASC;PL;POS
düsseldorf	düsseldorf	düsseldorf	düsseldorf	N;INDF;MASC+FEM;SG	PROPN;INAN;NOM;MASC;SG;POS
düsseldorf	düsseldorfu	düsseldorf	düsseldorf	N;INDF;MASC+FEM;SG	PROPN;INAN;GEN;MASC;SG;POS
montreal	montrealu	montreal	montreal		PROPN;INAN;GEN;MASC;SG;POS
overskud	přebytky	overskud	přebytek	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL;POS
overskud	přebytky	overskud	přebytek	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL;POS
overskud	zisky	overskud	zisk	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL;POS
krydse	přechod	krydse	přechod	V;NFIN;ACT	N;INAN;NOM;MASC;SG;POS
krydse	křížení	krydse	křížení	V;NFIN;ACT	N;NOM;NEUT;SG;POS
krydse	křížem	krydse	kříž	V;NFIN;ACT	N;INAN;INS;MASC;SG;POS
krydse	křížek	krydse	křížek	V;NFIN;ACT	N;INAN;NOM;MASC;SG;POS
krydse	kříž	krydse	kříž	V;NFIN;ACT	N;INAN;NOM;MASC;SG;POS
krydse	cross	krydse	cross	V;NFIN;ACT	PROPN;INAN;NOM;MASC;SG;POS
organisk	bio	organisk	bio	ADV	PROPN;NOM;MASC;SG;POS
organisk	organický	organisk	organický	ADV	ADJ;INAN;NOM;MASC;SG;POS
organisk	organická	organisk	organický	ADV	ADJ;NOM;FEM;SG;POS
organisk	organické	organisk	organický	ADV	ADJ;NOM;MASC;SG;POS
organisk	ekologické	organisk	ekologický	ADV	ADJ;NOM;MASC;SG;POS
julian	julian	julian	julian		PROPN;ANIM;NOM;MASC;SG;POS
julian	juliana	julian	julian		N;NOM;FEM;SG;POS
julian	juliane	julian	julian		N;NOM;MASC;SG;POS
biologisk	biologický	biologisk	biologický	ADV	ADJ;INAN;NOM;MASC;SG;POS
biologisk	biologická	biologisk	biologický	ADV	ADJ;NOM;FEM;SG;POS
biologisk	biologické	biologisk	biologický	ADV	ADJ;NOM;MASC;SG;POS
henderson	henderson	henderson	henderson	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
paulo	paulo	paulo	paulo	PROPN	PROPN;NOM;NEUT;SG;POS
nyligt	nedávný	nyligt	dávný	ADV	ADJ;INAN;NOM;MASC;SG;NEG
nyligt	nedávné	nyligt	dávný	ADV	ADJ;NOM;NEUT;SG;NEG
nyligt	nedávná	nyligt	dávný	ADV	ADJ;NOM;FEM;SG;NEG
mexicanske	mexická	mexicansk	mexický	ADJ;PL	ADJ;NOM;FEM;SG;POS
mexicanske	mexický	mexicansk	mexický	ADJ;PL	ADJ;ANIM;NOM;MASC;SG;POS
mexicanske	mexičan	mexicansk	mexičan	ADJ;PL	N;ANIM;NOM;MASC;SG;POS
mexicanske	mexické	mexicansk	mexický	ADJ;PL	ADJ;NOM;MASC;SG;POS
skarpt	ostrý	skarpt	ostrý	ADV	ADJ;INAN;NOM;MASC;SG;POS
skarpt	ostré	skarpt	ostrý	ADV	ADJ;NOM;NEUT;SG;POS
skarpt	ostrá	skarpt	ostrý	ADV	ADJ;NOM;FEM;SG;POS
forstæder	předměstí	forståde	předměstí	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG;POS
forstæder	předměstí	forståde	předměstí	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG;POS
begravelse	pohřební	begravelse	pohřební	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG;POS
nederlaget	porazit	nederlag	porazit	N;DEF;NEUT;SG	V;PFV;POS;NFIN
forandring	změnit	forandring	změnit	N;INDF;MASC+FEM;SG	V;PFV;POS;NFIN
forandring	změny	forandring	změna	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL;POS
følelse	emoce	følelse	emoce	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL;POS
indflydelsesrige	vlivný	indflydelsesrig	vlivný	ADJ;PL	ADJ;ANIM;NOM;MASC;SG;POS
stiftelse	základy	stiftelse	základ	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL;POS
separate	oddělené	separat	oddělený	N;INDF;NEUT;SG	ADJ;NOM;NEUT;PL;POS
separate	oddělit	separat	oddělit	N;INDF;NEUT;SG	V;PFV;POS;NFIN
separate	samostatné	separat	samostatný	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG;POS
strukturer	konstrukce	struktur	konstrukce	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;POS
ivar	ivar	ivar	ivar		PROPN;ANIM;NOM;MASC;SG;POS
indbygget	vložené	indbygge	vložený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;PL;POS
indbygget	postavena	indbygge	postavený	V;INDF;SG;PST;V.PTCP	ADJ;POS;V.PTCP;PASS
indbygget	postavená	indbygge	postavený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS
indbygget	postaven	indbygge	postavený	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
indbygget	postavené	indbygge	postavený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS
indbygget	postaveno	indbygge	postavený	V;INDF;SG;PST;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
diana	diana	diana	diana		N;NOM;FEM;SG;POS
teologisk	teologické	teologisk	teologický	ADV	ADJ;NOM;NEUT;SG;POS
tilbagetrækning	výběry	tilbagetrækning	výběr	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL;POS
tilbagetrækning	stáhnout	tilbagetrækning	stáhnout	N;INDF;MASC+FEM;SG	V;POS;NFIN
algeriet	alžírsko	algeri	alžírsko	N;DEF;NEUT;SG	ADJ;POS
virkelighed	reality	virkelighed	realita	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL;POS
virkelighed	reality	virkelighed	realita	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL;POS
grundloven	ústavy	grundlov	ústava	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL;POS
cleveland	clevelandu	cleveland	cleveland		N;INAN;GEN;MASC;SG;POS
cleveland	cleveland	cleveland	cleveland		N;INAN;NOM;MASC;SG;POS
elseif	elseif	elseif	elseif		N;NOM;MASC;SG;POS
saa	dsp	saa	dsp	ADV	N;INAN;NOM;MASC;SG;POS
beretninger	hlášení	beretning	hlášení	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG;POS
ingrid	ingrid	ingrid	ingrid	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG;POS
vanskelig	obtížně	vanskelig	obtížně	ADJ;INDF;MASC+FEM;SG	ADV;POS
holmes	holmes	holme	holmes	V;NFIN;PASS	N;INAN;NOM;MASC;SG;POS
holmes	holmese	holme	holmes	V;NFIN;PASS	N;ANIM;ACC;MASC;SG;POS
anbefalede	doporučujeme	anbefale	doporučovat	V;IND;PST;FIN;ACT	V;IPFV;IND;PL;1;POS;PRS;FIN;ACT
anbefalede	doporučené	anbefale	doporučený	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;SG;POS
anbefalede	doporučuje	anbefale	doporučovat	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
anbefalede	doporučená	anbefale	doporučený	V;IND;PST;FIN;ACT	ADJ;NOM;FEM;SG;POS
anbefalede	doporučeno	anbefale	doporučený	V;IND;PST;FIN;ACT	ADJ;NEUT;SG;POS;V.PTCP;PASS
teknikker	technik	teknik	technik	N;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG;POS
marker	pole	mark	pole	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG;POS
marker	označit	mark	označit	N;INDF;MASC+FEM;PL	V;PFV;POS;NFIN
marker	značka	mark	značka	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;POS
marker	mark	mark	mark	N;INDF;MASC+FEM;PL	PROPN;ANIM;NOM;MASC;SG;POS
fabrikant	výrobci	fabrikant	výrobce	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;PL;POS
ted	ted	ted	ted		PROPN;NOM;MASC;SG;POS
tree	strom	tree	strom		N;INAN;NOM;MASC;SG;POS
tree	tre	tree	tre		PROPN;ANIM;NOM;MASC;SG;POS
porto	porto	porto	porto		PROPN;NOM;FEM;SG;POS
balkan	balkán	balkan	balkán		N;INAN;NOM;MASC;SG;POS
balkan	balkánu	balkan	balkán		N;INAN;GEN;MASC;SG;POS
balkan	balkán	balkan	balkán		N;INAN;NOM;MASC;SG;POS
balkan	balkánu	balkan	balkán		N;INAN;GEN;MASC;SG;POS
tilbagevendende	opakovací	tilbagevendende	opakovací	V;PRS;V.PTCP	ADJ;NOM;MASC;SG;POS
svaret	odpovězte	svar	odpovězit	N;DEF;NEUT;SG	V;PFV;IMP;PL;2;POS;FIN
svaret	odpovědět	svar	odpovědět	N;DEF;NEUT;SG	V;POS;NFIN
edgar	edgara	edgar	edgara		N;ANIM;ACC;MASC;SG;POS
edgar	edgar	edgar	edgar		PROPN;ANIM;NOM;MASC;SG;POS
angels	andělé	angels	anděl	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;PL;POS
angels	anděly	angels	anděl	N;INDF;MASC+FEM;SG	N;ANIM;INS;MASC;PL;POS
angels	andílci	angels	andílko	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;PL;POS
dæk	pneumatiku	dæk	pneumatika	N;INDF;NEUT;PL	N;ACC;FEM;SG;POS
dæk	pneumatika	dæk	pneumatika	N;INDF;NEUT;PL	N;NOM;FEM;SG;POS
dæk	paluba	dæk	paluba	N;INDF;NEUT;PL	N;NOM;FEM;SG;POS
dæk	palubě	dæk	paluba	N;INDF;NEUT;PL	N;DAT;FEM;SG;POS
dæk	palubu	dæk	paluba	N;INDF;NEUT;PL	N;ACC;FEM;SG;POS
dæk	krýt	dæk	krýt	N;INDF;NEUT;PL	V;POS;NFIN
dæk	obal	dæk	obal	N;INDF;NEUT;PL	N;INAN;NOM;MASC;SG;POS
dæk	krytí	dæk	krytí	N;INDF;NEUT;PL	N;NOM;NEUT;SG;POS
dæk	pokrytí	dæk	pokrytí	N;INDF;NEUT;PL	N;NOM;NEUT;SG;POS
dæk	pneumatika	dæk	pneumatika	N;INDF;NEUT;PL	N;NOM;FEM;SG;POS
nhl	nhl	nhl	nhl	N;INDF;MASC+FEM;SG	PROPN;FEM;POS
metropolitan	metropolitní	metropolitan	metropolitní	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG;POS
drømme	snít	drøm	snít	N;INDF;MASC+FEM;PL	V;POS;NFIN
drømme	sen	drøm	sen	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG;POS
drømme	dream	drøm	dream	N;INDF;MASC+FEM;PL	PROPN;INAN;NOM;MASC;SG;POS
drømme	snít	drøm	snít	N;INDF;MASC+FEM;PL	V;POS;NFIN
drømme	sní	drøm	snít	N;INDF;MASC+FEM;PL	V;IND;SG;3;POS;PRS;FIN;ACT
drømme	sním	drøm	sním	N;INDF;MASC+FEM;PL	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
drømme	snění	drøm	snění	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG;POS
kanten	edge	kant	edge	N;DEF;MASC+FEM;SG	PROPN;INAN;NOM;MASC;SG;POS
neil	neila	neil	neila		N;ANIM;ACC;MASC;SG;POS
neil	neil	neil	neil		PROPN;ANIM;NOM;MASC;SG;POS
duo	dvojka	duo	dvojka		N;NOM;FEM;SG;POS
duo	duo	duo	duo		N;NOM;NEUT;SG;POS
hjulpet	pomohli	hjælpe	pomoci	V;INDF;SG;PST;V.PTCP	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
hjulpet	pomohly	hjælpe	pomoci	V;INDF;SG;PST;V.PTCP	V;INAN;PL;POS;PST;V.PTCP;ACT
hjulpet	pomohla	hjælpe	pomoci	V;INDF;SG;PST;V.PTCP	V;POS;PST;V.PTCP;ACT
registrerede	zapsaný	registrere	zapsaný	V;PL;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS
registrerede	registrované	registrere	registrovaný	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS
registrerede	zapsané	registrere	zapsaný	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;PL;POS
registrerede	registrovaná	registrere	registrovaný	V;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;POS
registrerede	registrovaný	registrere	registrovaný	V;PL;PST;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS
eyes	oči	eyes	oko		N;NOM;FEM;PL;POS
maryland	marylandu	maryland	maryland		N;INAN;GEN;MASC;SG;POS
bemærkelsesværdige	nevšední	bemærkelsesværdig	všední	ADJ;PL	ADJ;NOM;MASC;SG;NEG
bemærkelsesværdige	pozoruhodný	bemærkelsesværdig	pozoruhodný	ADJ;PL	ADJ;INAN;NOM;MASC;SG;POS
bemærkelsesværdige	pozoruhodná	bemærkelsesværdig	pozoruhodný	ADJ;PL	ADJ;NOM;FEM;SG;POS
bemærkelsesværdige	pozoruhodné	bemærkelsesværdig	pozoruhodný	ADJ;PL	ADJ;NOM;NEUT;SG;POS
buenos	buenos	bue	buenos	N;DEF;MASC+FEM;SG	PROPN;NEUT;POS
skulpturer	socha	skulptur	socha	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;POS
brande	oheň	brand	oheň	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG;POS
brande	požár	brand	požár	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG;POS
brande	ohně	brand	oheň	N;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;SG;POS
control	ovládání	control	ovládání		N;NOM;NEUT;SG;POS
control	kontrola	control	kontrola		N;NOM;FEM;SG;POS
control	kontrolní	control	kontrolní		ADJ;NOM;MASC;SG;POS
control	kontrolu	control	kontrola		N;ACC;FEM;SG;POS
eduard	eduard	eduard	eduard		PROPN;ANIM;NOM;MASC;SG;POS
partikler	částice	partikel	částice	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;POS
partikler	částice	partikel	částice	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;POS
oklahoma	oklahoma	oklahoma	oklahoma		PROPN;NOM;FEM;SG;POS
sjæl	soul	sjæl	soul	N;INDF;MASC+FEM;SG	PROPN;INAN;NOM;MASC;SG;POS
grafisk	grafické	grafisk	grafický	ADV	ADJ;NOM;MASC;PL;POS
grafisk	grafický	grafisk	grafický	ADV	ADJ;INAN;NOM;MASC;SG;POS
grafisk	grafické	grafisk	grafický	ADV	ADJ;NOM;MASC;PL;POS
grafisk	grafika	grafisk	grafika	ADV	N;NOM;FEM;SG;POS
grafisk	grafický	grafisk	grafický	ADV	ADJ;INAN;NOM;MASC;SG;POS
grafisk	grafika	grafisk	grafika	ADV	N;NOM;FEM;SG;POS
flot	hezky	flot	hezky	ADJ;INDF;SG	ADV;POS
flot	nice	flot	nic	ADJ;INDF;SG	PROPN;NEUT;POS
flot	fešák	flot	fešák	ADJ;INDF;SG	N;ANIM;NOM;MASC;SG;POS
bella	bello	bella	bello	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
sierra	sierra	sierra	Sierra		PROPN;NOM;FEM;SG;POS
frigivet	propuštěn	frigiv	propuštěný	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
frigivet	uvolněna	frigiv	uvolněný	V;INDF;SG;PST;V.PTCP	ADJ;POS;V.PTCP;PASS
nazistiske	nacista	nazistisk	nacista	ADJ;PL	N;ANIM;NOM;MASC;SG;POS
aktion	akční	aktion	akční	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG;POS
tung	tung	tung	tung	ADJ;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
byzantinske	byzantský	byzantinsk	byzantský	ADJ;PL	ADJ;ANIM;NOM;MASC;SG;POS
forventet	očekávaná	forvente	očekávaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS
forventet	očekávané	forvente	očekávaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS
forventet	očekávaný	forvente	očekávaný	V;INDF;SG;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS
harrison	harrisona	harrison	harrison		N;ANIM;ACC;MASC;SG;POS
harrison	harrison	harrison	harrison		PROPN;ANIM;NOM;MASC;SG;POS
gaza	gaze	gaza	gaza	PROPN	PROPN;DAT;FEM;SG;POS
grey	šedá	grey	šedý		ADJ;NOM;FEM;SG;POS
grey	grey	grey	grey		PROPN;ANIM;NOM;MASC;SG;POS
grey	šedé	grey	šedý		ADJ;NOM;NEUT;SG;POS
grey	greyová	grey	greyový		ADJ;NOM;FEM;SG;POS
grey	šedý	grey	šedý		ADJ;INAN;NOM;MASC;SG;POS
grey	šedivý	grey	šedivý		ADJ;ANIM;NOM;MASC;SG;POS
pyrénées	pyrénées	pyrknée	pyrénées	N;GEN;INDF;MASC+FEM;PL	PROPN;NOM;MASC;SG;POS
aires	aires	aires	aires	PROPN	PROPN;NEUT;POS
raf	raf	raf	raf	PROPN	PROPN;FEM;POS
raf	rafe	raf	rafe	PROPN	N;NOM;MASC;SG;POS
sigt	zamířit	sigt	zamířit	N;INDF;MASC+FEM;SG	V;PFV;POS;NFIN
kirk	kirk	kirk	kirk		N;ANIM;NOM;MASC;SG;POS
kirk	kirku	kirk	kirk		N;ACC;FEM;SG;POS
lodret	vertikálně	loder	vertikálně	ADJ;INDF;SG	ADV;POS
lodret	vertikálně	loder	vertikálně	ADJ;INDF;SG	ADV;POS
essays	eseje	essay	esej	N;INDF;NEUT;SG	N;NOM;FEM;PL;POS
racing	dostihy	racing	dostih		N;INAN;NOM;MASC;PL;POS
racing	závodění	racing	závodění		N;NOM;NEUT;SG;POS
racing	závody	racing	závod		N;INAN;NOM;MASC;PL;POS
racing	závodní	racing	závodní		ADJ;NOM;MASC;SG;POS
jamie	jamie	jamie	jamie		PROPN;ANIM;NOM;MASC;SG;POS
jamie	jamieho	jamie	jamie		N;ANIM;ACC;MASC;SG;POS
kontrollerede	ovládané	kontrollere	ovládaný	V;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;POS
kontrollerede	kontrolovaných	kontrollere	kontrolovaný	V;PL;PST;V.PTCP	ADJ;GEN;MASC;PL;POS
kontrollerede	kontrolované	kontrollere	kontrolovaný	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS
kontrollerede	řízené	kontrollere	řízený	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS
autoritet	autority	autoritet	autorita	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL;POS
hunter	hunter	hunte	hunter	N;INDF;MASC+FEM;PL	PROPN;ANIM;NOM;MASC;SG;POS
hunter	lovec	hunte	lovec	N;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG;POS
elskede	milovaná	elske	milovaný	V;DEF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS
elskede	milován	elske	milovaný	V;DEF;SG;PST;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
elskede	milovala	elske	milovat	V;DEF;SG;PST;V.PTCP	V;IPFV;POS;PST;V.PTCP;ACT
elskede	milovaná	elske	milovaný	V;DEF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS
elskede	milovaný	elske	milovaný	V;DEF;SG;PST;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS
elskede	milované	elske	milovaný	V;DEF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS
dramatiske	dramatický	dramatisk	dramatický	ADJ;PL	ADJ;INAN;NOM;MASC;SG;POS
dramatiske	dramatické	dramatisk	dramatický	ADJ;PL	ADJ;NOM;NEUT;SG;POS
dramatiske	dramatická	dramatisk	dramatický	ADJ;PL	ADJ;NOM;FEM;SG;POS
