que	že	que	že	PRO;MASC;SG	CONJ
externas	externé	externo	externý	N;FEM;PL	ADJ;NOM;NEUT;SG
externas	vonkajšia	externo	vonkajší	N;FEM;PL	ADJ;NOM;FEM;SG
sendo	bytia	ser	byť	V;V.MSDR	N;NOM;NEUT;SG
sendo	bytosť	ser	bytosť	V;V.MSDR	N;NOM;FEM;SG
ainda	stale	ainda	stať	ADV	
outros	iný	outro	iný	PRO;MASC;PL	DET;ANIM;NOM;MASC;SG
outros	ďalšie	outro	ďalší	PRO;MASC;PL	ADJ;NOM;NEUT;SG
outros	iná	outro	iný	PRO;MASC;PL	DET;NOM;FEM;SG
outros	iné	outro	iný	PRO;MASC;PL	DET;NOM;NEUT;SG
outros	ostatné	outro	ostatný	PRO;MASC;PL	ADJ;NOM;NEUT;SG
outros	iný	outro	iný	PRO;MASC;PL	DET;ANIM;NOM;MASC;SG
outros	ostatný	outro	ostatný	PRO;MASC;PL	ADJ;ANIM;NOM;MASC;SG
outros	iní	outro	iný	PRO;MASC;PL	DET;ANIM;NOM;MASC;PL
outros	iné	outro	iný	PRO;MASC;PL	DET;NOM;NEUT;SG
outros	ostatné	outro	ostatný	PRO;MASC;PL	ADJ;NOM;NEUT;SG
esta	to	este	to	PRO;FEM;SG	DET;NOM;NEUT;SG
esta	táto	este	táto	PRO;FEM;SG	DET;NOM;FEM;SG
esta	tento	este	tento	PRO;FEM;SG	DET;INAN;NOM;MASC;SG
esta	toto	este	toto	PRO;FEM;SG	DET;NOM;NEUT;SG
esta	túto	este	táto	PRO;FEM;SG	DET;ACC;FEM;SG
ela	jej	ela	ona	PRO;NOM;FEM;SG;3	PRO;DAT;FEM;SG;3
ela	ju	ela	ona	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
ela	nej	ela	ona	PRO;NOM;FEM;SG;3	PRO;DAT;FEM;SG;3
ela	ňu	ela	ona	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
dia	den	dia	den	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
dia	day	dia	deň	N;MASC;SG	INTJ
dia	dia	dia	dia	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
dois	two	dois	two	NUM	
dois	dvojka	dois	dvojka	NUM	N;NOM;FEM;SG
muito	veľ	muito	veľ	ADV	
muito	velmi	muito	velmi	ADV	PROPN;ANIM;NOM;MASC;SG
muito	veľa	muito	veľa	ADV	NUM;NOM;NEUT;SG
muito	ovela	muito	ovela	ADV	PROPN;ANIM;NOM;MASC;SG
suas	ich	seu	on	DET;FEM;PL	PRO;NOM;MASC;PL;3
segundo	druhá	segundo	druhý	ADV	ADJ;NOM;FEM;SG
segundo	druhé	segundo	druhý	ADV	ADJ;NOM;NEUT;SG
segundo	druhe	segundo	druh	ADV	ADJ;INAN;NOM;MASC;SG
segundo	sekunda	segundo	sekunda	ADV	N;NOM;FEM;SG
segundo	druhý	segundo	druhý	ADV	ADJ;INAN;NOM;MASC;SG
apenas	ibaže	apenas	ibaže	ADV	CONJ
apenas	iba	apenas	iba	ADV	PART
apenas	len	apenas	len	ADV	PART
apenas	iba	apenas	iba	ADV	PART
apenas	len	apenas	len	ADV	PART
apenas	proste	apenas	prost	ADV	PART
ter	ter	ter	ter	V;NFIN	PROPN;ANIM;NOM;MASC;SG
ter	so	ter	s	V;NFIN	ADP;INS
msg	msg	msg	msg	N;FEM;SG	INTJ
área	oblasti	área	oblasť	N;FEM;SG	N;NOM;FEM;PL
agosto	aug	agosto	aug	N;MASC;SG	INTJ
lista	zoznamov	lista	zoznam	N;FEM;SG	N;INAN;GEN;MASC;PL
lista	zoznamy	lista	zoznam	N;FEM;SG	N;INAN;NOM;MASC;PL
maio	májové	maio	májový	N;MASC;SG	ADJ;NOM;NEUT;SG
maio	môže	maio	môcť	N;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
maio	máj	maio	mať	N;MASC;SG	INTJ
norte	severný	norte	severný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
norte	severné	norte	severný	N;MASC;SG	ADJ;NOM;NEUT;SG
norte	severná	norte	severný	N;MASC;SG	ADJ;NOM;FEM;SG
norte	severne	norte	severne	N;MASC;SG	N;NOM;FEM;PL
norte	severný	norte	severný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
norte	severnej	norte	severný	N;MASC;SG	ADJ;GEN;FEM;SG
norte	severné	norte	severný	N;MASC;SG	ADJ;NOM;NEUT;SG
norte	severná	norte	severný	N;MASC;SG	ADJ;NOM;FEM;SG
norte	severnom	norte	severný	N;MASC;SG	ADJ;ESS;NEUT;SG
família	rodinná	família	rodinný	N;FEM;SG	ADJ;NOM;FEM;SG
sul	sul	sul	sul	N;MASC;SG	PROPN;INAN;NOM;MASC;SG
sul	južný	sul	južný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
sul	južná	sul	južný	N;MASC;SG	ADJ;NOM;FEM;SG
sul	južné	sul	južný	N;MASC;SG	ADJ;NOM;NEUT;SG
sul	južnej	sul	južný	N;MASC;SG	ADJ;GEN;FEM;SG
sul	južný	sul	južný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
sul	južná	sul	južný	N;MASC;SG	ADJ;NOM;FEM;SG
sul	južné	sul	južný	N;MASC;SG	ADJ;NOM;NEUT;SG
sul	južnej	sul	južný	N;MASC;SG	ADJ;GEN;FEM;SG
grupo	group	grupo	group	N;MASC;SG	
grupo	skupiny	grupo	skupina	N;MASC;SG	N;NOM;FEM;PL
paulo	paulo	paulo	paulo	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
paulo	pavol	paulo	pavol	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
paulo	paul	paulo	paul	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
paulo	pavla	paulo	pavnúť	N;MASC;SG	PROPN;ANIM;ACC;MASC;SG
ver	výhľad	ver	výhľad	V;NFIN	N;INAN;NOM;MASC;SG
ver	pohľad	ver	pohľad	V;NFIN	N;INAN;NOM;MASC;SG
ver	zobrazenie	ver	zobrazenie	V;NFIN	N;NOM;NEUT;SG
isso	to	isso	to	PRO;MASC;SG	DET;NOM;NEUT;SG
isso	táto	isso	táto	PRO;MASC;SG	DET;NOM;FEM;SG
isso	tento	isso	tento	PRO;MASC;SG	DET;INAN;NOM;MASC;SG
isso	toto	isso	toto	PRO;MASC;SG	DET;NOM;NEUT;SG
isso	túto	isso	táto	PRO;MASC;SG	DET;ACC;FEM;SG
isso	že	isso	že	PRO;MASC;SG	CONJ
maior	väčšie	grande	veľký	ADJ;MASC;SG	ADV;CMPR
maior	väčšie	grande	veľký	ADJ;MASC;SG	ADV;CMPR
maior	najväčšie	grande	veľký	ADJ;MASC;SG	ADV;RL
maior	najväčších	grande	veľký	ADJ;MASC;SG	ADV;RL
maior	najväčšie	grande	veľký	ADJ;MASC;SG	ADV;RL
maior	väčšie	grande	veľký	ADJ;MASC;SG	ADV;CMPR
todos	každý	todo	každý	PRO;MASC;PL	DET;ANIM;NOM;MASC;SG
todos	vsetci	todo	vsetec	PRO;MASC;PL	N;ANIM;NOM;MASC;SG
todos	kazdy	todo	kazdy	PRO;MASC;PL	N;INAN;NOM;MASC;SG
todos	všetci	todo	všetok	PRO;MASC;PL	DET;ANIM;NOM;MASC;PL
todos	all	todo	all	PRO;MASC;PL	
todos	vsetky	todo	vsetok	PRO;MASC;PL	N;NOM;FEM;PL
todos	všetky	todo	všetok	PRO;MASC;PL	DET;INAN;NOM;MASC;PL
todos	všetkých	todo	všetok	PRO;MASC;PL	DET;ANIM;ACC;MASC;PL
todos	všetci	todo	všetok	PRO;MASC;PL	DET;ANIM;NOM;MASC;PL
todos	všetko	todo	všetok	PRO;MASC;PL	DET;NOM;NEUT;SG
todos	každý	todo	každý	PRO;MASC;PL	DET;ANIM;NOM;MASC;SG
todos	každého	todo	každý	PRO;MASC;PL	DET;ANIM;ACC;MASC;SG
todos	vsetci	todo	vsetec	PRO;MASC;PL	N;ANIM;NOM;MASC;SG
todos	všetkým	todo	všetok	PRO;MASC;PL	DET;ANIM;DAT;MASC;PL
todos	všetci	todo	všetok	PRO;MASC;PL	DET;ANIM;NOM;MASC;PL
nova	nove	novo	nový	ADJ;FEM;SG	N;NOM;FEM;PL
nova	novinka	novo	novinka	ADJ;FEM;SG	N;NOM;FEM;SG
nova	novu	novo	nova	ADJ;FEM;SG	N;ACC;FEM;SG
nova	nova	novo	nova	ADJ;FEM;SG	N;NOM;FEM;SG
junho	jún	junho	jún	N;MASC;SG	INTJ
contra	versus	contra	versus	ADP	N;INAN;NOM;MASC;SG
contra	verzus	contra	verzus	ADP	N;INAN;NOM;MASC;SG
contra	contra	contra	contra	ADP	N;NOM;FEM;SG
tempo	time	tempo	tima	N;MASC;SG	
dezembro	dec	dezembro	dec	N;MASC;SG	INTJ
fevereiro	feb	fevereiro	feb	N;MASC;SG	INTJ
assim	teda	assim	teda	ADV	PART
principal	main	principal	main	ADJ;MASC;SG	
principal	hlavny	principal	hlavny	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
principal	riaditeľka	principal	riaditeľka	ADJ;MASC;SG	N;NOM;FEM;SG
principal	riaditeľ	principal	riaditeľ	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
três	three	três	three	NUM	
série	série	série	séria	N;FEM;SG	N;NOM;FEM;PL
série	poradové	série	poradový	N;FEM;SG	ADJ;NOM;NEUT;SG
série	sériový	série	sériový	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG
série	sériové	série	sériový	N;FEM;SG	ADJ;NOM;NEUT;SG
final	ukončiť	final	ukončiť	N;MASC;SG	V;PFV;POS;NFIN
final	end	final	end	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
final	skončiť	final	skončiť	N;MASC;SG	V;PFV;POS;NFIN
final	konečné	final	konečný	N;MASC;SG	ADJ;NOM;NEUT;SG
final	konečná	final	konečný	N;MASC;SG	ADJ;NOM;FEM;SG
final	záverečná	final	záverečná	N;MASC;SG	ADJ;NOM;FEM;SG
final	konečný	final	konečný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
final	záverečné	final	záverečný	N;MASC;SG	ADJ;NOM;NEUT;SG
desde	odkedy	desde	odkedy	ADP	ADV
desde	keďže	desde	keďže	ADP	CONJ
história	histórie	história	história	N;FEM;SG	N;NOM;FEM;PL
história	dejiny	história	dejiny	N;FEM;SG	N;NOM;FEM;PL
filme	filmová	filme	filmový	N;MASC;SG	ADJ;NOM;FEM;SG
filme	filmová	filme	filmový	N;MASC;SG	ADJ;NOM;FEM;SG
antes	pred	antes	pred	ADV	ADP;INS
antes	predtym	antes	predtym	ADV	INTJ
melhor	lepší	melhor	dobrý	ADV	ADJ;ANIM;NOM;CMPR;MASC;SG
melhor	lepšia	melhor	dobrý	ADV	ADJ;NOM;CMPR;FEM;SG
melhor	radšej	melhor	rád	ADV	ADJ;ANIM;NOM;CMPR;MASC;SG
melhor	lepsie	melhor	lepsie	ADV	
melhor	najlepsie	melhor	dsípsiť	ADV	
melhor	najlepší	melhor	dobrý	ADV	ADJ;ANIM;NOM;RL;MASC;SG
melhor	najlepšia	melhor	dobrý	ADV	ADJ;NOM;RL;FEM;SG
melhor	najlepsi	melhor	najlepsi	ADV	PROPN;ANIM;NOM;MASC;SG
duas	two	dois	two	NUM	
duas	dvojka	dois	dvojka	NUM	N;NOM;FEM;SG
guerra	vojnové	guerra	vojnový	N;FEM;SG	ADJ;NOM;NEUT;SG
guerra	vojny	guerra	vojna	N;FEM;SG	N;NOM;FEM;PL
guerra	vojnový	guerra	vojnový	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG
guerra	war	guerra	war	N;FEM;SG	
população	obyvateľstva	população	obyvateľstvo	N;FEM;SG	N;NOM;NEUT;PL
população	populácie	população	populácia	N;FEM;SG	N;NOM;FEM;PL
bem	nuž	bem	nuž	ADV	PART
bem	no	bem	no	ADV	CONJ
mundo	svetová	mundo	svetový	N;MASC;SG	ADJ;NOM;FEM;SG
mundo	world	mundo	world	N;MASC;SG	
banda	band	banda	band	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG
banda	kapely	banda	kapela	N;FEM;SG	N;NOM;FEM;PL
outras	iný	outro	iný	PRO;FEM;PL	DET;ANIM;NOM;MASC;SG
outras	ďalšie	outro	ďalší	PRO;FEM;PL	ADJ;NOM;NEUT;SG
outras	iná	outro	iný	PRO;FEM;PL	DET;NOM;FEM;SG
outras	iné	outro	iný	PRO;FEM;PL	DET;NOM;NEUT;SG
outras	ostatné	outro	ostatný	PRO;FEM;PL	ADJ;NOM;NEUT;SG
outras	iný	outro	iný	PRO;FEM;PL	DET;ANIM;NOM;MASC;SG
outras	ostatný	outro	ostatný	PRO;FEM;PL	ADJ;ANIM;NOM;MASC;SG
outras	iní	outro	iný	PRO;FEM;PL	DET;ANIM;NOM;MASC;PL
outras	iné	outro	iný	PRO;FEM;PL	DET;NOM;NEUT;SG
outras	ostatné	outro	ostatný	PRO;FEM;PL	ADJ;NOM;NEUT;SG
km²	km²	km²	km²	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
nacional	vnútroštátnych	nacional	vnútroštátny	ADJ;MASC;SG	ADJ;GEN;MASC;PL
nacional	vnútroštátne	nacional	vnútroštátne	ADJ;MASC;SG	ADV
nacional	nacional	nacional	nacionať	ADJ;MASC;SG	PROPN;INAN;NOM;MASC;SG
sido	bola	ser	byť	V;MASC;SG;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
sido	bol	ser	byť	V;MASC;SG;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
qual	ktorú	qual	ktorý	PRO;MASC;SG	DET;ACC;FEM;SG
qual	ktoré	qual	ktorý	PRO;MASC;SG	DET;NOM;NEUT;SG
qual	ktorá	qual	ktorý	PRO;MASC;SG	DET;NOM;FEM;SG
qual	ktorý	qual	ktorý	PRO;MASC;SG	DET;ANIM;NOM;MASC;SG
brasileiro	brazílsky	brasileiro	brazílsky	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
alguns	niektorých	algum	niektorý	PRO;MASC;PL	DET;GEN;MASC;PL
alguns	niektore	algum	niektore	PRO;MASC;PL	DET;NOM;MASC;SG
alguns	niektoré	algum	niektorý	PRO;MASC;PL	DET;NOM;NEUT;SG
alguns	niektorý	algum	niektorý	PRO;MASC;PL	DET;ANIM;NOM;MASC;SG
alguns	niektorí	algum	niektorý	PRO;MASC;PL	DET;ANIM;NOM;MASC;PL
vida	life	vida	lifa	N;FEM;SG	
vida	zivot	vida	zivot	N;FEM;SG	INTJ
vida	vida	vida	vida	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG
país	krajiny	país	krajina	N;MASC;SG	N;NOM;FEM;PL
cada	kazda	cada	kazda	DET;FEM;SG	
eles	nich	eles	on	PRO;NOM;MASC;PL;3	PRO;ANIM;ACC;MASC;PL;3
eles	ony	eles	ona	PRO;NOM;MASC;PL;3	N;NOM;MASC;PL
música	hudobné	música	hudobný	N;FEM;SG	ADJ;NOM;NEUT;SG
música	hudobná	música	hudobný	N;FEM;SG	ADJ;NOM;FEM;SG
dias	dias	dia	dias	N;MASC;PL	PROPN;ANIM;NOM;MASC;SG
dias	days	dia	days	N;MASC;PL	
campeonato	majstrovstvá	campeonato	majstrovstvo	N;MASC;SG	N;NOM;NEUT;PL
josé	jose	josé	jos	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
josé	josé	josé	jos	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
josé	jozef	josé	jozef	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
josé	joseph	josé	joseph	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
josé	jozefa	josé	jozef	N;MASC;SG	PROPN;ANIM;ACC;MASC;SG
josé	josé	josé	jos	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
futebol	futbalový	futebol	futbalový	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
futebol	futbalové	futebol	futbalový	N;MASC;SG	ADJ;NOM;NEUT;SG
futebol	futbalový	futebol	futbalový	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
futebol	futbalové	futebol	futbalový	N;MASC;SG	ADJ;NOM;NEUT;SG
espécie	druhov	espécie	druh	N;FEM;SG	N;INAN;GEN;MASC;PL
espécie	druhy	espécie	druh	N;FEM;SG	N;INAN;NOM;MASC;PL
portugal	portugalsko	portugal	portugalsko	N;MASC;SG	ADV
joão	ján	joão	ján	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
joão	john	joão	john	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
joão	joão	joão	joão	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
tinha	malo	ter	mať	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
tinha	nemal	ter	mať	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;SG;NEG;PST;V.PTCP
tinha	mali	ter	mať	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
tinha	mal	ter	mať	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
tinha	mala	ter	mať	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
clube	club	clube	club	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
unidos	united	unido	united	N;MASC;PL	PROPN;ANIM;NOM;MASC;SG
unidos	zjednotená	unido	zjednotený	N;MASC;PL	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
unidos	spojené	unido	spojený	N;MASC;PL	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
novo	novo	novo	novo	ADJ;MASC;SG	ADV
novo	nove	novo	nový	ADJ;MASC;SG	N;NOM;FEM;PL
novo	novinka	novo	novinka	ADJ;MASC;SG	N;NOM;FEM;SG
teve	mali	ter	mať	V;IND;SG;3;PST;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
tendo	so	ter	s	V;V.MSDR	ADP;INS
segunda	sekunda	segundo	sekunda	ADJ;FEM;SG	N;NOM;FEM;SG
segunda	pondelok	segundo	pondelok	ADJ;FEM;SG	N;INAN;NOM;MASC;SG
segunda	pondelka	segundo	pondelka	ADJ;FEM;SG	N;GEN;MASC;SG
pessoas	ludi	pessoa	ludia	N;FEM;PL	INTJ
pessoas	people	pessoa	peopeľ	N;FEM;PL	PROPN;ANIM;VOC;MASC;SG
presidente	presidente	presidente	president	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
caso	pripad	caso	pripad	N;MASC;SG	
jogo	game	jogo	gama	N;MASC;SG	
sistema	systémy	sistema	systém	N;MASC;SG	N;INAN;NOM;MASC;PL
americano	americké	americano	americký	N;MASC;SG	ADJ;NOM;NEUT;SG
americano	americká	americano	americký	N;MASC;SG	ADJ;NOM;FEM;SG
americano	americký	americano	americký	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
século	storočia	século	storočie	N;MASC;SG	N;NOM;NEUT;PL
casa	doma	casa	doma	N;FEM;SG	ADV
casa	domov	casa	domov	N;FEM;SG	ADV
casa	domáca	casa	domáci	N;FEM;SG	ADJ;NOM;FEM;SG
casa	domáce	casa	domáci	N;FEM;SG	ADJ;NOM;NEUT;SG
enquanto	kým	enquanto	kým	ADV	CONJ
oficial	official	oficial	officiať	ADJ;MASC;SG	INTJ
oficial	oficiálne	oficial	oficiálne	ADJ;MASC;SG	ADV
oficial	úradník	oficial	úradník	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
oficial	úradník	oficial	úradník	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
oficial	dôstojník	oficial	dôstojník	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
oficial	strážnik	oficial	strážnik	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
vezes	times	vez	times	N;MASC;PL	
governo	vládne	governo	vládnuť	N;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
governo	vlády	governo	vláda	N;MASC;SG	N;NOM;FEM;PL
governo	vlada	governo	vlada	N;MASC;SG	PROPN;ANIM;ACC;MASC;SG
distrito	okres	distrito	okres	N;MASC;SG	INTJ
local	lokálny	local	lokálny	N;MASC;SG	ADJ;INAN;NOM;MASC;SG
local	miestna	local	miestny	N;MASC;SG	ADJ;NOM;FEM;SG
local	miestne	local	miestne	N;MASC;SG	ADV
local	lokálna	local	lokálny	N;MASC;SG	ADJ;NOM;FEM;SG
local	miestny	local	miestny	N;MASC;SG	ADJ;INAN;NOM;MASC;SG
local	lokálne	local	lokálny	N;MASC;SG	ADJ;NOM;NEUT;SG
trabalho	práce	trabalho	práca	N;MASC;SG	N;NOM;FEM;PL
trabalho	pracovné	trabalho	pracovný	N;MASC;SG	ADJ;NOM;NEUT;SG
outro	iný	outro	iný	PRO;MASC;SG	DET;ANIM;NOM;MASC;SG
outro	ďalšie	outro	ďalší	PRO;MASC;SG	ADJ;NOM;NEUT;SG
outro	iná	outro	iný	PRO;MASC;SG	DET;NOM;FEM;SG
outro	iné	outro	iný	PRO;MASC;SG	DET;NOM;NEUT;SG
outro	ostatné	outro	ostatný	PRO;MASC;SG	ADJ;NOM;NEUT;SG
