של	shel	של	shel	PART;GEN	N;NOM;SG
אשר	vahvista	אשר	vahvistaa	CONJ	V;IMP;SG;2;FIN;ACT
כמו	tykkää	כמו	tykätä	ADP	V;IMP;SG;2;FIN;ACT
כמו	kuten	כמו	kuten	ADP	CONJ
כמו	kuin	כמו	kuin	ADP	CONJ
אחד	one	אחד	oni	NUM;MASC;SG	
שמאל	vasemmalle	שמאל	vasen	N;MASC;SG	ADJ;AT+ALL;SG
שמאל	vasemmalla	שמאל	vasen	N;MASC;SG	ADJ;AT+ESS
;SG
חיצוניים	ulkoisen	חיצוני	ulkoinen	ADJ;MASC;PL	ADJ;GEN;SG
חיצוניים	ulkoinen	חיצוני	ulkoinen	ADJ;MASC;PL	ADJ;NOM;SG
חיצוניים	ulkopuolinen	חיצוני	ulko#puolinen	ADJ;MASC;PL	ADJ;NOM;SG
הברית	liitto	הברית	liitto	PROPN	N;NOM;SG
הברית	allianssi	הברית	allianssi	PROPN	N;NOM;SG
בו	hänet	ב	hän	ADP	PRO;ACC;SG;3
בו	boo	ב	boo	ADP	
היו	olivat	היה	olla	V;PL;3;POS;PST	V;IND;PL;3;PST;FIN;ACT
היו	olivatko	היה	olla	V;PL;3;POS;PST	V;IND;PL;3;PST;FIN;ACT
כאשר	milloin	כאשר	milloin	CONJ	ADV
בן	ben	בן	ben	PROPN	N;NOM;SG
בן	benin	בן	benin	PROPN	V;IND;SG;1;PRS;FIN;ACT
בן	poika	בן	poika	PROPN	N;NOM;SG
שלו	hänen	של	hän		PRO;GEN;SG;3
שלו	sen	של	se		PRO;GEN;SG
שני	toisena	שני	toinen	NUM;MASC;PL	ADJ;FRML;SG
שני	toiseksi	שני	toinen	NUM;MASC;PL	ADJ;TRANS;SG
שני	toinen	שני	toinen	NUM;MASC;PL	PRO;NOM;SG
שני	kaksi	שני	kaksi	NUM;MASC;PL	NUM;NOM;SG
שני	kaks	שני	kaksi	NUM;MASC;PL	NUM;NOM;SG
שני	maanantaina	שני	maanantai	NUM;MASC;PL	N;FRML;SG
שני	maanantai	שני	maanantai	NUM;MASC;PL	N;NOM;SG
לו	lew	ל	lew		PROPN;NOM;SG
לו	lou	ל	lou		PROPN;NOM;SG
מה	mitä	מה	mikä	ADV	PRO;PRT;SG
מה	mikä	מה	mikä	ADV	PRO;NOM;SG
העולם	maailmassa	העולם	maailma		N;IN+ESS;SG
העולם	maailma	העולם	maailma		N;NOM;SG
העולם	maailmaa	העולם	maailma		N;PRT;SG
העולם	maailman	העולם	maailma		N;GEN;SG
העולם	world	העולם	world		PROPN;NOM;SG
העולם	maailmaan	העולם	maailma		N;IN+ALL;SG
העיר	kaupunki	העיר	kaupunki	V;MASC;SG;3;PST;ACT	N;NOM;SG
העיר	city	העיר	city	V;MASC;SG;3;PST;ACT	PROPN;NOM;SG
העיר	kaupunki	העיר	kaupunki	V;MASC;SG;3;PST;ACT	N;NOM;SG
העיר	paikkakunta	העיר	paikka#kunta	V;MASC;SG;3;PST;ACT	N;NOM;SG
במהלך	aikana	במהלך	aika	ADV	N;FRML;SG
שנים	vuotta	שנה	vuosi	N;FEM;PL	N;PRT;SG
אף	nenä	אף	nenä	CONJ	N;NOM;SG
אף	nenän	אף	nenä	CONJ	N;GEN;SG
אף	nenää	אף	nenä	CONJ	N;PRT;SG
רבים	monet	רב	moni	V;MASC;PL;V.PTCP;ACT	PRO;NOM;PL
רבים	monia	רב	moni	V;MASC;PL;V.PTCP;ACT	PRO;PRT;PL
רבים	monta	רב	moni	V;MASC;PL;V.PTCP;ACT	PRO;PRT;SG
רבים	moni	רב	moni	V;MASC;PL;V.PTCP;ACT	PRO;NOM;SG
רבים	monikossa	רב	monikko	V;MASC;PL;V.PTCP;ACT	N;IN+ESS;SG
בה	hänen	ב	hän		PRO;GEN;SG;3
במאי	voi	במאי	voi	N;MASC;SG	INTJ
שנה	vuodet	שנה	vuosi	N;FEM;SG	N;NOM;PL
שנה	vuosien	שנה	vuosi	N;FEM;SG	N;GEN;PL
שנה	vuosia	שנה	vuosi	N;FEM;SG	N;PRT;PL
נולד	syntynyt	נולד	syntyä	V;MASC;SG;3;PST;MID	V;NOM;SG;V.PTCP;ACT
נולד	syntyneet	נולד	syntyä	V;MASC;SG;3;PST;MID	V;NOM;PL;V.PTCP;ACT
נולד	syntyi	נולד	syntyä	V;MASC;SG;3;PST;MID	V;IND;SG;3;PST;FIN;ACT
הערות	toteaa	הערה	todeta	N;FEM;PL	V;IND;SG;3;PRS;FIN;ACT
חלק	osaa	חלק	osata	N;MASC;SG	V;IMP;SG;2;FIN;ACT
חלק	osittain	חלק	osittain	N;MASC;SG	ADV
חלק	sileä	חלק	sileä	N;MASC;SG	ADJ;NOM;SG
חלק	sujuvasti	חלק	sujuvasti	N;MASC;SG	ADV
לפני	ennen	לפני	ennen	ADP	ADV
אחת	one	אחת	oni	NUM;FEM;SG	
ביולי	heinäkuu	ביולי	heinäkuu	PROPN	N;NOM;SG
ביולי	heinäkuussa	ביולי	heinäkuu	PROPN	N;IN+ESS;SG
ביולי	heinäkuun	ביולי	heinäkuu	PROPN	N;GEN;SG
ביולי	heinä	ביולי	hän	PROPN	N;NOM;SG
ביולי	heinäkuuta	ביולי	heinäkuu	PROPN	N;PRT;SG
שוליים	marginaali	שול	marginaali	N;MASC;PL	N;NOM;SG
להיות	olemisen	היה	oleminen	V;POS;NFIN	N;GEN;SG
להיות	oleminen	היה	oleminen	V;POS;NFIN	N;NOM;SG
באוקטובר	lokakuussa	באוקטובר	lokakuu	PROPN	N;IN+ESS;SG
באוקטובר	lokakuun	באוקטובר	lokakuu	PROPN	N;GEN;SG
באוקטובר	lokakuu	באוקטובר	lokakuu	PROPN	N;NOM;SG
באוקטובר	mma	באוקטובר	mma	PROPN	N;NOM;SG
באוקטובר	lokakuu	באוקטובר	lokakuu	PROPN	N;NOM;SG
בשם	nimeltään	בשם	nimi		N;AT+ABL;SG
בשם	nimetty	בשם	nimetä		V;NOM;SG;V.PTCP;PASS
אותה	hänen	None	hän	PRO;ACC;FEM;SG;3	PRO;GEN;SG;3
החל	alkanut	None	alkaa	ADP	V;NOM;SG;V.PTCP;ACT
החל	alkoi	None	alkaa	ADP	V;IND;SG;3;PST;FIN;ACT
החל	aloitti	None	aloittaa	ADP	V;IND;SG;3;PST;FIN;ACT
החל	aloitetaan	None	aloittaa	ADP	V;IND;PRS;FIN;PASS
החל	alkaen	None	alkaen	ADP	ADV
החל	aloittaminen	None	aloittaminen	ADP	N;NOM;SG
החל	aloitus	None	aloitus	ADP	N;NOM;SG
החל	alkaa	None	alkaa	ADP	V;IND;SG;3;PRS;FIN;ACT
הרב	herb	הרב	herb		PROPN;NOM;SG
בינואר	tammikuu	בינואר	tammikuu		N;NOM;SG
בינואר	tammikuussa	בינואר	tammikuu		N;IN+ESS;SG
בינואר	tammikuun	בינואר	tammikuu		N;GEN;SG
בינואר	tammikuuta	בינואר	tammikuu		N;PRT;SG
במרץ	marssi	במרץ	marssia	PROPN	V;IND;SG;3;PST;FIN;ACT
במרץ	maaliskuu	במרץ	maaliskuu	PROPN	N;NOM;SG
במרץ	maaliskuuta	במרץ	maaliskuu	PROPN	N;PRT;SG
במרץ	marssia	במרץ	marssi	PROPN	V;SG;NFIN;ACT
ראש	head	ראש	head	N;MASC;SG	
ראש	rush	ראש	rush	N;MASC;SG	
חיים	life	חיים	life	PROPN	
חיים	elämää	חיים	elämä	PROPN	N;PRT;SG
חיים	elämän	חיים	elämä	PROPN	N;GEN;SG
חיים	elämä	חיים	elämä	PROPN	N;NOM;SG
חיים	chaim	חיים	chaim	PROPN	N;NOM;SG
חיים	haim	חיים	haim	PROPN	PROPN;NOM;SG
המאה	vuosisadan	המאה	vuosi#sata		N;GEN;SG
המאה	vuosisata	המאה	vuosi#sata		N;NOM;SG
בנובמבר	marraskuuta	בנובמבר	marraskuu	ADV	N;PRT;SG
בנובמבר	marraskuussa	בנובמבר	marraskuu	ADV	N;IN+ESS;SG
בנובמבר	marraskuu	בנובמבר	marraskuu	ADV	N;NOM;SG
בדצמבר	joulukuu	בדצמבר	joulukuu	PROPN	N;NOM;SG
בדצמבר	joulukuussa	בדצמבר	joulukuu	PROPN	N;IN+ESS;SG
בדצמבר	joulukuuta	בדצמבר	joulukuu	PROPN	N;PRT;SG
לי	leen	ל	lehrä		N;GEN;SG
לי	lee	ל	olla		PROPN;NOM;SG
תל	tel	תל	tel	N;MASC;SG	PROPN;NOM;SG
בבית	kotiin	בבית	koti		N;IN+ALL;SG
בבית	kodin	בבית	koti		N;GEN;SG
בבית	kotona	בבית	kotona		ADV
בבית	koti	בבית	koti		N;NOM;SG
בפברואר	helmikuuta	בפברואר	helmikuu	ADV	N;PRT;SG
בפברואר	helmikuussa	בפברואר	helmikuu	ADV	N;IN+ESS;SG
בפברואר	helmikuu	בפברואר	helmikuu	ADV	N;NOM;SG
אחר	muu	אחר	muu	ADP	PRO;NOM;SG
אחר	muut	אחר	muu	ADP	PRO;NOM;PL
בני	benny	בני	benny	PROPN	PROPN;NOM;SG
בני	poika	בני	poika	PROPN	N;NOM;SG
ללא	ilman	ללא	ilman	ADP	ADV
שונים	erilainen	שונה	erilainen	ADJ;MASC;PL	ADJ;NOM;SG
שונים	erilaista	שונה	erilainen	ADJ;MASC;PL	ADJ;PRT;SG
אדם	adam	אדם	adam	N;MASC;SG	PROPN;NOM;SG
אדם	inhimillinen	אדם	inhimillinen	N;MASC;SG	ADJ;NOM;SG
כלל	sääntö	כלל	sääntö	ADV	N;NOM;SG
כלל	sääntöä	כלל	sääntö	ADV	N;PRT;SG
דבר	puhua	דבר	puhua	N;MASC;SG	V;SG;NFIN;ACT
דבר	puhu	דבר	puhua	N;MASC;SG	V;IMP;SG;2;FIN;ACT
דבר	puhua	דבר	puhua	N;MASC;SG	V;SG;NFIN;ACT
דבר	puhu	דבר	puhua	N;MASC;SG	V;IMP;SG;2;FIN;ACT
אחרים	muu	אחר	muu	ADJ;MASC;PL	PRO;NOM;SG
אחרים	muut	אחר	muu	ADJ;MASC;PL	PRO;NOM;PL
אחרים	muut	אחר	muu	ADJ;MASC;PL	PRO;NOM;PL
אחרים	toiset	אחר	toinen	ADJ;MASC;PL	PRO;NOM;PL
אחרים	muita	אחר	muu	ADJ;MASC;PL	PRO;PRT;PL
ספר	kerro	ספר	kertoa	N;MASC;SG	V;IMP;SG;2;FIN;ACT
נגד	vastoin	נגד	vastoin	ADP	ADV
נגד	vastaan	נגד	vastaan	ADP	ADV
לה	hänen	ל	hän		PRO;GEN;SG;3
זכה	voitin	זכה	voida	V;MASC;SG;3;PST;ACT	V;IND;SG;1;PST;FIN;ACT
אחרי	jälkeen	אחרי	jälkeen	ADP	ADV
אחרי	after	אחרי	after	ADP	
אולם	kuitenkin	אולם	kuitenkin	CONJ	ADV
הן	ne	הוא	se	PRO;FEM;PL;3	PRO;NOM;PL
אלה	ella	אלה	ella	PRO;MASC;PL;3	N;NOM;SG
אלה	jumalatar	אלה	jumalatar	PRO;MASC;PL;3	N;NOM;SG
ירושלים	jerusalemin	ירושלים	jerus#alemin	PROPN	N;GEN;SG
ירושלים	jerusalemissa	ירושלים	jerus#alema	PROPN	N;IN+ESS;PL
המדינה	osavaltio	המדין	osa#valtio	V;FEM;SG;3;PST;ACT	N;NOM;SG
המדינה	valtion	המדין	valtio	V;FEM;SG;3;PST;ACT	N;GEN;SG
המדינה	valtio	המדין	valtio	V;FEM;SG;3;PST;ACT	N;NOM;SG
מקום	place	מקום	place	N;MASC;SG	
יהודים	juutalaista	יהודי	juutalainen	N;MASC;PL	N;PRT;SG
יהודים	juutalainen	יהודי	juutalainen	N;MASC;PL	ADJ;NOM;SG
רבות	monet	רב	moni	N;FEM;PL	PRO;NOM;PL
רבות	monia	רב	moni	N;FEM;PL	PRO;PRT;PL
רבות	monta	רב	moni	N;FEM;PL	PRO;PRT;SG
רבות	moni	רב	moni	N;FEM;PL	PRO;NOM;SG
כמה	osa	כמה	osa	DET;PSSD	N;NOM;SG
כמה	joitakin	כמה	jokin	DET;PSSD	PRO;PRT;PL
כמה	jotkut	כמה	joku	DET;PSSD	PRO;NOM;PL
מטר	jalkojen	מטר	jalka	PROPN	N;GEN;PL
מטר	jalat	מטר	jalka	PROPN	N;NOM;PL
מטר	mittarit	מטר	mittari	PROPN	N;NOM;PL
מטר	metriä	מטר	metri	PROPN	N;PRT;SG
מטר	metri	מטר	metri	PROPN	N;NOM;SG
מטר	mittari	מטר	mittari	PROPN	N;NOM;SG
מטר	metriä	מטר	metri	PROPN	N;PRT;SG
דרך	kautta	דרך	kautta		ADV
דרך	via	דרך	via		N;NOM;SG
דרך	kautta	דרך	kautta		ADV
דרך	läpi	דרך	läpi		ADV
דרך	tapa	דרך	tapa		N;NOM;SG
דרך	keino	דרך	keino		N;NOM;SG
דרך	way	דרך	way		
יכול	vois	None	voida	V;MASC;SG;V.PTCP	V;COND;SG;3;FIN;ACT
יכול	voisi	None	voida	V;MASC;SG;V.PTCP	V;COND;SG;3;FIN;ACT
יכול	voi	None	voi	V;MASC;SG;V.PTCP	INTJ
באמצעות	kautta	באמצעות	kautta	ADP	ADV
באמצעות	via	באמצעות	via	ADP	N;NOM;SG
בעלי	aviomiehen	בעל	avio#mies	N;PSSD;MASC;PL	N;GEN;SG
בעלי	aviomies	בעל	avio#mies	N;PSSD;MASC;PL	N;NOM;SG
בשל	kypsä	בשל	kypsä	ADP	ADJ;NOM;SG
בשל	kypsiä	בשל	kypsä	ADP	ADJ;PRT;PL
פרס	palkkion	פרס	palkkio	PROPN	N;GEN;SG
פרס	palkinto	פרס	palkinto	PROPN	N;NOM;SG
פרס	palkkiota	פרס	palkkio	PROPN	N;PRT;SG
פרס	palkkio	פרס	palkkio	PROPN	N;NOM;SG
פרס	palkintoa	פרס	palkinto	PROPN	N;PRT;SG
פרס	palkinto	פרס	palkinto	PROPN	N;NOM;SG
פרס	palkinnon	פרס	palkinto	PROPN	N;GEN;SG
פרס	palkintoa	פרס	palkinto	PROPN	N;PRT;SG
פרס	palkinto	פרס	palkinto	PROPN	N;NOM;SG
ראו	rao	ראה	rao	V;PL;3;PST;ACT	PROPN;NOM;SG
דוד	dodd	דוד	dodd	PROPN	N;NOM;SG
דוד	setä	דוד	setä	PROPN	N;NOM;SG
דוד	eno	דוד	eno	PROPN	N;NOM;SG
דוד	david	דוד	david	PROPN	PROPN;NOM;SG
שלה	hänen	של	hän		PRO;GEN;SG;3
בנוסף	plus	בנוסף	plus	ADV	N;NOM;SG
בנוסף	plussaa	בנוסף	plussa	ADV	N;PRT;SG
תחת	perse	תחת	perse	ADP	N;NOM;SG
תחת	perse	תחת	perse	ADP	N;NOM;SG
תחת	alta	תחת	alta	ADP	ADV
תחת	alle	תחת	alle	ADP	ADV
תחת	alla	תחת	alla	ADP	ADV
כתב	kirjoitti	כתב	kirjoittaa	N;MASC;SG	V;IND;SG;3;PST;FIN;ACT
כתב	kirjoitin	כתב	kirjoittaa	N;MASC;SG	V;IND;SG;1;PST;FIN;ACT
עצמו	itse	עצמו	itse	PRO;MASC;SG;3;REFL	ADV
הקבוצה	konserni	הקבוצה	konserni	PROPN	N;NOM;SG
הקבוצה	ryhmän	הקבוצה	ryhmä	PROPN	N;GEN;SG
הקבוצה	ryhmä	הקבוצה	ryhmä	PROPN	N;NOM;SG
הערך	arvoa	הערך	arvo		N;PRT;SG
הערך	arvo	הערך	arvo		N;NOM;SG
היום	today	היום	today	ADV	
רבי	rabbi	רבי	rabbi	PROPN	N;NOM;SG
מי	kuka	מי	kuka	ADV	PRO;NOM;SG
מי	ketä	מי	kettä	ADV	PRO;PRT;SG
מי	who	מי	who	ADV	N;NOM;SG
מי	joka	מי	joka	ADV	PRO;NOM;SG
למרות	vaikka	למרות	vaikka	ADP	CONJ
למרות	tosin	למרות	tosin	ADP	ADV
למרות	vaikkakin	למרות	vaikka	ADP	CONJ
למרות	vaikka	למרות	vaikka	ADP	CONJ
למרות	tosin	למרות	tosin	ADP	ADV
למרות	vaik	למרות	vaikka	ADP	ADV
אחרות	muut	אחר	muu	ADJ;FEM;PL	PRO;NOM;PL
אחרות	toiset	אחר	toinen	ADJ;FEM;PL	PRO;NOM;PL
אחרות	muita	אחר	muu	ADJ;FEM;PL	PRO;PRT;PL
המלחמה	sodan	המלחם	sota	PROPN	N;GEN;SG
המלחמה	sotaa	המלחם	sota	PROPN	N;PRT;SG
המלחמה	sota	המלחם	sota	PROPN	N;NOM;SG
שונות	erilainen	שונה	erilainen	ADJ;FEM;PL	ADJ;NOM;SG
שונות	erilaista	שונה	erilainen	ADJ;FEM;PL	ADJ;PRT;SG
שונות	sekalaiset	שונה	sekalainen	ADJ;FEM;PL	N;NOM;PL
הארץ	maa	הארץ	maa		N;NOM;SG
הארץ	maapallo	הארץ	maa#pallo		N;NOM;SG
הארץ	maan	הארץ	maa		N;GEN;SG
מערכת	system	מערכת	system	N;FEM;SG	
תאריך	päivämäärä	תאריך	päivä#määrä	PROPN	N;NOM;SG
תאריך	päiväys	תאריך	päiväys	PROPN	N;NOM;SG
תאריך	treffit	תאריך	treffi	PROPN	N;NOM;PL
עבר	mennyttä	עבר	mennyt	N;MASC;SG	ADJ;PRT;SG
עבר	menneet	עבר	mennä	N;MASC;SG	V;NOM;PL;V.PTCP;ACT
עבר	ohi	עבר	ohi	N;MASC;SG	ADV
עבר	siirretty	עבר	siirtää	N;MASC;SG	V;NOM;SG;V.PTCP;PASS
עבר	siirrettiin	עבר	siirtää	N;MASC;SG	V;IND;PST;FIN;PASS
עבר	muutti	עבר	muuttaa	N;MASC;SG	V;IND;SG;3;PST;FIN;ACT
עבר	kulunut	עבר	kulua	N;MASC;SG	V;NOM;SG;V.PTCP;ACT
אפשר	salli	אפשר	salli	V	V;IMP;SG;2;FIN;ACT
אפשר	salli	אפשר	salli	V	V;IMP;SG;2;FIN;ACT
אפשר	sallia	אפשר	sallia	V	V;SG;NFIN;ACT
נוסף	lisättiin	None	lisätä	ADP	V;IND;PST;FIN;PASS
נוסף	lisäsi	None	lisätä	ADP	V;IND;SG;3;PST;FIN;ACT
נוסף	lisätty	None	lisätä	ADP	V;NOM;SG;V.PTCP;PASS
מרכז	keskelle	מרכז	keskelle	N;MASC;SG	ADV
שימוש	käyttää	שימוש	käyttää	N;MASC;SG	V;IND;SG;PRS;FIN;ACT
שימוש	käyttäen	שימוש	käyttää	N;MASC;SG	V;INS;SG;NFIN;ACT
שימוש	käyttämällä	שימוש	käyttää	N;MASC;SG	V;AT+ESS
;SG;NFIN;ACT
שימוש	käyttää	שימוש	käyttää	N;MASC;SG	V;IND;SG;PRS;FIN;ACT
שימוש	käytä	שימוש	käyttää	N;MASC;SG	V;IMP;SG;2;FIN;ACT
שימוש	käytettävä	שימוש	käyttää	N;MASC;SG	V;NOM;SG;V.PTCP;PASS
שיש	marmoria	שיש	marmori		N;PRT;SG
רוב	eniten	רוב	eniten	N;MASC;SG	ADV
רוב	useimmat	רוב	usea	N;MASC;SG	ADJ;NOM;RL;PL
רוב	useimmilla	רוב	usea	N;MASC;SG	ADJ;AT+ESS
;RL;PL
רוב	useimpia	רוב	usea	N;MASC;SG	ADJ;PRT;CMPR;PL
רוב	rob	רוב	rob	N;MASC;SG	PROPN;NOM;SG
רוב	ryöstää	רוב	ryöstää	N;MASC;SG	V;IND;SG;3;PRS;FIN;ACT
כולל	sisältää	כלל	sisältää	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN;ACT
כולל	sisällytetty	כלל	sisällyttää	V;MASC;SG;V.PTCP;ACT	V;NOM;SG;V.PTCP;PASS
כולל	sisältyy	כלל	sisältyä	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN;ACT
גדול	suuret	גדול	suuri	ADJ;MASC;SG	ADJ;NOM;PL
גדול	suuria	גדול	suuri	ADJ;MASC;SG	ADJ;PRT;PL
גדול	isot	גדול	iso	ADJ;MASC;SG	ADJ;NOM;PL
ישראלים	israelin	ישראלי	israeli	N;MASC;PL	N;GEN;SG
יהודי	juutalaiset	יהודי	juutalainen	N;MASC;SG	N;NOM;PL
יהודי	juutalainen	יהודי	juutalainen	N;MASC;SG	ADJ;NOM;SG
יהודי	juutalainen	יהודי	juutalainen	N;MASC;SG	ADJ;NOM;SG
סוג	kirjoita	סוג	kirja	N;MASC;SG	V;IMP;SG;2;FIN;ACT
ראשון	sunnuntaina	ראשון	sunnuntai	PROPN	N;FRML;SG
ראשון	sunnuntaita	ראשון	sunnuntai	PROPN	N;PRT;PL
ראשון	sunnuntai	ראשון	sunnuntai	PROPN	N;NOM;SG
ראשון	ensin	ראשון	ensin	PROPN	ADV
ראשון	ensimmäinen	ראשון	ensimmäinen	PROPN	ADJ;NOM;SG
ראשון	eka	ראשון	ensin	PROPN	N;NOM;SG
ראשון	ensiksi	ראשון	ensiksi	PROPN	ADV
מידע	info	מידע	info	N;MASC;SG	INTJ
מידע	tiedot	מידע	tieto	N;MASC;SG	N;NOM;PL
מידע	tietoja	מידע	tieto	N;MASC;SG	N;PRT;PL
מידע	tiedot	מידע	tieto	N;MASC;SG	N;NOM;PL
מידע	tietoja	מידע	tieto	N;MASC;SG	N;PRT;PL
מידע	tiedot	מידע	tieto	N;MASC;SG	N;NOM;PL
מידע	tietoja	מידע	tieto	N;MASC;SG	N;PRT;PL
קובץ	tiedostoa	קובץ	tiedosto	PROPN	N;PRT;SG
קובץ	tiedosto	קובץ	tiedosto	PROPN	N;NOM;SG
קובץ	tiedoston	קובץ	tiedosto	PROPN	N;GEN;SG
קובץ	kansio	קובץ	kansio	PROPN	N;NOM;SG
דקות	minuuttia	דקה	minuutti	N;FEM;PL	N;PRT;SG
דקות	pöytäkirja	דקה	pöytä#kirja	N;FEM;PL	N;NOM;SG
צריך	tarve	צריך	tarve	V;MASC;SG	N;NOM;SG
צריך	tarvitaan	צריך	tarvita	V;MASC;SG	V;IND;PRS;FIN;PASS
צריך	tarpeen	צריך	tarpeen	V;MASC;SG	ADV
צריך	tarvita	צריך	tarvita	V;MASC;SG	V;IMP;SG;2;FIN;ACT
צריך	tarvetta	צריך	tarve	V;MASC;SG	N;PRT;SG
צריך	pitäisi	צריך	pitää	V;MASC;SG	V;COND;SG;3;FIN;ACT
צריך	pitäis	צריך	pitää	V;MASC;SG	V;COND;SG;3;FIN;ACT
צריך	pitäisikö	צריך	pitää	V;MASC;SG	V;COND;SG;3;FIN;ACT
ויקיפדיה	wikipedia	ויקיפדיה	wikipedia	PROPN	N;NOM;SG
בת	beth	בת	beth	N;FEM;SG	PROPN;NOM;SG
השם	nimi	השם	nimi		N;NOM;SG
השם	nimeä	השם	nimi		N;PRT;SG
בתוך	sisältä	בתוך	sisältä	ADP	ADV
בתוך	sisään	בתוך	sisään	ADP	ADV
בתוך	sisällä	בתוך	sisällä	ADP	ADV
בתוך	sisäpuolella	בתוך	sisä#puoli	ADP	N;AT+ESS
;SG
בתוך	kuluessa	בתוך	kulua	ADP	V;IN+ESS;SG;NFIN;ACT
האדם	ihminen	האדם	ihminen		N;NOM;SG
האדם	henkilö	האדם	henkilö		N;NOM;SG
האדם	henkilöä	האדם	henkilö		N;PRT;SG
כאן	tässä	כאן	tämä	ADV	PRO;IN+ESS;SG
מול	mol	מול	mol	ADP	N;NOM;SG
שלהם	heidän	של	hän		PRO;GEN;PL;3
שלהם	niiden	של	se		PRO;GEN;PL
וגם	lisäksi	וגם	lisäksi		ADV
וגם	myöskin	וגם	myöskin		ADV
וגם	myös	וגם	myös		ADV
הים	meri	הים	meri		N;NOM;SG
השיר	biisi	השיר	biisi	ADV	N;NOM;SG
השיר	song	השיר	song	ADV	
השיר	laulua	השיר	laulu	ADV	N;PRT;SG
השיר	laulu	השיר	laulu	ADV	N;NOM;SG
השיר	kappale	השיר	kappale	ADV	N;NOM;SG
חדש	uudet	חדש	uusi	ADJ;MASC;SG	ADJ;NOM;PL
חדש	uusia	חדש	uusi	ADJ;MASC;SG	ADJ;PRT;PL
השלישי	iii	השליש	iii	PROPN	ADJ
השלישי	kolmas	השליש	kolmas	PROPN	ADJ;NOM;SG
השלישי	kolmannet	השליש	kolmas	PROPN	ADJ;NOM;PL
השלישי	kolmanneksi	השליש	kolmas	PROPN	ADJ;TRANS;SG
משה	mooses	משה	mooses	PROPN	N;NOM;SG
משה	moses	משה	moses	PROPN	N;NOM;SG
משה	mooseksen	משה	mooses	PROPN	N;GEN;SG
משה	moshe	משה	moshe	PROPN	N;NOM;SG
גרמניה	saksaa	גרמניה	saksa	PROPN	N;PRT;SG
גרמניה	saksalainen	גרמניה	saksalainen	PROPN	ADJ;NOM;SG
גרמניה	saksa	גרמניה	saksa	PROPN	PROPN;NOM;SG
גרמניה	saksaksi	גרמניה	saksa	PROPN	N;TRANS;SG
גרמניה	saksan	גרמניה	saksa	PROPN	N;GEN;SG
גרמניה	saksa	גרמניה	saksa	PROPN	PROPN;NOM;SG
גרמניה	saksan	גרמניה	saksa	PROPN	N;GEN;SG
יורק	yorkiin	יורק	yorki	PROPN	N;IN+ALL;SG
יורק	york	יורק	york	PROPN	PROPN;NOM;SG
יורק	yorkin	יורק	yorkki	PROPN	N;GEN;SG
