से	از	से	از		ADP
सभी	همه	सब	همه	PRO;NOM;3	PRO
प्राप्त	دریافت	प्राप्त	دریافت	ADJ	N;SG
इसका	its	यह	its	PRO;MASC;SG;3	
शामिल	دخیل	शामिल	دخیل	ADJ	N;SG
उन्हें	آنها	वह	آن	PRO;SG;3;FORM	PRO;PL
उन्हें	آنان	वह	آن	PRO;SG;3;FORM	PRO;PL
उस	که	वह	که	DET;ACC;SG;3	CONJ
स्थान	مکانهایی	स्थान	مکان	N;NOM;MASC;SG;3	N;PL
स्थान	مکانها	स्थान	مکان	N;NOM;MASC;SG;3	N;PL
स्थान	مساجد	स्थान	None	N;NOM;MASC;SG;3	N;PL
स्थान	مکانهای	स्थान	مکان	N;NOM;MASC;SG;3	N;PL
स्थान	مکانها	स्थान	مکان	N;NOM;MASC;SG;3	N;PL
स्थान	محلهای	स्थान	محل	N;NOM;MASC;SG;3	N;PL
प्रमुख	عمده	प्रमुख	عمده	N;NOM;MASC;SG;3	ADJ
प्रमुख	اصلی	प्रमुख	اصلی	N;NOM;MASC;SG;3	ADJ
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	
बीच	بیچ	बीच	بیچ	ADV;NOM;MASC;SG;3	N;SG
बीच	ساحل	बीच	ساحل	ADV;NOM;MASC;SG;3	N;SG
बीच	سنتر	बीच	سنتر	ADV;NOM;MASC;SG;3	N;SG
बीच	مرکزش	बीच	مرکزش	ADV;NOM;MASC;SG;3	N;SG
बीच	مرکز	बीच	مرکز	ADV;NOM;MASC;SG;3	N;SG
गए	رفت	जा	رفت#رو	V;PFV;MASC;PL;V.PTCP;ACT	V;SG;3;PST
गए	رفتن	जा	رفتن	V;PFV;MASC;PL;V.PTCP;ACT	N;SG
गए	رفته	जा	رفت#رو	V;PFV;MASC;PL;V.PTCP;ACT	V;SG;3;V.PTCP
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	N;SG
मुख्य	اصلی	मुख्य	اصلی	PROPN;NOM;MASC;SG;3	ADJ
मुख्य	ماین	मुख्य	ماین	PROPN;NOM;MASC;SG;3	N;SG
थी	بود	था	بود#باش	V;FEM;IND;SG;PST;FIN;ACT	V;SG;3;PST
बिहार	بیهار	बिहार	بیهار	PROPN;NOM;MASC;SG;3	N;SG
कार्य	کارها	कार्य	کار	N;NOM;MASC;SG;3	N;PL
कार्य	کارهای	कार्य	کار	N;NOM;MASC;SG;3	N;PL
आंध्र	آندرا	आंध्र	آندرا	PROPN;NOM;MASC;SG;3	N;SG
लोगों	مردم	लोग	مردم	N;ACC;MASC;PL;3	N;SG
भाग	بخشهای	भाग	بخش		N;PL
भाग	بخشها	भाग	بخش		N;PL
भाग	جزء	भाग	جزء		N;SG
भाग	قسمت	भाग	قسمت		N;SG
भाग	پارت	भाग	پارت		N;SG
भाग	قطعات	भाग	قطعه		N;PL
भाग	عورت	भाग	عورت		N;SG
निर्माण	بسازم	निर्माण	None	N;NOM;MASC;SG;3	V;SBJV;SG;1;PRS
निर्माण	بساز	निर्माण	None	N;NOM;MASC;SG;3	V;IMP;SG;2
निर्माण	بسازید	निर्माण	None	N;NOM;MASC;SG;3	V;SBJV;PL;2;PRS
निर्माण	بسازی	निर्माण	بسازی	N;NOM;MASC;SG;3	V;SBJV;SG;2;PRS
दोनों	هردو	दो	هردو	N;ACC;MASC;PL;3	
राष्ट्रीय	نشنال	राष्ट्रीय	نشنال	PROPN;NOM;MASC;SG;3	N;SG
राष्ट्रीय	ملی	राष्ट्रीय	ملی	PROPN;NOM;MASC;SG;3	ADJ
जानकारी	اطلاعات	जानकारी	اطلاع	N;NOM;FEM;SG;3	N;PL
जानकारी	اطلاعات	जानकारी	اطلاع	N;NOM;FEM;SG;3	N;PL
जानकारी	معلومات	जानकारी	معلوم	N;NOM;FEM;SG;3	N;PL
शहर	شهرها	शहर	شهر	N;NOM;MASC;SG;3	N;PL
बार	زمانهای	बार	زمان	N;NOM;FEM;SG;3	N;PL
बार	times	बार	times	N;NOM;FEM;SG;3	
बार	دفعات	बार	دفعه	N;NOM;FEM;SG;3	N;PL
लगभग	تقریباً	लगभग	تقریباً	PART	ADV
लगभग	تقریبا	लगभग	None	PART	ADV
लगभग	نزدیک	लगभग	نزدیک	PART	ADP
लगभग	نمانده	लगभग	ماند#مان	PART	V;SG;3;NEG;V.PTCP
लगभग	حدوداً	लगभग	حدوداً	PART	ADV
फिल्म	فیلمش	फिल्म	فیلمش	N;NOM;FEM;SG;3	
फिल्म	سینمایی	फिल्म	سینمایی	N;NOM;FEM;SG;3	ADJ
फिल्म	film	फिल्म	film	N;NOM;FEM;SG;3	
यहाँ	اینجا	यहाँ	اینجا	PRO;NOM	ADV;ESS
प्रसिद्ध	مشهور	प्रसिद्ध	مشهور	ADJ	N;SG
प्रसिद्ध	مشهوره	प्रसिद्ध	مشهوره	ADJ	N;SG
केवल	تنها	केवल	تنها	PART	ADV
देश	کشورها	देश	کشور	N;NOM;MASC;SG;3	N;PL
विशेष	خالص	विशेष	خالص	ADJ;NOM	N;SG
विशेष	انحصاری	विशेष	انحصاری	ADJ;NOM	N;SG
विशेष	مخصوص	विशेष	مخصوص	ADJ;NOM	N;SG
विशेष	خاص	विशेष	خاص	ADJ;NOM	N;SG
विशेष	استثنایی	विशेष	استثنایی	ADJ;NOM	N;SG
विशेष	خاصه	विशेष	خاصه	ADJ;NOM	N;SG
इसकी	its	यह	its	PRO;FEM;SG;3	
पृष्ठ	صفحات	पृष्ठ	None	N;NOM;MASC;SG;3	N;PL
माना	مانا	मान	None	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
शब्द	کلمات	शब्द	None	N;NOM;MASC;SG;3	N;PL
पुरस्कार	جوایز	पुरस्कार	جایزه	N;NOM;MASC;SG;3	N;PL
पुरस्कार	جوایز	पुरस्कार	جایزه	N;NOM;MASC;SG;3	N;PL
लेख	مقالات	लेख	مقاله	N;NOM;MASC;SG;3	N;PL
अब	اکنون	अब	اکنون	PRO;NOM	ADV
अब	الان	अब	الان	PRO;NOM	ADV
अब	حالا	अब	حالا	PRO;NOM	ADV
अमेरिका	آمریکای	अमेरिका	آمریکا	PROPN;NOM;MASC;SG;3	N;SG
अमेरिका	امریکا	अमेरिका	امریکا	PROPN;NOM;MASC;SG;3	N;SG
अमेरिका	آمریکا	अमेरिका	آمریکا	PROPN;NOM;MASC;SG;3	N;SG
दक्षिण	ساوت	दक्षिण	ساوت	PROPN;NOM;MASC;SG;3	N;SG
दक्षिण	جنوب	दक्षिण	جنوب	PROPN;NOM;MASC;SG;3	N;SG
दक्षिण	جنوبی	दक्षिण	جنوبی	PROPN;NOM;MASC;SG;3	N;SG
विभिन्न	متفرقه	विभिन्न	متفرقه	ADJ	N;SG
फ़िल्म	فیلمش	फ़िल्म	فیلمش	N;NOM;FEM;SG;3	
फ़िल्म	سینمایی	फ़िल्म	سینمایی	N;NOM;FEM;SG;3	ADJ
फ़िल्म	film	फ़िल्म	film	N;NOM;FEM;SG;3	
पास	گذری	पास	گذری	ADV;NOM;MASC;SG;3	N;SG
पास	مجالس	पास	مجالس	ADV;NOM;MASC;SG;3	N;PL
पास	گذر	पास	None	ADV;NOM;MASC;SG;3	N;SG
पास	عبور	पास	عبور	ADV;NOM;MASC;SG;3	N;SG
पास	پاس	पास	پاس	ADV;NOM;MASC;SG;3	N;SG
विस्तृत	مفصل	विस्तृत	مفصل	ADJ	N;SG
विस्तृत	استادانه	विस्तृत	استادانه	ADJ	ADV
विस्तृत	پیشرفته	विस्तृत	پیشرفته	ADJ	N;SG
दिन	روزها	दिन	روز	N;NOM;MASC;SG;3	N;PL
दिन	روزهایی	दिन	روز	N;NOM;MASC;SG;3	N;PL
दिन	روزای	दिन	روزا	N;NOM;MASC;SG;3	N;PL
दिन	روزهای	दिन	روز	N;NOM;MASC;SG;3	N;PL
विज्ञान	علوم	विज्ञान	علم	N;NOM;MASC;SG;3	N;PL
सदस्य	عضو	सदस्य	عضو	N;NOM;MASC;PL;3	N;SG
सदस्य	عضوی	सदस्य	عضو	N;NOM;MASC;PL;3	N;SG
सिंह	سینگ	सिंह	سینگ	PROPN;NOM;MASC;SG;3	N;SG
सिंह	لئو	सिंह	لئو	PROPN;NOM;MASC;SG;3	N;SG
सिंह	leo	सिंह	leo	PROPN;NOM;MASC;SG;3	N;SG
अनेक	بسیار	अनेक	بسیار	DET	ADV
अनेक	چندین	अनेक	چندین	DET	ADJ
अनेक	چندگانه	अनेक	چندگانه	DET	ADJ
अनेक	چندین	अनेक	چندین	DET	ADJ
यहां	اینجا	यहाँ	اینجا	PRO;NOM	ADV;ESS
संख्या	اعداد	संख्या	اعداد	N;NOM;FEM;SG;3	N;PL
संख्या	اعدادی	संख्या	اعدادی	N;NOM;FEM;SG;3	N;PL
अपना	شما	अपना	شما	PRO;NOM;MASC;SG	PRO;PL;2
शिक्षा	تحصیلات	शिक्षा	تحصیل	N;NOM;FEM;SG;3	N;PL
दिल्ली	دهلی	दिल्ली	دهلی	PROPN;NOM;FEM;SG;3	N;SG
धर्म	ادیان	धर्म	None	N;NOM;MASC;SG;3	N;PL
धर्म	مذاهب	धर्म	مذاهب	N;NOM;MASC;SG;3	N;PL
धर्म	دارما	धर्म	دارما	N;NOM;MASC;SG;3	INTJ
मूल	اصلی	मूल	اصلی	N;NOM;MASC;SG;3	ADJ
तब	پس	तब	پس	PRO;NOM	ADV
बना	make	बन	make	V;PFV;MASC;SG;V.PTCP;ACT	
बना	را	बन	را	V;PFV;MASC;SG;V.PTCP;ACT	PART
कोड	کد	कोड	کرد#کن		N;SG
संयुक्त	یونایتد	संयुक्त	یونایت#یونا	PROPN;NOM;MASC;SG;3	N;SG
संयुक्त	متحد	संयुक्त	None	PROPN;NOM;MASC;SG;3	N;SG
संयुक्त	مفصل	संयुक्त	مفصل	PROPN;NOM;MASC;SG;3	N;SG
जुलाई	ژوئیه	जुलाई	ژوئیه	PROPN;NOM;FEM;SG;3	N;SG
जुलाई	جولای	जुलाई	جولا	PROPN;NOM;FEM;SG;3	N;SG
नदी	رود	नदी	رفت#رو	N;NOM;FEM;SG;3	V;SBJV;SG;3;PRS
वाला	والا	वाला	None	ADP;NOM;MASC;SG	
वाला	ولا	वाला	ولا	ADP;NOM;MASC;SG	
काल	وخیم	काल	وخیم	N;NOM;MASC;SG;3	ADJ
काल	بخوانید	काल	خواند#خوان	N;NOM;MASC;SG;3	V;SBJV;PL;2;PRS
काल	دورهای	काल	دور	N;NOM;MASC;SG;3	N;PL
वर्षों	سال	वर्ष	سال	N;NOM;MASC;PL;3	N;SG
प्रति	پر	प्रति	پر		N;SG
बड़े	بیگ	बडा	بیگ	ADJ;NOM;MASC;PL	N;SG
बड़े	b	बडा	b	ADJ;NOM;MASC;PL	N;SG
बड़े	بزرگی	बडा	بزرگی	ADJ;NOM;MASC;PL	N;SG
जनवरी	ژانویه	जनवरी	ژانویه	PROPN;NOM;FEM;SG;3	N;SG
मध्य	مرکزی	मध्य	مرکزی		ADJ
मध्य	سنترال	मध्य	سنترال		N;SG
मध्य	مرکز	मध्य	مرکز		N;SG
मध्य	سنتر	मध्य	سنتر		N;SG
मध्य	مرکزش	मध्य	مرکزش		N;SG
मध्य	مرکز	मध्य	مرکز		N;SG
मध्य	مدین	मध्य	مدین		N;SG
मध्य	وسطی	मध्य	وسطی		N;SG
मध्य	میدل	मध्य	میدل		N;SG
मध्य	میانی	मध्य	None		N;SG
मध्य	میانه	मध्य	میانه		N;SG
मध्य	وسط	मध्य	وسط		ADP
प्रथम	ابتدا	प्रथम	ابتدا	ADJ	N;SG
विश्वविद्यालय	دانشگاههای	विश्वविद्यालय	دانشگاه	N;NOM;MASC;SG;3	N;PL
विश्वविद्यालय	دانشگاهها	विश्वविद्यालय	دانشگاه	N;NOM;MASC;SG;3	N;PL
जून	jun	जून	jun	PROPN;NOM;MASC;SG;3	N;SG
जून	ژون	जून	ژون	PROPN;NOM;MASC;SG;3	N;SG
जून	ژوئن	जून	None	PROPN;NOM;MASC;SG;3	N;SG
जून	june	जून	june	PROPN;NOM;MASC;SG;3	
मार्च	مار	मार्च	مار	PROPN;NOM;MASC;SG;3	N;SG
मार्च	مارس	मार्च	مارس	PROPN;NOM;MASC;SG;3	N;SG
मार्च	پیشروی	मार्च	پیشروی	PROPN;NOM;MASC;SG;3	N;SG
मार्च	راهپیمایی	मार्च	راهپیمایی	PROPN;NOM;MASC;SG;3	N;SG
बन	طمع	बन	طمع	V;ACT	N;SG
अर्थ	معنای	अर्थ	معنا		N;SG
अर्थ	معنی	अर्थ	معنی		N;SG
अर्थ	معنا	अर्थ	معنا		N;SG
अप्रैल	apr	अप्रैल	apr	PROPN;NOM;MASC;SG;3	N;SG
अप्रैल	آوریل	अप्रैल	None	PROPN;NOM;MASC;SG;3	N;SG
अप्रैल	اپریل	अप्रैल	اپریل	PROPN;NOM;MASC;SG;3	N;SG
अप्रैल	آوریل	अप्रैल	None	PROPN;NOM;MASC;SG;3	N;SG
महत्वपूर्ण	مهمند	महत्वपूर्ण	مهمند	ADJ	N;SG
महत्वपूर्ण	بحرانی	महत्वपूर्ण	بحرانی	ADJ	N;SG
महत्वपूर्ण	انتقادی	महत्वपूर्ण	انتقاد	ADJ	N;SG
महत्वपूर्ण	حیاتی	महत्वपूर्ण	حیاتی	ADJ	N;SG
महत्वपूर्ण	خطیر	महत्वपूर्ण	خطیر	ADJ	N;SG
प्रामाणिक	اصلن	प्रामाणिक	اصلن	ADJ;NOM	CONJ
आप	شما	आप	شما	PRO;NOM;SG;2;FORM	PRO;PL;2
किए	کوآ	कर	کوآ	V;PFV;MASC;PL;V.PTCP;ACT	N;SG
अक्टूबर	اکتبر	अक्टूबर	اکتبر	PROPN;NOM;MASC;SG;3	N;SG
अक्टूबर	october	अक्टूबर	None	PROPN;NOM;MASC;SG;3	N;SG
समूह	گروهها	समूह	گروه	N;NOM;MASC;SG;3	N;PL
वर्तमान	جاری	वर्तमान	جاری	N;NOM;MASC;SG;3	ADJ
वर्तमान	حاضر	वर्तमान	حاضر	N;NOM;MASC;SG;3	ADJ
अध्ययन	مطالعات	अध्ययन	مطالعه	N;NOM;MASC;SG;3	N;PL
आम	انبه	आम	انبه	ADJ	N;SG
आम	mango	आम	mango	ADJ	N;SG
आम	رایج	आम	رایج	ADJ	N;SG
स्थिति	شرایط	स्थिति	شرایط	N;NOM;FEM;SG;3	N;PL
प्रभाव	تأثیرات	प्रभाव	تأثیر	N;NOM;MASC;SG;3	N;PL
प्रभाव	تاثیرات	प्रभाव	تاثیر	N;NOM;MASC;SG;3	N;PL
प्रभाव	اثرات	प्रभाव	اثر	N;NOM;MASC;SG;3	N;PL
प्रभाव	آثار	प्रभाव	اثر	N;NOM;MASC;SG;3	N;PL
आदर्श	آرمانگرایی	आदर्श	آرمانگرایی	PROPN;NOM;MASC;SG;3	N;SG
आदर्श	طاغوت	आदर्श	None	PROPN;NOM;MASC;SG;3	N;SG
आदर्श	بُت	आदर्श	بُت	PROPN;NOM;MASC;SG;3	
साल	سالهای	साल	سال	N;NOM;MASC;SG;3	N;PL
साल	سالها	साल	سال	N;NOM;MASC;SG;3	N;PL
पहली	ابتدا	पहला	ابتدا	ADJ;NOM;FEM;SG	N;SG
अमेरिकी	آمریکایی	अमेरिकी	آمریکایی	PROPN;NOM;SG;3	ADJ
अमेरिकी	امریکایی	अमेरिकी	None	PROPN;NOM;SG;3	N;SG
अमेरिकी	امریکن	अमेरिकी	None	PROPN;NOM;SG;3	N;SG
अमेरिकी	آمریکن	अमेरिकी	آمریکن	PROPN;NOM;SG;3	N;SG
अमेरिकी	آمریکاییها	अमेरिकी	آمریکایی	PROPN;NOM;SG;3	N;PL
सेवा	خدمات	सेवा	خدمت	N;NOM;FEM;SG;3	N;PL
बनाने	ایجاد	बना	ایجاد	V;MASC;NFIN;ACT	N;SG
बनाने	ساختن	बना	ساختن	V;MASC;NFIN;ACT	N;SG
आज	امروز	आज	امروز	N;NOM;MASC;SG;3	ADV
स्थापित	تمکین	स्थापित	تمکین	ADJ	N;SG
स्थापित	نصب	स्थापित	نصب	ADJ	N;SG
स्थापित	بنیان	स्थापित	None	ADJ	N;SG
स्थापित	برپا	स्थापित	برپا	ADJ	N;SG
उच्च	رفیع	उच्च	None		N;SG
उच्च	بلند	उच्च	بلند		ADJ
काफी	کافیه	काफी	کافیه	DET	N;SG
बड़ी	بیگ	बडा	بیگ	ADJ;NOM;FEM;SG	N;SG
बड़ी	b	बडा	b	ADJ;NOM;FEM;SG	N;SG
बड़ी	بزرگی	बडा	بزرگی	ADJ;NOM;FEM;SG	N;SG
प्रभा	پرا	प्रभा	پرا		N;SG
उदाहरण	مثالهای	उदाहरण	مثال	N;NOM;MASC;SG;3	N;PL
ले	برداشت	ले	برداشت	V;ACT	N;SG
जिससे	کدام	जो	کدام	PRO;SG;3	N;SG
कंपनी	گروهان	कंपनी	گروه	N;NOM;FEM;SG;3	N;PL
अधिकांश	اکثر	अधिकांश	اکثر	CONJ	ADJ
अधिकांश	بیشتر	अधिकांश	بیش	CONJ	ADJ;CMPR
अधिकांश	بیشترین	अधिकांश	بیش	CONJ	ADJ;RL
अधिकांश	غالبا	अधिकांश	غالبا	CONJ	ADV
सामाजिक	اجتماعی	सामाजिक	اجتماعی	PROPN;NOM;SG;3	ADJ
सामाजिक	سوسیال	सामाजिक	سوسیال	PROPN;NOM;SG;3	N;SG
प्रत्येक	هرکدوم	प्रत्येक	هرکدوم	DET	N;SG
प्रत्येक	هریک	प्रत्येक	هریک	DET	N;SG
बड़ा	بیگ	बड़ा	بیگ	ADJ;NOM;MASC;SG	N;SG
बड़ा	b	बड़ा	b	ADJ;NOM;MASC;SG	N;SG
बड़ा	بزرگی	बड़ा	بزرگی	ADJ;NOM;MASC;SG	N;SG
बड़ा	عالیه	बड़ा	عالیه	ADJ;NOM;MASC;SG	N;SG
स्तर	سطوح	स्तर	سطح	N;NOM;MASC;SG;3	N;PL
जारी	ادامه	जारी	ادامه	ADJ	N;SG
चित्र	تصاویر	चित्र	تصویر	N;NOM;MASC;SG;3	N;PL
चित्र	عکسها	चित्र	عکس	N;NOM;MASC;SG;3	N;PL
चित्र	تصاویر	चित्र	تصویر	N;NOM;MASC;SG;3	N;PL
इससे	از	यह	از	PRO;SG;3	ADP
इससे	ببندد	यह	بست#بند	PRO;SG;3	V;SBJV;SG;3;PRS
सरकारी	دولتی	सरकारी	دولتی	ADJ;NOM	N;SG
सरकारी	حکومت	सरकारी	حکومت	ADJ;NOM	N;SG
सरकारी	دولت	सरकारी	دولت	ADJ;NOM	N;SG
जहां	کجا	जहाँ	کجا	PRO;NOM	ADV
