през	through	през	through	ADP	N
над	over	над	over	ADP	PROPN
над	arriba	над	arriba	ADP	ADV
над	supra	над	supro	ADP	
срещу	versus	срещу	versus	ADP	N
срещу	against	срещу	against	ADP	N
тези	éstas	този	este	DET;PL	PRO;FEM;PL
тези	estos	този	este	DET;PL	PRO;MASC;PL
тези	estas	този	este	DET;PL	PRO;FEM;PL
тези	éstos	този	este	DET;PL	PRO;MASC;PL
тези	esas	този	ese	DET;PL	PRO;FEM;PL
тези	aquellos	този	aquel	DET;PL	PRO;MASC;PL
тези	esos	този	ese	DET;PL	PRO;MASC;PL
души	almas	души	alma	N;INDF	N;FEM;PL
мини	mini	мина	mini	N;INDF;FEM;PL	
мини	minnie	мина	minnie	N;INDF;FEM;PL	N;SG
намира	hallazgos	намирам-(се)	hallazgo	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
късно	tardía	късно	tarder	ADV	ADJ;FEM;SG
май	may	май	maber	PROPN;INDF;MASC;SG	
май	mayo	май	mayo	PROPN;INDF;MASC;SG	N
август	august	август	augusto	N;INDF;MASC;SG	PROPN
август	ago	август	ago	N;INDF;MASC;SG	
роден	nacidos	родя-(се)	nacido	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
роден	born	родя-(се)	born	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N
роден	nacido	родя-(се)	nacido	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
преди	antes	преди	antes	ADP	ADV
група	agrupar	група	agrupar	N;INDF;FEM;SG	V;NFIN
език	idiomas	език	idioma	N;INDF;MASC;SG	N;MASC;PL
някои	some	някой	some	PRO;NOM;PL	N
юни	june	юни	june	N;INDF;MASC;SG	PROPN
две	two	два	two	NUM;INDF;FEM;PL	PROPN
октомври	oct	октомври	oct	N;INDF;MASC;SG	
заедно	juntos	заедно	junto	ADV	ADJ;MASC;PL
заедно	juntas	заедно	junto	ADV	ADJ;FEM;PL
заедно	together	заедно	together	ADV	N
фон	von	фон	von	N;INDF;MASC;SG	PROPN
фон	antecedentes	фон	antecedente	N;INDF;MASC;SG	N;MASC;PL
американски	american	американски	americar	ADJ;INDF;MASC;SG	N;FEM;SG
американски	americanos	американски	americano	ADJ;INDF;MASC;SG	N;MASC;PL
март	marchen	март	marchen	N;INDF;MASC;SG	V;IMP;PL;3;FIN
ноември	nov	ноември	nov	N;INDF;MASC;SG	
април	apr	април	apr	N;INDF;MASC;SG	
април	april	април	april	N;INDF;MASC;SG	PROPN
декември	dec	декември	dec	N;INDF;MASC;SG	
декември	dic	декември	decir	N;INDF;MASC;SG	
чрез	via	чрез	via	ADP	
чрез	vía	чрез	vía	ADP	
чрез	through	чрез	through	ADP	N
различни	distinta	различен	distinto	ADJ;INDF;PL	ADJ;FEM;SG
различни	diferente	различен	diferente	ADJ;INDF;PL	ADJ;SG
различни	distintos	различен	distinto	ADJ;INDF;PL	PRO;MASC;PL
различни	distinto	различен	distinto	ADJ;INDF;PL	ADJ;MASC;SG
различни	varios	различен	varios	ADJ;INDF;PL	PRO;MASC;PL
различни	varias	различен	varios	ADJ;INDF;PL	PRO;FEM;PL
различни	varios	различен	varios	ADJ;INDF;PL	PRO;MASC;PL
различни	diversos	различен	diverso	ADJ;INDF;PL	PRO;MASC;PL
често	menudo	често	menudo	ADV	N
работи	obra	работя	obra	V;IPFV;IMP;SG;2;FIN	N;FEM;SG
работи	trabajos	работя	trabajo	V;IPFV;IMP;SG;2;FIN	N;MASC;PL
работи	trabaje	работя	trabaje	V;IPFV;IMP;SG;2;FIN	V;SBJV;SG;3;PRS;FIN
работи	trabajo	работя	trabajo	V;IPFV;IMP;SG;2;FIN	N;MASC;SG
работи	trabajos	работя	trabajo	V;IPFV;IMP;SG;2;FIN	N;MASC;PL
работи	trabaja	работя	trabajar	V;IPFV;IMP;SG;2;FIN	V;IND;SG;3;PRS;FIN
работи	obras	работя	obra	V;IPFV;IMP;SG;2;FIN	N;FEM;PL
работи	funciona	работя	funcionar	V;IPFV;IMP;SG;2;FIN	V;IND;SG;3;PRS;FIN
иван	iván	иван	iván	PROPN;INDF;MASC;SG	N;MASC;SG
иван	ivan	иван	ivar	PROPN;INDF;MASC;SG	PROPN
център	centrar	център	centrar	N;INDF;MASC;SG	V;NFIN
повече	more	повече	more	ADV;INDF;PL	
страна	side	страна	sedir	N;INDF;FEM;SG	
страна	costado	страна	costar	N;INDF;FEM;SG	ADJ;MASC;SG;V.PTCP
страна	laterales	страна	lateral	N;INDF;FEM;SG	N;PL
въпреки	apesar	въпреки	apesar	ADP	
население	demográficos	население	demográfico	N;INDF;NEUT;SG	ADJ;MASC;PL
завършва	extremos	завършвам	extremo	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
бил	bill	съм	bill	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	PROPN
бил	factura	съм	factura	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	N;FEM;SG
малко	little	малко	little	ADV;INDF;PL	N
малко	pequeño	малко	pequeño	ADV;INDF;PL	ADJ;MASC;SG
малко	pequeña	малко	pequeño	ADV;INDF;PL	ADJ;FEM;SG
малко	poquito	малко	poquito	ADV;INDF;PL	ADJ;MASC;SG
хора	pueblo	хора	pueblo	N;INDF	N;MASC;SG
хора	gente	хора	gente	N;INDF	N;FEM;SG
хора	personas	хора	persona	N;INDF	N;FEM;PL
университет	universitarios	университет	universitario	N;INDF;MASC;SG	N;MASC;PL
университет	universidades	университет	universidad	N;INDF;MASC;SG	N;FEM;PL
германия	alemania	германия	alemania	PROPN;INDF;FEM;SG	N;FEM;SG
могат	puedo	мога	poder	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
могат	lata	мога	lata	V;IPFV;IND;PL;3;PRS;FIN;ACT	N;FEM;SG
могат	can	мога	can	V;IPFV;IND;PL;3;PRS;FIN;ACT	PROPN
могат	puede	мога	poder	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
син	azules	син	azul	N;INDF;MASC;SG	ADJ;PL
син	azul	син	azul	N;INDF;MASC;SG	ADJ;SG
награда	premiado	награда	premiado	N;INDF;FEM;SG	ADJ;MASC;SG;V.PTCP
награда	premios	награда	premio	N;INDF;FEM;SG	N;MASC;PL
георги	georgi	георга	georgi	PROPN;INDF;MASC;SG	N;MASC;SG
георги	georgy	георга	georgy	PROPN;INDF;MASC;SG	N;MASC;SG
голяма	large	голям	large	ADJ;INDF;FEM;SG	N
голяма	grandes	голям	grande	ADJ;INDF;FEM;SG	ADJ;PL
голяма	big	голям	big	ADJ;INDF;FEM;SG	N
голяма	grandes	голям	grande	ADJ;INDF;FEM;SG	ADJ;PL
италия	italia	италия	italia	PROPN;INDF;FEM;SG	PROPN
световна	worldwide	световен	worldwide	ADJ;INDF;FEM;SG	N
световна	mundialmente	световен	mundialmente	ADJ;INDF;FEM;SG	ADV
край	end	край	end	ADP	N
край	fin	край	fin	ADP	N;MASC;SG
край	final	край	final	ADP	N;MASC;SG
използва	usos	използвам	uso	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
днес	today	днес	today	ADV	N
франция	francia	франция	francia	PROPN;INDF;FEM;SG	PROPN
франция	france	франция	france	PROPN;INDF;FEM;SG	N;FEM;SG
национален	nacionales	национален	nacional	ADJ;INDF;MASC;SG	ADJ;PL
гърция	grecia	гърция	grecia	PROPN;INDF;FEM;SG	N;FEM;SG
вижте	véase	видя-(се)	véase	V;PFV;IMP;PL;2;FIN	V;SBJV;SG;3;PRS;FIN
вижте	see	видя-(се)	ser	V;PFV;IMP;PL;2;FIN	
вижте	vea	видя-(се)	ver	V;PFV;IMP;PL;2;FIN	V;IMP;SG;3;FIN
русия	rusia	русия	rusia	PROPN;INDF;FEM;SG	N;FEM;SG
английски	inglés	английски	inglés	ADJ;INDF;MASC;SG	N;MASC;SG
английски	ingles	английски	ingle	ADJ;INDF;MASC;SG	
английски	espanol	английски	espanol	ADJ;INDF;MASC;SG	N;MASC;SG
едно	una	един	uno	NUM;INDF;NEUT;SG	DET;INDF;FEM;SG
едно	one	един	one	NUM;INDF;NEUT;SG	N
едно	uno	един	uno	NUM;INDF;NEUT;SG	PRO;MASC;SG
първи	primeras	първи	primero	ADJ;INDF;MASC;SG	ADJ;FEM;PL
първи	primeros	първи	primero	ADJ;INDF;MASC;SG	ADJ;MASC;PL
първи	primero	първи	primero	ADJ;INDF;MASC;SG	ADV
отново	again	отново	again	ADV	N
височина	elevaciones	височина	elevación	N;INDF;FEM;SG	N;FEM;PL
там	ahi	там	ahi	ADV	INTJ
нея	su	аз	su	PRO;ACC;FEM;SG;3	DET;SG;3
нея	her	аз	her	PRO;ACC;FEM;SG;3	N
били	billy	съм	billy	V;IPFV;INDF;IND;PL;V.PTCP;ACT	N;MASC;SG
били	billie	съм	billie	V;IPFV;INDF;IND;PL;V.PTCP;ACT	N;FEM;SG
света	mundial	свят	mundial	N;DEF;MASC;SG	ADJ;SG
села	poblados	село	poblado	N;INDF;NEUT;PL	ADJ;MASC;PL;V.PTCP
филми	cine	филм	cine	N;INDF;MASC;PL	N;MASC;SG
филми	cine	филм	cine	N;INDF;MASC;PL	N;MASC;SG
александър	aleksandar	александър	aleksandar	PROPN;INDF;MASC;SG	ADJ;SG
александър	alejandro	александър	alejandro	PROPN;INDF;MASC;SG	
умира	moribundo	умирам	moribundo	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;MASC;SG
южна	southern	южен	southern	ADJ;INDF;FEM;SG	N
южна	sur	южен	sur	ADJ;INDF;FEM;SG	N;MASC;SG
южна	sur	южен	sur	ADJ;INDF;FEM;SG	N;MASC;SG
европа	europa	европа	europa	PROPN;INDF;FEM;SG	N;FEM;SG
европа	europa	европа	europa	PROPN;INDF;FEM;SG	N;FEM;SG
димитър	dimitar	димитър	dimitar	PROPN;INDF;MASC;SG	ADJ;SG
всеки	alguien	всеки	alguien	PRO;NOM;MASC;SG	PRO;SG
всеки	cualquiera	всеки	cualquiera	PRO;NOM;MASC;SG	PRO;SG
всеки	todos	всеки	todo	PRO;NOM;MASC;SG	PRO;MASC;PL
всеки	cada	всеки	cada	PRO;NOM;MASC;SG	DET;SG
всеки	cada	всеки	cada	PRO;NOM;MASC;SG	DET;SG
нова	novedad	нов	novedad	ADJ;INDF;FEM;SG	N;FEM;SG
нова	nuevas	нов	nuevo	ADJ;INDF;FEM;SG	ADJ;FEM;PL
нова	nuevos	нов	nuevo	ADJ;INDF;FEM;SG	ADJ;MASC;PL
нова	novedades	нов	novedad	ADJ;INDF;FEM;SG	N;FEM;PL
нова	nova	нов	nova	ADJ;INDF;FEM;SG	N;FEM;SG
армия	armada	армия	armado	N;INDF;FEM;SG	ADJ;FEM;SG;V.PTCP
докато	hasta	докато	hasta	CONJ	ADP
официален	funcionario	официален	funcionario	ADJ;INDF;MASC;SG	N;MASC;SG
официален	official	официален	official	ADJ;INDF;MASC;SG	N
официален	funcionaria	официален	funcionaria	ADJ;INDF;MASC;SG	N;FEM;SG
официален	formales	официален	formal	ADJ;INDF;MASC;SG	ADJ;PL
северна	norte	северен	norte	ADJ;INDF;FEM;SG	N;MASC;SG
северна	norte	северен	norte	ADJ;INDF;FEM;SG	N;MASC;SG
северна	northern	северен	northern	ADJ;INDF;FEM;SG	N
българска	búlgaro	български	búlgaro	ADJ;INDF;FEM;SG	N;MASC;SG
българска	búlgaros	български	búlgaros	ADJ;INDF;FEM;SG	N;MASC;PL
резултат	anotar	резултат	anotar	N;INDF;MASC;SG	V;NFIN
данни	data	данна	datar	N;INDF;FEM;PL	N;FEM;SG
данни	dato	данна	dato	N;INDF;FEM;PL	N;MASC;SG
граф	graf	граф	graf	N;INDF;MASC;SG	PROPN
родени	nacidos	родя-(се)	nacido	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
родени	born	родя-(се)	born	V;PFV;INDF;PL;V.PTCP;PASS	N
родени	nacido	родя-(се)	nacido	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
играе	play	играя	play	V;IPFV;IND;SG;3;PRS;FIN;ACT	N
играе	juegue	играя	jugar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;SG;3;FIN
играе	obras	играя	obra	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
тук	aca	там	acair	ADV	INTJ
тук	aqui	там	aqui	ADV	INTJ
ден	day	ден	day	N;INDF;MASC;SG	
жени	mujer	жена	mujer	N;INDF;FEM;PL	N;FEM;SG
жени	femenino	жена	femenino	N;INDF;FEM;PL	ADJ;MASC;SG
руски	rusia	руски	rusia	ADJ;INDF;MASC;SG	N;FEM;SG
руски	rusas	руски	ruso	ADJ;INDF;MASC;SG	ADJ;FEM;PL
руски	rusos	руски	ruso	ADJ;INDF;MASC;SG	N;MASC;PL
известен	conocidas	известен	conocido	ADJ;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
известен	conocidos	известен	conocido	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
известен	famosas	известен	famoso	ADJ;INDF;MASC;SG	ADJ;FEM;PL
известен	famosos	известен	famoso	ADJ;INDF;MASC;SG	ADJ;MASC;PL
добре	buenas	добре	buen	ADV	ADJ;FEM;PL
добре	bueno	добре	buen	ADV	INTJ
добре	buena	добре	buen	ADV	ADJ;FEM;SG
добре	buenos	добре	buen	ADV	ADJ;MASC;PL
мария	maria	мария	mario	N;INDF;FEM;SG	
дори	hasta	дори	hasta	PART	ADP
дори	incluso	дори	incluso	PART	ADV
дори	aun	дори	aun	PART	ADV
води	pistas	водя	pista	V;IPFV;IMP;SG;2;FIN	N;FEM;PL
води	aguas	водя	agua	V;IPFV;IMP;SG;2;FIN	N;FEM;PL
води	waters	водя	waters	V;IPFV;IMP;SG;2;FIN	N
води	plomo	водя	plomo	V;IPFV;IMP;SG;2;FIN	N;MASC;SG
голям	large	голям	large	ADJ;INDF;MASC;SG	N
голям	grandes	голям	grande	ADJ;INDF;MASC;SG	ADJ;PL
голям	big	голям	big	ADJ;INDF;MASC;SG	N
голям	grandes	голям	grande	ADJ;INDF;MASC;SG	ADJ;PL
род	rod	род	rod	N;INDF;MASC;SG	PROPN
печели	victorias	печеля	victoria	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
печели	gane	печеля	ganar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;SG;3;FIN
страни	costados	страна	costado	N;INDF;FEM;PL	ADJ;MASC;PL;V.PTCP
код	códigos	код	código	N;INDF;MASC;SG	N;MASC;PL
френски	francés	френски	francés	ADJ;INDF;MASC;SG	N;MASC;SG
френски	franceses	френски	francés	ADJ;INDF;MASC;SG	N;MASC;PL
генерал	generalidades	генерал	generalidad	N;INDF;MASC;SG	N;FEM;PL
генерал	generales	генерал	general	N;INDF;MASC;SG	N;MASC;PL
защото	porque	защото	porque	ADV	CONJ
дата	date	дата	date	N;INDF;FEM;SG	V;IND;SG;2;PRS;FIN
двете	tanto	два	tanto	NUM;DEF;FEM;PL	ADV
големи	large	голям	large	ADJ;INDF;PL	N
големи	grande	голям	grande	ADJ;INDF;PL	ADJ;SG
големи	big	голям	big	ADJ;INDF;PL	N
големи	grande	голям	grande	ADJ;INDF;PL	ADJ;SG
големи	gran	голям	gran	ADJ;INDF;PL	ADJ;SG
деца	niñez	дете	niñez	N;INDF;NEUT;PL	N;FEM;SG
деца	infancia	дете	infancia	N;INDF;NEUT;PL	N;FEM;SG
петър	pedro	петър	pedro	PROPN;INDF;MASC;SG	N;MASC;SG
петър	peter	петър	peter	PROPN;INDF;MASC;SG	N;MASC;SG
петър	petar	петър	petar	PROPN;INDF;MASC;SG	V;NFIN
остава	restos	оставам	resto	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
остава	estancias	оставам	estancia	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
гръцки	griego	гръцки	griego	ADJ;INDF;MASC;SG	N;MASC;SG
гръцки	griegos	гръцки	griego	ADJ;INDF;MASC;SG	N;MASC;PL
политик	político	политик	político	N;INDF;MASC;SG	ADJ;MASC;SG
политик	politico	политик	politico	N;INDF;MASC;SG	ADJ;MASC;SG
работа	job	работа	job	N;INDF;FEM;SG	INTJ
работа	trabajos	работа	trabajo	N;INDF;FEM;SG	N;MASC;PL
работа	trabaje	работа	trabaje	N;INDF;FEM;SG	V;SBJV;SG;3;PRS;FIN
работа	trabajar	работа	trabajar	N;INDF;FEM;SG	V;NFIN
среща	date	среща	date	N;INDF;FEM;SG	V;IND;SG;2;PRS;FIN
среща	conozca	среща	conocer	N;INDF;FEM;SG	V;IMP;SG;3;FIN
среща	conocer	среща	conocer	N;INDF;FEM;SG	V;NFIN
среща	reuniones	среща	reunión	N;INDF;FEM;SG	N;FEM;PL
групи	agrupa	група	agrupar	N;INDF;FEM;PL	V;IND;SG;3;PRS;FIN
информация	informaciones	информация	información	N;INDF;FEM;SG	N;FEM;PL
нови	novedad	нов	novedad	ADJ;INDF;PL	N;FEM;SG
нови	nuevo	нов	nuevo	ADJ;INDF;PL	ADJ;MASC;SG
нови	novedades	нов	novedad	ADJ;INDF;PL	N;FEM;PL
нови	nueva	нов	nuevo	ADJ;INDF;PL	ADJ;FEM;SG
пъти	doblar	път	doblar	N;MASC	V;NFIN
пъти	pliegue	път	pliegue	N;MASC	N;MASC;SG
пъти	tiempos	път	tiempo	N;MASC	N;MASC;PL
пъти	veces	път	vez	N;MASC	N;FEM;PL
пъти	épocas	път	época	N;MASC	N;FEM;PL
херцог	ducado	херцог	ducado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
херцог	duke	херцог	duke	N;INDF;MASC;SG	PROPN
цел	apuntar	цел	apuntar	N;INDF;FEM;SG	V;NFIN
цел	apunten	цел	apuntar	N;INDF;FEM;SG	V;IMP;PL;3;FIN
цел	objetivas	цел	objetivo	N;INDF;FEM;SG	ADJ;FEM;PL
цел	objetiva	цел	objetivo	N;INDF;FEM;SG	ADJ;FEM;SG
цел	blanco	цел	blanco	N;INDF;FEM;SG	ADJ;MASC;SG
участие	participe	участие	participar	N;INDF;NEUT;SG	V;SBJV;SG;3;FIN
участие	participa	участие	participar	N;INDF;NEUT;SG	V;IND;SG;3;PRS;FIN
участие	participen	участие	participar	N;INDF;NEUT;SG	V;IMP;PL;3;FIN
участие	participar	участие	participar	N;INDF;NEUT;SG	V;NFIN
османската	otomano	османски	otomano	ADJ;DEF;FEM;SG	N;MASC;SG
османската	otomanos	османски	otomano	ADJ;DEF;FEM;SG	N;MASC;PL
никола	nicolás	никол	nicolás	PROPN;INDF;MASC;SG	N;MASC;SG
никола	nicolas	никол	nicola	PROPN;INDF;MASC;SG	N;MASC;SG
никола	nikola	никол	nikola	PROPN;INDF;MASC;SG	N;MASC;SG
никола	nicola	никол	nicola	PROPN;INDF;MASC;SG	N;MASC;SG
пловдив	plovdiv	пловдив	plovdiv	PROPN;INDF;MASC;SG	N;MASC;SG
продължава	continua	продължавам	continuo	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;FEM;SG
списък	listado	списък	listado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
брой	cuenta	брой	contar	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
всяка	cada	всеки	cada	DET;FEM;SG	DET;SG
всяка	cada	всеки	cada	DET;FEM;SG	DET;SG
същата	misma	същ	mismo	ADJ;DEF;FEM;SG	DET;FEM;SG
същата	igual	същ	igual	ADJ;DEF;FEM;SG	ADV
известни	conocida	известен	conocido	ADJ;INDF;PL	ADJ;FEM;SG;V.PTCP
известни	conocido	известен	conocido	ADJ;INDF;PL	ADJ;MASC;SG;V.PTCP
известни	famosa	известен	famoso	ADJ;INDF;PL	ADJ;FEM;SG
известни	famoso	известен	famoso	ADJ;INDF;PL	ADJ;MASC;SG
повечето	most	повече	most	ADV;DEF;PL	N
разположен	localizada	разположа-(се)	localizado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
разположен	localizado	разположа-(се)	localizado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
разположен	ubicado	разположа-(се)	ubicado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
разположен	situado	разположа-(се)	situado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
разположен	situada	разположа-(се)	situado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
разположен	situados	разположа-(се)	situado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
разположен	situado	разположа-(се)	situado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
друг	otras	друг	otro	ADJ;INDF;MASC;SG	PRO;FEM;PL
друг	otro	друг	otro	ADJ;INDF;MASC;SG	PRO;MASC;SG
друг	otros	друг	otro	ADJ;INDF;MASC;SG	PRO;MASC;PL
друг	otro	друг	otro	ADJ;INDF;MASC;SG	PRO;MASC;SG
друг	another	друг	another	ADJ;INDF;MASC;SG	N
друг	otra	друг	otro	ADJ;INDF;MASC;SG	PRO;FEM;SG
джон	juan	джон	juan	PROPN;INDF;MASC;SG	PROPN
джон	john	джон	john	PROPN;INDF;MASC;SG	PROPN
малки	small	малък	small	ADJ;INDF;PL	N
малки	pequeño	малък	pequeño	ADJ;INDF;PL	ADJ;MASC;SG
малки	pequeña	малък	pequeño	ADJ;INDF;PL	ADJ;FEM;SG
малки	poco	малък	poco	ADJ;INDF;PL	ADV
малки	little	малък	little	ADJ;INDF;PL	N
малки	pequeño	малък	pequeño	ADJ;INDF;PL	ADJ;MASC;SG
малки	pequeña	малък	pequeño	ADJ;INDF;PL	ADJ;FEM;SG
малки	poquito	малък	poquito	ADJ;INDF;PL	ADJ;MASC;SG
договор	contractuales	договор	contractual	N;INDF;MASC;SG	ADJ;PL
договор	contractual	договор	contractual	N;INDF;MASC;SG	ADJ;SG
договор	tratado	договор	tratar	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
васил	vasil	вася-(се)	vasil	PROPN;INDF;MASC;SG	N;MASC;SG
изток	este	изток	este	N;INDF;MASC;SG	PRO;MASC;SG
изток	orientales	изток	oriental	N;INDF;MASC;SG	ADJ;PL
изток	oriental	изток	oriental	N;INDF;MASC;SG	ADJ;SG
четири	four	четири	four	NUM;INDF;PL	N
испания	españa	испания	españa	PROPN;INDF;FEM;SG	N;FEM;SG
разположено	localizada	разположа-(се)	localizado	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
разположено	localizado	разположа-(се)	localizado	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
разположено	ubicado	разположа-(се)	ubicado	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
разположено	situado	разположа-(се)	situado	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
разположено	situada	разположа-(се)	situado	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
разположено	situados	разположа-(се)	situado	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
разположено	situado	разположа-(се)	situado	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
човек	humano	човек	humano	N;INDF;MASC;SG	ADJ;MASC;SG
човек	humanas	човек	humano	N;INDF;MASC;SG	ADJ;FEM;PL
човек	humana	човек	humano	N;INDF;MASC;SG	ADJ;FEM;SG
