der	the	der	the	DET;NOM;DEF;MASC;SG	
nur	duy	nur	duy	ADV	N
nur	nur	nur	nur	ADV	N
nur	chỉ	nur	chỉ	ADV	
nur	funny	nur	funny	ADV	N
noch	côn	noch	côn	ADV	N
noch	vẫn	noch	vẫn	ADV	
noch	chưa	noch	chưa	ADV	
noch	vân	noch	vân	ADV	N
noch	thinh	noch	thinh	ADV	
unter	unter	unter	unter	ADP	N
unter	dưới	unter	dưới	ADP	N
unter	under	unter	under	ADP	
hat	đã	haben	đã	V;IND;SG;3;PRS;FIN	
hat	mũ	haben	mũ	V;IND;SG;3;PRS;FIN	N
hat	nón	haben	nón	V;IND;SG;3;PRS;FIN	N
artikel	mục	artikel	mục	ADJ	N
man	người	man	người	PRO;NOM;INDF;SG	N
man	man	man	man	PRO;NOM;INDF;SG	
vor	pre	vor	pre	ADP	N
vor	trước	vor	trước	ADP	
sein	ngành	sein	ngành	DET;NOM;MASC;SG	N
diese	này	dies	này	PRO;NOM;FEM;SG	PROPN
diese	những	dies	những	PRO;NOM;FEM;SG	DET
vom	khỏi	vom	khỏi		V
vom	từ	vom	từ		ADP
kann	may	können	may	V;IND;SG;3;PRS;FIN	ADJ
hier	đây	hier	đây	ADV	PROPN
seine	ngành	sein	ngành	DET;NOM;FEM;SG	N
seine	its	sein	its	DET;NOM;FEM;SG	
seine	seine	sein	seine	DET;NOM;FEM;SG	N
dieser	này	dies	này	PRO;NOM;MASC;SG	PROPN
wenn	khi	wenn	khi	CONJ	N
dann	rồi	dann	rồi	ADV	CONJ
seiner	ngành	sein	ngành	DET;NOM;MASC;SG	N
seiner	its	sein	its	DET;NOM;MASC;SG	
jahre	năm	jahren	năm	ADV	N
jahre	chèo	jahren	chèo	ADV	V
jahre	năm	jahren	năm	ADV	N
mai	may	mai	may	PROPN;NOM;MASC;SG	ADJ
mai	mai	mai	mai	PROPN;NOM;MASC;SG	
isbn	isbn	isbn	isbn	;SG	
was	gì	was	gì	PRO;NOM;NEUT;SG	PROPN
sowie	và	sowie	và	CONJ	CONJ
hatte	nan	haben	nan	V;IND;SG;3;PST;FIN	N
team	tạo	team	tạo	N;NOM;NEUT;SG	V
team	team	team	team	N;NOM;NEUT;SG	
mehr	thêm	mehr	thêm	ADV	V
gegen	versus	gegen	versus	ADP	
gegen	vs	gegen	vs	ADP	
gegen	dũng	gegen	dũng	ADP	N
gegen	chống	gegen	chống	ADP	V
zeit	zeit	zeit	zeit	ADJ	N
zeit	gian	zeit	gian	ADJ	N
zeit	thời	zeit	thời	ADJ	N
stadt	phố	staden	phố		N
stadt	phố	staden	phố		N
wieder	lại	wieder	lại	ADV	
schon	đã	schon	đã	ADV	
haben	đã	haben	đã	V;IND;PL;3;FIN	
deutscher	đức	deutsch	đức	ADJ	N
deutscher	deutscher	deutsch	deutscher	ADJ	V
jahren	chèo	jahren	chèo	ADJ	V
jahren	năm	jahren	năm	ADJ	N
mal	lần	mal	lần	ADV	N
mal	times	mal	times	ADV	
mal	mẫu	mal	mẫu	ADV	N
ersten	trước	erst	trước	ADJ;NOM;PL	
ersten	đầu	erst	đầu	ADJ;NOM;PL	N
jedoch	nhưng	jedoch	nhưng	ADV	CONJ
dort	kia	dort	kia	ADV	PROPN
dort	đó	dort	đó	ADV	PROPN
drei	tre	drei	tre	NUM	N
etwa	khoảng	etwa	khoảng	ADV	ADJ
etwa	về	etwa	về	ADV	V
etwa	ban	etwa	ban	ADV	
etwa	khoảng	etwa	khoảng	ADV	ADJ
etwa	approx	etwa	approx	ADV	NUM
deutschen	đức	deutsch	đức	ADJ	N
teil	saga	teil	saga	ADV	
teil	part	teil	part	ADV	
teil	phần	teil	phần	ADV	N
berlin	berlin	berlin	berlin	PROPN;NOM;NEUT;SG	N
heute	nay	heute	nay	ADV	PROPN
habe	có	haben	có	V;SBJV;SG;3;PRS;FIN	V
habe	đã	haben	đã	V;SBJV;SG;3;PRS;FIN	
alle	hết	alle	hết	PRO;NOM;INDF;PL	V
während	phiêu	während	phiêu	CONJ	V
während	mens	während	mens	CONJ	
ihre	nhị	ihr	nhị	DET;NOM;FEM;SG	N
ihre	its	ihr	its	DET;NOM;FEM;SG	
ihre	của	ihr	của	DET;NOM;FEM;SG	ADP
ihre	her	ihr	her	DET;NOM;FEM;SG	NUM
ihre	cổ	ihr	cổ	DET;NOM;FEM;SG	N
bereits	đã	bereits	đã	ADV	
später	sau	spät	sau	ADJ	N
jan	jan	jan	jan	PROPN;NOM;MASC;SG	
mir	mir	ich	mir	PRO;DAT;SG;1	
sehr	cực	sehr	cực	ADV	
sehr	rất	sehr	rất	ADV	
seinen	ngành	sein	ngành	DET;ACC;MASC;SG	N
ihr	ihr	ihr	ihr	PRO;NOM;MASC;SG	
ihr	các	ihr	các	PRO;NOM;MASC;SG	DET
ihr	cac	ihr	cac	PRO;NOM;MASC;SG	
ihr	bạn	ihr	bạn	PRO;NOM;MASC;SG	N
ihr	anh	ihr	anh	PRO;NOM;MASC;SG	N
ihr	cô	ihr	cô	PRO;NOM;MASC;SG	N
ihr	của	ihr	của	PRO;NOM;MASC;SG	ADP
ihr	her	ihr	her	PRO;NOM;MASC;SG	NUM
ihr	cổ	ihr	cổ	PRO;NOM;MASC;SG	N
gemeinde	municipality	gemeinde	municipality	N;NOM;FEM;SG	
seinem	ngành	sein	ngành	DET;DAT;MASC;SG	N
erste	erste	erst	erste	ADJ;NOM;FEM;PL	
erste	trước	erst	trước	ADJ;NOM;FEM;PL	
erste	đầu	erst	đầu	ADJ;NOM;FEM;PL	N
liegt	lies	liegen	lies	V;IND;SG;3;PRS;FIN	
august	august	augusten	august	PROPN;NOM;MASC;SG	
august	augustus	augusten	augustus	PROPN;NOM;MASC;SG	N
sollte	nên	sollen	nên	V;IND;SG;3;PST;FIN	CONJ
deutschland	đức	deutschland	đức	PROPN;NOM	N
ende	end	ende	end	N;ACC;NEUT;SG	
märz	march	märz	march	PROPN;NOM;MASC;SG	
märz	märz	märz	märz	PROPN;NOM;MASC;SG	
deutsche	đức	deutsch	đức	ADJ;NOM;FEM;PL	N
deutsche	deutsche	deutsch	deutsche	ADJ;NOM;FEM;PL	N
band	băng	binden	băng		N
band	ribbon	binden	ribbon		N
doch	chưa	doch	chưa	ADV	
doch	vân	doch	vân	ADV	N
doch	thinh	doch	thinh	ADV	
doch	nhưng	doch	nhưng	ADV	CONJ
oktober	oct	oktober	oct	PROPN;NOM;SG	
immer	luôn	immer	luôn	ADV	
wikipedia	wikipedia	wikipedia	wikipedia		V
jun	tuấn	jun	tuấn		N
jun	jun	jun	jun		N
kirche	thờ	kirche	thờ		N
juni	tuấn	juni	tuấn	PROPN;NOM;MASC;SG	N
juni	jun	juni	jun	PROPN;NOM;MASC;SG	N
juni	june	juni	june	PROPN;NOM;MASC;SG	
april	apr	april	apr	PROPN;NOM;MASC;SG	
september	sept	september	sept	PROPN;SG	
september	sept	september	sept	PROPN;SG	
selbst	chính	selbst	chính	ADV	PART
selbst	self	selbst	self	ADV	
selbst	tự	selbst	tự	ADV	PROPN
weitere	thêm	weit	thêm	ADJ;NOM;FEM;PL	V
juli	juli	juli	juli	PROPN;NOM;MASC;SG	
kein	không	kein	không	PRO;NOM;INDF;MASC;SG;NEG	;NEG
kein	ko	kein	ko	PRO;NOM;INDF;MASC;SG;NEG	
geschichte	truyện	geschicht	truyện		N
geschichte	chuyện	geschicht	chuyện		N
jpg	jpg	jpg	jpg		N
dezember	dec	dezember	dec	PROPN;NOM;MASC;SG	
platz	plaza	platz	plaza	ADV	N
platz	đc	platz	đc	ADV	
platz	square	platz	square	ADV	
platz	vuông	platz	vuông	ADV	ADJ
platz	nơi	platz	nơi	ADV	N
platz	chỗ	platz	chỗ	ADV	N
platz	platz	platz	platz	ADV	N
ihrer	nhị	ihr	nhị	DET;NOM;MASC;SG	N
ihrer	của	ihr	của	DET;NOM;MASC;SG	ADP
november	nov	november	nov	PROPN	
liste	kê	lassen	kê	N;NOM;FEM;SG	V
liste	list	lassen	list	N;NOM;FEM;SG	ADJ
kam	kam	kommen	kam	V;IND;SG;3;PST;FIN	N
jahrhundert	jahrhundert	jahrhundert	jahrhundert	ADJ	
beiden	hai	beide	hai	PRO;NOM;INDF;PL	NUM
beiden	two	beide	two	PRO;NOM;INDF;PL	NUM
vier	vier	vier	vier	NUM	
zweiten	giây	zweit	giây	ADJ;NOM;MASC;PL	
seite	page	seit	page	N	
seite	site	seit	site	N	
februar	tháng	februaer	tháng	PROPN;NOM;SG	N
februar	feb	februaer	feb	PROPN;NOM;SG	
soll	nên	sollen	nên	V;IND;SG;3;PRS;FIN	CONJ
gab	gab	geben	gab	V;IND;SG;3;PST;FIN	
etwas	hơi	etwas	hơi	ADV	
mich	mịch	ich	mịch	PRO;ACC;SG;1	N
mich	mich	ich	mich	PRO;ACC;SG;1	N
neben	cạnh	neben	cạnh	ADP	N
neben	vả	neben	vả	ADP	ADJ
allerdings	nhưng	allerdings	nhưng	ADV	CONJ
film	film	falmen	film		N
wäre	tòng	sein	tòng	V;SBJV;SG;3;PST;FIN	N
wäre	cốt	sein	cốt	V;SBJV;SG;3;PST;FIN	N
neue	new	neu	new	ADJ;NOM;FEM;PL	
neue	mới	neu	mới	ADJ;NOM;FEM;PL	
neue	sâm	neu	sâm	ADJ;NOM;FEM;PL	N
neue	neue	neu	neue	ADJ;NOM;FEM;PL	N
nun	giờ	nun	giờ	ADV	N
nun	ngay	nun	ngay	ADV	PART
nun	chà	nun	chà	ADV	N
nun	ừm	nun	ừm	ADV	PART
leben	living	leben	living	V;NFIN	
leben	đời	leben	đời	V;NFIN	N
leben	live	leben	live	V;NFIN	
leben	leben	leben	leben	V;NFIN	N
namen	tên	name	tên		N
namen	tên	name	tên		N
weil	vì	weil	vì	CONJ	ADP
bitte	xin	bitte	xin		V
muss	phải	müssen	phải	V;IND;SG;3;PRS;FIN	V
einige	cầy	einige	cầy	PRO;NOM;INDF;PL	N
text	chữ	Text	chữ		N
text	lyrics	Text	lyrics		N
ebenfalls	cũng	ebenfalls	cũng	ADV	
ebenfalls	quá	ebenfalls	quá	ADV	
ebenfalls	khoáng	ebenfalls	khoáng	ADV	N
ebenfalls	too	ebenfalls	too	ADV	
münchen	münchen	münchen	münchen	PROPN;NOM;NEUT;SG	N
münchen	munchen	münchen	munchen	PROPN;NOM;NEUT;SG	
münchen	munich	münchen	munich	PROPN;NOM;NEUT;SG	N
löschen	xoã	löschen	xoã	V;NFIN	N
löschen	xoá	löschen	xoá	V;NFIN	
löschen	xoá	löschen	xoá	V;NFIN	
bekannt	quen	bekennen	quen	ADJ	V
ort	ort	ort	ort	N;NOM;MASC;SG	
allem	hết	alle	hết	PRO;DAT;INDF;NEUT;SG	V
jetzt	giờ	jetzt	giờ	ADV	N
jetzt	ngay	jetzt	ngay	ADV	PART
wohl	chu	wohl	chu	ADV	
wohl	huấn	wohl	huấn	ADV	V
friedrich	friedrich	friedrich	friedrich	PROPN;NOM;SG	
friedrich	friedrich	friedrich	friedrich	PROPN;NOM;SG	
friedrich	frederick	friedrich	frederick	PROPN;NOM;SG	N
ihren	nhị	ihr	nhị	DET;ACC;MASC;SG	N
saison	season	saison	season	N;NOM;FEM;SG	
neuen	new	neu	new	ADJ;ACC;MASC;SG	
neuen	mới	neu	mới	ADJ;ACC;MASC;SG	
neuen	sâm	neu	sâm	ADJ;ACC;MASC;SG	N
art	gõ	art	gõ	N;NOM;FEM;SG	V
stand	sto	stehen	sto	V;IND;SG;3;PST;FIN	
stand	booth	stehen	booth	V;IND;SG;3;PST;FIN	
diesen	những	dies	những	PRO;ACC;MASC;SG	DET
würde	tòng	werden	tòng	V;SBJV;SG;3;PST;FIN	N
würde	cốt	werden	cốt	V;SBJV;SG;3;PST;FIN	N
worden	worden	werden	worden	V;V.PTCP;PASS	
titel	vết	titel	vết		N
titel	rãnh	titel	rãnh		N
karl	charles	karlen	charles	PROPN;NOM;MASC;SG	
karl	karl	karlen	karl	PROPN;NOM;MASC;SG	
gut	hay	gut	hay	ADJ	CONJ
gut	chà	gut	chà	ADJ	N
gut	ừm	gut	ừm	ADJ	PART
nachdem	theo	nachdem	theo	CONJ	V
nachdem	sau	nachdem	sau	CONJ	N
ganz	ganz	ganz	ganz	ADV	
sohn	sohn	sohnen	sohn	N;NOM;MASC;SG	
außerdem	cũng	außerdem	cũng	ADV	
außerdem	vả	außerdem	vả	ADV	ADJ
hans	hans	hans	hans	PROPN;NOM;MASC;SG	N
johann	johann	johann	johann	PROPN;NOM;MASC;SG	N
johann	johan	johann	johan	PROPN;NOM;MASC;SG	N
johann	gioan	johann	gioan	PROPN;NOM;MASC;SG	N
johann	john	johann	john	PROPN;NOM;MASC;SG	N
großen	đúc	groß	đúc	ADJ;PL	V
großen	đại	groß	đại	ADJ;PL	N
großen	big	groß	big	ADJ;PL	
gehört	hữu	gehören	hữu	V;V.PTCP	
bild	ảnh	bild	ảnh		N
bild	nh	bild	nh		N
bild	hình	bild	hình		N
bild	ảnh	bild	ảnh		N
bild	bild	bild	bild		N
wien	viên	weinen	viên		N
große	đúc	groß	đúc	ADJ;NOM;FEM;PL	V
große	đại	groß	đại	ADJ;NOM;FEM;PL	N
große	big	groß	big	ADJ;NOM;FEM;PL	
denn	vì	denn	vì	CONJ	ADP
peter	peter	peter	peter	PROPN;NOM;MASC;SG	
peter	phêrô	peter	phêrô	PROPN;NOM;MASC;SG	N
kommt	đến	kommen	đến	V;IND;SG;3;PRS;FIN	PART
kommt	đến	kommen	đến	V;IND;SG;3;PRS;FIN	PART
menschen	human	menschen	human	N;NOM;PL	
sei	sei	sein	sei	V;SBJV;SG;3;PRS;FIN	
jahrhunderts	jahrhunderts	jahrhundert	jahrhunderts	ADV	N
fall	case	fall	case	ADV	
fall	sáp	fall	sáp	ADV	V
fall	rơi	fall	rơi	ADV	V
fall	sút	fall	sút	ADV	V
fall	ngã	fall	ngã	ADV	N
wilhelm	william	wilhelm	william	PROPN;NOM;MASC;SG	
wilhelm	wilhelm	wilhelm	wilhelm	PROPN;NOM;MASC;SG	N
danach	rồi	danach	rồi	ADV	CONJ
danach	theo	danach	theo	ADV	V
danach	sau	danach	sau	ADV	N
fünf	năm	fünf	năm	NUM	N
fünf	fünf	fünf	fünf	NUM	
könig	king	könig	king	N;NOM;SG	
könig	guy	könig	guy	N;NOM;SG	
welche	gì	welch	gì	PRO;NOM;SG	PROPN
welche	mà	welch	mà	PRO;NOM;SG	CONJ
mehrere	nhiều	mehrere	nhiều	PRO;NOM;INDF;PL	ADJ
form	form	form	form	N;SG	
meter	mét	meter	mét	ADV	N
meter	mét	meter	mét	ADV	N
meter	mét	meter	mét	ADV	N
schloss	schloss	schließen	schloss	V;SG	N
schloss	khoá	schließen	khoá	V;SG	N
schloss	khóa	schließen	khóa	V;SG	N
schloss	castle	schließen	castle	V;SG	N
schloss	đài	schließen	đài	V;SG	N
schloss	chateau	schließen	chateau	V;SG	N
gruppe	gruppe	grappe	gruppe	N;NOM;FEM;SG	
gruppe	group	grappe	group	N;NOM;FEM;SG	
finden	finding	finden	finding	V;NFIN	N
finden	xạo	finden	xạo	V;NFIN	
genannt	goi	nennen	goi	V;V.PTCP	
heinrich	heinrich	heinrich	heinrich	PROPN;NOM;MASC;SG	N
heinrich	henry	heinrich	henry	PROPN;NOM;MASC;SG	
letzten	cuối	letzt	cuối	ADJ;PL	N
neu	new	neu	new	ADJ	
neu	mới	neu	mới	ADJ	
neu	sâm	neu	sâm	ADJ	N
neu	neu	neu	neu	ADJ	
john	gioan	john	gioan	PROPN;NOM;MASC;SG	N
john	john	john	john	PROPN;NOM;MASC;SG	N
machen	making	machen	making	V;NFIN	
machen	pha	machen	pha	V;NFIN	N
gewann	won	gewinnen	won	V;IND;SG;3;PST;FIN	
gewann	thắng	gewinnen	thắng	V;IND;SG;3;PST;FIN	N
beispiel	sample	beispiel	sample	ADV	
beispiel	mẫu	beispiel	mẫu	ADV	N
beispiel	dụ	beispiel	dụ	ADV	V
usa	kỳ	usa	kỳ	PROPN;NOM;MASC;PL	N
usa	mỹ	usa	mỹ	PROPN;NOM;MASC;PL	N
usa	usa	usa	usa	PROPN;NOM;MASC;PL	
recht	phải	recht	phải	ADV	V
recht	đúng	recht	đúng	ADV	ADJ
recht	luật	recht	luật	ADV	N
bin	bin	sein	bin	V;IND;SG;2;PRS;FIN	N
york	york	york	york	PROPN;NOM;NEUT;SG	N
paul	paul	paul	paul	PROPN;NOM;MASC;SG	
frage	bảo	frage	bảo	N;NOM;FEM;SG	V
frage	hỏi	frage	hỏi	N;NOM;FEM;SG	V
insgesamt	tổng	insgesamt	tổng	ADV	N
eher	thà	eher	thà	ADV	PART
kurz	bài	kurz	bài	ADJ	N
kurz	short	kurz	short	ADJ	
kurz	lá	kurz	lá	ADJ	N
kurz	kurz	kurz	kurz	ADJ	
unternehmen	ty	unternehmen	ty	N;NOM;NEUT;PL	
straße	vịnh	straß	vịnh	ADJ	N
straße	phố	straß	phố	ADJ	N
straße	street	straß	street	ADJ	
straße	đường	straß	đường	ADJ	N
straße	road	straß	road	ADJ	
rund	khoảng	rund	khoảng	ADV	ADJ
rund	approx	rund	approx	ADV	NUM
rund	hiệp	rund	hiệp	ADV	N
rund	vòng	rund	vòng	ADV	N
rund	khoảng	rund	khoảng	ADV	ADJ
rund	vòng	rund	vòng	ADV	N
einfach	chỉ	einfach	chỉ	ADV	
einfach	funny	einfach	funny	ADV	N
einfach	nhẹ	einfach	nhẹ	ADV	
datei	tệp	datei	tệp		N
datei	file	datei	file		N
frau	vơ	frau	vơ	N;NOM;FEM;SG	V
frau	vk	frau	vk	N;NOM;FEM;SG	
lassen	để	lassen	để	V;NFIN	ADP
land	quốc	land	quốc		N
land	đáp	land	đáp		V
fast	sắp	fast	sắp	ADV	
fast	gần	fast	gần	ADV	ADJ
fast	hầu	fast	hầu	ADV	
hatten	nan	haben	nan	V;IND;PL;3;PST;FIN	N
tod	chết	tod	chết		V
tod	tod	tod	tod		N
macht	lực	machen	lực	V;IND;SG;3;PRS;FIN	N
paris	paris	paris	paris	PROPN;NOM;NEUT;SG	
alles	hết	alle	hết	PRO;NOM;INDF;NEUT;SG	V
alles	hết	alle	hết	PRO;NOM;INDF;NEUT;SG	V
alles	alles	alle	alles	PRO;NOM;INDF;NEUT;SG	
oft	oft	oft	oft	ADV	
landkreis	landkreis	landkreis	landkreis	N	V
führte	led	führen	led	V;IND;SG;3;PST;FIN	N
bereich	miền	bereich	miền	ADV	N
bereich	tầm	bereich	tầm	ADV	N
bereich	phần	bereich	phần	ADV	N
bereich	loạt	bereich	loạt	ADV	
bereich	vực	bereich	vực	ADV	N
bereich	vùng	bereich	vùng	ADV	N
welt	globe	welt	globe	N;NOM;FEM;SG	
verein	clb	verein	clb		N
verein	verein	verein	verein		ADJ
anfang	khởi	anfang	khởi	N;ACC;MASC;SG	V
anfang	sớm	anfang	sớm	N;ACC;MASC;SG	ADJ
viel	nhiều	viel	nhiều	ADV	ADJ
viel	lot	viel	lot	ADV	
quelle	nguồn	quelle	nguồn	ADJ;NOM;SG	N
michael	michael	michael	michael	PROPN;NOM;MASC;SG	
region	tần	Region	tần		N
region	vùng	Region	vùng		N
meist	thuồng	meist	thuồng	ADV	V
meist	thường	meist	thường	ADV	
eigenen	chính	eigen	chính	ADJ;ACC;MASC;SG	PART
findet	xạo	finden	xạo	V;IND;SG;3;PRS;FIN	
lang	lang	lang	lang	ADJ	N
lang	long	lang	long	ADJ	N
allen	allen	alle	allen	PRO;ACC;INDF;PL	
hamburg	hamburg	hamburg	hamburg	PROPN;NOM;NEUT;SG	N
deutsch	đức	deutsch	đức	ADJ	N
deutsch	deutsch	deutsch	deutsch	ADJ	N
franz	franz	franz	franz	PROPN;NOM;MASC;SG	
franz	phanxicô	franz	phanxicô	PROPN;NOM;MASC;SG	N
franz	francis	franz	francis	PROPN;NOM;MASC;SG	
lange	lange	lange	lange	ADV	N
lange	lâu	lange	lâu	ADV	ADJ
lange	dài	lange	dài	ADV	ADJ
lange	long	lange	long	ADV	N
gebiet	turf	gebieten	turf	ADJ	
gebiet	loạt	gebieten	loạt	ADJ	
gebiet	tần	gebieten	tần	ADJ	N
gebiet	vùng	gebieten	vùng	ADJ	N
gebiet	zone	gebieten	zone	ADJ	
gebiet	múi	gebieten	múi	ADJ	N
gebiet	vùng	gebieten	vùng	ADJ	N
gebiet	loạt	gebieten	loạt	ADJ	
gebiet	vực	gebieten	vực	ADJ	N
gebiet	vùng	gebieten	vùng	ADJ	N
website	site	websit	site	N;SG	
gesellschaft	ty	gesellschaft	ty	ADJ	
gesellschaft	gesellschaft	gesellschaft	gesellschaft	ADJ	N
folge	theo	folge	theo	N;NOM;FEM;SG	V
folge	tập	folge	tập	N;NOM;FEM;SG	
folge	episode	folge	episode	N;NOM;FEM;SG	
will	will	wollen	will	V;IND;SG;3;PRS;FIN	
will	sẽ	wollen	sẽ	V;IND;SG;3;PRS;FIN	
will	muốn	wollen	muốn	V;IND;SG;3;PRS;FIN	V
will	muon	wollen	muon	V;IND;SG;3;PRS;FIN	
will	muốn	wollen	muốn	V;IND;SG;3;PRS;FIN	V
georg	george	georgen	george	PROPN;NOM;MASC;SG	
georg	georg	georgen	georg	PROPN;NOM;MASC;SG	
erhalten	nhận	erhalten	nhận	ADJ;V.PTCP	V
erhalten	nhận	erhalten	nhận	ADJ;V.PTCP	V
erhalten	lấy	erhalten	lấy	ADJ;V.PTCP	V
erhalten	nhận	erhalten	nhận	ADJ;V.PTCP	V
erhalten	get	erhalten	get	ADJ;V.PTCP	
eigentlich	thực	eigentlich	thực	ADV	V
london	đôn	london	đôn	PROPN;NOM;NEUT;SG	N
london	london	london	london	PROPN;NOM;NEUT;SG	
alten	alte	alt	alte	ADJ;NOM;MASC;PL	
alten	tuổi	alt	tuổi	ADJ;NOM;MASC;PL	N
kinder	childs	kinder	childs	N;NOM;NEUT;PL	
kinder	kinder	kinder	kinder	N;NOM;NEUT;PL	
gerade	thẳng	gerade	thẳng	ADV	ADJ
gerade	sảnh	gerade	sảnh	ADV	N
gerade	chỉ	gerade	chỉ	ADV	
gerade	funny	gerade	funny	ADV	N
österreich	áo	österreich	áo	PROPN;SG	N
weg	xa	weg	xa	ADV	ADJ
weg	phí	weg	phí	ADV	N
weg	đường	weg	đường	ADV	N
mitte	trung	mitte	trung	ADV	N
mitte	giữa	mitte	giữa	ADV	ADP
mitte	đọng	mitte	đọng	ADV	V
mitte	mitte	mitte	mitte	ADV	N
mitte	mid	mitte	mid	ADV	N
mitte	tâm	mitte	tâm	ADV	
mitte	centre	mitte	centre	ADV	N
sechs	sechs	sechs	sechs	NUM	
album	album	album	album		N
musik	musik	musik	musik	N;NOM;FEM;SG	
musik	nhạc	musik	nhạc	N;NOM;FEM;SG	V
wenig	nhỏ	wenig	nhỏ	ADV	ADJ
wenig	tiểu	wenig	tiểu	ADV	
kreis	kreis	kreis	kreis	ADV	
kreis	tròn	kreis	tròn	ADV	ADJ
kreis	lượn	kreis	lượn	ADV	N
kreis	quận	kreis	quận	ADV	N
kreis	hạt	kreis	hạt	ADV	N
frankreich	pháp	frankreich	pháp	PROPN;NOM;SG	N
pro	pro	pro	pro	ADP	
pro	pr	pro	pr	ADP	N
pro	per	pro	per	ADP	
