til	untuk	til	untuk	ADV	ADP
andre	lain	anden	lain	PRO;PL	ADJ;SG
andre	lainnya	anden	lainnya	PRO;PL	N
andre	lain	anden	lain	PRO;PL	ADJ;SG
andre	lainnya	anden	lainnya	PRO;PL	N
denne	ini	denne	ini	PRO;MASC+FEM;SG	DET
fik	got	få	got	V;IND;PST;FIN;ACT	PROPN
del	del	del	del	N;INDF;MASC+FEM;SG	PROPN
del	part	del	part	N;INDF;MASC+FEM;SG	PROPN
del	bagikan	del	bagikan	N;INDF;MASC+FEM;SG	V;SG;ACT
del	berbagi	del	berbagi	N;INDF;MASC+FEM;SG	V;SG;ACT
del	share	del	share	N;INDF;MASC+FEM;SG	PROPN
født	born	føde	born	V;INDF;SG;PST;V.PTCP	PROPN
flere	beberapa	mange	beberapa	ADJ;CMPR;PL	DET
flere	kelipatan	mange	kelipatan	ADJ;CMPR;PL	N;SG
flere	beberapa	mange	beberapa	ADJ;CMPR;PL	DET
flere	multiple	mange	multiple	ADJ;CMPR;PL	PROPN
flere	berganda	mange	berganda	ADJ;CMPR;PL	PROPN;SG;ACT
flere	selengkapnya	mange	selengkap	ADJ;CMPR;PL	N;SG
flere	lebih	mange	lebih	ADJ;CMPR;PL	ADV
flere	lainnya	mange	lainnya	ADJ;CMPR;PL	N
flere	lagi	mange	lagi	ADJ;CMPR;PL	ADV
dette	ini	denne	ini	PRO;NEUT;SG	DET
alle	all	al	all	ADJ;PL	PROPN
alle	aii	al	aii	ADJ;PL	PROPN
alle	semua	al	semua	ADJ;PL	DET
alle	semuanya	al	semua	ADJ;PL	PRO
danmark	denmark	danmark	denmark		PROPN
mange	banyak	mange	banyak	ADJ;PL	ADV
team	team	team	team	N;INDF;NEUT;SG	PROPN
danske	denmark	dansk	denmark	ADJ;PL	PROPN
danske	danske	dansk	danske	ADJ;PL	PROPN
senere	nanti	senere	nanti	ADV;CMPR	
kun	only	kun	only	ADV	PROPN
dog	namun	dog	namun	ADV	CONJ
dog	namun	dog	namun	ADV	CONJ
tidligere	tadi	tidligere	tadi	ADV;CMPR	N
tidligere	mantan	tidligere	mantan	ADV;CMPR	N;SG
siden	semenjak	siden	semenjak	ADV	ADP
siden	since	siden	since	ADV	PROPN
siden	sejak	siden	sejak	ADV	ADP
siden	page	siden	page	ADV	PROPN
siden	halaman	siden	halaman	ADV	N;SG
skal	harus	skulle	harus	V;IND;PRS;FIN;ACT	ADV;SG;ACT
skal	haruskah	skulle	harus	V;IND;PRS;FIN;ACT	ADV
skal	tempurung	skulle	tempurung	V;IND;PRS;FIN;ACT	N;SG
skal	cangkang	skulle	cangkang	V;IND;PRS;FIN;ACT	N;SG
skal	shell	skulle	shell	V;IND;PRS;FIN;ACT	PROPN
skal	kerang	skulle	kerang	V;IND;PRS;FIN;ACT	PROPN
skal	shall	skulle	shall	V;IND;PRS;FIN;ACT	PROPN
skal	harus	skulle	harus	V;IND;PRS;FIN;ACT	ADV;SG;ACT
skal	mesti	skulle	mesti	V;IND;PRS;FIN;ACT	
skal	keharusan	skulle	keharusan	V;IND;PRS;FIN;ACT	N;SG
skal	must	skulle	must	V;IND;PRS;FIN;ACT	PROPN
have	masya	have	masya	V;NFIN;ACT	
have	taman	have	taman	V;NFIN;ACT	N;SG
have	garden	have	garden	V;NFIN;ACT	PROPN
have	kebun	have	kebun	V;NFIN;ACT	N;SG
have	telah	have	telah	V;NFIN;ACT	ADV
mere	selengkapnya	mere	selengkap	ADV;CMPR	N;SG
mere	lainnya	mere	lainnya	ADV;CMPR	N
store	besar	stor	besar	ADJ;PL	ADJ;SG
store	big	stor	big	ADJ;PL	PROPN
store	besar	stor	besar	ADJ;PL	ADJ;SG
meget	sangat	meget	sangat	ADJ;INDF;SG	ADV
meget	much	meget	much	ADJ;INDF;SG	PROPN
meget	banyak	meget	banyak	ADJ;INDF;SG	ADV
været	been	være	been	V;INDF;SG;PST;V.PTCP	PROPN
sammen	bareng	sammen	bareng	ADV	PROPN;SG
sammen	together	sammen	together	ADV	PROPN
sammen	bersama	sammen	bersama	ADV	ADP;SG;ACT
end	than	end	than	ADP	PROPN
samme	same	samme	same	ADJ	PROPN
vil	will	ville	will	V;IND;PRS;FIN;ACT	PROPN
vil	akan	ville	akan	V;IND;PRS;FIN;ACT	ADV
vil	pengen	ville	pengen	V;IND;PRS;FIN;ACT	PROPN
vil	mau	ville	mau	V;IND;PRS;FIN;ACT	ADV
seed	biji	seed	biji		N;SG
seed	benih	seed	benih		N;SG
seed	seed	seed	seed		PROPN
seed	bibit	seed	bibit		N;SG
ham	him	han	him	PRO;ACC;MASC+FEM;SG;3	PROPN
omkring	tentang	omkring	tentang	ADV	ADP;SG;ACT
omkring	ttg	omkring	ttg	ADV	
omkring	perihal	omkring	perihal	ADV	N
omkring	sekitar	omkring	sekitar	ADV	ADP
omkring	seputar	omkring	seputar	ADV	
omkring	sekitar	omkring	sekitar	ADV	ADP
blevet	been	blive	been	V;INDF;SG;PST;V.PTCP	PROPN
selv	even	selv	even	PRO	PROPN
selv	genap	selv	genap	PRO	
selv	bahkan	selv	bahkan	PRO	CONJ
københavn	kopenhagen	københavn	kopenhagen	PROPN	N;SG
københavn	copenhagen	københavn	copenhagen	PROPN	PROPN
kom	came	komme	came	V;IND;PST;FIN;ACT	PROPN
skulle	harus	skulle	harus	V;IND;PST;FIN;ACT	ADV;SG;ACT
skulle	haruskah	skulle	harus	V;IND;PST;FIN;ACT	ADV
and	bebek	and	bebek		PROPN
and	itik	and	itik		N
tre	tre	tre	tre	NUM	PROPN
tre	three	tre	three	NUM	PROPN
byen	town	by	town	N;DEF;MASC+FEM;SG	PROPN
byen	city	by	city	N;DEF;MASC+FEM;SG	PROPN
nogle	some	nogen	some	PRO;PL	PROPN
nogle	beberapa	nogen	beberapa	PRO;PL	DET
maj	may	maj	may	N;INDF;MASC+FEM;SG	PROPN
maj	mei	maj	mei	N;INDF;MASC+FEM;SG	PROPN;SG
anden	detik	anden	detik	PRO;MASC+FEM;SG	N;SG
anden	kedua	anden	kedua	PRO;MASC+FEM;SG	NUM
anden	second	anden	second	PRO;MASC+FEM;SG	PROPN
mens	sambil	mens	sambil	CONJ	
mens	selagi	mens	selagi	CONJ	
andet	detik	anden	detik	PRO;NEUT;SG	N;SG
andet	kedua	anden	kedua	PRO;NEUT;SG	NUM
andet	second	anden	second	PRO;NEUT;SG	PROPN
andet	lain	anden	lain	PRO;NEUT;SG	ADJ;SG
andet	lainnya	anden	lainnya	PRO;NEUT;SG	N
dag	dag	dag	dag	N;INDF;MASC+FEM;SG	PROPN
dag	day	dag	day	N;INDF;MASC+FEM;SG	PROPN
her	disini	her	disini	ADV	PROPN;SG;PASS
her	here	her	here	ADV	PROPN
her	sini	her	sini	ADV	ADP;SG
tilbage	kembali	tilbage	kembali	ADV	V;SG;ACT
tilbage	balik	tilbage	balik	ADV	N;SG;ACT
tilbage	mundur	tilbage	mundur	ADV	V;SG;ACT
tilbage	back	tilbage	back	ADV	PROPN
tilbage	belakang	tilbage	belakang	ADV	N;SG
cest	cest	cest	cest		PROPN
død	death	død	death	N;INDF;MASC+FEM;SG	PROPN
død	maut	død	maut	N;INDF;MASC+FEM;SG	PROPN;SG
død	mati	død	mati	N;INDF;MASC+FEM;SG	ADJ;SG
død	tewas	død	tewas	N;INDF;MASC+FEM;SG	ADJ;SG
død	dead	død	dead	N;INDF;MASC+FEM;SG	PROPN
død	mati	død	mati	N;INDF;MASC+FEM;SG	ADJ;SG
findes	eksis	findes	eksis	V;IND;PRS;FIN;ACT	
august	august	august	august	N;INDF;MASC+FEM;SG	
gang	time	gang	time	N;INDF;MASC+FEM;SG	PROPN
forskellige	beda	forskellig	beda	ADJ;PL	ADJ;SG
forskellige	berbeda	forskellig	berbeda	ADJ;PL	V;SG;ACT
forskellige	bermacam	forskellig	bermacam	ADJ;PL	N;SG;ACT
forskellige	berbagai	forskellig	berbagai	ADJ;PL	DET
forskellige	beragam	forskellig	berragam	ADJ;PL	V;SG;ACT
tid	time	tid	time	N;INDF;MASC+FEM;SG	PROPN
nye	new	ny	new	ADJ;PL	PROPN
nye	baru	ny	baru	ADJ;PL	ADJ;SG
både	perahu	både	perahu	ADV	N;SG
både	berdua	både	berdua	ADV	
både	keduanya	både	kedua	ADV	N
gennem	via	gennem	via	ADV	
gennem	melalui	gennem	melalui	ADV	ADP
gennem	lewat	gennem	lewat	ADV	ADP;SG;ACT
gennem	through	gennem	through	ADV	PROPN
gennem	melalui	gennem	melalui	ADV	ADP
stor	big	stor	big	ADJ;INDF;MASC+FEM;SG	PROPN
usa	amerika	usa	amerika	PROPN	PROPN;SG
usa	america	usa	america	PROPN	PROPN
usa	as	usa	as	PROPN	PROPN;SG
usa	usa	usa	usa	PROPN	PROPN
uden	tanpa	uden	tanpa	ADV	ADP
hold	tim	holde	tim	V;IMP	N;SG
hold	tim	holde	tim	V;IMP	N;SG
hold	team	holde	team	V;IMP	PROPN
når	kapan	når	kapan	CONJ	PRO
når	saat	når	saat	CONJ	N;SG
kendt	dikenal	kendt	dikenal	ADJ;INDF;SG	V;SG;PASS
kendt	diketahui	kendt	diketahui	ADJ;INDF;SG	V;SG;PASS
kendt	famous	kendt	famous	ADJ;INDF;SG	PROPN
før	sebelum	før	sebelum	ADV	ADP
før	before	før	before	ADV	PROPN
sogn	parish	sogn	parish	N;INDF;NEUT;SG	PROPN
mest	kebanyakan	mest	kebanyakan	ADV;RL	DET;SG
april	april	april	april	N;INDF;MASC+FEM;SG	PROPN;SG
oktober	oktober	oktober	oktober	N;INDF;MASC+FEM;SG	PROPN;SG
marts	march	marts	march	N;INDF;MASC+FEM;SG	PROPN
hele	keseluruhan	hel	keseluruhan	ADJ;DEF;SG	PRO
hele	whole	hel	whole	ADJ;DEF;SG	PROPN
kirke	church	kirke	church	N;INDF;MASC+FEM;SG	PROPN
række	row	række	row	N;INDF;MASC+FEM;SG	PROPN
style	gaya	style	gaya		N;SG
style	style	style	style		N
style	bergaya	style	bergaya		V;SG;ACT
november	november	november	november	N;INDF;MASC+FEM;SG	PROPN;SG
december	december	december	december	N;INDF;MASC+FEM;SG	PROPN
jpg	jpg	jpg	jpg		N
ville	akan	ville	akan	V;IND;PST;FIN;ACT	ADV
først	pertama	først	pertama	ADV	NUM
først	duluan	først	duluan	ADV	
først	dulu	først	dulu	ADV	N
først	first	først	first	ADV	PROPN
mål	menargetkan	mål	mentargetkan	N;INDF;NEUT;SG	V;SG;ACT
mål	objektif	mål	objektif	N;INDF;NEUT;SG	ADJ
mål	obyektif	mål	obyektif	N;INDF;NEUT;SG	ADJ
mål	objektif	mål	objektif	N;INDF;NEUT;SG	ADJ
mål	goal	mål	goal	N;INDF;NEUT;SG	PROPN
film	films	film	films	N;INDF;MASC+FEM;PL	PROPN
film	film	film	film	N;INDF;MASC+FEM;PL	N;SG
film	movies	film	movies	N;INDF;MASC+FEM;PL	PROPN
film	film	film	film	N;INDF;MASC+FEM;PL	N;SG
film	film	film	film	N;INDF;MASC+FEM;PL	N;SG
film	movie	film	movie	N;INDF;MASC+FEM;PL	PROPN
film	film	film	film	N;INDF;MASC+FEM;PL	N;SG
sidste	last	sidste	last	ADJ	PROPN
sidste	terakhir	sidste	terakhir	ADJ	ADJ;RL;SG
noget	something	nogen	something	PRO;NEUT;SG	PROPN
noget	sesuatu	nogen	sesuatu	PRO;NEUT;SG	N;SG
tyske	german	tysk	german	ADJ;PL	PROPN
tyske	jerman	tysk	jerman	ADJ;PL	PROPN;SG
indtil	hingga	indtil	hingga	CONJ	ADP
indtil	sampai	indtil	sampai	CONJ	ADP
fire	four	fire	four	NUM	PROPN
vandt	won	vinde	won	V;IND;PST;FIN;ACT	PROPN
vandt	dimenangkan	vinde	dimenangkan	V;IND;PST;FIN;ACT	V;SG;PASS
vandt	menang	vinde	menang	V;IND;PST;FIN;ACT	;SG
inden	sebelum	inden	sebelum	ADV	ADP
inden	before	inden	before	ADV	PROPN
mindre	kecil	mindre	kecil	ADV;CMPR	ADJ;SG
mindre	minor	mindre	minor	ADV;CMPR	N
mindre	kurang	mindre	kurang	ADV;CMPR	ADV;SG
christian	christian	christian	christian		PROPN
christian	kristiani	christian	kristiani		PROPN;SG
christian	kristen	christian	kristen		PROPN;SG
frem	forward	frem	forward	ADV	PROPN
frem	maju	frem	maju	ADV	V;SG;ACT
frem	teruskan	frem	teruskan	ADV	V;SG;ACT
største	biggest	stor	biggest	ADJ;DEF;RL	PROPN
største	greatest	stor	greatest	ADJ;DEF;RL	PROPN
hjemmeside	beranda	hjemmeside	beranda	N;INDF;MASC+FEM;SG	
cet	cet	cet	cet		PROPN
alt	everything	al	everything	ADJ;NEUT;SG	PROPN
alt	semuanya	al	semua	ADJ;NEUT;SG	PRO
alt	segalanya	al	segala	ADJ;NEUT;SG	PRO
alt	all	al	all	ADJ;NEUT;SG	PROPN
alt	aii	al	aii	ADJ;NEUT;SG	PROPN
alt	semua	al	semua	ADJ;NEUT;SG	DET
side	page	side	page	N;INDF;MASC+FEM;SG	PROPN
side	side	side	side	N;INDF;MASC+FEM;SG	PROPN
medlem	member	medlem	menber	N;INDF;NEUT;SG	
større	greater	stor	greater	ADJ;CMPR	PROPN
spillede	diputar	spille	diputar	V;IND;PST;FIN;ACT	V;SG;PASS
spillede	dimainkan	spille	dimainkan	V;IND;PST;FIN;ACT	V;SG;PASS
spillede	dipermainkan	spille	dipermainkan	V;IND;PST;FIN;ACT	V;SG;PASS
søn	nak	søn	nak	N;INDF;MASC+FEM;SG	PART
søn	son	søn	son	N;INDF;MASC+FEM;SG	PROPN
tog	train	tage	train	V;IND;PST;FIN;ACT	PROPN
tog	kereta	tage	kereta	V;IND;PST;FIN;ACT	N;SG
tog	took	tage	took	V;IND;PST;FIN;ACT	PROPN
amerikansk	american	amerikansk	american	ADJ;INDF;SG	PROPN
amerikansk	amerika	amerikansk	amerika	ADJ;INDF;SG	PROPN;SG
lille	small	lille	small	ADJ;SG	PROPN
lille	little	lille	little	ADJ;SG	PROPN
lille	sedikit	lille	sedikit	ADJ;SG	ADV;SG
lille	beraktifitas	lille	beraktifitas	ADJ;SG	V;SG;ACT
lille	lille	lille	lille	ADJ;SG	PROPN
not	not	not	not		PROPN
not	bukan	not	bukan		PART;NEG
not	tidak	not	tidak		PART;NEG
hendes	miliknya	hendes	milik	DET;3	N;SG;ACT
hendes	nya	hendes	nya	DET;3	PRO
hendes	her	hendes	her	DET;3	PROPN
von	von	von	von		PROPN
hvad	what	hvad	what	PRO;SG	PROPN
hvad	apa	hvad	apa	PRO;SG	PRO
nord	utara	nord	utara	N;INDF	PROPN;SG
nord	north	nord	north	N;INDF	PROPN
nord	nord	nord	nord	N;INDF	PROPN
kort	map	kort	map	ADJ;INDF;SG	PROPN
kort	peta	kort	peta	ADJ;INDF;SG	N;SG
kort	short	kort	short	ADJ;INDF;SG	PROPN
kort	maps	kort	maps	ADJ;INDF;SG	PROPN
kort	peta	kort	peta	ADJ;INDF;SG	N;SG
kort	kartu	kort	kartu	ADJ;INDF;SG	N;SG
kort	card	kort	card	ADJ;INDF;SG	PROPN
kort	kartu	kort	kartu	ADJ;INDF;SG	N;SG
artikler	artikel	artikel	artikel	N;INDF;MASC+FEM;PL	N;SG
begyndte	dimulai	begynde	dimulai	V;IND;PST;FIN;ACT	V;SG;PASS
helt	seutuhnya	helt	seutuh	ADV	N;SG
helt	hero	helt	hero	ADV	PROPN
helt	pahlawan	helt	pahlawan	ADV	N;SG
gamle	tua	gammel	tua	ADJ;PL	ADJ;SG
gamle	lama	gammel	lama	ADJ;PL	ADJ;SG
gamle	old	gammel	old	ADJ;PL	PROPN
isbn	isbn	isbn	isbn	N;INDF;MASC+FEM;SG	PROPN
gange	kali	gang	kali	N;INDF;MASC+FEM;PL	N;SG
gange	times	gang	times	N;INDF;MASC+FEM;PL	PROPN
bedste	best	god	best	ADJ;DEF;RL	PROPN
døde	tewas	død	tewas	ADJ;PL	ADJ;SG
døde	dead	død	dead	ADJ;PL	PROPN
døde	mati	død	mati	ADJ;PL	ADJ;SG
døde	meninggal	død	mentinggal	ADJ;PL	V;SG;ACT
amerikanske	american	amerikansk	american	ADJ;PL	PROPN
amerikanske	amerika	amerikansk	amerika	ADJ;PL	PROPN;SG
tysk	german	tysk	german	ADJ;INDF;SG	PROPN
tysk	jerman	tysk	jerman	ADJ;INDF;SG	PROPN;SG
meter	meter	meter	meter	N;INDF;MASC+FEM;PL	N;SG
meter	meteran	meter	meteran	N;INDF;MASC+FEM;PL	N;SG
meter	meter	meter	meter	N;INDF;MASC+FEM;PL	N;SG
meter	meter	meter	meter	N;INDF;MASC+FEM;PL	N;SG
meter	meter	meter	meter	N;INDF;MASC+FEM;PL	N;SG
gruppe	kelompokkan	gruppe	kelompokkan	N;INDF;MASC+FEM;SG	V;SG;ACT
stedet	tempatkan	sted	tempatkan	N;DEF;NEUT;SG	V;SG;ACT
stedet	place	sted	place	N;DEF;NEUT;SG	PROPN
tyskland	jerman	tyskland	jerman	PROPN	PROPN;SG
lige	straight	lige	straight	ADV	PROPN
lige	lurus	lige	lurus	ADV	N;SG
lige	sama	lige	sama	ADV	ADJ;SG
lige	setara	lige	setara	ADV	ADJ;SG
lige	sederajat	lige	sederajat	ADV	N;SG
spillet	permainan	spille	permainan	V;INDF;SG;PST;V.PTCP	N;SG
spillet	game	spille	game	V;INDF;SG;PST;V.PTCP	N;SG
peter	petrus	peter	petrus		PROPN
peter	peter	peter	peter		PROPN
hver	setiap	hver	setiap	PRO;MASC+FEM;SG	DET
hver	every	hver	every	PRO;MASC+FEM;SG	PROPN
hver	setiap	hver	setiap	PRO;MASC+FEM;SG	DET
hver	tiap	hver	tiap	PRO;MASC+FEM;SG	DET
hver	each	hver	each	PRO;MASC+FEM;SG	PROPN
historie	story	historie	story	N;INDF;MASC+FEM;SG	PROPN
historie	history	historie	history	N;INDF;MASC+FEM;SG	PROPN
engelsk	inggris	engelsk	inggris	ADJ;INDF;SG	PROPN;SG
engelsk	indonesian	engelsk	indonesian	ADJ;INDF;SG	PROPN
engelsk	english	engelsk	english	ADJ;INDF;SG	N
århundrede	century	århundrede	century	N;INDF;NEUT;SG	PROPN
john	john	john	john	PROPN	PROPN
john	yohanes	john	yohanes	PROPN	PROPN
sted	tempatkan	sted	tempatkan	N;INDF;NEUT;SG	V;SG;ACT
sted	place	sted	place	N;INDF;NEUT;SG	PROPN
gift	married	gift	married	ADJ;INDF;SG	PROPN
gift	menikah	gift	mennikah	ADJ;INDF;SG	V;SG;ACT
gift	venom	gift	venom	ADJ;INDF;SG	PROPN
gift	bisanya	gift	bisa	ADJ;INDF;SG	ADV
gift	racun	gift	racun	ADJ;INDF;SG	N;SG
gift	racun	gift	racun	ADJ;INDF;SG	N;SG
center	tengah	center	tengah	N;INDF;NEUT;SG	PROPN;SG
center	center	center	center	N;INDF;NEUT;SG	PROPN
center	tengah	center	tengah	N;INDF;NEUT;SG	PROPN;SG
center	centre	center	centre	N;INDF;NEUT;SG	PROPN
spiller	player	spille	player	V;IND;PRS;FIN;ACT	N
spiller	pemain	spille	penmain	V;IND;PRS;FIN;ACT	N;SG
spiller	pemutar	spille	penputar	V;IND;PRS;FIN;ACT	N;SG
spiller	diputar	spille	diputar	V;IND;PRS;FIN;ACT	V;SG;PASS
kommer	comes	komme	comes	V;IND;PRS;FIN;ACT	PROPN
kommer	coming	komme	coming	V;IND;PRS;FIN;ACT	PROPN
kampe	cocok	kamp	cocok	N;INDF;MASC+FEM;PL	ADJ;SG
kampe	kecocokan	kamp	kecocokan	N;INDF;MASC+FEM;PL	N;SG
kampe	pertandingan	kamp	pertandingan	N;INDF;MASC+FEM;PL	N;SG
kampe	berkelahi	kamp	berkelahi	N;INDF;MASC+FEM;PL	V;SG;ACT
kampe	perkelahian	kamp	perkelahian	N;INDF;MASC+FEM;PL	N;SG
kampe	berjuang	kamp	berjuang	N;INDF;MASC+FEM;PL	V;SG;ACT
kampe	berkelahi	kamp	berkelahi	N;INDF;MASC+FEM;PL	V;SG;ACT
kampe	fighting	kamp	fighting	N;INDF;MASC+FEM;PL	PROPN
kampe	bertarung	kamp	bertarung	N;INDF;MASC+FEM;PL	V;SG;ACT
kampe	permainan	kamp	permainan	N;INDF;MASC+FEM;PL	N;SG
kampe	games	kamp	games	N;INDF;MASC+FEM;PL	PROPN
kampe	game	kamp	game	N;INDF;MASC+FEM;PL	N;SG
kampe	pertempuran	kamp	pertempuran	N;INDF;MASC+FEM;PL	N;SG
går	walking	gå	walking	V;IND;PRS;FIN;ACT	PROPN
går	goes	gå	goes	V;IND;PRS;FIN;ACT	PROPN
syd	south	syd	south	N;INDF	PROPN
syd	syd	syd	syd	N;INDF	PROPN
består	terdiri	bestå	terdiri	V;IND;PRS;FIN;ACT	V;SG;PASS
sverige	swedia	sverig	swedia	ADJ;PL	PROPN;SG
frederik	frederik	frederik	frederik	N;INDF;MASC+FEM;SG	PROPN
frederik	friedrich	frederik	friedrich	N;INDF;MASC+FEM;SG	PROPN
frederik	frederick	frederik	frederick	N;INDF;MASC+FEM;SG	PROPN
frankrig	prancis	frankrig	prancis		PROPN;SG
frankrig	france	frankrig	france		PROPN
frankrig	perancis	frankrig	perancis		PROPN;SG
ned	turun	ned	turun	ADV	V;SG;ACT
ned	down	ned	down	ADV	PROPN
ned	turunkan	ned	turunkan	ADV	V;SG;ACT
form	shape	form	shape	N;INDF;MASC+FEM;SG	PROPN
form	membentuk	form	menbentuk	N;INDF;MASC+FEM;SG	V;SG;ACT
form	form	form	form	N;INDF;MASC+FEM;SG	PROPN
nogen	anyone	nogen	anyone	PRO;MASC+FEM;SG	PROPN
nogen	siapapun	nogen	siapa	PRO;MASC+FEM;SG	PRO
nogen	seseorang	nogen	seseorang	PRO;MASC+FEM;SG	N;SG
nogen	somebody	nogen	somebody	PRO;MASC+FEM;SG	PROPN
nogen	seseorang	nogen	seseorang	PRO;MASC+FEM;SG	N;SG
nogen	someone	nogen	someone	PRO;MASC+FEM;SG	PROPN
godt	bagus	godt	bagus	ADV	ADJ;SG
arbejde	bekerja	arbejde	bekerja	N;INDF;NEUT;SG	V;SG;ACT
arbejde	berfungsi	arbejde	berfungsi	N;INDF;NEUT;SG	V;SG;ACT
arbejde	bekerja	arbejde	bekerja	N;INDF;NEUT;SG	V;SG;ACT
land	land	land	land	N;INDF;NEUT;SG	PROPN
begge	berdua	begge	berdua	PRO;PL	
begge	keduanya	begge	kedua	PRO;PL	N
norge	norwegia	norge	norwegia	PROPN	PROPN
europa	eropa	europa	eropa	PROPN	N;SG
europa	europa	europa	europa	PROPN	PROPN
england	inggris	england	inggris	PROPN	PROPN;SG
player	pemain	play	penmain	N;INDF;MASC+FEM;PL	N;SG
player	pemutar	play	penputar	N;INDF;MASC+FEM;PL	N;SG
børn	anak	barn	anak	N;INDF;NEUT;PL	N;SG
http	http	http	http	N;INDF;MASC+FEM;SG	PROPN
verden	world	verden	world	N;INDF;MASC+FEM;SG	PROPN
lang	lang	lang	lang	ADJ;INDF;MASC+FEM;SG	PROPN
lang	long	lang	long	ADJ;INDF;MASC+FEM;SG	PROPN
plads	seat	plads	seat	N;INDF;MASC+FEM;SG	PROPN
plads	tempatkan	plads	tempatkan	N;INDF;MASC+FEM;SG	V;SG;ACT
plads	place	plads	place	N;INDF;MASC+FEM;SG	PROPN
plads	space	plads	space	N;INDF;MASC+FEM;SG	PROPN
får	sheep	få	sheep	V;IND;PRS;FIN;ACT	PROPN
får	domba	få	domba	V;IND;PRS;FIN;ACT	N;SG
får	getting	få	getting	V;IND;PRS;FIN;ACT	PROPN
samtidig	serentak	samtidig	serentak	ADV	
samtidig	simultan	samtidig	simultan	ADV	N;SG
samtidig	serentak	samtidig	serentak	ADV	
samtidig	bersamaan	samtidig	bersamaan	ADV	V;SG;ACT
stort	big	stor	big	ADJ;INDF;NEUT;SG	PROPN
derefter	lalu	derefter	lalu	ADV	CONJ;SG
derefter	maka	derefter	maka	ADV	CONJ
set	ketahuan	se	ketahuan	V;INDF;SG;PST;V.PTCP	
london	london	london	london	PROPN	PROPN
london	banjarmasin	london	banjarmasin	PROPN	PROPN
endnu	yet	endnu	yet	ADV	PROPN
kendte	dikenal	kende	dikenal	V;IND;PST;FIN;ACT	V;SG;PASS
kendte	diketahui	kende	diketahui	V;IND;PST;FIN;ACT	V;SG;PASS
kendte	selebritis	kende	selebritis	V;IND;PST;FIN;ACT	N
kendte	selebriti	kende	selebriti	V;IND;PST;FIN;ACT	N
