varys	варис	varys	варис	PROPN	N;INDF;MASC;SG
chámanlle	обаждане	chámanlle	обаждане	PROPN	N;INDF;NEUT;SG
cas	със	cas	със	N	ADP
devanceiros	предшественици	devanceiro	предшественик	ADJ	N;INDF;MASC;PL
devanceiros	предците	devanceiro	предци	ADJ	N;DEF
devanceiros	предци	devanceiro	предци	ADJ	N;INDF;MASC;PL
perigosa	опасно	perigosa	опасно	ADJ	ADV
estatal	щат	estatal	щат	ADJ	N;INDF;MASC;SG
estatal	държава	estatal	държава	ADJ	N;INDF;FEM;SG
estatal	държавно	estatal	държавен	ADJ	ADV
amargo	горчиви	amargo	горчив	N	ADJ;INDF;PL
amargo	горчива	amargo	горчив	N	ADJ;INDF;FEM;SG
amargo	горчив	amargo	горчив	N	ADJ;INDF;MASC;SG
amargo	горчиво	amargo	горчиво	N	ADV
equivocado	грешно	equivocar	грешно	V	ADV
equivocado	грешка	equivocar	грешка	V	N;INDF;FEM;SG
representante	представителна	representante	представителен	N	ADJ;INDF;FEM;SG
representante	представителен	representante	представителен	N	ADJ;INDF;MASC;SG
representante	представително	representante	представително	N	ADV
representante	представителни	representante	представителен	N	ADJ;INDF;PL
levárono	него	levárono	аз	V	PRO;ACC;MASC;SG;3
levárono	те	levárono	аз	V	PRO;NOM;PL;3
xogamos	игра	xogar	игра	V	N;INDF;FEM;SG
renunciar	даване	renunciar	даване	V	N;INDF;NEUT;SG
estranxeira	чужденец	estranxeiro	чужденец	ADJ	N;INDF;MASC;SG
estranxeira	чужденка	estranxeiro	чужденка	ADJ	N;INDF;FEM;SG
estranxeira	чужденец	estranxeiro	чужденец	ADJ	N;INDF;MASC;SG
favorita	любимо	favoritar	любимо	N	ADV
favorita	любими	favoritar	любим	N	ADJ;INDF;PL
favorita	любим	favoritar	любим	N	ADJ;INDF;MASC;SG
dirán	те	dir	аз	V	PRO;NOM;PL;3
viaxa	пътувания	viaxa	пътуване	V	N;INDF;NEUT;PL
viaxa	пътуване	viaxa	пътуване	V	N;INDF;NEUT;SG
viaxa	пътешествия	viaxa	пътешествие	V	N;INDF;NEUT;PL
parker	паркър	parker	паркър	PROPN	N;INDF;MASC;SG
esperan	надеждата	esperar	надежда	V	N;DEF;FEM;SG
esperan	хоуп	esperar	хоуп	V	N;INDF;MASC;SG
esperan	надежда	esperar	надежда	V	N;INDF;FEM;SG
esperan	изчакване	esperar	изчакване	V	N;INDF;NEUT;SG
esperan	чакане	esperar	чакане	V	N;INDF;NEUT;SG
taza	чашка	taza	чашки	PROPN	N;INDF;FEM;SG
taza	чаша	taza	чаша	PROPN	N;INDF;FEM;SG
taza	купа	taza	купа	PROPN	N;INDF;FEM;SG
taza	къп	taza	къп	PROPN	N;INDF;MASC;SG
lixeiro	светло	lixeiro	светло	ADJ	ADV
lixeiro	светлина	lixeiro	светлина	ADJ	N;INDF;FEM;SG
lixeiro	светлината	lixeiro	светлина	ADJ	N;DEF;FEM;SG
prometín	обещал	prometín	обещая	PROPN	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
prometín	обещано	prometín	обещано	PROPN	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
defunto	късно	defunto	късно	N	ADV
defunto	закъснява	defunto	закъснявам	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
defunto	мъртви	defunto	мъртъв	N	ADJ;INDF;PL
defunto	мъртва	defunto	мъртва	N	ADJ;INDF;FEM;SG
regrese	назад	regrese	назад	V	ADV
regrese	обратно	regrese	обратно	V	ADV
regrese	гръб	regrese	гръб	V	N;INDF;MASC;SG
escapou	надалеч	escapar	надалеч	V	ADV
escapou	далеч	escapar	далеч	V	ADV
escapou	от	escapar	от	V	ADP
amada	обичах	amadar	обичам	ADJ	V;IPFV;IND;SG;1;IPFV;FIN;ACT
amada	обичана	amadar	обичам	ADJ	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
amada	обичаше	amadar	обичам	ADJ	V;IPFV;IND;SG;3;IPFV;FIN;ACT
amada	обичан	amadar	обичам	ADJ	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
jenny	джени	jenny	джен	PROPN	PROPN;INDF;FEM;SG
óesme	си	óesme	съм	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
óesme	ти	óesme	аз	PROPN	PRO;NOM;SG;2
óesme	ви	óesme	аз	PROPN	PRO;ACC;SG;2
óesme	чуя	óesme	чуя	PROPN	V;IPFV;IND;SG;1;PRS;FIN;ACT
molesto	разстроен	molesto	разстроя-(се)	N	ADJ;INDF;MASC;SG
molesto	разстроена	molesto	разстроя-(се)	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
pensado	мисъл	pensar	мисъл	V	N;INDF;FEM;SG
gustaríalle	като	gustaríalle	като	V	CONJ
gustaríalle	like	gustaríalle	like	V	PROPN;INDF;MASC;SG
mátote	убий	mátote	убия	PROPN	INTJ
mátote	си	mátote	съм	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
mátote	ти	mátote	аз	PROPN	PRO;NOM;SG;2
mátote	ви	mátote	аз	PROPN	PRO;ACC;SG;2
esperas	си	espera	съм	N	V;IPFV;IND;SG;2;PRS;FIN;ACT
esperas	ти	espera	аз	N	PRO;NOM;SG;2
esperas	ви	espera	аз	N	PRO;ACC;SG;2
esperas	чакаме	espera	чакам	N	V;IPFV;IND;PL;1;PRS;FIN;ACT
esperas	чакам	espera	чакам	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
caín	падна	caín	падна-(се)	PRO	V;PFV;IND;SG;3;PST;FIN;ACT
caín	паднала	caín	падна-(се)	PRO	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
caín	паднал	caín	падна-(се)	PRO	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
joseph	жозеф	josephr	жозеф	PROPN	N;INDF;MASC;SG
joseph	джоузеф	josephr	джоузеф	PROPN	N;INDF;MASC;SG
joseph	йосиф	josephr	йосиф	PROPN	N;INDF;MASC;SG
seda	копринена	sedo	копринен	N	ADJ;INDF;FEM;SG
secreta	секретно	secreta	секретен	N	ADV
secreta	тайно	secreta	тайно	N	ADV
xusta	просто	xusto	просто	ADJ	ADV
xusta	само	xusto	само	ADJ	ADV
vido	ела	vir	дойда	N	V;IPFV;IMP;SG;2;FIN
vido	дойде	vir	дойда	N	V;PFV;IND;SG;3;PST;FIN;ACT
dispararon	изстрел	disparar	изстрел	V	N;INDF;MASC;SG
dispararon	те	disparar	аз	V	PRO;NOM;PL;3
terlle	него	terlle	аз	PROPN	PRO;ACC;MASC;SG;3
seguirá	уил	seguir	ухл	V	PROPN;INDF;MASC;SG
seguirá	още	seguir	още	V	ADV
deixaría	нека	deixar	нека	V	PART
vervos	си	vervo	съм	V	V;IPFV;IND;SG;2;PRS;FIN;ACT
vervos	ти	vervo	аз	V	PRO;NOM;SG;2
vervos	ви	vervo	аз	V	PRO;ACC;SG;2
sóltame	нека	sóltame	нека	PROPN	PART
ataques	атакува	ataque	атакувам	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
celosa	ревност	celosar	ревност	ADJ	N;INDF;FEM;SG
estabades	бяха	estabade	съм	N	V;IPFV;IND;PL;3;PST;FIN;ACT
estabades	си	estabade	съм	N	V;IPFV;IND;SG;2;PRS;FIN;ACT
estabades	ти	estabade	аз	N	PRO;NOM;SG;2
estabades	ви	estabade	аз	N	PRO;ACC;SG;2
interesada	заинтересовани	interesado	заинтересован	N	ADJ;INDF;PL
interesada	заинтересована	interesado	заинтересован	N	ADJ;INDF;FEM;SG
interesada	заинтригуван	interesado	заинтригувам	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
interesada	заинтересуван	interesado	заинтересувам-(се)	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
interesada	заинтересован	interesado	заинтересовам	N	ADJ;INDF;MASC;SG
escoitaches	си	escoitaches	съм	V	V;IPFV;IND;SG;2;PRS;FIN;ACT
escoitaches	ти	escoitaches	аз	V	PRO;NOM;SG;2
escoitaches	ви	escoitaches	аз	V	PRO;ACC;SG;2
fálame	относно	fálame	относно	PROPN	ADP
vendas	продава	venda	продавам	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
parezo	виж	parezo	видя-(се)	PROPN	V;PFV;IMP;SG;2;FIN
vinnie	вини	vinnie	виня	PROPN	N;INDF;MASC;SG
permíteme	май	permíteme	май	V	PROPN;INDF;MASC;SG
pague	заплащане	pague	заплащане	V	N;INDF;NEUT;SG
colar	колие	colar	колие	V	N;INDF;NEUT;SG
colar	огърлица	colar	огърлица	V	N;INDF;FEM;SG
levarte	си	levarte	съм	V	V;IPFV;IND;SG;2;PRS;FIN;ACT
levarte	ти	levarte	аз	V	PRO;NOM;SG;2
levarte	ви	levarte	аз	V	PRO;ACC;SG;2
sacaches	си	sacaches	съм	V	V;IPFV;IND;SG;2;PRS;FIN;ACT
sacaches	ти	sacaches	аз	V	PRO;NOM;SG;2
sacaches	ви	sacaches	аз	V	PRO;ACC;SG;2
xudea	юдея	xudea	юдей	N	PROPN;INDF;MASC;SG
xudea	преден	xudea	преден	N	ADJ;INDF;MASC;SG
xudea	предни	xudea	преден	N	ADJ;INDF;PL
xudea	отпред	xudea	отпред	N	ADV
xudea	предна	xudea	преден	N	ADJ;INDF;FEM;SG
boh	еее	boh	ее	PROPN	INTJ
lima	лима	lima	лима	PROPN	PROPN;INDF;FEM;SG
refíreste	си	refíreste	съм	N	V;IPFV;IND;SG;2;PRS;FIN;ACT
refíreste	ти	refíreste	аз	N	PRO;NOM;SG;2
refíreste	ви	refíreste	аз	N	PRO;ACC;SG;2
adoro	обич	adoro	обич	V	N;INDF;FEM;SG
adoro	любов	adoro	любов	V	N;INDF;FEM;SG
adoro	любовта	adoro	любов	V	N;DEF;FEM;SG
dillo	него	dillo	аз	PROPN	PRO;ACC;MASC;SG;3
trent	трент	trent	трент	PROPN	PROPN;INDF;MASC;SG
jean	жан	jean	жан	PROPN	PROPN;INDF;MASC;SG
jean	джийн	jean	джийн	PROPN	PROPN;INDF;FEM;SG
saigón	сайгон	saigón	сайгон	PROPN	N;INDF;MASC;SG
ámoa	обич	ámoa	обич	PROPN	N;INDF;FEM;SG
ámoa	любов	ámoa	любов	PROPN	N;INDF;FEM;SG
ámoa	любовта	ámoa	любов	PROPN	N;DEF;FEM;SG
ámoa	обичам	ámoa	обичам	PROPN	V;IPFV;IND;SG;1;PRS;FIN;ACT
ámoa	нея	ámoa	аз	PROPN	PRO;ACC;FEM;SG;3
dakar	дакар	dakar	дакар	PROPN	PROPN;INDF;MASC;SG
dylan	дилън	dólar	дилън	PROPN	PROPN;INDF;MASC;SG
dylan	дилан	dólar	дилан	PROPN	N;INDF;MASC;SG
clermont	клермон	clermont	клермон	PROPN	N;INDF;MASC;SG
imperfecto	на	imperfecto	на	ADJ	ADP
viñan	те	vir	аз	V	PRO;NOM;PL;3
cambian	промени	cambiar	промяна	V	N;INDF;FEM;PL
cambian	смяна	cambiar	смяна	V	N;INDF;FEM;SG
cambian	промяна	cambiar	промяна	V	N;INDF;FEM;SG
dados	зарове	dar	зарова	V	N;INDF;MASC;PL
dados	заровете	dar	заровя-(се)	V	N;DEF;MASC;PL
occidental	западен	occidental	западя-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
occidental	уестърн	occidental	уестърн	ADJ	N;INDF;MASC;SG
occidental	western	occidental	western	ADJ	N;INDF;MASC;SG
occidental	запад	occidental	запад	ADJ	N;INDF;MASC;SG
occidental	западно	occidental	западно	ADJ	ADV
occidental	западен	occidental	западя-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
occidental	уест	occidental	уест	ADJ	PROPN;INDF;MASC;SG
impresionante	впечатляващо	impresionante	впечатляващо	ADJ	ADV
encaixa	припадъци	encaixa	припадък	V	N;INDF;MASC;PL
king	крал	king	крал	PROPN	N;INDF;MASC;SG
king	кинг	king	кинг	PROPN	N;INDF;MASC;SG
king	кралят	king	крал	PROPN	N;DEF;MASC;SG
king	цар	king	цар	PROPN	N;INDF;MASC;SG
king	краля	king	крал	PROPN	N;DEF;MASC;SG
andy	анди	andy	анди	PROPN	PROPN;INDF;MASC;SG
archie	арчи	archie	арчи	PROPN	N;INDF;MASC;SG
xulgar	съдията	xulgar	съдия	V	N;DEF;MASC;SG
xulgar	съдия	xulgar	съдия	V	N;INDF;MASC;SG
veredes	си	verede	съм	V	V;IPFV;IND;SG;2;PRS;FIN;ACT
veredes	ти	verede	аз	V	PRO;NOM;SG;2
veredes	ви	verede	аз	V	PRO;ACC;SG;2
deixala	нека	deixala	нека	ADV	PART
deixala	нея	deixala	аз	ADV	PRO;ACC;FEM;SG;3
deixala	си	deixala	съм	ADV	V;IPFV;IND;SG;2;PRS;FIN;ACT
deixala	ти	deixala	аз	ADV	PRO;NOM;SG;2
deixala	ви	deixala	аз	ADV	PRO;ACC;SG;2
extraordinario	необикновено	extraordinario	необикновено	ADJ	ADV
anderson	андерсън	anderson	андерсън	PROPN	PROPN;INDF;MASC;SG
contesta	отговор	contesta	отговор	V	N;INDF;MASC;SG
pagas	плащам	paga	плащам	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
pagas	плати	paga	платя	N	V;PFV;IND;SG;3;PST;FIN;ACT
pagas	си	paga	съм	N	V;IPFV;IND;SG;2;PRS;FIN;ACT
pagas	ти	paga	аз	N	PRO;NOM;SG;2
pagas	ви	paga	аз	N	PRO;ACC;SG;2
electrónico	електронно	electrónico	електронен	ADJ	ADV
tocas	си	toca	съм	V	V;IPFV;IND;SG;2;PRS;FIN;ACT
tocas	ти	toca	аз	V	PRO;NOM;SG;2
tocas	ви	toca	аз	V	PRO;ACC;SG;2
largo	вън	largo	вън	N	ADV
largo	навън	largo	навън	N	ADV
experto	експертно	experto	експертно	N	ADV
referencia	референтни	referencia	референтен	N	ADJ;INDF;PL
tiveses	си	ter	съм	V	V;IPFV;IND;SG;2;PRS;FIN;ACT
tiveses	ти	ter	аз	V	PRO;NOM;SG;2
tiveses	ви	ter	аз	V	PRO;ACC;SG;2
preocupar	относно	preocupar	относно	V	ADP
gafas	очила	gafo	очилам-(се)	N	ADV
secundarios	страна	secundario	страна	ADJ	N;INDF;FEM;SG
secreto	секретно	secreto	секретен	N	ADV
secreto	тайно	secreto	тайно	N	ADV
verdadeiros	истинско	verdadeiro	истински	ADJ	ADV
verdadeiros	реал	verdadeiro	реал	ADJ	PROPN;INDF;MASC;SG
verdadeiros	реално	verdadeiro	реално	ADJ	ADV
verdadeiros	истина	verdadeiro	истина	ADJ	N;INDF;FEM;SG
verdadeiros	вярно	verdadeiro	верен	ADJ	ADV
similares	подобно	similar	подобно	ADJ	ADV
capturar	улавяне	capturar	улавяне	V	N;INDF;NEUT;SG
capturar	залавяне	capturar	залавяне	V	N;INDF;NEUT;SG
capturar	залавянето	capturar	залавяне	V	N;DEF;NEUT;SG
profundidade	дълбока	profundidade	дълбок	N	ADJ;INDF;FEM;SG
profundidade	дълбок	profundidade	дълбок	N	ADJ;INDF;MASC;SG
profundidade	дълбоки	profundidade	дълбок	N	ADJ;INDF;PL
profundidade	дълбоко	profundidade	дълбоко	N	ADV
capas	златен	capa	златен	N	ADJ;INDF;MASC;SG
capas	златни	capa	златен	N	ADJ;INDF;PL
capas	златно	capa	златен	N	ADV
capas	златна	capa	златен	N	ADJ;INDF;FEM;SG
utiliza	използване	utilizar	използване	V	N;INDF;NEUT;SG
utiliza	употреба	utilizar	употреба	V	N;INDF;FEM;SG
orientais	източно	oriental	източно	ADJ	ADV
orientais	изток	oriental	изток	ADJ	N;INDF;MASC;SG
orientais	източен	oriental	източа-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
sexamos	нека	sexar	нека	V	PART
diaños	на	diaño	на	N	ADP
diaños	ада	diaño	ада	N	ADV
micrófono	мик	micrófono	мик	N	PROPN;INDF;MASC;SG
cheguen	те	chegar	аз	V	PRO;NOM;PL;3
actuais	ток	actual	ток	ADJ	N;INDF;MASC;SG
actuais	настоящ	actual	настоящ	ADJ	N;INDF;MASC;SG
mandela	мандела	mandela	мандел	PROPN	N;DEF;MASC;SG
mark	марк	mark	марк	PROPN	PROPN;INDF;MASC;SG
mark	отбелязване	mark	отбелязване	PROPN	N;INDF;NEUT;SG
porca	мръсна	porco	мръсна	N	ADJ;INDF;FEM;SG
porca	мръсно	porco	мръсен	N	ADV
porca	мръсни	porco	мръсен	N	ADJ;INDF;PL
porca	мръсен	porco	мръсен	N	ADJ;INDF;MASC;SG
lendo	четенето	lendo	четене	V	N;DEF;NEUT;SG
lendo	четене	lendo	четене	V	N;INDF;NEUT;SG
sa	здрави	sa	здрав	PROPN	ADJ;INDF;PL
sa	здрав	sa	здрав	PROPN	ADJ;INDF;MASC;SG
sa	здрава	sa	здрав	PROPN	ADJ;INDF;FEM;SG
sa	здравословни	sa	здравословен	PROPN	ADJ;INDF;PL
sa	здравословно	sa	здравословен	PROPN	ADV
cruzando	пресичане	cruzar	пресичане	V	N;INDF;NEUT;SG
xen	джийн	xen	джийн	PROPN	PROPN;INDF;FEM;SG
xen	ген	xen	генерал	PROPN	N;INDF;MASC;SG
xen	джин	xen	джин	PROPN	PROPN;INDF;MASC;SG
xen	гена	xen	гена	PROPN	N;INDF;FEM;SG
asilo	домашен	asilo	домашен	N	ADJ;INDF;MASC;SG
asilo	вкъщи	asilo	вкъщи	N	ADV
simon	саймън	ser	саймън	PROPN	PROPN;INDF;MASC;SG
simon	симон	ser	симон	PROPN	PROPN;INDF;MASC;SG
nucleares	ядрено	nuclear	ядрен	V	ADV
nucleares	ядрен	nuclear	ядрен	V	ADJ;INDF;MASC;SG
nucleares	ядрена	nuclear	ядрен	V	ADJ;INDF;FEM;SG
nucleares	атомна	nuclear	атомен	V	ADJ;INDF;FEM;SG
nucleares	ядрени	nuclear	ядрен	V	ADJ;INDF;PL
henry	хенри	henry	хенра	PROPN	N;INDF;MASC;SG
gañadores	печеливши	gañador	печеливш	N	ADJ;INDF;PL
gañadores	печелившите	gañador	печеливш	N	ADJ;DEF;PL
use	използване	use	използване	V	N;INDF;NEUT;SG
use	употреба	use	употреба	V	N;INDF;FEM;SG
aparecer	показване	aparecer	показване	V	N;INDF;NEUT;SG
mercados	пазарна	mercado	пазарен	N	ADJ;INDF;FEM;SG
mercados	пазарен	mercado	пазарен	N	ADJ;INDF;MASC;SG
suecia	швеция	suecia	швеция	PROPN	PROPN;INDF;FEM;SG
comín	яла	comín	яла	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
comín	ял	comín	ял	V	N;INDF;MASC;SG
reside	лъжи	residir	лъжа	V	N;INDF;FEM;PL
farían	те	facer	аз	V	PRO;NOM;PL;3
xerais	генерал	xeral	генерал	ADJ	N;INDF;MASC;SG
xerais	генерали	xeral	генерал	ADJ	N;INDF;MASC;PL
meniño	мила	meniño	мил	N	ADJ;INDF;FEM;SG
meniño	скъпа	meniño	скъп	N	ADJ;INDF;FEM;SG
colleron	те	coller	аз	V	PRO;NOM;PL;3
teredes	си	ter	съм	V	V;IPFV;IND;SG;2;PRS;FIN;ACT
teredes	ти	ter	аз	V	PRO;NOM;SG;2
teredes	ви	ter	аз	V	PRO;ACC;SG;2
nazis	нацистки	nazis	нацистки	N	ADJ;INDF;MASC;SG
cazadores	ловен	cazador	ловен	N	ADJ;INDF;MASC;SG
trataba	бе	tratar	съм	V	V;IPFV;IND;SG;3;PST;FIN;ACT
bater	удари	bater	удар	V	N;INDF;MASC;PL
