मकर	capricorn
रॉबर्ट्स	roberts
क्लाइंट	client
क्लाइंट	clients
यन्त्र	yantra
राँची	ranchi
गर्भाधान	insemination
डायरी	diary
अपडेट	update
अपडेट	updates
चैम्पियन	champ
चैम्पियन	champion
डेनिस	denise
डेनिस	dennis
डेनिस	denis
जोएल	joel
मैगज़ीन	magazines
सीमाएं	limitations
शंघाई	shanghai
आयुर्वेदिक	ayurveda
आयुर्वेदिक	ayurvedic
जहांगीर	jahangir
वाइस	vice
किट	kit
भ्रमित	confused
बाप	father
राजेंद्र	rajendra
नालंदा	nalanda
थाली	plate
नग्न	naked
नग्न	nude
कार्यभार	assignments
कार्यभार	assignment
एनालॉग	analog
युगों	yuga
रुकावट	obstruction
प्रतिबिंब	reflection
प्रतिबिंब	mirror
ब्लेड	blade
ब्लेड	blades
सदिश	vector
सदिश	vectors
स्थगित	suspend
स्थगित	postponed
स्थगित	pending
गिरोह	gang
दायित्वों	obligations
पावन	holy
मर्यादा	dignity
श्रीनिवास	srinivasa
बैले	ballet
बसंत	spring
शर्ट	shirt
शर्ट	shirts
न्यायाधीशों	judges
तेरी	teri
सेंसर	sensors
सेंसर	sensor
स्टैंड	stand
स्टैंड	stands
उपनिवेशों	colony
बहुवचन	plural
एकाधिकार	monopoly
एकदिवसीय	odi
विनाशकारी	disastrous
विनाशकारी	devastating
मिसौरी	missouri
बहुराष्ट्रीय	multinational
मारी	marie
मारी	mari
कार्गो	cargo
शुभारंभ	launching
आमेर	amer
दारा	darius
दारा	dara
फ़्रांसीसी	french
जादूगर	wizard
जादूगर	magicians
जादूगर	magician
पड़ेगा	gotta
प्रतिमान	pattern
प्रतिमान	paradigm
सच्चा	true
वोल्ट	volt
अमोनिया	ammonia
विश्लेषणात्मक	analytical
प्रतिबद्धता	commitment
डू	doo
विधायिका	legislature
पकड़ा	grabbed
कॉफ़ी	coffee
उल्टा	reverse
उल्टा	inverted
एलेन	ellen
किराए	fares
किराए	rent
न्यायालयों	courts
एस्टन	aston
मांसपेशी	muscle
विषाक्त	toxic
तूफ़ान	storms
तूफ़ान	typhoon
तूफ़ान	storm
कड़ा	tight
कड़ा	hard
दुबे	dubey
बारूद	gunpowder
बदली	overcast
पड़ाव	milestone
एंजाइम	enzyme
मूसा	moses
मूसा	musa
पिंक	pink
बैरी	barry
बैरी	antagonist
कॉमर्स	commerce
राजन	rajan
जीप	jeep
चलाना	execution
दादी	grandmother
दादी	grandma
कमिश्नर	commissioner
पहाड़ियाँ	hills
मैथ्यू	matthew
गंधक	sulfur
गंधक	sulphur
षड्यंत्र	conspiracy
प्रशस्त	paved
अंडमान	andaman
दूषित	corrupted
पश्च	rear
रीडर	reader
मिर्ज़ा	mirza
क्रांतिकारियों	revolutionaries
हीरे	diamonds
प्रशिक्षक	trainer
प्रशिक्षक	instructor
उषा	usha
नास्तिक	atheism
नास्तिक	atheist
जासूसी	spying
प्रचारित	promoted
सांसारिक	worldly
प्रवर्धक	amplifier
फसलें	crops
डायोड	diode
अमूर्त	abstract
सौभाग्य	fortunately
सौभाग्य	fortunes
सौभाग्य	fortune
ब्रायंट	bryant
गैरी	garry
गैरी	gary
कुश	kush
साइमन	simon
कार्बोनेट	carbonate
हिब्रू	hebrew
बर्ड	bird
आत्मसमर्पण	surrender
एथलेटिक्स	athletics
तैराकी	swimming
हक	huck
हक	haque
हक	haq
संस्थागत	institutional
चिट्ठा	blog
चिट्ठा	blogosphere
ठंड	cold
चूहे	mice
चूहे	rats
लीड	leads
लीड	lead
दरार	rift
दरार	crack
परमार	parmar
दार्शनिकों	philosophers
नेहरु	nehru
संवेदना	condolences
सॉफ़्टवेयर	software
परवाह	care
बहुविकल्पी	disambiguation
महेन्द्र	mahendra
बमबारी	bombardment
बमबारी	bomb
कीड़े	worms
कठपुतली	puppet
अधीनस्थ	subordinate
ग्रीनहाउस	greenhouse
कैम्प	camp
कैम्प	camps
किस्में	strands
किस्में	varieties
किस्में	variety
विषाक्तता	poisoning
खोजी	exploration
सम्मेलनों	conferences
चिंतित	anxious
चिंतित	concerned
चिंतित	apprehensive
चिंतित	worried
स्टारबक्स	starbucks
छुटकारा	rescues
जॉर्डन	jordan
एथलीट	athlete
एथलीट	athletes
बीजापुर	bijapur
विधिक	legal
असुरक्षित	insecure
असुरक्षित	unsafe
वृन्दावन	vrindavan
रेखीय	linear
शहद	honey
अम्लीय	acidic
ऑपरेटर	operator
ऑपरेटर	operators
नल	null
प्रेसीडेंसी	presidency
कुक	cook
मनी	money
मनी	mani
नारा	slogan
चढ़	rust
सेक्टर	sector
सेक्टर	sectors
महासागरीय	oceania
क्रियाशील	active
क्रियाशील	adjective
बैठकों	meetings
बैठकों	sittings
भट्ठी	furnace
कारें	cars
क्योकि	because
सभ्य	decent
विकलांगता	disability
दरिया	darya
नोट्स	notes
विलास	vilas
कहें	say
एव	ave
सामी	sami
धर्मशास्त्र	theology
सीखा	learned
आर्क	arc
ट्रम्प	trump
मौद्रिक	monetary
यीशु	jesus
चश्मे	goggles
चश्मे	eyeglasses
चश्मे	glasses
एक्यूपंक्चर	acupuncture
प्लूटो	pluto
डेनियल	daniel
डेनियल	danilo
थोक	wholesale
पैरिस	paris
कामयाबी	success
प्रोटोटाइप	prototype
अभय	abhay
सिलसिले	silas
कुरु	kuru
फर्क	distinguish
फर्क	difference
इयान	ian
दुग्ध	dairy
भयभीत	scared
भयभीत	afraid
वसूली	recovery
मौन	silenced
मौन	muted
मौन	mute
मौन	tacit
मौन	silence
डिप्लोमा	diploma
घटा	decrease
पॉइंट	points
पॉइंट	point
त्वरण	acceleration
जमैका	jamaica
स्केल	scale
मक्खन	butter
साम्राज्यवाद	imperialism
सूत	yarn
सूत	cotton
इज़राइल	israel
वैधता	legality
वैधता	validity
अनन्य	exclusive
मिथक	myth
श्रृंगार	makeup
प्रावधानों	provisions
नतीजा	fallout
अर्ल	earl
वेदान्त	vedanta
निर्देशिका	directory
निर्देशिका	index
निर्देशिका	directories
आंग्ल	anglo
समता	parity
समता	equality
एवेन्यू	avenue
बेरोजगारी	unemployment
लत	addiction
जुर्माना	fine
जुर्माना	fines
क़ुरान	quran
पूर्णता	completion
पूर्णता	perfection
ओमान	oman
मार्केटिंग	marketing
पीड़ितों	victims
शक्तियां	powers
शक्तियां	forces
बादलों	clouds
चतुर्भुज	rectangle
चीता	cheetah
चीता	leopard
मूक	muted
मूक	silent
मूक	mute
लीन	lyn
प्रतिभाशाली	genius
प्रतिभाशाली	talented
पनीर	cheese
स्मार्ट	smart
नियोक्ता	employers
नियोक्ता	employer
मैडोना	madonna
बराक	barack
बराक	barak
चमकदार	luminous
चमकदार	shiny
चमकदार	dazzling
नाड़ी	pulse
कादर	kader
स्पीकर	speaker
गैसें	gases
सहभागिता	engagement
सहभागिता	interaction
यों	plank
गतिविधियाँ	activities
कल्कि	kalki
इसराइल	israel
वाट	watt
वाट	wat
कच्छ	kutch
कोच्चि	kochi
कृषक	farmers
इंडीज़	indies
ब्राउजर	browser
गुदा	anus
गुदा	anal
टीकाकरण	vaccination
मूर्तिकला	sculpture
शाश्वत	eternity
किरणें	rays
वैश्वीकरण	globalization
पूना	poona
बैग	bag
बैग	bags
नर्तक	dancers
नर्तक	dancer
ग्लूकोज	glucose
नीतियाँ	policies
प्रतिभागियों	participants
दत्ता	datta
दत्ता	dutta
पढ़ना	reading
आपरेशन	operation
ब्रॉडबैंड	broadband
मैनुअल	manual
दर्जन	dozen
सुखद	pleasant
सस्ती	affordable
सस्ती	cheap
बेखम	beckham
पोषित	nourish
स्याही	ink
रॉस	ross
हल्दी	turmeric
हवाओं	winds
परम्पराओं	traditions
पूछे	asking
पूछे	asked
सेब	apple
शत्रुओं	haters
रो	rho
रो	crying
पुस्तकालयों	libraries
पुस्तकालयों	library
बालाजी	balaji
चौकी	checkpoint
बहनों	sisters
अश्लील	porn
आपात	emergency
रेसलमेनिया	wrestlemania
नामीबिया	namibia
स्त्रियाँ	women
एनी	annie
मामा	mama
मामा	uncle
रूपांतर	variant
नगरीय	urban
जैकी	jackie
जैकी	jacky
क्रोधित	aggravated
क्रोधित	furious
क्रोधित	angry
तात्कालिक	urgent
तात्कालिक	immediate
तांत्रिक	tantric
हुक्म	nod
हलके	lightly
कमांड	commands
कमांड	command
कोबेन	cobain
विवेकानन्द	vivekananda
बुराई	wickedness
बुराई	evil
टाइपिंग	typing
उत्तेजक	provocative
उत्तेजक	stimulant
दशमलव	decimal
काई	kai
क्रूर	cruel
क्रूर	brutal
जोनाथन	jonathan
हस्त	handmade
फ्लाइट	flight
निकटता	proximity
निकटता	closeness
मीणा	meena
सैर	promenade
सैर	walks
सैर	walk
चिकनी	smooth
कैनेडी	kennedy
टाई	tie
विदेशियों	foreigners
अनुवादित	translated
करोड़ों	myriad
इंजीनियरों	engineers
गा	sing
पूछताछ	inquiries
सर्पिल	spiral
परिशिष्ट	appendix
गवाही	testify
गवाही	testimony
वॉकर	walker
लेआउट	layout
कैदियों	prisoners
समाविष्ट	embodied
फिजी	fiji
हुक	hook
रिटर्न	returns
रिटर्न	return
प्लैटिनम	platinum
फिल	phil
फिलीपींस	philippines
दीवारें	walls
सपाट	flat
नक़ल	copy
नक़ल	copies
फ्रेमवर्क	framework
देशभक्ति	patriotism
केन्या	kenya
बर्बाद	waste
कस्टम	customs
कस्टम	custom
अकादमिक	academic
शेन	shane
असीम	asim
असीम	infinitely
असीम	endless
एकजुट	unite
कोलेस्ट्रॉल	cholesterol
दांते	dante
सीबीआई	cbi
किंगफिशर	kingfisher
बगीचे	garden
मुराद	murad
युग्म	paired
ईमान	faith
भट्टी	furnace
पोटैशियम	potassium
केली	kelly
लोकगीत	folklore
सर्बिया	serbia
स्प्रिंगस्टीन	springsteen
धर्मनिरपेक्ष	secular
दृष्टिगोचर	visible
तोप	cannon
दूरभाष	telephone
शेंगेन	schengen
दुल्हन	bride
आंत्र	typhoid
जस्ता	zinc
उड़	fly
गुजरता	passes
माली	maldives
माली	gardener
माली	mali
परियोजनाएं	projects
सिएटल	seattle
प्रिया	priya
टायर	tires
टायर	tyres
टायर	tyre
टायर	tire
बाँस	bamboo
सुधारक	reformer
अठारह	eighteen
उत्खनन	excavation
उन्नयन	exaltation
उन्नयन	upgrade
उन्नयन	elevation
पेंशन	pension
गरिमा	dignity
धागे	yarn
बताना	tell
सिलेंडर	cylinders
मैक्सिकन	mexican
देशो	countries
उर्वर	exuberant
खोपड़ी	skull
कोलम्बिया	colombia
छत्रपति	chhatrapati
गोलियों	gunshots
विद्रोहियों	rebels
पट्टिका	pallet
कैसा	how
स्टीवन	steven
टेल	tale
टेल	tail
कबीले	tribe
सूर्योदय	sunrise
रणनीतिक	strategic
रणनीतिक	strategically
रणनीतिक	tactical
झटके	shocks
रीड	reed
प्रक्षेप	projection
पर्यवेक्षण	supervision
एमी	amy
एमी	emmy
प्लेटो	plato
मीन	pisces
कनाडाई	canadian
रिसाव	leaks
रिसाव	leak
बाजीराव	bajirao
अनावरण	unveiled
निषिद्ध	forbidden
निषिद्ध	prohibited
सेम	bean
सेम	beans
सेम	sem
रॉन	ron
शोधन	refining
बरसात	shower
बरसात	rainy
बरसात	rain
बनर्जी	banerjee
इंटेल	intel
फास्ट	fast
यथार्थवाद	realism
बाह	bah
तालिबान	taliban
दर्शनशास्त्र	philosophy
स्वादिष्ट	tasty
स्वादिष्ट	yummy
स्वादिष्ट	delicious
ज्वाला	flame
ईंटों	brick
कर्ज	debt
सलाद	lettuce
सलाद	salads
सलाद	salad
जलन	jealous
जलन	inflammatory
जलन	irritation
शौकिया	amateur
अनूठा	immersive
अनूठा	quaint
अनूठा	unique
कैरी	carrie
कैरी	carey
पेशावर	peshawar
पहेली	puzzles
पहेली	puzzle
पहेली	enigma
रक्तस्राव	haemorrhage
चादर	shawl
चादर	sheet
जामा	jama
फ्रैंकलिन	franklin
एथिलीन	ethylene
सेकेंड	seconds
सेकेंड	second
आयुध	ordnance
चढ़ाव	lows
मानविकी	humanities
महापौर	mayor
आयताकार	rectangle
आयताकार	rectangular
प्रस्तावना	introduction
प्रस्तावना	prologue
प्रस्तावना	preamble
मैनहटन	manhattan
मॉरीशस	mauritius
लावा	lava
बाधाओं	barriers
बाधाओं	obstacles
माइग्रेन	migraine
परिधान	dress
परिधान	costumes
परिधान	garment
परिधान	apparel
गोलीबारी	shootout
गोलीबारी	shooting
हब	hub
जग	world
जग	jag
पम्प	pump
मातृ	maternal
बायर	bayer
नाल	horseshoe
पवित्रता	sanctity
पवित्रता	purity
पवित्रता	holiness
लाभप्रद	profitable
रोचेस्टर	rochester
श्रेष्ठता	superiority
डोनाल्ड	donald
रमन	raman
सीढ़ी	ladder
पटियाला	patiala
प्रतिकृति	pattern
प्रतिकृति	replica
प्रतिकृति	replicas
घराने	genres
ताड़	palm
प्रवृति	penchant
धमाके	bang
सीटी	whistle
परोसा	served
कार्टर	carter
सिरदर्द	headache
कट्टर	dogmatic
कट्टर	rabid
उपनिवेशवाद	colonialism
उपनिवेशवाद	colony
सैंडविच	sandwich
सैंडविच	sandwiches
चिप्स	chips
गुड़	molasses
चन्द	chand
उद्योगपति	industrialist
विधियां	methods
बिखरे	scattered
दार्जिलिंग	darjeeling
वेस्टमिंस्टर	westminster
सुनाया	pronounced
शैतान	devil
शैतान	satan
शीट	sheet
शीट	sheets
उद्धार	deliver
उद्धार	rescue
पैकेजिंग	packaging
म्यूनिख	munich
शरीफ	sharif
बिस्तर	bed
दोहराया	repeated
बोल्ट	bolt
गुम्बद	dome
गुम्बद	domes
सेवानिवृत्ति	retirement
जश्न	celebrations
जश्न	celebration
जश्न	jamboree
नोबल	noble
इंडीज	indies
टायसन	tyson
लहरों	waves
टंडन	tandon
अस्थिरता	instability
स्पाइवेयर	spyware
संग्रहीत	archived
सीसा	lead
तना	stems
तना	stem
सदाबहार	evergreen
कंकाल	skeleton
नाइट्राइट	nitrite
समीर	samir
ऑर	orr
तांबे	copper
समतुल्य	equivalent
जिन्ना	jinnah
फेरारी	ferrari
माईस्पेस	myspace
बलराम	balarama
एमआईटी	mit
भ्रामक	misleading
भ्रामक	confusing
संभावनाओं	possibilities
नगण्य	trivial
केक	cake
साख	goodwill
जिज्ञासा	curiosity
अन्याय	injustice
अनुसूची	schedule
सेठी	sethi
एनिमेशन	animation
एनिमेशन	animations
देखो	look
इंतजार	wait
हिम्मत	courage
हिम्मत	dare
प्रमाणपत्र	certificates
प्रमाणपत्र	certificate
सांकेतिक	symbolic
सत्रहवीं	seventeenth
असमानता	inequality
झांसी	jhansi
आमदनी	income
टिन	tin
चारा	fodder
चारा	bait
ओलिवर	oliver
डिब्बे	cans
घनी	thick
एस्पिरिन	aspirin
जनजातीय	tribal
सोर्स	source
पीर	peer
विश्लेषक	analyst
नीम	neem
चेल्सी	chelsea
बाजरा	millet
पाम	pam
इच्छाओं	desires
रिश्तों	relationships
संन्यास	retirement
पुनर्वास	rehab
पुनर्वास	rehabilitation
प्रोसेसर	processor
स्ट्रीम	streams
स्ट्रीम	stream
वक्तव्य	statement
चंद्रगुप्त	chandragupta
मुमताज़	mumtaz
जालंधर	jalandhar
कृत्यों	functions
बल्तिस्तान	baltistan
बारहवीं	xii
बारहवीं	twelfth
स्टुअर्ट	stuart
अचार	pickles
अचार	pickle
प्रदाताओं	providers
फेंकने	throwing
शर्तें	conditions
शर्तें	terms
मॉड्यूल	modules
मॉड्यूल	module
हिरण	deer
हिरण	caribou
पिकनिक	picnic
जमींदार	landlords
ईसाइयों	christians
सईद	saeed
प्रेषित	sent
ज़िन्दगी	zindagi
ज़िन्दगी	life
बॉय	boy
अपघटन	decomposition
हजरत	hazrat
इब्राहिम	ibrahim
स्टेरॉयड	steroid
संवेदी	sensory
कार्लो	carlo
चावला	chawla
स्वार्थ	selfishness
तपेदिक	tuberculosis
पुर	pur
फिल्मफेयर	filmfare
वीजा	visas
वीजा	visa
बैनर	banners
बैनर	banner
याहू	yahoo
बुजुर्ग	elderly
वेदी	altar
वेदी	vedi
उत्साहित	excited
प्रलय	catastrophe
घटती	declining
रिले	riley
रिले	relay
चुनौतियों	challenges
खासी	khasi
बर्मन	burman
अनवर	anwar
फर्ग्यूसन	ferguson
हालात	situation
हालात	odds
हालात	circumstances
भैंस	buffalo
महाद्वीपों	continents
इस्लामाबाद	islamabad
लेनिन	lenin
डैविल	davila
समाचारपत्र	newspaper
साम्य	resemblance
संतोषजनक	satisfactory
संतोषजनक	satisfying
रनवे	runway
सफ़र	journey
विवेचना	deliberation
मनोरोग	psychiatric
खींचा	drew
सल्फर	sulfur
सल्फर	sulphur
स्क्वैश	squash
लॉक	lock
एबीसी	abc
वाल्टर	walter
डाकू	outlaw
डाकू	robber
पीएचडी	phd
फ़ुटबॉल	football
गॉर्डन	gordon
बांस	bamboo
वाटसन	watson
सहिष्णुता	tolerance
लूथर	luther
परिपक्वता	maturity
पूज्य	venerable
निरंतरता	continuity
निरंतरता	sustainability
पनामा	panama
लॉरेंस	lawrence
हिरासत	custody
सांप्रदायिक	communal
लड़	fighting
गुणात्मक	qualitative
बौना	dwarf
रेखाचित्र	graphs
रेखाचित्र	drawing
स्वदेश	nation
