아나톨리아	анадолија
저널리스트	новинарка
저널리스트	новинар
저널리스트	новинари
차드	чад
장학금	стипендии
장학금	стипендија
무하마드	мухамед
체르노빌	чернобил
강력	моќен
강력	моќна
강력	моќно
강력	моќни
해석학	аналитички
해석학	анализи
해석학	анализа
카사블랑카	казабланка
어디로	каде
커먼즈	комонс
레지던트	жител
레지던트	жителите
레지던트	жители
레지던트	живеалиште
레지던트	престој
파라오	фараоните
파라오	фараон
파라오	фараонот
소음	врева
소음	бучава
소음	бука
소음	галама
소음	шум
소음	звуци
공백	простори
갇힌	заробено
갇힌	заробена
갇힌	заробени
웹페이지	вебстраница
제조사	продавач
제조사	продавачка
제조사	производител
제조사	произведувач
레슬리	lesley
레슬리	лесли
레슬리	лезли
에미레이트	емират
에미레이트	емирати
응원	навива
응원	навивање
학대	злоставување
학대	злоупотреби
학대	злоупотреба
올림포스	олимп
세계화	глобализација
먹이	плен
에리크	ерик
에리크	ерик
에리크	eric
퍼레이드	парада
퍼레이드	паради
리버티	либерти
리버티	слобода
로크	лок
투르크메니스탄	туркменистан
기저	основа
포위전	опсада
코카콜라	кока
코카콜라	кокаин
흐른	течни
오스트레일리아인	австралијци
화합	хармонија
포탈	портали
포탈	порталот
포탈	портал
히브리	хебрејски
히브리	еврејски
맥도날드	мекдоналдс
맥도날드	мекдоналд
맥도날드	mcdonalds
윤리학	етика
브레스트	брест
통치자	владетел
낚시	риболов
낚시	рибарење
밀리미터	милиметри
밀리미터	милиметарски
밀리미터	сантиметар
밀리미터	милиметри
노퍽	норфолк
기울여	наклон
커스텀	сопствено
커스텀	сопствени
비참한	мизерен
비참한	мизерно
비참한	мизерни
디랙	дирак
호환성	компатибилноста
수마트라	суматрански
수마트라	суматра
전망	изгледите
전망	перспектива
전망	изгледите
전망	изгледи
메콩	меконг
앨릭스	alex
앨릭스	алекс
보나파르트	бонапарта
선덜랜드	сандерленд
동정	симпатии
동정	симпатија
칼리아리	cagliari
전자공학	електроника
수익	приход
수익	приходи
수익	принос
수익	заработка
수익	заработувачка
수익	примања
수익	профити
수익	профит
검토하기	прегледај
검토하기	преглед
랠프	ралф
아이오딘	јод
돌연변이	мутант
돌연변이	мутација
데이지	дејзи
토리	тори
토리	тори
무신론	атеизам
무신론	атеист
무신론	атеисти
무신론	атеистите
실험실	лабораторија
실험실	лаборатории
실험실	лабораториите
실험실	лабараторија
실험실	лабораторија
홈즈	холмс
페레스	перес
플랑드르	фламански
지우	јасна
지우	јасно
지우	чисто
지우	јасен
지우	исчисти
반대편	спротивност
반대편	спротивна
반대편	спротивно
반대편	спротивни
반대편	спротивен
수렴	приближување
수렴	конвергенција
프로그래머	програмери
프로그래머	програмер
관광객	туристичка
관광객	турист
관광객	туристички
관광객	туристи
제럴드	џералд
습작	влажни
습작	влагата
도끼	секира
도끼	секира
월리스	волис
월리스	валас
월리스	волас
재판소	суд
둘레	периметар
둘레	периметарот
상업용	комерцијално
상업용	комерцијален
상업용	реклама
상업용	комерцијални
상업용	комерцијална
수영장	базени
수영장	билјард
수영장	базен
이민자	имигрант
이민자	емигранти
환영	добредојдовте
환영	добредојде
환영	добродојде
데이먼	дејмон
자발적	доброволни
자발적	волонтерски
자발적	доброволна
자발적	доброволно
황소	бик
황소	бул
안달루시아	андалузиски
음악원	конзерваториумот
화랑	галерија
스택	стек
스택	стак
스택	купот
큐슈	кјушу
에픽	епски
블로거	блогерка
블로거	блогерот
블로거	блогер
블로거	блогери
블로거	блогерите
친구들이	пријатели
파인	пајн
파인	бор
파인	борови
재무	финансиски
재무	финансиска
재무	финансиско
재무	финансирање
재무	финансии
치과	забар
치과	заболекар
치과	стоматолог
치과	забни
치과	стоматолошка
치과	стоматолошки
치과	забен
치과	стоматологија
알렌	алан
알렌	ален
인코딩	кодирање
몰리	моли
몰리	морли
화살	стрелки
화살	стрели
화살	стрелка
화살	стрела
심리학자	психологот
심리학자	психолог
섹션	рез
섹션	оддел
섹션	отсек
섹션	секција
섹션	секции
햄릿	хамлет
구문	фраза
구문	синтакса
그린란드	гренланд
루브르	лувр
초원	ливада
초원	ливадата
무시	игнорираат
무시	отфрли
무시	отпушти
무시	игнорира
무시	игнорирани
무시	игнорираат
땅콩	кикирики
땅콩	орев
땅콩	лешници
땅콩	ореви
땅콩	кикиритки
땅콩	кикирики
닐스	нилс
대표자	претставничка
대표자	претставник
대표자	преставник
가끔은	некогаш
가끔은	понекогаш
미러	огледала
미러	огледалце
미러	огледало
결제	плати
결제	наплата
결제	исплата
결제	плаќање
결제	исплати
결제	уплати
결제	плаќања
트럼프	трамп
갈릴레이	галилеј
브룩	брук
브룩	брук
카이사르	цезар
아름답다	преубави
아름답다	убави
아름답다	убава
아름답다	преубава
아름답다	прекрасни
단자	поврзувач
역설	парадокс
역설	парадокси
불행한	несреќна
불행한	несреќен
불행한	несреќни
불행한	несреќно
불행한	жалосно
불행한	несреќна
불행한	жално
불행한	несреќни
불행한	несреќно
안도라	андора
마리야	мари
띄어쓰기	простор
띄어쓰기	растојание
폐기물	отпад
허가서	лиценца
허가서	дозвола
호위함	фрегата
어린시절	детство
어린시절	детството
달빛	месечина
어메이징	неверојатна
어메이징	неверојатни
어메이징	неверојатно
브렛	брет
알토	алто
올리비아	оливија
브라질리아	бразилија
칼데라	калдерата
급한	итно
솔리드	цврсто
솔리드	цврст
솔리드	цврста
솔리드	солидно
솔리드	цврсти
외할아버지	дедото
외할아버지	прадедо
외할아버지	дедо
캐머런	камерон
눈물이	солзи
단순하게	едноставно
의사소통	комуникација
의사소통	комуникации
의사소통	комуникативен
충전	обвинение
충전	полнење
넓이	широко
넓이	широка
넓이	широк
넓이	широки
베스	бет
임상	клинички
최단	најкраток
최단	најкус
최단	најкраткото
전세	огранок
전세	повелба
전세	чартер
몽키	мајмун
터빈	турбина
터빈	турбини
사슴	срна
사슴	елен
사슴	елени
시에라	сиера
로건	логан
기독교인	христијани
소원	посакувам
소원	желба
소원	посакуваат
소원	желби
병행	истовремени
존경하는	почитувани
비례	пропорционална
비례	пропорционален
비례	пропорција
런타임	runtime
베스트셀러	бестселер
베스트셀러	најпродавани
베스트셀러	бестселери
모니터링	следени
모니터링	мониторинг
모니터링	монитор
오크	орки
오크	орк
엣지	раб
엣지	edge
엣지	острина
하모니카	хармоника
파이썬	пајтон
쓸데없는	бескорисни
쓸데없는	бескорисна
쓸데없는	бескорисен
쓸데없는	бескорисно
난이도	потешкотии
난이도	сложеност
난이도	тешкотија
브룩스	брук
브룩스	брукс
협동	тимска
나뭇잎	листови
나뭇잎	лисјата
나뭇잎	остава
나뭇잎	лисја
나뭇잎	лист
현관	тераса
미니애폴리스	минеаполис
사담	садам
팟캐스트	подкаст
아이디어	идеи
아이디어	замисла
아이디어	поим
아이디어	идеја
아이디어	идеа
관습	обичаи
관습	царини
관습	царински
관습	царина
관습	вообичаени
관습	вообичаен
캐롤라이나	каролина
인터랙티브	интерактивен
인터랙티브	интерактивна
인터랙티브	интерактивни
부상당한	ранет
부상당한	ранети
부상당한	ранета
부상당한	повредени
페널티	пенал
합금	легура
합금	легури
케이시	кејси
퍼거슨	фергусон
수사관	инспекторите
수사관	инспектори
우회	бајпас
드레이크	дрејк
애니멀	животинско
애니멀	животно
애니멀	животински
죄수	затвореници
기증	донирање
기증	донација
훔볼트	хумболт
맬컴	малколм
푸틴	путин
패킷	пакети
패킷	пакетче
다카기	такаги
공학자	инжинер
공학자	инженер
프리덤	слободата
프리덤	слобода
서킷	коло
동지	краткоденица
동지	другар
동지	другарот
동지	другари
메이슨	мејсон
결정하기	одлучува
결정하기	одлучи
침묵	неми
침묵	тивка
침묵	тивко
침묵	тивок
침묵	молк
침묵	тишина
침묵	молчење
침묵	тишината
중성	неутрална
중성	неутрални
중성	неутрален
헌트	ловат
헌트	лови
헌트	лов
헌트	хант
괴산	киднапирани
괴산	киднапирана
괴산	грабната
괴산	киднапиран
부등식	нееднаквост
부등식	нееднаквоста
벵골	бенгалски
벵골	бенгал
여자들	жени
여자들	женски
여자들	жените
융합	фузија
비틀즈	битлси
니코	нико
니코	нико
장화	чизми
스나이퍼	снајпер
스나이퍼	снајперист
버팔로	бафало
커리어	кариера
커리어	кариери
커리어	кариера
공구	алатка
공구	алат
일자리	задачи
프로스트	фрост
셰인	шејн
크릭	кривина
둥지	гнездо
둥지	гнезда
아바타	аватар
일시적	привремено
일시적	привремено
일시적	привремена
일시적	привремен
일시적	привремени
맥도널드	мекдоналдс
맥도널드	мекдоналд
마늘	лукот
마늘	лук
절벽	карпи
절벽	клиф
절벽	карпа
절벽	провалија
유머	хумор
유머	хуморот
유머	хумор
박쥐	бат
박쥐	лилјак
박쥐	лилјаци
박쥐	палка
박쥐	лилјаците
박쥐	лилјаци
올림푸스	олимп
빙하	глечерите
푸앵카레	поенкаре
듀엣	дует
발광	светлечки
발광	светлосна
발광	луминисценција
콤플렉스	комплекс
콤플렉스	комплексен
빈곤	сиромаштија
럭셔리	луксузен
럭셔리	луксузни
럭셔리	луксуз
보츠와나	боцвана
물결	бранување
물결	бран
물결	wave
물결	бранови
물결	веат
스트레이트	стрејт
스트레이트	исправен
스트레이트	право
이탈리아인	италијанците
이탈리아인	италијанци
이탈리아인	италијанска
이탈리아인	италијански
이탈리아인	италијанецот
이탈리아인	италијанец
생태계	екосистем
생태계	екосистемот
생태계	екосистемите
듀티	должност
듀티	должноста
홀리	холи
로체스터	рочестер
무작위	случаен
무작위	случајно
무작위	случајни
무작위	рандом
무작위	случајна
발렌타인	валентајн
발렌타인	валентин
발렌타인	вљубените
발렌타인	валентина
처칠	черчил
랜스	ленс
보손	бозони
엑셀	excel
서스펜션	суспензија
서스펜션	прекин
투자가	инвеститор
스킨	кожа
지배자	доминантна
지배자	доминантен
지배자	доминантни
퇴장	отфрлање
퇴장	исфрлање
헬레나	елена
헬레나	хелена
이사벨라	изабела
각도	агол
도망자	бегалец
도망자	бегалецот
파이트	борби
파이트	тепачки
토네이도	торнадо
습지	марш
습지	мочуришта
열쇠	клучевите
열쇠	тастери
열쇠	клучеви
열쇠	копчиња
봄바디어	bombardier
아들들	синови
아들들	синовите
구두	чевел
시리얼	сериски
시리얼	житни
시리얼	житарки
시리얼	житарици
예언	пророштва
예언	пророци
예언	пророштво
예언	пророштвото
점화	палење
프레스	печат
프레스	притиснете
프레스	прес
마스터스	мајстори
마스터스	господари
마스터스	мастерс
마스터스	господарите
마스터스	господар
마스터스	мајстор
마스터스	мајсторот
마스터스	master
토양	тло
토양	почва
레이첼	rachel
레이첼	рејчел
레이첼	рејчел
아론	ерон
아론	арон
아론	арон
신념	вера
신념	верба
신념	верата
신념	фејт
신념	верувања
신념	убедувања
신념	верувањето
신념	верување
얼티밋	крајна
변조	модулација
플라즈마	плазма
복음	евангелие
복음	водство
우표	печат
우표	поштенска
조앤	џоан
일본항공	jal
이온화	јонизација
오리온자리	орион
소수점	децимални
소수점	decimals
썬더	грмотевици
썬더	громови
썬더	молња
썬더	гром
마샬	маршал
라이징	зголемените
라이징	rising
셰이크	шеик
셰이크	шеикот
셰이크	шеикот
창문	прозорец
댄싱	играње
댄싱	танцување
댄싱	танц
저수지	резервоарите
저수지	резервоари
저수지	резервоар
슈가	шеќер
관리하기	управување
관리하기	менаџирање
불쾌한	непријатна
불쾌한	непријатни
불쾌한	непријатен
불쾌한	непријатно
버뮤다	бермуди
정보상자	infobox
정보상자	infoboxes
피사	пиза
체스터	честер
체스터	кире
리오넬	лајонел
리오넬	лионел
판도라	pandora
판도라	пандора
인터럽트	прекин
인터럽트	прекинува
인터럽트	прекин
인터럽트	прекинува
매스	масовен
매스	масовно
매스	маса
매스	масовни
매스	миса
인디애나폴리스	индијанаполис
주님	лорд
마돈나	мадона
반영	одраз
반영	одраз
반영	рефлексија
미화	долари
인플루엔자	грип
인플루엔자	грипот
인플루엔자	грип
자바스크립트	javascript
마르티네스	мартинез
전시관	изложба
콜롬보	коломбо
암살자	атентатори
암살자	убијци
암살자	убиец
암살자	атентатор
코스모스	космос
세타	тета
시아파	шиа
궁궐	палас
궁궐	дворец
궁궐	палата
미묘한	суптилни
미묘한	суптилно
미묘한	суптилен
퓨전	фузија
캄차카	камчатка
랭커스터	ланкастер
일하기	работи
일하기	работен
일하기	работна
일하기	работење
프레이저	фрејзер
마커스	маркус
슈테판	stefan
슈테판	стефан
슈테판	штефан
슈테판	стефан
아나키즘	анархизам
사보이	савој
애비뉴	авенија
애비뉴	авенијата
다운타운	центарот
알칼리	кисела
기쁨	радост
기쁨	задоволства
기쁨	задоволство
뉴펀들랜드	њуфаундленд
헌장	огранок
헌장	повелба
헌장	чартер
클러스터	јато
클러스터	јата
핼리팩스	халифакс
첸나이	ченај
프록시	прокси
바스	бањање
바스	бања
바스	бањата
바스	капење
인피니트	бесконечен
인피니트	бесконечно
인피니트	бесконечна
인피니트	бесконечни
인피니트	бескрајно
아무나	секого
아무나	некој
아무나	секој
스텔라	стела
릴리즈	ослободи
릴리즈	ослободување
제라드	герард
제라드	жерард
아바스	абас
궁수자리	стрелец
클레오파트라	клеопатра
시편	псалм
시편	псалм
잉카	инка
카라카스	каракас
도도	дипломи
도도	степени
서식	форматирање
산토스	сантос
산책	прошетка
산책	пешачење
플라잉	летање
추첨	привлече
추첨	нацртај
추첨	жетвата
제롬	џером
패트리어트	патриот
미학	естетика
미학	естетски
미학	естетска
물품	стока
물품	стоки
물품	стока
물품	стоки
그리기	привлече
그리기	нацртај
그리기	цртеж
그리기	цртање
그리기	ждрепката
헤라클레스	херкулес
헤라클레스	херкул
쥐라기	јура
용품	дотур
용품	залихи
용품	намирници
콘스탄티노스	константин
서포터	подржувач
서포터	поддржувач
마술	магии
마술	магија
부담	терет
부담	товар
각색	адаптации
폭력적인	насилно
폭력적인	насилен
폭력적인	насилна
폭력적인	насилни
그리니치	гринич
매운	зачинето
매운	зачинета
바리톤	баритон
허락	дозвола
네덜란드인	холандија
네덜란드인	холанѓанецот
네덜란드인	холанѓанец
네덜란드인	дач
네덜란드인	холандска
네덜란드인	холандскиот
네덜란드인	холандски
본드	врска
본드	бонд
섹터	сектор
섹터	сектори
우주인	астронаут
장벽	бариери
장벽	бариерите
장벽	бариера
강조	осветли
강조	истакне
강조	нагласок
강조	акцент
강조	означување
강조	јачина
강조	интензитет
리브	лив
리브	рив
탐구	истраги
트라이스타	tristar
포춘	богатство
수염	брадест
수염	бради
수염	брада
미쳐	луд
미쳐	лудите
미쳐	луда
미쳐	луди
미쳐	лудо
트리오	трио
본질	суштина
본질	екстракт
본질	екстрактот
돼지고기	свински
돼지고기	свинско
까다로운	незгоден
욕망	желба
욕망	желби
매뉴얼	прирачник
매뉴얼	упатство
매뉴얼	рачно
매뉴얼	рачна
챌린저	предизвикувачот
챌린저	предизвикувач
킹덤	кралство
킹덤	царство
카노	кано
안전성	сигурност
안전성	безбедност
우산	чадор
우산	чадори
예매	резервации
삼각	триаголен
보두앵	болдвин
남방	јужен
남방	јужна
남방	јужни
서커스	циркус
컴파일	состават
컴파일	состави
컴파일	состави
컴파일	компилација
컴파일	составување
컴파일	составувањето
이브라힘	ибрахим
볼링	куглање
초과	надминува
초과	вишокот
초과	вишок
초과	надмина
향수	парфеми
향수	носталгија
향수	парфем
향수	арома
향수	парфем
브라질인	бразилците
국민투표	референдум
페가수스자리	пегаз
가와구치	кавагучи
서스펜스	неизвесност
서스펜스	исчекување
셀틱	селтик
실무	практичен
실무	практични
실무	практична
수니파	сунитски
케이타	кеита
술집	пабови
술집	паб
이더넷	ethernet
포브스	форбс
돌고래	делфин
돌고래	делфини
돌고래	делфините
고소	обвинување
고소	сју
고소	тужи
퍼시	перси
실비아	силвија
실비아	силвија
에볼루션	еволуција
올림피아	олимпија
동행	придружува
동행	придружуваат
지니	џини
권장	препорачан
권장	препорачаа
권장	препорачано
권장	препорачани
권장	препорача
부관	заменик
조슈아	џошуа
우즈	шума
우즈	вудс
우즈	шуми
가이아	гаја
신탁	верувајте
신탁	веруваат
신탁	верувај
신탁	доверба
엉덩이	задник
엉덩이	газ
엉덩이	хип
엉덩이	колк
엉덩이	бутови
엉덩이	задницата
엉덩이	колкови
엉덩이	колковите
엉덩이	задник
엉덩이	задникот
엉덩이	газ
빌뉴스	вилниус
가르침	наставата
가르침	настава
웍스	работи
웍스	дела
셀프	келија
셀프	ќелија
가봉	габон
셔먼	шерман
인테리어	ентериер
인테리어	внатрешност
인테리어	ентериери
상어	ајкули
상어	ајкула
블룸	блум
알타이	алтај
근로자	работниците
근로자	работници
근로자	работник
근로자	работникот
근로자	работничка
응답	одговори
응답	одговорил
응답	одговори
응답	одговор
응답	одговори
응답	одговор
대략적인	приближна
저널리즘	новинарство
조립	собери
조립	собран
텅스텐	волфрам
카불	кабул
앵글로	англо
로사리오	росарио
장점	заслуги
장점	предности
장점	предност
오렌지색	портокалова
오렌지색	портокалов
오렌지색	портокал
오렌지색	портокалово
내시	неш
이륙	полетување
이륙	полетувањето
검사관	инспектор
등대	светилникот
등대	светилник
제이콥	jacob
제이콥	јакоб
제이콥	џејкоб
차이콥스키	чајковски
우디	вуди
던지기	фрлање
던지기	фрлаат
던지기	фрли
던지기	фрлање
디럭스	deluxe
브롱크스	бронкс
상상	имагинацијата
상상	фантазија
상상	имагинација
상상	замислена
상상	измислен
상상	измислени
상상	замислен
상상	замисли
상상	замислете
상상	замислите
밀스	милс
카르타고	картагина
통계학	статистика
통계학	статистичка
통계학	статистички
커넥션	конекции
커넥션	поврзувања
커넥션	поврзување
서프라이즈	изненадување
픽션	фантастика
픽션	фикција
학업	академик
학업	академски
학업	академска
호화	луксузен
호화	луксузно
호화	луксузни
포츠담	потсдам
혐오	гадење
혐오	згрозен
혐오	омраза
혐오	омраза
혐오	мразам
블라인드	слепо
블라인드	слеп
블라인드	слепа
블라인드	слепи
등산	качување
등산	планинарски
혼슈	хоншу
착용	носи
착용	носам
착용	носат
레베카	ребека
천장	таван
천장	таванот
천장	тавани
페라리	ферари
다면체	полиедар
슈트라우스	штраус
아우크스부르크	augsburg
모리셔스	маврициус
신용카드	кредит
신용카드	заслуга
달팽이	полжави
달팽이	клет
달팽이	полжав
러닝	тече
대리석	мермер
대리석	џамлии
노르만	норман
계란	јајца
계란	јајце
렉스	рекс
자비	милост
핸드	рака
핸드	дланка
외모	изглед
외모	појавување
보행자	пешачки
보행자	пешак
보행자	пешаци
실외	планинарска
실외	надворешно
이르쿠츠크	иркутск
미네르바	минерва
당구	билјард
당구	билијард
노블	благородник
노블	благородни
노블	благородно
노블	благородна
노블	благороден
형제들	браќа
행진곡	марш
행진곡	март
외로운	осамена
외로운	осамени
외로운	осамен
외로운	осамено
라벨	етикета
라벨	натпис
트레이시	трејси
팔이	арм
프레스턴	престон
벽돌	тули
벽돌	цигли
벽돌	тули
벽돌	цигла
벽돌	брик
벽돌	тула
라이	лаи
파라나	парана
폴란드인	полјаци
백금	платинум
하인	слуга
미완성	незавршена
미완성	недовршена
미완성	недовршени
캘린더	календар
캘린더	календари
사이공	сајгон
오타쿠	отаку
재규어	јагуарот
재규어	јагуар
걷기	одење
걷기	шетање
걷기	прошетки
걷기	прошетка
걷기	пешачење
카를스루에	карлсруе
사바나	савана
바지	пантолони
바지	панталони
바지	гаќи
바지	пантолони
바지	панталони
라플라스	лаплас
설득	убеди
설득	убедувањето
설득	уверувања
설득	убедување
설득	убеди
설득	убедува
설득	убеди
광업	рударска
광업	рударство
광업	рударството
광업	рударски
페가수스	пегаз
부트	подигање
부트	чизма
애슬론	athlon
써니	сани
써니	сончево
써니	сончев
써니	сончеви
타타르	татарски
니카라과의	никарагва
아크라	акра
어려움	потешкотии
어려움	сложеност
어려움	тешкотија
어려움	потешкотии
어려움	тешкотии
어려움	тешко
어려움	тежок
어려움	тешка
어려움	тешки
껍질	школка
오르기	искачување
네트워킹	вмрежување
완화	олеснителни
완화	олеснување
완화	олеснувањето
그리드	мрежа
그리드	решетка
부록	додатокот
클랜시	кленси
파이어니어	пионерски
파이어니어	пионер
탱고	танго
윌리스	вилис
회귀	регресија
텐서	tensor
언리얼	нереални
언리얼	нереално
떠나기	напушти
떠나기	остави
떠나기	напушта
떠나기	напуштање
떠나기	оставајќи
푸리에	фурје
농도	концентрации
농도	концентрација
농도	длабочина
코코	нос
코스타	коста
슬롯	слот
슬롯	места
폴라	паула
폴라	пола
다이오드	диода
엘레나	елена
샘플링	примерок
지평선	хоризонт
지평선	хоризонтот
팬더	панда
팬더	пантер
튜브	цевче
튜브	цевки
홍대	хонг
카트	количка
카트	количката
마르코프	марков
직위	позиција
직위	положба
직위	положби
직위	позиции
비아	виа
비아	преку
비아	via
진흙	кал
쿼터	четврт
쿼터	кварт
추론	расудување
헐리우드	холивудски
헐리우드	холивуд
케리	кери
모모	момо
적응	адаптирањето
적응	прилагодлива
적응	адаптација
적응	приспособување
레니	лени
체이스	чејс
코뮌	заедници
인디아	индија
입원	хоспитализиран
흡연	пушење
흡연	пушењето
흡연	пуши
흡연	пушач
복권	lotto
복권	лотарија
양키	јенки
로마노프	романов
가이아나	гвајана
섀도우	сенка
섀도우	сенката
피아트	фиат
블레이크	блејк
이방인	туѓинец
이방인	странец
아드리안	адријан
아드리안	адриан
프로포즈	предлагајќи
프로포즈	предлага
프로포즈	предлагање
포르쉐	порше
벤처	потфат
부스	кабина
대머리	ќелавиот
대머리	ќелави
대머리	ќелав
호스팅	хостинг
스탬프	печат
베트남어	виетнамски
드러낸다	открива
아프로	афро
색인	индекс
파우스트	фауст
테두리	граница
하퍼	харпер
카우보이	каубојски
카우보이	каубоец
카우보이	каубој
부탄	бутански
부탄	бутан
포화	заситеност
로이스	ројс
로이스	лоис
목차	содржина
목차	содржини
서류	хартии
서류	документи
서류	трудови
서류	весници
국수	тестенини
국수	кнедли
결핵	туберкулоза
불평등	нееднаквост
불평등	нееднаквоста
불평등	нееднаква
비정규	неконвенционални
남용	злоупотреба
남용	злоставување
남용	злоупотреби
남용	злоупотреба
화해	помирување
화해	помирување
편집기	уредник
편집기	уредувач
편집기	уредници
편집기	уредниците
줄무늬	пругасти
줄무늬	пруги
벅스	бак
벅스	бубачки
벅스	долари
니컬러스	николас
모듈러	модуларен
베일	бејл
베일	вел
베일	вале
베일	вејл
무의미한	бесцелно
무의미한	бесмислено
무의미한	бесмислени
사드	саад
퇴직	пензионирање
퇴직	пензија
퇴직	пензионираниот
퇴직	пензиониран
퇴직	пензионирани
포인터	покажувачот
녹아	топење
무지	незнаење
박격포	малтер
포괄적	сеопфатни
포괄적	сеопфатна
포괄적	сеопфатен
포괄적	сеопфатно
재활	рехабилитација
재활	рехабилитација
통증	болката
통증	болки
통증	болка
통증	болките
마당	двор
마당	јард
플랫	рамен
플랫	рамно
플랫	дур
플랫	рамни
플랫	рамна
크로스오버	прејди
