категорија	類別
разлика	差額
разлика	區別
разлика	差別
разлика	差異
употреба	用法
употреба	用量
употреба	使用
употреба	利用
употреба	使用
форма	形狀
форма	形式
форма	表格
договор	交易
договор	協定
договор	協議
договор	合同
договор	合約
договор	條約
изграден	建
изграден	內建
некој	任何人
некој	某人
некој	有人
лига	聯盟
лига	同盟
лига	聯賽
влијание	撞擊
влијание	影響力
влијание	影響
влијание	衝擊
влијание	影響力
влијание	影響
членови	成員
површина	表面
површина	地面
површина	地表
површина	桌面
неа	她的
после	後
после	之後
острови	群島
острови	島嶼
вештачки	人工
вештачки	人造
самиот	自己
ред	訂單
ред	命令
ред	秩序
ред	訂購
ред	順序
ред	划
ред	排
лица	臉
лица	面孔
син	兒子
албум	相簿
албум	專輯
никола	nikola
македонска	馬其頓
нова	新
нова	新的
австралија	澳大利亞
тур	游
тур	遊覽
тур	導覽
тур	旅遊
повеќето	最多
повеќето	大部分
повеќето	多數
повеќето	大多
повеќето	大多數
александар	亞歷山大
александар	alexander
вилијам	威廉
татко	父親
татко	神父
татко	父
движење	動議
движење	運動
движење	搬家
движење	感動
движење	運動
дело	地契
дело	契約
дело	工作
власт	權威
власт	電力
власт	電源
власт	動力
власт	權力
прва	首先
прва	第一
мора	必須
англија	英國
англија	英格蘭
развој	發展
деца	小孩
деца	兒童
лево	左側
лево	左
лево	左翼
лево	左邊
главно	大多
србија	塞爾維亞
сега	現在
кариера	職業
кариера	職業
општини	市政府
општини	市鎮
храм	神廟
храм	寺
храм	寺廟
храм	廟
храм	聖殿
ниво	層次
ниво	級別
ниво	等級
ниво	三級
ниво	關卡
облик	形狀
тим	tim
тим	添
тим	團隊
тим	球隊
тим	隊伍
сателити	衛星
музика	音樂
германски	德文
германски	德語
видете	見
археолошки	考古
археолошки	考古學
археолошки	考古
близина	周邊
близина	鄰近
близина	附近
универзитет	大學
море	大海
море	海上
море	海
пати	時代
пати	times
пати	時報
пет	五
пет	五個
париз	巴黎
целосно	充分
целосно	完全
целосно	完全
поле	欄位
минути	分鐘
листа	名單
листа	清單
листа	列表
мала	小型
мала	小
мала	小
вредност	價值
вредност	數值
вредност	值
поделени	分裂
британија	不列顛
поврзани	相關
свет	世界
потекло	出處
потекло	原產地
потекло	起源
потекло	世系
потекло	血統
потекло	起源
владетел	尺子
владетел	統治者
шпанија	西班牙
спорт	體育
спорт	運動
спорт	體育
спорт	運動
програма	方案
програма	程式
програма	方案
мали	小型
мали	小
мали	小
куќа	屋
куќа	房屋
куќа	房子
институции	機構
буда	菩薩
буда	佛
буда	佛祖
трка	比賽
трка	賽跑
трка	種族
трка	競賽
крал	國王
крал	king
крал	王
слика	照片
слика	圖片
слика	影象
слика	影像
слика	圖片
слика	畫畫
слика	畫
слика	油畫
слика	繪畫
ссср	蘇聯
статии	文章
евреите	猶太人
евреите	猶太
евреите	希伯來人
француски	法文
француски	法語
партија	黨
партија	政黨
партија	宴會
партија	派對
партија	聚會
природни	自然
природни	天然
кралство	王國
кралство	國度
државите	國家
река	河
река	江河
река	河流
река	江
политички	政治
области	各區
области	各地區
области	各省
области	地區
право	直直
право	直
право	右
серија	系列
енергија	能量
енергија	能源
значајни	有意義
островот	海島
островот	島嶼
островот	島
образование	教育
образование	學歷
дена	日子
дена	天數
извршување	執行
извршување	執行
извршување	執行
извршување	處決
негово	他的
наведени	上市
тука	這裡
смртта	死亡
смртта	死神
родени	生於
родени	誕生
родени	出生
родени	天生
натпревари	匹配
натпревари	火柴
натпревари	競賽
албанија	阿爾巴尼亞
книга	圖書
книга	書
книга	書籍
речиси	幾乎
азија	亞洲
песна	追蹤
песна	曲目
песна	軌道
песна	軌跡
песна	歌曲
песна	宋
песна	首歌
песна	歌
всушност	實際上
всушност	其實
боја	色
боја	彩色
боја	顏色
боја	色彩
боја	畫
боја	油漆
боја	顏料
боја	彩色
боја	顏色
боја	色彩
понекогаш	有時候
води	水域
води	鉛
води	領先
води	帶頭
поглед	檢視
поглед	瀏覽
стил	style
стил	樣式
стил	風格
рок	岩
рок	岩石
рок	石頭
рок	rock
рок	搖滾
мухамед	穆罕默德
мухамед	muhammed
африка	非洲
континент	大洲
континент	大陸
животот	生命
животот	人生
животот	生活
регион	區域
моќ	電力
моќ	電源
моќ	動力
моќ	權力
сила	力氣
сила	強度
сила	實力
сила	力量
сила	體力
сила	武力
исток	東
исток	東部
исток	東方
исток	東區
извештај	報告
извештај	檢舉
лондон	倫敦
кина	中國
права	權利
елементи	元素
елементи	要件
елементи	條目
теорија	理論
теорија	論
значење	含義
орбита	軌道
орбита	軌道
езеро	湖泊
езеро	湖
руски	俄語
руски	俄文
соодветната	相應
соодветната	對應
црна	黑
црна	black
црна	黑色
црна	黑人
натпревар	競爭
натпревар	競賽
натпревар	匹配
натпревар	比對
натпревар	match
натпревар	比賽
натпревар	競賽
смрт	死亡
смрт	死神
мислења	意見
милениум	千禧年
милениум	千年
пари	金錢
пари	錢
веб	web
веб	網
веб	網路
петар	彼得
петар	peter
царство	王國
царство	國度
царство	帝國
царство	王國
царство	境界
влада	政府
јазикот	舌頭
јазикот	舌
човек	人類
човек	人
човек	男人
човек	man
мека	麥加
мека	軟軟
мека	柔軟
мека	柔和
мека	軟
мал	小型
мал	小
мал	小
изградена	建
изградена	內建
системи	系統
семејство	家人
семејство	家屬
семејство	家庭
услови	要求
услови	條件
услови	用語
услови	術語
услови	條款
пол	性別
пол	保羅
пол	paul
кралот	國王
кралот	king
кралот	王
поголем	較大
поголем	更大
поголем	較大
заштита	保護
сан	san
лав	獅
лав	獅子
лав	獅子座
лав	leo
општествени	社會
општествени	社交
турција	土耳其
најмногу	最多
најмногу	大部分
најмногу	多數
најмногу	大多
најмногу	大多數
најмногу	大多
победа	贏了
победа	勝利
победа	贏
победа	win
победа	勝利
мајка	母后
мајка	母親
малку	小
надвор	外部
надвор	室外
надвор	外面
надвор	外
надвор	出局
клуб	幫會
клуб	club
клуб	俱樂部
слики	影像
слики	圖片
слики	圖片
слики	像片
слики	圖畫
слики	照片
слики	像片
слики	照片
војска	軍方
војска	軍事
војска	集團軍
војска	軍隊
војска	軍
војска	陸軍
уметност	藝術
уметност	美術
уметност	art
уметност	藝術品
уметност	藝術
помалку	少
помалку	少了
географија	地理學
географија	地理
географија	地域
географија	地理位置
растојание	距離
растојание	間距
растојание	間隔
втор	第二
втор	秒
покраина	省
покраина	省省
покраина	省份
медина	medina
височина	海拔
височина	高度
себе	自己
јован	jovan
јован	john
извори	來源
жени	婦女
жени	女性
должина	長度
големо	big
големо	大
знаме	旗幟
знаме	國旗
знаме	旗
знаме	旗子
живи	活著
избран	選取
функции	函數
нирвана	涅槃
секогаш	始終
секогаш	永遠
секогаш	總是
она	她
вкупно	共計
вкупно	總計
прво	首先
прво	第一
вклучува	包括
факултет	學院
факултет	書院
факултет	大學
тип	guy
тип	型態
тип	類型
половина	一半
половина	半
половина	半數
софија	sofia
месеци	月
месеци	月份
знаменитости	景點
жена	女人
жена	女
жена	女子
жена	妻子
проблеми	麻煩
претходно	先前
претходно	早先
претходно	先前
претходно	先前
контрола	控制權
контрола	控制
училишта	學校
север	北方
север	北
север	北部
простор	間距
простор	間隔
простор	太空
простор	空間
војни	戰爭
поголема	更大
поголема	較大
сојуз	聯盟
сојуз	同盟
сојуз	結盟
ниска	低低
ниска	低
источна	東方
источна	東部
шест	六
шест	六個
никогаш	從未
никогаш	從不
никогаш	從來沒有
линија	line
линија	線
линија	線路
види	見
орбитата	軌道
верзија	版
верзија	版本
тело	屍體
тело	體
тело	身體
книги	圖書
книги	書
книги	書籍
центарот	市區
дом	首頁
дом	家
дом	home
дом	住家
дом	dom
индија	印度
исламска	伊斯蘭
главна	主要
јапонија	日本
советски	蘇維埃
грчки	希臘文
грчки	希臘
возраст	年紀
возраст	年齡
југ	南
југ	南方
југ	南部
музеј	博物館
запад	西邊
запад	西
запад	西方
запад	西部
писател	作家
писател	作者
писател	編劇
поп	流行
поп	pop
награди	獎勵
награди	頒獎
награди	獎勵
награди	獎
награди	獎品
зборови	言語
зборови	詞語
зборови	字
зборови	詞
официјално	官方
официјално	正式
музички	音樂
музички	音樂劇
единици	各單位
единици	單元
единици	單位
состав	作文
состав	論文
полска	波蘭
издание	版
економија	經濟學
економија	經濟
економија	經濟
фаза	階段
фаза	舞台
фаза	階段
средства	基金
средства	資金
втора	第二
втора	秒
најдобар	best
најдобар	最好
парк	樸
парк	公園
физика	物理學
физика	物理
стадион	體育館
стадион	運動場
стадион	球場
марија	瑪利亞
марија	瑪麗亞
марија	maria
куп	庫
куп	堆
куп	盃
куп	杯
куп	杯子
народ	人
народ	人們
народ	人民
седиште	座位
цели	目標
успех	成功
долари	美元
долари	元
долари	美元
ракета	火箭
ракета	導彈
интернет	網路
интернет	網際網路
храна	糧食
храна	食品
храна	食物
банка	銀行
југославија	南斯拉夫
архитектура	結構
архитектура	架構
архитектура	建築
централна	中央
манастир	修道院
манастир	寺院
манастир	修道院
односи	關係
односи	關係
врвот	頂
врвот	top
врвот	頂端
врвот	熱門
врвот	最高
италијански	義大利文
италијански	義大利
можност	機遇
можност	機會
премиер	總理
дополнителни	附加
големина	大小
големина	體積
големина	尺寸
уредување	編輯
уредување	剪輯
уредување	編輯
борба	戰
борба	戰役
борба	戰鬥
борба	鬥爭
борба	奮鬥
борба	掙扎
борба	格鬥
борба	打架
борба	戰鬥
борба	打架
борба	打
борба	戰鬥
цркви	教會
цркви	教堂
редовни	定期
редовни	經常
планината	山
производство	製造業
производство	製造
производство	生產
производство	製作
производство	產量
производство	生產
производство	製造業
производство	製造
извор	來源
извор	源
маса	表
маса	質量
маса	彌撒
планетата	行星
планетата	星球
карта	地圖
карта	售票
карта	票
карта	門票
карта	車票
карта	卡
карта	名片
карта	紙牌
карта	卡片
брег	岸上
брег	岸
брег	岸邊
брег	海岸
брег	沿海
брег	沿岸
брег	海岸線
брег	海岸
посебно	尤其
посебно	尤其是
посебно	特別
главни	主要
средина	環境
средина	中間
средина	中心
средина	中心
територија	領地
територија	領土
создавање	創作
создавање	創建
создавање	創造
создавање	建立
создавање	創建
единица	股
единица	單元
единица	單位
брат	弟弟
брат	哥
брат	師兄
брат	哥哥
брат	兄弟
поделен	分裂
поделен	分裂
поделен	分割
армија	集團軍
армија	軍隊
армија	軍
армија	陸軍
рамнина	平原
уметноста	美術
уметноста	art
уметноста	藝術品
уметноста	藝術
случаи	案例
роман	roman
роман	小說
востание	起義
европски	歐洲
медал	獎章
медал	勳章
медал	獎牌
постојано	常數
џамија	清真寺
животни	動物
портал	門戶
закон	法律
мрежа	電網
мрежа	網路
мрежа	網
пристап	存取
оддалеченост	距離
користење	用法
користење	用量
користење	使用
користење	使用
канада	加拿大
среден	中間
среден	介質
среден	中型
среден	中等
среден	媒介
окрузи	各區
окрузи	各地區
окрузи	各州
окрузи	各縣
војници	士兵
војници	部隊
активности	活動
активности	行動
активности	動態
активности	活動
финалето	決賽
материјал	物料
материјал	材質
материјал	材料
жените	婦女
жените	女性
победи	贏了
победи	勝利
победи	贏
победи	win
победи	元
последниот	上次
последниот	最後
зад	背後
зад	後面
зад	身後
птици	鳥類
птици	鳥
птици	鳥兒
писмо	信
писмо	來信
писмо	字母
писмо	信函
писмо	信件
гол	裸
гол	赤裸
гол	裸體
гол	目標
совет	建議
совет	提示
совет	小費
совет	安理會
човекот	人
човекот	男人
човекот	man
национален	national
национален	國家
поголеми	較大
поголеми	更大
поголеми	較大
носи	穿著
носи	穿
носи	戴
носи	穿
носи	攜帶
михаил	麥可
михаил	michael
михаил	mihail
џејмс	james
џејмс	詹姆士
брзо	快速
брзо	快速
форми	表格
форми	形狀
архитектурата	結構
архитектурата	架構
архитектурата	建築
куќи	房屋
куќи	房子
австрија	奧地利
роберт	羅伯特
роберт	robert
шведска	瑞典
унгарија	匈牙利
играч	球員
играч	玩家
националност	國籍
модел	模範
модел	示範
модел	模型
модел	型號
модел	模特兒
скоро	幾乎
учество	參與
наса	nasa
поезија	詩
поезија	詩歌
позиција	職位
позиција	位置
позиција	立場
аеродром	機場
личности	數字
личности	人格
екваторот	赤道
студии	研究
региони	區域
холандија	荷蘭
професор	教授
професор	老師
професор	教師
планина	山
планина	山區
планина	山地
римско	roman
карактеристики	特徵
карактеристики	特性
карактеристики	特點
карактеристики	功能
карактеристики	特色
карактеристики	特徵
карактеристики	地物
карактеристики	特點
врати	還原
врати	恢復
врати	還原
врати	撤銷
врати	門
чело	額頭
чело	大提琴
девица	處女座
девица	處女
константин	konstantin
константин	君士坦丁
ѕвезда	星星
ѕвезда	恆星
ѕвезда	star
ѕвезда	星
ѕвезда	明星
економски	經濟
можеби	或許
можеби	也許
можеби	或許
москва	莫斯科
коло	迴路
коло	電路
производи	商品
производи	產品
причина	理由
причина	理性
причина	原因
унија	聯盟
унија	工會
наука	科學
освои	元
ново	新
ново	新的
науки	科學
автор	作者
украина	烏克蘭
тема	題目
тема	話題
тема	專題
тема	主題
тема	專題
тема	主題
тема	主題
династија	朝代
династија	王朝
територии	領土
стефан	stefan
стефан	stephan
промена	改變
промена	更改
промена	變更
промена	變
лице	臉
лице	臉部
океанија	大洋洲
седум	七七
седум	七個
седум	七
седум	seven
напад	攻擊
напад	襲擊
напад	進攻
напад	攻擊
напад	毆打
напад	突擊
напад	侵
наклонетост	親情
наклонетост	傾向
наклонетост	意向
близу	近
близу	靠近
близу	附近
носач	航空母艦
носач	載體
станица	站
станица	車站
структура	結構
планини	山
планини	山脈
планини	山區
мажи	男性
мажи	男人
мажи	男子
статус	狀況
статус	狀態
статус	現況
градби	建築
градби	建築物
градби	結構
науката	科學
филип	phillip
филип	philip
филип	philippe
романија	羅馬尼亞
орбитални	軌道
џорџ	喬治
џорџ	george
сателитите	衛星
претставуваат	姿勢
света	聖人
света	聖
света	神聖
света	神聖
слични	類似
слични	相似
соработка	協作
соработка	合作
соработка	合作
камен	stone
камен	石
камен	斯通
камен	石頭
камен	岩
камен	岩石
камен	石頭
камен	rock
камен	搖滾
заврши	完成
заврши	完成
заврши	完成
грб	國徽
грб	背
грб	回
египет	埃及
радио	電台
радио	廣播
радио	無線電廣播
радио	收音機
радио	廣播電台
радио	無線電
негова	他的
поддршка	支援
вмро	vmro
управување	管理
управување	管理
управување	施政
управување	治理
купот	堆疊
покраината	省
покраината	省省
покраината	省份
религија	宗教信仰
религија	宗教
индекс	索引
индекс	指數
остров	海島
остров	島嶼
остров	島
граница	邊界
граница	邊界
граница	邊框
граница	邊境
езерото	湖泊
езерото	湖
видео	視訊
видео	影片
поет	詩人
ќерка	女兒
албуми	相簿
албуми	專輯
слично	類似
слично	相似
текст	文字
текст	案文
берлин	柏林
берлин	berlin
коса	頭髮
коса	毛髮
коса	髮型
коса	發
сонцето	太陽
сонцето	孫
сонцето	珊
сонцето	陽光
директно	直接
истите	相同
ирска	愛爾蘭
семејства	家庭
писатели	作家
писатели	作者
одбрана	辯護
одбрана	國防
одбрана	防禦
одбрана	防守
одбрана	防衛
одбрана	國防
одбрана	防衛
римски	roman
национално	national
национално	國家
национално	全國
независност	獨立
броеви	數字
стане	成為
помали	較小
помали	未成年
македонско	馬其頓
имиња	人名
имиња	名稱
имиња	姓名
површината	表面
површината	地面
површината	地表
услуги	服務業
услуги	服務
услуги	服務
сателит	衛星
општество	社會
хенри	亨利
хенри	henry
притисок	壓力
притисок	氣壓
притисок	壓
луис	lewis
луис	luis
луис	louis
луис	路易
луис	路易斯
третиот	第三
медали	獎章
медали	勳章
медали	獎牌
гледа	觀看
христијански	基督教
христијански	基督徒
глава	頭
глава	頭部
политичка	政治
избори	選舉
избори	選舉
недела	星期
недела	周
недела	週
недела	星期日
недела	週日
недела	星期天
недела	周日
национални	national
национални	國家
растенија	植物
членовите	成員
академија	學院
екипа	船員
екипа	團隊
екипа	球隊
екипа	隊伍
чест	名譽
чест	榮譽
чест	名譽
чест	榮譽
северно	北方
северно	北
северно	北部
бог	神
денови	日子
денови	天數
порано	早先
порано	先前
институт	研究所
резултати	成果
резултати	結果
високо	高
мексико	墨西哥
директор	主任
директор	導演
директор	司長
директор	校長
проект	項目
план	計劃
план	計畫
театар	電影院
театар	劇場
театар	戲劇
театар	劇院
театар	戲院
театар	劇場
театар	戰區
театар	戲劇
театар	劇院
театар	戲院
природата	大自然
природата	自然
природата	性質
починати	逝者
починати	已故
мечка	熊
истото	相同
корисници	使用者
делото	地契
делото	契約
негов	他的
зависност	依賴
зависност	扶養
зависност	依賴性
зависност	上癮
зависност	毒癮
зависност	癮
покажува	顯示
избор	挑選
избор	選取
избор	選擇
избор	甄選
избор	選擇
зголемување	增加
зголемување	提高
ван	萬
ван	貨車
ван	梵
ван	範
хамбург	漢堡
лесно	容易
лесно	輕鬆
лесно	簡單
претежно	大多
брзина	速度
брзина	速度
брзина	速
долго	久
долго	長
добие	增益
класа	階級
класа	類
класа	類別
класа	課堂
класа	班級
пазар	市場
пазар	市場
играчи	球員
играчи	玩家
можно	可能
прашања	問題
температура	氣溫
температура	溫度
температура	體溫
папа	教皇
папа	教宗
месец	月
месец	個月
месец	月份
згради	建築
згради	建築物
битка	戰
битка	戰役
битка	戰鬥
следи	跟著
следи	跟隨
бела	white
бела	白
бела	白色
бела	貝拉
голови	目標
швајцарија	瑞士
проблем	問題
проблем	麻煩
лидерите	領導者
лидерите	領導人
национална	national
национална	國家
тешко	難
тешко	硬
тешко	辛苦
тешко	困難
тешко	難
тешко	艱難
бразил	巴西
општински	市政
степен	度
степен	程度
степен	學位
анализа	分析
реки	河流
материјали	物料
материјали	材料
покраини	省份
покраини	各省
шпански	西班牙文
шпански	西班牙語
данска	丹麥
револуционерна	革命性
финансиски	財務
финансиски	金融
филмски	電影
филмски	膠片
филмски	影片
министер	大臣
министер	部長
ист	相同
род	杖
причини	理由
причини	原因
предмети	項目
предмети	物體
предмети	天體
предмети	物件
револуција	革命
хронолошки	編年史
франс	法國
служба	服務
прашање	問題
прашање	提問
ознака	標記
ознака	標籤
дете	小孩
дете	兒童
дете	孩子
завршува	末端
мартин	martin
мартин	馬丁
висок	高
висок	高
висок	高大
потребно	必要
потребно	必需
потребно	需要
физички	物理
изградба	施工
изградба	建設
изградба	建築
изградба	建
изградба	建立
еднаш	一次
еднаш	一旦
суд	法庭
суд	法院
суд	法院
макс	最多
макс	max
макс	最大
меѓународни	國際
калифорнија	加利福尼亞
калифорнија	加州
вредности	價值
вредности	價值觀
вредности	數值
вредности	值
интерес	興趣
интерес	利息
двајца	兩
двајца	兩個
двајца	二
турнеја	游
турнеја	遊覽
турнеја	導覽
турнеја	旅遊
јужно	南
јужно	南方
јужно	南部
воена	軍方
воена	軍事
дејност	動態
дејност	活動
риби	魚類
риби	魚
риби	魚兒
активност	動態
активност	活動
напади	攻擊
напади	襲擊
однесување	行為
однесување	行為
индустрија	工業
индустрија	產業
индустрија	行業
индустрија	工業
индустрија	產業
индустрија	行業
индустрија	業界
слобода	自由
слобода	自由
десет	十
десет	十個
десет	ten
ана	ana
ана	安娜
ана	anna
том	tom
јужен	南方
јужен	南部
титула	標題
отворено	開
отворено	營業
отворено	開啟
отворено	開放
низа	弦樂
низа	字串
низа	弦
низа	序列
низа	數列
низа	順序
долна	更低
долна	較低
долна	低
следниот	下一步
планински	山
планински	山區
планински	山地
појава	湧現
појава	興起
појава	現象
кратко	簡短
кратко	短期
кратко	短
кратко	矮
марко	marco
оддел	部門
оддел	隔間
оддел	車廂
оддел	包廂
конечно	終於
врв	峰
врв	峰峰
врв	山頂
наследство	傳承
наследство	遺贈
наследство	遺留
наследство	遺產
наследство	繼承權
наследство	繼承
наследство	遺產
наследство	遺產
категории	類別
сингл	單一
сингл	單人
сингл	單身
сингл	單
жан	讓
жан	jean
жан	貞德
конгрес	國會
осум	八個
осум	八
бел	belle
бел	貝勒
бел	white
бел	白
бел	白色
бел	鐘
бел	貝爾
бел	鈴
бел	bell
делумно	局部
