تامیل	tamilski
درآمدی	prihod
درآمدی	prihodi
درآمدی	primanja
درآمدی	dohodak
قطره	ispusti
قطره	baci
قطره	kapljice
قطره	kapi
باطل	praznina
باطل	prazninu
باطل	taština
نیرومند	moćno
نیرومند	moćna
نیرومند	moćan
خداحافظی	zbogom
آنالوگ	analogni
جونگ	jong
جونگ	jeong
جونگ	jung
رون	ron
اصابت	utjecaj
اصابت	udar
عاطفی	emocionalne
عاطفی	emocionalno
عاطفی	emocionalna
عاطفی	emotivno
دوندگان	trkači
دوندگان	trkača
دوندگان	trkači
اسکن	skeniranje
مایعات	tekućine
مایعات	tekućine
وات	watt
عدسی	leća
عدسی	objektiv
مخفیانه	tajno
مخفیانه	potajno
کریستیان	christian
کریستیان	kršćanin
کریستیان	kristijan
کریستیان	cristian
مستطیل	pravokutnik
پورشه	porsche
سوگند	zakletvu
سوگند	zakletvom
سوگند	zakletva
کرنل	cornell
کرنل	cornel
کاج	pinus
کاج	bor
کاج	pine
بایت	bajt
بایت	bajtova
باروک	barokna
تبخیر	rotary
تبخیر	isparavanje
انقلابیون	revolucionari
کاتالونیا	catalunya
کاتالونیا	kataloniji
برفی	snijeg
مهربان	ljubazno
مهربان	vrsta
مهربان	milostiv
مهربان	milostivi
سوالات	pitanja
رنگین	obojena
راکی	rocky
نوسازی	obnavljanje
نوسازی	obnova
نوسازی	obnovu
نوسازی	renoviranje
نوسازی	obnova
نوسازی	rehabilitacija
نوسازی	rehabilitacije
نوسازی	rehabilitaciju
ریموند	raymond
شوک	šok
میخی	klinasti
ابتکار	improvizacija
ابتکار	inicijativa
ابتکار	inicijative
ابتکار	inicijativu
ابتکار	improvizacija
نمادی	simbolično
ورد	čarolija
ورد	verde
امیلی	emili
امیلی	emily
بور	bor
بور	boru
بور	bohr
بور	burr
اسپورت	sport
اسپورت	sportski
اسپورت	sportovi
اسپورت	sport
آرت	art
آرت	umjetnost
موانع	barijere
موانع	zapreke
موانع	prepreka
موانع	zapreke
موانع	prepreke
احادیث	očitavanja
احادیث	čitanja
احادیث	očitanja
تاخیر	odgoda
تاخیر	odgodi
تاخیر	kašnjenje
تاخیر	odgoditi
کولی	ciganka
ناتوانی	nemogućnost
ناتوانی	nesposobnost
تاکسی	taxi
تاکسی	taksi
تاکسی	taksi
زشت	ružno
زشت	ružna
فرید	farid
ماهر	vješt
ماهر	vješta
پایانه	terminal
پایانه	krajnja
توس	birch
عجایب	čudesa
عجایب	čuda
تعدیل	prilagodbe
تعدیل	prilagodba
زراعت	usjeve
زراعت	usjevi
زراعت	poljoprivreda
زراعت	uzgoj
واجب	obavezno
واجب	neophodna
واجب	potrebno
واجب	neophodno
راستش	zapravo
لوی	levi
لوی	loy
لوی	levy
سبزیجات	povrće
سبزیجات	biljka
سبزیجات	povrće
سبزیجات	povrća
کارخانجات	fabrike
کارخانجات	tvornice
مازیار	maz
داس	srp
داس	das
هموار	glatka
هموار	glatko
قرائت	recitacija
قرائت	čitam
قرائت	čita
قرائت	čitanje
نیا	nia
آناتومی	anatomije
آناتومی	anatomiju
سوق	pogon
سوق	vozi
هیلز	brda
هیلز	hills
وفاداری	vjernost
وفاداری	odanost
وفاداری	lojalnost
وفاداری	vjernost
بارانی	tuširanje
بارانی	tuš
بارانی	rainy
بارانی	kišni
بارانی	kiša
بارانی	kabanicu
بیچ	bukva
بیچ	plaže
بیچ	beach
بیچ	plažu
بیچ	plaža
کیفری	kriminalac
کیفری	kazneno
آرزو	želju
آرزو	želja
آرزو	želeći
تصمیمات	odluke
دانشگاهیان	akademici
ضرر	gubitke
ضرر	gubitaka
ضرر	gubici
جنون	demencije
جنون	ludilo
جنون	ludost
جنون	ludilo
متقاعد	uvjereni
متقاعد	uvjerio
متقاعد	uvjeren
متقاعد	uvjerljivo
تایلر	tyler
عزت	časti
عزت	čast
عزت	cast
عزت	čast
عزت	časti
عزت	slava
عزت	slavu
عزت	slave
تمبر	pečat
تمبر	žig
تمبر	marke
بلگراد	beograd
معاملات	dogovore
معاملات	transakcije
یاقوت	rubini
یاقوت	rubin
یاقوت	ruby
نوزده	devetnaest
پرسی	percy
دستکاری	manipulira
دستکاری	manipulacija
دستکاری	manipulacije
معجزه	čudesa
معجزه	čuda
معجزه	čudo
باهم	zajedno
خوردگی	korozije
لوکوموتیو	lokomotiva
لوکوموتیو	lokomotive
بدهی	dugovi
بدهی	dugova
بدهی	dugove
بدهی	dugovanja
بدهی	duga
بدهی	dugovi
بدهی	dug
کلیساها	crkve
پرستوی	progutati
چادر	šatore
چادر	šatora
چادر	kampiranje
چادر	šator
عمو	tetak
عمو	ujak
نوسان	oscilacija
نوسان	zamah
سرنشین	putnik
سرنشین	putnika
سرنشین	posada
سرنشین	ekipa
سرنشین	posadi
زنجیر	lanac
ریوی	plućna
اسپانیای	španjolska
اسپانیای	španjolskoj
اسپانیای	španjolske
ایزوتوپ	izotopa
ایزوتوپ	izotop
ین	jena
دلالت	implicira
دلالت	podrazumijeva
دلالت	označava
دلالت	implikacija
نیزه	koplja
نیزه	koplje
اسپنسر	spencer
اسپنسر	spenser
طوطی	papige
طوطی	papagaj
طوطی	papiga
طوطی	papagaja
آپالاشیا	appalachia
لاتزیو	lazio
بلژیکی	belgijski
اسکاندیناوی	skandinaviji
اسکاندیناوی	skandinavski
بارو	barrow
کمینه	minimalno
کمینه	minimum
کمینه	minimalna
کمینه	minimalno
کمینه	minimalne
کمینه	minimalni
کمینه	minimalna
کاراته	karate
دستگاهی	uređaj
کوپه	odjeljak
کوپه	coupe
سرما	hladna
سرما	hladno
آموزگار	učiteljica
آموزگار	nastavnik
آموزگار	učitelj
شجاعت	hrabrosti
شجاعت	hrabrost
توران	turan
پرستار	sestra
مشکی	crna
مشکی	crni
مشکی	crnac
مشکی	crne
مشکی	crno
بنگال	bengalskog
الحاق	dodatak
الحاق	priključenje
الحاق	priključenju
الحاق	pridruživanje
توریستی	turističko
توریستی	turista
توریستی	turistička
توریستی	turist
توریستی	turistički
ایان	lan
ایان	ian
استیضاح	opoziv
جاوه	javanski
جاوه	jave
جاوه	java
متعهد	vezani
متعهد	vezana
متعهد	počinjen
متعهد	počinio
متعهد	predan
بلیز	belize
مسمومیت	trovanje
مسمومیت	trovanja
مسمومیت	toksičnost
مجرد	singla
مجرد	neženja
عروقی	vaskularne
تحکیم	konsolidaciju
سرگئی	sergei
سرگئی	sergej
درخشش	blista
درخشش	sjaj
درخشش	sjaj
اینترنشنال	international
اینترنشنال	međunarodna
اینترنشنال	međunarodni
دیترویت	detroita
دیترویت	detroitu
دیترویت	detroit
فرعون	faraon
فرعون	faraona
سهره	finch
هارون	harun
صمد	samad
شنوایی	sluh
شنوایی	saslušanje
شنوایی	sluha
جواهر	dragulji
جواهر	dragulje
جواهر	dragulj
جواهر	nakita
جواهر	nakit
هیجان	uzbuđenja
هیجان	uzbuđenje
هیجان	uzbuđenje
هیجان	uzbuđen
هیجان	uzbuđeno
برانگیز	nagon
پرتره	portret
تومور	tumor
تومور	tumora
کپسول	kapsule
کپسول	kapsulu
کپسول	kapsula
بیسبال	bejzbol
بیسبال	bejzbola
بیسبال	baseball
کروموزوم	kromosomi
کروموزوم	kromosom
خستگی	umor
خستگی	umora
خستگی	dosade
خستگی	dosada
خستگی	iscrpljenosti
بسامد	frekvencija
بسامد	frekvencije
بسامد	frekvenciju
استعفای	ostavku
استعفای	ostavka
چاپلین	chaplin
الکتریسیته	struja
کریک	creek
پنجاب	punjab
غیرممکن	nemoguće
اشیا	objekti
اشیا	objekte
اشیا	predmeti
مشت	šakama
مشت	šake
مشت	šaka
مشت	šaci
مشت	šaku
ربع	četvrtina
ربع	quarter
ربع	četvrt
ربع	četvrtinu
سهولت	olakšati
کنسولگری	konzulat
کنسولگری	konzulata
جسیکا	jessica
مجنون	lud
مجنون	mad
مجنون	ljuta
ویکیپدیای	wikipedia
بالکان	balkan
بالکان	balkanu
بالکان	balkana
بالکان	balkan
بالکان	balkanski
بالکان	balkanska
باروری	plodnost
باروری	plodnosti
هوافضا	aerospace
عزاداری	tugovati
عزاداری	tuguje
عزاداری	žalosti
اضطراب	tjeskoba
اضطراب	uznemirenost
اضطراب	nervoza
اضطراب	tjeskobe
شرلوک	sherlock
نسیم	povjetarac
اضطراری	hitno
ثور	tor
ثور	thor
نزاکت	takta
فروهر	srž
فروهر	suština
باکس	box
باکس	kutija
باکس	kutiju
اسکوشیا	scotia
میش	ewe
تعصب	netolerancije
تعصب	predrasuda
تعصب	predrasude
تعصب	dogma
تفنگداران	mušketira
تفنگداران	korpus
تفنگداران	korpusa
تفنگداران	corps
کرک	kirk
درصدی	postotak
سنتز	sinteza
افغانی	afganistanski
افغانی	afganistanske
اصولی	sistematski
اصولی	sustavno
وارده	zadobio
سپید	bijeli
سپید	bijela
سپید	bijelo
واسکو	vasco
هدر	heather
طبع	narav
طبع	temperament
نیکولا	nicola
نیکولا	nikola
دریچه	ventil
دریچه	otvor
احساسی	emocionalne
احساسی	emocionalno
احساسی	emocionalna
احساسی	emotivno
انجیر	fig
ثالث	tercijarni
جوهر	tinta
جوهر	tinte
پلاستیکی	plastične
پلاستیکی	plastika
پن	penn
پن	pana
پن	pan
سس	umak
سس	sos
تیغ	blade
تیغ	oštrica
مولر	müller
مولر	mueller
مولر	muller
مبدا	porijeklo
مبدا	podrijetlo
رولز	kotrlja
رولز	role
رولز	rolls
آرژانتینی	argentinski
کیل	kale
کیل	kiel
گواهینامه	dozvola
گواهینامه	dozvolu
گواهینامه	certifikat
گواهینامه	potvrde
گواهینامه	potvrda
روال	rutina
روال	rutinski
آمینه	amino
زامبیا	zambiji
تم	tam
تم	tema
فاش	otkrij
ویروسی	virusne
بابلی	babilon
بابلی	babilonski
صداهای	glasove
صداهای	glasovi
سوسن	lilium
سوسن	suzan
سوسن	susan
رینگ	prsten
خطرات	rizici
خطرات	rizike
خطرات	opasnosti
هاردی	hardy
مخالفین	opozicija
مخالفین	oporbene
مخالفین	oporba
مخالفین	protivljenje
گوزن	jelen
گوزن	los
گوزن	losa
گوزن	srna
گوزن	jeleni
گوزن	jelen
گوزن	jelena
گوزن	caribou
نیومن	newman
نیومن	neumann
دورتموند	dortmund
الیاس	elijah
الیاس	ilija
الیاس	elias
لیزری	laser
پاداش	bonus
پاداش	nagrade
پاداش	nagradu
پاداش	nagrada
پاداش	nagradi
نفرین	prokletstvo
نفرین	kletva
لمس	dodirni
لمس	dodir
لمس	dodirom
لمس	dira
لمس	dirljivo
لمس	dirnut
لمس	dotaknuo
لمس	dodirnuo
لمس	dotakla
سوئیسی	švicarski
سوئیسی	švicarske
سویا	soje
واگذاری	delegat
کارن	karen
مهندسین	inženjeri
قشر	korteks
طاووس	paun
طاووس	paunovi
اسکلت	šasiju
اسکلت	kostura
اسکلت	kostur
اسکلت	kostura
پدربزرگ	deda
پدربزرگ	dida
پدربزرگ	djed
پدربزرگ	deda
پدربزرگ	djed
گروپ	grupa
انحصار	monopol
منجمد	smrznuti
منجمد	smrznuto
منجمد	smrznuta
منجمد	zamrznuta
فواصل	intervalima
فلامینگو	flamingo
خدایی	bože
خدایی	bog
سیار	mobilni
سیار	mobitel
پادگان	baze
پادگان	garrison
پادگان	garnizon
گرمایش	grijanje
خلاقیت	kreativnost
خلاقیت	kreativnosti
خلاقیت	kreativna
خلاقیت	kreativno
خلاقیت	kreativni
خلاقیت	kreativan
خلاقیت	kreativnost
اسپورتینگ	sportski
امریکایی	američki
امریکایی	american
امریکایی	amerikanac
امریکایی	američka
بارون	barone
بارون	barun
بارون	baron
بارون	kiša
بیکر	pekar
بیکر	baker
بروسیا	borussia
گی	gej
گی	peder
گی	gay
مخرب	destruktivna
تهمت	klevete
تهمت	klevetu
تهمت	kleveta
تهمت	klevete
تهمت	kleveta
تهمت	klevete
تهمت	klevetu
تهمت	kleveta
تاسیسات	ustanova
تاسیسات	postrojenje
حسگر	senzor
مستعمره	kolonije
مستعمره	kolonija
مستعمره	koloniju
بودا	buda
بودا	buddha
خودگردان	autonomna
محققین	istraživači
قسطنطنیه	carigrad
ایمن	sigurno
ایمن	sef
ایمن	sigurna
ایمن	osigurano
ایمن	osigurati
جفرسون	jefferson
ناخواسته	neželjene
ناخواسته	neželjeni
کاوشگر	sonda
کاوشگر	lander
کاوشگر	istraživač
قطعاً	definitivno
ویرانی	uništavanje
ویرانی	uništenje
ویرانی	razaranje
غده	tumor
غده	tumora
غده	žlijezda
غده	žlijezde
بروک	brooke
بروک	brook
کاله	kalle
کاله	calais
مرمر	mramor
مقاصد	nakane
مقاصد	namjera
مقاصد	namjere
مقاصد	odredišta
زیارتگاه	svetište
سنتور	kentaur
انعقاد	zgrušavanje
رکن	stub
رکن	stup
پاسخگویی	odgovor
پاسخگویی	odgovori
جنسیتی	spol
گیلبرت	gilbert
پدرو	pedro
تریلر	triler
تریلر	prikolica
تریلر	prikolicu
چاک	chuck
خوک	svinje
خوک	prase
خوک	svinja
بازوی	ruka
مدیاویکی	mediawiki
بیداری	budan
بیداری	budni
بیداری	budna
جامی	šalice
جامی	kupa
جامی	pehar
جامی	šalica
جامی	kup
آری	eee
تزئینات	ukrasi
تزئینات	dekoracije
شوهرش	mužu
شوهرش	muž
شوهرش	suprug
کالین	colin
برونو	bruno
مارپیچی	spirale
باخ	bach
قذافی	gaddafi
مونتاژ	montaža
گمنام	anonimno
گمنام	anonimna
گمنام	anonimni
ناراحتی	tužno
ناراحتی	žalosno
ناراحتی	tužna
محبت	ljubaznost
محبت	dobrote
محبت	dobrotom
محبت	dobrota
محبت	naklonost
محبت	privrženost
همخوانی	dosljednost
باک	bak
باک	bock
کارا	kara
کارا	cara
جنبشی	kinetička
وبا	kolera
جهانگردان	istraživači
آستوریاس	asturija
تزئین	ukras
تزئین	ukrasiti
پیشوند	prefiks
بیهوشی	anestetik
بیهوشی	anestezija
نشستن	sjedeći
نشستن	sjedenje
شایان	cheyenne
نیایش	prizivanje
نیایش	klanjanje
نیایش	obožavanje
نیایش	molitve
کلامی	verbalno
کلامی	jezična
تناقض	kontradikcije
تناقض	paradoks
تناقض	nedosljednost
تناقض	kontradikcija
قضائیه	pravosuđa
قضائیه	pravosuđe
تعطیلی	gašenje
لیندا	linda
لیندا	lynda
قسم	zakletvu
قسم	zakletvom
قسم	zakletva
آرم	ruka
دلاور	delaware
اتصالات	veze
فراخوانی	pozivom
فراخوانی	pozivanje
فراخوانی	zovem
اسیدی	kiseline
اسیدی	kiselina
اسیدی	kiselost
بیکاری	nezaposlenosti
بیکاری	nezaposlenost
فلفل	paprika
فلفل	pepper
فلفل	papar
فلفل	biber
هاپکینز	hopkins
شیطانی	demonska
شیطانی	demonski
مگس	leti
مگس	muhe
مگس	mušice
کالاها	dobara
کالاها	robe
کالاها	robu
کالاها	roba
لیبریا	liberiji
لیبریا	liberijski
محو	mrlja
محو	mrlju
لای	lai
پنجشنبه	četvrtak
بقای	opstanak
بقای	preživljavanje
نامیبیا	namibiji
طیفی	spektralni
کمدین	komičar
جن	jen
عذرخواهی	isprike
عذرخواهی	isprike
عذرخواهی	izgovori
عذرخواهی	isprika
بازگو	prebrojavanje
میکس	mix
میکس	miks
یوهانس	johannes
بذر	seme
بذر	sjeme
بذر	sjemenke
بذر	sjeme
عملگر	operater
تکن	tekken
فرصتی	prilika
فرصتی	prigoda
اخطار	obavijesti
اخطار	obavijest
اخطار	upozorenje
اخطار	upozorenja
بخارست	bukurešta
بخارست	bukurešt
حباب	mjehurići
حباب	mjehuriće
حباب	mjehur
حباب	mjehurić
پالس	puls
گرانت	grunt
گرانت	podari
گرانت	grant
هیلاری	hillary
هیلاری	hilary
بهاری	proljeće
بهاری	proljeća
مزدا	mazda
نقدهای	kritike
تفریح	rekreaciju
گان	gunn
نرگس	narcis
کپنهاگ	kopenhagenu
کارولین	caroline
کارولین	karolina
صدمه	oštećenja
صدمه	oštećenje
صدمه	povrijediti
صدمه	povrijeđen
شارژ	naboj
شارژ	naplatiti
شارژ	optužen
خنده	smijeh
ملایم	nježan
ملایم	nježno
ملایم	blaga
ملایم	blage
ملایم	blagi
ملایم	blag
ملایم	mekani
ملایم	mekana
ملایم	meko
ملایم	mekano
ییلاق	zemlja
ییلاق	država
ییلاق	domovina
مایا	maje
مایا	majo
مایا	maya
مایا	maja
داند	zna
اشتوتگارت	stuttgart
جوار	priznaje
چنگیز	džingis
لانه	gnijezdo
لانه	gnijezda
لانه	jazbina
لانه	den
منسوخ	arhaičan
منسوخ	zastarjela
منسوخ	zastarjeli
منسوخ	zastarjelo
منسوخ	zastarjele
منسوخ	zastarjeli
منسوخ	zastarjele
منسوخ	zastarjelo
منسوخ	zastario
سانسکریت	sanskrit
محکومیت	osude
محکومیت	uvjerenje
محکومیت	osuda
امتیازات	privilegije
امتیازات	povlastice
امتیازات	privilegija
استعمال	uporaba
استعمال	upotreba
استعمال	korištenje
محفوظ	zaštićeno
محفوظ	zaštićena
محفوظ	zaštićen
محفوظ	zaštićeni
محفوظ	očuvana
شبح	fantom
شبح	duh
شبح	ghost
دورانی	premaz
انگل	engel
انگل	paraziti
انگل	parazite
انگل	parazita
انگل	parazit
فروشنده	prodavač
کمیل	camille
منظره	pejzaž
منظره	krajolik
واتیکان	vatikana
واتیکان	vatikan
گریس	grace
گریس	milost
اتلتیک	atletski
موضوعاتی	teme
سالمندان	starački
سالمندان	starije
ماموران	policajci
ماموران	časnici
ماموران	službenici
روحیه	moral
عشقی	ljubavi
عشقی	volim
عشقی	ljubav
موجودیت	entiteta
موجودیت	entitet
مارکسیست	marksističko
تدبیر	regulira
تدبیر	regulirati
تدبیر	plan
تدبیر	plana
سفال	lončarstvo
رودریگز	rodriguez
رودریگز	rodrigues
رودریگز	rodríguez
ریس	reese
ریس	ris
ریس	rhys
ریس	reiss
بشریت	čovječanstvo
بشریت	ljudskost
بشریت	humanost
کوهن	cohn
کوهن	cohen
کوهن	kohn
فیجی	fiji
سمرقند	samarkand
ارضی	teritorijalni
هانتر	lovac
هانتر	hunter
مارینو	marino
پناهنده	izbjeglica
پناهنده	izbjeglica
پناهنده	izbjeglice
رزرو	rezervirano
رزرو	rezervirao
رزرو	rezervirano
رزرو	rezervirana
رزرو	rezerviran
رزرو	rezervacije
رزرو	rezervacije
رزرو	rezervat
رزرو	rezervacija
رزرو	rezervi
رزرو	rezerva
یخبندان	leda
یخبندان	led
یخبندان	ice
متقارن	simetrično
رابینسون	robinson
کویینز	queensu
کویینز	kraljice
کویینز	queens
بخواند	pozivi
بخواند	pozive
ملودی	melody
ملودی	melodija
اسبق	prethodnik
ریاض	rijad
وحی	otkrivenje
وحی	otkrivenja
دلو	kantu
دلو	kanta
دلو	aquarius
دلو	vodenjak
ضخیم	gusta
ضخیم	gusto
کربنات	karbonat
انقباض	trudovi
انقباض	kontrakcije
شفت	okno
سوفیا	sofija
سوفیا	sofiji
سوفیا	sofia
امیدوار	nade
بتی	beti
بتی	betty
دستورالعمل	instrukcije
دستورالعمل	recept
دستورالعمل	upute
دستورالعمل	instrukcije
منتسب	navodne
منتسب	navodni
انگشتان	prste
انگشتان	prsti
محتوی	kontejner
محتوی	spremnik
نامزدها	nominacija
معصوم	nevin
معصوم	nevina
معصوم	nevini
کارتون	crtić
کارتون	crtani
کارتون	crtani
احتیاط	oprez
دربی	derby
دربی	derbi
گرامر	gramatiku
سپیده	zore
سپیده	zoru
سپیده	svitanje
سپیده	zora
نیکو	niko
نیکو	nico
بخت	bogatstvo
هاله	halle
هاله	auru
هاله	aura
توری	mreža
بنویسد	pišite
بنویسد	napiši
بنویسد	piši
بنویسد	napišite
همسران	supružnika
همسران	supruge
قراردادهای	ugovori
قراردادهای	protokoli
هوندا	honda
دیداری	vizualna
دیداری	vizualno
دیداری	vizualni
بهای	cijena
بهای	cena
بهای	price
آیفون	iphone
گیلاس	cherry
گیلاس	trešnja
گیلاس	višnje
گیلاس	trešnje
ارکان	stub
ارکان	stup
شایستگی	kvalificirana
شایستگی	kvalificiran
شایستگی	kvalificirani
مشتقات	derivata
مشتقات	varijante
اسکای	skye
اسکای	neba
اسکای	nebu
اسکای	sky
اسکای	nebo
سنگر	bunker
سنگر	bunkera
تصدی	povjerenstvo
تصدی	komisija
تصدی	komisije
تصدی	provizije
تصدی	zakup
موجی	vala
موجی	val
موجی	valove
موجی	valovi
کارآمد	efikasno
کارآمد	efikasan
کارآمد	učinkovito
انعطاف	fleksibilan
ردیابی	praćenje
ردیابی	tragač
ردیابی	trag
ماهانه	mjesečno
ماهانه	mjesečni
قدیس	sveti
قدیس	svetac
قدیس	saint
تهی	praznina
تهی	prazninu
تهی	prazno
تهی	isprazni
تهی	prazan
تهی	prazni
تهی	prazna
رفیع	visoko
رفیع	visok
رفیع	visoka
رفیع	rafi
نگاشت	karta
نگاشت	mapa
نگاشت	kartu
نگاشت	mapu
جمجمه	lubanje
جمجمه	lubanja
جمجمه	lubanje
جمجمه	lubanju
سوزن	igle
سوزن	igala
سوزن	iglu
سوزن	igla
بنادر	lukama
جوزپه	giuseppe
اعتدال	umjerenost
اعتدال	umjereno
پذیرایی	smještaj
پذیرایی	primanje
پذیرایی	prijem
پذیرایی	prijam
پذیرایی	zabava
عروسک	lutke
عروسک	lutka
چیزها	stvari
تزیین	uređenje
یقین	sigurnošću
یقین	nesigurna
یقین	nesiguran
قاطع	odlučan
قاطع	odlučujući
اریتره	eritreja
دهقان	seljak
هریسون	harrisona
هریسون	harrison
بولونیا	bologna
بولونیا	salama
حک	graviranje
انشعاب	vilicu
انشعاب	vilica
انشعاب	grana
انشعاب	branch
انشعاب	grane
انشعاب	granu
وایمار	weimar
گردنه	strme
مارسل	marcela
مارسل	marcel
کسر	razlomke
کسر	manjka
کسر	manjak
کسر	deficit
کسر	djelić
عبادت	obožavanje
متراکم	gust
متراکم	gusta
متراکم	guste
جنایات	zločini
جنایات	zločine
آئودی	audi
ترمینال	terminal
ترمینال	krajnja
نامحدود	beskonačno
نامحدود	neograničen
سرنگون	zbaciti
آپاچی	apache
آپاچی	apači
مشروط	kontingent
عرضی	pejzaž
عرضی	krajolik
عرضی	poprečni
ذرت	kukuruza
ذرت	kukuruz
بدانید	znati
بدانید	znaj
وبر	weber
سرودن	sastavi
تکنیکی	tehnički
تکنیکی	tehnička
زی	zi
زی	zee
نفی	deportaciju
داوطلبانه	dragovoljno
داوطلبانه	dobrovoljno
داوطلبانه	dobrovoljni
داوطلبانه	dragovoljno
داوطلبانه	dobrovoljno
خائن	izdajnik
خائن	izdajica
رویس	royce
گریگوری	gregory
کنراد	conrad
چکاوک	ševa
بالتیک	baltiku
آیوی	ivy
راجرز	rogers
میرسد	dosegne
ادوین	edwin
رنگهای	boje
اطفال	deca
اطفال	djeca
هسن	hesse
یونس	yunus
یونس	jona
یونس	jonah
همسایگی	susjedstvu
همسایگی	susjedstvo
همسایگی	kvart
همسایگی	susjedstvo
همسایگی	kvart
فرضی	hipotetski
فرضی	hipotetički
راو	sirova
راو	sirov
راو	sirovi
راو	sirove
راو	sirovo
آهسته	sporo
آهسته	lagano
آهسته	polako
زاگرب	zagreb
نوی	neu
نیکول	nicole
گوگ	gogh
فری	trajektom
فری	trajekt
فری	frey
فری	fra
تقطیر	destilacija
آلتو	alto
