dezvolta	לפתח
call	התקשר
cerul	שמיים
cerul	סקיי
cerul	שמים
cerul	השמים
esențiale	הכרחי
esențiale	חיוניות
esențiale	חיונית
esențiale	חיוני
transferul	העברה
creatorul	יוצר
creatorul	יוצרת
creatorul	היוצר
companiile	חברות
silvia	סילביה
silvia	סילביה
gibson	גיבסון
înconjurată	מוקף
înconjurată	מוקפים
înconjurată	מוקפת
viktor	ויקטור
babeș	באבש
adulți	בוגרים
adulți	מבוגרים
adulți	בוגרת
adulți	בוגר
adulți	מבוגר
nivele	רמות
nivele	ברמות
copertă	כיסוי
copertă	כסה
copertă	חיפוי
copertă	מכסה
copertă	לכסות
atribuită	המיוחסות
atribuită	שהוקצה
atribuită	הוקצה
wood	עץ
wood	ווד
abc	abc
coordonatele	קואורדינטות
johan	יוהאן
santos	סנטוס
gif	gif
armament	חימוש
credit	קרדיט
credit	זיכוי
credit	אשראי
simfonia	סימפוניה
marcând	ניקוד
visul	חלום
visul	החלום
visul	לחלום
eddie	אדי
mir	מיר
entități	ישויות
pescuit	דיג
pescuit	לדוג
pescuit	דייג
proporție	פרופורציה
opoziția	האופוזיציה
opoziția	התנגדות
jorge	חורחה
frecvența	תדר
frecvența	תדירות
atribuite	המיוחסות
atribuite	שהוקצה
atribuite	הוקצה
bursă	מלגה
etaje	קומות
etaje	רצפה
etaje	רצפות
rază	רדיוס
rază	הרדיוס
dragomir	דרגומיר
reciproc	הדדית
reciproc	הדדי
extra	תוספת
extra	אקסטרה
avansate	מתקדמת
avansate	מתקדם
avansate	מתקדמים
trenuri	רכבות
antena	מנה
antena	צלחת
antena	אנטנה
umbra	הצל
umbra	שאדו
umbra	צל
umbra	צל
vocală	תנועה
omorât	נרצח
omorât	נרצחה
omorât	נרצחו
omorât	נהרגה
omorât	נהרג
omorât	נהרגו
omorât	הרג
mărturii	עדויות
mărturii	עדות
aaron	אהרון
aaron	ארון
aaron	אהרן
falls	פולס
falls	נופל
figură	הגזרה
figură	דמות
academică	אקדמי
academică	אקדמית
promovează	קדמי
promovează	קדם
promovează	קדמי
digitale	דיגיטלית
digitale	דיגיטלי
abbas	עבאס
grafic	גרף
grafic	ציורי
grafic	גרפי
grafic	תרשים
grafic	טבלה
grafic	הגיליון
antrenori	מאמנים
antrenori	המאמנים
antrenori	מאמנים
contul	החשבון
contul	חשבון
pedeapsa	עונשין
pedeapsa	קנס
pedeapsa	עונש
pedeapsa	ענישה
pedeapsa	עונש
bancă	בנק
bancă	הבנק
bancă	הספסל
bancă	ספסל
sevilla	סביליה
sevilla	סוויל
domnule	אדוני
definite	מוגדרים
definite	מוגדר
pauză	הפסקה
pauză	לשבור
pauză	הפסקה
allan	אלן
seminarul	סמינר
seminarul	הסמינר
săptămâna	שבוע
globală	גלובל
globală	גלובלי
torre	טורה
conan	קונאן
brescia	ברשה
sarcini	משימות
sarcini	מטלות
înfrânt	מובס
înfrânt	תבוסה
înfrânt	הובס
roxana	רוקסנה
ferrara	פרארה
string	שרוך
string	מיתר
string	מחרוזת
julian	וליאן
mandatului	המנדט
collins	קולינס
ontario	אונטריו
pianist	פסנתרן
reclamă	מסחרית
reclamă	מסחרי
reclamă	פרסומת
reclamă	פירסום
reclamă	פרסום
maniu	מאניו
merite	הצטיינות
tong	טונג
neagu	ניגו
comunicații	תקשורת
manga	מנגה
marketing	שיווק
declara	מכריז
declara	מצהיר
montreal	מונטריאול
ribbentrop	ריבנטרופ
scade	ירידה
scade	להפחית
ton	טונה
ton	טון
cheia	מפתח
cheia	מקש
cheia	המפתח
britannica	בריטניקה
romanov	רומנוב
vidin	וידין
mecanice	מכני
mecanice	מכנית
ascunde	להסתיר
ascunde	הסתר
mobil	נייד
mobil	לנייד
sean	שון
schi	סקי
schi	בסקי
schi	סקי
fondarea	המייסדים
depozite	מחסנים
depozite	הפקדות
fictiv	בדיונית
fictiv	בדיוני
fictiv	בדוי
talentul	כישרון
talentul	כשרון
oklahoma	אוקלהומה
terestră	ארצי
permisiunea	הרשאה
permisiunea	אישור
permisiunea	רשות
bernhard	ברנהרד
nepoata	הנכדה
nepoata	נכדה
nepoata	אחיינית
nepoata	האחיינית
bătut	הוכה
bătut	מובס
bătut	מוכה
bătut	הוכתה
pragul	סף
pragul	מפתן
pragul	הסף
ouă	ביצים
ouă	אגס
ușa	הדלת
ușa	דלת
aristotel	אריסטו
alpha	אלפא
firmă	תקיף
atlético	אתלטיקו
contrar	בניגוד
sprijină	תומך
sprijină	תומכת
tipărită	הדפסת
tipărită	מודפס
rica	ריקה
imnul	המנון
chirurgie	ניתוח
chirurgie	כירורגיה
madison	מדיסון
icoana	סמל
icoana	אייקון
amy	איימי
klaus	קלאוס
adriana	אדריאנה
pași	מדרגות
pași	צעדים
pași	צעדי
pași	שלבים
spațial	מרחבית
spațial	מרחבי
legislația	חקיקה
butler	באטלר
butler	משרת
discutat	דנו
rolling	מצלמים
rolling	גלגול
rolling	רולינג
rolling	מתגלגלת
rolling	מתגלגל
explicație	הסבר
ritm	קצב
hudson	הדסון
hudson	האדסון
bursa	מלגה
nori	העננים
nori	עננים
edmund	אדמונד
mercedes	מרצדס
mercedes	מרסדס
intelectuali	אינטלקטואלים
intelectuali	אינטלקטואלי
intelectuali	אינטלקטואלית
împotrivă	כנגד
împotrivă	נגד
proprietari	בעלים
protejat	מוגן
protejat	מוגנים
protejat	מוגנת
protejat	המוגן
ronald	רונלד
colective	הקולקטיבי
popularitate	הפופולריות
popularitate	פופולריות
gândit	מחשבה
gândit	חשבתי
gândit	חשב
gândit	חשבה
homo	הומו
homo	לסבית
homo	הומו
homo	גיי
castle	טירה
castle	קאסל
castle	הטירה
castle	טירת
droguri	סמים
droguri	תרופות
droguri	סמים
droguri	תרופה
droguri	סמים
willem	וילם
execuție	ביצוע
jucând	משחקת
jucând	משחק
jucând	מנגן
intervenit	התערב
generat	נוצרת
generat	נוצר
succese	הצלחות
succese	הצלחה
bratislava	ברטיסלבה
damasc	דמשק
nuvelă	רומן
nuvelă	נובלה
publica	פרסם
card	קארד
card	קלף
card	כרטיס
reformei	רפורמה
filipine	הפיליפינים
secundară	משנית
secundară	משני
promis	הבטיחו
promis	הבטיח
promis	הבטחתם
rin	הריין
rin	ריין
incident	תקרית
semnificația	חשיבות
semnificația	משמעות
plecare	עזיבה
gândire	חושבת
gândire	חשיבה
gândire	חושב
identificate	זוהתה
identificate	זוהה
identificate	מזוהה
identificate	זוהו
identificate	מזוהים
vladimirescu	ולדימירסקו
anatomia	אנטומיה
farmacie	מרקחת
biți	סיביות
rightarm	rightarm
mexican	מקסיקני
mexican	מקסיקנית
five	חמישה
five	חמש
five	five
portrete	דיוקנאות
pictate	צבוע
pictate	צבועה
pictate	צייר
parcuri	פארקים
parcuri	פארקס
pozitivă	חיובית
pozitivă	חיובי
pozitivă	חיוביות
tipărit	הדפסת
tipărit	מודפס
sângele	דם
marchiz	מרקיז
marchiz	המרקיז
yemen	תימן
cântând	שרים
cântând	שירה
cântând	שר
stiluri	סטיילס
stiluri	סגנונות
protejarea	מגן
protejarea	מגינה
protejarea	מגנה
norvegian	נורבגי
împușcat	יריה
împușcat	זריקה
împușcat	ירייה
împușcat	שוט
împușcat	נורה
împușcat	ירה
sălbatică	פראי
sălbatică	פרוע
sălbatică	פרא
teamă	פחד
teamă	הפחד
teamă	חשש
statui	פסלים
sâmbătă	השבת
sâmbătă	שבת
profesioniști	מקצוענים
irlandez	אירי
irlandez	אירית
consilieri	יועצים
consilieri	יועצים
bunica	סבתא
bunica	סבתא
bunica	סבתא
lituaniei	ליטא
limitate	מוגבלות
limitate	מוגבלת
limitate	מוגבל
pereți	חומות
pereți	קירות
sándor	שנדור
perry	פרי
distincție	הבחנה
distincție	ההבחנה
platformă	פלטפורמה
platformă	הפלטפורמה
rugăciune	תפילה
luther	לותר
personalitatea	אישיות
atelierul	סדנה
atelierul	המלאכה
atelierul	הסדנה
atelierul	סדנת
cook	קוק
cook	טבח
tara	מדינה
tara	ארץ
tara	ארצי
tara	טארה
tara	טרה
abur	אדים
abur	קיטור
oleg	אולג
respectarea	צייתנות
respectarea	ציות
vama	מכס
vama	המכס
interimar	ביניים
adult	בוגרת
adult	בוגר
adult	מבוגר
împarte	לפצל
împarte	פיצול
experimental	נסיוני
experimental	ניסיוני
logica	לוגיקה
logica	היגיון
logica	הגיון
helsinki	הלסינקי
julia	יוליה
julia	חוליה
mussolini	מוסוליני
scooby	סקובי
faimos	מפורסם
faimos	מפורסמים
faimos	המפורסם
faimos	מפורסמות
faimos	מפורסמת
nuntă	חתונה
nuntă	החתונה
magdalena	מגדלנה
anastasia	אנסטסיה
studiourile	אולפני
studiourile	סטודיו
posterior	אחוריים
posterior	אחורי
bat	המחבט
bat	עטלפים
bat	באט
bat	עטלף
bat	מחבט
apr	apr
mintea	אכפת
dmitri	דמיטרי
dmitri	דמיטרי
dmitri	דימיטרי
americanii	אמריקנים
americanii	אמריקאים
alexei	אלכסיי
sârb	סרבי
sârb	סרבי
documentul	מסמך
documentul	המסמך
baba	באבא
manolescu	מנולסקו
mediaș	מדיאש
preocupat	מודאגת
preocupat	מודאג
preocupat	מודאגים
preocupat	טרוד
brusc	לפתע
brusc	פתאום
brusc	פתאומי
brusc	פתאומיות
brusc	פתאומית
japonezi	יפני
japonezi	יפנית
japonezi	יפנים
inspirată	בהשראת
inspirată	השראה
paraguay	פרגוואי
facto	פקטו
izolat	מבודד
izolat	מבודד
izolat	מבודדים
izolat	מבודדת
berg	ברג
anulat	מבוטלת
anulat	מבוטל
anulat	בוטל
anulat	בוטלה
anulat	מבוטלת
anulat	מבוטל
anulat	בוטל
anulat	בוטלה
precizează	ציין
precizează	לפרט
precizează	לציין
evaluare	דירוג
evaluare	הערכה
evaluare	הערכת
evaluare	הערכה
asediu	מצור
divizat	מחולק
divizat	מחולקת
divizat	לפצל
divizat	פיצול
bergamo	ברגמו
taxe	מסים
taxe	מיסים
taxe	עמלות
novo	נובו
încurajat	עודד
enterprise	אנטרפרייז
inamic	האויב
inamic	אוייב
inamic	אויב
vehicul	הרכב
vehicul	רכב
botanică	בוטניקה
botanică	הבוטניים
arma	נשק
arma	אקדח
arma	רובה
diferențele	הבדלים
diferențele	ההבדלים
servi	הגשה
servi	לשרת
servi	משרת
hanul	פונדק
presupus	הניחה
presupus	הניח
presupus	הנחתי
presupus	לכאורה
presupus	כביכול
presupus	לכאורה
presupus	כביכול
presupus	בחזקת
nagy	נאגי
musulmane	המוסלמי
musulmane	מוסלמים
musulmane	מוסלמית
musulmane	מוסלמי
modificată	השתנה
modificată	שונה
rasa	גזע
rasa	מרוץ
rasa	גזע
rasa	מירוץ
rasa	הגזע
restaurarea	שיקום
restaurarea	שחזור
emerit	אמריטוס
permanente	קבועה
permanente	קבוע
vizibilă	גלויה
vizibilă	גלוי
asociație	האגודה
asociație	העמותה
asociație	איגוד
asociație	עמותה
index	מדד
index	אינדקס
obișnuită	רגילה
obișnuită	רגיל
moral	מוסרית
moral	מוסר
moral	מוסרי
kenneth	קנת
trofee	גביעים
trofee	שלל
asigurări	ביטוח
dispute	מחלוקות
dispute	סכסוכים
portughez	פורטוגזית
portughez	בפורטוגזית
funcționar	פקידה
funcționar	הפקיד
funcționar	פקיד
haiti	האיטי
sindromul	תסמונת
sindromul	סינדרום
locație	המיקום
locație	מיקום
prezență	נוכחות
prezență	נוכחות
eugene	יוג
cândva	מתישהו
cândva	בהזדמנות
persan	פרסי
sinaia	סינאיה
traseu	שובל
îmbunătățit	השתפר
îmbunătățit	שיפור
îmbunătățit	משופר
îmbunătățit	השתפרה
îmbunătățit	משופר
vinde	למכור
vinde	מכור
logic	לוגיקה
logic	הגיוני
logic	לוגי
logic	לוגיקה
logic	היגיון
logic	הגיון
precizie	דיוק
precizie	הדיוק
precizie	דיוק
meyer	מאייר
măsoară	מדידה
măsoară	מידה
dom	כיפת
dom	כיפה
dom	דום
fame	תהילה
controlat	נשלט
controlat	מבוקר
controlat	שלט
acționat	פעל
coleg	עמיתה
coleg	עמית
coleg	עמית
express	אקספרס
amt	amt
baltice	הבלטי
mustafa	מוסטפא
ardere	בעירה
ardere	שורף
ardere	שריפת
ardere	בוער
ardere	בוערת
cost	העלות
cost	מחיר
cost	עלות
boeing	בואינג
întoarcere	החזר
cercetătorii	חוקרים
peșteră	מערה
senat	הסנאט
gay	הומואים
gay	גייז
gay	לסבית
gay	הומו
gay	גיי
creta	כרתים
creta	גיר
ming	מינג
montgomery	מונטגומרי
egiptean	מצרית
egiptean	מצרי
egiptean	המצרי
variabile	משתנה
variabile	משתנים
metale	מטאל
metale	מתכות
metale	מתכת
metale	מתכות
pană	נוצה
bush	בוש
bush	שיח
standardele	סטנדרטים
standardele	התקנים
daneză	דנית
daneză	דנים
verticală	אנכי
verticală	אנכית
renunță	ביטול
renunță	לבטל
renunță	בטל
niveluri	רמות
niveluri	ברמות
mitchell	מיטשל
notat	נרשם
notat	ציין
notat	נרשמה
notat	צוין
strategică	אסטרטגית
strategică	אסטרטגי
cambodgia	הקמבודי
cambodgia	קמבודיה
pablo	פבלו
pablo	פאבלו
morris	מוריס
lent	איטי
cosma	קוסמה
academice	אקדמי
academice	אקדמית
ice	קרח
kate	קייט
aurora	אורורה
sinod	סינוד
oregon	אורגון
bănci	בנקים
bănci	בנקס
bănci	ספסלים
restaurant	מסעדת
restaurant	מסעדה
afectate	שנפגע
afectate	הושפע
afectate	מושפעת
afectate	השפיע
afectate	מושפע
baltă	שלולית
structurile	מבנים
silezia	שלזיה
uriaș	הענק
uriaș	ענק
uriaș	ענקית
tabere	מחנות
alma	עלמה
alma	אלמה
atribuie	להקצות
atribuie	הקצאת
formulă	הנוסחה
formulă	נוסחה
formulă	פורמולה
kentucky	קנטקי
kentucky	קנטאקי
mărfuri	מטען
mărfuri	סחורה
mărfuri	סחורות
mărfuri	סחורות
belle	בל
grâu	חיטה
cuantică	הקוונטים
cuantică	קוונטית
văzute	נראתה
văzute	נצפה
văzute	נצפו
văzute	צפו
walt	וולט
dublin	דבלין
festivaluri	פסטיבלים
ball	כדור
rusesc	רוסייה
rusesc	רוסית
rusesc	רוסי
concepte	מושגים
padova	פדואה
echivalentul	המקבילה
echivalentul	מקבילה
fani	מעריצים
fani	אוהדי
fani	האוהדים
fani	אוהדים
plovdiv	פלובדיב
participanții	משתתפים
mandate	צווים
mandate	מנדטים
morminte	קברים
morminte	גרייבס
morminte	קברים
colegi	עמיתים
colegi	עמיתים
potențialul	פוטנציאל
potențialul	פוטנציאלי
exactă	מדויק
horror	זוועה
horror	אימה
vizibile	גלויה
vizibile	גלוי
uss	uss
flash	הבזק
flash	פלאש
flash	מבזק
duminica	ראשון
srl	llc
srl	ltd
împiedicat	מנעה
împiedicat	מנע
materia	משנה
elementare	יסודי
elementare	היסודי
christina	כריסטינה
christina	קריסטינה
arhipelagul	הארכיפלג
succesiunea	הירושה
protocol	פרוטוקול
protocol	הפרוטוקול
update	עדכני
update	עדכון
update	העדכון
update	עדכן
execută	ביצוע
execută	בצע
ecuador	אקוודור
bull	שור
bull	בול
kenya	קנייה
kenya	קניה
îngropat	קבורה
îngropat	נקבר
îngropat	קבורים
îngropat	קבור
november	נובמבר
november	בנובמבר
locații	מיקומים
fabricat	יוצר
fabricat	מיוצר
fabricat	יוצרו
fabricat	מיוצרים
fabricat	מפוברק
durere	כאב
durere	כאבים
întâlniri	פגישות
întâlniri	מפגשים
întâlniri	ישיבות
întâlniri	מפגשים
recomandat	המלצת
recomandat	המלצה
recomandat	מומלץ
lucrând	עובדת
lucrând	עובד
taiwan	טייוואן
dramatică	דרמטית
dramatică	דרמטי
populată	מאוכלס
populată	מיושב
tereza	טרסה
tereza	תרזה
tereza	תרזה
culex	כולכית
dex	דקס
semnată	חתום
semnată	חתומה
semnată	חתם
semnată	נחתם
baptiste	בטיסט
stelele	כוכבים
emisă	הוציא
compuși	תרכובות
sovieticii	הסובייטים
praf	אבק
praf	אבקה
haga	הייג
haga	האג
zeus	זאוס
animat	אנימציה
nintendo	נינטנדו
locuită	מיושב
semnal	איתות
semnal	אות
ceas	שעון
ceas	צפו
ceas	צפה
ceas	לצפות
ceas	שעון
democrație	דמוקרטיה
democrație	הדמוקרטיה
alfa	אלפא
expune	לחשוף
fantastică	פנטסטית
fantastică	פנטסטי
partener	פרטנר
partener	שותפה
partener	שותף
cerințele	דרישות
occidentali	מערביים
amenințare	איום
inventator	ממציא
inventator	הממציא
bolta	כספת
lovituri	בעיטות
lovituri	מכות
lovituri	שקעים
vizitează	בקרי
vizitează	ביקור
vizibil	גלויה
vizibil	גלוי
rgb	rgb
sporturi	ספורט
informatii	מידע
informatii	מידע
informatii	אינפורמציה
observație	תצפית
observație	התבוננות
observație	השגחה
parker	פארקר
parker	פרקר
zeilor	אלים
liechtenstein	ליכטנשטיין
discovery	דיסקברי
discovery	התגלית
discovery	תגלית
discovery	גילוי
găsiți	מצאי
găsiți	למצוא
găsiți	תמצא
găsiți	מצא
dur	קשוח
dur	מחוספס
dur	גס
dur	קשוח
dur	קשה
dur	קשוחים
dur	קשוחה
tăiat	קאט
tăiat	לחתוך
tăiat	חתך
tăiat	חתוך
etajul	קומה
etajul	רצפה
chapelle	שאפל
chapelle	שאפל
strategie	אסטרטגיה
peisaj	לרוחב
peisaj	נוף
attila	אטילה
experiment	ניסוי
finalizată	הושלם
finalizată	השלים
finalizată	השלמת
finalizată	הושלמה
finalizată	הושלמו
reptile	זוחלים
reptile	זוחל
reptile	זוחלים
convinge	לשכנע
convinge	שכנע
convinge	לשכנע
convinge	שכנע
sportul	ספורט
leul	אריה
leul	האריה
personalul	סגל
personalul	סגל
personalul	צוות
aron	אהרון
preveni	למנוע
preveni	תמנע
preveni	מנע
plată	תשלום
plată	התשלום
won	זכיתי
won	זכה
won	ניצח
won	ניצחו
integrarea	אינטגרציה
reci	קולד
reci	קרים
reci	קור
reci	קר
integrat	משולב
integrat	משולבת
fabricate	יוצר
fabricate	מיוצר
fabricate	יוצרו
fabricate	מיוצרים
fabricate	מפוברק
roosevelt	רוזוולט
nuvela	נובלה
vasili	וסילי
aviație	תעופה
spanioli	ספרדים
spanioli	ספרדי
spanioli	ספרדית
heinz	היינץ
thompson	תומפסון
wallace	וואלאס
wallace	וואלס
wallace	וולאס
beethoven	בטהובן
ploaie	גשם
islamului	האסלאם
islamului	האיסלאם
islamului	אסלאם
bremen	ברמן
zagora	זאגורה
artificial	מלאכותי
artificial	מלאכותית
artificial	מלאכותיים
solară	שמש
disponibilă	זמינה
disponibilă	זמינות
disponibilă	זמין
disponibilă	זמינים
reprezentative	הנציג
reprezentative	נציג
marino	מרינו
fetele	בנות
fetele	נערות
fetele	ילדות
primită	התקבלה
primită	שהתקבלו
primită	התקבל
primită	קיבל
primită	התקבלו
strategia	אסטרטגיה
transmise	מועבר
culmea	הרכס
culmea	רכס
identice	זהים
identice	זהה
fotografia	תמונה
fotografia	צילום
locuite	מיושב
albrecht	אלברכט
aia	זה
separarea	הפרדה
datoria	חובה
interpretări	פרשנויות
scrisoarea	אות
scrisoarea	מכתב
eroul	גיבורה
eroul	גיבור
aviației	תעופה
rupt	שבורה
rupt	נשבר
rupt	שבורים
rupt	שבור
rupt	קרוע
rupt	נקרע
rupt	קרועים
rupt	קרע
integrate	משולב
integrate	משולבת
panama	פנמה
afc	afc
utilizări	משתמשת
utilizări	שימושים
greaca	יוונים
greaca	יווני
greaca	יוונית
nancy	ננסי
comisie	עמלות
comisie	עמלה
westfalia	וסטפאליה
arkansas	ארקנסו
sinteza	סינתזה
aripa	כנף
aripa	אגף
cauzele	גורם
cauzele	סיבות
graz	גראץ
veniturile	הכנסות
veniturile	הכנסה
veniturile	הכנסה
atomic	אטומי
clinton	קלינטון
continuând	ממשיכים
continuând	ממשיך
împărăteasă	קיסרית
împărăteasă	הקיסרית
integrare	אינטגרציה
districtele	מחוזות
miercurea	רביעי
miercurea	רביעי
scenele	סצנות
scenele	סצינות
dramatice	דרמטית
dramatice	דרמטי
transmiterea	שדר
transmiterea	שידור
transmiterea	תשדורת
ralph	ראלף
hunter	הנטר
hunter	האנטר
hunter	צייד
armeni	הארמנים
armeni	ארמני
vera	ורה
vera	וורה
vera	וירה
sferturi	רבעים
borsod	בורשוד
demo	הדגמה
demo	דמו
standarde	סטנדרטים
standarde	התקנים
minimă	מינימום
minimă	המינימום
minimă	מינימלי
minimă	מינימלית
simț	חוש
simț	הגיון
desemna	לייעד
datată	מיום
câteodată	לפעמים
câteodată	לעתים
utilă	שימושית
utilă	מועיל
utilă	שימושיות
utilă	שימושיים
utilă	שימושי
utilă	עוזר
utilă	מסייע
utilă	מועיל
utilă	מועילה
dotat	ניחן
dotat	מחונן
dotat	מוכשר
dotat	מוכשרת
clape	קלידים
isabella	איזבלה
predare	הוראה
predare	מלמד
predare	לימוד
predare	מלמדת
sănătatea	בריאות
transfermarkt	transfermarkt
rareori	סלדום
climă	האקלים
climă	אקלים
abaúj	אבאוי
pătrat	סקוור
pătrat	כיכר
pătrat	ריבוע
pătrat	מרובע
raze	קרני
raze	קרניים
epic	אפיק
epic	אפי
grație	גרייס
grație	חסד
avere	עושר
windsor	וינדזור
prevede	מספק
prevede	מספקת
fin	פין
fin	סנפיר
birou	המשרד
birou	משרד
secretul	סודית
secretul	סוד
secretul	סודיות
secretul	סודי
trilogia	הטרילוגיה
aniversare	יומולדת
gonzaga	גונזגה
frumusețea	היופי
executată	להורג
musulmană	המוסלמי
musulmană	מוסלמים
musulmană	מוסלמית
musulmană	מוסלמי
rob	רוב
mehmed	מהמט
concret	בטון
frumusețe	היופי
laboratorul	מעבדה
laboratorul	מעבדה
mâini	ידות
mâini	ידים
mâini	ידיים
batalionul	גדוד
batalionul	הגדוד
decorative	קישוט
decorative	לקישוט
decorative	מעוצב
conștient	מודע
conștient	מודעת
conștient	בהכרה
conștient	מודע
conștient	תודעה
conștient	מודעת
sectoare	מגזרים
șansă	הזדמנות
șansă	סיכוי
autostrada	כביש
compozitori	מלחינים
fabricație	ייצור
fabricație	ייצור
zemplén	זמפלן
treimi	שלישים
alegere	ברירה
alegere	בחירה
notre	נוטר
moștenire	המורשת
