sottotenente	tenente
progressi	proceso
progressi	progresos
progressi	segue
cage	gaiola
ateniese	ateniense
consentita	permitiu
consentita	se
consentita	permita
consentita	lles
consentita	permite
consentita	non
consentita	permiten
consentita	vir
default	defecto
default	por
slave	de
slave	escravos
slave	escrava
divertimento	ben
divertimento	divertido
divertimento	divertida
combat	de
combat	combate
combat	combates
combat	postos
dinosauro	de
dinosauro	dinosauro
dinosauro	dinosauros
sexy	sexy
paralleli	paralelo
specchi	espellos
tortura	tortura
rituali	ritual
rituali	rituais
socrate	sócrates
assurdo	absurdas
mama	mamá
mama	nai
costanti	constante
catturata	capturado
catturata	capturados
catturata	prisioneiro
insegne	sinais
bicicletta	bicicleta
bicicletta	en
bicicletta	bicicleta
bicicletta	en
bicicletta	moto
bicicletta	bici
manuela	manuela
haven	aínda
haven	non
haven	teño
trattamenti	tratamentos
possibilmente	posible
possibilmente	posiblemente
possibilmente	a
possibilmente	ser
possibilmente	pode
argilla	clay
giocattoli	xoguete
giocattoli	xoguetes
mattei	mattei
mattei	señor
risorsa	recurso
tasti	chaves
tasti	as
pesa	pesa
labirinto	labirinto
temporaneo	temporal
regalo	regalo
regalo	agasallo
visuale	visual
visuale	visuais
definizioni	definicións
limitati	limitado
limitati	limitada
frame	foto
equivalenti	equivalente
jump	así
jump	saltar
jump	chimpa
saggezza	a
saggezza	sensatez
saggezza	sabiduría
saggezza	sabedoría
preferita	favorito
preferita	favoritos
preferita	favorita
preferita	preferido
calcoli	cálculos
monkey	mono
monkey	monos
seguite	seguir
seguite	seguen
seguite	siga
confusa	confuso
westminster	westminster
temporanea	temporal
gemello	picos
aggressione	asalto
particella	de
particella	partículas
particella	partícula
organici	orgánico
premiata	recompensado
causati	causado
causati	causa
causati	causaba
preghiere	oracións
dyke	fada
dyke	das
dyke	lesbiana
daily	día
daily	diariamente
daily	daily
daily	cotiá
daily	diario
detenzione	detención
autorizzato	posúe
autorizzato	estabelecido
ricevute	recibín
ricevute	recibiron
ricevute	recibimos
ricevute	recibiu
soddisfatto	satisfeito
contadina	campesiño
imparato	aprendín
imparato	que
imparato	aprenderon
imparato	aprendemos
imparato	aprendeu
imparato	descubrimos
esecuzioni	execución
adolescenti	adolescentes
adolescenti	adolescencia
adolescenti	os
adolescenti	adolescentes
sedili	asentos
words	palabras
words	as
words	verbas
attrici	actriz
marianne	marianne
marianne	marianka
vocabolario	vocabulario
formali	formal
imperial	imperial
sequestro	secuestro
laurie	laurie
orme	pegadas
dinamiche	dinámica
dinamiche	dinámicas
dinamiche	dinámica
innocenza	inocencia
delegati	delegados
consulenza	consello
votanti	votantes
guadagno	gañar
laici	aí
chiedi	pedir
chiedi	preguntar
chiedi	pregunte
camino	cheminea
camino	limpeza
teddy	peluche
starr	starr
valutazioni	cualificacións
valutazioni	as
valutazioni	avaliacións
wanna	quero
wanna	queres
wanna	quere
guadagnato	gañei
guadagnato	gañaba
gestiti	e
gestiti	puido
gestiti	conseguimos
gestiti	a
scimmie	monos
scimmie	mono
scimmie	monos
sporco	porca
sporco	sucio
columbus	columbus
esplosivo	explosivos
goran	goran
today	hoxe
today	día
medicine	medicinas
medicine	medicina
medicine	baseada
medicine	na
medicine	médicos
medicine	menciña
evasione	fuxida
evasione	escapar
evasione	da
evasione	fugarse
evasione	fuxir
evasione	fuga
email	correo
email	correos
pattuglia	patrulla
illusione	a
illusione	ilusión
decorati	condecorado
suppone	debía
suppone	que
suppone	supón
suppone	suponse
suppone	supostamente
suppone	se
suppone	teño
suppone	supúñase
discovery	descubrimento
africane	áfrica
africane	africana
africane	africanos
africane	africano
credendo	crer
hello	ola
incubo	pesadelo
cottura	cociñar
cottura	cociña
cottura	cociñando
cottura	comida
leadership	liderado
magici	maxia
magici	máxico
magici	máxica
magici	máxicos
magici	máxico
extreme	extremas
negro	negrata
negro	ese
negro	negratas
negro	merda
negro	de
negro	negros
negro	negro
negro	os
negro	negros
negro	negro
risolve	solucionar
risolve	resolver
cowboys	vaqueiro
cowboys	de
disperata	desesperado
disperata	e
strani	raro
strani	estraño
strani	estraña
strani	extraño
strani	moi
strani	rara
strani	raro
barche	barcos
lode	gábote
lode	teu
sid	sid
cisterna	tanque
cisterna	depósito
cisterna	cisterna
funerali	funeral
funerali	enterro
auditorium	auditorio
ricevuti	recibín
ricevuti	recibiron
ricevuti	recibimos
ricevuti	recibiu
protetti	protexido
distruggendo	destrución
distruggendo	destruíndo
cotone	algodón
cotone	de
dorata	de
dorata	ouro
cuoco	cociñar
cuoco	cociñeira
cuoco	cociñeiro
buck	dólar
consumi	consumo
alfabetico	alfabética
sana	san
sana	saúde
sana	sans
sana	saudable
wally	wally
articolazione	antro
benedizione	bendición
benedizione	beizón
estendere	a
estendere	estender
tattiche	táctica
consumatori	consumidores
dollaro	dolar
dollaro	dólar
dollaro	por
dollaro	cartos
block	mazá
block	bloque
block	bloquear
block	acceso
block	barracón
funzionali	funcionais
funzionali	funcional
peggy	peggy
nubi	nube
priore	antes
frankie	frankie
fat	graxa
fat	gorda
fat	gordo
fat	gordos
fat	o
peggiori	peores
peggiori	peor
immersione	mergullar
immersione	inmersión
quorum	percepción
quorum	quórum
gabbia	gaiola
aids	sida
disperato	desesperado
disperato	e
bombardiere	bomber
brother	irmán
brother	meu
disfatta	vencer
disfatta	derrota
factory	fábrica
factory	fábricas
factory	industriais
parlò	falei
parlò	falou
parlò	falaba
paradosso	paradoxo
piece	peza
piece	anaco
piece	unha
soft	suave
violenze	violencia
violenze	a
pubblicano	publicar
sospetta	sospeitosos
sospetta	sospeitoso
fori	buratos
fori	buracos
memory	memoria
philips	phillips
legittima	lexítima
legittima	lexítimo
blind	cegas
blind	cega
blind	cego
blind	invidentes
blind	cegos
costruisce	acumúlase
dritto	en
dritto	directo
dritto	dereito
arresti	deter
arresti	arresto
prevedere	predicir
prevedere	predín
sons	fillos
sons	os
sons	mozos
rotto	roto
rotto	a
rotto	rompeu
rotto	crebou
rotto	entraron
rotto	rompín
iniziati	comecei
iniziati	a
iniziati	comezamos
iniziati	empecei
iniziati	comezou
pride	orgullo
pride	orgulloso
incide	afecta
incide	á
foot	pé
foot	outro
foot	infantaría
foot	o
droghe	medicamentos
droghe	fármacos
droghe	drogas
garrett	garrett
benvenuti	benvida
benvenuti	benvido
benvenuti	benvidos
benvenuti	a
benvenuti	nada
amleto	aldea
amleto	estratéxicas
coperti	cuberto
interazioni	interacción
interazioni	compromiso
interazioni	interaccións
interazioni	cós
ordinata	que
ordinata	atención
ordinata	pedimos
misurazione	medir
misurazione	medindo
pass	pasar
pass	pase
bisogni	precisa
bisogni	ten
bisogni	necesita
bisogni	necesidades
together	xuntos
gus	gus
stampata	impreso
kirby	kirby
finto	finxilo
ingaggio	compromiso
nervo	nerviosas
peculiare	peculiar
professional	profesionais
professional	profesional
professional	un
studiando	estudando
studiando	estudar
lie	mentiras
lie	mentira
lie	mentir
orari	horas
ammessi	mañá
ammessi	permitiu
ammessi	se
ammessi	permita
ammessi	lles
ammessi	permite
ammessi	non
ammessi	permiten
ammessi	vir
francamente	francamente
lasciate	deixar
edith	edith
pin	prendedor
ave	“
ave	sarabia
ave	”
ave	en
ave	galego
ave	saudamos
madri	nais
cloud	nube
vietnamita	vietnamita
vietnamita	vietnamitas
vietnamita	vietnam
progettati	deseñados
progettati	para
progettati	deseñadas
progettati	deseñado
progettati	deseñamos
negoziati	negociación
ned	ned
asiatica	asiática
asiatica	asiático
asiatica	asiáticos
sacchi	bolsas
sacchi	de
ricercato	quería
ricercato	que
ricercato	quixen
brutta	fea
brutta	feo
sanzioni	sancións
stein	stein
criminalità	delito
criminalità	crime
criminalità	criminalidade
criminalità	crimes
criminalità	delincuencia
domestica	doméstica
domestica	caseira
dancing	baile
dancing	bailando
dancing	bailar
dancing	bailaba
giura	xuro
giura	xúrocho
giura	que
giura	xura
giura	xuraría
giura	xura
docenti	profesores
docenti	mestres
docenti	os
docenti	bos
bobine	bobinas
capital	capital
capital	capitais
capital	capitol
capital	o
danze	baile
danze	baila
danze	bailar
danze	danza
danze	bailes
danze	baile
danze	bailando
danze	bailar
danze	bailaba
pulsante	botón
influsso	influencia
influsso	influír
attivato	activa
spingere	presionar
corteccia	córtex
cape	o
cape	cabo
mele	mazás
mele	mazá
mele	apple
mele	asadas
mele	mazás
cari	querido
cari	querida
combinato	combinados
combinato	combinadas
combinato	deben
combinato	as
avana	habana
avana	da
accurata	preciso
accurata	precisa
cool	xenial
cool	ben
cool	fresco
patterson	patterson
candidature	aplicacións
candidature	para
forzata	obrigado
forzata	a
forzata	forzado
forzata	todo
forzata	obrigoume
forzata	recrutado
remoto	remotas
governatori	gobernador
decorate	condecorado
reporter	xornalistas
reporter	xornalista
reporter	reporteiro
cell	célula
cell	cela
fermate	paradas
fermate	frea
fermate	detén
fermate	deixa
fermate	se
giant	un
giant	xigantes
giant	xigante
fata	de
fata	fadas
fata	fada
fata	marica
fata	lesbianas
melodie	melodías
attributi	atributos
gigantesco	enorme
gigantesco	xigantesco
gigantesco	pauta
palmi	palmas
integrità	integridade
tumori	cancro
tumori	o
tumori	cáncer
tumori	tumores
tumori	tumor
elefante	elefante
impedito	evitou
festeggia	celebrar
topi	ratos
topi	démoslles
topi	ratas
lente	lentes
lente	lente
immediate	inmediato
immediate	contado
separatamente	separado
opposti	contrario
opposti	oposta
opposti	opostas
lenin	lenin
salti	así
salti	saltar
salti	chimpa
salti	skip
salti	mo
pacifica	pacífica
minacciato	ameazada
incendi	lumes
arkansas	arkansas
jolly	moi
barney	barney
cattedrali	catedrais
richie	richie
tanner	tanner
letale	mortal
letale	pecados
letale	fatal
palm	palma
palm	da
palm	palm
passioni	paixón
jungle	selva
virtual	virtual
scimmia	mono
scimmia	monos
swing	abaneo
swing	xuntas
apprendere	aprender
apprendere	aprendizaxe
apprendere	aprendendo
apprendere	a
script	guións
script	guión
gates	gates
picchi	picos
picchi	xemelgos
matto	tola
matto	tolos
matto	tolas
matto	tolo
matto	tola
matto	tolo
matto	enfadado
forzato	obrigado
forzato	a
forzato	forzado
forzato	todo
forzato	obrigoume
forzato	recrutado
visivo	visual
visivo	visuais
gap	distancia
kick	unha
kick	malleira
kick	patada
kick	dáme
kick	una
kick	botar
kick	patea
ritmi	ritmos
ritmi	ritmo
lavoratore	traballador
lavoratore	social
lavoratore	obreiro
lavoratore	obreiros
lavoratore	parado
crew	tripulación
crew	equipo
clinici	clínicos
clinici	clínicas
clinici	clínico
sorriso	sorriso
sorriso	sorrir
sorriso	sorrí
ultimamente	ultimamente
beast	besta
promise	promesa
promise	prometer
promise	prométolle
promise	prometo
promise	prométocho
promise	prometeron
promise	prometín
promise	prometinlle
promise	prometéronme
promise	prometida
promise	prometíchesme
promise	prometo
promise	prometera
solidi	sólida
skin	pel
skin	ósos
ammettere	admitir
ammettere	admito
ammettere	que
ammettere	admitilo
senegal	senegal
imitazione	imitación
imitazione	na
twin	picos
instabilità	inestabilidade
distanti	distante
distanti	afastado
pacchetti	paquete
curiosa	curioso
connesso	conectados
connesso	conectada
connesso	conectado
connesso	con
connesso	conectadas
connesso	conectan
banditi	bandidos
met	coñecín
met	a
met	coñecemos
nuoro	nuoro
attenta	coidado
attenta	ten
attenta	con
attenta	tede
attenta	prudente
attenta	conta
attenta	atento
cioccolato	chocolate
android	android
nightmare	pesadelo
chief	xefe
chief	o
warrior	guerreiro
warrior	forte
clifford	clifford
clifford	ei
creativo	creativo
creativo	creativos
creativo	creativa
creativo	creativas
incapacità	incapacidade
cassetta	cinta
vision	visión
vision	vista
vision	vision
impact	impacto
impact	un
impact	na
impact	prazo
impact	efecto
impact	mellora
coloniali	colonial
hammer	martelo
roses	rosas
freddi	frío
freddi	fría
freddi	arrefriado
trasportati	a
trasportati	cabo
emergente	emerxentes
ricetta	receitas
ricetta	receita
artigli	canteiros
artigli	garras
harbor	porto
smart	intelixente
smart	intelixentes
smart	listos
smart	moi
smart	listo
volentieri	con
volentieri	gusto
strong	forte
strong	fortes
corazza	armadura
palme	palmas
cascate	cae
atomica	atómicos
atomica	núcleo
atomica	atómica
barton	barton
artù	arthur
arrendersi	rendédevos
permanenti	permanente
nozione	concepto
nozione	noción
nozione	idea
riparazioni	reparar
profughi	de
profughi	refuxiados
credenze	crenza
tea	té
tea	tomar
tea	de
tea	te
lampada	lámpada
labbra	beizos
labbra	os
labbra	boca
must	debo
must	que
must	debe
must	debemos
must	deben
must	hai
adotta	adopte
industrial	industrial
esplorare	explorar
cut	cortar
ridge	cresta
ignoranza	ignorancia
ignoranza	a
camminare	camiñando
camminare	pola
camminare	andar
camminare	andando
camminare	subindo
camminare	camiñaba
camminare	camiñar
camminare	polas
camminare	andar
camminare	camiñar
garage	garaxe
doppi	o
doppi	dobre
doppi	double
clinico	clínicos
clinico	clínicas
clinico	clínico
volontariamente	voluntariamente
bears	osos
bionda	loira
vagamente	vagamente
attrezzi	ferramentas
attrezzi	as
apparsi	apareceu
tartaruga	de
tartaruga	tartaruga
attraversamento	cruzar
attraversamento	cruzando
slow	lento
slow	lenta
slow	lentos
slow	ou
slow	frean
slow	tranquilo
influenzare	influencia
influenzare	influír
caverna	das
caverna	cavernas
caverna	cova
condivisione	compartir
pescatore	pescador
finiti	rematei
finiti	xa
finiti	rematado
finiti	remate
finiti	acabado
finiti	rematar
finiti	rematou
finiti	remataches
agnello	cordeiro
magiche	máxicos
magiche	máxico
cantate	cantar
cantate	canta
cantate	cante
dakar	dakar
aspirazione	aspiración
aspirazione	obxetivo
atteso	se
atteso	esperaba
atteso	que
vola	e
vola	pilotar
vola	voar
vola	voan
vola	voarei
vola	voe
vola	voo
vola	moscas
vola	voa
miseria	miseria
fans	ventiladores
torta	torta
torta	pastel
tabacco	tabaco
ringraziamento	acción
ringraziamento	gracias
win	gañar
ricompensa	recompensa
escape	fuxida
escape	escapar
escape	da
escape	fugarse
escape	fuxir
escape	fuga
chaos	un
chaos	caos
restrizioni	restrición
holding	suxeitando
holding	a
holding	aguante
tira	sacar
comodo	conveniente
comodo	cómodo
copiare	copia
copiare	copiando
spie	espía
spie	espías
intima	íntimo
intima	íntima
teschio	cranio
ratti	ratas
pensate	que
pensate	penso
pensate	pensar
pensate	creo
godere	guste
godere	gozamos
godere	a
godere	da
godere	que
godere	gozar
godere	gusta
gustave	gustave
care	importa
care	igual
care	me
think	que
think	penso
think	pensar
think	creo
peccati	pecados
peccati	agarimosa
peccati	pecado
peccati	pecado
proroga	extensión
proroga	estensión
patate	patacas
amaro	amarga
sacrifici	sacrificio
sacrifici	sacrificar
sacrifici	zugue
sacrifici	o
colomba	pomba
partecipante	participación
partecipante	participar
mccarthy	mccarthy
ricchezze	riqueza
ricchezze	riquezas
ricchezze	coa
bear	oso
bear	osiño
mortalità	infantil
mortalità	mortalidade
sherlock	sherlock
pizza	pizza
satana	satanás
satana	satán
grafici	gráficos
assicurazione	seguro
assicurazione	seguros
carrozza	fantasma
doveri	deber
doveri	obriga
doveri	de
doveri	servizo
doveri	co
dipingere	cadro
dipingere	pintura
statuti	estatutos
veterani	veteranos
banale	trivial
task	tarefa
ringo	ringo
creduto	que
momentaneamente	temporalmente
dolori	dor
dolori	moito
specificamente	especificamente
attivata	activa
correttezza	xustiza
spontaneamente	espontaneamente
santità	santidade
manico	manexar
manico	arranxar
manico	mango
manico	facer
manico	diso
mutanti	mutantes
mutanti	mutante
persi	perdeu
persi	perderon
persi	perdín
persi	perdemos
persi	perdido
concentrarsi	centre
concentrarsi	centrarse
concentrarsi	centramos
concentrarsi	centrarme
concentrarsi	foco
concentrarsi	focalizar
degni	dignos
degni	respectábeis
separare	separar
legname	madeira
electronic	electrónica
electronic	electrónico
riporto	a
riporto	levar
lot	moito
lot	moita
lot	moitos
lot	moitas
carpenter	carpinteiro
abramo	abraham
ruba	roubar
liberati	liberado
liberati	liberados
liberati	editaron
mangia	comer
mangia	come
mangia	comen
mangia	come
cambogia	camboxa
cambogia	en
penetrare	penetrar
guadagna	gañar
udienza	que
udienza	oído
udienza	escoita
udienza	escoito
purezza	pureza
tirare	sacar
dozzina	ducias
dozzina	ducia
dozzina	de
segnate	marcados
reagire	reaccionar
reagire	reaccionaredes
reagire	reacciona
reagire	reaccionan
reagire	aos
reagire	ante
reagire	reaccionei
bontà	amabilidade
bontà	bondade
bontà	deus
bontà	bondade
ascolta	escoitar
ascolta	escoita
ascolta	escoite
honey	cariño
honey	rula
honey	meu
honey	ben
concordato	en
concordato	acordo
immobili	edificios
immobili	propiedades
pasto	comida
estreme	extremas
sovrana	soberanas
sovrana	soberana
connessioni	conexións
rising	aumento
pistole	armas
pistole	fusís
pistole	as
pistole	armados
pistole	metralladoras
scomparve	desapareceron
scomparve	desapareceu
decade	década
save	salvar
save	aforrar
save	salvalo
hay	feo
password	contrasinal
mutazione	mutación
breaking	mesmo
passeggiata	andar
passeggiata	camiñar
twitter	twitter
alunni	alumnos
alunni	alumnado
alunni	terceiro
kuwait	kuwait
sfortunatamente	desgrazadamente
sfortunatamente	por
sfortunatamente	desgraza
sfortunatamente	desafortunadamente
sottomarini	submarinos
libbre	kg
libbre	quilos
libbre	kilos
libbre	case
libbre	libras
libbre	tonelada
libbre	toneladas
sorpreso	abraiado
sorpreso	sorprendidos
sorpreso	sorprendeuse
sorpreso	sorprendeume
sorpreso	sorprende
sorpreso	sorprendido
christ	xesucristo
christ	cristo
christ	advindo
christ	están
christ	aos
christ	por
button	botón
fantastici	fantástico
fantastici	fantástica
mirror	o
mirror	espello
pollo	galiña
pollo	polo
pollo	pito
bersagli	obxectivos
bersagli	brancos
hook	todos
buca	buraco
buca	burato
buca	furado
buca	hole
nottingham	nottingham
urgenza	urxente
armature	armadura
yen	iens
molo	peirao
clint	clint
resistenti	resistentes
resistenti	resistente
sinclair	sinclair
ordinati	que
ordinati	atención
ordinati	pedimos
tradotte	traducido
parlate	falo
parlate	falar
parlate	falamos
parlate	fala
parlate	fale
parlate	con
sveglia	esperta
amazing	incrible
amazing	incribles
amazing	sorprendente
amazing	abraiante
amazing	o
amazing	marabilloso
amazing	asombroso
completati	os
ruby	ruby
gestite	se
gestite	facelo
confessioni	confesión
confessioni	confesións
immaginare	imaxinar
immaginare	imaxinade
immaginare	imaxina
immaginare	imaxinen
poemi	poemas
stock	depósito
paper	papel
paper	xornal
paper	artigo
sorprendente	sorprendente
sorprendente	sorprendentes
marroni	brown
marroni	marróns
marroni	marrón
marroni	claro
internationale	o
internationale	xénero
atmosfere	atmosfera
atmosfere	ambiente
ossido	nítrico
volata	sobre
toccato	tocan
toccato	están
toccato	tocar
toccato	a
toccato	tocáronme
marcato	marcados
ragionevole	sensible
ragionevole	razoable
ragionevole	razoábel
piacevole	agradábel
mancanti	a
mancanti	desaparecidos
mancanti	faltan
mancanti	falta
mancanti	perdidos
mancanti	faltaba
brain	cerebrais
brain	cerebro
brain	cerebral
reattori	reactor
primitivi	primitivos
primitivi	primitiva
primitivi	primitivo
bloccati	atascado
bloccati	que
bloccati	quedar
camicia	camisa
camicia	camiseta
serbatoi	tanques
lessico	vocabulario
succedendo	acontecendo
succedendo	acontecer
succedendo	ocorre
succedendo	pasa
succedendo	pasando
succedendo	a
destiny	destino
destiny	o
specialisti	especialista
crateri	cráteres
avanzati	avanzado
avanzati	avanzada
invenzioni	invento
invenzioni	invención
zimbabwe	cimbabue
zimbabwe	zimbawe
zimbabwe	zimbabwe
always	sempre
dong	dong
glucosio	glicosa
fallisce	falla
corner	esquina
corner	recuncho
olo	vello
cuoio	coiro
cuoio	o
eleganza	elegancia
fidanzamento	compromiso
convenzionali	convencional
tondo	redondo
tondo	redondos
tondo	xira
tondo	arredor
tondo	preto
appropriato	para
appropriato	máis
incursione	redadas
preferiti	favorito
preferiti	favoritos
preferiti	favorita
preferiti	preferido
complicato	complicado
complicato	complexas
complicato	complicadas
spera	esperanza
spera	esperanzas
salvati	se
salvati	salvado
salvati	a
salvati	salvou
salvati	salvei
salvati	salvaches
algoritmi	algoritmos
immenso	inmensa
tasca	peto
tasca	petos
filiale	póla
filiale	sucursal
hole	buraco
hole	burato
hole	furado
hole	hole
sparire	desaparecer
colture	cultivos
colture	culturas
protegge	protexe
protegge	a
macchinari	maquinaria
macchinari	máquinas
cappelli	sombreiros
gentili	tipo
gentili	como
gentili	clase
giamaica	xamaica
giamaica	jamaica
scomparire	desaparecendo
scomparire	desaparición
scomparire	desaparecer
cronista	xornalista
cronista	reporteiro
commessi	cometeu
commessi	cometido
commessi	cometiches
commessi	cometeses
commessi	cometer
commessi	compromiso
commessi	cometidos
commessi	comprometido
commessi	coa
inviate	enviar
inviate	a
hands	mans
hands	man
hands	as
nascoste	oculto
nascoste	oculta
nascoste	ocultas
nascoste	escondidos
nascoste	escondidas
profeti	profetas
rochester	rochester
reverendo	reverendo
viaggia	viaxa
viaggia	viaxes
preparati	preparada
preparati	listo
preparati	preparado
drum	drum
vissuta	vivimos
vissuta	viviron
vissuta	viviu
vissuta	viviamos
vissuta	vivían
vissuta	vivín
vissuta	vivía
selvaggia	salvaxe
selvaggia	salvaxes
much	canto
much	grazas
much	moito
much	máis
much	tanto
sunshine	sol
sunshine	luz
sunshine	do
holm	holm
ratto	rata
predicatore	sacerdote
coltura	cultivos
sonia	sonia
tagliata	cortar
rat	rata
pantaloni	pantalóns
pantaloni	pantalón
pantaloni	pantalóns
pantaloni	ruta
pantaloni	no
pantaloni	os
pantaloni	pantalón
pantaloni	brancos
auschwitz	auschwitz
ridere	rir
ridere	de
ridere	nunca
ridere	rir
ridere	risa
ridere	rían
convegni	conferencias
donovan	donovan
burn	queimalos
burn	queiman
burn	queimar
burn	queimade
sostenibile	sostible
giorgia	georgia
powers	poderes
privacy	privacidade
crescono	crecen
crescono	medrar
crescono	medran
crescono	cultivar
crescono	crecer
crescono	medra
educato	educado
educato	educados
riabilitazione	rehabilitación
rispettato	respectado
creatività	a
creatività	creatividade
creatività	creativo
creatività	creativos
creatività	creativa
creatività	creativas
pub	bar
sceneggiatori	escritores
schermi	pantallas
agricoltori	labregos
agricoltori	agricultores
saul	saúl
appartenevano	á
sessualità	sexual
pope	papa
picasso	picasso
clown	pallaso
gradini	pasos
gradevole	agradábel
leroy	leroy
uniformi	uniforme
tuta	para
tuta	satisfacer
tuta	traxe
oca	oca
oca	branca
povere	pobre
povere	pobres
prosperità	prosperidade
orologi	ve
orologi	reloxos
orologi	mira
suggerire	suxerindo
suggerire	que
suggerire	suxerir
suggerire	que
suggerire	suxiro
suggerire	propoñen
suggerire	suxiren
convinti	de
convinti	convencido
ripartizione	crise
ripartizione	depresión
fisiologia	fisioloxía
genetico	xenética
genetico	xenéticas
genetico	xenéticos
genetico	xenético
spiritualità	espiritualidade
ciurma	tripulación
ciurma	equipo
stanco	cansa
stanco	canso
dottori	os
dottori	médicos
dottori	doutores
dottori	médico
igiene	hixiene
bambola	boneca
violente	violentos
violente	violenta
violente	violentas
violente	violento
violente	violencia
congressi	congreso
wheeler	wheeler
stay	quedar
stay	ficar
stay	queda
molla	primavera
molla	a
strike	folga
strike	ataque
strike	¡
strike	que
strike	empece
caldi	calor
caldi	quentes
caldi	quente
caldi	cálida
bones	ósos
rocket	foguete
scuse	escusas
scuse	excusas
sconvolto	moi
sconvolto	preocupada
sconvolto	anoxado
sconvolto	está
sconvolto	enfade
sconvolto	enfades
marxista	marxista
divine	divino
divine	divina
sete	sede
sete	sede
innamorati	amantes
fondazioni	fundación
fondazioni	alicerce
fondazioni	alicerces
fondazioni	base
fondazioni	foundation
fondazioni	cimentos
fondazioni	transformado
gaga	gaga
disegnare	debuxar
disegnare	que
disegnare	os
disegnare	absorber
disegnare	sur
disegnare	debuxaría
disegnare	debuxo
aspettando	agardando
aspettando	espera
aspettando	a
aspettando	esperar
aspettando	esperando
aspettando	agardar
trip	a
trip	viaxe
oratore	♪
oratore	falante
favorite	favorito
favorite	favoritos
favorite	favorita
