sur	sur
tuvākā	lähin
tuvākā	lähimpään
tuvākā	lähimmän
tuvākā	lähimpänä
masačūsetsas	massachusettsin
failus	kansiot
failus	tiedostojen
failus	tiedostoja
failus	tiedostot
prezidentūras	puheenjohtajuus
neapoles	napolissa
neapoles	napolin
kaļķu	lime
genādijs	gennadi
čaka	cha
čaka	chaka
čaka	chuckin
čaka	chuck
uzstādīt	setti
uzstādīt	määritä
uzstādīt	asettaa
uzstādīt	aseta
uzstādīt	asetettu
uzstādīt	asennetaan
uzstādīt	asentaa
uzstādīt	asennus
uzstādīt	asennettu
uzstādīt	asennetut
uzstādīt	asennettuna
ceļojums	matkaa
ceļojums	matkan
ceļojums	matka
ceļojums	trip
ceļojums	reissu
ceļojums	matkan
ceļojums	matka
pastāvīga	pysyvää
pastāvīga	vakituinen
pastāvīga	pysyvä
tendence	suuntaus
tendence	taipumus
tendence	taipumusta
nogāzes	rinne
nogāzes	rinteet
noslēdz	sulkeutuu
noslēdz	suljetaan
noslēdz	sulkee
ienaidnieks	vihollisia
ienaidnieks	viholliset
ienaidnieks	vihollinen
ērgļi	eagles
pagātnes	mennyttä
pagātnes	menneet
pagātnes	ohi
pagātnes	menneisyys
piedzīvojumi	seikkailuja
piedzīvojumi	seikkailut
piedzīvojumi	seikkailuja
piedzīvojumi	seikkailu
piedzīvojumi	seikkailua
slāņi	kerroksia
atvērt	avaa
vārdnīcas	sanakirjat
izdzīvot	selvitä
izdzīvot	selviydy
gabriels	gabriel
gabriels	gabrielin
hiēnas	hyeenat
uzsver	korostetaan
uzsver	korostetaan
uzsver	painottaa
donavas	tonavan
auss	korvan
auss	korva
kviešu	vehnä
kviešu	vehnää
šaura	rajaa
šaura	ahdas
šaura	kapea
šaura	suppea
ribentropa	ribbentrop
ledu	jää
ledu	jäitä
ledu	jäät
ledu	jäätä
izgatavota	valmistettu
izgatavota	valmistetut
egejas	egeanmeren
ienākumus	tuotot
ienākumus	tulo
ienākumus	tulot
jaunākie	uusin
jaunākie	uusimmat
lode	luodin
lode	luoti
kvarca	kvartsia
akts	näytös
akts	säädös
akts	act
akts	toimi
galīgi	lopullisen
kaujinieku	taistelijoiden
kaujinieku	miliisi
pakešu	paketit
pakešu	paketteja
mainījies	muutettu
mainījies	muuttunut
mainījies	muutti
mainījies	vaihdettu
iepriekšējie	aikaisemmat
iepriekšējie	aiempi
iepriekšējie	edellinen
iepriekšējie	edelliset
iepriekšējie	aiemmat
plazmas	plasma
plazmas	plasman
horvātija	kroatia
horvātija	kroatian
zara	oksa
pētījums	oikeudenkäyntiä
pētījums	oikeudenkäynnin
pētījums	oikeudenkäynti
pētījums	tutkimus
pētījums	tutkimuksen
pētījums	opiskelu
pētījums	tutkimuksessa
pētījums	opiskella
derīgas	hyväkuntoinen
derīgas	sovi
nelsons	nelson
rasels	russell
halles	halle
irbe	partridge
pretiniekiem	vastustajien
pretiniekiem	vastustajat
pretiniekiem	vastustajia
nesaskaņas	erimielisyyttä
nesaskaņas	erimielisyydet
nesaskaņas	erimielisyydet
magnētisko	magneettinen
magnētisko	magneetti
tuvāko	lähin
tuvāko	lähimpään
tuvāko	lähimmän
tuvāko	lähimpänä
iziešanas	poistu
iziešanas	poistuminen
iziešanas	uloskäynti
iziešanas	poistuu
krusa	rakeita
fords	fordin
fords	ford
deivs	daven
deivs	dave
ķēde	ketjun
ķēde	ketjut
ķēde	ketjussa
ķēde	ketju
ķēde	piiri
ķēde	circuit
silīcija	pii
silīcija	piin
vatikāna	vatikaani
vatikāna	vatikaanin
apmaiņa	vaihtaa
apmaiņa	vaihtoon
apmaiņa	vaihto
apmaiņa	vaihtaminen
demonstrācijas	mielenosoitukset
demonstrācijas	mielenosoituksia
demonstrācijas	mielenosoitus
usb	usb
deviņu	yhdeksän
veiksmīgu	menestys
veiksmīgu	onnistui
veiksmīgu	menestynyt
veiksmīgu	onnistunut
england	englanti
england	englannin
england	englannista
england	englannissa
poznaņas	poznańin
dievi	jumalat
dievi	jumalia
turnīri	turnaukset
vera	vera
semjuels	samuel
petrovs	petrov
pretinieks	vihollisia
pretinieks	viholliset
pretinieks	vihollinen
pretinieks	vastustajat
pretinieks	vastustajaa
pretinieks	vastustaja
dziļāk	syvemmälle
nodrošināta	varmistettu
nodrošināta	turvattu
nodrošināta	vakuutti
augšpus	ylävirtaan
liktenis	kohtalon
liktenis	kohtalo
liktenis	destiny
liktenis	kohtalon
liktenis	kohtalo
liktenis	kohtaloa
vdk	kgb
drīzumā	kohta
drīzumā	pian
drīzumā	soon
drīzumā	tuleva
drīzumā	tulevia
drīzumā	tulevat
sēklu	siemeniä
sēklu	siemen
sēklu	siemenet
sēklu	siementen
gaļa	liha
gaļa	lihaa
sietlas	seattlen
sietlas	seattle
smiltis	hiekkaa
smiltis	hiekan
smiltis	hiekka
pievienoti	lisättiin
pievienoti	lisäsi
pievienoti	lisätty
pievienoti	liitetty
pievienoti	kiinnitetty
pievienoti	liitteenä
pievienoti	ohessa
tuvo	ohimenevä
tumša	dark
tumša	tumma
tumša	pimeä
tumša	pimeää
tumša	tumman
liepu	linden
novēro	tarkkailla
novēro	tarkkaile
papua	papua
varoņi	sankarit
varoņi	sankareita
hip	hip
hip	lantio
gēnu	gene
gēnu	geeni
romeo	romeo
zobenu	miekkaa
zobenu	miekan
zobenu	miekka
raidītāji	lähettimiä
bērnība	lapsuuden
bērnība	lapsuus
bērnība	lapsuudesta
departamentā	osasto
amatniecības	käsitöitä
euro	euron
euro	euroa
euro	euro
dvēsele	sielu
dvēsele	sielua
dvēsele	sielun
dvēsele	soul
atļauj	sallii
atļauj	mahdollistaa
atļauj	salli
atļauj	sallia
ericsson	ericsson
atsauca	vetäytyi
smags	raskasta
smags	painava
smags	raskas
smags	raskaat
smags	ankara
smags	vakavat
smags	vakava
bronza	pronssia
artis	artis
migla	sumu
migla	sumuinen
migla	sumun
migla	sumu
migla	sumua
krava	kuorma
krava	lataa
krava	kuormitus
krava	lastia
krava	lastin
krava	lasti
krava	rahti
krava	rahtia
krava	rahdin
krava	tavaraliikenteen
krava	rahti
krava	rahtia
iekšzemē	sisämaan
iekšzemē	kotimaassa
sēž	istuu
sēž	istuva
sēž	istunto
sēž	istunnon
sēž	istuu
ieguldījums	investointeja
ieguldījums	sijoitukset
ieguldījums	sijoitus
ieguldījums	investoinnit
ieguldījums	investointi
runu	puhe
runu	puhetta
runu	puheenvuoro
militāri	armeija
militāri	sotilas
militāri	sotilaallinen
militāri	armeijan
militāri	sotilaallisesti
redakcija	versio
redakcija	version
redakcija	versiota
somālijas	somalian
somālijas	somaliassa
somālijas	somalian
sadaļas	jaksot
sadaļas	kappaleet
sadaļas	luvut
advokātu	juristi
advokātu	lakimies
advokātu	asianajaja
darbnīca	työpaja
rīku	varusteet
rīku	vaihde
ženēvas	geneven
ženēvas	genevessä
zemesraga	canaveral
meksika	meksikossa
meksika	meksiko
meksika	meksikoon
meksika	meksikon
pusvadītāju	puolijohde
pusvadītāju	puolijohteet
skudru	muurahaisia
zirgam	hevonen
zirgam	hevosella
zirgam	hevosen
pozitīvi	positiiviset
pozitīvi	myönteinen
pozitīvi	positiivinen
pozitīvi	positiivista
atzīmēta	merkitty
atzīmēta	merkityt
mednieki	metsästäjiä
mednieki	metsästäjät
vērsts	suunnattu
vērsts	kohdistettu
vērsts	kohdennettu
vērsts	suuntautunut
mantas	tavaraa
mantas	meininkiä
mantas	juttuja
vilces	veto
vilces	työntövoima
izteiktas	lausutaan
pierādījumu	todisteet
pierādījumu	todistus
pierādījumu	todisteita
pierādījumu	todiste
kristietība	kristinusko
dzēšanu	poistaminen
dzēšanu	poisto
dzēšanu	poistamista
izvairās	välttää
izvairās	vältetään
stiprs	vahvat
stiprs	vahva
stiprs	vahvaa
stiprs	voimakas
zoo	eläintarha
olimpiāde	olympialaiset
nulle	zero
nulle	nolla
aprīkots	asennettu
aprīkots	varustettu
disney	disney
zaļas	vihreä
zaļas	vihreät
zaļas	vihreää
lists	liszt
elza	elsa
zum	zum
ņem	ottaa
ņem	ota
ņem	otetaan
pievienošanas	sisällyttäminen
tava	sinun
alianse	liitto
alianse	allianssi
etc	jne
apkārtmērs	ympärysmitta
apkārtmērs	kehä
arābi	arabit
raktuves	miinoja
raktuves	minun
raktuves	miina
raktuves	kaivos
kāpnes	tikkaita
kāpnes	tikkaat
kāpnes	tikkaita
kāpnes	tikkaat
kāpnes	portaita
kāpnes	portaat
gana	ghana
vesels	koko
vesels	kokonaisena
vesels	kokonainen
vesels	kokonaiset
virsbūves	korin
virsbūves	kori
virsbūves	elimet
virsbūves	ruumiita
virsbūves	elinten
virsbūves	ruumiit
parametrs	parametri
militārie	armeija
militārie	sotilas
militārie	sotilaallinen
militārie	armeijan
dzīvoklī	kämppä
dzīvoklī	asunnon
dzīvoklī	asunto
dzīvoklī	huoneisto
iestāšanās	liittymistä
iestāšanās	liittyminen
leļļu	nukke
leļļu	nukkekoti
vistas	kanat
vistas	kanaa
vistas	kana
vistas	kanat
vistas	kanoja
īpatņu	yksilöt
īpatņu	yksilöiden
deklarācija	julistus
deklarācija	julistuksen
deklarācija	julkilausuma
deklarācija	ilmoitus
islandē	islantiin
islandē	islannissa
islandē	islanti
islandē	islannin
savādāk	muutoin
savādāk	muuten
pjedestāla	jalusta
autonomijas	autonomian
autonomijas	riippumattomuus
autonomijas	itsenäisyys
paradīzes	paratiisi
vēsturisks	historialliset
vēsturisks	historiallista
vēsturisks	historiallinen
vēsturisks	historialliset
vēsturisks	historiallista
vēsturisks	historiallinen
panorāma	panorama
atmosfēra	ilmakehä
atmosfēra	ilmapiiri
atmosfēra	tunnelma
atmosfēra	tunnelmaa
eva	eva
astoņiem	kahdeksan
mobilais	mobile
mobilais	liikkuva
mobilais	liikkuvat
mobilais	matkapuhelin
inovācijas	innovaatiot
inovācijas	innovaatioita
inovācijas	innovaatiot
inovācijas	innovaatio
dītrihs	dietrich
bolīvijas	bolivian
seju	ilme
seju	naama
seju	kasvot
seju	naamaa
seju	face
salo	salo
pārvaldnieks	esimies
pārvaldnieks	managerin
pārvaldnieks	johtaja
pārvaldnieks	manageri
dem	dem
primārais	ensisijainen
darījumu	tapahtuma
diplomu	tutkinto
diplomu	diplomi
bono	bono
brūss	bruce
tunelis	tunneli
tunelis	tunnelin
peldētājs	pelastaja
peldētājs	uimari
čigānu	gipsy
šekspīra	shakespearen
šekspīra	shakespeare
šekspīra	shakespearea
konkrēti	nimenomaan
konkrēti	nimenomaisesti
pastāvīgā	pysyvää
pastāvīgā	vakituinen
pastāvīgā	pysyvä
beidzies	vanhentunut
beidzies	vanhentuneet
beidzies	päättynyt
fiat	fiat
glonass	glonass
gregorijs	gregory
trans	trans
vārnas	varikset
atdalīta	erotettu
atzītas	tunnustettu
atzītas	tunnistin
atzītas	tunnisti
atzītas	tunnustettu
skolēniem	oppilaat
skolēniem	oppilaiden
skolēniem	oppilaita
žils	jules
džims	jim
džims	jukka
asambleja	edustajakokouksen
asambleja	kokoonpano
asambleja	kokoontuminen
kāzas	häät
kāzas	häitä
kāzas	häissä
kāzas	häät
kāzas	häitä
zane	zane
vidējs	keskikokoinen
tehniski	teknisesti
mēģinājumu	harjoituksiin
mēģinājumu	harjoitukset
mēģinājumu	harjoitus
žogs	aitaa
žogs	aita
žogs	aidan
flāmu	flanderin
gazprom	gazprom
silts	lämpimät
silts	lämmintä
silts	lämmin
karogi	liput
karogi	lippuja
gārnis	heron
rita	ritan
rita	rita
četrdesmit	neljäkymmentä
četrdesmit	forty
stadijas	vaiheissa
stadijas	vaiheita
stadijas	vaiheet
delfi	delphi
pamiers	aselepo
pamiers	aselepo
pamiers	tulitauko
pamiers	aselepo
pamiers	aselevon
linu	pellava
akmeņi	kiviä
akmeņi	kivet
akmeņi	kivistä
akmeņi	kiviä
akmeņi	kivet
honda	honda
abba	abba
signālus	signaalit
signālus	signaaleja
galatasaray	galatasaray
sodīts	rangaista
pacers	pacers
mati	karva
mati	hiukset
mati	tukka
mati	hiuksia
senas	muinainen
senas	muinaiset
senas	antiikin
senas	ikivanha
eric	eric
eric	ericin
budistu	buddhalainen
džeralds	gerald
parakstīt	allekirjoitus
parakstīt	merkki
parakstīt	allekirjoittaa
parakstīt	allekirjoita
donalds	donald
donalds	aku
irāka	irak
irāka	irakin
irāka	irakista
biologs	biologi
anita	anita
jeruzalemes	jerusalemin
jeruzalemes	jerusalemissa
dens	dan
dens	danin
neparasti	epätavallinen
neparasti	erikoinen
neparasti	epätavallista
bioloģiskā	biologinen
vienalga	jokatapauksessa
piektajā	viidenneksi
piektajā	viides
tipisks	tyypillistä
tipisks	tyypillisiä
tipisks	tyypillinen
niedru	reedin
niedru	reed
vēlu	myöhäinen
vēlu	myöhässä
vēlu	myöhään
vienoties	hyväksy
vienoties	sovittava
hipotēze	hypoteesi
hipotēze	olettamus
platumā	leveys
manuels	manuel
dienvidi	etelä
dienvidi	etelään
ražoti	tuotetut
ražoti	tuotettu
ražoti	tuottanut
ražoti	valmistettu
ražoti	valmistetut
medībās	metsällä
medībās	metsästämässä
medībās	metsästystä
medībās	metsästys
abinieku	sammakkoeläimet
lūiss	lauri
lūiss	lewis
lūiss	lewisin
paaugstināta	lisääntynyt
paaugstināta	kasvoi
zviedriem	ruotsalaiset
pieraksts	tilausta
pieraksts	tilaus
locītavas	nivelten
mao	mao
trīspadsmit	kolmetoista
trīspadsmit	thirteen
drošu	turvassa
drošu	kassakaappi
drošu	turvallista
drošu	turvallinen
sēru	suru
sēru	suree
sēru	surun
fantāzijas	fantasia
fantāzijas	fantasioita
lauksaimniecība	maatalouden
lauksaimniecība	maatalous
apzināti	tietoisesti
apzināti	tahallisesti
apzināti	tahallaan
apzināti	tarkoituksellisesti
apzināti	tarkoituksella
apzināti	tahallaan
apzināti	tarkoituksellisesti
apzināti	tietoisesti
apzināti	tahallista
apzināti	tahallinen
ievads	esittely
ievads	käyttöönotto
ievads	johdanto
čaulas	shell
čaulas	kuori
čaulas	kuoret
dziļu	syvällistä
kopīgas	jakanut
kopīgas	jakoi
kopīgas	jaettu
kopīgas	jaetut
senioru	seniorit
milzīga	valtava
milzīga	valtavat
milzīga	suunnaton
milzīga	valtava
milzīga	massiivinen
milzīga	valtava
lāci	nalle
lāci	karhu
lāci	karhua
pagrīdes	boardwalk
radošo	luova
radošo	luovaa
pārtrauc	keskeyttää
sūtīt	lähetä
sūtīt	lähettää
iekšējais	sisustus
iekšējais	sisäistä
iekšējais	sisäisen
iekšējais	sisäinen
iekšējais	sisäiset
iekšējais	sisäinen
sandra	sandra
pārtraukums	riko
pārtraukums	rikkoa
pārtraukums	tauko
pārtraukums	keskeytys
pārtraukums	keskeyttäminen
pārtraukums	keskeyttää
slēpjas	piilossa
ķirurgs	kirurgi
ķirurgs	kirurgin
dzeltenais	keltainen
dzeltenais	keltaisia
dzeltenais	keltaiset
silver	hopea
silver	hopeaa
silver	hopeinen
silver	silver
augumu	pituus
augumu	korkeuden
augumu	korkeus
oriģinālā	alkuperäinen
oriģinālā	alkuperäiset
peldēšanas	uimassa
peldēšanas	uinti
peldēšanas	uimaan
pētnieku	tutkijan
pētnieku	tutkija
sacenšas	kilpailla
sacenšas	kilpaile
sacenšas	kilpailee
sacenšas	kilpailevien
sacenšas	kilpailevat
kristāliska	kiteinen
rasu	rotu
rasu	rotuun
kritēriji	perusteet
kritēriji	kriteerit
mareks	marek
svītras	raidat
siltāks	lämpenee
siltāks	lämpimämpää
zēns	poika
palestīniešu	palestiinan
palestīniešu	palestiinalaiset
paskaidrojumi	selitykset
paskaidrojumi	selityksiä
brīvs	ilmaista
brīvs	ilmainen
brīvs	vapaa
brīvs	free
brīvs	ilmaiseksi
bagātīgi	runsasta
bagātīgi	runsas
bagātīgi	runsaasti
pazuda	kadonnut
pazuda	katosi
pazuda	kadonneet
iegādāts	hankittu
iegādāts	osti
iegādāts	ostettu
peldēšana	uimassa
peldēšana	uinti
peldēšana	uimaan
golden	golden
golden	kultaiset
golden	kultainen
alejas	gallerioita
līdakas	pike
izstrādāti	kehittynyt
izstrādāti	kehitetty
izstrādāti	kehittyneet
izstrādāti	kehitettiin
katastrofas	katastrofien
pavēlnieks	lordin
pavēlnieks	herra
pavēlnieks	lordi
vienādojumu	yhtälö
organisms	organismin
organisms	organismi
eca	eca
sudānas	sudanin
plānota	ajoitettu
plānota	suunnitteilla
plānota	suunnitellut
plānota	suunniteltu
slēgt	lukko
slēgt	lukitus
hēlija	helium
#ff	#ff
atpazīstamību	renown
bayer	bayer
piepilsētas	esikaupunki
strēlnieki	jousimiehet
piesaistīt	houkutella
kopija	kopioi
kopija	kopio
pievienotas	liitetty
pievienotas	kiinnitetty
pievienotas	liitteenä
vīrusu	virus
vīrusu	viruksen
vīrusu	virukset
vīrusu	virus
vīrusu	viruksen
vīrusu	virusta
būtiskas	välttämätöntä
būtiskas	oleellinen
būtiskas	olennainen
laikapstākļi	sää
laikapstākļi	keli
izpratni	ymmärtää
izpratni	yhteisymmärrys
izpratni	ymmärtäminen
izpratni	ymmärrys
izpratni	ymmärtäväinen
izpratni	ymmärrystä
laima	lime
sulu	juice
sulu	mehu
sulu	mehua
asamblejas	edustajakokouksen
asamblejas	kokoonpano
asamblejas	kokoontuminen
sēdes	istuva
sēdes	istunto
sēdes	istunnon
sēdes	istuu
sēdes	kokoukset
sēdes	tapaamiset
sēdes	kokouksiin
sēdes	istunnot
bot	botit
vienādojums	yhtälö
pateikt	sano
mākslīgā	keinotekoista
mākslīgā	keinotekoisia
mākslīgā	keinotekoinen
akli	sokeita
akli	sokeaa
akli	sokea
akli	sokeasti
pierre	pierre
regulāra	säännöllisesti
regulāra	tavallinen
regulāra	säännöllinen
regulāra	säännölliset
uzlabo	parannetaan
uzlabo	parantamalla
uzlabo	parantaa
uzlabo	parantaminen
uzlabo	parannetaan
uzlabo	parannettava
uzlabo	paranna
uzlabo	parantaa
plāksnes	laatat
plāksnes	lautaset
plāksnes	lautasia
plāksnes	levyt
plāksnes	kilvet
plāksnes	kilpi
plāksnes	lautanen
plāksnes	lautasen
plāksnes	laatta
kēnigsbergas	königsberg
reikenens	räikkönen
garīgais	henkinen
garīgais	henkistä
garīgais	hengellinen
džonijs	johnny
džonijs	jonny
aptieka	apteekista
aptieka	apteekki
ronis	sinetti
ronis	sinetin
cēzara	caesar
oksīdu	oksidi
juridiski	oikeudellisesti
juridiski	laillisesti
absolūti	ehdottomasti
tēvam	isä
civilā	siviili
civilā	siviili
misisipi	mississippi
atrisināt	ratkaistu
atrisināt	ratkaisi
atrisināt	ratkaista
atrisināt	ratkaise
atrisināt	ratkaista
atrisināt	ratkaise
atrisināt	ratkaisee
nvs	cis
datori	tietokoneita
datori	tietokoneet
reģistrētas	rekisteröity
reģistrētas	kirjattu
reģistrētas	rekisteröityä
reģistrētas	rekisteröidyt
ieiet	kirjoita
drošība	vartiointi
drošība	turvallisuus
drošība	turva
drošība	turvallisuuden
drošība	turvallisuutta
drošība	turvallisuus
atkarību	riippuvuus
atkarību	riippuvuuden
atkarību	riippuvuutta
procesora	suoritin
procesora	cpu
atcelt	peruuttaa
atcelt	perua
atcelt	peru
talantu	lahjakkuus
talantu	kyky
zīmēšanas	piirustus
zīmēšanas	piirros
zīmēšanas	piirtää
piens	maidon
piens	maito
piens	maitoa
avīzē	lehti
avīzē	sanomalehti
avīzē	sanomalehteä
tavu	sinun
īsāks	lyhyemmän
īsāks	lyhyempi
civilās	siviili
civilās	siviili
precīzs	tarkka
precīzs	täsmällinen
precīzs	tarkat
precīzs	tarkkaa
precīzs	tarkka
precīzs	tarkka
precīzs	tarkat
diplomātiskās	diplomaattinen
diplomātiskās	diplomaattiset
diplomātiskās	diplomaatti
reperis	räppäri
trauku	lautanen
trauku	lautasen
trauku	astia
luna	luna
lerijs	larryn
lerijs	larry
parakstīšanas	allekirjoitus
parakstīšanas	allekirjoittaa
parakstīšanas	allekirjoittaminen
rīki	välineitä
rīki	välineet
rīki	työkalut
rīki	työkaluja
rīki	vaihdetta
rīki	rattaat
intervijā	haastatteluun
intervijā	haastattelussa
intervijā	haastattelun
intervijā	haastattelu
rīkles	kurkun
rīkles	kurkku
garāka	pidemmän
garāka	pidempi
garāka	pitempi
gazols	gasol
toyota	toyota
apturēta	pysäytetty
apturēta	keskeytetty
apturēta	tauolla
apturēta	keskeytetty
atzīmē	toteaa
atzīmē	muistiinpanot
atzīmē	muistiinpanoja
atzīmē	huomautuksia
atzīmē	huomautukset
aicina	soittaa
aicina	kutsuu
aicina	kutsuja
aicina	kutsut
aicina	kutsuu
aizliegums	kieltää
aizliegums	kiellä
aizliegums	kielto
aizliegums	kieltäminen
aizliegums	kielto
aizliegums	kieltäminen
klārks	clarke
klārks	clarken
klārks	clarkin
klārks	clark
koncepciju	käsite
koncepciju	konsepti
vienmērīgi	tasaisesti
ieroci	tykki
ieroci	pyssy
ieroci	ase
slepkavību	murha
slepkavību	murhaa
slepkavību	murhat
las	las
gaga	gaga
samazinājies	kaatunut
samazinājies	langennut
samazinājies	putosi
samazinājies	pudonnut
samazinājies	kaatui
samazinājies	kieltäytyi
samazinājies	kieltäytynyt
šūmahers	schumacher
grenlandes	grönlannin
normandijas	normandian
garšu	maista
garšu	maku
garšu	makua
step	vaihe
step	askel
step	astu
veikalā	kauppa
veikalā	shop
pašreizējie	tämänhetkinen
pašreizējie	tämänhetkiset
pašreizējie	nykyiset
pašreizējie	nykyinen
procedūras	menettelytavat
procedūras	menettelyjä
procedūras	menettelyt
procedūras	menetelmät
atlikušās	jäljellä
tuberkulozes	tuberkuloosin
tuberkulozes	tuberkuloosi
skeleta	luuranko
jostas	vyöt
porsche	porsche
zināt	tietää
zināt	tiedä
bazilika	basil
bazilika	basilica
dala	jaettuna
dala	jaettu
izšķilšanās	syntyminen
izšķilšanās	syntymistä
izcili	loistava
izcili	loistavaa
izcili	erinomainen
izcili	erinomainen
apvienotais	yhdistetyt
apvienotais	yhdistetty
līknes	käyriä
joahims	joachim
zebiekste	näätä
salīdzināt	vertaa
salīdzināt	vertailla
salīdzināt	verrata
tiesneši	tuomarit
tiesneši	tuomareita
rex	rex
aģents	agentti
žurnāliste	lehtimies
žurnāliste	toimittaja
žurnāliste	journalisti
romans	roman
romans	roomalainen
romans	rooman
pārklājas	päällekkäisyyksiä
pārklājas	päällekkäisiä
pārklājas	päällekkäisyyttä
pārklājas	päällekkäisyyksiä
elektriskais	sähköllä
elektriskais	sähkö
elektriskais	sähköinen
elektriskais	sähköiset
ieee	ieee
palīdzot	auttaminen
palīdzot	auttaa
atpazīt	tunnista
atpazīt	tunnistettavissa
atpazīt	tunnista
atpazīt	tunnustettava
made	tehdyt
made	tehty
made	valmistettu
made	made
uzrakstīts	kirjoitettu
uzrakstīts	kirjalliset
taisnstūra	suorakulmion
taisnstūra	suorakaiteen
ūdenskritums	vesiputous
personība	identiteetin
personība	identiteetti
personība	henkilöllisyys
personība	persoonallisuus
personība	luonne
personība	persoona
intensīva	intensiivinen
intensīva	voimakasta
intensīva	voimakas
maņu	aistit
maņu	aisti
pēcnācējiem	jälkeläinen
pēcnācējiem	jälkeläisiä
ieslodzījuma	vankeutta
ieslodzījuma	vankeus
ieslodzījuma	vankeuteen
ērti	kätevä
ērti	kätevää
ērti	mukavat
amsterdamas	amsterdam
amsterdamas	amsterdamiin
amsterdamas	amsterdamissa
amsterdamas	amsterdamin
gudrības	viisaus
gudrības	viisauden
gudrības	viisautta
mute	suun
mute	suu
ziemeļi	pohjoinen
ziemeļi	pohjoiseen
ziemeļi	pohjois
sarkani	punaiset
sarkani	punainen
sarkani	punaista
sarkani	red
optisko	optinen
optisko	optiset
sauss	kuivaa
sauss	kuivat
sauss	kuiva
noliktava	varastossa
noliktava	varasto
sazināties	yhteyttä
sazināties	yhteyshenkilö
sazināties	yhteystiedot
sazināties	kommunikoida
praksi	harjoitus
praksi	harjoitukset
praksi	käytäntö
praksi	käytännön
nodoklis	velvollisuus
nodoklis	tulli
nodoklis	veroja
nodoklis	verotus
nodoklis	vero
nodoklis	verot
dobumu	reikiä
dobumu	reiät
kandidatūru	ehdokkuutta
dāma	kuningatar
dāma	queen
dāma	neito
dāma	lady
ražotāji	tuottajia
ražotāji	valmistajat
ražotāji	tuottajat
ražotāji	valmistajien
ražotāji	valmistajat
solis	vaihe
solis	askel
solis	astu
iedzīvotājs	kotimaiset
iedzīvotājs	kotimainen
iedzīvotājs	asukas
vērts	arvoinen
vērts	kannattaa
vērts	arvoinen
kuģniecības	toimitus
kuģniecības	shipping
vakuuma	tyhjiö
hipotēzi	hypoteesi
hipotēzi	olettamus
apvienojas	yhdistäminen
apvienojas	yhdistä
apvienojas	yhdistää
apvienojas	yhdistetään
apvienojas	yhdistäminen
apvienojas	yhdistyminen
palikusi	vasemmalle
palikusi	vasen
palikusi	vasemmalla
apsūdzēja	syytetty
apsūdzēja	syytetyt
apsūdzēja	syytettynä
florida	floridassa
florida	floridaan
florida	florida
florida	floridasta
florida	floridan
matricas	matriisi
kopenhāgenā	kööpenhaminassa
kopenhāgenā	kööpenhaminan
kopenhāgenā	kööpenhamina
visilgāk	pisin
izīrēts	vuokrasi
izīrēts	vuokrattu
finansiāli	taloudellisesti
kaķiem	kissoja
kaķiem	kissat
arheologs	arkeologi
laulība	avioliiton
laulība	avioliitto
ieviešana	toteuttaminen
ieviešana	täytäntöönpanon
ieviešana	täytäntöönpanoa
ieviešana	täytäntöönpano
ieviešana	toteutus
sasniegumu	saavutus
sasniegumu	saavuttaminen
