оперативной	pagpapatakbo
дэнни	danny
дэнни	denny
секция	section
секция	seksyon
секция	seksiyon
десятка	sampung
десятка	sampu
десятка	dosenang
десятка	dosena
десятка	dozen
нацистской	nazi
господин	mister
господин	dominus
богатых	mayaman
богатых	rich
богатых	mayayaman
богатых	yaman
богатых	mayayamang
сау	sau
биология	biology
биология	biyolohiya
акулы	sharks
акулы	pating
диалектов	dialects
сложность	nahirapan
прибытия	pagdating
прибытия	arrival
осло	oslo
расписание	iskedyul
расписание	schedule
введено	nagpakilala
введено	pinakilala
введено	nagpasimula
введено	ipinakilala
квантовой	kabuuan
джонатан	jonathan
разрыв	puwang
разрыв	gap
пошла	nagpunta
богослов	teologo
эволюция	evolution
эволюция	ebolusyon
подписания	pirmahan
подписания	signing
подписания	lagda
подписания	pirma
леонардо	leonardo
дипольный	dipole
сеньор	señor
водитель	driver
водитель	drayber
постоянная	permanente
постоянная	permanent
постоянная	constant
монахов	monks
паоло	paolo
завоевать	conquer
завоевать	lupigin
завоевать	masakop
вино	alak
откровенно	lantaran
прожил	nanirahan
прожил	tumira
рабов	alipin
формируется	pagbabalangkas
боливии	bolivian
боливии	bolivia
популярная	popular
популярная	sikat
фрегезия	freguesia
шейх	sheikh
шейх	sheik
охлаждения	pampalamig
охлаждения	pagpapalamig
путешественник	traveler
путешественник	manlalakbay
путешественник	traveller
путешественник	manlalakbay
гаити	hayti
гаити	haiti
арсенал	arsenal
отбор	selection
отбор	pagpili
заменена	pinagpalit
заменена	pinalitan
автономии	autonomy
мадам	madam
мадам	madame
молока	gatas
молока	milk
специалиста	espesyalista
словари	dictionaries
длительность	tagal
окончательный	pinal
окончательный	pangwakas
окончательный	final
окончательный	panghuling
мера	sukatin
мера	masukat
департаменты	departamento
фазы	phases
рекорды	records
рекорды	talaan
меню	menu
меню	menu
вилли	willy
вилли	willi
вилли	willie
хлеба	tinapay
куча	heap
кислот	acids
дословно	verbatim
археологических	archaeological
сорока	apatnapu
сорока	dominiko
соблюдать	masdan
соблюдать	pagmasdan
наталия	natalia
приносит	nagdadala
дерби	derby
голода	istarbasyon
голода	gutom
испанию	espanya
испанию	spain
ассамблеи	assemblies
ассамблеи	assembly
ассамблеи	pagpupulong
ассамблеи	pagtitipon
фернандес	fernandez
фернандес	fernández
фернандес	fernandes
снаружи	labas
археолог	archaeologist
отмечена	tinang
отмечена	tinag
отмечена	minarkahan
баскетбол	basketbol
баскетбол	basketball
константинополь	constantinople
гектаров	hectares
предпочтение	kagustuhan
общение	komunikasyon
встретились	nagkita
встретились	met
встретились	nakilala
джефф	geoff
джефф	jeff
абд	abd
луч	beam
противоречия	kontradiksiyon
аст	ast
амстердам	amsterdam
эми	amy
антуан	antoine
цветок	bulaklak
философские	pilosopiko
частная	pribado
частная	pribadong
цру	cia
калия	potassium
ленте	feed
морган	morgan
прокурор	prosecutor
мигель	miguel
равных	pantay
равных	katumbas
равных	equals
коммуне	commune
сомали	somalia
сомали	somali
арк	arc
арк	kaban
чай	tsaa
чай	tsa
этапы	phases
этапы	yugto
этапы	hakbang
этапы	steps
этапы	pangyayari
родственники	relatives
родственники	kamaganak
содержащий	naglalaman
доверие	tiwala
доверие	kagitingan
доверие	magtiwala
доверие	pinagkakatiwalaan
доверие	tiwala
доверие	trust
интерьер	panloob
уничтожено	nawasak
мэтт	matt
блоки	blocks
михаэль	michael
аргентинский	argentinian
хью	hugh
леопольд	leopold
склоне	libis
сер	sir
нормальная	normal
нос	ilong
произношение	pagbigkas
произношение	bigkas
наследника	tagapagmana
пит	pete
адама	adam
адама	adan
ионизации	ionization
уверенно	kompiyansa
уверенно	nakatitiyak
кукол	dolls
луций	lucio
зерна	butil
зерна	butil
еврейские	jewish
габриэль	gabriel
габриэль	gabrielle
дракон	dragon
тенденции	uso
монархии	monarkiya
разбил	eskandalo
пекин	beijing
девочек	girls
дарья	daria
жозе	jose
жозе	jose
жозе	josé
поставки	padala
поставки	suplay
поставки	supply
поставки	supplies
поставки	suplay
грудь	dibdib
грудь	dibdib
грудь	suso
грудь	suso
интересует	interesado
бросил	iniwan
бросил	bumato
самолет	eroplano
самолет	plane
самолет	eroplano
самолет	airplane
самолет	eroplano
картер	carter
противостояние	gulo
противостояние	pagsalungat
изабелла	isabel
изабелла	isabel
изабелла	isabella
союзники	allies
заговора	conspiracy
грузинская	georgian
расчёт	pagkalkula
расчёт	kalkulahin
хотела	wanted
чудо	marvel
чудо	himala
чудо	milagro
чудо	miracle
чудо	taka
чудо	nagtataka
чудо	wonder
юристы	abogado
четвёртая	ikaapat
четвёртая	fourth
рак	kanser
редкие	bihirang
редкие	bihira
доходы	kita
доходы	kita
доходы	income
миссури	missouri
алматы	almaty
первоначальный	initial
первоначальный	inisyal
поддерживается	sinusuportahan
поддерживается	suportado
поддерживается	sumusuporta
потребления	consumption
потребления	paggamit
женское	pambabae
женское	babae
женское	female
университеты	unibersidad
привлечения	nakakahikayat
привлечения	maakit
привлечения	akit
вместимость	kapasidad
вместимость	makayanan
вместимость	kakayahan
венесуэла	venezuela
заговор	balangkas
заговор	conspiracy
добавлен	naidagdag
добавлен	idinagdag
монтаж	tumataas
монтаж	editing
программирование	programming
торжественно	taimtim
вселенная	sansinukob
вселенная	universe
панели	panel
панели	panel
бизнесмен	businessman
бизнесмен	negosyante
резерва	reserve
резерва	reserba
зимние	taglamig
зимние	winter
бич	haya
бич	dalampasigan
бич	beach
оливер	oliver
слышал	nakarinig
слышал	narinig
сун	sun
сун	araw
горький	bitter
горький	mapait
удобно	maginhawa
удобно	komportable
удобно	kumportable
лёгкие	baga
лёгкие	baga
послание	mensahe
послание	message
препарат	droga
препарат	drug
произведено	ginawa
океании	oceania
скрипка	violin
избежание	iwas
избежание	umiiwas
избежание	iwasan
молекулы	molecule
молекулы	molecules
скрипач	violinist
скрипач	fiddler
азербайджанская	azerbaijani
допускается	pinahintulutan
допускается	pinayagan
допускается	pinapayagang
допускается	pinapayagan
допускается	pinahihintulutang
собраний	assemblies
померания	pomerania
терминологии	terminolohiya
сложнее	harder
монреаль	montreal
вены	vienna
бонус	bonus
ирак	iraq
стамбул	istanbul
кнессета	knesset
гнездо	pugad
индию	india
стратегия	estratehiya
стратегия	diskarte
специальность	specialty
специальность	espesyalidad
важная	kahalaga
важная	mahalaga
холокоста	holocaust
никарагуа	nicaragua
массе	mass
массе	misa
массе	masa
представительство	representasyon
представительство	pagsasalarawan
местная	lokal
сообщили	naiulat
сообщили	iniulat
сообщили	inulat
перес	peres
перес	perez
перес	pérez
маркус	marcus
маркус	markus
адъютант	adjutant
энрике	enrique
уничтожен	nawasak
розы	roses
розы	rosas
национальностей	nationalities
визит	puntahan
визит	pagbisita
уругвай	uruguay
виконт	vicomte
виконт	biskonde
трактат	tratado
индиана	indiana
пабло	pablo
канзас	kansas
цветной	colored
цветной	kulay
цветной	coloured
самолета	eroplano
разрушение	demolition
разрушение	destruction
дина	dina
обновления	updates
обновления	update
обновления	update
колонна	hanay
колонна	haligi
ахмад	ahmad
объявления	anunsyo
объявления	ads
объявления	patalastas
персидского	persian
предположения	palagay
предположения	pagpapalagay
рики	ricky
живет	buhay
живет	lives
живет	nakatira
полости	cavity
монголия	mongolia
перемещения	displacement
гамма	gamma
ссылаясь	citing
профсоюзов	unyon
гроссмейстер	grandmaster
посвященный	nakatutok
посвященный	dedikado
забыл	nakalimutang
забыл	nakalimutan
забыл	nakalimutan
последовало	sinusubaybayan
последовало	sumunod
последовало	sinundan
тропических	tropikal
изменилась	nagbago
изменилась	binago
изменилась	pinalitan
долг	duty
долг	tungkulin
долг	utang
откат	kickback
ален	allen
ален	alain
бернар	bernard
беременности	pagbubuntis
полезные	makatutulong
полезные	nakatulong
полезные	nakakatulong
совместное	dugtong
совместное	pinagsamang
лонг	mahaba
лонг	matagal
лонг	haba
полезно	makatutulong
полезно	nakatulong
полезно	nakakatulong
санчес	sanchez
санчес	sánchez
гэри	gary
инфраструктура	imprastraktura
металл	metal
уход	care
ребята	guys
шире	wider
скалы	cliffs
скалы	bato
домашний	tahanan
домашний	bahay
домашний	makauwi
лунный	lunar
комиссара	commissioner
оскорбление	lait
марс	marte
марс	mars
перечислены	nakalista
перечислены	inilista
расти	rusty
расти	lumago
расти	paglaki
расти	paramihin
моды	moda
моды	fashion
моды	mods
применить	apply
применить	ilapat
преподавания	pagtuturo
сервера	server
зарегистрировано	nakarehistro
единое	unified
этнографии	etnograpiya
рекомендую	irekomenda
комбинации	kumbinasyon
комбинации	kombinasyon
указатель	index
рог	sungay
поместье	manor
поместье	estate
различие	pinagkaiba
различие	pagkakaiba
зла	evil
зла	masama
зла	kasamaan
окружение	kapaligiran
окружение	paligid
адриан	adrien
адриан	adrian
порода	lahi
альманах	almanac
хранение	pagkontrol
хранение	imbakan
хранение	storage
возможен	maaari
возможен	posible
возможен	possible
возможен	maari
возможен	posibleng
жертву	alay
коалиция	samahan
коалиция	coalition
спорить	argue
документальных	documentary
правильное	tama
правильное	correct
правильное	itama
исследовал	explore
пропаганда	propaganda
зубы	ngipin
треки	track
специализированных	espesyal
кучу	tumpok
кучу	pagtira
кучу	buntong
ущелье	gorge
доминик	dominic
доминик	dominique
шахматы	ahedres
шахматы	chess
будапешт	budapest
фактором	factor
фактором	kadahilanan
животное	animal
животное	hayop
тюрингия	thuringia
дракона	dragon
углерода	karbon
углерода	carbon
свидетелей	jehova
преодолеть	nagtagumpay
преодолеть	overcome
усиление	paglakas
атаковали	sinugod
атаковали	umatake
легион	legion
дискография	discography
взвод	squad
взвод	platoon
точная	tumpak
точная	tama
точная	eksaktong
богатства	yaman
рейна	reina
заключить	tapusin
организм	organismo
обряд	rite
личинки	larvae
личинки	striker
сообщается	naiulat
сообщается	iniulat
сообщается	inulat
панорама	panorama
исключить	tanggalin
исключить	burahin
исключить	delete
монахи	monks
белок	protina
свердловская	sverdlovsk
временный	pansamantala
временный	temp
завершена	nakumpleto
завершена	natapos
завершена	tapos
груневельд	groeneveld
консульство	konsulado
кастро	castro
матрицы	matrix
матрицы	matris
вызывать	summon
упадок	tanggihan
взрослые	matanda
взрослые	adult
арестованы	naaresto
арестованы	arestado
арестованы	inaresto
медичи	medici
ранний	maagang
ранний	maaga
знакомство	kakilala
иисус	hesus
иисус	jesus
итальянские	italian
итальянские	italyano
объяснил	ipinaliwanag
искренне	wagas
удобства	kaginhawahan
вэй	wei
хорхе	jorge
спутники	satellite
спутники	satellite
спутники	moons
рон	ron
наблюдение	pagmamanman
наблюдение	pagsubaybay
наблюдение	observation
наблюдение	pagbabantay
наблюдение	pinagmamasdan
деда	lolo
деда	lolo
черепа	bungo
герберт	herbert
якоб	jacob
якоб	jakob
словакия	slovakia
интеграции	integration
женщину	babae
актер	artista
актер	actor
актер	aktor
мальчиков	boys
марке	marche
успешного	matagumpay
костей	bones
костей	buto
парков	parke
парков	parks
сделки	trades
сделки	trato
сделки	deal
попробуйте	try
попробуйте	subukan
избирательного	pumipili
девиз	motto
девиз	moto
девиз	islogan
николо	nicolò
сек	sec
салон	salon
греческая	hellenic
тысячелетия	milenyo
тысячелетия	millennium
серийный	serial
земледелия	pagsasaka
лекарственных	panggamot
частное	pribado
частное	pribadong
риска	panganib
зеркало	salamin
зеркало	gayahin
зеркало	mirror
беседы	panayam
беседы	interbyu
пересадка	transplant
регулярный	regular
грей	grey
райт	wright
вертолёт	helicopter
реакций	reaksyon
независимая	malayang
независимая	independent
грузовых	kargada
грузовых	kargamento
украшения	alahas
правду	katotohanan
уровни	levels
организатором	organizer
разнообразие	variety
хирург	siruhano
брони	armor
признано	nakakilala
признано	kinikilalang
признано	nakilalang
признано	kinikilala
признано	nakilala
патрон	cartridge
патрон	patron
зомби	zombie
поворот	turn
поворот	lumiko
поворот	iikot
поворот	ikutan
гражданства	nationality
гражданства	nasyonalidad
молитвы	panalangin
молитвы	prayers
ботанический	botanical
босния	bosnia
конечной	panghuli
конечной	ultimate
конечной	pangwakas
дэйв	dave
алжир	algeria
коричневые	brown
коричневые	kayumanggi
саймон	simon
нила	neil
саид	syed
саид	sabi
саид	sinabi
саид	saeed
декан	dean
низким	mababang
низким	mababa
низким	low
повсеместно	saanman
повсеместно	dako
феномен	phenomena
феномен	kababalaghan
руды	ore
электрических	electrical
джеффри	geoffrey
джеффри	jeffrey
блюз	blues
ценные	mahalaga
эмблемы	sagisag
эмблемы	emblem
нефть	langis
нефть	oil
нефть	petroleum
существенное	makabuluhang
снег	niyebe
снег	snow
виа	via
детройт	detroit
показывать	magpakita
показывать	ipakita
показывать	pakita
показывать	show
целые	whole
целые	buo
целые	buong
преступников	outlaws
теннесси	tennessee
дженнифер	jennifer
форд	ford
шар	char
шар	lobo
шар	bola
шар	globong
подарок	kasalukuyan
подарок	gift
подарок	regalo
очко	score
очко	iskor
очко	puntong
очко	punto
очко	point
стрелка	shooter
стрелка	arrow
жидкость	likido
жидкость	fluid
жидкость	likido
свойство	property
этаж	sahig
этаж	palapag
выполнено	natupad
заявив	paglalahad
заявив	nagpapahiwatig
контекста	konteksto
контекста	context
тяжести	kalubhaan
луга	meadows
люксембурга	luxembourg
эна	ena
курорт	resort
вектор	euclidean
горки	coaster
фантастический	fantastic
леона	leona
закончить	tapusin
мирное	mapayapang
мирное	mapayapa
саха	saha
саха	sakha
присоединение	accession
присоединение	sumasali
присоединение	pagsali
барабанщик	drummer
нож	kutsilyo
трудах	writings
тянет	kinukuha
тянет	paghila
акция	aksiyon
акция	pagkilos
акция	aksyon
изобретение	imbento
навыки	skills
навыки	skill
навыки	kasanayan
навыки	kakayahan
грубо	bastos
уменьшение	reduction
уменьшение	perwisyo
уменьшение	pagbabawas
уменьшение	bumaba
уменьшение	bawasan
санкции	sanksiyon
физическая	pisikal
ботаника	botanika
рей	rey
рей	rae
рей	rei
рей	sinag
рей	ray
викимедиа	wikimedia
индивидуальные	indibiduwal
спасение	saving
спасение	pagsagip
спасение	pagligtas
спасение	rescue
спасение	kaligtasan
мичиган	michigan
минас	minas
кросс	krus
кросс	cross
нельсон	nelson
снимок	snapshot
западное	kanluranin
западное	western
фильтр	filter
фильтр	salain
фильтр	panala
герцогиня	dukesa
закончилось	tinapos
закончилось	natapos
электроники	elektronika
электроники	electronics
квебек	québec
квебек	quebec
колеса	gulong
колеса	gulong
аудио	audio
лукас	lucas
лукас	lukas
пал	pal
пал	bagsak
мужские	male
мужские	lalaki
компакт	compact
вычисления	kalkulahin
вычисления	computation
вычисления	computing
продал	nabenta
продал	nabili
акул	sharks
химическая	chemical
химическая	kemikal
правильный	tama
правильный	correct
правильный	itama
поляки	poles
тереза	therese
тереза	teresa
тереза	theresa
держит	mapigil
четверть	quarter
приобрести	bilhin
приобрести	pagbili
приобрести	bumili
повысить	mapalakas
повысить	boost
защищает	pinoprotektahan
особая	espesyal
особая	special
буддизм	budismo
ген	gene
ген	gen
смешанные	mixed
смешанные	magkahalong
призы	prizes
призы	premyo
адамс	adams
мятеж	kokhba
мятеж	paghihimagsik
социальное	panlipunan
социальное	social
социальное	sosyal
просмотр	browse
просмотр	tinitingnan
просмотр	pagtingin
просмотр	pagtingin
просмотр	tingnan
просмотр	tignan
просмотр	panonood
просмотр	view
подъёма	vowel
максимальное	pinakamataas
рика	rick
рика	rica
шарлотта	charlotte
буш	bush
тайвань	taiwan
миф	mito
миф	myth
убежище	tirahan
убежище	banal
убежище	sanctuary
убежище	asylum
мышь	mouse
мышь	daga
тенденция	uso
тенденция	trend
тенденция	tendency
биг	big
биг	malaking
биг	malaki
биг	bih
тезис	thesis
потребности	pangangailangan
потребности	kinakailangan
потребности	requirements
катера	bangka
кен	ken
подтверждена	kumpirmado
подтверждена	nakumpirma
координации	coordinate
координации	mangasiwa
рождество	pasko
рождество	christmas
рождество	xmas
ральф	ralph
стандартный	pamantayan
стандартный	karaniwang
стандартный	standard
отделений	opisina
отделений	sanga
отделений	sangay
сул	sul
поло	polo
чистый	net
чистый	malinis
чистый	purong
чистый	pure
чистый	dalisay
тепло	init
тепло	maiinit
тепло	mainit
тепло	init
тепло	kainitan
пароход	bapor
мартинес	martinez
мартинес	martínez
погода	panahon
удаляется	tinanggal
удаляется	naalis
удаляется	inalis
суды	courts
герцогства	dukado
бака	baka
приобрел	nakuha
джейми	jamie
раннее	maagang
раннее	maaga
днепропетровск	dnipropetrovsk
болота	marsh
болота	lumubog
болота	latian
избегать	iwas
избегать	umiiwas
избегать	iwasan
избегать	iwasan
магистр	magister
окружности	activities
окружности	sirkumperensiya
соединяет	inuugnay
пригороде	naik
празднование	ipinagdiriwang
празднование	nagdiriwang
празднование	celebrate
празднование	pagdiriwang
празднование	selebrasyon
туркменистана	turkmen
спорных	contentious
спорных	nasuri
спорных	tumutol
спорных	kontrobersyal
римлян	romans
римлян	roma
длинная	mahaba
длинная	matagal
длинная	haba
дождь	ulan
дождь	umuulan
дождь	ulan
дождь	umulan
рено	reno
вов	wwii
продать	ibenta
продать	magbenta
продать	nagbebenta
колесо	gulong
коренные	katutubo
коренные	indigenous
федеральное	federal
федеральное	pederal
клиент	customer
клиент	kustomer
клиент	kliyente
клиент	client
прибыла	dumating
быков	bulls
сохранять	panatilihin
сохранять	pol
сохранять	save
ударных	instrumentong
шум	ingay
сталь	bakal
сталь	steel
сталь	asero
говард	howard
скот	scott
скот	livestock
скот	baka
кусок	piece
кусок	piraso
органических	organic
серп	sickle
кальция	calcium
робот	robot
ева	eva
ева	eve
ева	eba
паркер	parker
бурбон	bourbon
филиппины	pinas
филиппины	philippines
филиппины	pilipinas
восстановлено	ibinalik
заболевание	karamdaman
заболевание	sakit
ствол	barrel
ствол	baril
шер	cher
справедливо	katamtamang
справедливо	medyo
справедливо	patas
тренеров	coaches
мирза	mirza
запрещены	pinagbawalan
братства	kapatiran
разрушена	sumira
разрушена	sinira
цифра	digit
цифра	pigura
цифра	personalidad
цифра	figure
отражения	reflections
кэти	kathy
кэти	cathy
кэти	katy
кэти	katie
водителя	driver
водителя	drayber
лиссабон	lisboa
металлургии	metalurhiya
серого	gray
серого	abo
осуществление	pagpapatupad
величайших	pinakamalaking
величайших	greatest
творческих	creative
творческих	malikhain
джорджия	georgia
спектра	spectrum
норт	north
норт	hilagang
норт	hilaga
домохозяйства	kabahayan
домохозяйства	pambahay
домохозяйства	sambahayan
нести	carry
побег	makatakas
побег	escape
визита	puntahan
визита	pagbisita
ввод	input
ввод	ipinasok
ввод	typing
ввод	magpasok
ввод	ipasok
атомов	atoms
документация	dokumentasyon
бордо	burdeos
спора	alitan
спора	pagtutol
производительность	pagtatanghal
производительность	pagganap
производительность	produktibo
верди	verdi
заняты	abala
заняты	busy
существенные	makabuluhang
регент	regent
двигаться	gumalaw
двигаться	move
двигаться	ilipat
двигаться	galawin
двигаться	lilipat
двигаться	gumagalaw
лена	lena
уважение	respect
уважение	respeto
уважение	paggalang
подтверждаю	kumpirmado
подтверждаю	nakumpirma
капитаны	admins
воздушная	aerial
самоубийство	magpakamatay
самоубийство	pagpapakamatay
давыдов	davydov
томпсон	thompson
определены	tinukoy
определены	tinutukoy
голландский	olandes
голландский	dutch
мемуары	memoirs
мемуары	talambuhay
блокады	blockade
подземный	underground
живые	buhay
живые	tinitirahan
живые	pamumuhay
живые	buhay
фбр	fbi
винсент	vincent
мар	mar
обитатели	naninirahan
рикардо	ricardo
противостоять	kokontra
противостоять	tutulan
ходил	naglakad
змей	ahas
змей	serpent
змей	snakes
авария	aksidente
авария	crash
вождь	chief
вождь	hepe
присоединяется	sasali
миграции	paglilipat
миграции	migration
предприниматели	negosyante
квартале	quarter
включено	kasama
включено	nasama
включено	pinapagana
включено	pinagana
костюмы	costume
костюмы	nababagay
бан	pagbawalan
бан	bun
повстанцы	rebelde
ромео	romeo
доводы	argumento
бронза	bronze
редактировать	edit
шаги	hakbang
шаги	steps
шаги	yapak
вставить	insert
вставить	alamang
вставить	paste
квартет	quartet
вину	kasalanan
вину	pagkakasala
алжира	algerian
алжира	algeria
филип	felipe
филип	philip
николя	nicolas
николя	nicola
квалификация	qualifying
квалификация	qualification
сантос	santos
переводить	translate
переводить	isalin
грамотности	mangmang
грамотности	literacy
коллегами	kasamahan
походы	camping
походы	hiking
потеря	kawalan
потеря	pagkawala
кентукки	kentucky
получен	natanggap
имеющихся	available
имеющихся	magagamit
имеющихся	makukuha
секрет	sikreto
секрет	secret
секрет	lihim
электрические	electrical
иерархии	hierarchy
камеру	kamera
камеру	camera
сопровождал	sinamahan
сопровождал	sinabayan
этнических	etniko
зимы	winters
чужой	alien
чужой	stranger
излучение	radiation
принести	magdala
принести	magdadala
принести	dalhin
методика	pamamaraan
семян	seed
семян	buto
прекращено	wakasan
прекращено	ipinagpatuloy
электрический	electrical
электрический	electric
комплект	set
комплект	itakda
комплект	kit
чэнь	chen
лоуренс	laurence
лоуренс	lawrence
полицейские	pulisya
полицейские	pulis
утвержден	inaprubahan
утвержден	naaprubahan
префектуре	prefecture
префектуре	prepektura
сухопутные	panlupa
собственная	sarili
собственная	sariling
богиня	diwata
богиня	diyosa
богиня	dyosa
проход	pasilyo
проход	daanan
рид	reid
рид	reed
аппараты	machine
отпуск	bakasyon
отпуск	vacation
мэттью	mathew
мэттью	mateo
медицинское	medikal
медицинское	medical
эрнест	ernest
уверены	kompiyansa
уверены	nakatitiyak
треугольник	tatsulok
дональд	donald
автоматического	awtomatiko
автоматического	awtomatikong
мыши	mice
мыши	mouse
мыши	daga
лагерей	kampo
реабилитации	rehab
реабилитации	rehabilitation
симона	simone
рик	rick
рик	ric
оригинальная	orihinal
богатый	mayaman
богатый	rich
богатый	mayayaman
богатый	yaman
богатый	mayayamang
грэм	graham
необходимое	kinakailangan
призыв	apila
призыв	umapela
призыв	apela
чехов	chekhov
ибрагим	ibrahim
протокола	protocol
толедо	toledo
канадская	canadian
послов	ambassadors
моисей	moises
моисей	musa
дайте	ibigay
дайте	magbigay
записано	recorded
записано	naitala
теоретические	kimikang
корень	ugat
корень	root
черный	itim
коллегой	katapat
аполлон	apollo
кении	kenya
иностранный	foreign
иностранный	dayuhang
шансы	pagkakataon
шансы	odds
раса	lahi
точные	tumpak
точные	tama
обещал	pinangako
обещал	nangako
обещал	ipinangako
обещал	nangakong
ближнем	gitnang
ближнем	gitna
решительно	mahigpit
непрерывно	tuloy
прованс	provence
определять	matukoy
опасных	mapanganib
филиппин	pinas
филиппин	philippines
филиппин	pilipinas
филиппин	philippine
предпринимателей	negosyante
пятое	ikalimang
пятое	panglima
подозрения	hinala
подозрения	hinala
шеф	chef
шеф	chief
шеф	hepe
исчезает	nawawalang
фестивалей	festivals
инди	indie
инди	indy
пособия	rasyon
пособия	benepisyo
активисты	aktibista
новость	balita
новость	news
новость	story
новость	kuwento
новость	kwento
вводит	introduces
петрограде	petrograd
идеология	ideology
двина	dvina
вилла	villa
нейтральной	neutral
тень	shadow
тень	anino
тень	lilim
тень	shade
лауреатов	laureates
предоставление	granting
рассуждения	pangangatwiran
терминал	terminal
упор	emphasis
племен	tribes
племен	tribal
активистов	aktibista
консоли	console
бин	bin
тепла	init
тепла	init
тепла	kainitan
традиционная	tradisyunal
традиционная	tradisyonal
купол	dome
миссисипи	mississippi
конкуренции	paligsahan
конкуренции	kompetisyon
бернард	bernard
симферополь	simferopol
смита	smith
маска	mask
маска	maskara
дели	delhi
обширные	malawak
увеличивает	tataas
киров	kirov
ионов	ions
референдум	reperendum
пейзаж	pahiga
пейзаж	landscape
пейзаж	tanawin
задних	hulihan
принимая	nagtatagal
платить	nagbabayad
платить	pay
платить	bayaran
платить	magbayad
враги	kaaway
мексиканский	mexican
исход	exodo
протесты	protesta
протесты	protests
строка	linyang
строка	linya
строка	line
строка	string
строка	hilera
строка	row
соломон	salomon
соломон	solomon
сторонник	tagasuporta
мягко	softly
альбрехт	albrecht
передние	harapan
передние	harap
миров	daigdig
томе	tome
помогло	natulungan
помогло	tinulungan
листов	sheet
мэй	mayo
мэй	maaaring
мэй	mae
мэй	mei
содержащих	naglalaman
спасителя	saviour
спасителя	redeemer
призрак	ghost
призрак	multo
призрак	phantom
акцент	emphasis
акцент	accent
текущее	current
текущее	kasalukuyan
текущее	kasalukuyang
ожидания	inaasahan
ранены	injured
ранены	nasugatan
ранены	nasugatan
пациента	pasyente
серые	gray
серые	abo
серые	grey
восприятие	perception
восприятие	perceptions
джоан	joan
помогли	natulungan
помогли	tinulungan
самец	male
самец	lalaki
хелен	helene
хелен	helen
симптомы	sintomas
лошадь	kabayo
