firenzei	florentine
egyetértés	understanding
egyetértés	pengertian
egyetértés	memahami
egyetértés	pemahaman
belseje	interior
belseje	dalaman
megoldások	penyelesaian
hetes	seven
hetes	tujuh
következményei	akibatnya
lucia	lucia
boszorkány	penyihir
boszorkány	witch
fészek	sarang
ars	ars
pat	pat
propaganda	propaganda
szocializmus	sosialisme
botrány	scandal
botrány	skandal
botrány	skandal
webber	webber
szilveszter	sylvester
santo	santo
tök	labu
sheffield	sheffield
joel	joel
janeiro	janeiro
ipa	ipa
gót	goth
végrehajtási	penguatkuasaan
tengerentúli	overseas
düsseldorf	dusseldorf
düsseldorf	dusseldorf
termelt	dihasilkan
interaktív	interaktif
sex	jantina
sex	seks
sex	sex
feltöltött	dimuatnaik
autóval	car
autóval	kereta
paramount	paramount
hivatkozást	pautan
hivatkozást	link
alkotók	pencipta
szépség	keindahan
szépség	kecantikan
szépség	beauty
csomag	pek
csomag	pack
csomag	pakej
kai	kai
kazahsztán	kazakhstan
puy	puy
utazási	melancong
utazási	travel
utazási	pelancongan
utazási	kembara
linnaeus	linnaeus
radioaktív	radioaktif
lezárt	dimeteraikan
jamaica	jamaica
vallott	mengaku
kopasz	botak
kopasz	botak
kaukázusi	caucasus
kaukázusi	kaukasia
bokor	rimbunan
bokor	semak
bokor	bush
búza	gandum
bónusz	bonus
bónusz	bonus
hónapja	bulan
mióta	semenjak
mióta	since
mióta	sejak
amy	amy
jelentéktelen	unimportant
alpha	alpha
alpha	alfa
sör	beer
sör	bir
hughes	hughes
jake	jake
hopkins	hopkins
stark	stark
olivier	olivier
ned	ned
niger	niger
megjelölt	ditandakan
megjelölt	tagged
megjelölt	ditanda
megjelölt	ditag
megjelölt	ditandakan
megjelölt	ditanda
kizárólagos	ekslusif
kizárólagos	exclusive
kizárólagos	eksklusif
szemét	sampah
szemét	sampah
szemét	sampah
lakás	flat
lakás	apartment
lakás	pangsapuri
lakás	kediaman
lakás	perumahan
trilógia	trilogi
dakota	dakota
szombaton	sabtu
évenként	tahunan
koncepció	konsep
mti	mti
jeanne	joan
jeanne	jeanne
átalakított	diubahsuai
átalakított	ditukar
átalakított	disesuaikan
átalakított	diadaptasi
előnyös	bermanfaat
törlése	delete
alább	dibawah
bizonyítékok	bukti
burgenland	burgenland
bsc	bsc
ávila	ávila
eduardo	eduardo
simpson	simpson
nílus	nil
vallások	agama
élőlény	organisma
orange	orange
számláló	kaunter
számláló	pengangka
elkerülése	menghindari
elkerülése	elakkan
elkerülése	mengelakkan
michelle	michelle
paula	paula
gerhard	gerhard
kapcsolatai	sambungan
közreműködő	penyumbang
közreműködő	penyumbang
nicaragua	nicaragua
castro	castro
vandalizmus	kerosakkan
vandalizmus	vandalisme
rhône	rhône
mobile	mobile
mobile	bimbit
glenn	glenn
stein	stein
gombák	kulat
gombák	cendawan
gombák	fungus
gombák	kulat
ablakok	tetingkap
brno	brno
évszázad	abad
évszázad	century
armstrong	armstrong
csomópont	nod
csomópont	junction
csomópont	simpang
aranyos	cute
próbáltam	dicuba
próbáltam	mencuba
palermo	palermo
bezárt	ditutup
bezárt	tertutup
csökkentése	mengurangkan
csökkentése	kurangkan
csökkentése	pengurangan
rain	hujan
auto	auto
kitörés	wabak
kitörés	breakout
kitörés	letusan
kitörés	cetusan
freddie	freddie
apache	apache
esküvő	wedding
esküvő	kahwin
esküvő	perkahwinan
esküvő	kawin
hudson	hudson
technikailag	teknikalnya
alekszandrovics	alexandrovich
perui	peru
perui	peru
koreográfus	choreographer
recept	preskripsi
recept	resipi
recept	resepi
társaságok	syarikat
megszüntetése	penamatan
siemens	siemens
kiadások	perbelanjaan
kiadások	pengeluaran
kiadások	pengeluaran
kiadások	perbelanjaan
nyelvészet	linguistik
hollywoodi	hollywood
divat	fesyen
christoph	christoph
összeg	jumlah
összeg	amaun
összeg	sum
nicole	nicole
nepál	nepal
deux	deux
távközlési	telekom
távközlési	telekomunikasi
távközlési	telekomunikasi
távközlési	telekomunikasi
kocsik	cars
kocsik	kereta
kocsik	gerabak
felújítás	renovasi
felújítás	pembaharuan
felújítás	renovasi
felújítás	renovation
felújítás	refurbishment
professzionális	profesional
professzionális	professional
houston	houston
ulrich	ulrich
működés	operasi
lika	lika
istennő	dewi
hidak	jambatan
lombard	lmo
vívás	berpedang
waters	perairan
waters	air
fbi	fbi
későn	terlewat
későn	mendiang
későn	late
későn	lambat
későn	larut
vert	vert
cape	cape
cape	jubah
hallani	degar
kimondottan	khususnya
vilma	vilma
lili	lily
lili	lili
harald	harald
plus	plus
kövér	gemuk
kövér	lemak
kínál	menawarkan
kínál	tawaran
kínál	menawarkan
kolostorban	biara
kerék	roda
kerék	wheel
kerék	roda
vegyész	chemist
fejlesztések	pembaikian
fejlesztések	penambahbaikan
fejlesztések	upgrade
fejlesztések	tatar
fejlesztések	perkembangan
emelet	lantai
emelet	floor
szimmetrikus	simetri
kártya	kad
kártya	card
kártya	kad
instrumentális	instrumental
holmes	holmes
kötés	pengikatan
kötés	mengait
kötés	balutan
kötés	membalut
kötés	ikatan
kötés	bond
tulajdonság	property
tulajdonság	hartanah
légkör	atmosfera
légkör	suasana
kurd	kurdi
mainz	mainz
orne	orne
terveket	design
terveket	rekabentuk
varázsló	bestari
varázsló	wizard
varázsló	magician
varázsló	penyihir
heinz	heinz
sárgás	coating
producerek	pengeluar
nyelveket	bahasa
felmérés	kajian
felmérés	pungutan
felmérés	undian
felmérés	selidik
felmérés	survey
caf	caf
eugène	eugène
gyanús	curiga
gyanús	mencurigakan
gyanús	suspek
gyanús	disyaki
henger	silinder
henger	cylinder
henger	silinder
venezia	venezia
csökkenő	menurun
csökkenő	berkurangan
todd	todd
parma	parma
infrastruktúra	infrastruktur
seattle	seattle
fegyvereket	senapang
vágy	keinginan
vágy	kemahuan
vágy	kemahuan
vágy	nafsu
vágy	mengidam
romboló	pemusnah
ugrás	jump
ugrás	lompat
erotikus	erotic
homo	homo
hibrid	hibrid
hibrid	hybrid
bon	bon
robbie	robbie
morris	morris
europa	europa
cukor	candy
cukor	gula
terhes	hamil
terhes	pregnant
érvek	hujah
városokat	bandaraya
városokat	bandar
triász	trias
tömör	compact
tömör	padat
tömör	pepejal
tömör	pejal
tömör	padu
anhalt	anhalt
kórházi	hospital
komédia	komedi
komédia	farce
ita	ita
víztározó	akuifer
víztározó	empangan
roth	roth
csont	bones
csont	tulang
csont	bone
csont	tulang
bennett	bennett
csőre	paruh
arizona	arizona
jegyzett	melanggan
jegyzett	petikan
jegyzett	dipetik
baseball	besbol
egyezik	perlawanan
egyezik	padan
egyezik	mancis
egyezik	padanan
egyezik	mancis
egyezik	padan
bolond	bodoh
algebra	algebra
kínaiak	china
kínaiak	cina
igazgatóság	directorate
tibet	tibet
őszintén	jujur
toyota	toyota
ovális	oval
megosztott	perkongsian
megosztott	terkongsi
megosztott	dikongsi
megosztott	berkongsi
megosztott	dikongsikan
megosztott	dibagi
megosztott	dibahagikan
megosztott	dibahagi
tematikus	thematic
követői	pengikut
egyenlítői	equatorial
napokban	hari
munkahelyek	jobs
munkahelyek	pekerjaan
hanna	hannah
hanna	hanna
halottak	dead
halottak	mati
utalt	dirujuk
burton	burton
nacionalista	nasionalis
csatornák	saluran
csatornák	canals
csatornák	talang
csatornák	pembetung
kezelő	operator
kezelő	pengurus
kezelő	manager
kezelő	handler
vatikáni	vatican
módszertani	methodological
porsche	porsche
haiti	haiti
haiti	haiti
tokiói	tokyo
józan	sober
költség	kos
költség	kos
ricardo	ricardo
részleteket	perincian
részleteket	butiran
részleteket	details
részleteket	detail
alpesi	alp
alpesi	alpine
törtek	pecahan
galamb	merbok
galamb	tekukur
galamb	merpati
szervező	penganjur
szervező	penganjur
szervező	penyusun
macskák	kucing
befolyásos	berpengaruh
elpusztította	dimusnahkan
elpusztította	hancur
hús	daging
hús	daging
búcsú	perpisahan
bástya	katelum
serena	serena
vosges	vosges
felipe	felipe
hirdetett	diiklankan
hirdetett	dipromosikan
hirdetett	digalakkan
logó	logo
katalógus	katalog
katalógus	katalog
katalógus	katalog
platform	platform
platform	pelantar
platform	platform
nyelvtan	tatabahasa
kollektív	kolektif
hazafias	patriotik
rogers	rogers
tudor	tudor
tizenegyedik	kesebelas
jefferson	jefferson
meghívást	jemput
meghívást	undangan
meghívást	jemputan
akkád	akk
feladatai	tugasan
viselkedik	behaves
glasgow	glasgow
súlyemelés	weightlifting
suriname	suriname
légió	legion
gyalogság	infantri
értelmezni	tafsir
bauer	bauer
dunántúl	transdanubia
muzulmán	muslim
hivatkozásokat	rujukan
montana	montana
stratégia	strategi
nélkülözhetetlen	essential
nélkülözhetetlen	penting
biztonság	sekuriti
biztonság	keselamatan
biztonság	aman
biztonság	keselamatan
len	len
struktúra	struktur
ismétlődő	pendua
ismétlődő	berulang
ismétlődő	berulang
ismétlődő	berulangan
ismétlődő	diulang
felvételeket	kaset
felvételeket	rakaman
gaja	gaja
bűnös	bersalah
bűnös	berdosa
bűnös	berdosa
elsődlegesen	terutamanya
kiejtés	sebutan
kén	sulfur
kén	belerang
kén	belerang
admirális	laksamana
váltakozó	berselang
tedd	put
tedd	meletakkan
mérhető	terukur
puha	soft
puha	lembut
zavaros	keliru
zavaros	bingung
zavaros	confused
zavaros	berawan
zavaros	mendung
zavaros	celaru
liechtenstein	liechtenstein
jessica	jessica
hubert	hubert
gers	gers
hitte	diyakini
rap	rap
januárban	januari
sértő	menyinggung
sértő	kesat
sértő	menjelikkan
sértő	penghinaan
sértő	menghina
iowa	iowa
medina	madinah
medina	medina
kölcsön	pinjaman
kölcsön	loan
kölcsön	meminjam
kölcsön	meminjamkan
kölcsön	pinjamkan
clarke	clarke
kezdeményezés	inisiatif
túlélte	terselamat
régiók	kawasan
régiók	rantau
régiók	wilayah
régiók	kawasan
módosult	diubah
módosult	diubahsuai
algoritmus	algoritma
hallgatta	didengari
marton	marton
randy	randy
ferde	bengkok
ontario	ontario
riporter	wartawan
esély	peluang
esély	peluang
esély	chance
szárnyas	bersayap
ünnepség	upacara
ünnepség	perayaan
kaliforniában	california
rossi	rossi
temetkezési	undertaker
bis	bis
kibocsátott	dikeluarkan
kibocsátott	dipancarkan
laboratóriumi	makmal
rendezni	settle
berg	berg
állampolgár	warganegara
állampolgár	citizen
albrecht	albrecht
gomba	kulat
gomba	cendawan
gomba	fungus
gomba	kulat
gomba	cendawan
szavazott	undi
szavazott	diundi
nyelveken	bahasa
afganisztán	afghanistan
steiner	steiner
állítólagos	dugaan
szándéka	niat
szándéka	niat
világosabb	ringan
elérés	reach
elérés	capaian
visszafelé	kebelakang
visszafelé	mengundur
ptolemaiosz	ptolemy
cliff	tebing
cliff	jurang
cliff	cliff
memorial	memorial
nicola	nicola
képviselt	diwakili
egyenletes	merata
egyenletes	steady
egyenletes	mantap
leveleket	huruf
brecht	brecht
martínez	martínez
növényzet	tumbuhan
julien	julien
antarktisz	antartika
hasonlított	resembled
törzsi	suku
beavatkozás	gangguan
beavatkozás	campur
tolkien	tolkien
karcsú	slim
karcsú	ramping
karcsú	ramping
tanít	pengajaran
kétséges	syak
kétséges	kemusykilan
kétséges	ragu
kétséges	ragu
kétséges	doubtful
dobó	bowler
dobó	pitching
technikák	teknik
színésznők	actresses
átjáró	portal
átjáró	gateway
leslie	leslie
pusztító	pemusnah
bolygók	planet
pearl	pearl
pearl	mutiara
rétegek	lapisan
rétegek	strata
álma	mimpi
álma	dream
postás	posmen
postás	posmen
essen	essen
találkozni	meet
találkozni	bertemu
romantika	romance
romantika	asmara
feldolgozó	pemproses
elena	elena
elektron	elektron
konferencián	persidangan
telek	land
telek	tanah
telek	darat
telek	kontang
sűrűsége	ketumpatan
par	par
dôme	dôme
singer	penyanyi
singer	singer
lejárt	expired
anatómiai	anatomical
zambia	zambia
leon	leon
laosz	laos
verset	syair
verset	puisi
casa	casa
vezetni	pemacu
rico	rico
haydn	haydn
felhasználás	guna
felhasználás	pemakaian
korong	cakera
korong	cakera
hűséges	setia
elektronikai	electronics
elektronikai	elektronik
venezuelai	venezuela
venezuelai	venezuela
paradicsom	tomato
paradicsom	tomato
paradicsom	firdaus
paradicsom	syurga
fenntartása	mengekalkan
fenntartása	maintain
fenntartása	mempertahankan
álláspont	posisi
álláspont	kedudukan
álláspont	jawatan
fenyegető	mengancam
fenyegető	mengancam
házigazda	penganjur
házigazda	host
házigazda	hos
harmadszor	ketiga
faktor	factor
faktor	faktor
federico	federico
növelése	meningkat
növelése	tingkatkan
samantha	samantha
emily	emily
hbo	hbo
szingapúr	singapura
szingapúr	singapore
eredményezett	terhasil
giacomo	giacomo
hektáros	ekar
hektáros	acre
oszlopok	kolum
martina	martina
darwin	darwin
domenico	domenico
küld	menghantar
küld	menghantar
küld	penghantaran
küld	hantar
küld	hantarkan
doug	doug
lakók	penduduk
lakók	penyewa
lakók	penghuninya
nyikolajevics	nikolaevich
republikánus	republikan
republikánus	republik
rosszindulatú	mengaibkan
rosszindulatú	kesat
rosszindulatú	hasad
rosszindulatú	hipertermia
rövidítések	singkatan
arabok	arab
elemzés	analisis
tehetségét	bakat
veronika	veronika
nomád	nomad
járvány	wabak
járvány	wabak
járvány	pandemik
járvány	wabak
megfigyelő	pemerhati
lille	lille
vicces	kelakar
vicces	lawak
vicces	kelakar
hónapok	bulan
laurent	laurent
enged	lets
gázok	gas
válás	perceraian
válás	bercerai
válás	cerai
chan	chan
másképpen	sebaliknya
halászat	perikanan
halászat	fishery
halászat	pancing
halászat	memancing
létrejövő	terhasil
neill	neill
lánc	rantai
lánc	rantaian
lánc	jirah
lánc	rantai
oxid	oksida
illetékes	kompeten
fortuna	fortuna
nielsen	nielsen
leeds	leeds
vega	vega
vega	vegetarian
befejeződött	completed
befejeződött	dilengkapkan
boris	boris
fenyegeti	mengancam
kliens	client
kliens	klien
módosítani	ubahsuai
tűzoltó	bomba
szex	jantina
szex	seks
szex	sex
utazók	pelancong
utazók	pelancong
utazók	musafir
utazók	traveller
utazók	pelancong
kőolaj	minyak
kőolaj	petroleum
spin	spin
hallottam	mendengar
hallottam	didengar
hasonlóképpen	samalah
hálózatok	rangkaian
krónikus	kronik
rajza	melukis
rajza	lukisan
mónika	monica
logikus	logikal
logikus	logik
utasítások	arahan
kertészeti	berkebun
hasi	abdomen
hasi	perut
jürgen	jürgen
jürgen	jurgen
vád	caj
vád	penuntut
vád	tuduhan
lábai	kaki
ellenálló	resistant
ellenálló	perlawanan
ellenálló	resistance
lucy	lucy
liter	liter
liter	liter
liter	liter
műhelyek	bengkel
dylan	dylan
derek	derek
suzuki	suzuki
camp	kem
camp	perkhemahan
camp	kemah
dublin	dublin
kontinensen	benua
britney	britney
eltávolítása	membuang
eltávolítása	pembuangan
eltávolítása	penyingkiran
nyíló	mekar
országszerte	nationwide
kritikát	kritikan
kritikát	pengkritik
kritikát	kritik
merőleges	serenjang
kenyér	roti
sütő	oven
kinga	raja
kinga	king
kinga	kinga
démon	syaitan
démon	demon
karen	karen
vista	vista
tulajdon	property
tulajdon	hartanah
marokkói	maghribi
hódító	penakluk
hódító	menakluki
lábát	kaki
lábát	kaki
lábát	leg
amanda	amanda
cleveland	cleveland
folytatás	resume
folytatás	continuation
folytatás	susulan
folytatás	teruskan
folytatás	berterusan
hittem	diyakini
hittem	fikir
hittem	sangka
hittem	pemikiran
fasiszta	fasis
célokat	matlamat
villamosok	trams
gregory	gregory
dominikai	dominican
dominikai	dominica
kocka	geek
kocka	kiub
kocka	cube
kocka	nerd
kocka	dadu
örülök	keseronokan
örülök	kesenangan
örülök	senang
tárgyalás	rundingan
lemond	lemond
lemond	resign
optimális	optimum
optimális	optimum
februárban	februari
detroit	detroit
intézkedések	mengukur
intézkedések	tindakan
konfliktusok	konflik
konfliktusok	konflik
szörny	raksaksa
szörny	monster
adriai	adriatic
eindhoven	eindhoven
fehérje	protein
fehérje	protein
tárgyalja	membincangkan
eltérések	percanggahan
eltérések	perbezaan
vitákat	perbahasan
vitákat	perdebatan
könyvtárak	pustaka
könyvtárak	perpustakaan
könyvtárak	direktori
springer	springer
haut	haut
részecske	zarah
részecske	zarah
elismerés	perakuan
elismerés	appreciation
elismerés	penghargaan
elismerés	pengiktirafan
elismerés	pengecaman
szabályozó	regulator
szabályozó	pengatur
molekula	molekul
molekula	molekul
elegáns	elegan
elegáns	molek
elegáns	chic
elegáns	elok
cáceres	cáceres
vegas	vegas
everton	everton
donna	donna
abd	abd
bekezdés	perenggan
bekezdés	perenggan
nyilas	sagittarius
rocky	rocky
rocky	berbatu
intelligencia	intelligence
intelligencia	kecerdasan
intelligencia	perisikan
fan	peminat
fan	fan
fan	kipas
fogak	gigi
vizsgálati	test
vizsgálati	cubaan
vizsgálati	percubaan
vizsgálati	testing
rákok	ketam
vaszilij	vasily
fertőző	berjangkit
fertőző	menular
képregények	komik
fertőzött	dijangkiti
fertőzött	berjangkit
fertőzött	dijangkiti
fertőzött	dicemari
css	css
blackburn	blackburn
mondatok	frasa
mondatok	ayat
naruto	naruto
brescia	brescia
baltimore	baltimore
ming	venue
ming	ming
kertek	gardens
tizenhét	seventeen
zavart	kekeliruan
zavart	kekalutan
zavart	diganggu
zavart	terganggu
zavart	keliru
zavart	bingung
zavart	confused
molekulák	molekul
csillagászat	astronomi
csillagászat	falak
jin	jin
technológiák	teknologi
iratok	dokumen
iratok	dokument
wimbledon	wimbledon
jesse	jesse
kedvezőtlen	unfavorable
évtizedben	dekad
illő	fitting
illő	pas
politikailag	politically
tölteni	perbelanjaan
tölteni	spend
platón	plato
tőke	ekuiti
tőke	modal
tőke	capital
csatolt	dilampirkan
csatolt	melekat
steel	baja
steel	steel
steel	keluli
hardcore	hardcore
kanári	canaries
kanári	kenari
mason	mason
case	kes
edwin	edwin
méhek	lebah
viva	viva
aux	aux
jeremy	jeremy
tárolt	tersimpan
tárolt	disimpan
elengedhetetlen	essential
elengedhetetlen	penting
termés	tanaman
termés	harvest
termés	tuaian
termés	kerat
termés	tanaman
christie	christie
kertben	kebun
kertben	keroh
kertben	garden
kertben	taman
alfaj	subspesies
fordulat	twist
fordulat	pintal
jelzés	signal
jelzés	isyarat
találkozás	perjumpaan
találkozás	rapat
találkozás	mesyuarat
találkozás	meeting
műszerek	instrumen
műszerek	instrumentation
számítástechnikai	pengkomputeran
fogoly	banduan
fogoly	tertawan
kiszolgáló	server
kiszolgáló	pelayan
líbiai	libya
kecske	kambing
hívők	mukmin
freud	freud
antwerpen	antwerp
programozás	pengaturcaraan
napoli	napoli
gondok	masalah
huber	huber
etikai	beretika
etikai	etika
keringési	peredaran
mccartney	mccartney
zongorista	pianist
sötétség	darkness
sötétség	kegelapan
foster	foster
búr	boer
enrique	enrique
festmények	lukisan
dom	dom
duncan	duncan
amphibia	amphibia
hansen	hansen
guido	guido
fiat	fiat
nyújtó	menyediakan
ügyes	pandai
szegények	kesian
berkeley	berkeley
végzetes	fatal
email	emel
email	email
tüzérség	artileri
megerősítve	confirmed
megerősítve	disahkan
megerősítve	afirmatif
megerősítve	mengesahkan
megerősítve	sahkan
bűncselekmények	jenayah
bűncselekmények	jenayah
zoológus	zoologist
térképek	maps
térképek	peta
térképek	carta
zeusz	zeus
curtis	curtis
lőszer	ammo
phillips	phillips
jelentések	pelaporan
jelentések	laporan
jelentések	melaporkan
jelentések	laporan
zászlók	sepanduk
zászlók	panji
zászlók	flag
zászlók	bendera
hangsúly	menitik
hangsúly	penekanan
megszálló	occupying
rajzolt	dilukis
rajzolt	ditarik
rajzolt	drew
elkészítése	preparation
elkészítése	persiapan
főnix	phoenix
grey	kelabu
grey	grey
michelangelo	michelangelo
forever	forever
forever	selamanya
értelmezés	pentafsir
értelmezés	takbir
értelmezés	pentafsiran
liu	liu
tisztek	pegawai
tisztek	perwira
legkevésbé	least
osztva	dibagi
osztva	dibahagikan
osztva	dibahagi
érme	syiling
érme	coin
érme	syiling
antonius	antony
ötvenes	fifties
protokoll	protokol
hallott	mendengar
hallott	didengar
sajnálom	sorry
sajnálom	maaf
asztalos	carpenter
asztalos	pertukangan
mérési	mengukur
névleges	penarafan
névleges	nominal
szabályzat	rules
szabályzat	peraturan
szabályzat	peraturan
szabályzat	dasar
fájlok	fail
ardennes	ardennes
harag	kemarahan
harag	amarah
harag	murka
harag	dimurkai
harag	kemurkaan
feliratok	sarikata
morrison	morrison
hullámok	gelombang
hullámok	ombak
jogszabály	perundangan
jogszabály	law
jogszabály	perundangan
mérték	kadar
mérték	rate
mérték	diukur
mérték	correct
mérték	sukatan
mérték	ukur
mérték	mengukur
romlott	busuk
romlott	manja
primitív	primitif
elvek	prinsip
tengerpart	seaside
tengerpart	beach
tengerpart	pantai
tengerpart	pantai
tengerpart	coast
műszer	instrumen
műszer	ditalian
műszer	apparatus
villeneuve	villeneuve
üresen	kosong
üresen	kosong
szervez	menganjur
izom	otot
izom	muscle
izom	otot
bizonyított	terbukti
bizonyított	terbukti
képzési	latihan
képzési	training
ismételt	diulang
párbeszéd	dialog
veszett	rabies
líbia	libya
líbia	libya
emlékezett	teringat
emlékezett	diingati
fázis	fasa
hills	hills
fedezett	diliputi
fedezett	covered
gran	nek
gran	gran
zsoldos	upahan
rossini	rossini
kiegészítés	pelengkap
kiegészítés	supplement
reggae	rege
égő	pembakar
égő	penulisan
égő	membakar
égő	pembakaran
keverés	campurkan
amsterdam	amsterdam
nigel	nigel
louvre	louvre
választható	pilihan
elme	mind
elme	minda
sugárzott	terpancar
büszke	bangga
büszke	proud
mia	mia
orleans	orleans
dinoszaurusz	dinosaur
eredményezte	terhasil
xxx	xxx
kambodzsa	kemboja
teljesíteni	penuhi
yonne	yonne
kifejtett	diungkap
kifejtett	diungkapkan
bristol	bristol
gyümölcsök	berbuah
gyümölcsök	buah
gyümölcsök	buah
gyümölcsök	fruits
gyárban	kilang
bretagne	bretagne
moss	lumut
moss	moss
énekelni	sing
énekelni	nyanyi
énekelni	menyanyi
énekelni	bernyanyi
énekelni	nyanyian
anders	anders
téglalap	segiempat
szigetcsoport	kepulauan
líra	lira
líra	lire
feleségek	housewives
feleségek	isteri
böngésző	pelayar
olvasott	baca
bolton	bolton
milton	milton
napokon	hari
nagyok	large
nagyok	besar
nagyok	besar
zimbabwe	zimbabwe
csupasz	bare
garcia	garcia
repül	terbang
repül	lalat
repül	fly
repül	terbang
repül	flying
sullivan	sullivan
airways	airways
érzelmek	emosi
érzelmek	emosi
érzelmek	perasaan
galaxy	galaxy
galaxy	galaksi
jung	jung
dallam	melodi
dallam	melody
dallam	tune
kívánok	wishing
kívánok	mendoakan
sandra	sandra
folyami	sungai
folyami	river
nyilatkozat	penafian
nyilatkozat	kenyataan
nyilatkozat	statement
nyilatkozat	penyata
nyilatkozat	perisytiharan
nyilatkozat	pengisytiharan
nyilatkozat	pengistiharan
málna	raspberi
övé	hers
övé	miliknya
regina	regina
simone	simone
gyermekkori	childhood
richards	richards
koronázás	pertabalan
pozíciók	jawatan
órák	jam
órák	kelas
tár	kerat
tár	klip
tár	clip
tár	magazine
tár	majalah
marion	marion
taxon	taxon
lev	lev
christina	christina
helmut	helmut
említ	mention
említ	sebutan
említ	mentions
nathan	nathan
nero	nero
szabadalmi	paten
fenntartott	reserved
museo	museo
toledo	toledo
petri	petri
operatív	beroperasi
tévedés	kesilapan
tévedés	tersilap
tévedés	ralat
claudia	claudia
ágak	cawangan
ágak	cabang
ágak	dahan
bern	bern
gard	gard
klubok	kelab
mindeközben	semantara
braun	braun
aude	aude
övezet	zon
megújult	diperbaharui
kivételek	pengecualian
kivételek	pengecualian
rajongó	peminat
rajongó	fan
rajongó	kipas
hozzáférhető	diakses
válaszokat	maklumbalas
válaszokat	jawapan
fogyasztása	pemakaian
értékelés	penilaian
értékelés	penilaian
értékelés	valuation
jeleket	isyarat
küldeni	hantar
küldeni	hantarkan
hódítás	penaklukan
iskolákban	sekolah
iskolákban	mazhab
válaszol	menjawab
államférfi	negarawan
állatkert	zoo
csökkenteni	mengurangkan
csökkenteni	kurangkan
günther	gunther
chase	kejar
chase	chase
szenegál	senegal
metropolitan	metropolitan
időbeli	temporal
figyelt	ditonton
figyelt	diperhatikan
figyelt	menonton
