the	the
similar	mirip
professional	profesional
professional	professional
say	katakan
say	say
say	katakanlah
background	background
background	latar
enough	cukup
lead	memimpin
lead	prospek
lead	pimpin
lead	lead
common	common
overlap	overlap
data	data
color	warna
color	color
color	berwarna
better	better
person	person
person	orang
services	servis
services	pelayanan
services	layanan
services	jasa
bgcolor	bgcolor
museum	museum
museum	musium
battle	battle
battle	pertempuran
battle	peperangan
sports	olahraga
sports	sports
already	sudah
hall	balai
hall	hall
hall	aula
buildings	bangunan
buildings	gedung
historic	bersejarah
date	tanggal
date	tgl
deleted	terhapus
deleted	dihapus
considered	dianggap
considered	dipertimbangkan
change	berubah
change	ganti
change	perubahan
change	mengubah
change	ubah
location	lokasi
seems	tampaknya
seems	sepertinya
must	harus
must	mesti
must	keharusan
must	must
yes	ya
yes	yes
yes	iya
our	our
southern	southern
southern	selatan
lost	kalah
lost	tersesat
lost	kehilangan
lost	lost
lost	hilang
something	something
something	sesuatu
review	tinjauan
review	review
review	tinjau
review	ulasan
review	ulas
review	meninjau
together	bareng
together	together
together	bersama
robert	robert
fact	kenyataan
fact	fakta
fact	faktanya
fact	fact
less	kurang
japanese	jepang
japanese	japanese
groups	grup
groups	kelompok
content	isi
content	konten
involved	melibatkan
involved	terlibat
isbn	isbn
board	papan
board	dewan
japan	jepang
japan	japan
control	control
control	kendali
control	kontrol
control	pengendalian
control	mengontrol
control	kendalikan
policy	polis
policy	kebijakan
modern	modern
human	manusiawi
human	manusia
human	human
half	separuh
half	setengahnya
half	half
half	setengah
design	disain
design	design
design	desain
event	peristiwa
event	acara
events	peristiwa
events	kegiatan
events	event
events	acara
available	tersedia
done	selesai
done	beres
done	dilakukan
done	done
washington	washington
real	real
real	nyata
real	ril
real	riil
start	mulai
start	mulailah
start	start
personal	personal
personal	pribadi
action	tindakan
action	aksi
space	ruang
space	spasi
space	space
space	angkasa
areas	area
notability	notability
star	star
star	bintang
really	sungguh
china	tiongkok
china	china
china	jatim
china	cina
possible	mungkin
possible	kemungkinan
possible	dimungkinkan
paul	paulus
paul	paul
working	berfungsi
working	bekerja
taken	taken
taken	dibawa
taken	diambil
far	far
far	jauh
minister	menteri
lake	danau
reported	dilaporkan
reported	melaporkan
popular	populer
married	married
married	menikah
founded	didirikan
europe	eropa
author	pengarang
author	penulis
author	pembuat
away	jauh
away	away
away	menjauh
independent	independen
independent	independent
independent	mandiri
process	proses
teams	tim
character	character
character	tokoh
character	karakter
low	rendah
low	low
michael	michael
michael	mikail
pages	halaman
light	cahaya
light	lampu
light	light
light	terang
light	ringan
big	big
big	besar
seen	dilihat
release	rilis
release	melepaskan
release	lepaskan
want	ingin
want	inginkan
want	pengen
want	mau
episode	episode
wrote	tulis
wrote	menulis
republic	republik
thomas	thomas
companies	perusahaan
via	via
via	melalui
via	lewat
russian	russian
russian	rusia
thanks	trims
thanks	terimakasih
thanks	makasih
put	menempatkan
put	put
race	balapan
race	race
race	perlombaan
race	ras
race	lomba
route	rute
recorded	direkam
recorded	merekam
recorded	dicatat
recorded	terekam
someone	seseorang
someone	someone
civil	civil
civil	sipil
civil	perdata
police	polisi
police	kepolisian
police	police
charles	charles
listed	tercantum
listed	terdaftar
users	pemakai
users	pengguna
template	template
template	templat
eastern	timur
eastern	eastern
body	body
body	bodi
body	buh
body	tubuh
body	badan
question	pertanyaan
italian	italia
featured	diunggulkan
featured	ditampilkan
featured	unggulan
featured	feature
week	week
week	minggu
editors	penyunting
editors	redaksi
editors	editor
texas	texas
chief	chief
chief	ketua
chief	kepala
close	close
close	dekat
close	tutup
upon	upon
match	korek
match	cocok
match	pertandingan
match	kecocokan
roman	roman
roman	romawi
come	datang
tour	tour
tour	tur
tour	wisata
sea	laut
actually	sebenarnya
actually	actually
cross	salib
cross	lintas
cross	cross
cross	palang
playing	memainkan
playing	diputar
playing	bermain
health	kesehatan
institute	institute
institute	institut
caps	cap
caps	caps
green	green
green	hijau
rights	hak
evidence	bukti
originally	aslinya
originally	awalnya
aircraft	pesawat
aircraft	aircraft
arts	arts
arts	seni
arts	kesenian
range	rentang
range	kisaran
range	range
range	jangkauan
probably	mungkin
consensus	konsensus
bar	batang
bar	bilah
bar	bar
problem	masalah
problem	problem
look	look
look	lihat
look	lihatlah
issues	masalah
issues	isu
alumni	alumni
network	jaringan
network	jaringannya
network	network
win	win
win	menang
win	menangkan
shows	memperlihatkan
shows	menunjukkan
shows	menampilkan
shows	pertunjukan
wife	isteri
wife	istrinya
wife	istri
wife	wife
returned	dikembalikan
night	malam
night	night
magazine	majalah
centre	tengah
centre	pusat
centre	centre
usually	biasanya
completed	diselesaikan
completed	selesai
elected	terpilih
significant	signifikan
african	afrika
able	able
able	mampu
google	google
stage	pentas
stage	tahap
stage	panggung
stage	stage
addition	tambahan
addition	penambahan
ireland	irlandia
today	today
academy	akademi
academy	academy
saint	santo
saint	saint
self	diri
self	self
continued	dilanjutkan
continued	berkelanjutan
continued	lanjutan
stations	stasiun
mother	mother
mother	ibu
mother	bunda
appeared	muncul
africa	africa
africa	afrika
culture	kultur
culture	kebudayaan
culture	budaya
spanish	spanish
spanish	spanyol
grand	grand
committee	komite
committee	panitia
things	things
things	hal
things	perkara
fire	fire
fire	api
fire	kebakaran
changed	diubah
changed	berubah
gold	emas
gold	gold
female	permpuan
female	female
female	betina
female	perempuan
course	course
course	kursus
directed	diarahkan
directed	disutradarai
directed	sutradara
months	bulan
chinese	tionghoa
chinese	china
chinese	cina
previous	sebelumnya
developed	dikembangkan
developed	mengembangkan
size	ukuran
size	size
mentioned	disebut
mentioned	disebutkan
add	tambah
add	add
add	tambahkan
festival	festival
peter	petrus
peter	peter
basketball	basket
basketball	basketball
move	move
move	pindah
move	pindahkan
move	bergerak
performance	kinerja
performance	performa
performance	suntuk
standard	standar
standard	standard
means	berarti
means	artinya
means	sarana
give	memberi
give	berikan
give	give
give	beri
give	memberikan
training	berlatih
training	latihan
training	pelatihan
artist	artis
artist	seniman
word	kata
word	word
word	firman
blue	blue
blue	biru
primary	primer
primary	utama
primary	primary
announced	mengumumkan
announced	diumumkan
announced	umumkan
value	bernilai
value	nilai
christian	christian
christian	kristiani
christian	kristen
private	swasta
private	privat
private	private
private	pribadi
catholic	catholic
catholic	katolik
artists	seniman
artists	artis
includes	termasuk
includes	sertakan
includes	mencakup
includes	menyertakan
view	melihat
view	tampilan
view	lihat
almost	almost
almost	hampir
almost	nyaris
baseball	baseball
baseball	bisbol
seven	seven
seven	tujuh
appears	muncul
ever	pernah
ever	ever
provide	sediakan
provide	menyediakan
technology	teknologi
olympics	olimpiade
future	future
formed	dibentuk
formed	terbentuk
census	sensus
images	gambar
images	citra
results	hasilnya
results	hasil
return	kembali
return	return
quality	berkualitas
quality	kualitas
construction	konstruksi
construction	pembangunan
zealand	zealand
zealand	selandia
front	front
front	depan
cover	sampul
cover	cover
cover	penutup
cover	tutupi
model	model
read	bacalah
read	baca
read	read
read	dibaca
read	membaca
material	matre
material	bahan
material	materi
material	material
strong	tegar
strong	strong
strong	kuat
coach	pelatih
coach	coach
henry	henry
mark	markus
mark	tanda
mark	tandai
mark	mark
rev	pdt
rev	rev
organization	organisasi
studies	studi
federal	federal
richard	richard
html	html
virginia	virginia
car	car
car	mobil
attack	menyerang
attack	serangan
attack	serang
attack	penyerangan
conference	conference
conference	konferensi
outside	luar
outside	diluar
study	kajian
study	belajar
study	studi
brother	bâ
brother	saudara
brother	brother
brother	kakak
names	nama
names	names
names	mamang
writer	penulis
characters	aksara
characters	karakter
musical	musik
musical	musikal
musical	musical
border	batas
border	perbatasan
border	tepi
border	tepian
medical	kedokteran
medical	medis
medical	medical
countries	negara
past	past
writing	penulisan
writing	menulis
writing	tulisan
interest	minat
provided	asalkan
provided	disediakan
killed	dibunuh
killed	tewas
killed	terbunuh
medal	medal
medal	medali
signed	menandatangani
signed	ditandatangani
signed	signed
label	label
fair	adil
fair	fair
search	mencari
search	pencarian
search	cari
search	search
bay	teluk
bay	bay
reference	acuan
reference	referensi
reference	rujukan
especially	khususnya
especially	terutama
refer	rujuk
refer	merujuk
removed	dibuang
removed	dihapus
library	library
library	pustaka
library	perpustakaan
eventually	akhirnya
management	management
management	manajemen
management	pengelolaan
references	referensi
references	rujukan
features	fitur
navy	navy
guitar	guitar
guitar	gitar
hill	bukit
hill	hill
sure	pasti
sure	yakin
sure	tentu
historical	historis
historical	bersejarah
historical	sejarah
lower	turunkan
lower	lower
lower	rendahkan
daughter	daughter
daughter	putri
daughter	dikit
appointed	ditunjuk
reading	pembacaan
reading	bacaan
reading	membaca
reading	reading
yet	yet
systems	sistem
systems	systems
debut	debut
debut	debutnya
movement	gerakan
movement	pergerakan
specific	spesifik
specific	tertentu
specific	khusus
always	always
always	selalu
actor	actor
actor	aktor
natural	alamiah
natural	natural
natural	alami
clear	bersihkan
clear	clear
clear	bening
clear	jelas
clear	hapus
coast	pesisir
coast	coast
let	biarkan
let	biarlah
let	let
got	got
got	punya
chicago	chicago
championships	kejuaraan
pennsylvania	pennsylvania
ten	ten
ten	sepuluh
performed	dipentaskan
individual	individu
individual	individual
individual	perorangan
designed	dirancang
designed	merancang
designed	didesain
rule	kaidah
rule	peraturan
rule	aturan
rule	rule
etc	dll
paris	paris
thought	pikir
thought	pemikiran
thought	berpikir
brown	brown
brown	coklat
hand	hand
hand	tangan
needs	kebutuhan
smith	smith
generally	umumnya
base	dasar
base	pangkalan
base	base
base	markas
base	basis
sometimes	terkadang
sometimes	kadang
florida	florida
capital	capital
capital	ibukota
capital	modal
valley	valley
valley	lembah
bank	bank
ground	tanah
ground	ground
reached	dijangkau
reached	mencapai
reached	menjangkau
reached	tercapai
reached	dicapai
italy	italy
italy	italia
energy	tenaga
energy	energi
energy	energy
believe	believe
believe	percaya
leader	leader
leader	pemimpin
active	active
active	aktif
online	daring
online	online
block	blok
block	block
block	blokir
bridge	bridge
bridge	anjungan
bridge	jembatan
families	keluarga
changes	perubahan
changes	mengubah
followed	diikuti
industry	industri
collection	koleksi
request	minta
request	request
request	permintaan
soon	soon
soon	segera
leading	memimpin
leading	terkemuka
olympic	olympic
olympic	olimpiade
sold	terjual
sold	sold
sold	dijual
writers	penulis
professor	profesor
professor	professor
studio	studio
mexico	meksiko
mexico	mexico
competition	kompetisi
competition	persaingan
competition	lomba
campaign	kampanye
campaign	campaign
org	org
theatre	theatre
theatre	teater
theatre	bioskop
particular	khususnya
empire	imperium
empire	empire
empire	kekaisaran
length	panjang
islands	pulau
islands	kepulauan
singer	penyanyi
singer	singer
create	buat
create	ciptakan
create	membuat
redirect	pengalihan
additional	tambahan
soviet	soviet
market	pasar
words	kata
producer	produsen
producer	produser
notes	catatan
notes	notes
hockey	hockey
hockey	hoki
novel	novel
code	code
code	kode
referee	wasit
fourth	keempat
sport	sport
sport	olahraga
van	van
mary	mary
mary	maria
airport	airport
airport	bandara
sound	sound
sound	suara
status	status
irish	irish
irish	irlandia
placed	ditempatkan
child	ank
child	anakan
child	child
child	anak
perhaps	mungkin
perhaps	barangkali
idea	gagasan
idea	ide
idea	idea
foreign	asing
foreign	foreign
municipality	kotamadya
municipality	munisipalitas
register	daftarkan
register	register
eight	eight
eight	delapan
problems	masalah
native	native
coverage	liputan
coverage	cakupan
channel	kanal
channel	channel
channel	saluran
parliament	parlemen
parliament	dpr
username	username
edition	edition
edition	edisi
minor	kecil
minor	minor
says	says
says	berkata
says	mengatakan
says	kata
foundation	foundation
foundation	fondasi
foundation	yayasan
foundation	pondasi
units	satuan
units	unit
movie	movie
movie	bioskop
movie	film
ice	ice
ice	es
simply	simply
simply	sederhananya
limited	limited
limited	terbatas
limited	dibatasi
unit	satuan
unit	unit
student	pelajar
student	mahasiswa
student	murid
student	siswa
student	student
stated	dinyatakan
governor	gubernur
complete	melengkapi
complete	lengkapi
complete	selesaikan
complete	komplit
complete	lengkap
test	ujian
test	pengujian
test	menguji
test	uji
test	test
test	tes
nominated	dinominasikan
nominated	nominasi
bill	tagihan
bill	bill
bill	tagih
bill	ruu
parts	parts
parts	bagian
parts	onderdil
vocals	vokal
theory	teori
regional	regional
account	rekening
account	account
account	akun
vote	vote
vote	suara
vote	voting
computer	komputer
computer	computer
carolina	carolina
tournament	turnamen
poland	polandia
behind	dibelakang
behind	behind
behind	belakang
wales	wales
winning	memenangkan
winning	menang
lot	lot
hospital	hospital
hospital	rs
mid	pertengahan
mid	mid
taking	tahlil
taking	taking
taking	mengambil
mountain	gunung
mountain	mountain
mountain	pegunungan
higher	tinggi
cases	kasusnya
cases	kasus
angeles	angeles
editing	menyunting
editing	editing
editing	penyuntingan
editing	mengedit
replaced	tergantikan
replaced	digantikan
replaced	diganti
food	food
food	makanan
food	pangan
multiple	kelipatan
multiple	beberapa
multiple	multiple
multiple	berganda
likely	kemungkinan
terms	klu
terms	ketentuan
sir	sir
sir	pak
sir	tuan
thing	thing
thing	hal
square	square
square	persegi
square	kuadrat
try	coba
try	cobalah
topic	topik
woman	woman
woman	wanita
woman	perempuan
officer	opsir
officer	petugas
officer	perwira
officer	officer
categories	kategori
greek	greek
greek	yunani
recent	terkini
recent	terbaru
sent	dikirim
sent	terkirim
sent	dikirimkan
copyright	copyright
speed	kecepatan
speed	speed
templates	template
templates	templat
money	uang
saw	gergaji
saw	saw
senior	senior
selected	dipilih
selected	terpilih
introduced	diperkenalkan
introduced	memperkenalkan
introduced	dikenalkan
politician	politisi
politician	politikus
true	benar
true	true
required	diwajibkan
required	diperlukan
required	diharuskan
required	wajib
required	dibutuhkan
regular	biasa
regular	regular
regular	reguler
awarded	diberikan
awarded	dianugerahi
commercial	komersial
commercial	komersil
cities	kota
contains	mengandung
contains	berisi
trade	barter
trade	dagang
trade	berdagang
trade	perdagangan
trade	trade
degree	gelar
degree	ijazah
degree	derajat
anti	anti
birth	kelahiran
birth	lahir
sun	mentari
sun	matahari
sun	sun
finished	selesai
rugby	rugby
rugby	rugbi
earth	bumi
earth	earth
access	akses
prior	sebelum
prior	prior
seasons	seasons
seasons	musim
journal	journal
journal	jurnal
beginning	permulaan
beginning	awal
software	software
famous	famous
famous	terkenal
religious	religi
religious	keagamaan
religious	religius
religious	agama
appear	tampil
appear	muncul
martin	martinus
martin	martin
god	god
god	tuhan
god	allah
bit	bit
bit	digigit
hours	jam
running	running
running	berjalan
running	lari
running	menjalankan
running	berlari
brought	dibawa
missing	hilang
economic	perekonomian
economic	ekonomi
structure	struktur
rural	pedesaan
decision	keputusan
certain	tertentu
hit	ramaikan
hit	memukul
minutes	menit
spain	spanyol
plays	memainkan
plays	bermain
whole	keseluruhan
whole	whole
whole	utuh
joseph	yusuf
joseph	joseph
lord	lord
lord	tuhan
web	web
decided	memutuskan
decided	diputuskan
operations	operasi
function	fungsi
louis	louis
assembly	assembly
assembly	perakitan
assembly	majelis
queen	ratu
queen	queen
security	security
security	satpam
security	sekuriti
security	keamanan
uses	penggunaan
uses	menggunakan
uses	kegunaan
ohio	ohio
jan	jan
operation	operasi
call	telepon
call	panggilan
call	panggil
call	call
successful	sukses
successful	berhasil
legal	hukum
legal	sah
legal	legal
russia	rusia
russia	russia
prince	pangeran
prince	prince
jewish	yahudi
staff	staf
