večné	eternal
presun	bergerak
presun	memindahkan
presun	pindah
presun	bergerak
presun	gerakan
presun	pergerakan
carter	carter
poistenie	asuransi
finančne	finansial
kroky	langkah
zmazať	hapus
zmazať	delete
bohatý	rich
bohatý	kaya
erich	erich
informatiky	informatika
suchá	dry
suchá	mengeringkan
suchá	kering
suchá	keringkan
poddruh	upaspesies
slnečná	surya
slnečná	solar
infraštruktúra	prasarana
infraštruktúra	infrastruktur
svetom	world
svetom	dunia
nahrávanie	mengunggah
nahrávanie	upload
nahrávanie	pengunggahan
nahrávanie	upload
nahrávanie	unggah
nahrávanie	unggahan
nahrávanie	merekam
nahrávanie	rekaman
nahrávanie	perekaman
nahrávanie	rekor
nahrávanie	rekam
nahrávanie	record
čítať	bacalah
čítať	baca
čítať	read
čítať	dibaca
čítať	membaca
záchranu	penyelamatan
záchranu	rescue
wood	kayu
wood	wood
klavirista	pianis
kabíny	kabin
dutiny	rongga
dutiny	paranasal
dutiny	rongga
dutiny	berlubang
mer	mer
schopní	able
schopní	mampu
organické	organic
organické	organik
rybníky	kolam
portálu	portal
vyvinuli	berevolusi
skutočné	real
skutočné	nyata
skutočné	ril
skutočné	riil
skutočné	asli
skutočné	genuine
skutočné	aktual
domény	domain
domény	ranah
návštevy	pengunjung
návštevy	kunjungi
návštevy	kunjungan
návštevy	mengunjungi
návštevy	kunjungannya
návštevy	kunjungan
návštevy	berkunjung
predstaviť	perkenalkan
predstaviť	memperkenalkan
predstaviť	bayangkanlah
predstaviť	bayangkan
predstaviť	imagine
citát	kutipan
citát	kutip
citát	quote
odborov	perserikatan
štvrté	keempat
vzduchom	airborne
jonas	jonas
barry	barry
equus	equus
licencie	lisensi
licencie	lisensi
licencie	perizinan
nákladu	kargo
nákladu	muatan
nákladu	cargo
budovať	membangun
budovať	bina
budovať	build
hlboké	sedalam
hlboké	mendalam
hlboké	deep
odhad	perkiraan
odhad	estimasi
odhad	perkirakan
odhad	memperkirakan
odhad	perkiraan
odhad	estimasi
odhad	perkiraan
odhad	estimasi
vojnový	perang
vojnový	peperangan
vojnový	war
folk	kaum
folk	rakyat
folk	folk
koalície	koalisi
charakteristiky	karakteristik
charakteristiky	fitur
briti	briton
briti	britania
briti	british
čínske	tionghoa
čínske	china
čínske	cina
mama	mama
mama	bu
mama	ibu
mama	mom
mama	bunda
mama	mother
mama	ibu
mama	bunda
mama	mum
zisku	profit
zisku	laba
zisku	keuntungan
zaznamenané	direkam
zaznamenané	merekam
zaznamenané	dicatat
zaznamenané	terekam
zaznamenané	dicatat
prepustený	dilepaskan
prepustený	dirilis
venuša	venus
väzení	penjara
väzení	prison
centrálne	central
centrálne	tengah
centrálne	pusat
centrálne	sentral
centrálne	upt
porážku	mengalahkan
porážku	kalahkan
porážku	kekalahan
budúci	selanjutnya
budúci	berikutnya
budúci	next
harvard	harvard
olympic	olympic
olympic	olimpiade
nepriateľov	musuh
geometria	geometri
reprezentácia	perwakilan
reprezentácia	representasi
priatelia	teman
priatelia	friends
priatelia	berteman
verše	ayat
socialistická	sosialis
prince	pangeran
prince	prince
vrtuľníky	helikopter
vrtuľníky	helikopter
titan	titan
cook	masak
cook	cook
cook	memasak
diely	parts
diely	bagian
diely	onderdil
diely	pemotongan
charlotte	charlotte
veciach	penting
počuť	mendengar
počuť	hear
počuť	dengarlah
matthew	matius
matthew	matthew
emanuel	emanuel
oskar	oskar
oskar	oscar
predstavenie	kinerja
predstavenie	performa
predstavenie	suntuk
predstavenie	tunjukkan
predstavenie	show
predstavenie	tampilkan
predstavenie	perlihatkan
predstavenie	pertunjukan
vraždy	pembunuhan
vraždy	pembunuhan
vraždy	pembunuhan
podvozok	sasis
podvozok	bogie
zavedená	diperkenalkan
zavedená	memperkenalkan
zavedená	dikenalkan
ensign	ensign
lisa	lisa
vybrať	pilih
vybrať	pilih
činiteľ	factor
činiteľ	faktor
premenné	variable
premenné	variabel
premenné	variabel
fred	fred
adrian	adrian
štandardy	standar
planéte	planet
čisté	net
čisté	bersih
čisté	jala
čisté	jaring
čisté	murni
čisté	pure
čisté	bersihkan
čisté	bersih
čisté	clean
ukončený	dihentikan
ukončený	diakhiri
súbežne	serentak
súbežne	bersamaan
súbežne	paralel
tvrdenia	klaim
tvrdenia	mengklaim
tvrdenia	tuduhannya
tvrdenia	argumen
alois	alois
ručne	handmade
ručne	manual
súkromný	swasta
súkromný	privat
súkromný	private
súkromný	pribadi
scaleminor	scaleminor
plody	buah
plody	buah
fórum	forum
fórum	forum
pestovanie	berkembang
pestovanie	tumbuh
pestovanie	bertumbuh
pestovanie	menumbuhkan
pestovanie	menanam
pestovanie	penanaman
pestovanie	tanam
pestovanie	budidaya
pestovanie	penanaman
relácia	sesi
relácia	session
relácia	hubungan
relácia	relasi
cooper	cooper
nahradená	tergantikan
nahradená	tergantikan
nahradená	digantikan
nahradená	diganti
logiky	logika
pohyby	gerakan
pohyby	moves
psychológ	psikolog
psychológ	psikologis
slávnosti	festival
terminológia	terminologi
bytosti	makhluk
bytosti	mahluk
samice	betina
samice	perempuan
samice	permpuan
samice	female
samice	betina
samice	perempuan
súradnice	koordinat
súradnice	koordinasi
súradnice	koordinat
senátu	senat
grafický	grafis
grafický	sadis
plukovník	kolonel
plukovník	colonel
michelangelo	michelangelo
potomkov	keturunan
melbourne	melbourne
korunu	mahkota
korunu	crown
agent	agen
agent	agent
tém	topik
kapitola	chapter
kapitola	pasal
kapitola	bab
železo	besi
železo	iron
spisy	tulisannya
podvozku	bogie
labe	elbe
konečný	final
efektívne	efisien
efektívne	efektif
efektívne	efektif
efektívne	efisien
najnovšie	terkini
najnovšie	terbaru
najnovšie	terbaru
najnovšie	terkini
najnovšie	terbaru
poľnohospodárske	pertanian
kaplnke	kapel
kaplnke	chapel
sasko	sachsen
modra	blue
modra	biru
modra	modra
jadrom	core
jadrom	inti
papiera	koran
papiera	makalah
papiera	paper
papiera	kertas
platňa	piring
platňa	lempeng
platňa	pelat
platňa	plat
spol	asosiasi
hlasovať	vote
hlasovať	suara
hlasovať	voting
hlasovať	voting
liverpool	liverpool
opravy	koreksi
opravy	perbaikan
opravy	perbaikan
opravy	perbaikan
opravy	perbaiki
dia	dia
mačky	cats
mačky	kucing
trestné	pidana
trestné	kriminal
trestné	criminal
trestné	penjahat
brigády	brigade
brigády	brigade
teológia	teologi
varšave	warsawa
ľudský	manusiawi
ľudský	manusia
ľudský	human
potrieb	kebutuhan
útek	kabur
útek	escape
zaťaženie	beban
zaťaženie	muat
zaťaženie	muatan
zaťaženie	beban
zaťaženie	dimuat
zaťaženie	loading
zaťaženie	memuat
tal	tal
vlastnil	dimiliki
vlastnil	milik
sarah	sarah
sarah	dedy
venované	dikhususkan
československo	cekoslowakia
spolupracovať	kolaborasi
spolupracovať	berkolaborasi
spolupracovať	bekerjasama
vyhlásenia	deklarasi
vyhlásenia	pengumuman
sebastian	sebastian
klaus	klaus
dôsledky	implikasi
dôsledky	konsekwensi
dôsledky	konsekuensi
váhy	timbangan
váhy	sisik
váhy	libra
váhy	berat
váhy	bobot
zámer	niat
zámer	niat
zámer	intent
hladina	aras
hladina	level
hladina	tingkatan
hladina	tingkat
čreva	usus
iniciatívy	inisiatif
iniciatívy	inisiatif
iniciatívy	initiative
symbolov	simbol
mons	mons
empire	imperium
empire	empire
empire	kekaisaran
vietname	vietnam
piatok	jumat
tvarov	bentuk
štúdiá	studios
štúdiá	studio
používateľ	pemakai
používateľ	pengguna
made	made
made	dibuat
letci	selebaran
etapy	tahapan
pristál	mendarat
rozširuje	memanjangkan
rozširuje	meluas
rozširuje	melapangkan
rozširuje	mengembang
osád	pemukiman
osád	permukiman
žltý	kuning
abd	abd
odmietli	menolak
odmietli	ditolak
jamie	jamie
náčelník	chief
náčelník	ketua
náčelník	kepala
sociálny	social
sociálny	sosial
porto	porto
rozdielne	beda
rozdielne	berbeda
rozdielne	divergent
deutsche	deutsche
adresu	alamat
rumunský	rumania
lebky	tengkorak
lebky	skull
úseky	bagian
priemyselná	industri
priemyselná	industrial
pretekár	pembalap
pretekár	racer
kras	karst
kras	kras
uhlie	batubara
uhlie	arang
abeceda	alphabet
abeceda	alfabet
abeceda	abjad
komédie	komedi
komédie	comedy
komédie	komedi
vrh	tandu
kopa	tumpukan
kopa	tumpuk
kopa	menumpuk
duchovné	spiritual
duchovné	rohani
extra	kelebihan
extra	ekstra
extra	tambahan
extra	extra
nickelback	nickelback
udržanie	mempertahankan
udržanie	pemeliharaan
vzdať	menyerah
snahu	usaha
snahu	upaya
nárok	klaim
nárok	mengklaim
chýb	kesalahan
chýb	galat
chýb	error
chýb	kesalahan
chýb	kutu
chýb	serangga
chýb	bug
chýb	bugs
medi	tembaga
pokryté	tertutupi
pokryté	ditutupi
pokryté	tercakup
poskytnúť	sediakan
poskytnúť	menyediakan
zavedený	diperkenalkan
zavedený	memperkenalkan
zavedený	dikenalkan
jednotlivcov	individu
jednotlivcov	individual
archeológ	arkeolog
archeológ	arkeolog
organizmus	organisme
junior	yunior
junior	junior
junior	smp
životy	nyawa
životy	lives
frekvencie	frekuensi
frekvencie	frekuensinya
frekvencie	frekuensi
autobus	bus
autobus	bis
výrobcu	produsen
výrobcu	produser
výrobcu	manufaktur
výrobcu	produsen
výrobcu	pabrikan
tisícročia	milenium
tisícročia	millennium
prednášky	kuliah
prednášky	ceramah
prednášky	perkuliahan
prednášky	kuliah
prednášky	ceramah
prednášky	perkuliahan
ulrich	ulrich
akademický	akademik
akademický	akademisi
akademický	akademis
návrhov	saran
praktické	praktis
počasie	cuaca
nominácia	nominasi
trio	trio
skúsenosť	pengalaman
najmladší	bungsu
najmladší	termuda
sklo	gelas
sklo	kaca
sklo	glass
preložené	diterjemahkan
disciplíne	disiplin
wwe	wwe
elektrických	kelistrikan
elektrických	listrik
elektrických	elektro
elektrických	listrik
elektrických	elektrik
elektrických	electric
adresy	alamat
family	keluarga
family	family
family	famili
operáciu	operasi
operáciu	pembedahan
operáciu	bedah
vzdialený	jauh
vzdialený	remot
vzdialený	jauh
vzdialený	remote
naučil	dipelajari
naučil	diajarkan
naučil	diajari
naučil	diajar
porasty	perkebunan
dmitrij	dmitri
pohlavia	gender
pohlavia	seks
pohlavia	sex
wars	perang
wars	wars
wars	peperangan
dallas	dallas
karibiku	karibia
karibiku	caribbean
broughton	broughton
timeaxis	timeaxis
zrýchlenie	akselerasi
zrýchlenie	percepatan
core	core
core	inti
paralelne	paralel
lipa	lipa
challenger	challenger
challenger	penantang
bytov	flat
bytov	byte
bytov	bytes
bytov	bita
bytov	apartement
bytov	apartemen
centrálny	central
centrálny	tengah
centrálny	pusat
centrálny	sentral
centrálny	upt
rodičmi	orangtua
eddie	eddie
ross	ross
média	media
fritz	fritz
afganistane	afganistan
afganistane	afghanistan
prístupné	diakses
rádia	radio
afrických	afrika
terminál	terminal
konstantin	konstantin
výstupy	output
výstupy	keluaran
výstupy	hasil
bruins	bruins
armstrong	armstrong
lekára	dokter
lekára	tabib
lekára	doktor
lekára	dokter
lekára	doctor
rukopis	manuskrip
rukopis	naskah
shoemaker	shoemaker
projektom	proyek
prózy	prosa
margaret	margaret
samostatnú	mandiri
pridáva	menambahkan
pridáva	penambahan
nebezpečné	berbahaya
nebezpečné	berbahaya
pristáli	mendarat
škótsku	scotland
škótsku	skotlandia
škótsku	scotch
škótsku	wiski
berkeley	berkeley
venovaná	didedikasikan
venovaná	berdedikasi
bočné	lateral
platnosť	valid
platnosť	sah
platnosť	validitas
platnosť	keabsahan
výchovu	didikan
výchovu	asuhan
child	ank
child	anakan
child	child
child	anak
zostať	tetap
zostať	tinggal
zostať	stay
polo	polo
sporné	dipertanyakan
sporné	disengketakan
sporné	sengketa
neba	sorga
neba	kayangan
neba	surga
neba	heaven
baktérie	bakteri
baktérie	kuman
main	utama
grafika	artwork
grafika	grafik
grafika	grafis
grafika	grafika
vodcov	pemimpin
estónsko	estonia
sodný	sodium
sodný	natrium
schopností	kemampuan
médium	media
médium	cenayang
médium	psikis
médium	paranormal
médium	medium
médium	sedang
médium	menengah
vyhláška	dekrit
vyhláška	dekrit
vyhláška	titah
úteku	pelarian
geometrie	geometri
fakticky	faktual
zachránil	tersimpan
zachránil	disimpan
zachránil	diselamatkan
pravdepodobnosť	probabilitas
pravdepodobnosť	probabilitas
pravdepodobnosť	kemungkinannya
pravdepodobnosť	kemungkinan
guide	pedoman
guide	panduan
guide	pemandu
airbus	airbus
komentár	comment
komentár	komen
komentár	komentari
komentár	komentar
komentár	komentar
neskoro	terlambat
neskoro	telat
neskoro	larut
dokázať	menunjukkan
dokázať	buktikan
vybraný	dipilih
vybraný	terpilih
vybraný	dipilih
vybraný	terpilih
zvon	lonceng
zvon	belle
zvon	bel
zvon	bell
kult	sekte
kult	pemujaan
kult	kultus
usb	usb
veží	towers
reedy	melengking
dodáva	menambahkan
dodáva	penambahan
dodáva	disediakan
kryštály	kristal
unit	satuan
unit	unit
lightgrey	lightgrey
belfort	belfort
príbuzných	kerabat
polomer	radius
nákladné	mahal
nákladné	pengangkutan
nákladné	angkutan
nechce	ingin
užitočné	berguna
užitočné	bermanfaat
užitočné	menolong
užitočné	berguna
užitočné	bermanfaat
užitočné	membantu
športovcov	olahragawan
športovcov	atlet
športovcov	atlit
dos	dos
terénu	medan
plemena	breed
plemena	biak
otázok	pertanyaan
širokú	luas
širokú	lebar
širokú	wide
širokú	luas
buffalo	kerbau
buffalo	cengkeh
buffalo	buffalo
pripravený	ready
pripravený	siap
chemickej	kimiawi
chemickej	kimia
špecifikácie	spesifikasi
špecifikácie	spesifikasinya
obnoviť	reset
obnoviť	kembalikan
obnoviť	mengembalikan
obnoviť	pulihkan
obnoviť	penyegaran
obnoviť	segarkan
obnoviť	refresh
obnoviť	lanjutkan
obnoviť	resume
ueda	ueda
vodiča	supir
vodiča	sopir
vodiča	penggerak
vodiča	driver
vodiča	pengemudi
vajíčka	eggs
vajíčka	telur
zavedené	diperkenalkan
zavedené	memperkenalkan
zavedené	dikenalkan
zavedené	dilaksanakan
zavedené	diimplementasikan
odborník	ahli
odborník	pakar
odborník	spesialis
bordeaux	bordeaux
sietí	jala
sietí	jaring
sietí	jaringan
sietí	jaringannya
sietí	networks
matematické	matematis
matematické	matematika
magazín	majalah
vypukla	meletus
chápe	memahami
hrdinovia	heroes
hrdinovia	pahlawan
bloky	bongkahan
bloky	blok
bloky	pemblokiran
bloky	blokir
táborov	perkemahan
táborov	kamp
predkov	leluhur
nikde	nowhere
guinea	guinea
ralph	ralph
dáma	nona
dáma	nyonya
dáma	lady
populárna	populer
drámy	drama
pavilón	paviliun
pavilón	pavilion
hospodárska	perekonomian
hospodárska	ekonomi
hodnotenia	ulasan
hodnotenia	review
hodnotenia	resensi
hodnotenia	tinjauan
hodnotenia	peringkat
hodnotenia	rating
robotník	pekerja
premena	konversi
premena	metamorfosis
premena	transformasi
vyriešiť	tekad
vyriešiť	memecahkan
vyriešiť	selesaikan
vyriešiť	pecahkan
mobile	mobile
mobile	seluler
mobile	ponsel
mobile	handphone
živí	feed
živí	kabar
živí	feeds
živí	asupan
živí	hidup
živí	alive
pietro	pietro
roland	roland
spracovania	memroses
spracovania	memproses
spracovania	pemrosesan
spracovania	diproses
spracovania	pengolahan
výslovnosť	pengucapan
priehrady	bendungan
vydávanie	masalah
vydávanie	isu
vydávanie	penerbit
vydávanie	terbitan
vydávanie	penerbitan
vydávanie	publikasi
vydávanie	menerbitkan
autorka	pengarang
autorka	penulis
autorka	pembuat
politikov	politisi
politikov	politikus
uzavretá	terlampir
uzavretá	ditutup
uzavretá	tertutup
uzavretá	tutup
uzavretá	closed
jeruzalem	yerusalem
jeruzalem	jerusalem
jeruzalem	jambu
stôp	feet
stôp	kaki
stôp	trek
stôp	jejak
kennedy	kennedy
pilotov	pilot
odráža	tercermin
odráža	cermin
spoločná	joint
spoločná	sendi
dolu	turun
dolu	down
dolu	turunkan
progress	kemajuan
progress	perkembangan
progress	progres
progress	progress
obľúbené	favourite
obľúbené	favorit
obľúbené	populer
obľúbené	favorit
obľúbené	favorite
obľúbené	kesukaan
obľúbené	terfavorit
obľúbené	favorit
obľúbené	favorit
kino	kino
kino	cinema
kino	bioskop
kino	sinema
značku	brand
značku	merk
značku	merek
bomba	bomb
bomba	bom
aplikácia	lamaran
aplikácia	aplikasi
aplikácia	app
aplikácia	apl
aplikácia	aplikasi
vyšetrenie	pemeriksaan
uplatnenie	akuan
ázijské	asian
ázijské	asia
zástupcu	deputi
štandardný	default
štandardný	baku
štandardný	bawaan
štandardný	standar
štandardný	standar
štandardný	standard
psychológie	psikologi
psychológie	psychology
zameranie	berfokus
zameranie	menargetkan
zameranie	penargetan
zameranie	fokus
zameranie	focus
meter	meter
meter	meteran
meter	meter
príbehov	tales
príbehov	dongeng
príbehov	cerita
príbehov	stories
jevgenij	yevgeny
pozor	perhatian
podrobnosti	perincian
podrobnosti	rincian
podrobnosti	detil
podrobnosti	detail
podrobnosti	perincian
podrobnosti	rincian
podrobnosti	detail
podrobnosti	detil
obnovenie	restorasi
obnovenie	pembaharuan
obnovenie	pembaruan
obnovenie	perpanjangan
oldřich	oldřich
metódu	metoda
metódu	method
metódu	metode
malta	mortir
malta	malta
uzol	node
uzol	nodal
uzol	simpul
uzol	noktah
uzol	nodus
uzol	simpul
uzol	yuzuki
uzol	knot
prednosť	prioritas
prednosť	preferensi
prednosť	didahulukan
prednosť	preseden
ean	ean
káder	ayatullah
menšiny	minoritas
prietok	flow
prietok	mengalir
prietok	mengalirlah
prietok	aliran
prietok	alur
striedavo	bergantian
striedavo	bolak
prevzaté	taken
prevzaté	dibawa
prevzaté	diambil
mŕtvy	tewas
mŕtvy	dead
mŕtvy	mati
vyrábali	diproduksi
leonard	leonard
algoritmus	algoritma
ovládanie	control
ovládanie	kendali
ovládanie	kontrol
ovládanie	pengendalian
ovládanie	mengontrol
ovládanie	kendalikan
ovládanie	kontrol
ovládanie	mengontrol
ovládanie	kendali
strieborná	perak
strieborná	silver
popravený	eksekusi
popravený	dieksekusi
bel	bel
neoficiálne	unofficial
chicagu	chicago
tvoj	your
tvoj	milikmu
tvoj	yours
sekundárne	sekunder
skok	jump
skok	melompat
skok	loncat
skok	lompat
zoskupenie	kluster
zoskupenie	gugus
zoskupenie	cluster
zoskupenie	mengelompokkan
zoskupenie	pengelompokan
gnu	gnu
obmedzenia	pembatasan
obmedzenia	keterbatasan
obmedzenia	batasan
obmedzenia	pembatasan
obmedzenia	pelarangan
obmedzenia	batas
obmedzenia	kendala
reakciu	reaksi
reakciu	tanggapan
tisíce	ribuan
tisíce	beribu
pec	tungku
pec	oven
pec	tanur
pec	pec
testovanie	pengujian
testovanie	testing
testovanie	menguji
železníc	apian
otvorene	terangan
original	asli
original	original
ekvivalent	setara
ekvivalent	ekuivalen
formáte	format
kapitánom	kapten
belo	belo
šľachtic	bangsawan
bejzbal	baseball
bejzbal	bisbol
križovatky	perempatan
križovatky	perpotongan
križovatky	persimpangan
križovatky	junction
križovatky	persimpangan
križovatky	melintas
križovatky	penyeberangan
križovatky	perempatan
križovatky	persimpangan
križovatky	perpotongan
križovatky	persilangan
hollywood	hollywood
obchodník	pedagang
obchodník	trader
vegas	vegas
rekonštrukcie	refurbishment
rekonštrukcie	rekonstruksi
ken	ken
sedimenty	sedimen
žiadal	mengklaim
žiadal	diklaim
chaos	kekacauan
chaos	chaos
viacej	selengkapnya
viacej	lebih
viacej	lainnya
viacej	lagi
schneider	schneider
collins	collins
vysielač	transmitter
vysielač	pemancar
symbolizuje	melambangkan
nominácie	nominasi
chýbajú	hilang
alba	alba
sledovanie	tracking
sledovanie	melacak
sledovanie	pelacakan
sledovanie	pemantauan
sledovanie	monitoring
sledovanie	memonitor
sledovanie	memantau
sledovanie	surveilans
sledovanie	surveillance
sledovanie	pengawasan
sledovanie	mengikuti
sledovanie	follow
sledovanie	ikuti
scénu	adegan
scénu	scene
bohatstvo	keberuntungan
bohatstvo	fortune
bohatstvo	kekayaan
bohatstvo	harta
bohatstvo	kekayaan
