enormt	巨大
dell	dell
sinne	怒り
skinn	レザー
skinn	皮革
skinn	スキン
imponert	感動
imponert	感心
norte	ノルテ
money	お金
money	貨幣
money	マネー
money	金銭
drømmen	ドリーム
drømmen	dream
skjær	cut
skjær	カット
skjær	切り取り
tortur	拷問
barnes	バーンズ
rand	ランド
senegal	セネガル
commission	手数料
commission	コミッション
commission	委嘱
interiør	内部
interiør	内装
interiør	内面
interiør	インテリア
vennene	友だち
vennene	友達
angelo	アンジェロ
eksemplar	標本
eksemplar	見本
regulering	規制
virus	ウィルス
virus	ウイルス
virus	ウィルス
virus	ウイルス
klostre	修道院
klostre	僧院
originalt	オリジナル
tape	テープ
tape	失う
glen	グレン
skulpturen	彫刻
bundesliga	ブンデスリーガ
schlesien	シレジア
avstander	距離
randy	ランディ
caledonia	カレドニア
blank	ピカピカ
blank	空欄
blank	ブランク
liters	リットル
skulptør	彫刻
skulptør	彫刻家
godta	受け入れ
godta	受け入れる
godta	承認
voldsomme	激しい
voldsomme	激戦
duo	デュオ
plikter	雑用
plikter	義務
plikter	職務
frey	フレイ
lykkelig	ハッピー
lykkelig	幸せ
høvding	チーフ
kuttet	スリット
føtter	フィート
føtter	両足
mønstre	パターン
sharp	シャープ
sharp	鋭い
malere	画家
elise	エリーゼ
skygge	シャドー
skygge	シャドウ
skygge	シェイド
skygge	日陰
skygge	シェード
münster	ミュンスター
smart	賢い
smart	賢い
smart	スマート
kaos	カオス
kaos	混沌
judas	ユダ
isak	アイザック
isak	イサク
burns	バーンズ
burns	やけど
tilfeldige	ランダム
sår	傷口
godset	不動産
blinde	ブラインド
blinde	盲人
innovasjon	革新
innovasjon	イノベーション
troskap	忠誠
duett	デュエット
dokumentet	ドキュメント
dokumentet	書類
dokumentet	文書
stage	舞台
stage	ステージ
avsluttende	閉会
reynolds	レイノルズ
kolleger	同僚
kolleger	同僚
publisere	投稿
publisere	掲示
publisere	公開
publisere	出版
publisere	パブリッシング
pen	可愛い
mørket	暗闇
domenico	ドメニコ
berømmelse	名声
rotasjon	回転
rotasjon	ローテーション
airbus	エアバス
synonymer	同義語
synonymer	類義語
gale	風力
gale	クレイジー
trærne	樹木
forvirring	混同
forvirring	混乱
josh	ジョシュ
kirby	カービー
afc	afc
tuberkulose	結核
ambisjoner	願望
ambisjoner	野心
ambisjoner	野心
ambisjoner	野望
armer	アームス
krigere	戦士
krigere	ウォリアーズ
lima	リマ
uvanlige	珍しい
durham	ダラム
tørt	辛口
tørt	ドライ
tørt	乾燥
fiskere	漁師
forandring	チェンジ
forandring	変更
forandring	変化
cornell	コーネル
hubert	ヒューバート
bekymret	心配
beboere	住民
connor	コナー
møbler	家具
abdul	アブドゥル
rwanda	ルワンダ
lynn	リン
bytter	スイッチ
bytter	スイッチング
bytter	切り替え
prestene	司祭
forhandle	交渉
klikk	クリック
klikk	クリック
pensjonerte	退職
pensjonerte	引退
kuwait	クウェート
klager	クレーム
klager	苦情
kjøring	運転
kjøretøyer	乗り物
kjøretøyer	車両
forfedre	先祖
middel	手段
botswana	ボツワナ
mad	マッド
mad	mad
variabel	変数
variabel	可変
mia	mia
mia	ミア
malm	鉱石
legende	伝説
kanton	広東
kanton	カントン
forfatning	体質
forfatning	憲法
overskriften	見出し
uniform	ユニフォーム
uniform	制服
uendelig	インフィニット
nøytralt	中性
nøytralt	ニュートラル
becker	ベッカー
claire	クレア
café	カフェ
café	カフェ
madonna	マドンナ
gates	ゲイツ
drikker	飲む
lensmann	シェリフ
barrett	バレット
iransk	イラン
billig	安い
gjentatt	繰り返し
henge	ハング
førere	ドライバ
førere	ドライバー
lokalbefolkningen	地元
lokalbefolkningen	地元民
balanse	残高
balanse	バランス
ros	賞賛
ros	賛美
rally	ラリー
rally	ラリー
grunne	浅い
grunne	浅瀬
porsche	ポルシェ
børster	ブラシ
ekstrem	エクストリーム
undersøkelsen	調査
undersøkelsen	アンケート
kjede	退屈
kjede	チェイン
kjede	チェーン
eden	エデン
grønnsaker	野菜
hunan	湖南省
capitol	キャピトル
bahrain	バーレーン
belize	ベリーズ
gjenforent	再会
armensk	アルメニア
bitter	苦い
bitter	ビター
jiangsu	江蘇省
samveldet	コモンウェルス
sabel	サーベル
sabel	サーベル
sms	テキスト
sms	sms
fordeling	分布
fordeling	流通
fordeling	配当
feiringen	お祝い
skjerm	画面
skjerm	スクリーン
skjerm	ディスプレイ
skjerm	モニター
skjerm	モニタ
kule	弾丸
kule	銃弾
spore	トラック
globalt	global
globalt	グローバル
making	メイキング
kids	子供
kids	キッズ
arbeidskraft	分娩
arbeidskraft	労働
operaer	オペラ
ukentlig	毎週
ukentlig	週間
ukentlig	週刊
ukentlig	ウィークリー
armen	arm
joshua	ヨシュア
seriøst	マジ
fikse	フィックス
fikse	修正
oak	オーク
going	going
provence	プロヴァンス
slu	ずるい
slu	コソコソ
slu	ずるい
slu	カンニング
dubai	ドバイ
ferie	祝日
ferie	休日
ferie	ホリデー
ferie	休暇
ferie	バカンス
ferie	バケーション
cut	cut
cut	カット
cut	切り取り
talenter	タレント
fallet	落ちる
fallet	落下
kramer	クレイマー
dorothea	ドロテア
synthesizer	シンセサイザー
sult	飢餓
sult	飢え
sult	空腹
rainbow	レインボー
usbekistan	ウズベキスタン
darmstadt	ダルムシュタット
lappland	ラップランド
parametre	パラメータ
parametre	パラメーター
forårsake	原因
vilnius	ヴィリニュス
enhetlig	一貫性
inside	インサイド
kuler	弾丸
kuler	まったり
uoffisiell	非公式
eksplisitt	明示
milde	穏やか
milde	優しい
progressive	プログレッシブ
statuer	彫像
hytter	コテージ
château	シャトー
château	シャトー
berry	ベリー
overvintrer	hibernate
overvintrer	冬眠
programmering	プログラミング
godseier	従者
dorothy	ドロシー
miranda	ミランダ
face	フェイス
opplevelse	エクスペリエンス
opplevelse	体験
opplevelse	経験
kapasiteten	定員
kapasiteten	容量
manila	マニラ
paraná	パラナ
inngang	入学
inngang	玄関
inngang	入口
inngang	入り口
bhutan	ブータン
uttalelser	ステートメント
larve	ケムシ
larve	幼生
muslimsk	イスラム教
muslimsk	ムスリム
pommern	ポメラニア
parma	パルマ
togene	電車
togene	列車
lederskap	リーダーシップ
konverterte	改宗
troende	信者
fester	当事者
fester	パーティ
fester	パーティー
sammy	サミー
avhengige	中毒
avhengige	依存
tyde	解読
dødsstraff	デス
utfordring	チャレンジ
utfordring	挑戦
residens	住居
residens	居所
sitater	引用
blanchard	ブランチャード
jentene	ガールズ
damaskus	ダマスカス
sats	賭ける
sats	ベット
sats	賭け
twh	twh
støv	ダスト
støv	砂塵
støv	ほこり
bark	バーク
bark	樹皮
kontinentale	コンチネンタル
gravlund	墓地
brand	ブランド
brand	銘柄
mynt	硬貨
mynt	コイン
mynt	しっぽ
hood	フード
hood	ボンネット
banjo	バンジョー
distribuert	分散
wessex	ウェセックス
elliott	エリオット
voldsom	激しい
voldsom	激戦
howe	ハウ
kronisk	慢性
kronisk	持病
ist	ist
fødselsdag	生年月日
fødselsdag	バースデー
stabilt	安定
fler	もっと
anonym	アノニマス
anonym	匿名
lópez	ロペス
savner	はずれ
savner	ミス
chi	chi
plattformer	プラットフォーム
bekrefte	認証
bekrefte	検証
bekrefte	確認
godkjenning	承認
unger	子供
unger	キッズ
room	部屋
room	ルーム
stoke	ストーク
jeanne	ジャンヌ
champagne	シャンパン
pioner	パイオニア
kvaliteter	資質
observerte	観測
reporter	リポーター
reporter	レポーター
begravd	埋葬
seremoni	セレモニー
seremoni	儀式
seremoni	式典
syrisk	シリア
vista	vista
vista	ビスタ
beskyldt	被告人
hero	ヒーロー
einstein	アインシュタイン
past	過去
framtid	フューチャー
framtid	未来
framtid	将来
brad	ブラッド
platina	プラチナ
platina	白金
frøken	ミス
forvente	expect
stige	ラダー
stige	ハシゴ
stige	はしご
stige	梯子
ladies	婦人
ladies	レディース
jet	ジェット機
jet	ジェット
toyota	豊田
toyota	トヨタ
politimann	cop
portsmouth	ポーツマス
plymouth	プリマス
kapitler	チャプター
måling	測定
kjærligheten	ラヴ
kjærligheten	ラブ
legemidler	医薬品
rich	金持ち
rich	リッチ
badminton	バドミントン
arbeidsplasser	ジョブ
arbeidsplasser	求人
offshore	オフショア
strasbourg	ストラスブール
klatring	登山
klatring	クライミング
clay	クレイ
clay	粘土
musical	ミュージカル
arctic	北極
kult	クール
kult	涼しい
hello	こんにちは
hello	ハロー
ssp	ssp
høyskole	カレッジ
høyskole	大学
independent	独立
independent	インディペンデント
luster	光沢
vilt	ワイルド
vilt	野生
konto	口座
konto	アカウント
helsinki	ヘルシンキ
stabilitet	安定
stabilitet	安定性
strauss	シュトラウス
sal	サドル
sal	サル
flotte	グレート
klanen	氏族
gnu	gnu
chapman	チャップマン
cox	コックス
nbc	nbc
aske	ash
dig	ディグ
dig	掘る
gloria	グロリア
frances	フランセス
twilight	トワイライト
twilight	たそがれ
aleksej	アレクセイ
aleksej	アレクセイ
aleksej	アレクセイ
aleksej	アレクセイ
produktene	プロダクト
produktene	商品
produktene	製品
dannelse	繁殖
rosenberg	ローゼンベルク
natalie	ナタリー
robbie	ロビー
versailles	ヴェルサイユ
günther	ギュンター
günther	ギュンター
vasa	ヴァーサ
vasa	ヴァーサ
jurij	ユーリイ
jurij	ゆり
jurij	ユーリ
jurij	ユーリイ
billigere	安上がり
passasjerene	乗客
rush	ラッシュ
stripe	ストライプ
cricket	クリケット
cricket	コオロギ
unntaket	例外
homo	ホモ
seneste	最新
elektronikk	エレクトロニクス
being	being
betingelser	規約
betingelser	用語
betingelser	条件
tours	ツアー
tours	トゥール
trinity	三位一体
tilskudd	加算
tilskudd	加法
alive	アライブ
skilsmisse	離婚
touch	タッチ
touch	touch
touch	触る
tåle	耐える
ibrahim	イブラヒム
shanxi	山西省
naboer	近所
atlético	アトレティコ
atlético	アトレチコ
nobel	ノーベル
hestekrefter	馬力
heroes	ヒーローズ
heroes	heroes
overs	スペア
elton	エルトン
misbruk	誤用
misbruk	誤用
misbruk	虐待
ghost	お化け
ghost	幽霊
ghost	ゴースト
gonzález	ゴンサレス
blair	ブレア
québec	ケベック
lukt	匂い
lukt	におい
bratislava	ブラチスラヴァ
fusjon	フュージョン
pluto	冥王星
pluto	プルート
bølge	波動
bølge	ウェーブ
örebro	エレブルー
seminar	セミナー
zagreb	ザグレブ
magasiner	雑誌
overtale	説得
sammenbrudd	内訳
stamfar	先祖
zero	ゼロ
obama	オバマ
holding	持株
lokomotiv	機関車
sammendrag	まとめ
sammendrag	消化器
sammendrag	ダイジェスト
sammendrag	概説
sammendrag	概略
sammendrag	まとめ
sammendrag	概要
sammendrag	要約
close	閉じる
close	クローズ
uttalelse	ステートメント
uttalelse	声明
skjønnhet	美容
moment	moment
moment	瞬間
moment	モーメント
margrete	マーガレット
eleanor	エレノア
leddene	関節
passasjer	乗客
passasjer	旅客
henderson	ヘンダーソン
javier	ハビエル
bestyrer	店長
bestyrer	支配人
bestyrer	マネージャー
bestyrer	マネージャ
sletten	無地
sletten	平野
taktikk	戦術
taktikk	戦術
patricia	パトリシア
hør	聴く
kontinent	大陸
omdømme	評判
sau	ヒツジ
flukten	エスケープ
flukten	脱出
arktiske	北極
metaller	金属
ashley	アシュリー
ashley	アシュレイ
tonight	今夜
tonight	tonight
tonight	トゥナイト
tonight	今晩
easy	イージー
easy	易しい
easy	やさしい
easy	簡単
monumenter	モニュメント
monumenter	記念碑
ella	エラ
forvist	流罪
helsingborg	ヘルシンボリ
tettere	近い
gaius	ガイウス
uhell	アクシデント
uhell	事故
uhell	事故
spekter	範囲
spekter	レンジ
nixon	ニクソン
overvåke	モニター
overvåke	モニタ
lucia	ルチア
lucia	ルシア
albion	アルビオン
mikkel	ミッケル
watch	時計
watch	腕時計
gent	ヘント
gent	ヘント
omsorg	思いやり
omsorg	ケア
omsorg	介護
nash	ナッシュ
prøyssisk	プロイセン
skarpt	シャープ
skarpt	鋭い
strålende	晴れやか
strålende	栄光
waldemar	ヴァルデマー
levi	レビ
sprang	飛躍
banner	バナー
banner	横断幕
capital	資本
capital	首都
capital	キャピタル
glans	光沢
silke	シルク
telle	カウント
telle	カウント
gruvedrift	鉱業
sammenstøt	インパクト
sammenstøt	衝撃
shadow	シャドー
shadow	シャドウ
ødelegger	腐る
samtykke	同意
samtykke	承諾
datoer	日付
bismarck	ビスマルク
sons	息子
gerard	ジェラード
helvete	ヘル
helvete	地獄
avstamning	系統
vatikanet	バチカン
introduksjon	紹介
introduksjon	導入
forstad	郊外
forstad	郊外
kandidatene	候補者
premieren	初演
premieren	プレミア
harlem	ハーレム
forsterke	補強
alpha	alpha
alpha	アルファ
kjeller	地下
kjeller	地下室
paradise	パラダイス
paradise	楽園
kind	親切
utforske	探検
pascal	パスカル
nicole	ニコル
flom	洪水
flom	洪水
beirut	ベイルート
gjenstår	残り
gjenstår	残額
radar	レーダー
innser	気づき
maling	ペンキ
maling	ペイント
maling	塗料
titalls	tens
polo	ポロ
støttespillere	サポーター
funk	ファンク
kar	ガイ
verdensrommet	スペース
verdensrommet	空間
trevor	トレヴァー
trevor	トレバー
truman	トルーマン
horst	ホルスト
slagene	合戦
reelt	real
reelt	本物
reelt	リアル
sene	天丼
travel	忙しい
travel	ビジー
midnight	ミッドナイト
midnight	真夜中
quest	クエスト
relieff	レリーフ
relieff	浮き彫り
troja	トロイ
troja	イリオス
tragedie	悲劇
infanteriet	歩兵
shipping	配送
rådgivere	アドバイザー
rådgivere	カウンセラー
coventry	コヴェントリー
göttingen	ゲッティンゲン
dietrich	ディートリヒ
trone	玉座
bowl	ボウル
rediger	編集
bær	ベリー
buddy	バディ
landsbygda	田舎
tate	テート
tate	テイト
cruise	クルーズ
jeffrey	ジェフリー
unngikk	忌避
once	一度
adel	アデル
adel	貴族
ironisk	皮肉
ironisk	皮肉
opplysning	悟り
speil	ミラー
motto	標語
simone	シモーネ
simone	シモーヌ
anhalt	アンハルト
publiserer	投稿
publiserer	掲示
publiserer	出版
publiserer	パブリッシング
dundee	ダンディー
swing	スウィング
swing	スイング
stab	スタッフ
forvalter	執事
ideelle	理想
veronica	ヴェロニカ
veronica	ベロニカ
oppføringen	出品
potensial	ポテンシャル
klage	苦情
klage	クレーム
klage	アピール
klage	抗告
klage	上告
mercia	マーシア
verne	ヴェルヌ
chaplin	チャップリン
orion	オライオン
orion	オリオン
draft	ドラフト
draft	下書き
gif	gif
rede	ネスト
thüringen	テューリンゲン
shackleton	シャクルトン
did	did
dirty	汚い
dirty	ダーティ
dirty	ダーティー
hamlet	ハムレット
tilfredsstillende	充実
tilfredsstillende	満足
assistanse	援助
potensielt	ポテンシャル
chan	チャン
manfred	マンフレート
delegasjon	委任
delegasjon	委嘱
prefekt	プラエフェクトゥス
farvel	別れ
farvel	さようなら
lukas	ルーカス
nasjonalisme	ナショナリズム
carmen	カルメン
økologisk	生態学
økologisk	有機
gruvene	地雷
lenin	レーニン
beate	ベアテ
regimentet	連隊
latvisk	ラトビア
retningslinjene	ポリシー
retningslinjene	政策
retningslinjene	方針
retningslinjene	指針
retningslinjene	ガイドライン
retningslinjene	ポリシー
retningslinjene	施策
retningslinjene	方針
ultimate	アルティメット
forespørsel	請求
forespørsel	リクエスト
brett	ブレット
bly	リード
lat	だらだら
lat	怠け者
oppretter	作成
humanist	humanist
fields	フィールド
fields	フィールズ
continental	コンチネンタル
ottawa	オタワ
intens	激しい
market	市場
market	マーケット
favoritt	お気に入り
favoritt	お気に入り
rebecca	レベッカ
nød	遭難
nød	必要性
markeder	マーケット
glimt	ちらっと
lou	ルー
vindu	ウィンドウ
skatten	宝物
skatten	財宝
feel	感じる
feel	feel
feel	フィール
etterforskning	調査
etterforskning	捜査
dnb	dnb
faith	信仰
faith	信念
faith	フェイス
sumatra	スマトラ島
granada	グラナダ
hann	男性
hann	オス
sykepleier	ナース
relative	相対
relative	親戚
spider	スパイダー
spider	クモ
ana	ana
ana	アナ
anbefales	おすすめ
anbefales	推奨
katastrofe	災害
nfl	nfl
dominans	支配
harriet	ハリエット
erklærer	申告
erklærer	宣言
buddhisme	仏教
ørret	マス
rettsvitenskap	法学
privilegier	特権
privilegier	特権
mental	メンタル
sánchez	サンチェス
spyd	スピアーズ
many	多数
ekskludert	除外
gruve	鉱山
asteroider	小惑星
manual	manual
manual	手動
manual	マニュアル
katt	ネコ
katt	ねこ
laks	サケ
laks	サーモン
dårligste	最悪
humoristisk	ユーモア
ødeleggelse	ハボック
ødeleggelse	破壊
mobil	モバイル
artemis	アルテミス
tapene	損失
htc	htc
gymnastikk	体操
ricardo	リカルド
basic	基本
basic	ベーシック
basic	basic
twin	ツイン
twin	双生児
twin	双子
tolkninger	解釈
hare	ウサギ
hare	うさぎ
venstresiden	左側
gjemt	隠し
hal	hal
revisjoner	改訂
solist	ソリスト
taekwondo	テコンドー
forelesninger	レクチャー
forelesninger	講義
forelesninger	講演
legion	レギオン
tsjad	チャド
individ	個人
individ	個別
leddyr	節足動物
paula	ポーラ
allmusic	allmusic
prestasjon	功績
prestasjon	事績
prestasjon	達成
prestasjon	実績
chase	チェイス
ang	アン
trans	トランス
insee	insee
rehabilitering	リハビリテーション
rehabilitering	更生
rehabilitering	再生
rehabilitering	リハビリ
snøbrett	スノーボード
antiokos	アンティオコス
angst	不安
kapellmester	楽長
hussein	フセイン
ballett	バレエ
molekyler	分子
agenter	エージェント
atlanteren	アトランティック
atlanteren	大西洋
liberia	リベリア
lorraine	ロレーヌ
meta	メタ
keisere	皇帝
disposisjon	処分
disposisjon	廃棄
brother	兄弟
brother	ブラザー
sivilisasjon	文明
sprer	広がる
ane	姉川
koster	費用
koster	コスト
koster	費用
koster	原価
koster	コスト
sek	sec
zhejiang	浙江省
esperanto	エスペラント
aka	aka
