மற்றும்	и
வளர்ச்சி	развитие
வளர்ச்சி	разработка
வளர்ச்சி	роста
வளர்ச்சி	рост
மாவட்டம்	округ
மாவட்டம்	район
அந்த	это
அந்த	that
மிகவும்	очень
திட்டம்	project
திட்டம்	проекта
திட்டம்	проект
திட்டம்	план
தேசிய	национальные
தேசிய	национальных
தேசிய	national
தேசிய	национальная
தேசிய	национальный
கலந்து	посещающих
இலங்கை	цейлон
இங்கு	здесь
இங்கு	вот
கி	чжи
அமெரிக்க	американский
அமெரிக்க	американские
அமெரிக்க	американская
அமெரிக்க	american
அமெரிக்க	американских
அமெரிக்க	американец
அடிப்படை	основа
அடிப்படை	основание
அடிப்படை	база
அடிப்படை	основание
அடிப்படை	базовые
அடிப்படை	основные
அடிப்படை	базовый
அடிப்படை	базовая
அடிப்படை	basic
பெயர்	имя
பெயர்	название
பெயர்	ярлык
பெயர்	лейбл
பெயர்	метка
மூன்று	три
மூன்று	трое
ஆண்கள்	мужчины
ஆண்கள்	самцы
ஆண்கள்	мужчин
ஆண்கள்	мужчин
ஆண்கள்	men
ஆண்கள்	мужчины
ஆண்கள்	мужики
ஒன்று	собрать
ஒன்று	либо
ஒன்று	одна
ஒன்று	one
ஒன்று	одно
ஒன்று	один
ஐக்கிய	объединенные
ஐக்கிய	united
ஐக்கிய	юнайтед
புதிய	новые
புதிய	новинка
புதிய	новая
புதிய	новый
புதிய	новых
புதிய	новое
புதிய	свежее
புதிய	свежий
புதிய	свежая
புதிய	свежие
அவரது	его
அவரது	ее
அவரது	ей
அவரது	её
மொத்தம்	всего
மொத்தம்	итого
இவை	эти
சிறந்த	здорово
சிறந்த	отлично
சிறந்த	великолепно
சிறந்த	лучшие
சிறந்த	лучшая
சிறந்த	лучший
சிறந்த	best
சிறந்த	лучшее
சிறந்த	превосходно
அரசு	правительство
வசதிகள்	объекты
இந்தியா	индию
இந்தியா	индия
இந்தியா	индии
பெரிய	здорово
பெரிய	отлично
பெரிய	великолепно
பெரிய	большая
பெரிய	big
பெரிய	большие
பெரிய	большой
பெரிய	биг
பெரிய	большой
பெரிய	крупных
பெரிய	крупный
பெரிய	большая
பெரிய	крупные
பெரிய	большие
ஊரக	сельское
ஊரக	сельских
ஊரக	сельские
ஊரக	сельский
நாள்	день
நாள்	day
நாள்	дэй
பிறப்பு	родилась
பிறப்பு	родился
பிறப்பு	роды
பிறப்பு	рождения
பிறப்பு	рождение
பிறப்பு	люк
இருந்தது	был
இருந்தது	было
இருந்தது	была
முக்கிய	основная
முக்கிய	основные
முக்கிய	главная
முக்கிய	основных
முக்கிய	важная
முக்கிய	важно
முக்கிய	важных
முக்கிய	важное
முக்கிய	важные
முக்கிய	важны
பல்வேறு	разнообразие
பல்வேறு	разновидность
பல்வேறு	разновидности
பல்வேறு	различных
பல்வேறு	различные
இருந்த	были
திரைப்படங்கள்	фильмы
திரைப்படங்கள்	кино
பிற	другой
பிற	другая
பிற	другое
பிற	другие
பிற	прочие
அவர்கள்	их
அவர்கள்	они
மொழி	язык
முறை	способ
முறை	метод
முறை	процедура
முறை	процедуры
முறை	режим
முறை	mode
கோயில்	храм
விருது	премия
விருது	награду
விருது	награда
பொதுவாக	общие
பொதுவாக	генерал
அக்டோபர்	октябрь
அக்டோபர்	октября
அக்டோபர்	октябрь
அக்டோபர்	октября
செய்து	совершено
செய்து	совершенные
தன்	его
தன்	бросает
இரண்டாம்	секунда
இரண்டாம்	второй
இரண்டாம்	вторая
இரண்டாம்	второе
இரண்டாம்	среднее
சென்னை	ченнаи
வரும்	приходит
வரும்	иду
வரும்	предстоящие
மே	мая
மே	мэй
மே	май
மே	майские
ஒவ்வொரு	каждая
ஒவ்வொரு	каждую
ஒவ்வொரு	каждый
ஒவ்வொரு	каждое
ஒவ்வொரு	каждая
ஒவ்வொரு	каждому
ஒவ்வொரு	каждый
ஒவ்வொரு	каждое
மட்டுமே	только
வரலாறு	истории
வரலாறு	история
பகுதியில்	область
பகுதியில்	район
பகுதியில்	площадь
நூல்கள்	книг
நூல்கள்	книги
சேர்ந்த	принадлежащих
பின்	пин
பின்	pin
பின்	прикрепить
பின்	после
பின்	after
பின்	назад
பின்	back
பின்	спина
பின்	обратно
இல்லை	не
நவம்பர்	ноября
நவம்பர்	ноябрь
அதிக	высокий
அதிக	high
அதிக	высоко
அதிக	высокого
அதிக	высокая
காலத்தில்	период
மிக	очень
நான்கு	четверо
நான்கு	четыре
பிறகு	тогда
பிறகு	потом
பிறகு	затем
பிறகு	позднее
பிறகு	позже
பிறகு	после
பிறகு	after
அரசியல்	политики
அரசியல்	политика
அரசியல்	политических
அரசியல்	политическая
அரசியல்	политический
பகுதி	частичный
பகுதி	частичная
பகுதி	частичное
பகுதி	частично
பகுதி	область
பகுதி	район
பகுதி	площадь
பகுதி	область
பகுதி	регион
பகுதி	часть
பகுதி	частично
பகுதி	сегмент
பகுதி	сегмента
பற்றி	about
பற்றி	о
ஆறு	шесть
ஆறு	six
ஆறு	шестеро
ஆறு	шестой
ஆறு	ривер
ஆறு	река
ஆறு	реки
மீண்டும்	опять
மீண்டும்	вновь
மீண்டும்	снова
இங்கிலாந்து	англии
இங்கிலாந்து	англия
காலம்	сезон
காலம்	период
காலம்	время
காலம்	времени
காலம்	тайм
காலம்	time
நிலை	позиция
நிலை	должность
நிலை	положение
நிலை	штат
நிலை	состояние
நிலை	государство
நிலை	уровень
நிலை	уровня
நிலை	level
போர்	войны
போர்	war
போர்	война
பொருள்	материал
பொருள்	материалы
பொருள்	произведение
பொருள்	продукта
பொருள்	изделие
பொருள்	товар
பொருள்	продукт
பொருள்	предмет
பொருள்	объект
பொருள்	объекта
பொருள்	синонимы
பொருள்	предмет
பொருள்	субъект
பொருள்	объект
பொருள்	тема
அறிவியல்	наука
அறிவியல்	науки
பேச்சு	речь
பேச்சு	речи
பேச்சு	поговорить
பேச்சு	разговор
பேச்சு	говорить
பேச்சு	разговоры
இதனால்	с
இதனால்	with
அனைத்து	всем
அனைத்து	всех
அனைத்து	all
அனைத்து	все
கல்வி	просвещение
கல்வி	образование
ஏப்ரல்	апр
ஏப்ரல்	эйприл
ஏப்ரல்	апрель
ஏப்ரல்	апреля
உலக	world
உலக	мир
உலக	глобальные
உலக	глобальное
உலக	global
உலக	глобальный
உலக	глобальная
கே	gay
கே	гей
கே	геи
முடியும்	может
முடியும்	могу
முடியும்	можно
முடியும்	can
கீழ்	down
கீழ்	вниз
கீழ்	ниже
கீழ்	нижняя
கீழ்	нижний
கீழ்	нижние
கீழ்	под
கீழ்	низ
கீழ்	снизу
கீழ்	дно
இடம்	место
இடம்	местоположение
இடம்	расположение
இடம்	местонахождение
இடம்	место
இடம்	пространство
இடம்	космической
இடம்	космос
இடம்	space
செப்டம்பர்	сентября
செப்டம்பர்	сентябрь
பேர்	другие
பேர்	прочие
பெரும்	здорово
பெரும்	отлично
பெரும்	великолепно
பெரும்	наглый
சி	чи
நாடுகள்	стран
நாடுகள்	страны
தொகுதி	альбомы
தொகுதி	система
தொகுதி	system
தொகுதி	модуль
கிழக்கு	восточная
கிழக்கு	востоке
கிழக்கு	восток
கிழக்கு	ист
கிழக்கு	east
கிழக்கு	восточный
கிழக்கு	orient
கிழக்கு	восточные
கிழக்கு	восточная
கிழக்கு	восточной
கிழக்கு	восточное
அமைப்பு	настройка
அமைப்பு	настроить
அமைப்பு	система
அமைப்பு	system
அமைப்பு	организации
அமைப்பு	организация
அமைப்பு	структура
அளவு	сумма
அளவு	количество
அளவு	масштаб
அளவு	шкалы
அளவு	шкала
அளவு	масштабы
அளவு	размеры
அளவு	размер
நகர்	нагар
மற்ற	другой
மற்ற	другая
மற்ற	другое
மற்ற	другие
மற்ற	прочие
மற்ற	разное
இந்து	индуистских
இவற்றையும்	эти
தற்போது	сейчас
தற்போது	теперь
பாடல்	песня
பாடல்	песнь
பாடல்	song
உண்டு	доступно
உண்டு	доступные
உண்டு	доступны
உண்டு	доступен
உண்டு	имеющихся
உண்டு	иметь
வாழும்	живущие
வாழும்	живые
வாழும்	живое
இருக்கிறது	доступно
இருக்கிறது	доступные
இருக்கிறது	доступны
இருக்கிறது	доступен
இருக்கிறது	имеющихся
நிறுவனம்	компания
நிறுவனம்	company
நிறுவனம்	рота
நிறுவனம்	компании
நிறுவனம்	заказчик
நிறுவனம்	работодателя
நிறுவனம்	работодатель
நிறுவனம்	организации
நிறுவனம்	организация
நிறுவனம்	организация
நபர்கள்	народ
நபர்கள்	людей
நபர்கள்	люди
காலனி	колония
காலனி	колонии
மேற்கு	запад
மேற்கு	уэст
மேற்கு	западная
மேற்கு	западный
மேற்கு	вест
மேற்கு	западная
மேற்கு	западные
மேற்கு	западной
மேற்கு	западный
மேற்கு	западное
தலைவர்	президент
தலைவர்	председатель
தலைவர்	руководитель
தலைவர்	лидер
முதலில்	первый
முதலில்	сначала
முதலில்	первое
முதலில்	первая
முதலில்	first
சார்ந்த	родственник
சார்ந்த	относительной
சார்ந்த	относительное
சார்ந்த	относительные
சார்ந்த	относительный
சார்ந்த	относительная
சார்ந்த	зависимости
சார்ந்த	зависимость
சார்ந்த	основано
மேல்	сверху
மேல்	верх
மேல்	топ
மேல்	top
நாடு	страна
நாடு	страны
மட்டும்	только
அடிப்படையில்	основа
அடிப்படையில்	основание
எண்	граф
எண்	считать
எண்	число
எண்	номер
எண்	количество
குறிப்பிட்ட	заявил
குறிப்பிட்ட	указаны
குறிப்பிட்ட	указанное
குறிப்பிட்ட	указано
குறிப்பிட்ட	указанных
குறிப்பிட்ட	конкретных
குறிப்பிட்ட	конкретное
குறிப்பிட்ட	конкретный
குறிப்பிட்ட	конкретная
குறிப்பிட்ட	конкретные
செய்ய	сделать
செய்ய	make
சிறிய	маленькая
சிறிய	маленькие
சிறிய	малых
சிறிய	маленький
சிறிய	мелкие
சிறிய	малые
சிறிய	little
சிறிய	маленький
சிறிய	маленькая
சிறிய	мало
சிறிய	маленькие
வந்த	пришла
வந்த	пришел
வந்த	пришёл
வேறு	другой
வேறு	другая
வேறு	другое
வேறு	другие
வேறு	прочие
மார்ச்	марш
மார்ச்	март
மார்ச்	марта
நிலையில்	условие
நிலையில்	состояние
நிலையில்	ступень
நிலையில்	этап
நிலையில்	стадия
நிலையில்	этапе
பெண்	девочка
பெண்	girl
பெண்	девчонка
பெண்	девушка
பெண்	женщину
பெண்	женщина
பெண்	женское
பெண்	женщины
பெண்	женский
பெண்	женская
பெண்	женщина
வெற்றி	успех
வெற்றி	успеха
வெற்றி	выигрывает
வெற்றி	побеждает
வெற்றி	выигрыш
வெற்றி	победы
வெற்றி	победа
வெற்றி	победила
வெற்றி	выиграла
வெற்றி	выиграл
வெற்றி	победил
வெற்றி	победу
வெற்றி	победы
வெற்றி	победа
வெற்றி	победить
வெற்றி	выиграть
வெற்றி	победа
இணைப்பு	связь
இணைப்பு	подключение
இணைப்பு	соединение
இணைப்பு	линк
இணைப்பு	связать
இணைப்பு	ссылка
இணைப்பு	ссылку
இணைப்பு	вложение
இணைப்பு	привязанность
திரைப்படம்	фильм
திரைப்படம்	кино
திரைப்படம்	фильм
திரைப்படம்	film
திரைப்படம்	кино
வகை	категория
வகை	категории
வகை	type
வகை	тип
வகை	режим
வகை	mode
ஐந்து	пятеро
ஐந்து	пять
சிறப்பு	выделенные
சிறப்பு	актуальное
சிறப்பு	рекомендуемые
சிறப்பு	избранные
சிறப்பு	особая
சிறப்பு	специальный
சிறப்பு	специального
சிறப்பு	специальная
சிறப்பு	специальные
சிறப்பு	специальное
தமிழர்	тамилов
விட	чем
சுமார்	about
சுமார்	о
கட்டுரைகள்	статьи
கட்டுரைகள்	статей
கட்டுரைகள்	изделия
படி	читайте
படி	читай
படி	прочитать
படி	прочесть
படி	читать
படி	шаг
மனித	человеческое
மனித	человеческая
மனித	человек
மனித	человека
பெரும்பாலும்	практически
பெரும்பாலும்	почти
பெரும்பாலும்	нередко
பெரும்பாலும்	часто
பெரும்பாலும்	зачастую
பெரும்பாலும்	преимущественно
கட்சி	party
கட்சி	сторона
கட்சி	партия
கட்சி	вечеринка
பொது	общих
பொது	общие
பொது	общая
பொது	общественность
பொது	публичные
பொது	общественности
பொது	общие
பொது	генерал
கல்லூரி	коллегия
கல்லூரி	колледж
இசை	музыка
இசை	музыку
இசை	music
முறையில்	режим
முறையில்	mode
நாட்டின்	страна
நாட்டின்	страны
மத்திய	центральная
மத்திய	центральное
மத்திய	центральной
மத்திய	центральный
மில்லியன்	миллионов
மில்லியன்	миллион
மில்லியன்	млн
மில்லியன்	миллиона
மில்லியன்	миллионов
மில்லியன்	миллионы
நகரம்	city
நகரம்	город
நகரம்	города
எந்த	любой
எந்த	любую
எந்த	любые
எந்த	любое
எந்த	любая
எந்த	которое
எந்த	которая
எந்த	которые
எந்த	который
எனப்படும்	называется
எனப்படும்	звонил
எனப்படும்	позвонил
நீர்	вода
நீர்	воды
நீர்	воду
செய்யும்	делаю
செய்யும்	делаешь
இணைந்து	присоединиться
இணைந்து	присоединяйтесь
விக்கிப்பீடியா	википедия
விக்கிப்பீடியா	википедии
சென்று	ушёл
சென்று	ушли
சென்று	ушла
சென்று	ушел
பார்க்க	видишь
பார்க்க	посмотреть
பார்க்க	см
அணி	матрицы
அணி	матрицу
அணி	матрица
அணி	команда
அணி	team
எழுதிய	написано
எழுதிய	письменные
எழுதிய	письменное
எழுதிய	письменный
எழுதிய	писал
எழுதிய	написала
எழுதிய	написали
எழுதிய	написал
நிலையம்	станция
நிலையம்	station
நிலையம்	вокзал
நிலையம்	станции
தொடர்பான	связанные
மீட்டர்	метр
மீட்டர்	метрах
மீட்டர்	метров
மீட்டர்	счетчик
மீட்டர்	метр
இடத்தில்	место
கோவில்	храм
மாதம்	месяц
மாதம்	месяца
ஆய்வு	изучение
ஆய்வு	исследование
ஆய்வு	исследований
ஆய்வு	исследования
ஆய்வு	исследование
வட	северный
வட	северная
வட	север
வட	норт
வட	северной
குறைந்த	меньшее
குறைந்த	меньшей
குறைந்த	низко
குறைந்த	низкий
குறைந்த	низкая
குறைந்த	низким
குறைந்த	низкое
குறைந்த	меньше
குறைந்த	менее
டிசம்பர்	декабрь
டிசம்பர்	дек
டிசம்பர்	декабрь
முன்	передние
முன்	передняя
முன்	фронт
முன்	пре
முன்	до
முன்	перед
முன்	прежде
வாழ்க்கை	life
வாழ்க்கை	жизнь
வாழ்க்கை	жизни
சனவரி	январь
சனவரி	января
புனித	святая
புனித	святые
புனித	святой
புனித	святейший
புனித	святое
இரண்டாவது	секунда
இரண்டாவது	второй
இரண்டாவது	вторая
இரண்டாவது	второе
இரண்டாவது	среднее
ஆங்கிலம்	английский
ஆங்கிலம்	английская
அங்கு	там
தொழில்	business
தொழில்	бизнес
தொழில்	промышленности
தொழில்	отрасль
தொழில்	индустрия
தொழில்	промышленность
தொழில்	профессия
பழைய	старая
பழைய	old
பழைய	старые
பழைய	старое
பழைய	старый
பழைய	старше
பழைய	старшая
ஆண்டுகள்	годы
ஆண்டுகள்	лет
ஆண்டுகள்	years
குறிப்பாக	особенно
குறிப்பாக	особенно
குறிப்பாக	конкретно
குறிப்பாக	специально
பார்க்கவும்	посетить
பார்க்கவும்	визит
பார்க்கவும்	визита
பார்க்கவும்	посещение
பார்க்கவும்	смотрите
பார்க்கவும்	посмотреть
பார்க்கவும்	смотреть
பார்க்கவும்	часы
துறை	департамент
துறை	порт
துறை	порту
குறிக்கும்	указывая
குறிக்கும்	указывает
கடல்	морские
கடல்	морской
கடல்	морская
கடல்	моря
கடல்	море
கடல்	sea
கடல்	океан
கடல்	океана
போல	нравится
போல	like
போல	как
இதற்கு	для
இதற்கு	for
இதற்கு	за
சிறு	маленькая
சிறு	маленькие
சிறு	малых
சிறு	маленький
சிறு	мелкие
சிறு	малые
சிறு	незначительные
சிறு	мелкие
சிறு	незначительное
சிறு	несовершеннолетний
தென்	южная
தென்	юг
தென்	южный
தென்	южной
உயர்	высокий
உயர்	high
உயர்	высоко
உயர்	высокого
உயர்	высокая
உயர்	deluxe
வடக்கு	северный
வடக்கு	северная
வடக்கு	север
வடக்கு	норт
வடக்கு	северной
ஆட்சி	царство
ஆட்சி	королевство
ஆட்சி	правило
ஆட்சி	управление
மக்களின்	народ
மக்களின்	людей
மக்களின்	люди
நோய்	болезнь
நோய்	заболевание
நோய்	болезни
நோய்	болезнь
நோய்	заболевание
நோய்	заболевания
நோய்	болезни
தேர்தல்	выборы
தேர்தல்	избрание
உற்பத்தி	производство
உற்பத்தி	производства
உற்பத்தி	производство
உற்பத்தி	изготовление
வந்தது	прибыл
வந்தது	приехали
வந்தது	прибыли
வந்தது	прибыла
வந்தது	пришла
வந்தது	пришел
வந்தது	пришёл
கலை	arts
கலை	искусство
கலை	арт
கலை	art
கலை	искусство
தங்கள்	их
சமூக	социальное
சமூக	социального
சமூக	социальный
சமூக	социальная
சமூக	социальные
போல்	бол
போல்	нравится
போல்	like
போல்	как
தர	качество
நூற்றாண்டு	век
நூற்றாண்டு	столетие
அவருடைய	его
உலகின்	миров
உலகின்	миры
அமெரிக்கா	america
அமெரிக்கா	америка
அமெரிக்கா	америки
அமெரிக்கா	америка
பகுதிகளில்	районы
பகுதிகளில்	области
வந்து	приходите
வந்து	приходи
பரிசு	премия
பரிசு	приз
பரிசு	подарок
பரிசு	дар
பிரிவு	категория
பிரிவு	категории
பிரிவு	деление
பிரிவு	дивизион
பிரிவு	подразделение
பிரிவு	отдел
பிரிவு	секция
பிரிவு	раздел
உடல்	body
உடல்	тела
உடல்	тело
இவர்கள்	эти
கூட	даже
கூட	также
கூட	слишком
கூட	тоже
எழுத்தாளர்	писатель
எழுத்தாளர்	сценарист
குழு	группа
குழு	группы
குழு	group
இலக்கிய	литература
இலக்கிய	литературных
இலக்கிய	литературный
விளையாட்டு	спортивные
விளையாட்டு	спорт
விளையாட்டு	спортивная
விளையாட்டு	sports
விளையாட்டு	game
விளையாட்டு	игра
விளையாட்டு	sport
விளையாட்டு	спорт
உறுப்பினர்கள்	членов
உறுப்பினர்கள்	члены
உறுப்பினர்கள்	участники
இறப்பு	death
இறப்பு	смерть
இறப்பு	смертность
அடி	ноги
அடி	стопы
அடி	ступни
அடி	ударил
அடி	хит
துணை	партнер
துணை	напарник
துணை	партнёр
துணை	поддержки
துணை	поддержка
துணை	поддержку
துணை	поддерживаю
துணை	порок
துணை	вице
துணை	заместитель
பதிப்பு	издание
பதிப்பு	версии
பதிப்பு	версия
சொல்	скажи
சொல்	скажем
சொல்	скажите
சொல்	сказать
சொல்	слово
சொல்	word
சொல்	рассказать
சொல்	расскажите
தெற்கு	южная
தெற்கு	юг
தெற்கு	южный
தெற்கு	южной
கட்டுரை	эссе
கட்டுரை	сочинение
கட்டுரை	статья
கட்டுரை	композиция
கட்டுரை	состав
கட்டுரை	статьи
கட்டுரை	статей
கட்டுரை	изделия
வட்டம்	круг
சராசரி	средняя
சராசரி	средний
சராசரி	среднее
தொலைக்காட்சி	телевидения
தொலைக்காட்சி	телевидение
தொலைக்காட்சி	телевизор
முன்னாள்	бывший
முன்னாள்	прежний
முன்னாள்	бывшей
முன்னாள்	бывшие
முன்னாள்	бывшая
எண்ணிக்கை	граф
எண்ணிக்கை	считать
எண்ணிக்கை	частотность
எண்ணிக்கை	периодичность
எண்ணிக்கை	частота
தவிர	исключить
தவிர	кроме
நடிகர்	актёр
நடிகர்	актер
பாடல்கள்	песни
பாடல்கள்	songs
இன்று	сегодня
இன்று	today
சட்டம்	рамку
சட்டம்	кадр
சட்டம்	рамки
சட்டம்	закон
சட்டம்	право
சட்டம்	юридический
சட்டம்	правовая
சட்டம்	правовой
சட்டம்	юридическая
சட்டம்	акт
அருகில்	вблизи
அருகில்	рядом
அருகில்	близко
அருகில்	неподалеку
அருகில்	рядом
அருகில்	поблизости
நேரம்	время
நேரம்	времени
நேரம்	тайм
நேரம்	time
முதலாவது	первый
முதலாவது	сначала
முதலாவது	первое
முதலாவது	первая
முதலாவது	first
நாம்	пусть
நாம்	let
நாம்	позволяет
மூலமாக	виа
மூலமாக	via
மூலமாக	через
மூலமாக	сквозь
மூலமாக	через
உணவு	питание
உணவு	продовольственной
உணவு	пища
உணவு	еды
உணவு	продовольствие
உணவு	еда
குறித்து	about
குறித்து	о
பெப்ரவரி	февраля
பெப்ரவரி	февраль
பகுதிகள்	сегментов
பகுதிகள்	сегменты
பகுதிகள்	компонент
பகுதிகள்	регионы
பகுதிகள்	запчасти
பகுதிகள்	частей
பகுதிகள்	части
பகுதிகள்	районы
பகுதிகள்	области
நிறுவனங்கள்	организации
நிறுவனங்கள்	организаций
நிறுவனங்கள்	компаниям
நிறுவனங்கள்	компании
நிறுவனங்கள்	компаний
ஜனவரி	январь
ஜனவரி	января
எழுத்தாளர்கள்	писатели
எழுத்தாளர்கள்	писателей
நல்ல	хорош
நல்ல	хороша
நல்ல	хороший
நல்ல	хорошее
நல்ல	хорошо
அடுத்த	далее
அடுத்த	следующий
அடுத்த	следующая
அடுத்த	next
படம்	картинка
படம்	фотография
படம்	фотка
படம்	фотография
படம்	фото
படம்	имидж
படம்	картинка
படம்	образ
படம்	изображения
படம்	изображение
பாதுகாப்பு	защита
பாதுகாப்பு	оборона
பாதுகாப்பு	обороны
பாதுகாப்பு	безопасно
பாதுகாப்பு	безопасное
பாதுகாப்பு	сейф
பாதுகாப்பு	защита
பாதுகாப்பு	охрана
பாதுகாப்பு	безопасность
பாதுகாப்பு	безопасность
பாதுகாப்பு	охрана
தந்தை	отче
தந்தை	отец
பங்கு	роль
பங்கு	роли
பார்க்கப்பட்ட	посмотрели
பயன்படுத்தி	использование
பயன்படுத்தி	используя
அவர்களின்	их
செய்த	сделанные
செய்த	сделано
செய்த	сделана
செய்த	сделал
செய்த	сделаны
நியூ	ниуэ
பதிவு	впечатления
பதிவு	впечатление
பதிவு	зарегистрироваться
பதிவு	регистра
பதிவு	регистр
பதிவு	зарегистрировать
பதிவு	реестр
பதிவு	регистрация
பதிவு	запись
பதிவு	рекорд
பதிவு	записать
பதிவு	записывать
பதிவு	регистрация
பதிவு	публикация
பதிவு	post
பதிவு	опубликовать
பதிவு	пост
ஐரோப்பிய	европейская
ஐரோப்பிய	европейского
ஐரோப்பிய	европейское
ஐரோப்பிய	европейский
முழுவதும்	полностью
முழுவதும்	полностью
முழுவதும்	совершенно
முழுவதும்	полный
முழுவதும்	полные
முழுவதும்	полное
முழுவதும்	полного
முழுவதும்	полная
முழுவதும்	полный
முழுவதும்	полная
முழுவதும்	завершить
பயனர்	пользователь
பயனர்	пользователя
பயனர்	пользователю
தொடர்	серийный
தொடர்	последовательный
தொடர்	продолжить
தொடர்	продолжаем
தொடர்	продолжать
ஜூன்	чжун
ஜூன்	июнь
ஜூன்	джун
ஜூன்	июня
வழியாக	виа
வழியாக	via
வழியாக	через
உறுப்பினர்	участник
உறுப்பினர்	член
உறுப்பினர்	членство
உறுப்பினர்	клиента
உறுப்பினர்	клиент
ஆசிரியர்	редактора
ஆசிரியர்	редактор
ஆசிரியர்	учитель
ஆசிரியர்	преподаватель
ஆசிரியர்	учительница
ஆசிரியர்	автор
ஆஃப்	off
ஆஃப்	офф
முக்கியமான	важная
முக்கியமான	важно
முக்கியமான	важных
முக்கியமான	важное
முக்கியமான	важные
முக்கியமான	важны
முக்கியமான	критическая
முக்கியமான	критические
முக்கியமான	критическое
முக்கியமான	критический
தொடர்பு	контакт
தொடர்பு	связаться
தொடர்பு	контакты
செய்தார்	сделал
செய்தார்	сделала
ஜூலை	июль
ஆற்றல்	энергия
ஆற்றல்	energy
ஆற்றல்	энергии
ஆற்றல்	энергетика
கிலோ	кило
கிலோ	килограмм
வேலை	работа
வேலை	работы
வேலை	труд
வேலை	работа
இருக்கலாம்	может
இருக்கலாம்	возможно
சமய	религиозное
சமய	религиозный
சமய	религиозная
சமய	религиозных
பணி	работа
பணி	работа
பணி	работы
பணி	труд
பணி	задача
பணி	задание
கதை	story
கதை	новость
கதை	рассказ
கதை	история
அதிகமாக	еле
அதிகமாக	едва
இடையே	между
பட்டம்	выпускной
பட்டம்	степень
பட்டம்	степени
பட்டம்	кайт
வழி	след
வழி	путь
வழி	way
வழி	способ
அப்போது	тогда
அப்போது	потом
அப்போது	затем
விடுதலை	освобождения
விடுதலை	освобождение
விடுதலை	свободы
விடுதலை	свободу
விடுதலை	свобода
ஆகஸ்ட்	августа
ஆகஸ்ட்	август
தேதி	свидание
தேதி	дата
பிறந்த	роды
பிறந்த	рождения
பிறந்த	рождение
இன்னும்	и
ஜான்	джон
ஜான்	иоанн
ஜான்	джон
ஜான்	яан
அடுத்து	далее
அடுத்து	следующий
