घोटाले	skandal
नग्न	çıplak
नग्न	çıplak
कार्यभार	atama
कार्यभार	görev
एनालॉग	analog
युगों	yuga
रुकावट	tıkanıklık
प्रतिबिंब	yansıma
प्रतिबिंब	yansıması
प्रतिबिंब	ayna
ब्लेड	blade
ब्लेड	bıçak
ब्लेड	kılıç
ब्लेड	bıçaklar
ब्लेड	blades
सदिश	vektör
सदिश	vektörler
स्थगित	askıya
स्थगित	ertelendi
स्थगित	bekleniyor
स्थगित	beklemede
स्थगित	bekleyen
गिरोह	çete
दायित्वों	yükümlülükleri
पावन	kutsal
पावन	mukaddes
मर्यादा	asalet
मर्यादा	itibar
मर्यादा	saygınlık
श्रीनिवास	srinivasa
बैले	bale
बसंत	ilkbahar
बसंत	yay
बसंत	bahar
शर्ट	gömlek
शर्ट	tişört
शर्ट	gömlek
शर्ट	tişörtler
न्यायाधीशों	hakemler
न्यायाधीशों	yargıçlar
न्यायाधीशों	hakimler
तेरी	teri
सेंसर	alıcılar
सेंसर	sensörleri
सेंसर	sensörler
सेंसर	sensör
सेंसर	algılayıcılar
सेंसर	algılayıcı
सेंसर	sensör
स्टैंड	ayağa
स्टैंड	stand
स्टैंड	duruyor
उपनिवेशों	koloni
उपनिवेशों	kolonisi
बहुवचन	çoğul
एकाधिकार	monopoly
मिसौरी	missouri
मारी	marie
मारी	mari
कार्गो	kargo
शुभारंभ	fırlatma
आमेर	amer
दारा	darius
दारा	dara
फ़्रांसीसी	fransızlar
फ़्रांसीसी	fransız
फ़्रांसीसी	fransızca
जादूगर	sihirbazı
जादूगर	büyücü
जादूगर	sihirbaz
जादूगर	sihirbazlar
जादूगर	büyücüler
जादूगर	sihirbaz
प्रतिमान	desen
प्रतिमान	şablon
प्रतिमान	paradigma
सच्चा	doğru
सच्चा	dogru
सच्चा	true
सच्चा	gerçek
वोल्ट	volt
अमोनिया	amonyak
विश्लेषणात्मक	analitik
प्रतिबद्धता	taahhüt
प्रतिबद्धता	kararlılık
प्रतिबद्धता	bağlılık
डू	doo
कॉफ़ी	kahve
उल्टा	ters
उल्टा	tersine
एलेन	ellen
किराए	kiralama
किराए	kiralık
किराए	kira
न्यायालयों	mahkeme
न्यायालयों	mahkemeler
एस्टन	aston
मांसपेशी	kas
मांसपेशी	kaslı
मांसपेशी	kaş
मांसपेशी	kaslar
विषाक्त	zehirli
विषाक्त	toksik
तूफ़ान	fırtınalar
तूफ़ान	tayfun
तूफ़ान	fırtına
तूफ़ान	storm
कड़ा	sımsıkı
कड़ा	sıkı
कड़ा	sıkıca
कड़ा	dar
कड़ा	zor
कड़ा	zoru
कड़ा	sert
बारूद	barut
बदली	bulutlu
पड़ाव	milestone
एंजाइम	enzim
मूसा	musa
मूसा	moses
मूसा	musa
पिंक	pink
पिंक	pembe
सत्येन्द्र	satyendra
बैरी	barry
बैरी	antagonist
कॉमर्स	ticaret
जीप	jeep
जीप	cip
जीप	jip
चलाना	infaz
चलाना	idam
दादी	babaanne
दादी	anneanne
दादी	büyükanne
दादी	babaanne
दादी	anneanne
दादी	büyükanne
कमिश्नर	komiser
पहाड़ियाँ	tepe
पहाड़ियाँ	tepeler
पहाड़ियाँ	dağlar
पहाड़ियाँ	hills
पहाड़ियाँ	tepeleri
मैथ्यू	matthew
गंधक	sülfür
गंधक	sülfür
षड्यंत्र	komplo
अंडमान	andaman
दूषित	bozuk
दूषित	bozulmuş
पश्च	arka
रीडर	okuyucu
रीडर	okur
मिर्ज़ा	mirza
क्रांतिकारियों	devrimci
क्रांतिकारियों	devrimciler
हीरे	elmaslar
हीरे	pırlanta
हीरे	karo
हीरे	elmas
प्रशिक्षक	antrenör
प्रशिक्षक	eğitmeni
प्रशिक्षक	eğitmen
प्रशिक्षक	eğitmen
उषा	usha
नास्तिक	ateizm
नास्तिक	ateist
जासूसी	casusluk
प्रचारित	tanıtımı
सांसारिक	dünyevi
फसलें	ekin
फसलें	ekinler
डायोड	diyot
अमूर्त	soyut
अमूर्त	özet
छोड़ना	kaçının
सौभाग्य	neyseki
सौभाग्य	servet
सौभाग्य	servet
सौभाग्य	talih
ब्रायंट	bryant
गैरी	garry
गैरी	gary
कुश	kush
साइमन	simon
कार्बोनेट	karbonat
हिब्रू	ibranice
बर्ड	kuş
बर्ड	kus
बर्ड	bird
आत्मसमर्पण	teslim
एथलेटिक्स	atletizm
तैराकी	yüzme
तैराकी	yüzmek
हक	huck
हक	haque
संस्थागत	kurumsal
चिट्ठा	blog
ठंड	soğuk
ठंड	soguk
चूहे	fare
चूहे	fareler
चूहे	fareler
चूहे	sıçanlar
लीड	kurşun
दरार	rift
दरार	yarık
दरार	çatlak
दार्शनिकों	filozoflar
नेहरु	nehru
संवेदना	başsağlığı
सॉफ़्टवेयर	yazılım
परवाह	bakım
परवाह	umurumda
परवाह	özen
बमबारी	bombardıman
बमबारी	bomba
कीड़े	solucanlar
कठपुतली	kukla
ग्रीनहाउस	sera
कैम्प	kampı
कैम्प	kamp
कैम्प	kampta
कैम्प	camp
कैम्प	kampları
किस्में	çeşitleri
किस्में	çeşitlilik
किस्में	çeşitli
किस्में	çeşitliliği
विषाक्तता	zehirlenme
विषाक्तता	zehirlenmesi
खोजी	keşif
सम्मेलनों	konferans
सम्मेलनों	konferanslar
चिंतित	endişeli
चिंतित	tedirgin
चिंतित	kaygılı
चिंतित	endişeli
चिंतित	endişe
चिंतित	kaygılı
चिंतित	endişeli
चिंतित	endişe
चिंतित	kaygılı
स्टारबक्स	starbucks
छुटकारा	kurtarır
जॉर्डन	ürdün
जॉर्डन	jordan
एथलीट	sporcu
एथलीट	atlet
एथलीट	sporcular
विधिक	yasal
विधिक	kanuni
विधिक	hukuki
असुरक्षित	güvensiz
असुरक्षित	güvensiz
रेखीय	doğrusal
शहद	tatlım
शहद	bal
शहद	balım
अम्लीय	asidik
ऑपरेटर	santral
ऑपरेटर	operatörü
ऑपरेटर	operatör
ऑपरेटर	operatörleri
नल	geçersiz
नल	sıfır
प्रेसीडेंसी	başkanlık
प्रेसीडेंसी	başkanlığı
प्रेसीडेंसी	cumhurbaşkanlığı
कुक	cook
कुक	çook
कुक	aşçı
मनी	para
मनी	mani
नारा	slogan
चढ़	pas
सेक्टर	sektörü
सेक्टर	sektör
सेक्टर	sektörleri
महासागरीय	okyanusya
क्रियाशील	aktif
क्रियाशील	etkin
क्रियाशील	sıfat
बैठकों	görüşmeler
बैठकों	toplantı
बैठकों	toplantılar
कारें	araba
कारें	arabalar
क्योकि	cünkü
क्योकि	çünkü
सभ्य	terbiyeli
सभ्य	nezih
विकलांगता	sakatlık
दरिया	darya
अनजाने	bilmeden
नोट्स	not
नोट्स	notları
नोट्स	notlar
विलास	vilas
कहें	söyle
कहें	de
कहें	söyleyin
एव	ave
सामी	sami
धर्मशास्त्र	teoloji
सीखा	öğrendim
सीखा	öğrendi
सीखा	öğrenmiş
आर्क	ark
आर्क	arc
आर्क	yay
ट्रम्प	koz
ट्रम्प	trump
मौद्रिक	parasal
यीशु	isa
चश्मे	gözlükler
चश्मे	gözlük
चश्मे	gözlükler
चश्मे	bardaklar
चश्मे	gözlük
चश्मे	gözlüklü
चश्मे	bardak
एक्यूपंक्चर	akupunktur
प्लूटो	pluto
डेनियल	daniel
डेनियल	danilo
थोक	toptan
पैरिस	paris
कामयाबी	başarılar
कामयाबी	başarılı
कामयाबी	başarı
प्रोटोटाइप	prototip
प्रोटोटाइप	prototipi
अभय	abhay
सिलसिले	silas
कुरु	kuru
फर्क	farkı
फर्क	farklılık
फर्क	fark
इयान	lan
इयान	ian
दुग्ध	süt
भयभीत	korkmak
भयभीत	korkmuş
भयभीत	korktum
भयभीत	korkuyor
भयभीत	korkmuş
वसूली	iyileşme
वसूली	kurtarma
मौन	sessiz
मौन	dilsiz
मौन	sessizlik
मौन	sessiz
डिप्लोमा	diploma
घटा	düşüş
घटा	azalma
पॉइंट	puan
पॉइंट	noktalar
पॉइंट	puanlar
पॉइंट	puan
पॉइंट	point
पॉइंट	nokta
त्वरण	hızlanma
जमैका	jamaika
स्केल	ölçeği
स्केल	ölçek
स्केल	ölçekli
मक्खन	yağ
मक्खन	tereyağı
साम्राज्यवाद	emperyalizm
सूत	iplik
सूत	pamuklu
सूत	pamuk
सूत	cotton
इज़राइल	israil
वैधता	yasallık
वैधता	geçerliliği
अनन्य	ayrıcalıklı
अनन्य	özel
सीना	cena
मिथक	efsane
मिथक	mit
श्रृंगार	makyaj
प्रावधानों	erzak
प्रावधानों	hükümler
नतीजा	serpinti
अर्ल	earl
अर्ल	reis
वेदान्त	vedanta
निर्देशिका	dizin
निर्देशिका	dizini
निर्देशिका	rehberi
निर्देशिका	işaret
आंग्ल	anglo
समता	eşitlik
समता	eşitlik
समता	eşitliği
एवेन्यू	bulvarı
एवेन्यू	bulvar
एवेन्यू	avenue
एवेन्यू	caddesi
बेरोजगारी	işsizlik
लत	bağımlılık
लत	bağımlılığı
जुर्माना	iyi
क़ुरान	kuran
क़ुरान	kur
पूर्णता	tamamlanması
पूर्णता	tamamlama
पूर्णता	mükemmellik
ओमान	umman
मार्केटिंग	pazarlama
पीड़ितों	kurbanlar
पीड़ितों	kurbanları
शक्तियां	güçleri
शक्तियां	güçler
शक्तियां	powers
शक्तियां	güçler
शक्तियां	kuvvetler
शक्तियां	kuvvetleri
बादलों	bulutların
बादलों	bulut
बादलों	bulutlara
बादलों	bulutlar
चीता	çita
चीता	çıta
चीता	leopar
मूक	sessiz
मूक	sessiz
मूक	dilsiz
लीन	lyn
प्रतिभाशाली	dahi
प्रतिभाशाली	dâhi
प्रतिभाशाली	deha
प्रतिभाशाली	dahice
प्रतिभाशाली	yetenekli
पनीर	peynirli
पनीर	peynir
स्मार्ट	zeki
स्मार्ट	akıllı
स्मार्ट	akıllıca
नियोक्ता	işverenler
नियोक्ता	işveren
पश्तो	peştuca
मैडोना	madonna
मैडोना	meryem
बराक	barack
बराक	barak
चमकदार	parlak
नाड़ी	nabzı
नाड़ी	nabız
स्पीकर	hoparlör
स्पीकर	konuşmacı
गैसें	gazlar
सहभागिता	nişan
सहभागिता	etkileşim
सहभागिता	etkileşimi
सहभागिता	etkileşim
यों	plank
यों	tahta
गतिविधियाँ	faaliyetler
गतिविधियाँ	etkinlikler
गतिविधियाँ	faaliyetleri
गतिविधियाँ	aktiviteler
इसराइल	israil
वाट	watt
कोच्चि	kochi
कृषक	çiftçiler
कृषक	çiftçi
कृषक	çiftçilerin
ब्राउजर	tarayıcı
गुदा	anüs
गुदा	anal
मूर्तिकला	heykel
शाश्वत	sonsuzluk
किरणें	işınları
वैश्वीकरण	küreselleşme
बैग	poşet
बैग	çanta
बैग	torba
बैग	çanta
बैग	çantalar
बैग	torba
नर्तक	dansçılar
नर्तक	dansçı
ग्लूकोज	glikoz
नीतियाँ	ilkeleri
नीतियाँ	politikaları
नीतियाँ	politikalar
प्रतिभागियों	katılanlar
प्रतिभागियों	katılımcılar
दत्ता	dutta
पढ़ना	okuyorum
पढ़ना	okuma
पढ़ना	okumak
आपरेशन	ameliyat
आपरेशन	işlem
आपरेशन	operasyonu
आपरेशन	operasyon
ब्रॉडबैंड	genişbant
मैनुअल	manuel
मैनुअल	elle
मैनुअल	kılavuz
दर्जन	düzine
सुखद	keyifli
सुखद	keyifli
सस्ती	ucuz
सस्ती	ucuza
गन्ना	şekerkamışı
बेखम	beckham
स्याही	mürekkep
रॉस	ross
हल्दी	zerdeçal
हवाओं	rüzgarları
हवाओं	rüzgar
हवाओं	rüzgâr
हवाओं	rüzgarlar
परम्पराओं	gelenekleri
परम्पराओं	gelenek
परम्पराओं	gelenekler
पूछे	sormak
पूछे	soruyor
पूछे	soran
पूछे	sordu
पूछे	sordum
पूछे	soran
पूछे	istedi
पूछे	sormuş
सेब	elma
सेब	apple
सेब	elmalı
शत्रुओं	nefret
रो	rho
रो	ağlıyorum
रो	ağlayan
रो	ağlamak
रो	ağlıyor
रो	ağlama
पुस्तकालयों	kütüphane
पुस्तकालयों	kütüphaneler
पुस्तकालयों	kütüphane
पुस्तकालयों	kütüphanesi
पांडवों	pandava
चौकी	checkpoint
चौकी	karakolu
चौकी	karakol
बहनों	kız
बहनों	kardeşler
बहनों	rahibeler
अश्लील	porno
आपात	acil
रेसलमेनिया	wrestlemania
नामीबिया	namibya
स्त्रियाँ	kadınları
स्त्रियाँ	kadın
स्त्रियाँ	kadinlar
स्त्रियाँ	kadınlar
एनी	annie
मामा	mama
मामा	anam
मामा	amca
मामा	dayı
रूपांतर	varyantı
नगरीय	şehirli
नगरीय	şehir
नगरीय	kentsel
जैकी	jackie
जैकी	jacky
क्रोधित	öfkeli
क्रोधित	sinirli
क्रोधित	öfkeli
क्रोधित	kızgın
तात्कालिक	acil
तांत्रिक	tantrik
हुक्म	nod
हलके	hafifçe
कमांड	komut
कमांड	emrediyor
कमांड	komut
कमांड	komuta
कोबेन	cobain
विवेकानन्द	vivekananda
बुराई	kötülük
बुराई	kötü
बुराई	şeytan
बुराई	evil
बुराई	şer
टाइपिंग	daktilo
टाइपिंग	yazma
उत्तेजक	kışkırtıcı
उत्तेजक	uyarıcı
दशमलव	ondalık
काई	kai
क्रूर	zalimce
क्रूर	zalim
क्रूर	acımasız
क्रूर	acımasız
जोनाथन	jonathan
फ्लाइट	uçuş
निकटता	yakınlık
निकटता	yakınlığı
निकटता	yakınlık
निकटता	yakınlığı
सैर	yürür
सैर	yürüyor
सैर	yürü
सैर	yürüyüş
चिकनी	yumuşak
चिकनी	pürüzsüz
चिकनी	sorunsuz
चिकनी	yağlı
कैनेडी	kennedy
टाई	beraberlik
टाई	kravat
टाई	berabere
विदेशियों	yabancılar
अनुवादित	çevrildi
अनुवादित	çevrilmiş
करोड़ों	sayısız
इंजीनियरों	mühendisler
इंजीनियरों	mühendisleri
पूछताछ	soruşturma
पूछताछ	sorgu
पूछताछ	sorgulama
पूछताछ	araştırma
पूछताछ	sorularınız
पूछताछ	araştırma
पूछताछ	sorular
सर्पिल	sarmal
सर्पिल	spiral
परिशिष्ट	apandis
गवाही	tanıklık
गवाही	ifade
गवाही	tanıklık
गवाही	ifadesi
वॉकर	walker
लेआउट	düzen
लेआउट	düzeni
लेआउट	yerleşim
कैदियों	mahkumlar
कैदियों	tutsak
कैदियों	esirler
फिजी	fiji
हुक	hook
हुक	kroşe
हुक	kanca
रिटर्न	döner
रिटर्न	döndürür
रिटर्न	iade
रिटर्न	dönüş
रिटर्न	iade
प्लैटिनम	platin
फिल	phil
फिलीपींस	filipinler
दीवारें	duvarları
दीवारें	duvarlar
दीवारें	duvar
सपाट	daire
सपाट	düz
सपाट	yassı
नक़ल	kopya
नक़ल	kopyası
नक़ल	kopyala
नक़ल	kopyalar
नक़ल	kopyaları
फ्रेमवर्क	çerçeve
देशभक्ति	vatanseverlik
केन्या	kenya
बर्बाद	israf
बर्बाद	boşa
बर्बाद	ziyan
बर्बाद	atık
बर्बाद	harcama
बर्बाद	israf
कस्टम	gümrük
कस्टम	özel
अकादमिक	akademik
शेन	shane
असीम	asım
असीम	bitmez
असीम	sonsuz
असीम	bitmeyen
असीम	sınırsız
एकजुट	araya
कोलेस्ट्रॉल	kolesterol
दांते	dante
किंगफिशर	yalıçapkını
बगीचे	bahçe
बगीचे	bahçesi
बगीचे	garden
मुराद	murad
ईमान	faith
ईमान	iman
ईमान	inanç
पोटैशियम	potasyum
केली	kelly
लोकगीत	folklor
सर्बिया	sırbistan
स्प्रिंगस्टीन	springsteen
धर्मनिरपेक्ष	laik
दृष्टिगोचर	görünür
दृष्टिगोचर	görülebilir
तोप	toplar
तोप	cannon
तोप	top
दूरभाष	telefon
शेंगेन	schengen
दुल्हन	gelin
आंत्र	tifo
जस्ता	çinko
उड़	uç
उड़	sinek
उड़	uçmak
गुजरता	geçiyor
माली	maldivler
माली	bahçıvan
माली	mali
परियोजनाएं	projelerin
परियोजनाएं	proje
परियोजनाएं	projeleri
परियोजनाएं	projeler
सिएटल	seattle
प्रिया	priya
टायर	lastikler
टायर	lastikleri
टायर	tekerlekler
टायर	lastik
टायर	lastikler
टायर	lastikleri
टायर	tekerlekler
टायर	lastik
टायर	tekerlek
बाँस	bambu
सुधारक	reformcu
अठारह	eighteen
उत्खनन	kazı
उन्नयन	yükseltme
उन्नयन	yükselme
उन्नयन	yükseliş
उन्नयन	yükseklik
पेंशन	pansiyon
पेंशन	emeklilik
पेंशन	emekli
गरिमा	asalet
गरिमा	itibar
गरिमा	saygınlık
धागे	iplik
बताना	söyle
बताना	anlat
सिलेंडर	silindir
मैक्सिकन	meksikalı
मैक्सिकन	meksika
देशो	ülkeler
देशो	ülkelere
देशो	ülkeleri
खोपड़ी	kafatası
कोलम्बिया	kolombiya
विद्रोहियों	isyancı
विद्रोहियों	asiler
विद्रोहियों	isyancılar
पट्टिका	palet
कैसा	nasil
कैसा	nası
कैसा	nasıl
स्टीवन	steven
टेल	masalı
टेल	öykü
टेल	masal
टेल	kuyruk
कबीले	kabile
कबीले	kabilesi
सूर्योदय	gündoğumu
रणनीतिक	stratejik
रणनीतिक	stratejik
रणनीतिक	taktiksel
रणनीतिक	taktik
रीड	kamış
रीड	reed
प्रक्षेप	projeksiyon
पर्यवेक्षण	gözetim
पर्यवेक्षण	denetim
इसरो	isro
एमी	amy
एमी	emmy
प्लेटो	plato
मीन	balık
कनाडाई	kanadalı
रिसाव	sızıntı
रिसाव	sızıntı
अनावरण	açıkladı
निषिद्ध	yasaklanmış
निषिद्ध	yasaklı
निषिद्ध	yasak
निषिद्ध	yasaktır
निषिद्ध	yasaklanmış
निषिद्ध	yasak
निषिद्ध	yasaklandı
निषिद्ध	yasaktır
सेम	fasulye
सेम	bean
सेम	fasulye
सेम	sem
रॉन	ron
बरसात	dus
बरसात	duş
बरसात	yağmurlu
बरसात	yağmur
बरसात	rain
बरसात	yagmur
बनर्जी	banerjee
इंटेल	istihbarat
फास्ट	hızlı
फास्ट	hizli
यथार्थवाद	gerçekçilik
यथार्थवाद	gerçeklik
बाह	bah
तालिबान	taliban
दर्शनशास्त्र	felsefe
दर्शनशास्त्र	felsefesi
स्वादिष्ट	lezzetli
स्वादिष्ट	enfes
स्वादिष्ट	leziz
स्वादिष्ट	lezzetli
स्वादिष्ट	nefis
स्वादिष्ट	enfes
स्वादिष्ट	leziz
स्वादिष्ट	lezzetli
स्वादिष्ट	nefis
ज्वाला	alev
ज्वाला	alevi
ईंटों	brick
ईंटों	tuğla
कर्ज	borç
कर्ज	borcu
कर्ज	borçlar
सलाद	marul
सलाद	salata
सलाद	salata
जलन	kıskançlık
जलन	kıskanç
जलन	kışkırtıcı
जलन	tahriş
शौकिया	amatörler
शौकिया	amatörce
शौकिया	amatör
अनूठा	sürükleyici
अनूठा	benzersiz
अनूठा	tekil
अनूठा	eşsiz
कैरी	carrie
कैरी	carey
पहेली	yapboz
पहेली	bulmacaları
पहेली	bulmaca
पहेली	bilmece
पहेली	yapboz
पहेली	bulmaca
पहेली	bilmece
पहेली	enigma
पहेली	muamma
चादर	şal
चादर	levha
चादर	çarşaf
चादर	yaprak
जामा	jama
फ्रैंकलिन	franklin
एथिलीन	etilen
सेकेंड	saniye
सेकेंड	saniyeler
सेकेंड	ikinci
सेकेंड	ikincisi
आयताकार	dikdörtgen
प्रस्तावना	giriş
प्रस्तावना	tanıtım
मैनहटन	manhattan
मॉरीशस	mauritius
लावा	lav
बाधाओं	engeller
बाधाओं	engelleri
बाधाओं	bariyer
बाधाओं	engeller
माइग्रेन	migren
परिधान	elbise
परिधान	gelinlik
परिधान	kostüm
परिधान	kostümleri
परिधान	kostümler
परिधान	giysi
परिधान	giyim
परिधान	giyim
गोलीबारी	çatışma
गोलीबारी	çekim
गोलीबारी	atış
हब	hub
जग	world
जग	dünya
जग	dunya
जग	jag
जग	jaguar
पम्प	pompa
मातृ	annelik
बायर	bayer
नाल	nal
पवित्रता	kutsallık
पवित्रता	saflık
लाभप्रद	karlı
लाभप्रद	kazançlı
लाभप्रद	kârlı
रोचेस्टर	rochester
श्रेष्ठता	üstünlük
मुलाक़ात	takılma
डोनाल्ड	donald
रमन	raman
सीढ़ी	merdiven
प्रतिकृति	desen
प्रतिकृति	şablon
प्रतिकृति	kopyaları
घराने	türler
ताड़	palm
ताड़	palmiye
ताड़	avuç
धमाके	bang
सीटी	islık
सीटी	düdük
सीटी	düdüğü
कार्टर	carter
सिरदर्द	başağrısı
कट्टर	dogmatik
कट्टर	kuduz
उपनिवेशवाद	koloni
उपनिवेशवाद	kolonisi
सैंडविच	sandviç
सैंडविच	sandviç
चिप्स	çip
चिप्स	fiş
चिप्स	cips
गुड़	pekmez
चन्द	chand
चन्द	arayanlar
उद्योगपति	sanayici
विधियां	yöntemleri
विधियां	yöntemler
बिखरे	dağılmış
बिखरे	dağınık
दार्जिलिंग	darjeeling
वेस्टमिंस्टर	westminster
शैतान	devil
शैतान	şeytan
शैतान	şeytan
नैनोट्यूब	nanotüp
शीट	levha
शीट	çarşaf
शीट	yaprak
शीट	levhalar
शीट	çarşaf
उद्धार	kurtarma
पैकेजिंग	ambalaj
पैकेजिंग	paketleme
म्यूनिख	münih
शरीफ	şerif
बिस्तर	yatak
दोहराया	tekrarlanan
बोल्ट	sürgülü
बोल्ट	bolt
गुम्बद	kubbe
गुम्बद	kubbeler
सेवानिवृत्ति	emekli
सेवानिवृत्ति	emeklilik
जश्न	kutlama
जश्न	kutlamaları
जश्न	kutlamalar
जश्न	kutlama
जश्न	kutlamalar
जश्न	jamboree
नोबल	noble
नोबल	asil
नोबल	soylu
टायसन	tyson
लहरों	dalgalar
लहरों	dalga
अस्थिरता	dengesizlik
अस्थिरता	istikrarsızlık
संग्रहीत	arşivlenmiş
सीसा	kurşun
सदाबहार	evergreen
कंकाल	iskelet
नाइट्राइट	nitrat
समीर	samir
ऑर	orr
तांबे	bakır
समतुल्य	eşdeğer
जिन्ना	cinnah
फेरारी	ferrari
माईस्पेस	myspace
एमआईटी	mit
भ्रामक	yanıltıcı
संभावनाओं	olasılıklar
संभावनाओं	olasılık
संभावनाओं	ihtimaller
संभावनाओं	olasılıkları
संभावनाओं	olanaklar
केक	pasta
केक	kek
साख	goodwill
जिज्ञासा	merak
जिज्ञासा	meraktan
जिज्ञासा	merakla
अन्याय	adaletsizlik
अन्याय	zulüm
अन्याय	haksızlık
अनुसूची	programı
अनुसूची	zamanlama
अनुसूची	program
अनुसूची	plan
अनुसूची	planla
एनिमेशन	canlandırma
एनिमेशन	animasyon
एनिमेशन	animasyonlar
देखो	bak
इंतजार	bekleyin
इंतजार	bekle
हिम्मत	cesaret
हिम्मत	cesaret
हिम्मत	cüret
प्रमाणपत्र	sertifika
प्रमाणपत्र	sertifikaları
प्रमाणपत्र	belgesi
प्रमाणपत्र	sertifika
प्रमाणपत्र	sertifikası
सांकेतिक	sembolik
असमानता	eşitsizlik
आमदनी	gelir
टिन	tin
टिन	teneke
चारा	yem
चारा	yem
