biodiversidade	biodiversity
rebelde	rebel
rebelde	rebellious
proibido	forbidden
proibido	prohibited
proibido	banned
voivodia	voivodeship
auge	pinnacle
marine	marine
grace	grace
culinária	cuisine
culinária	cooking
culinária	culinary
arizona	arizona
charlotte	charlotte
mito	myth
químicos	chemical
químicos	chemists
químicos	chemicals
uhf	uhf
avó	grandmother
avó	granny
avó	grandma
ênfase	emphasis
consulta	query
consulta	consultation
análises	analytics
análises	analyses
análises	analysis
reverter	revert
reverter	reverse
aula	class
verlag	verlag
dramática	dramatic
filmado	filmed
matando	killing
giro	cute
giro	giro
padres	priests
ferrovia	railway
ferrovia	railroad
fique	stay
segmentos	segments
aplica	applies
elias	elijah
elias	elias
arábia	arabia
arábia	arabian
traços	traits
traços	traces
traços	dashes
soberano	sovereign
colocadas	placed
judeu	jewish
judeu	jew
bruxelas	brussels
bank	bank
divulgar	disclose
vegetais	vegetable
vegetais	vegetables
alimento	food
elétrons	electron
elétrons	electrons
observatório	observatory
esboços	sketches
regresso	comeback
regresso	return
automóvel	car
automóvel	automobile
cana	reed
cana	cane
cana	rod
cana	cana
emma	emma
asiático	asian
cinquenta	fifty
couto	couto
profundamente	profoundly
profundamente	deeply
estética	aesthetics
estética	aesthetic
gradualmente	gradually
dores	pain
centre	centre
augusta	augusta
multi	multi
repercussão	repercussions
massas	pasta
massas	masses
massas	noodles
marta	marta
marta	martha
reduzido	reduced
gospel	gospel
lorenzo	lorenzo
provocou	provoked
legais	legal
mineira	mining
lúcia	lucy
lúcia	lucia
naturalmente	naturally
gustav	gustav
horta	garden
horta	horta
madrugada	dawn
amostra	sample
cbs	cbs
vegetal	vegetable
estabelecimentos	establishments
medalhista	medalist
exibidos	displayed
conteúdos	content
conteúdos	contents
correr	run
georges	georges
empregado	employee
empregado	waiter
empregado	employed
sexuais	sexual
reduzida	reduced
keith	keith
funk	funk
entrando	entering
costume	usual
costume	custom
ronald	ronald
estabilidade	stability
escultor	sculptor
horizontal	horizontal
magic	magic
sensação	feeling
sensação	sensation
convidada	invited
convidada	guest
permanecendo	staying
permanecendo	remaining
poetas	poets
efetivamente	effectively
ludwig	ludwig
samurai	samurai
pretendia	intended
ron	ron
espectro	spectre
espectro	spectrum
espectro	specter
anunciada	announced
fósseis	fossils
fósseis	fossil
sra	mrs
catalunha	catalonia
puro	pure
iugoslávia	yugoslavia
lloyd	lloyd
currículo	résumé
currículo	curriculum
currículo	resume
visuais	visuals
visuais	visual
warren	warren
conquistado	conquered
cuidados	care
barras	bars
premio	prize
slam	slam
tive	had
núcleos	cores
núcleos	nuclei
mudando	changing
arsenal	arsenal
respectivos	respective
mirim	mirim
antigamente	formerly
turcos	turks
turcos	turkish
colina	hill
farol	lighthouse
farol	beacon
conselhos	councils
conselhos	advice
marítima	maritime
parou	stopped
bombas	pumps
bombas	bombs
visa	visa
equipas	teams
escocês	scottish
debates	debates
acusação	accusation
acusação	indictment
acusação	prosecution
investigações	researches
investigações	investigations
adequada	adequate
adequada	suitable
cerebral	cerebral
misericórdia	mercy
mínimos	minima
mínimos	minimum
mínimos	minimal
válidos	valid
assumindo	assuming
guiana	guiana
guiana	guyana
make	make
esquadrão	squadron
esquadrão	squad
registo	register
registo	registry
registo	registration
governante	ruler
piratas	pirates
piratas	pirate
kids	kids
corredor	runner
corredor	hallway
corredor	corridor
corredor	aisle
kingdom	kingdom
vizinho	neighbour
vizinho	neighbor
vestígios	traces
vestígios	vestiges
vestígios	trace
sandra	sandra
profundo	deep
profundo	profound
clipes	clips
tanques	tank
tanques	tanks
ideologia	ideology
arnold	arnold
implica	implies
gerente	manager
urss	ussr
reconhecer	recognize
reconhecer	recognizing
reconhecer	recognise
reconhecer	acknowledge
atrações	attractions
adotou	adopted
imposto	tax
prazer	pleasure
avisado	warned
rené	rené
rené	rene
actor	actor
assinar	subscribe
assinar	signing
assinar	sign
ofereceu	offered
intelectuais	intellectuals
intelectuais	intellectual
caridade	charities
caridade	charity
integrada	integrated
carvão	coal
carvão	charcoal
pistas	slopes
pistas	clues
cordilheira	range
cordilheira	cordillera
presa	stuck
presa	arrested
presa	prey
internacionalmente	internationally
noites	nights
noites	evenings
departamentos	departments
amaro	amaro
barcos	boats
arredores	surroundings
malta	malta
oponente	opponent
básicos	basic
raymond	raymond
dublagem	dubbing
hunter	hunter
iniciando	beginning
iniciando	starting
iniciando	initiating
forest	forest
consideração	consideration
episcopal	episcopal
visitou	visited
salva	saves
salva	sage
salva	save
salva	saved
premier	premier
extensa	extensive
her	her
justo	righteous
justo	fair
anéis	rings
humberto	humbert
humberto	humberto
humberto	umberto
humberto	hubert
átomos	atom
átomos	atoms
ernst	ernst
vanessa	vanessa
comunistas	communists
comunistas	communist
transmitir	transmit
rodovias	highways
sepultado	buried
inspirada	inspired
joan	joan
absurdo	absurdity
absurdo	absurd
absurdo	nonsense
frankfurt	frankfurt
lara	lara
inovação	innovation
florida	florida
falhas	failures
falhas	flaws
falhas	faults
nbc	nbc
meridional	southern
montana	montana
fundir	merge
fundir	merging
dum	dum
felicidade	happiness
suficientes	sufficient
performances	performances
triunfo	triumph
telescópio	telescope
canada	canada
norman	norman
tronco	torso
tronco	trunk
caverna	cave
promessa	promise
promessa	pledge
historicamente	historically
liverpool	liverpool
alternativas	alternative
alternativas	alternatives
dourado	golden
dourado	gold
bebê	baby
harold	harold
comparado	compared
propõe	proposes
propõe	propose
virginia	virginia
transformado	transformed
resultante	resulting
resultante	resultant
portos	harbours
portos	ports
fixa	fixed
adversários	adversary
adversários	adversaries
adversários	opponents
minuto	minute
reitor	provost
reitor	dean
reitor	rector
edge	edge
contemporâneo	contemporary
noiva	fiancee
noiva	bride
noiva	fiancée
noiva	engaged
emi	emi
associadas	affiliated
associadas	associates
associadas	associated
coletiva	collective
pavilhão	flag
pavilhão	pavilion
spin	spin
proximidade	proximity
proximidade	closeness
inserir	insert
insiste	insists
insiste	insist
wii	wii
borda	rim
borda	edge
borda	border
funcionário	employee
funcionário	official
percepção	perception
ganho	gain
loire	loire
nov	nov
acadêmica	academic
frequentes	frequent
frequentes	common
fechada	closed
infra	infra
cinza	gray
cinza	ash
cinza	grey
oxigênio	oxygen
serie	serie
corrêa	corrêa
frequente	common
frequente	frequent
phoenix	phoenix
enviada	sent
muralha	wall
mercedes	mercedes
machos	males
difíceis	difficult
sargento	sarge
sargento	sergeant
indicando	indicating
rachel	rachel
renovação	refurbishment
renovação	renovation
renovação	renewal
manchete	headline
consorte	consort
fragmentos	fragments
exclusivo	exclusive
geometria	geometry
crônica	chronic
crônica	chronicle
telecomunicações	telecommunications
apoiado	backed
apoiado	supported
eficaz	effective
sweet	sweet
hopkins	hopkins
prestígio	prestigious
prestígio	prestige
governadores	governors
coletivo	collective
centímetros	inches
centímetros	centimeters
leipzig	leipzig
say	say
secundárias	secondary
fenômenos	phenomena
fenômenos	phenomenon
enterrado	buried
líbia	libyan
líbia	libya
embarcações	vessels
pouso	landing
issn	issn
nascente	nascent
confrontos	clashes
confrontos	confrontation
confrontos	confrontations
criaturas	creatures
euro	euro
colapso	collapse
parágrafo	paragraph
marx	marx
matheus	matheus
pátria	motherland
pátria	homeland
pátria	fatherland
tigre	tiger
tigre	tigre
pescoço	neck
competir	compete
competir	competing
operar	operate
operar	operating
semestre	semester
ring	ring
temática	thematic
temática	theme
derivados	derivatives
oficina	workshop
estêvão	stephen
estêvão	stefan
dinamarquês	danish
invenção	invention
invenção	invented
hidrogênio	hydrogen
perdida	lost
almas	souls
timor	timor
hebraico	hebrew
jurisdição	jurisdiction
adolfo	adolfo
adolfo	adolf
bactérias	bacterial
bactérias	bacteria
progressivo	progressive
colaborou	collaborated
colaborou	cooperated
requer	requires
alfa	alpha
alfa	alfa
tentaram	tried
reeleito	reelected
verso	verse
harrison	harrison
ligeiramente	slightly
futuros	future
futuros	futures
impróprio	improper
impróprio	unsuitable
impróprio	inappropriate
inferiores	inferior
fiéis	believers
fiéis	faithful
potências	powers
toque	touch
toque	tap
encontros	meetings
encontros	dating
encontros	encounters
subiu	climbed
votado	voted
viajar	travel
viajar	travelling
viajar	traveling
turner	turner
cds	cds
incorporada	incorporated
incorporada	embedded
primárias	primaries
primárias	primary
bombeiros	firefighters
meninos	boys
observado	observed
pertencem	belong
pecuária	livestock
maneiras	ways
maneiras	manners
hills	hills
absoluto	absolute
supercopa	supercopa
money	money
crenças	beliefs
crenças	belief
viseu	viseu
moreno	moreno
compreender	understand
compreender	understanding
lobos	wolves
lobos	lobos
denis	denis
patinação	skating
airlines	airlines
monstros	monsters
sobrevivência	survival
acidentes	accidents
silvio	silvio
continha	contained
vermelhas	red
negativa	negative
parentes	relatives
julia	julia
verificabilidade	verifiability
orgânica	organic
realizando	accomplishing
realizando	performing
significativamente	significantly
raro	rare
caracterizado	featured
caracterizado	characterized
aparecida	aparecida
mariposa	moth
perfeita	perfect
bush	bush
redonda	round
sociologia	sociology
gótico	goth
gótico	gothic
quadrado	square
rodríguez	rodriguez
rodríguez	rodríguez
renânia	rhineland
atacou	attacked
sin	sin
normais	normal
amistoso	friendly
coragem	courage
coragem	bravery
atitudes	attitudes
obtidos	obtained
medeiros	medeiros
vantagens	benefits
vantagens	perks
vantagens	advantages
eyes	eyes
básicas	basics
básicas	basic
directamente	directly
ilegal	illegal
ilegal	unlawful
mansão	mansion
mansão	manor
vítor	viktor
vítor	victor
sugeriu	suggested
submarino	submarine
mudado	changed
intenso	intensive
intenso	intense
adquirir	acquire
ferrari	ferrari
peixoto	peixoto
trilhas	trails
trilhas	tracks
gerando	generating
assistir	watch
espelho	mirror
maracanã	maracanã
expandir	expand
existiu	existed
fritz	fritz
area	area
impede	prevents
allan	allan
boeing	boeing
assalto	assault
assalto	robbery
favoráveis	favourable
favoráveis	favorable
opa	whoops
opa	opa
opa	oops
bourbon	bourbon
hardy	hardy
fêmeas	females
angelo	angelo
trens	trains
sudão	sudan
apareceram	appeared
verbo	verb
móvel	mobile
ampliação	magnification
ampliação	zoom
abraço	hug
abraço	embrace
copas	hearts
vestido	dressed
vestido	dress
muralhas	walls
barragem	dam
jefferson	jefferson
simão	simon
identificado	tagged
identificado	identified
residencial	residential
bastos	bastos
delegação	delegation
michelle	michelle
simmons	simmons
expresso	express
expresso	espresso
expresso	expressed
human	human
jstor	jstor
precipitação	precipitation
khan	khan
produzindo	producing
corda	rope
coligação	coalition
espíritos	spirits
ritual	ritual
luna	luna
procurou	sought
procurou	searched
concluir	finish
concluir	conclude
teto	roof
possibilidades	possibilities
restaurantes	restaurants
cozinha	cuisine
cozinha	cooking
cozinha	kitchen
mariano	mariano
introduziu	introduced
explorar	exploring
explorar	explore
delgada	slender
gaspar	gaspar
comer	eating
comer	eat
mísseis	missiles
mísseis	missile
dívida	debt
field	field
complementar	complementary
complementar	complement
complementar	supplementary
definidos	defined
raças	races
raças	breeds
albânia	albanian
albânia	albania
second	second
únicas	unique
quebec	quebec
médias	averages
luigi	luigi
navarra	navarre
navarra	navarra
amar	loving
amar	amar
fio	wire
fio	thread
tricolor	tricolor
infecção	infection
aparelhos	apparatuses
aparelhos	devices
aparelhos	apparatus
ideais	ideals
ideais	ideal
vizinha	neighbour
vizinha	neighbor
fame	fame
águia	eagle
antioquia	antioch
antioquia	antioquia
than	than
move	moves
soberania	sovereignty
biografias	biographies
oklahoma	oklahoma
main	main
sabor	taste
sabor	flavor
sabor	flavour
kentucky	kentucky
negativo	negative
causado	caused
protestantes	protestants
protestantes	protestant
protestantes	protesters
protestantes	protestors
cantada	sung
inês	inez
inês	ines
inês	inés
inês	agnes
bonita	pretty
úteis	useful
úteis	helpful
navegador	navigator
navegador	browser
vaz	vaz
passe	pass
anfíbio	amphibious
anfíbio	amphibian
petersburgo	petersburg
remo	rowing
remo	remus
remo	oar
remo	paddle
remo	remo
juízes	judges
iowa	iowa
silver	silver
moça	girl
moça	lady
heaven	heaven
corretamente	properly
corretamente	correctly
ralph	ralph
entende	understands
entende	understand
responde	answer
responde	reply
responde	respond
georg	georg
fixo	fixed
penas	feathers
penas	feather
gardens	gardens
segura	hold
segura	safe
segura	secure
info	info
introduzida	introduced
faro	faro
jesuítas	jesuits
jesuítas	jesuit
chipre	cyprus
falcão	falcon
falcão	hawk
falcão	falcão
capturar	capture
capturar	capturing
santarém	santarém
saudita	saudi
marítimo	maritime
pen	pen
inseto	insect
inseto	bug
expectativa	expectation
expectativa	expectations
sultão	sultan
gerenciamento	managing
gerenciamento	management
estrangeiras	foreign
formados	formed
financiamento	financing
financiamento	funding
protesto	objection
protesto	protest
pecado	sin
craig	craig
fugiu	escaped
fugiu	fled
drive	drive
burocratas	bureaucrats
burocratas	bureaucrat
pensando	thinking
wellington	wellington
pilar	pillar
pilar	pilar
geográfico	geographic
geográfico	geographical
full	full
roberts	roberts
pato	duck
classificadas	sorted
classificadas	classified
participante	participant
concreto	concrete
ama	ama
ama	nanny
ama	loves
fiável	reliable
protegido	protected
prefixo	prefix
concedida	granted
institucional	institutional
square	square
lendas	legends
emmy	emmy
prato	dish
prato	plate
mixagem	mix
mixagem	mixing
anuais	annual
difusão	diffusion
difusão	broadcast
difusão	dissemination
pas	pas
psd	psd
tributo	tribute
uruguaio	uruguayan
muro	wall
medicamentos	medicines
fraco	weak
dezesseis	sixteen
demonstrou	demonstrated
demonstração	demo
demonstração	demonstration
faculdades	colleges
faculdades	faculties
bull	bull
salário	salary
salário	wage
salário	wages
rodolfo	rodolfo
rodolfo	rudolph
rodolfo	rudolf
wallace	wallace
cole	cole
comandos	commandos
comandos	commands
comandos	commando
comandos	controls
recomendação	recommendation
coberto	covered
conspiração	plot
conspiração	conspiracy
antero	antero
justificar	justifying
justificar	justify
carol	carol
usos	uses
fall	fall
gilbert	gilbert
jake	jake
concorrentes	contestants
concorrentes	competitors
bibliotecas	libraries
aníbal	hannibal
sagrada	sacred
detalhe	detail
triste	sad
doente	ill
doente	patient
doente	sick
aveiro	aveiro
happy	happy
prédios	buildings
radar	radar
variados	varied
variados	assorted
representações	representations
representações	depictions
bonito	handsome
bonito	pretty
saboia	savoy
pacto	pact
pacto	covenant
cabelos	hair
cabelos	hairs
escândalo	scandal
escândalo	scandalous
rivais	rivals
lyon	lyon
jessica	jessica
absolutamente	absolutely
contemporâneos	contemporary
contemporâneos	contemporaries
pacheco	pacheco
tragédia	tragedy
tyler	tyler
brandão	brandão
suspeita	suspicion
suspeita	suspicious
suspeita	suspect
interessado	interested
diabo	devil
golpes	blows
vela	candle
vela	sail
vela	vela
vela	sailing
vigilância	vigilance
vigilância	surveillance
arquitecto	architect
óbvio	obvious
tiger	tiger
müller	müller
alexandra	alexandra
hal	hal
pesada	heavy
feiras	fairs
feiras	exhibitions
prefeitos	mayors
alessandro	alessandro
equações	equations
myspace	myspace
bruto	crude
bruto	gross
bruto	rough
bruto	brute
regressou	returned
interino	interim
fernández	fernandez
fernández	fernández
trabalhado	worked
linguística	linguistics
linguística	linguistic
wikis	wikis
utilizador	user
johns	johns
tiros	gunshots
tiros	gunfire
tiros	shots
etiópia	ethiopia
etiópia	ethiopian
géneros	genera
géneros	genres
dependência	dependency
dependência	addiction
dependência	dependence
compor	compose
compor	composing
figueira	figueira
aprendeu	learned
aprendeu	learnt
adelaide	adelaide
amado	loved
amado	beloved
alcançado	reached
alcançado	achieved
multidão	mob
multidão	crowd
resolvido	resolved
resolvido	solved
resolvido	sorted
lane	lane
polegadas	inch
polegadas	inches
teodoro	theodore
guarnição	garrison
markku	markku
roland	roland
permanência	permanence
completos	complete
especializado	specialised
especializado	specialized
especializado	specialist
dano	damage
dano	damages
hesse	hessen
hesse	hesse
reconhece	recognises
reconhece	recognize
reconhece	recognise
reconhece	recognizes
reconhece	acknowledges
console	console
barreira	barrier
protestante	protestant
mineral	mineral
promocional	promotional
fina	thin
esperava	expected
esperava	hoped
adolescência	adolescent
adolescência	adolescence
mind	mind
líbano	lebanon
pete	pete
algarve	algarve
sólido	solid
dirigentes	leaders
magnético	magnetic
gigantes	giants
gigantes	giant
licenciatura	degree
licenciatura	graduate
ameaças	threats
ameaças	threat
múltiplos	multiple
múltiplos	multiples
totalidade	totality
mercadorias	commodities
mercadorias	goods
mercadorias	merchandise
mercadorias	freight
agradeço	appreciate
patrícia	patricia
comemoração	commemoration
comemoração	celebration
sentença	sentencing
sentença	sentence
frutas	fruit
frutas	fruits
precisava	needed
índices	indices
índices	index
índices	indexes
prevenção	prevention
melodia	melody
melodia	tune
obtenção	obtaining
junius	junius
eliminados	deleted
eliminados	eliminated
pesquisador	researcher
celebração	celebration
manuscrito	manuscript
crônicas	chronic
crônicas	chronicles
boi	boi
boi	bull
württemberg	württemberg
caçadores	trappers
caçadores	hunters
masters	masters
sebastian	sebastian
separar	separating
separar	separate
incapaz	unable
incapaz	incapable
interessados	interested
interessados	stakeholders
deficiência	handicap
deficiência	deficiency
deficiência	disability
kew	kew
collins	collins
hospitais	hospitals
briga	fight
tomado	taken
maomé	mohammad
maomé	muhammad
maomé	mohammed
maomé	mehmet
removido	removed
painel	dashboard
painel	panel
diariamente	daily
chi	chi
armadura	armor
armadura	armour
micro	micro
cartões	cards
adquirido	acquired
adquirido	purchased
frequentou	attended
recomendações	recommendation
recomendações	recommendations
garantia	warranty
garantia	collateral
garantia	guarantee
greatest	greatest
predominantemente	predominantly
criminal	criminal
luxo	luxury
phillips	phillips
boxe	boxing
esculturas	sculpture
esculturas	sculptures
born	born
novatos	beginners
novatos	newbies
novatos	rookies
aurora	aurora
mitchell	mitchell
made	made
subida	climb
subida	rise
subida	ascent
subdivisões	subdivisions
subdivisões	subdivision
claudio	claudio
patrocínio	patronage
patrocínio	sponsoring
patrocínio	sponsor
patrocínio	sponsorship
macho	macho
macho	male
saxônia	saxony
setúbal	setúbal
detroit	detroit
querendo	wanting
hardware	hardware
ouvido	heard
ouvido	ear
perdas	loss
perdas	losses
urbanas	urban
lesões	lesions
lesões	injury
lesões	injuries
alencar	alencar
visitas	visits
nervoso	nervous
han	han
soviéticos	soviets
soviéticos	soviet
febre	fever
transformando	transforming
transformando	turning
adoção	adoption
ltd	ltd
separadas	separated
hudson	hudson
maratona	marathon
elvis	elvis
cobra	cobra
cobra	snake
monges	monks
preparar	prepare
andamento	progress
andamento	tempo
escolhidos	chosen
socialismo	socialism
june	june
ice	ice
colecção	collection
honorário	honorary
fotógrafo	photographer
ruth	ruth
jesse	jesse
romântico	romantic
experimentos	experiments
gramática	grammar
laços	ties
divididas	divided
acer	acer
riscos	risks
riscos	risk
trocar	switch
trocar	swap
nilo	nile
vital	vital
atribuição	allocation
atribuição	assignment
atribuição	attribution
patrono	patron
ted	ted
mônica	monica
regência	regency
consistia	consisted
hart	hart
novato	novice
novato	newbie
novato	rookie
mensal	monthly
favorito	bookmark
favorito	favourite
favorito	favorite
conservador	conservative
veloso	veloso
espetáculos	spectacles
espetáculos	shows
martín	martín
martín	martin
circo	circus
selecionado	selected
irene	irene
bebidas	beverage
bebidas	beverages
bebidas	drinks
caçador	huntsman
caçador	hunter
monge	monk
naruto	naruto
buscando	fetching
buscando	seeking
pôr	put
atacado	wholesale
atacado	attacked
trigo	wheat
quentes	warm
murphy	murphy
ante	ante
cenários	scenarios
pacote	pack
pacote	bundle
pacote	package
silêncio	hush
silêncio	quiet
silêncio	silence
silêncio	silent
nicholas	nicholas
kenneth	kenneth
buraco	hole
definitiva	definitive
nono	nono
nono	ninth
pernambucano	pernambucano
romanas	roman
principado	principality
helen	helen
ascendência	ancestry
ascendência	descent
sentiu	felt
esperando	waiting
esperando	expecting
esperando	hoping
madame	madam
madame	madame
carácter	character
ernest	ernest
voltas	laps
cap	cap
delegado	delegated
delegado	delegate
delegado	deputy
funcional	functional
amadores	amateurs
amadores	amateur
protecção	protective
protecção	protection
jogado	played
transferida	transferred
pérez	perez
pérez	pérez
empresarial	corporate
next	next
conferir	confer
ajudando	helping
leves	lightweight
montevidéu	montevideo
arranjo	arrangement
agências	agencies
margaret	margaret
standard	standard
respectivas	respective
adolf	adolf
jam	jam
seattle	seattle
aaron	aaron
cruzada	crusade
cruzada	crusader
preparado	ready
preparado	prepared
chamando	calling
servido	served
bass	bass
receitas	revenue
receitas	recipes
