ve	and
osmanlı	ottoman
osmanlı	ottomans
longd	longd
longm	longm
latm	latm
devlet	state
devlet	government
ankara	ankara
lats	lats
colspan	colspan
üç	three
tarihi	date
tarihi	historical
tarihi	history
başladı	started
başladı	begun
küçük	small
küçük	lil
küçük	little
müzik	music
gelen	incoming
resmi	formal
resmi	picture
resmi	official
kabul	agreed
kabul	acceptance
kabul	accepts
kabul	accept
kabul	accepted
kabul	agree
devam	continue
devam	keep
kupası	cup
fazla	excess
okulu	school
aldı	taken
aldı	took
aldı	received
em	suck
sahip	dominus
sahip	sahib
farklı	different
futbol	soccer
futbol	football
ileti	message
doğru	accurate
doğru	right
doğru	true
doğru	correct
tarım	agricultural
tarım	farming
tarım	agriculture
on	ten
özel	exclusive
özel	private
özel	special
özel	custom
biri	someone
biri	somebody
biri	one
alanı	field
alanı	area
vikipedi	wikipedia
uzun	tall
uzun	extended
uzun	long
şarkı	singing
şarkı	songs
şarkı	song
eden	eden
lig	league
orta	medium
orta	mid
orta	center
orta	centre
oyuncu	player
oyuncu	actor
oyuncu	actress
geri	back
mesaj	text
mesaj	message
mesaj	messages
elektrik	electricity
elektrik	electrical
elektrik	electric
ardından	after
merkezi	central
merkezi	center
merkezi	centre
kısa	short
kısa	brief
güney	southern
güney	south
almanya	germany
kişi	person
değil	not
kuzey	north
kuzey	northern
çeşitli	varied
çeşitli	variety
çeşitli	miscellaneous
çeşitli	various
açıklama	explanation
açıklama	description
team	team
ortaya	reveal
ortaya	uncover
bilgileri	info
fransa	france
ingilizce	english
olmak	being
olmak	becoming
amerika	america
amerika	usa
el	hand
başka	else
burada	here
yok	none
yok	nope
gol	lake
gol	goal
gol	goals
sağlayan	enabling
sağlayan	providing
ana	main
ana	ana
ana	mother
suyu	juice
özellikle	particularly
özellikle	especially
özellikle	specifically
özellikle	specially
ilköğretim	elementary
birleşik	unified
birleşik	united
ödülü	reward
ödülü	prize
ödülü	award
altyapı	infrastructure
altyapı	substructure
altyapı	infrastructures
yerine	replace
gün	day
geçen	passing
geçen	elapsed
doğu	east
doğu	oriental
doğu	orient
doğu	eastern
süre	time
süre	duration
sabit	steady
sabit	fixed
sabit	constant
sabit	stable
eğitim	training
eğitim	education
eğitim	educational
eğitim	tutorial
su	water
sırasında	during
uluslararası	international
olur	happens
yaklaşık	approx
yaklaşık	about
yaklaşık	approximate
yaklaşık	approximately
alman	german
alman	germans
az	little
az	less
millî	national
kaynak	source
kaynak	resource
kaynak	resources
kaynak	welding
evi	evi
ali	ali
kullanılan	used
paşa	pasha
ligi	league
görev	duty
görev	task
görev	assignment
görev	mission
halk	peoples
halk	public
halk	people
tv	television
onun	his
onun	her
yine	again
ekonomisi	economy
yılı	year
telefon	phone
telefon	telephone
yeniden	again
yeniden	rebuild
içme	drinking
etki	impact
etki	influence
etki	effect
ben	ben
sezon	season
john	john
albüm	album
albüm	albums
ingiliz	brit
ingiliz	british
ingiliz	english
puan	point
puan	rating
puan	score
puan	rated
puan	points
nedeniyle	due
nüfus	populations
nüfus	population
batı	west
batı	western
altında	underneath
altında	under
tür	genre
tür	type
tür	species
amerikan	american
savaş	battle
savaş	war
savaş	combat
savaş	fight
tekrar	again
tekrar	repeat
tekrar	replay
anadolu	anatolia
anadolu	anadolu
anadolu	asia
söz	promise
söz	word
rağmen	spite
rağmen	despite
grubu	group
bgcolor	bgcolor
elde	acquired
elde	acquire
elde	achieved
elde	achieve
https	https
ait	belongs
ait	belonging
ait	belong
kadın	woman
kadın	female
kadın	women
türkçe	english
türkçe	turkish
wikipedia	wikipedia
kullanıcı	user
kullanıcı	users
tam	full
tam	complete
tam	tam
birliği	union
kanalizasyon	sewers
kanalizasyon	sewer
kanalizasyon	sewage
kanalizasyon	sewerage
maç	mac
maç	game
maç	match
white	white
http	http
roma	rome
roma	roma
at	horse
at	throw
bölüm	chapter
bölüm	division
bölüm	episode
bölüm	section
bölüm	part
bölüm	department
yazar	writer
yazar	author
sıra	rows
sıra	row
ulusal	national
köyü	village
teknik	technical
teknik	technique
teknik	tech
nüfusu	populations
nüfusu	population
deniz	marine
deniz	deniz
deniz	sea
uygun	fit
uygun	eligible
uygun	convenient
uygun	appropriate
uygun	suitable
bütün	whole
yakın	near
yakın	close
yakın	nearby
listesi	list
eder	eder
dört	four
iç	interior
iç	sigh
iç	drink
club	club
ingiltere	england
from	from
alt	lower
alt	sub
alt	bottom
alt	beat
alt	alt
asfalt	asphalt
fransız	frenchman
fransız	french
mehmet	mehmet
mehmet	mehmed
belediye	municipality
belediye	municipal
stadyumu	stadium
sonucu	consequence
rusya	belarus
rusya	russia
genellikle	mostly
genellikle	generally
genellikle	usually
genellikle	typically
space	space
com	com
bar	bar
bar	pub
sonunda	finally
parti	party
erkek	men
erkek	male
erkek	man
beyaz	white
beyaz	caucasian
bölge	region
bölge	territory
bölge	district
bölge	zone
bölge	area
italya	italy
onu	him
onu	her
hava	weather
hava	air
verilen	given
çünkü	because
çünkü	cause
birkaç	few
birkaç	several
il	province
dönem	term
dönem	period
dönem	semester
açık	clear
açık	open
futbolcu	footballer
insan	person
insan	man
insan	human
merkez	headquarters
merkez	central
merkez	center
merkez	centre
düşük	low
olmayan	non
altın	golden
altın	gold
bilinen	known
neden	why
bin	bin
bin	thousand
genç	teen
genç	younger
genç	young
genç	youth
genç	teenager
dışında	except
kır	break
nowrap	nowrap
stadyum	stadium
ülke	country
dil	languages
dil	tongue
dil	language
pozisyon	position
pozisyon	positions
mustafa	mostafa
mustafa	mustafa
dahil	included
dahil	incl
dahil	include
dahil	including
dahil	includes
an	moment
iş	job
iş	work
iş	jobs
iş	business
bölümü	section
bölümü	department
ili	governorate
gelir	incomes
gelir	revenue
gelir	income
kullanım	usage
kullanım	use
sanat	arts
sanat	art
arasındaki	between
üçüncü	third
bunu	this
bunu	that
sonraki	next
ele	conquer
güzel	beautiful
güzel	good
güzel	nice
güzel	pretty
güzel	lovely
web	web
alır	takes
çocuk	boy
çocuk	kid
çocuk	children
çocuk	child
sinema	movie
sinema	movies
sinema	cinema
askeri	military
örneğin	example
üst	top
paris	paris
kara	kara
kara	black
kara	land
oyun	gaming
oyun	game
oyun	games
oyun	play
beraber	together
sırada	next
york	york
şablon	templates
şablon	pattern
şablon	template
aday	applicant
aday	nominated
aday	candidate
milyon	million
milyon	millions
top	cannon
top	top
top	ball
hakem	umpire
hakem	referee
hakem	ref
ay	month
ay	months
ay	moon
imparatorluğu	empire
internet	web
internet	internet
herhangi	any
tiyatro	drama
tiyatro	theatrical
tiyatro	theater
tiyatro	theatre
bey	bey
kazandı	wins
kazandı	won
kültür	culture
kültür	cultural
kültür	cultures
karar	verdict
karar	decision
karar	decided
karar	decisions
tarih	date
tarih	history
ilçe	county
ilçe	district
temel	foundation
temel	basics
temel	basic
konu	topic
konu	subject
bağlantı	connection
bağlantı	contact
bağlantı	link
çin	china
ünlü	famous
ünlü	celebrity
spor	sport
spor	sports
kalan	remaining
meslek	profession
meslek	vocational
meslek	vocation
meslek	occupation
sultan	sultana
sultan	sultan
iran	iran
iran	persian
telif	royalties
telif	copyright
ahmet	ahmet
ahmet	ahmed
ahmet	ahmad
çıktı	output
ispanya	spain
php	php
bile	even
izmir	smyrna
izmir	izmir
sosyal	sociable
sosyal	social
cm	inches
japonya	japan
ün	fame
geldi	arrived
liste	list
liste	lists
isbn	isbn
caps	caps
oy	vote
oy	votes
oy	voting
geniş	wide
geniş	broad
geniş	large
geniş	spacious
ev	home
ev	house
transfer	transfer
transfer	transferring
transfer	transfers
önceki	previous
önceki	prev
önceki	before
mısır	egypt
mısır	corn
mısır	egyptian
rus	russian
yarı	semi
yarı	half
afrika	africa
afrika	african
hareket	motion
hareket	move
hareket	movement
adil	fair
bölgesi	region
bölgesi	territory
kontrol	control
kontrol	checking
kontrol	controlling
kontrol	check
sahibi	owner
bilim	science
üreten	producing
üreten	manufactures
william	william
sistemi	system
başarılı	successful
başarılı	successfully
başarılı	success
çoğu	most
ordu	military
ordu	ordu
ordu	army
verdi	gave
verdi	verdi
yaşayan	living
profesyonel	professional
profesyonel	pro
profesyonel	professionals
süper	superb
süper	super
süper	cool
hiç	none
hiç	never
hiç	ever
ngc	ngc
ifade	express
ifade	deposition
ifade	statement
ifade	testimony
ifade	expression
şey	thing
rol	role
rol	roles
islam	islamic
islam	islam
rapor	report
kullanılır	used
yerel	local
yönetim	management
yönetim	administration
yönetim	governance
video	video
video	videos
kurulan	established
kurulan	founded
beş	five
altı	sixes
altı	six
final	finale
final	final
final	finals
forma	uniform
forma	jersey
dizi	series
dizi	array
dizi	sequence
şeklinde	shaped
gerekli	necessary
gerekli	essentials
gerekli	required
gerekli	essential
iklim	climate
ayrı	separated
ayrı	separate
ayrı	apart
veri	data
şampiyonası	championships
şampiyonası	championship
yerleşim	residential
yerleşim	settlement
yerleşim	layout
kariyeri	career
adet	menstruation
adet	period
yaz	write
yaz	summer
kuvvetleri	forces
tespit	detection
tespit	detected
tespit	detect
göz	browse
göz	eyes
göz	eye
mö	moo
televizyon	television
galatasaray	galatasaray
galatasaray	liverpool
sezonu	season
yayın	broadcast
yayın	publication
yayın	publishing
fenerbahçe	fenerbahçe
karasal	terrestrial
durum	status
durum	situation
durum	condition
yıldız	stellar
yıldız	asterisk
yıldız	star
yıldız	stars
yıldız	yıldız
gelenek	traditions
gelenek	tradition
nasıl	how
idi	idi
tip	type
city	city
mücadele	fighting
mücadele	fight
mücadele	struggle
yeri	location
yardımcı	assistant
yardımcı	deputy
yıllık	yearly
yıllık	annual
yıllık	yearbook
kız	sisters
kız	girl
kız	gal
cumhuriyet	commonwealth
cumhuriyet	republican
cumhuriyet	republic
bağımsız	indie
bağımsız	independent
bunlar	these
bunlar	those
yanlış	incorrect
yanlış	wrong
yanlış	false
al	take
al	get
kurulu	board
kurulu	installed
msj	msg
gerçek	real
gerçek	true
gerçek	fact
gerçek	truth
ses	sound
ses	voice
ses	audio
ses	noise
ses	volume
david	david
rock	rockin
rock	rock
milli	national
milli	milli
kitap	book
kitap	books
uefa	uefa
temsil	representation
temsil	representing
temsil	represent
temsil	representations
ten	skin
world	world
ödülleri	rewards
ödülleri	awards
ödülleri	prizes
with	with
saat	watches
saat	hour
saat	clock
güneş	sun
güneş	sunshine
güneş	solar
yazarı	author
san	san
haline	become
kaldı	remaining
kaldı	stayed
iii	iii
bakanı	minister
modern	modern
siyasi	political
benzer	similar
benzer	lookalike
krallık	kingdom
doğal	natural
inşa	building
inşa	build
inşa	construct
inşa	built
doğdu	born
yeterli	adequate
yeterli	sufficient
ortak	partners
ortak	partner
michael	michael
londra	london
türü	genre
türü	type
başkanlığı	presidency
başkanlığı	chairmanship
göç	migrate
göç	emigration
göç	exodus
göç	migration
göç	immigration
james	james
as	aces
as	hang
as	ace
bakanlığı	ministry
kurulmuştur	established
van	van
logo	logo
logo	logos
örnek	sample
örnek	example
kemal	kamal
kemal	kemal
durumu	status
durumu	condition
israil	israel
veren	giver
kırmızı	red
yönetmen	director
yönetmen	directed
yönetmen	filmmaker
ön	front
tamamen	fully
tamamen	completely
tamamen	totally
atatürk	ataturk
atatürk	atatürk
tipi	type
tipi	blizzard
araştırma	inquiries
araştırma	research
orijinal	original
orijinal	originals
avusturya	austria
yardım	assistance
yardım	help
serbest	release
serbest	freestyle
serbest	freelance
serbest	free
serbest	released
değer	values
değer	worth
değer	value
oranı	rate
oranı	ratio
şarkıcı	singer
destek	supports
destek	support
destek	backup
destek	supporting
katıldı	attended
bugün	today
single	single
hafta	week
hafta	weeks
ekonomik	economic
ekonomik	economy
adam	guy
adam	adam
adam	man
it	push
etkili	efficient
etkili	influential
etkili	effective
yayınları	publications
resmî	official
nehri	river
hizmet	services
hizmet	serve
hizmet	service
güçlü	strong
güçlü	powerful
güçlü	powered
arası	between
asya	asian
asya	asia
yolu	path
girdi	input
girdi	entered
girdi	entry
sayı	score
sayı	number
çalışma	study
çalışma	work
yıllar	years
başlar	begins
başlar	starts
hukuk	law
roman	roman
roman	novel
roman	fiction
ilan	advertisement
başlık	headline
başlık	header
başlık	title
robert	robert
sürekli	constantly
sürekli	continuous
kral	king
sonrasında	aftermath
sonrasında	after
hatta	even
aile	family
metre	meters
metre	metres
metre	meter
basketbol	basketball
kullanımı	usage
kullanımı	using
kullanımı	use
vardı	had
sovyet	soviets
sovyet	soviet
bursa	bursa
kıbrıs	cyprus
ticaret	commerce
ticaret	trading
ticaret	business
ticaret	trade
üzerinden	via
can	can
can	bell
kardeş	sister
kardeş	brother
benim	mine
belli	certain
belli	obvious
öldü	died
öldü	dead
hızlı	fast
hızlı	speedy
hızlı	quick
hızlı	speed
yabancı	alien
yabancı	stranger
yabancı	foreigner
yabancı	foreign
yabancı	strangers
der	der
yerli	domestic
yerli	indigenous
yerli	indian
yerli	local
yerli	native
ağır	heavy
ağır	weigh
oynadı	played
kiralık	rentals
kiralık	rental
kiralık	rent
ticari	commercial
aslında	actually
avustralya	australia
enerji	energy
yunan	greek
yunan	hellenic
zaten	already
madalya	medal
madalya	medals
mevcut	available
mevcut	current
mevcut	present
mevcut	existing
yarışması	contest
akdeniz	mediterranean
azerbaycan	azerbaijan
güç	strength
güç	force
güç	power
milletvekili	congresswoman
milletvekili	congressman
ileri	forward
ileri	advanced
ileri	forwards
yüzyıl	century
hakları	rights
sol	left
sayfası	page
çalışmalar	studies
italyan	italian
değişiklik	modification
değişiklik	changes
değişiklik	alteration
değişiklik	change
saha	field
beşiktaş	beşiktaş
sık	squeeze
tur	tur
tur	tour
japon	japanese
dili	tongue
dili	dili
dili	language
yüzey	surfaces
yüzey	surface
başkan	president
başkan	chairman
ek	addition
ek	additional
ek	annex
konusu	subject
metal	metal
metal	fullmetal
metal	metals
metal	metallic
maddeler	substances
yaygın	pervasive
yaygın	common
kulübü	club
tanımlar	definitions
tanımlar	defines
fark	spotted
fark	notice
fark	realization
fark	difference
şampiyon	champ
şampiyon	champion
şampiyon	champions
yunanistan	greece
ölüm	death
bizans	byzantium
bizans	byzantine
radyo	radio
hasan	hassan
hasan	hasan
bölgede	region
kanada	canada
ilçesi	district
gitar	guitar
gitar	guitars
yayınlanan	published
arap	arab
arap	arabic
arap	arabian
posta	postage
posta	mail
posta	postal
yalnızca	only
yapı	structure
eyalet	state
not	note
not	notes
güncelleme	update
güncelleme	updating
hüseyin	hossein
hüseyin	hussein
hüseyin	hussain
hüseyin	hüseyin
sanatçı	artists
sanatçı	artist
tartışma	discussions
tartışma	discussion
tartışma	dispute
tartışma	argument
tartışma	debate
kapak	lid
kapak	cover
kapak	hatch
paul	paul
baş	head
barış	peace
düşünüyorum	thinking
tan	tan
yaşam	life
black	black
ibrahim	ibrahim
ibrahim	abraham
mevcuttur	available
kanal	canal
kanal	channels
kanal	channel
para	money
para	coins
para	dough
para	coin
kötü	bad
kötü	evil
kötü	wicked
geçmişi	background
kızı	daughter
genelde	usually
festivali	festival
festivali	fest
yahudi	jewish
yahudi	judeo
yahudi	jew
yahudi	jews
çalışmaları	studies
normal	regular
normal	normal
sona	sona
han	khan
han	han
gerek	need
sayfa	page
isim	noun
isim	name
uzay	space
murat	mourad
murat	murat
pop	pops
pop	pop
sonrası	after
verir	gives
mezun	graduated
mezun	graduates
mezun	alumni
mezun	graduation
mezun	graduate
berlin	berlin
hale	hale
george	george
jean	jean
derece	degrees
derece	degree
gece	nite
gece	night
emin	confident
emin	emin
united	united
kent	kent
charles	charles
muhammed	mohammad
muhammed	muhammad
muhammed	mohammed
muhammed	muhammed
muhammed	mohamed
bilgiler	info
bilgiler	information
von	von
herschel	herschel
çift	pair
çift	double
çift	couple
olay	incident
olay	event
çalışan	employee
çalışan	employees
çalışan	working
peter	peter
trabzon	trabzon
trabzon	trebizond
suriye	syria
dolayısıyla	ergo
sonuç	results
sonuç	result
sonuç	conclusion
kişisel	personal
yüzde	percentage
yüzde	percent
halen	still
site	website
site	site
site	desktop
sınıf	classroom
sınıf	class
eurovision	eurovision
dizisi	sequence
seçildi	chosen
seçildi	elected
seçildi	selected
yapılmış	made
oyunları	games
general	general
antik	antique
antik	ancient
sivas	sivas
yukarıda	above
yukarıda	upstairs
yapmak	making
teşekkürler	thanks
hollanda	rotterdam
hollanda	amsterdam
hollanda	netherlands
hollanda	holland
yana	yana
yana	side
kategori	category
geleneksel	traditional
altına	underneath
altına	under
kazanan	winner
savunma	defence
savunma	defense
savunma	defensive
savunma	advocacy
yedi	seven
yedi	ate
belediyesi	municipality
polonya	poland
yaş	age
yapıldı	made
yapıldı	done
bilinir	known
yoğun	intensive
yoğun	busy
yoğun	dense
yoğun	intense
yoğun	icu
park	park
park	parking
isveç	sweden
siyasetçi	politician
edebiyat	literary
edebiyat	literature
müzesi	museum
et	meat
et	beef
haber	news
tarihli	dated
annesi	mother
all	all
kupa	trophy
kupa	mug
kupa	cup
verildi	given
klasik	vintage
klasik	classics
klasik	classical
klasik	classic
çalıştı	worked
yönetimi	management
yönetimi	administration
doğan	born
doğan	dogan
doğan	falcon
bulundu	found
sağ	right
antalya	antalya
dakika	mins
dakika	minutes
dakika	minute
toprak	soil
toprak	land
toprak	dirt
toprak	earth
içine	into
brezilya	brazil
brezilya	brazilian
bazen	sometimes
nba	nba
irak	iraqi
irak	iraq
siyah	black
içeren	containing
iddia	claim
iddia	claiming
iddia	assertion
iddia	claims
okul	school
adana	adana
doğum	birth
doğum	birthday
doğum	maternity
doğum	obstetrics
kore	korean
kore	korea
henüz	yet
aittir	belongs
portekiz	portugal
tane	tane
güvenlik	security
güvenlik	safety
başkenti	capital
tamamı	entire
tamamı	all
tamamı	whole
hala	sti
hala	hala
hala	aunt
hala	still
orada	there
osman	osman
giriş	introduction
giriş	entry
giriş	login
giriş	intro
giriş	input
camii	mosque
derneği	association
www	www
kuruldu	founded
kuruldu	established
kuruldu	installed
dördüncü	fourth
asker	soldier
asker	military
idari	administration
idari	administrative
süleyman	suleiman
süleyman	solomon
kaşif	explorer
taşıyan	bearing
enstitüsü	institute
hindistan	india
değişik	different
erzurum	erzurum
sonradan	later
dini	religion
dini	religious
öğretim	instructional
öğretim	instruction
öğretim	faculty
öğretim	teaching
yazı	article
yazı	writing
yazı	text
kaynağı	feed
kaynağı	source
star	star
dikkat	careful
dikkat	attention
takip	track
takip	follow
takip	tracking
takip	chase
takip	following
takımyıldız	constellation
hak	deserve
hak	deserved
hak	rights
izin	off
izin	permission
kanalı	canal
kanalı	channel
kurulmuş	founded
kurulmuş	established
şair	poet
belirli	specific
mahalle	neighborhood
mahalle	neighbourhood
astronom	astronomer
demir	anchor
demir	iron
tıp	medicine
tıp	medical
tasarımı	designing
bilimsel	science
bilimsel	scientific
profili	profile
arka	back
arka	rear
adalet	justice
eşi	spouse
eşi	wife
aşk	love
university	university
gösterir	displays
sanayi	industries
sanayi	industry
sanayi	industrial
seyirci	audience
seyirci	spectators
seyirci	spectator
#aaa	#aaa
inç	inch
inç	inches
katalog	catalogues
katalog	catalog
katalog	catalogue
moskova	moscow
isviçre	switzerland
geçmiş	past
geçmiş	history
erken	early
aktif	activated
aktif	active
yönelik	oriented
richard	richard
aydın	aydin
aydın	aydın
sarı	blonde
sarı	yellow
üretim	production
üretim	manufacturing
adında	named
etkisi	impact
etkisi	influence
etkisi	effect
müdürlüğü	directorate
stüdyo	studio
yeşil	green
grand	grand
ailesi	family
ortalama	average
sahne	scenery
sahne	scene
sahne	stage
insanlar	humans
insanlar	people
ermeni	armenian
thomas	thomas
tanrı	god
parçası	part
din	religion
din	din
etkin	effective
etkin	enabled
etkin	active
samsun	samsun
mümkün	possible
metin	text
ilgi	interested
ilgi	interest
eğitimi	training
eğitimi	tutorial
bilgisayar	computer
bilgisayar	computers
sınırları	boundaries
sınırları	borders
sınırları	limits
özgür	freedom
özgür	free
parlaklık	luminosity
parlaklık	brightness
vokal	vocals
vokal	vocal
demokratik	democratic
vb	etc
svg	svg
seçim	selection
seçim	elections
seçim	choice
seçim	choose
seçim	election
amerikalı	american
sistem	system
sistem	systems
şimdi	now
league	league
eyaleti	eyalet
amacı	purpose
özellikleri	characteristics
özellikleri	attributes
özellikleri	features
özellikleri	properties
kg	kilograms
britanya	british
britanya	britannia
yılmaz	yilmaz
sosyalist	socialist
dur	stop
seçkin	elite
seçkin	distinguished
mavi	blue
sovyetler	soviets
sovyetler	soviet
işçi	employee
işçi	workers
işçi	worker
işçi	labor
canlı	vibrant
canlı	live
canlı	lively
canlı	alive
fatih	conqueror
fatih	fatih
tercih	preferred
tercih	choice
tercih	preference
kişilik	imprint
kişilik	personality
olası	possible
olası	likely
boş	empty
boş	blank
kadınlar	womens
kadınlar	females
kadınlar	women
madrid	madrid
diyarbakır	diyarbakır
diyarbakır	diyarbakir
ara	search
ara	call
kullanarak	using
çıkar	subtract
çıkar	remove
doğrudan	direct
doğrudan	directly
birlik	league
birlik	united
birlik	union
birlik	unity
birlik	unit
adası	island
adası	isle
üniversite	universities
üniversite	university
üniversite	college
ismail	ismail
ismail	ishmael
ismail	ismael
kopyaları	copies
kopyaları	replicas
sıcak	hot
sıcak	warm
sıcak	warmer
kayseri	kayseri
kim	who
kim	kim
fransızca	french
alınan	received
alınan	taken
man	man
federasyonu	federation
bulgaristan	bulgaria
saint	saint
uyum	compliance
uyum	harmony
sağlar	enables
sağlar	allows
sağlar	provides
kutsal	sacred
kutsal	holy
meclisi	assembly
öncesi	pre
öncesi	before
programı	program
programı	programme
programı	schedule
dağı	mount
ödül	rewards
ödül	prize
ödül	award
ödül	awards
ödül	prizes
ödül	reward
resimleri	pictures
komünist	communist
hayat	life
hayat	hayat
martin	martin
üye	member
üye	membership
üye	members
yapısı	structure
sebep	motive
sebep	reason
öne	forward
öne	front
öne	boost
evli	married
doktor	doc
doktor	doctor
popüler	popular
google	google
çıkış	output
çıkış	exit
kış	winter
macaristan	hungary
macaristan	hungarian
taş	stones
taş	stone
taş	rocks
taş	rock
music	music
iletişim	communication
iletişim	contact
iletişim	communications
attı	threw
şirket	company
şirket	corporate
özgün	original
lütfen	please
net	net
net	clear
model	model
louis	louis
şiir	poem
şiir	poetry
şiir	poems
öğrenci	cadet
öğrenci	student
katılım	attendance
katılım	accession
katılım	participating
katılım	turnout
katılım	participation
üyeleri	members
plak	vinyl
plak	record
ateş	fire
ateş	fever
kolay	easy
etiket	sticker
etiket	tag
etiket	label
yayınlandı	published
marmara	marmara
tarz	genre
tarz	style
angeles	angeles
don	don
onların	their
baba	dad
baba	daddy
baba	father
sorun	ask
sorun	problem
sorun	issue
sorun	trouble
çanakkale	dardanelles
çanakkale	çanakkale
kızıl	redhead
kızıl	crimson
kızıl	ginger
kızıl	red
kızıl	scarlet
lar	lar
çoğunlukla	mostly
erkekler	males
erkekler	men
erkekler	guys
sonuçlar	results
sonuçlar	consequences
sonuçlar	conclusions
gölü	lake
arapça	arabic
koruma	conservation
koruma	bodyguard
koruma	protection
yapımcı	producer
henry	henry
zor	zor
zor	hard
zor	tough
zor	rough
zor	difficult
lisans	undergraduate
lisans	licence
lisans	license
lisans	licensing
real	real
zengin	rich
zengin	wealthy
ömer	omer
ömer	umar
ömer	omar
ömer	ömer
uzak	far
uzak	distant
uzak	away
uzak	remote
belçika	belgium
konya	konya
time	time
sene	year
irlanda	ireland
polis	cop
polis	police
polis	policeman
red	red
miktar	amount
miktar	quantity
mehmed	mehmed
günlük	log
günlük	journal
günlük	daily
günlük	diary
onları	them
tarihleri	dates
çizgi	line
çizgi	comic
çizgi	cartoon
gizli	confidential
gizli	classified
gizli	secret
gizli	hidden
gizli	undercover
müslüman	muslim
hayvan	beast
hayvan	pet
hayvan	animals
hayvan	animal
soğuk	chilled
soğuk	cold
çevre	environment
çevre	environmental
çevre	surroundings
kültürel	cultural
kurdu	wolf
medya	media
işgal	invasion
işgal	occupation
birisi	someone
birisi	somebody
yapar	makes
kaliforniya	california
kaliforniya	californian
aşırı	excessive
aşırı	extreme
projesi	project
nedeni	motive
nedeni	reason
nedeni	cause
national	national
anlam	meaning
show	show
kararı	decision
proje	project
proje	projects
satın	purchase
satın	buy
yazım	spelling
kamu	public
kişiler	persons
kişiler	people
kişiler	contacts
uydu	satellite
uydu	sat
hangi	which
meclis	parliament
meclis	congress
başarı	achievement
başarı	success
basit	simple
kaynaklar	sources
kaynaklar	resources
press	press
uss	uss
gümüş	silver
cumhurbaşkanı	president
windows	windows
tanımlamak	defining
alındı	received
alındı	taken
kurtuluş	liberation
kurtuluş	salvation
kurtuluş	redemption
kastamonu	kastamonu
life	life
parça	chunk
parça	piece
opera	opera
opera	operas
kibele	cybele
kan	blood
kan	kan
bazıları	some
fiziksel	physical
silahlı	armed
prof	prof
gazete	newspaper
gazete	newspapers
gazete	paper
imparator	emperor
gitti	gone
tahmin	estimate
tahmin	guess
tahmin	estimated
tahmin	prediction
tahmin	forecast
sınıfı	classroom
hükümet	government
içerir	contains
içerir	includes
boyu	height
boyu	length
boyu	size
west	west
aşağı	down
aşağı	below
aşağı	lower
belki	perhaps
belki	maybe
defans	defender
defans	defense
defans	defence
yardımcısı	assistant
yardımcısı	deputy
yardımcısı	vice
adaları	islands
sırasıyla	respectively
olimpiyatları	olympiad
olimpiyatları	olympics
mcg	mcg
almanca	german
balıkesir	balıkesir
giden	outgoing
özerk	autonomous
neredeyse	almost
neredeyse	nearly
records	records
washington	washington
araya	reunited
araya	unite
yüz	swim
yüz	facial
yüz	face
yönetmeni	cinematographer
cd	cds
del	del
adi	adi
çözünürlük	resolution
ad	name
araç	car
araç	tool
araç	vehicle
aynalı	mirrored
birden	suddenly
american	american
direktör	director
katkıda	contribution
katkıda	contribute
katkıda	contributors
olumlu	positive
olumlu	positivity
