استن	stan
آویزان	洪
آویزان	絞刑
آویزان	懸
طغیان	叛亂分子
طغیان	反叛
طغیان	叛軍
طغیان	叛亂
طغیان	叛逆
طغیان	反叛
نیاکان	祖先
نیاکان	祖先
مسخره	可笑
الزامی	強制
سپهسالار	大元帥
عجیبی	奇怪
حمد	表揚
حمد	贊美
حمد	稱贊
نوشیدن	飲酒
نوشیدن	喝
نوشیدن	喝酒
سفره	表
سفره	桌布
هل	豆蔻
راهبرد	準則
استنباط	推論
استنباط	推理
استنباط	推斷
استنباط	推斷
رمزگذاری	加密
فرانچسکو	francisco
زا	產生器
زا	發電機
مصادره	沒收
سازندگی	施工
سازندگی	建設
سازندگی	建築
وارث	繼承人
قصبه	教區
دماغه	角
قدردانی	感恩
قدردانی	升值
ویتنی	whitney
غزالی	ghazali
دیم	昏暗
دیم	暗淡
راش	急
راش	fagus
ققنوس	鳳
ققنوس	鳳凰
مرگبار	致命
مرگبار	致命
کابین	船艙
کابین	客艙
کابین	機艙
جوجه	雞肉
جوجه	山雞
جوجه	雞
بهبودی	回收
بهبودی	恢復
بهبودی	康復
بهبودی	復原
بهبودی	復蘇
بهبودی	改進
بهبودی	改善
بهبودی	改良
عینک	護目鏡
عینک	眼鏡
بریدن	切割
بریدن	削減
مارکسیسم	馬克思主義
متابولیسم	代謝
متابولیسم	新陳代謝
ناکام	失望
ناکام	受挫
شمع	燭
شمع	蠟燭
شمع	蠟燭
شمع	燭光
تاد	todd
توبه	悔過
توبه	悔改
توبه	懺悔
توبه	悔過
توبه	悔改
مترادف	同義詞
مترادف	同義
مترادف	同義詞
مترادف	同義字
شلوغ	亂
شلوغ	凌亂
شلوغ	忙
شلوغ	繁忙
شلوغ	忙碌
شلوغ	忙著
شلوغ	擁擠
ژولیت	juliette
ژولیت	朱麗葉
بنیامین	benjamin
فال	財富
فال	預兆
ونسان	vincent
لوکا	luka
مرکبات	柑橘
فیس	facebook
هاروی	harvey
توییتر	twitter
ید	碘
تنور	爐
تنور	烤爐
تنور	烤箱
تنور	男高音
توگو	多哥
عصبانی	生氣
عصبانی	怒
عصبانی	憤怒
جوآن	瓊
جوآن	joan
شعرای	歌詞
آوانگاری	音標
زباله	廢棄物
زباله	廢物
زباله	浪費
زباله	垃圾
زباله	垃圾
آشیانه	窩
آشیانه	巢穴
آشیانه	巢
توهم	幻覺
توهم	幻想
توهم	幻覺
توهم	錯覺
آنتون	安東
آنتون	anton
آشامیدنی	飲酒
الاهلی	商用
الاهلی	商事
الاهلی	商業
کاران	karan
آزادسازی	解放
شکلات	巧克力
الک	麋鹿
الک	篩
رقبای	對手
آفتابی	晴
ترجیحات	偏好
ترجیحات	喜好
ترجیحات	優惠
ترجیحات	bac
جوشکاری	焊接
جوشکاری	焊
چهارچوب	框架
ختنه	割禮
ختنه	割包皮
استثنایی	特別
بوت	攤位
بوت	booth
پابلو	pablo
پالاس	pallas
ائوسن	eocene
باربادوس	巴貝多
انفجاری	爆炸
انفجاری	爆炸性
انفجاری	炸藥
انفجاری	爆炸
انفجاری	引爆
گیت	門
گیت	大門
گیت	git
انتحاری	自殺
قلمروی	領地
قلمروی	領土
ترانزیستور	電晶體
مهمانی	黨
مهمانی	政黨
مهمانی	宴會
مهمانی	派對
مهمانی	聚會
مهمانی	宴會
مهمانی	盛宴
مهمانی	宴會
رویت	轉
مفاصل	關節
پیشانی	額頭
قلع	錫
قلع	鐵皮
قلع	tin
بگو	說
آزاده	free
آزاده	自由
آزاده	免費
پدران	祖先
کاناگاوا	神奈川
پگاه	提早
پگاه	及早
پگاه	早期
پگاه	提前
توفان	颱風
توفان	暴風
توفان	風暴
توفان	暴風雨
اژدهای	龍
اژدهای	神龍
بعدا	後來
بعدا	稍後
بعدا	以後
تسهیلات	水電費
اینتل	英特爾
اینتل	情報
اینتل	intel
استرس	壓力
استرس	強調
استرس	應力
ناب	純潔
ناب	純純
ناب	純
ناب	純粹
مفسر	口譯員
مفسر	口譯
آندرا	andrea
نادو	nadu
بیهوده	虛榮
بیهوده	虛榮
بیضی	橢圓形
بیضی	橢圓
بیضی	橢圓
بیضی	橢圓
کمرنگ	淡
کمرنگ	蒼白
کلسترول	膽固醇
مدفوع	糞便
مدفوع	凳子
پسته	開心果
هلیکوپتر	直升機
هلیکوپتر	直升飛機
هلیکوپتر	直升機
هلیکوپتر	直升機
یونی	離子
گلو	喉
گلو	喉嚨
گلو	嗓子
گلو	咽喉
سریالی	串列
بطن	心室
بطن	腹
بطن	腹部
منو	menno
آهو	鹿
آهو	aho
منگنز	錳
کاذب	虛假
کاذب	假
جگوار	美洲豹
فازی	階段
فازی	模糊
فازی	絨毛
یوکوهاما	橫濱
جذابیت	景點
جذابیت	吸引力
جذابیت	吸引
سوفی	sophie
ویو	viv
موقتی	暫時
موقتی	溫度
ایمی	amy
روشنگری	啓蒙
مضر	有害
هود	hood
شلوار	褲
شلوار	褲子
شلوار	長褲
شلوار	褲
شلوار	褲子
شکمی	腹壁
شکمی	腹部
سوزوکی	鈴木
گای	guy
رادیکال	激進
سنسور	感應器
خازن	電容
لیتل	小
خطاهای	斷層
خرابی	失敗
خرابی	破壞
خرابی	毀滅
خرابی	毀壞
خرابی	銷毀
خرابی	失敗
بوسه	吻
بوسه	親親
بوسه	親吻
بوسه	吻
بوسه	親
بوسه	親親
بوسه	kiss
بوسه	親吻
اعماق	深度
اعماق	深
اعماق	深層
لاو	寮國
لاو	拉夫
جنت	janet
کامپایلر	編譯器
کامپایلر	compiler
ونوس	維納斯
ونوس	金星
آقایی	紳士
آقایی	君子
فرزانه	明智
فرزانه	英明
ویستا	vista
اسهال	腹瀉
اسهال	拉肚子
اسهال	痢疾
چیدمان	版面
چیدمان	佈局
چیدمان	排版
جنگجویان	勇士
الکترومغناطیس	電磁
کران	聾人
کران	耳聾
کران	聾
بازگرداندن	還原
بازگرداندن	恢復
زاد	後代
لوران	laurent
پردازی	處理
پردازی	加工
سرم	血清
روبن	robben
روبن	ruben
حضورش	存在
تزار	沙皇
پلانک	木板
دمی	demi
مبارزان	戰鬥機
مبارزان	鬥士
مبارزان	拳手
مبارزان	鬥士
ماهه	月
ماهه	月份
تشریفات	手續
تشریفات	禮儀
تشریفات	手續
جوراب	襪子
جوراب	襪
جوراب	襪子
سیلور	銀色
سیلور	銀
سیلور	白銀
تحرک	運動
تحرک	調動
تحرک	流動
تحرک	流動性
گنجی	ganji
شایعه	謠傳
شایعه	謠言
شایعه	傳言
شایعه	傳聞
شایعه	流言
لیتیم	鋰
دفعات	時代
دفعات	times
دفعات	時報
لطیف	微妙
لطیف	latif
ساعتی	每小時
ساعتی	時辰
ساعتی	小時
محرومیت	剝奪
خورش	燉
کما	昏迷
پره	飽
پره	完整
پره	滿
بازارچه	節儉
ارتشی	軍方
ارتشی	軍事
ارتشی	集團軍
ارتشی	軍隊
ارتشی	軍
ارتشی	陸軍
داوطلبان	志願者
ناتوان	弱
ناتوان	虛弱
ناتوان	弱者
ناتوان	軟弱
ناتوان	薄弱
مکی	mackie
مکی	雀斑
مکی	maki
خیز	守夜
خیز	水腫
بزودی	不久
بزودی	很快
آشفته	困擾
آشفته	混淆
آشفته	困惑
غرور	自尊
غرور	自豪
غرور	驕傲
غرور	虛榮
سونامی	海嘯
نامعتبر	無效
مدیون	欠
لویس	luis
ساندرلند	sunderland
چریکی	游擊
چریکی	游擊隊
کوارتز	石英
سولفید	硫化
سولفید	硫化物
شوری	鹽度
کورین	corinne
کشتیرانی	運費
کشتیرانی	出貨
کشتیرانی	航運
امتیازی	特許
اسپین	旋轉
آرایشی	化妝
آرایشی	化妝品
گلف	高爾夫球
ارتدوکس	東正教
ارتدوکس	正統
ارتدوکس	正教
ول	val
ول	瓦爾
ویلن	小提琴
ویلن	琴
ویلن	提琴
کریکت	蟋蟀
وند	vand
آغوش	擁抱
آغوش	軍火
آغوش	擁抱
آغوش	抱抱
فیلترینگ	篩選
فیلترینگ	過濾
دوقطبی	兩極
پناهندگان	難民
انریکه	enrique
آشفتگی	動蕩
آشفتگی	煽動
آشفتگی	鼓動
آشفتگی	混沌
آشفتگی	混亂
آشفتگی	混淆
آشفتگی	困惑
آشفتگی	混亂
آشفتگی	迷惘
مهتاب	月光
زیباست	漂亮
زیباست	美
زیباست	美女
زیباست	美麗
خسارات	虧損
خسارات	損失
تبلور	結晶
دردسر	麻煩
گچی	石膏
فلامستید	flamsteed
تکانه	勢頭
پروستات	前列腺
داون	dawn
داون	拂曉
داون	黎明
داون	天亮
نزدیکان	親屬
نزدیکان	親戚
امداد	救濟
سواره	騎馬
سواره	騎
سواره	騎兵
سیاستهای	政策
بزمجه	監視器
بزمجه	監測
گرنت	grant
دیلی	每日
گردهمایی	團聚
گردهمایی	團圓
گردهمایی	同學會
گردهمایی	重逢
بیگانگان	異形
بیگانگان	外僑
بیگانگان	外國人
بیگانگان	外星人
دبیرخانه	秘書處
توصیفی	敘述
توصیفی	描述
دوقلو	孿生
دوقلو	雙胞胎
دوقلو	雙胞
دوقلو	雙胞胎
چاقو	刀
چاقو	刀子
چاقو	小刀
استات	乙酸
دانکن	鄧肯
دانکن	duncan
فایرفاکس	firefox
تعمیرات	修復
تعمیرات	維修
تعمیرات	修理
تعمیرات	修繕
تعمیرات	維修
تعمیرات	修繕
تعمیرات	修理
رقمی	數碼
رقمی	數位
براق	閃光
براق	發光
براق	光澤
براق	閃亮
براق	光滑
کاکایی	海鷗
کاکایی	鷗
آدینه	會眾
آدینه	星期五
آدینه	週五
رستگاری	得救
رستگاری	拯救
رستگاری	救贖
رستگاری	贖罪
رستگاری	贖回
رستگاری	救贖
دلیجان	教練
نپتون	海王星
فمینیست	女權
فمینیست	女權主義
گمرک	海關
گمرک	關稅
کلکته	加爾各答
نهی	禁止
سسک	鶯
گنجه	衣櫃
گنجه	壁櫥
گنجه	衣櫥
تجهیز	調動
تجهیز	動員
گیج	gage
گیج	混淆
گیج	困惑
کال	kal
گلدار	綻放
ناتالی	natalie
رویا	夢
رویا	夢幻
رویا	夢境
رویا	做夢
رویا	夢想
واکنشی	被動
واکنشی	反應
عود	香
کارآگاه	警探
کارآگاه	偵探
مرجانی	珊瑚
افتتاحیه	首映
افتتاحیه	首播
افتتاحیه	就職
افتتاحیه	就職典禮
افتتاحیه	開局
افتتاحیه	開幕
نیترات	硝酸鹽
نیترات	硝酸
کالینز	collins
تجار	商人
تجار	商家
گابن	加彭
دوپینگ	興奮劑
دوپینگ	摻雜
جدای	絕地
جیل	吉爾
ضمنی	隱含
مزه	味道
مزه	味覺
مزه	品味
مزه	味道
مزه	口味
مزه	品味
بلاک	區塊
بلاک	block
مائو	毛
منیزیم	鎂
همسری	配偶
کراس	十字架
کراس	cross
کراس	十字
کراس	交叉
مقوله	類別
مینیرو	mineiro
فامیل	家人
فامیل	家屬
فامیل	家庭
ستم	不公
خوآن	juan
مرخصی	假期
مرخصی	渡假
مرخصی	度假
ناظم	nazim
سرخرگ	動脈
باغبانی	園藝
انطباق	巧合
حوصله	心境
حوصله	心情
حوصله	情緒
همون	相同
جوئل	joel
قبولی	驗收
قبولی	接受
گهواره	搖籃
پینگ	平
پینگ	萍
ساختمانهای	建築
ساختمانهای	建築物
آفت	害蟲
آفت	病蟲害
آفت	蟲害
توانا	強大
توانا	強國
توانا	全能
آخرالزمان	末日
سپاسگزارم	感恩
گواه	見證
گواه	證人
باتلر	管家
معاش	自給
معاش	民生
معاش	生計
آوایی	音標
سوختن	燒錄
سوختن	燃燒
سوختن	燒傷
سوختن	燒
سوختن	燒死
سوختن	燃燒
سوختن	燒
معترض	評論家
معترض	批評家
عبدالحمید	abdelhamid
نمایه	索引
نمایه	指數
فنجان	盃
فنجان	杯
فنجان	杯子
عالیه	棒
عالیه	偉大
مدح	悼詞
روکش	墊
روکش	被子
روکش	毛毯
روکش	毯
روکش	毯子
ژولیوس	julius
تریاک	鴉片
عایشه	aisha
استیت	國家
استیت	州
همسایگان	鄰
همسایگان	鄰居
همسایگان	鄰國
همسایگان	鄰居
برخورداری	享受
تامس	托馬斯
تامس	thomas
پیوستگی	持續性
پیوستگی	連續性
پیوستگی	親和
پیوستگی	親和性
دکستر	dexter
استوانه	缸
سافت	軟軟
سافت	柔軟
سافت	柔和
سافت	軟
آلبیون	albion
ولد	焊接
مدلهای	模型
مدلهای	模特
مدلهای	型號
مدلهای	模特兒
فارو	faro
مجرم	罪犯
مجرم	有罪
تراش	車床
دربرگیرنده	包容
دربرگیرنده	包容性
مست	醉
مست	醉酒
مست	喝醉
سهل	sahl
سهل	瑣碎
درو	drew
فیسبوک	facebook
مشارکتی	協作
برادری	義氣
فریزر	冷凍庫
قلیایی	鹼性
قلیایی	鹼
قلیایی	金屬
تاک	德
میهمان	賓客
میهمان	來賓
میهمان	客人
میهمان	賓客
میهمان	來賓
میهمان	客人
روسو	russo
روسو	盧梭
عدل	正義
عدل	司法
عدل	adl
عدل	股權
عدل	股本
عدل	公平
والا	高
والا	崇高
ارجمند	可敬
تندی	tandy
مشعل	火把
مشعل	火炬
لزومی	高估
غذاها	食物
غذاها	食品
توسل	上訴
توسل	呼籲
آسایش	安慰
آسایش	撫慰
آسایش	舒適
رویای	夢
رویای	夢幻
رویای	夢境
رویای	做夢
رویای	夢想
مارین	海事
کمانچه	小提琴
سواران	騎手
سواران	騎兵
استرلینگ	stirling
استقامت	耐力
استقامت	病患
استقامت	患者
استقامت	病人
تشبیه	隱喻
تشبیه	比喻
کاست	種姓
جکی	成龍
کتابها	圖書
کتابها	書
کتابها	書籍
دهانی	口頭
دهانی	口服
دهانی	口腔
خاله	姑姑
خاله	姨媽
نینا	nina
آذرخش	螺栓
آذرخش	閃電
آذرخش	電光
تجسم	視野
لوین	levin
تجارب	經驗
تجارب	體驗
ترینیتی	三位一體
فتنه	迫害
فتنه	誘惑
فتنه	引誘
مدونا	聖母
کثیف	髒
کثیف	臟
سرآغاز	序幕
سرآغاز	序
مسجدی	清真寺
استانداردها	標準
آفرین	bravo
جدال	爭論
جدال	爭議
جدال	爭端
جدال	糾紛
جدال	爭議
دکترین	原則
دکترین	學說
دکترین	教義
دکترین	理論
دکترین	原理
طبقاتی	階級
طبقاتی	類
طبقاتی	類別
طبقاتی	課堂
طبقاتی	班級
اشلی	ashley
کشمکش	鬥爭
کشمکش	奮鬥
کشمکش	掙扎
کشمکش	衝突
مشروعیت	合法性
جابز	工作
خیره	凝視
نورپردازی	照明
واحدها	各單位
واحدها	單元
واحدها	單位
تامپسون	thompson
مشتاق	渴望
مشتاق	熱心
نیوتون	牛頓
یکپارچگی	融合
یکپارچگی	整合
تخلص	假名
دیگ	鍋
دیگ	壺
دیگ	壺
دیگ	鍋
نمکی	食鹽
نمکی	鹽
جریانی	流
جریانی	溪流
همتا	同行
همتا	同儕
درمانگاه	門診
درمانگاه	診所
درمانگاه	醫務室
سرامیک	陶瓷
سرامیک	陶瓷
قانونگذاری	立法
زیرزمین	地下
زیرزمین	地底
زیرزمین	基底
زیرزمین	地下室
نگهبانان	守衛
نگهبانان	衛兵
عقرب	天蠍座
عقرب	蠍子
رایس	大米
رایس	米
رایس	米飯
رایس	飯
رایس	reiss
آمارهای	統計數字
بیندازید	石膏
بیندازید	投
بیندازید	演員
تریسی	tracy
بون	bon
سوزنی	針灸
تسلیت	慰問
تسلیت	哀悼
تسلیت	慰藉
مجارستانی	匈牙利
مجارستانی	匈牙利語
طاعون	鼠疫
طاعون	瘟疫
دعوا	格鬥
دعوا	打架
دعوا	戰鬥
صدیقی	siddiqui
جولیان	julian
متا	元
اسپرینگز	彈簧
اکسپلورر	探險家
اکسپلورر	explorer
گرو	grove
لبنانی	黎巴嫩
سرگردان	徘徊
سرگردان	流浪
سرگردان	遊蕩
سرگردان	漫步
الکترود	電極
خیزش	起義
درین	流失
درین	排水
پذیرفتن	驗收
پذیرفتن	接受
نشنال	national
نشنال	國家
شیره	糖漿
باتیستا	battista
فدایی	補償
فدایی	賠償
اتباع	國民
اهریمن	妖
سیرک	馬戲團
سیرک	馬戲
نشت	漏
نشت	洩漏
نشت	漏水
گریم	化妝
گریم	化妝品
دیود	二極體
بنک	銀行
بنک	銀行
ولید	walid
ولید	waleed
پنی	penny
پنی	便士
اوبونتو	ubuntu
دوحه	多哈
مادرزادی	先天
مادرزادی	先天性
شبی	夜晚
شبی	晚上
شبی	夜
خریدار	買主
خریدار	購買
خریدار	購買
خریدار	採購
خریدار	購買
لوکارنو	locarno
برگی	葉
برگی	葉子
نگارگری	受洗
نگارگری	洗禮
ترمز	煞車
ترمز	制動
ترمز	煞車
ترمز	制動
ایستا	文具
ایستا	靜止
ایستا	固定
ایستا	靜態
ایستا	靜電
پائول	保羅
پائول	paul
دالی	大理
دالی	dali
پنگوئن	企鵝
سیلیکون	矽
تیک	tic
ستوان	中尉
فرای	油炸
فرای	煎
ایوب	工作
ایوب	ayub
گودال	孔洞
گودال	洞口
گودال	孔
گودال	洞
گودال	溝
گودال	溝渠
چله	仲夏
برنزی	青銅
برنزی	銅
وا	華
خلاق	創作
خلاق	創意
خلاق	創造性
انسداد	阻塞
آشپزخانه	廚房
کارمن	carmen
کیست	囊腫
هوس	慾望
هوس	情慾
هوس	願望
هوس	慾望
شکارچیان	獵人
فرمی	fermi
کلاهک	帽
کلاهک	cap
کلاهک	上限
کلاهک	彈頭
کلاهک	載荷
سفینه	船
سفینه	船隻
سفینه	艦
سفینه	船舶
عناصری	元素
عناصری	要件
سرکه	醋
جانز	johns
سکو	站台
سکو	平台
کود	施肥
کود	肥料
کود	化肥
کود	糞便
عروسکی	娃娃
عروسکی	洋娃娃
عروسکی	玩偶
خویی	khoi
پناهی	避難所
پناهی	避難
لاری	larry
سرطانی	癌症
سرطانی	癌
پیل	pil
گردشی	流離失所
گردشی	位移
دیپلماسی	外交
منبر	講課
عواقب	後果
تیروئید	甲狀腺
فروسرخ	紅外線
فروسرخ	紅外
سنگفرش	人行道
سینگ	singh
بازاری	市場
دیون	dion
شعاعی	徑向
اورا	ora
نگهبانی	守衛
نگهبانی	衛兵
نگهبانی	警衛
نگهبانی	守護
تشنج	癲癇
تشنج	癲癇
تشنج	扣押
کوانتوم	量子
چرم	皮革
چرم	皮
جیک	jake
مهد	搖籃
سبد	籃
سبد	籃子
هیون	賢
هیون	玄
مرشد	導師
طلسم	魅力
میگل	miguel
دانشگاههای	大學
عادلانه	公平
روشنفکری	啓蒙
روشنفکری	智力
زکریا	zakaria
ارغوانی	紫色
ارغوانی	紫
پارکینگ	停車位
پارکینگ	停車場
خلوت	隱私
خلوت	私人
خلوت	私營
خلوت	隱私
خلوت	隱私權
اپراتور	經營者
اشتیاق	嚮往
اشتیاق	渴望
اشتیاق	熱情
اشتیاق	激情
اشتیاق	熱心
اشتیاق	熱情
زحل	土星
سامورایی	武士
تون	音調
تون	色調
تون	音
تون	基調
تون	語氣
تفاسیر	評註
ایزابل	isobel
رگ	reg
رگ	血管
رگ	靜脈
پرز	perez
نوترون	主持人
پلکان	樓梯
پلکان	階梯
پلکان	樓梯
معایب	瑕疵
معایب	缺點
معایب	缺陷
لحظات	moments
لحظات	瞬間
لحظات	時刻
خلأ	真空
سهمیه	配額
سهمیه	定額
سهمیه	限額
خیار	黃瓜
لیزا	lisa
گوشتی	肉
گوشتی	肉食
گوشتی	肉類
گوشتی	血肉
گوشتی	肉體
قضات	法官
قاشق	匙
قاشق	勺
قاشق	勺子
قاشق	湯匙
جاویدان	不朽
دیکتاتور	獨裁者
چاره	溶液
بخاری	加熱器
بخاری	暖爐
اورانوس	天王星
چن	陳
آمریکن	美式
طبی	大麻
طبی	醫療
طبی	醫務
طبی	醫學
امشب	今夜
امشب	今晚
دایناسورها	恐龍
توازن	均等
توازن	平衡
توازن	結餘
توازن	均衡
توازن	餘額
ویس	weiss
امیلیا	amelia
کنیسه	會堂
زبانها	語言
زبانها	語文
تابوت	棺材
نارضایتی	不滿
نارضایتی	不滿
ترانس	跨
ترانس	轉運
آرتمیس	artemis
پک	peck
پک	pac
پک	包
پک	打包
نقاب	口罩
نقاب	面具
نقاب	面罩
رنگارنگ	色彩繽紛
رنگارنگ	色彩繽紛
اولیور	oliver
انتساب	指派
فردریش	friedrich
اوون	owen
اوون	歐文
پروتئینی	蛋白質
پروتئینی	蛋白
چانگ	chang
چانگ	張
چانگ	鐘
چانگ	忠
آلو	李子
آلو	梅花
آلو	李子
آلو	蘆薈
چیس	追
چیس	大通
چیس	追逐
پلیمر	聚合物
پلیمر	高分子
خلاء	真空
پشتون	部族
پشتون	部落
مارتن	martin
مارتن	馬丁
مارتن	maarten
کباب	燒烤
کباب	烤肉
مای	mai
مای	邁
مای	mae
آیزاک	isaac
تلف	消瘦
تلف	廢棄物
تلف	廢物
تلف	浪費
آلان	alan
کینه	仇視
کینه	仇恨
کینه	復仇
کینه	仇怨
کینه	惡意
نیمکره	半球
حکاکی	刻字
حکاکی	雕刻
حکاکی	刻
حکاکی	雕刻
ساکورا	櫻
ساکورا	櫻花
نش	nash
مکانهای	地點
اعترافات	告白
اعترافات	供詞
اعترافات	口供
اعترافات	懺悔
سوزاندن	燒錄
سوزاندن	燃燒
سوزاندن	燒傷
سوزاندن	燒
سوزاندن	燒死
سوزاندن	燃燒
سوزاندن	燒
مارمولک	蜥蜴
مارمولک	蜥
کنایه	嘲諷
کنایه	諷刺
کنایه	挖苦
کلم	捲心菜
کلم	白菜
امگا	ō
زنانی	婦女
زنانی	女性
خویشاوندی	親情
خویشاوندی	親屬關係
ماکیان	禽
ماکیان	家禽
ماکیان	nml
متغیرها	變數
متغیرها	可變
متغیرها	變數
خار	荊棘
نبردناو	戰艦
چینگ	青
جرالد	gerald
بخشش	慈悲
بخشش	憐憫
بخشش	仁慈
بخشش	寬恕
بخشش	慷慨
کاربردها	申請
کاربردها	申請書
مبنا	基地
مبنا	基礎
مبنا	基數
فلوت	笛
فلوت	笛子
ادو	ado
ادو	edu
اتاقی	房間
اتاقی	房
مرزها	邊界
مرزها	邊框
مرزها	邊境
مرزها	邊疆
شبنم	露水
گذرنامه	護照
مکعبی	立方
شهابی	隕石
شهابی	流星
شهابی	流星雨
تخیل	想象力
تخیل	想象
تخیل	想像
تخیل	想像力
تقلیل	減少
تقلیل	裁減
بشوند	溫順
ساماندهی	記賬
ساماندهی	簿記
دویل	doyle
بردگی	奴隸制
بردگی	奴役
هنریک	henryk
خراج	悼念
خراج	悼念
اپوزیسیون	反對
اپوزیسیون	反對派
اپوزیسیون	反對黨
لاستیک	橡膠
لاستیک	橡皮
لاستیک	輪胎
لاستیک	胎
تشخیصی	診斷
گرفتگی	日蝕
دامپزشکی	獸醫
دامپزشکی	獸醫
