kampaņā	キャンペーン
ātrs	快速
ātrs	速い
ātrs	高速
pogas	ボタン
caurumu	ホール
stingra	厳重
ciešanas	苦しみ
dejo	ダンス
dejo	ダンス
dejo	ダンシング
dejo	踊り
dejo	踊る
izplata	分散
kvalifikāciju	資格
djego	ディエゴ
sintēze	合成
sakne	root
sakne	ルート
alianses	アライアンス
standartus	基準
standartus	規格
urugvajas	ウルグアイ
urugvajas	ウルグアイ
baterija	電池
baterija	バッテリー
baterija	バッテリ
islande	アイスランド
ponijs	ポニー
altaja	アルタイ
konkrēta	コンクリート
cerību	ホープ
cerību	希望
pamesta	放棄された
rokijs	ロッキー
bloķēt	ブロック
izskaidro	説明
navigation	航法
navigation	ナビゲーション
devums	寄与
devums	貢献
devums	出資
loģistikas	ロジスティック
niķeļa	ニッケル
dzemdē	子宮
augsne	土壌
keins	ケーン
stiprums	体力
stiprums	強度
parkos	公園
toro	トロ
rozentāls	ローゼンタール
sekotāji	フォロワー
bārda	ひげ
ceļo	旅行
ceļo	旅行
valdi	ボード
homo	ホモ
matrica	行列
matrica	マトリックス
angolas	アンゴラ
angolas	アンゴラ
groupstyle	groupstyle
dāvanu	ギフト
dāvanu	贈り物
amati	投稿
scorea	scorea
flickr	flickr
norma	ノーマ
medūzas	クラゲ
teorēma	定理
neitronu	中性子
arg	arg
atņemt	引く
atņemt	減算
partneriem	パートナー
šķiedru	繊維
šķiedru	繊維
šķiedru	ファイバ
tēja	お茶
tēja	紅茶
vainags	クラウン
delegācija	委任
delegācija	委嘱
bads	飢饉
bads	飢餓
bads	飢え
bads	空腹
ciemos	訪問
žurnālisti	ジャーナリスト
dekrētu	布告
izpilddirektors	ceo
nosacījumi	条件
roberto	ロベルト
fil	フィル
harisons	ハリソン
sarežģīti	トリッキー
sarežģīti	コンプレックス
sarežģīti	錯体
sarežģīti	複雑
sarežģīti	複雑
sarežģīti	難しい
ūdri	カワウソ
skunkss	スカンク
terra	テラ
apdrošināšana	保険
dvīņu	ツイン
dvīņu	双生児
dvīņu	双子
likumdošana	立法
dimants	ダイヤモンド
dimants	ダイアモンド
lietotnes	アプリケーション
lietotnes	アプリ
krēslas	トワイライト
krēslas	たそがれ
oracle	oracle
oracle	オラクル
oracle	神託
jenots	アライグマ
skatītājiem	観客
skatītājiem	オーディエンス
skatītājiem	観客
ārstēšana	トリートメント
ārstēšana	待遇
ārstēšana	治療
hofmanis	ホフマン
mainīta	変更された
pierādījums	証拠
pierādījums	証明
pierādījums	プルーフ
pierādījums	証拠
oriģināls	オリジナル
nopietnas	深刻
atbrīvoties	破棄
dzelzi	アイロン
pasniedzēja	教員
pasniedzēja	教師
pasniedzēja	先生
pikaso	ピカソ
garīgi	メンタル
banknotes	紙幣
simona	シモーネ
simona	シモーヌ
monro	モンロー
apaļš	ラウンド
apaļš	round
apaļš	丸い
porta	ポルタ
magnija	マグネシウム
mozambikas	モザンビーク
rubeņu	ライチョウ
lilija	ユリ
lilija	リリー
šūna	セル
trio	トリオ
mindat	mindat
phoenix	フェニックス
skotija	スコットランド
andreas	アンドレアス
remonts	修理
remonts	修理
krakovā	クラクフ
alan	アラン
tottenham	トッテナム
sektors	セクター
xxx	xxx
prātā	mind
prātā	マインド
postenis	アイテム
postenis	品物
fils	フィル
rūpes	思いやり
hipotēzes	仮説
atzīmēt	マーク
atzīmēt	マルク
josé	ホセ
rozenbergs	ローゼンベルク
kenedijs	ケネディ
frančesko	フランチェスコ
gļotādas	粘膜
radošā	クリエイティブ
pacelt	エレベーター
pacelt	リフト
deviņiem	nine
pārdošana	販売
pārdošana	セール
pārdošana	販売
pārdošana	売り上げ
pārdošana	セールス
pārdošana	売上
bmx	bmx
novērojumus	観測
noteikšanas	検知
noteikšanas	検出
pcupdate	pcupdate
ēra	時代
mitrs	しっとり
aģenti	エージェント
lisabonas	リスボン
audzina	レイジング
stipendiju	フェローシップ
vienoti	unified
vienoti	ユナイテッド
vienoti	ユニフォーム
vienoti	制服
pazūd	消える
pazūd	消える
katastrofa	災害
prātu	mind
prātu	マインド
mēģināt	try
mēģināt	試す
mēģināt	トライ
ftp	ftp
līdzība	平行線
marvel	マーベル
nano	ナノ
nano	nano
atteikšanās	廃棄
atteikšanās	放棄
atteikšanās	降伏
atteikšanās	放棄
slēgšanas	閉包
slēgšanas	閉鎖
eks	ecs
izdzīvošana	サバイバル
radara	レーダー
indonēzija	インドネシア
pasažieriem	乗客
lēmumi	決定
budisms	仏教
urāns	ウラン
urāns	天王星
fani	ファン
represijas	抑圧
apstājas	停車駅
davis	デービス
davis	デイヴィス
uzmanīgi	注意深い
dans	dans
miesas	肉体
cietums	刑務所
cietums	監獄
plainlist	plainlist
automobiļi	カーズ
gredzeni	リング
gredzeni	指輪
sikspārņi	コウモリ
kid	ced
sēdvietas	座席
tumsa	暗闇
žurnāli	雑誌
žurnāli	日記
žurnāli	ログ
nostiprināt	強化
audos	ティッシュ
džudo	柔道
tenesī	テネシー
maksā	支払う
maksā	支払い
maksā	有料
virtuve	料理
virtuve	キッチン
virtuve	台所
esamība	存在
mīklas	生地
mīklas	洋菓子
eco	エコ
rokasgrāmata	ハンドブック
rokasgrāmata	manual
rokasgrāmata	手動
rokasgrāmata	マニュアル
rokasgrāmata	ガイド
aprīkojums	道具
aprīkojums	装備
aprīkojums	機器
aprīkojums	機材
tibetā	チベット
mākslīga	人工
minoritāšu	少数
patēriņš	消費
rāpuļu	爬虫類
kolumbs	コロンブス
šķīdums	ソリューション
šķīdums	溶液
nbs	mbs
lidlauka	飛行場
murads	ムラト
tatāri	タタール
laukus	フィールド
laukus	フィールズ
sastāvi	構成
bratislavas	ブラチスラヴァ
kails	カイル
vasaļi	家臣
papes	パプ
azerbaidžāna	アゼルバイジャン
azerbaidžāna	ベナン
izaugsme	成長
izaugsme	発育
izšķirtspēja	解像度
minimālais	最低限
minimālais	最低
minimālais	最小
steel	スチール
steel	鋼鉄
šaurs	狭い
patiesību	真実
patiesību	真理
definēt	定義
definēt	define
strēlnieks	サジタリウス
apmeklētāju	ビジター
kausi	バケツ
kausi	トロフィー
mednieks	狩人
mednieks	ハンター
priekšlikumu	モーション
loga	ウィンドウ
nodarbības	レッスン
nodarbības	授業
nodarbības	クラス
vienotas	フラット
apjomi	ボリューム
apjomi	体積
mēris	疫病
mēris	ペスト
smaguma	グラビティ
smaguma	重力
gotlībs	ゴットリーブ
aita	ヒツジ
joma	範囲
joma	スコープ
joma	ドメイン
juri	樹里
faili	ファイル
benito	ベニート
atjaunotas	リフォーム
azovas	アゾフ
simbolus	シンボル
simbolus	記号
thales	タレス
uzņemšana	入場
uzņemšana	入学
uzņemšana	入園
uzņemšana	摂取
uzņemšana	レセプション
uzņemšana	披露宴
uzņemšana	受付
kontrolieris	コントローラ
kontrolieris	コントローラー
pog	pog
eksemplāri	コピー
eksemplāri	部数
kubā	キューバ
slepeni	秘密
tonis	色相
tonis	フエ
tonis	トーン
adam	アダム
šaušana	射撃
vairoties	乗算
ticībā	信仰
ticībā	信念
ticībā	フェイス
sinagoga	シナゴーグ
savstarpēju	相互
strīdus	紛争
apstrādāt	ハンドル
diagramma	ダイアグラム
diagramma	チャート
uzlikt	課す
jūdzes	マイル
audzēja	腫瘍
audzēja	腫瘍
istaba	部屋
istaba	ルーム
bīstami	危険
pogu	ボタン
prāts	mind
prāts	マインド
aizsargi	衛兵
lāčiem	クマ
epidēmijas	伝染病
sinsinati	シンシナティ
ist	ist
ist	ict
arktikas	北極
dalījums	内訳
dalījums	内訳
dalījums	分ける
dalījums	分割
dalījums	スプリット
stabilu	安定
šauras	狭い
motociklu	オートバイ
motociklu	バイク
motociklu	オートバイ
skaidra	クリア
dzimteni	家路
rezervātā	rez
reprise	リプリーズ
sol	sol
sol	ソル
sniegu	スノー
sniegu	snow
plātne	プレート
lekciju	講義
lekciju	教本
lekciju	講演
reiss	航海
aids	エイズ
biezas	厚い
biezas	太い
kārtis	カード
dms	dms
padarītu	メイク
padarītu	make
padarītu	レンダリング
retval	retval
spogulis	ミラー
seminārs	ワークショップ
seminārs	作業場
seminārs	セミナー
plate	プレート
jupiters	ジュピター
jupiters	木星
peugeot	プジョー
advokāta	弁護士
transilvānijas	トランシルヴァニア
holding	持株
sāra	サラ
sāra	sara
ger	ger
luidži	ルイジ
kastes	ボックス
tony	トニー
kambodžas	カンボジア
kambodžas	カンボジア
amonjaka	アンモニア
dzērve	クレーン
dzērve	ツル
džastins	ジャスティン
ada	adp
ada	エイダ
ada	ada
maize	パン
maize	ブレッド
sociālie	ソーシャル
academy	アカデミー
atraitne	未亡人
germain	ジェルマン
secret	秘密
slovēnijā	スロベニア
adm	adm
mirušā	故人
ķelnes	ケルン
webmineral	webmineral
tendences	トレンド
atļauja	認可
atļauja	許可
atļauja	許諾
atļauja	認可
atļauja	許諾
atļauja	許可証
atļauja	許可
apkopojums	編纂
apkopojums	コンパイル
apkopojums	集計
apkopojums	集約
dir	dir
pārcelšanās	除去
pārcelšanās	撤去
stafetes	バトン
barbaru	野蛮
klienti	カスタマー
klienti	クライアント
klienti	クライアント
politiķiem	政治家
deli	デリー
cipariem	numeric
tvertnes	容器
tvertnes	コンテナ
tvertnes	戦車
tabulās	テーブル
šķērsot	クロッシング
kristiešiem	キリスト教徒
priekšpusē	フロント
priekšpusē	表側
priekšpusē	前面
jūrniecības	海事
uzlabota	改良
lielisku	雄大
iespējamā	可能性
vēstniecība	大使館
dotas	与えられた
velsa	ウェールズ
komplekts	集合
komplekts	セット
komplekts	キット
komplekts	kit
satiekas	meet
satiekas	会う
džerijs	ジェリー
centieni	願望
centieni	エンデバー
centieni	取り組み
centieni	努力
centieni	努力
kazaki	コサック
šaubas	疑念
sajaukt	シャッフル
sajaukt	混乱
pakļauties	従う
autonoma	自律
pieauguma	増分
pieauguma	インクリメント
aspx	aspx
aviācija	航空
deutschland	ドイッチュラント
slodzes	読み込む
slodzes	ロード
slodzes	読み込み
rsa	rwa
rsa	rsa
summas	金額
summas	合計
interesants	興味深い
interesants	おもしろい
interesants	面白い
izpratne	理解
saskarne	インターフェース
saskarne	インタフェース
mērenā	温帯
dzīvesveids	生き方
dzīvesveids	ライフスタイル
privāta	非公開
privāta	プライベート
nepālas	ネパール
lidojumiem	フライト
rio	リオ
skaista	美しい
skaista	ビューティフル
viesnīcā	ホテル
vēstniecības	大使館
vēstniecības	大使館
vektoru	ベクター
vektoru	ベクトル
šulcs	シュルツ
ierosina	プロポーズ
džefrijs	ジェフリー
laboratoriju	研究室
tīģeri	トラ
tīģeri	タイガー
tīģeri	タイガース
harta	チャーター
harta	憲章
harta	貸切
identificēt	識別
identificēt	識別
čaplins	チャップリン
paātrinājums	加速度
paātrinājums	加速
pasažierus	乗客
gajs	ガイウス
noņemt	削除
noņemt	取り除く
taktiku	戦術
angeles	angeles
fast	速い
fast	高速
plaukstas	手のひら
plaukstas	ヤシ
plaukstas	パーム
sapratu	ロジェ
sapratu	ロジャー
drudzis	発熱
zemnieks	農家
pozitīvs	陽性
pozitīvs	ポジティブ
portretu	肖像
portretu	ポートレート
portretu	縦長
direktori	取締役
gvineja	ギニア
kenijas	ケニア
kenijas	ケニア
putniņš	バーディー
produkcija	プロデュース
produkcija	製作
produkcija	生産
produkcija	プロダクション
produkcija	アウトプット
produkcija	出力
simfonijas	交響曲
simfonijas	シンフォニー
ārējie	外側
kiprā	キプロス
bagāti	金持ち
bagāti	リッチ
stafete	リレー
jack	ジャック
jack	ジャッキ
kolonnu	カラム
koncepcijas	概念
koncepcijas	コンセプト
raganu	魔女
raganu	ウィッチ
sūta	送信
atkarība	依存
atkarība	甘え
marina	marina
marina	マリーナ
izlaisti	省略
ludmila	リュドミラ
ludmila	リュドミーラ
ludmila	リュドミラ
htv	htv
gluda	スムーズ
gluda	スムース
gluda	滑らか
sveces	ろうそく
sveces	キャンドル
sveces	蝋燭
kolēģi	同僚
orion	オライオン
orion	オリオン
senna	セナ
algoritmu	アルゴリズム
matiass	マティアス
matiass	マチアス
matiass	matthias
lampa	ランプ
sodīt	処罰
armēnija	アルメニア
noklusējuma	デフォルト
ēnu	シャドー
ēnu	シャドウ
mišela	ミシェル
pazemē	地下
pazemē	地下鉄
ginesa	ギネス
everton	エバートン
betmens	バットマン
atļaut	許可
atļaut	許可証
atļaut	許可
dzīvniekam	アニマル
dzīvniekam	動物
logs	ウィンドウ
adrians	エイドリアン
kombinācija	組み合わせ
kombinācija	コンビネーション
analogs	アナログ
analogs	アナログ
viesnīcu	ホテル
viesnīcu	hotels
āboliņš	クローバー
ierakstīšanas	記録
ierakstīšanas	レコーディング
ierakstīšanas	録音
sekotāju	フォロワー
maroka	モロッコ
maroka	モロッコ
sadalīšana	分割
leader	リーダー
vīruss	ウィルス
vīruss	ウイルス
rietumi	ウエスト
rietumi	西部
rietumi	ウェスト
hartmanis	ハルトマン
lēdija	レディ
madride	マドリッド
madride	マドリード
rediģēt	編集
bārija	バリウム
sargi	衛兵
burundi	ブルンジ
skrien	run
skrien	ラン
skrien	走り
skrien	走る
douglas	ダグラス
avārija	アクシデント
avārija	事故
avārija	クラッシュ
tīrasiņu	サラブレッド
imigrantu	移民
jūtu	感じる
jūtu	feel
jūtu	フィール
likās	思考
pakalpojums	サービス
dateformat	dateformat
krāteri	クレーター
mierīgi	イージー
mierīgi	易しい
mierīgi	やさしい
mierīgi	簡単
arestēti	逮捕
biatlona	バイアスロン
pienākumi	義務
pienākumi	債務
pienākumi	義務
pienākumi	職務
pārvaldīt	管理
automašīnām	カーズ
finanses	財務
finanses	金融
finanses	財政
finanses	ファイナンス
moldova	モルドバ
ēnas	シャドウズ
ēnas	シャドー
ēnas	シャドウ
draudzība	友情
cietumu	刑務所
cietumu	監獄
que	que
saskarnes	インターフェース
saskarnes	インタフェース
reālisms	リアリズム
bosnija	ボスニア
peļņa	営利
peļņa	収益
peļņa	利益
peļņa	収益
müller	ミュラー
novērtējums	評価
novērtējums	格付
novērtējums	評価
novērtējums	評定
novērtējums	査定
novērtējums	評価
novērtējums	査定
novērtējums	評定
ich	ich
ugandas	ウガンダ
ugandas	ウガンダ
negaisi	雷雨
aspektiem	側面
ghz	ghz
pārraide	放送
pārraide	配信
pārraide	ブロードキャスト
pārraide	伝送
litija	リチウム
atbrīvošanās	解放
ruta	ルース
posmus	舞台
posmus	ステージ
rūta	ルース
uzlabots	改良
uzlabots	強化された
istabā	部屋
istabā	ルーム
ūdeņradis	水素
atlase	選考
atlase	セレクション
atlase	選択
izpētīt	探検
izpētīt	探検
smaržas	香水
smaržas	香り
smaržas	香水
atbildība	責任
atbildība	責任
atbildība	責務
palermo	パレルモ
skala	スケール
skala	縮尺
skala	目盛
riekstu	ナッツ
riekstu	ナット
mugurkaula	脊柱
mugurkaula	背骨
mugurkaula	脊椎
glāzgovas	グラスゴー
pagānu	異教徒
noslēpums	秘密
pārzinis	キュレーター
bobijs	ボビー
zirņu	エンドウ
modelēšana	モデリング
modelēšana	モデリング
konservatīvo	保守
acteku	アステカ
plānoto	予定
plānoto	計画
evaņģēlijs	ゴスペル
evaņģēlijs	福音書
tēju	お茶
tēju	紅茶
abs	腹筋
abs	abs
cerība	ホープ
cerība	希望
tnt	tnt
mača	マッチ
mača	一致
apaļa	ラウンド
apaļa	round
apaļa	丸い
apaļa	円形
mitoloģija	神話
python	python
python	ニシキヘビ
alkoholu	アルコール
saņemti	受け取り
saņemti	受信
nelegāli	違法
pioneer	パイオニア
katalogs	カタログ
plašāka	広い
nomināciju	指名
korejā	朝鮮
korejā	韓国
darījums	取引
darījums	トランザクション
darījums	ディール
darījums	クーポン
noraidīts	解散
noraidīts	拒否された
noraidīts	却下
žilinas	ジリナ
aizvieto	差し替え
pirmizrādi	デビュー
pastāvīgās	パーマネント
košice	コシツェ
inženierijas	工学
inženierijas	エンジニアリング
inženierijas	工学
parādu	債務
atbildēt	回答
atbildēt	答え
atbildēt	答弁
atbildēt	返信
celšanas	リフティング
ūsas	口ひげ
ūsas	口髭
ūsas	口髭
ūsas	ひげ
publiska	公衆
publiska	公開
publiska	パブリック
izmeklēšanu	問い合わせ
irina	イリナ
irina	イリーナ
upurus	生贄
sio	ico
zebra	シマウマ
horizonta	地平線
horizonta	ホライズン
horizonta	水平線
žestu	身振り
žestu	ジェスチャー
slava	名声
slava	グローリー
ķieģeļi	れんが
ķieģeļi	レンガ
ķieģeļi	煉瓦
sprints	スプリント
dvēseli	ソウル
dvēseli	霊魂
habarovskas	ハバロフスク
studē	勉強
morics	モーリッツ
kāzu	ウェディング
kāzu	結婚式
žūrija	陪審制
žūrija	陪審員
žūrija	パネル
teherānas	テヘラン
piesārņojuma	公害
piesārņojuma	汚染
haizivis	サメ
haizivis	サメ
era	時代
reformām	改革
sap	sap
lange	ランゲ
pārvērst	変換
pārvērst	コンバート
ceturksnī	四半期
dzīvs	アライブ
patronas	カートリッジ
radīšana	創造
radīšana	作成
ārvalstīs	海外
mesto	メスト
forbes	フォーブス
līmeņi	レベル
vidējie	真ん中
vidējie	ミドル
rauls	ラウル
hāgas	ハーグ
nost	オフ
cietās	一生懸命
cietās	ハード
cietās	難しい
bažas	懸念
bažas	関心事
rumbas	ハブ
ginters	ギュンター
orientācijas	方向
orientācijas	向き
orientācijas	オリエンテーション
pieņemšana	承諾
pieņemšana	受入れ
pieņemšana	承認
pieņemšana	受付
pieņemšana	レセプション
pieņemšana	披露宴
pieņemšana	受付
āzija	アジア
koncepcija	概念
koncepcija	コンセプト
šokolādes	チョコレート
pūķi	ドラゴンズ
pūķi	ドラゴン
pūķi	ドラゴン
prototipu	プロトタイプ
prototipu	プロトタイピング
sprādziens	爆発
zīmola	ブランド
zīmola	銘柄
tulkot	翻訳
mikelandželo	ミケランジェロ
šauļu	シャウレイ
libāna	レバノン
timeaxis	timeaxis
pārliecību	説得
diāna	ダイアン
paraugus	サンプル
šauri	狭い
doom	ドゥーム
breds	ブラッド
ziņa	メッセージ
ziņa	伝言
uri	uri
uri	uri
emblēma	エンブレム
kritērijs	ベンチマーク
čaks	チャック
kentuki	ケンタッキー
smart	賢い
smart	スマート
ata	ata
gnome	ノーム
gnome	gnome
iznīcināts	破壊された
barselonas	バルセロナ
protonu	陽子
horizontāli	水平
uzrauga	モニター
uzrauga	モニタ
dubstep	ダブステップ
atdalīt	切り離す
atdalīt	取り外す
zvejnieks	漁師
robins	ロビン
aizliegtas	禁止
mehānisko	モーター
smalki	微妙
mezgli	ノード
bioloģiski	生物
brīdis	moment
brīdis	瞬間
brīdis	モーメント
sarežģīts	トリッキー
sarežģīts	コンプレックス
sarežģīts	錯体
sarežģīts	複雑
sarežģīts	複雑
savojas	サヴォイ
savojas	サヴォワ
neveiksmīga	失敗
école	エコール
terēze	テレサ
perspektīvas	遠近
perspektīvas	遠近法
perspektīvas	視点
perspektīvas	outlook
perspektīvas	視点
fosfora	リン
palāta	法廷
palāta	コート
palāta	裁判所
locītavu	関節
pacelties	離陸
jaunatne	青年
jaunatne	若者
jaunatne	ユース
jaunatne	青春
kaņepju	アサ
kaņepju	大麻
wii	wii
jēdzieni	概念
jēdzieni	コンセプト
iekavās	括弧
iekavās	かっこ
osi	osi
kārters	カーター
pabeidz	終了
pabeidz	フィニッシュ
pārstāvniecības	表現
maxima	マクシマ
orgānus	臓器
orgānus	機関
restorāns	レストラン
restorāns	飲食店
hjū	ヒュー
šics	シュッツ
depresija	うつ病
debates	ディベート
slalomā	スラローム
identitāte	アイデンティティー
identitāte	アイデンティティ
sesija	セッション
lejā	ダウン
lejā	階下
moments	moment
moments	瞬間
moments	モーメント
meklēšana	検索
meklēšana	検索
lielisks	優れた
greckis	グレツキー
vēlmes	願いごと
vēlmes	欲望
augustīns	カバ
ķīnieši	中国語
ķīnieši	中国人
tauriņi	ボウ
tauriņi	お辞儀
tauriņi	おじぎ
tauriņi	船首
dāvanas	ギフト
dāvanas	贈り物
dāvanas	プレゼント
ilinoisas	イリノイ
noaa	noaa
markuss	マルクス
markuss	マーカス
bēres	葬式
bēres	葬儀
celms	変形
luka	ルカ
šautenes	小銃
kokapstrādes	木工
kokapstrādes	木工
otrie	番目
otrie	セカンド
ieteikuma	ヒント
slāpekli	窒素
laimes	フォーチュン
laimes	ハピネス
laimes	幸福
laimes	幸せ
rom	rom
rom	rom
procedūra	プロシージャ
procedūra	手順
procedūra	手続き
smtp	smtp
uzsvaru	強調
tēvocis	叔父
tēvocis	伯父
tēvocis	おじさん
tēvocis	おじ
tēvocis	アンクル
kolonna	カラム
barset	barset
