γερουσιαστές	সিনেটর
διαχωρισμού	বিচ্ছেদ
διαχωρισμού	পৃথকীকরণ
υγρή	আর্দ্র
υγρή	তরল
υγρή	ভিজা
υγρή	ভিজিয়ে
υγρή	ভেজা
υγρή	সিক্ত
υγρή	ভিজে
κλωντ	ক্লদ
απαγωγή	অপহরণ
απαγωγή	অপহরণের
απαγωγή	অপহরণ
απαγωγή	অপহরণ
απαγωγή	অপহৃত
ζάμπια	জাম্বিয়া
ενεργοποίηση	সক্রিয়করণ
ενεργοποίηση	অবস্থান
ενεργοποίηση	সক্রিয়
μηχανικά	মেকানিক্যাল
μηχανικά	যান্ত্রিক
σεπτέμβρη	সদস্য
σεπτέμβρη	সেপ্টেম্বর
καμπύλες	বাঁক
καμπύλες	বক্ররেখা
διαβάστε	পড়ে
διαβάστε	পড়ার
διαβάστε	পড়ুন
διαβάστε	পড়বেন
ξίφος	তলোয়ার
ξίφος	তরবারি
έσωσε	সংরক্ষিত
καινοτομία	নতুনত্ব
καινοτομία	উদ্ভাবন
παράδεισο	স্বর্গের
παράδεισο	আকাশ
παράδεισο	স্বর্গ
παράδεισο	হেভেন
παράδεισο	প্যারাডাইস
παράδεισο	স্বর্গ
παράδεισο	বেহেশতের
παράδεισο	বেহেশত
χωράφια	ক্ষেত্র
χωράφια	ক্ষেত্রগুলি
ντίζελ	ডিজেল
υπουργούς	মন্ত্রীরা
υπουργούς	মন্ত্রীদের
διάσημοι	খ্যাত
διάσημοι	বিখ্যাত
διάσημοι	প্রখ্যাত
διάσημοι	সেলিব্রেটি
διάσημοι	সেলিব্রিটি
διάσημοι	তারকাদের
δαπάνη	ব্যয়
παρουσιαστής	উপস্থাপক
παρουσιαστής	হোস্ট
παρουσιαστής	আয়োজক
αϊτή	হাইতি
εξάρτηση	নির্ভরতা
εξάρτηση	নির্ভরশীলতা
κώδικες	কোডগুলি
γκάνα	ঘানা
κλίντον	ক্লিনটন
κλίντον	ক্লিন্টন
κρατήρες	craters
διακριτικό	টোকেন
λιμνών	হ্রদ
λιμνών	লেক
ύφεση	মন্দা
εύνοια	অনুকূলে
εύνοια	পক্ষে
ανησυχίες	উদ্বেগ
ανησυχίες	দুশ্চিন্তা
ανησυχίες	উদ্বেগের
ανησυχίες	উদ্বেগ
εστιατόριο	রেস্তোরাঁ
εστιατόριο	রেস্টুরেন্ট
ιππότη	নাইট
ιππότη	ঘোড়া
αλβανοί	আলবেনীয়
χειρότερο	খারাপ
ύλες	উপকরণ
οπίσθια	নিতম্ব
οπίσθια	রিয়ার
κλοντ	ক্লদ
ράιαν	রায়ান
νουβέλα	উপন্যাস
ψηφία	অংক
δημογραφικά	জনপরিসংখ্যান
ενδιάμεση	অন্তবর্তীকালীন
ενδιάμεση	অন্তর্বর্তী
κόσοβο	কসোভো
φθόριο	ফ্লোরিন
χείλος	ঠোঁটের
χείλος	লিপ
χείλος	ঠোট
σκαρφάλωσε	আরোহণ
ποιητικό	কাব্যিক
μαχαίρι	ছুরি
συνήθειες	অভ্যাস
επενδύσεων	বিনিয়োগ
μόντε	মন্টি
μόντε	মন্টে
παράκτια	উপকূলীয়
φωτισμού	আলোকসজ্জা
φωτισμού	লাইটিং
σκυλιά	কুকুর
κακός	খারাপ
κακός	বাজে
εικασία	অনুমান
εικασία	জল্পনা
ξένος	অচেনা
ξένος	আগন্তুক
ξένος	বিদেশি
ξένος	বৈদেশিক
ξένος	বিদেশ
ξένος	বিদেশী
ρόουζ	গোলাপের
ρόουζ	গোলাপ
ρόουζ	রোজ
προστατεύεται	সুরক্ষিত
μίσιγκαν	মিশিগান
ψηλό	লম্বা
λιντς	লিডস
λιντς	লিঞ্চ
καταλαβαίνει	বোঝে
σύνθετη	যৌগিক
σύνθετη	জটিল
σύνθετη	কমপ্লেক্স
δίδυμα	জমজ
δίδυμα	যমজ
προορισμός	গন্তব্য
προορισμός	গন্তব্যস্থল
κηλίδες	দাগ
φοίνικας	ফিনিক্স
ανέμους	বায়ু
ανέμους	বাতাস
σάμιουελ	স্যামুয়েল
αμνηστία	অ্যামনেস্টি
ισλαμική	ইসলামী
ισλαμική	ইসলামিক
ισλαμική	ইসলামি
εχθροί	শত্রুদের
εχθροί	শত্রু
εχθροί	শত্রুরা
γυρισμάτων	চিত্রগ্রহণ
κλάσμα	ভগ্নাংশ
αναψυχής	বিনোদনমূলক
αναψυχής	অবকাশ
αναψυχής	অবসর
νεα	নতুন
νεα	খবর
νεα	সংবাদ
νεα	নিউজ
νεα	খবরাখবর
καινοτομίες	নতুনত্ব
καινοτομίες	উদ্ভাবন
απαγορεύτηκε	নিষিদ্ধ
σταματά	থেমে
νόρμαν	নরম্যান
μετοχές	স্টক
μετοχές	শেয়ার
δσε	cef
επαναστάσεις	বিপ্লব
περιμένω	অপেক্ষারত
περιμένω	অপেক্ষা
περιμένω	অপেক্ষায়
κάθεται	বসেছে
στέκεται	দাঁড়িয়ে
στέκεται	দাড়িয়ে
στέκεται	দাঁড়ানো
στέκεται	দাঁড়ায়
κλάους	ক্লস
γενέθλια	জন্মদিন
γενέθλια	জন্মদিন
περίληψη	সারসংক্ষেপ
περίληψη	সারাংশ
αμφιβολίες	সন্দেহের
αμφιβολίες	সন্দেহ
ευριπίδης	euripides
πυκνή	ঘন
μάγια	মায়া
μάγια	মায়ার
μάγια	মাজা
εργαζόμενοι	শ্রমিকদের
εργαζόμενοι	শ্রমিক
εργαζόμενοι	কর্মীরা
εργαζόμενοι	কর্মচারীদের
εργαζόμενοι	কর্মীরা
εργαζόμενοι	কর্মচারীরা
εργαζόμενοι	কর্মচারী
επανέλαβε	পুনরাবৃত্ত
επανέλαβε	পুনরাবৃত্তি
επιμονή	অধ্যবসায়
λούκα	লুকা
λούκα	lucca
λούκα	লুকা
καμβά	ক্যানভাস
καμβά	চিত্রপট
φρέντερικ	ফ্রেডরিক
μανία	মানিয়া
ψυχολογική	মানসিক
ψυχολογική	মনস্তাত্ত্বিক
ρόζα	রোসা
ρόζα	রোজা
οσμάν	ওসমান
τυρί	cheese
τυρί	চিজ
κίτρινη	হলদে
κίτρινη	হলুদ
γρήγορο	দ্রুত
γρήγορο	ফাস্ট
ανοχή	সহনশীলতা
αποδέχεται	গ্রহণ
μπατίστα	বাতিস্তা
καταχώρηση	তথ্য
καταχώρηση	ভুক্তি
καταχώρηση	এন্ট্রি
καταχώρηση	রেজিস্ট্রেশন
καταχώρηση	নিবন্ধন
καταχώρηση	নিবন্ধীকরণ
μέλι	মধুময়
μέλι	মধু
μέλι	হানি
τόλκιν	tolkien
βίνσεντ	ভিনসেন্ট
ναρκωτικά	ওষুধের
ναρκωτικά	ওষুধ
ναρκωτικά	ঔষধ
ναρκωτικά	মাদক
διάβρωση	জারণ
διάβρωση	ভাঙন
τζόρτζια	জর্জিয়া
αυξάνονται	বৃদ্ধি
αυξάνονται	বাড়ছে
άλας	সল্ট
άλας	লবন
άλας	লবণ
κατάρα	অভিশাপ
καταδρομικό	ক্রুজার
ενέδρα	অ্যামবুশ
σπόροι	বীজ
σπόροι	বীজ
ονομαστική	রেটেড
υποδοχής	হোস্ট
υποδοχής	আয়োজক
βαθμιαία	ক্রমশ
σκύλος	কুকুর
σκύλος	কুকুরের
θεραπείες	চিকিত্সা
ομολογία	স্বীকারোক্তি
καθολικοί	ক্যাথলিক
ισοδύναμο	সমতুল্য
εθνικοί	নাগরিকদের
σώθηκε	সংরক্ষিত
ειδικότητα	specificity
κοσμική	ধর্মনিরপেক্ষ
κοσμική	জাগতিক
μάργκαρετ	মার্গারেট
δοχείο	ধারণকারী
δοχείο	ধারক
νίγηρα	নাইজার
θωρηκτό	রণতরীর
συμπλήρωμα	সাপ্লিমেন্ট
συμπλήρωμα	সম্পূরক
αγιος	সাধু
αγιος	সেন্ট
χρήμα	অর্থ
χρήμα	টাকার
χρήμα	টাকা
διηπειρωτικό	transcontinental
μόδα	ফ্যাশন
τουρκμενιστάν	তুর্কমেনিস্তান
γράψω	লিখা
γράψω	লিখতে
γράψω	লেখা
γράψω	লিখুন
δολοφόνος	কিলার
δολοφόνος	খুনি
δολοφόνος	খুনী
δολοφόνος	গুপ্তঘাতক
ωραίο	সুন্দর
ωραίο	চমৎকার
ωραίο	নাইস
ωραίο	nice
λίτρα	লিটার
φωτισμό	আলোকসজ্জা
φωτισμό	লাইটিং
αργό	আর্গন
αργό	ধীর
αργό	ধীরে
αργό	মন্থর
παραμύθι	টেল
απασχόλησης	চাকরি
απασχόλησης	কর্মসংস্থানের
απασχόλησης	কর্মসংস্থান
λιμένας	পোর্ট
λιμένας	বন্দর
διαθεσιμότητα	প্রাপ্যতা
διαθεσιμότητα	উপলব্ধতা
τροπικό	ক্রান্তীয়
θειικό	sulphate
φθορά	পরিধান
φθορά	অবনতির
φθορά	অবনতি
καταλύτη	অনুঘটক
βόλφγκανγκ	ভোলফগাং
ηλικίες	যুগ
ηλικίες	বয়সের
ηλικίες	বয়স
συναίσθημα	আবেগ
συναίσθημα	লাগছে
συναίσθημα	বোধ
συναίσθημα	অনুভব
συναίσθημα	অনুভূতি
συναίσθημα	অনুভুতি
συναίσθημα	আবেগ
γουιάνα	গায়ানা
φυσιολογία	physiology
αλβανικά	আলবেনীয়
αποκλεισμού	বর্জনের
συγκομιδή	ফসল
μπέλα	বেলা
προοδευτικό	প্রগতিশীল
προοδευτικό	ক্রমবর্ধমান
ύπνο	ঘুমিয়ে
ύπνο	ঘুম
συντηρητική	রক্ষণশীল
κόρδοβα	কর্ডোবা
διαλέκτους	উপভাষা
βούλγαρος	বুলগেরিয়ান
αναπνοή	নিঃশ্বাস
αναπνοή	শ্বাস
αναπνοή	নিশ্বাস
αναπνοή	নিঃশ্বাসের
αναπνοή	প্রশ্বাস
αναπνοή	শ্বাস
κοιλότητα	গহ্বর
γεια	hello
γεια	হ্যালো
καρποί	ফল
καρποί	ফলের
καρποί	বাদাম
άνεμοι	বায়ু
άνεμοι	বাতাস
ρωμαίο	রোমিও
στοκ	স্টক
θανάσιμα	মারাত্মক
πυροβόλο	আগ্নেয়াস্ত্র
παρτίδα	ব্যাচ
παρτίδα	লট
παρτίδα	lot
παρτίδα	লূত
ανταγωνισμός	প্রতিযোগিতা
συμφέρον	সুদ
συμφέρον	আগ্রহ
οδήγηση	ড্রাইভ
οδήγηση	ড্রাইভিং
γουάιτ	ওয়াট
ενδυμασία	সজ্জা
περιορισμοί	সীমাবদ্ধতা
περιορισμοί	নিষেধাজ্ঞা
περιορισμοί	সীমাবদ্ধতা
περιορισμοί	বিধিনিষেধ
δυσαρέσκεια	অসন্তোষের
δυσαρέσκεια	অসন্তোষ
λουτρό	গোসল
λουτρό	বাথ
λουτρό	স্নান
λουτρό	গোসলের
ουγγρική	হাঙ্গেরিয়ান
ουγγρική	হাঙ্গেরীয়
εξάμηνο	সেমিস্টার
καστ	নিক
καστ	নিক্ষিপ্ত
καστ	কাস্ট
θεωρητικό	তাত্ত্বিক
σενεγάλη	সেনেগাল
σκοράρει	স্কোর
οργανωμένο	সংগঠিত
οργανωμένο	সংগঠিত
οργανωμένο	আয়োজিত
νίκολας	নিকোলাস
κυκλώματα	বর্তনী
αποκλεισμός	বর্জনের
αποκλεισμός	নিষেধাজ্ঞা
αποκλεισμός	নিষিদ্ধ
αποκλεισμός	নিষেধ
φάντασμα	ভূত
φάντασμα	ভুত
φάντασμα	ফ্যান্টম
μπέρναρντ	বার্নার্ড
παρομοίως	অনুরূপভাবে
παρομοίως	একইভাবে
εγκυκλοπαιδική	encyclopedic
αιτήματα	অনুরোধসমূহ
αιτήματα	অনুরোধ
αιτήματα	আবেদন
αιτήματα	দাবির
αιτήματα	দাবি
αιτήματα	দাবী
φανταστική	চমত্কার
φανταστική	কল্পনাপ্রসূত
φανταστική	চমৎকার
απόσυρση	প্রত্যাহার
απόσυρση	প্রত্যাহারের
σιδηρόδρομος	রেল
σιδηρόδρομος	রেলওয়ে
σιδηρόδρομος	রেলের
σιδηρόδρομος	রেল
σιδηρόδρομος	রেলপথ
σιδηρόδρομος	রেল
χλώριο	ক্লোরিন
ασβέστιο	ক্যালসিয়াম
φορούσε	পরতেন
φορούσε	পরেছে
μαυσωλείο	স্মৃতিসৌধ
χθες	গতকাল
χθες	পশ্চিমা
κροατών	croats
ατμοσφαιρική	বায়ুমণ্ডলীয়
διπλός	দ্বিগুণ
διπλός	ডাবল
χοροί	নাচে
ραντ	রুড
δέκατη	দশম
επιθυμητή	কাঙ্খিত
σίδηρο	লোহা
σίδηρο	লোহার
σίδηρο	আয়রন
σίδηρο	আর্গন
βιολογική	জৈবিক
ιδανική	আদর্শ
τσάι	চা
τσάι	চায়ের
περιφερειών	অঞ্চলগুলি
περιφερειών	অঞ্চল
φλάνδρα	ফ্ল্যান্ডার্স
όγδοο	অষ্টম
ασυνήθιστα	অস্বাভাবিক
αφίσες	পোস্টার
πρέσβη	রাষ্ট্রদূত
πρέσβη	দূত
νάπολι	নাপোলি
δάνεια	ঋণ
νετρονίων	নিউট্রন
πρωτεΐνη	প্রোটিন
εκτεταμένο	এক্সটেন্ডেড
γενοκτονία	গণহত্যা
γενοκτονία	গণহত্যার
γραφές	ধর্মগ্রন্থ
πόροι	সামগ্রী
πόροι	সোর্স
χουσεΐν	হোসাইনের
σίλβα	সিলভা
στιλ	শৈলী
στιλ	ধরন
στιλ	স্টাইল
στιλ	বিন্যাস
στιλ	স্টিল
παράμετροι	পরামিতি
εναλλακτικό	বিকল্প
αλάσκα	আলাস্কা
τεχνίτες	বিল্ডার
τεχνίτες	কারিগর
έτοιμη	তৈরী
έτοιμη	তৈরি
έτοιμη	প্রস্তুত
καταλονία	কাতালোনিয়া
απότομη	খাড়া
δόκτωρ	ডাক্তার
πολλαπλά	একাধিক
πολλαπλά	বহুবিধ
ντένις	ডেনিস
ντένις	ডেনিস
μποντ	বন্ড
συναγερμό	অ্যালার্ম
ότο	অটো
γκυ	লোকটা
γκυ	লোকটি
γκυ	লোকটির
βίντσι	ভিঞ্চি
γκαρσία	গারসিয়া
γκαρσία	গার্সিয়া
ροές	ফিড
έρνεστ	আর্নেস্ট
μουσουλμανική	মুসলমান
μουσουλμανική	মুসলমানের
μουσουλμανική	মুসলিম
μουσουλμανική	muslim
συλληφθεί	ধারন
πολύτιμο	মূল্যবান
πολύτιμο	মূল্যবান
οργανικά	অর্গানিক
οργανικά	জৈবিক
λοιμώξεις	ইনফেকশন
λοιμώξεις	সংক্রমণ
φανταστικό	চমত্কার
φανταστικό	কল্পনাপ্রসূত
φανταστικό	চমৎকার
επιθεωρητής	ইন্সপেক্টর
στρατηγικές	কৌশল
στρατηγικές	নীতি
καθημερινές	দিন
καθημερινές	রোজকার
καθημερινές	দৈনিক
καθημερινές	প্রতিদিন
ραντεβού	সাক্ষাৎকার
ραντεβού	rendezvous
ραντεβού	দিন
ραντεβού	তারিখ
ελικόπτερο	হেলিকপ্টার
πολυπλοκότητα	জটিলতা
ακέραιο	পূর্ণসংখ্যা
ιβ	ইভ
ιβ	ইভা
όττο	অটো
βράχος	ফাটিয়ে
βράχος	শিলা
βράχος	রক
στάσεις	থেমে
προϋπολογισμού	বাজেট
κατασκευαστής	নির্মাতা
κατασκευαστής	প্রস্তুতকারক
καντάφι	গাদ্দাফি
καντάφι	গাদ্দাফির
ρότερνταμ	rotterdam
ρέμα	ছড়া
ρέμα	স্ট্রিম
χορν	হর্ন
χορν	হর্ণ
δάνειο	ঋণ
δάνειο	লোন
βέλη	তীরচিহ্ন
γκράχαμ	গ্রাহাম
δοκιμασία	পরীক্ষা
δοκιμασία	টেস্ট
δικαιολογία	মাফ
δικαιολογία	অজুহাত
πρόστιμο	ফাইন
πρόστιμο	জরিমানা
πρόστιμο	জরিয়ে
νύχια	নখ
αναμενόμενο	প্রত্যাশিত
τζιοβάνι	জিওভান্নি
γιούτα	উটাহ
γιούτα	পাট
επανένωση	পুনঃএকত্রীকরণ
επανένωση	পুনর্মিলনী
πυρίτιο	সিলিকন
πυρίτιο	দ্রবণ
λουίτζι	luigi
τροχούς	চাকা
τροχούς	হুইল
αποκλειστική	বিশেষ
διάδρομο	করিডোর
διάδρομο	করিডোর
χλωριούχο	ক্লোরাইড
αρμενίων	আর্মেনিয়ান
αρμενίων	আর্মেনীয়
αρμενίων	আর্মেনিয়
μεταβατική	অন্তর্বর্তীকালীন
σωτήρα	ত্রাণকর্তা
αρχοντικό	অট্টালিকা
φοίνιξ	ফিনিক্স
βρω	খুঁজুন
βρω	অনুসন্ধান
θυσίες	বলিদান
θυσίες	কোরবানী
θυσίες	ত্যাগের
θυσίες	ত্যাগ
θυσίες	বলিদান
θυσίες	বিসর্জন
πιστή	অনুগত
πιστή	বিশ্বাসী
πιστή	বিশ্বস্ত
παραγγελίες	অর্ডার
τραγουδάει	গাওয়া
υπερασπιστεί	রক্ষা
στατιστικές	পরিসংখ্যান
ασφαλές	নিরাপদ
ασφαλές	সুরক্ষিত
ασφαλές	সিকিউর
ασφαλές	নিরাপদ
σέφιλντ	শেফিল্ড
δάπεδο	মেঝে
δάπεδο	ফ্লোরে
δάπεδο	তলা
δάπεδο	মেঝে
δάπεδο	ফ্লোর
δάπεδο	তল
καταστροφική	সর্বনাশা
καταστροφική	ধ্বংসাত্মক
ανακτήσει	পুনরুদ্ধার
αρπακτικά	ঘাতকের
έντγκαρ	এডগার
φιλοξενία	আতিথেয়তা
φιλοξενία	হোস্টিং
θεοδόσιος	theodosius
προωθήθηκε	উন্নীত
βαλτικής	বাল্টিক
ρομαντική	রোমান্টিক
ρομαντική	রোম্যান্টিক
κόμβοι	hubs
κόμβοι	নট
κόμβοι	নোড
κοιλάδες	উপত্যকার
ολλανδικό	ওলন্দাজ
ολλανδικό	ডাচ
ενεργητικό	সম্পদ
τυπικές	গতানুগতিক
χαρτ	হার্ট
φορτηγό	ট্রাক
φορτηγό	লরি
λιν	লিন
λιν	লিন
λιν	লিন
απομεινάρια	উচ্ছিষ্ট
μαραθώνιο	ম্যারাথন
όξινο	আম্লিক
αποτελεσματικό	দক্ষ
αποτελεσματικό	কার্যকর
αποτελεσματικό	কার্যকরী
ποτό	মদ্যপান
ποτό	পানীয়
ποτό	পান
ποτό	পানীয়
ποτό	পানীয়
πλούτος	সম্পদ
ζωντανός	বেঁচে
ζωντανός	বেচে
ζωντανός	জীবিত
ζωντανός	জীবন্ত
δημοκρατικός	রিপাবলিকান
δημοκρατικός	ডেমোক্র্যাট
δημοκρατικός	গণতান্ত্রিক
ρίβερ	নদী
ρίβερ	রিভার
επαναστάτης	বৈপ্লবিক
επαναστάτης	বিপ্লবী
επαναστάτης	বিদ্রোহী
επαναστάτης	অবাধ
επαναστάτης	বিদ্রোহী
επαναστάτης	অবাধ
μπετόβεν	beethoven
κρόνος	শনির
κρόνος	ক্রোনোস
χαρτιά	কার্ড
χαρτιά	তাস
χαρτιά	কাগজপত্র
σκοτάδι	গাঢ়
σκοτάδι	কালো
σκοτάδι	অন্ধকার
σκοτάδι	আঁধার
σκοτάδι	অন্ধকার
ιβηρική	আইবেরিয়ান
ετικέτα	ট্যাগ
ετικέτα	লেবেল
ίχνος	ট্রেস
συμμορία	গ্যাং
εξελικτική	বিবর্তনীয়
πλατιά	বিস্তৃত
πλατιά	প্রশস্ত
μίσος	ঘৃণা
μίσος	ঘৃনা
μίσος	অপছন্দ
μίσος	ঘৃণা
μίσος	hate
ανακοίνωσαν	ঘোষিত
πείτε	বলবো
πείτε	বলে
πείτε	বলো
πείτε	বলতে
πείτε	বল
πείτε	বলুন
τρώει	খাচ্ছে
τρώει	খাওয়া
τρώει	খাওয়ার
τρώει	খায়
ιατρικά	চিকিৎসা
ιατρικά	মেডিকেল
ιατρικά	মেডিক্যাল
επικίνδυνα	বিপদজনক
επικίνδυνα	ডেঞ্জারাস
επικίνδυνα	বিপজ্জনক
προγραμματιστές	প্রোগ্রামার
προγραμματιστές	ডেভেলপারদের
ανέτρεψε	ক্ষমতাচ্যুত
άνεμο	বায়ু
άνεμο	বাতাস
βαθμολόγησης	স্কোরিং
βολή	শট
άνεση	ছটফট
άνεση	আরাম
άνεση	সান্ত্বনা
ιούδα	জুডাস
ιούδα	জুদাহ
κέλι	কেলি
λεσότο	লেসোথো
αποφεύγεται	এড়ানো
ειδοποίηση	বিজ্ঞপ্তি
ειδοποίηση	খেয়াল
ειδοποίηση	নোটিশ
ειδοποίηση	বিজ্ঞপ্তি
ειδοποίηση	অ্যানিমেশন
ειδοποίηση	নোটিফিকেশন
ειδοποίηση	সতর্কবার্তা
ειδοποίηση	সতর্কতা
ειδοποίηση	সতর্ক
όσλο	অসলো
κόνραντ	কনরাড
επαγγέλματα	পেশাকে
αντιπαλότητα	প্রতিদ্বন্দ্বিতা
τόμσον	থম্পসন
τόμσον	থম্পসন
μωρό	বাবু
μωρό	শিশু
μωρό	বাচ্চা
μωρό	বেবি
μωρό	বাচ্চার
μωρό	সোনা
μωρό	প্রিয়তমা
μωρό	babe
συμπόσιο	সিম্পোজিয়াম
συμπόσιο	ভোজ
εξάλειψη	এলিমিনেশন
κινέζικα	চিনা
κινέζικα	চীনা
γουατεμάλα	গুয়াতেমালা
ορατά	দৃশ্যমান
αφαιρέθηκαν	অপসারিত
αποχρώσεις	ছায়া
χειρότερα	খারাপ
βελγική	বেলজিয়ান
κενή	ফাঁকা
κενή	খালি
κενή	ফাঁকা
απεικόνισης	ইমেজিং
βανκούβερ	ভ্যাঙ্কুভার
επιθετικό	আক্রমণাত্মক
επιθετικό	আক্রমনাত্মক
επιθετικό	আগ্রাসী
μήλο	পেল
μήλο	আপেল
μήλο	apple
μήλο	অ্যাপল
πρεσβείας	দূতাবাস
λογαριασμούς	অ্যাকাউন্ট
μαϊάμι	মায়ামি
έλξη	আকর্ষণ
έλξη	আকর্ষণ
έλξη	আকর্ষণের
μπουλ	ষাঁড়
μπουλ	বুল
ευθύνες	দায়িত্বের
ευθύνες	দায়িত্ব
ακέραιος	পূর্ণসংখ্যা
κρανίο	খুলি
αφθονία	প্রাচুর্য
δεξιότητες	দক্ষতা
δεξιότητες	দক্ষতা
πρωτόκολλα	প্রোটোকল
νηλ	নিল
υπάλληλοι	কর্মচারীদের
υπάλληλοι	কর্মীরা
υπάλληλοι	কর্মচারীরা
υπάλληλοι	কর্মচারী
υπάλληλοι	কর্মকর্তাদের
υπάλληλοι	কর্মকর্তারা
ιορδανία	জর্দান
ιορδανία	জর্ডান
κεφάλια	মাথা
κεφάλια	হেড
δένδρο	গাছ
δένδρο	ট্রি
δένδρο	ট্রী
δένδρο	বৃক্ষ
ιρλανδική	আইরিশ
ναμίμπια	নামিবিয়া
πλατύ	বিস্তৃত
πλατύ	প্রশস্ত
ξύλινη	কাঠের
τόξα	তীরচিহ্ন
παρατηρητήριο	মানমন্দির
καύκασο	ককেশাস
εγγονή	নাতনি
ορθογραφία	বানান
παρατηρήσει	খেয়াল
διεκδίκηση	দাবির
διεκδίκηση	দাবি
διεκδίκηση	দাবী
παραγωγική	উৎপাদনশীল
ασφαλής	নিরাপদ
ασφαλής	সুরক্ষিত
ασφαλής	সিকিউর
ασφαλής	নিরাপদ
κινέζοι	চিনা
κινέζοι	চীনা
δράκος	ড্রাগন
βλέπεις	দেখি
βλέπεις	দেখুন
βλέπεις	দেখবে
βλέπεις	দেখে
