учебник	教科書
франки	フランキー
жозе	ホセ
жозе	ホセ
хармония	ハーモニー
хармония	調和
бъдещ	フューチャー
бъдещ	未来
бъдещ	将来
загубите	損失
уокър	ウォーカー
оверн	オーヴェルニュ
гущери	トカゲ
единбург	エディンバラ
горене	燃焼
горене	燃える
горене	バーニング
измислен	発明
тежест	重荷
тежест	負担
тежест	重量
тежест	体重
репутация	評判
репутация	親善
репутация	のれん
споменаване	言及
автобус	バス
олимпия	オリンピア
разследването	調査
разследването	捜査
вторник	火曜日
омар	オマール
изпит	試験
изпит	試験
мечта	ドリーム
мечта	dream
диплома	ディプロマ
комикси	漫画
комикси	コミック
комикси	コミック
събрания	ミーティング
събрания	会議
истинско	real
истинско	本物
истинско	リアル
разходка	ウォーキング
разходка	歩行
разходка	歩く
разходка	歩き
разходка	ウォーク
разходка	歩行
разходка	歩く
разходка	徒歩
установен	設立
синт	シンセサイザー
ферма	農場
ферма	ファーム
ферма	フェルマー
троя	トロイ
троя	イリオス
благородник	尊い
перес	ペレス
укрепване	強化
укрепване	強化
укрепване	強化
таен	秘密
спин	エイズ
окръжност	サークル
частица	粒子
китаристи	ギタリスト
теза	テーゼ
теза	論文
олимп	オリンポス
гробището	墓地
гробището	墓地
гробището	墓所
гробището	墓場
хотели	ホテル
хотели	hotels
пистолет	ピストル
пистолет	ガン
арест	逮捕
ресурс	リソース
ресурс	資源
пир	ごちそう
реалността	リアリティ
реалността	現実
преценка	判断
преценка	審判
преценка	査定
преценка	評価
преценка	判断
преценка	判決
оформление	レイアウト
херцогството	公爵
пода	フロア
легиона	レギオン
линда	linda
линда	リンダ
демонстрация	デモンストレーション
демонстрация	実演
демонстрация	デモ
шарлот	シャルロット
анимация	アニメーション
маркиз	侯爵
внос	輸入
внос	輸入
внос	輸入
регионите	リージョン
регионите	地域
централни	中央
централни	セントラル
куб	立方体
куб	キューブ
невски	ネフスキー
дебела	厚い
дебела	太い
дебела	脂肪
месечна	毎月
месечна	月間
месечна	月刊
покер	ポーカー
мит	mit
мит	神話
мит	mlt
хубава	可愛い
хубава	ナイス
хубава	ニース
хубава	素敵
съставки	材料
съставки	食材
съставки	成分
робинсън	ロビンソン
убеждения	信念
урал	ウラル
хъдсън	ハドソン
кент	ケント
дискриминация	差別
митридат	ミトリダテス
занаяти	工芸
монца	モンツァ
драмата	ドラマ
харт	ハート
индивид	個人
индивид	個別
работен	働く
работен	作業
филипс	フィリップス
филипс	フィリップス
тъмен	ダーク
тъмен	暗い
антигуа	アンティグア
прозорци	windows
полицай	cop
полицай	役員
полицай	巡査
бисмарк	ビスマルク
бомбардировки	砲撃
бомбардировки	爆撃
монархията	君主制
упражнения	演習
упражнения	運動
упражнения	行使
упражнения	エクササイズ
майот	マヨット
свине	ブタ
цивилизации	文明
алонсо	アロンゾ
худ	フード
худ	ボンネット
отстъпление	退却
отстъпление	撤退
монтаж	設置
монтаж	インストール
монтаж	マウント
монтаж	編集
мастърс	マスターズ
плати	支払う
плати	支払い
квадрат	正方形
квадрат	四角
квадрат	広場
фернандес	フェルナンデス
фернандес	フェルナンデス
ауди	アウディ
популации	人口
доминик	ドミニク
хорхе	ホルヘ
субект	主体
субект	件名
монарх	君主
монарх	モナーク
апсида	アプス
нападнат	襲撃
собствениците	オーナー
собствениците	所有者
гласна	母音
обитатели	住民
обитатели	住民
хермес	ヘルメース
труден	タフ
труден	厳しい
труден	難しい
преобразуване	変換
преобразуване	コンバート
преобразуване	変換
преобразуване	変換
преобразуване	変換
преобразуване	変形
телефони	電話機
подкрепления	援軍
следващо	next
вдигане	リフティング
розово	ピンク
розово	ナデシコ
федерико	フェデリコ
месина	メッシーナ
ерата	時代
албърт	アルベルト
албърт	アルバート
електрони	電子
камерата	カメラ
марцел	マルケッルス
изненада	驚き
изненада	サプライズ
жул	ジュール
елени	エレニ
елени	シカ
елени	トナカイ
хипотези	仮説
хипотези	入力
хипотези	仮説
норман	ノーマン
салерно	サレルノ
бордо	ボルドー
концертите	コンサート
фауст	ファウスト
фейсбук	facebook
грижа	ケア
грижа	介護
соколов	ソコロフ
никол	ニコル
приготвяне	準備
приготвяне	調製
приготвяне	仕込み
приготвяне	調合
приготвяне	準備
отклонение	偏差
братовчедка	従姉妹
братовчедка	従兄弟
братовчедка	いとこ
спазване	コンプライアンス
пазарна	市場
пазарна	マーケット
спомен	メモリ
спомен	メモリー
спомен	記憶
чаша	グラス
чаша	ガラス
чаша	マグカップ
чаша	カップ
чаша	コップ
чаша	cup
костенурка	カメ
искания	リクエスト
искания	要求
напитка	飲み物
напитка	飲料
динамика	ダイナミズム
динамика	ダイナミック
меко	やわらかい
меко	柔らかい
меко	ソフト
саманта	サマンサ
дребен	小さな
дребен	スモール
дребен	小さい
изследователите	研究者
изгрев	日の出
горан	ゴラン
акцент	アクセント
акцент	アクセント
акцент	強調
сделка	取引
сделка	トランザクション
сделка	バーゲン
сделка	ディール
сделка	クーポン
вдъхновение	インスピレーション
вдъхновение	インスパイア
рог	クラクション
рог	ホルン
рог	ホーン
разширена	拡張
разширена	延長
главите	ヘッズ
главите	ヘッド
люис	ルイス
концепции	概念
концепции	コンセプト
положителен	陽性
положителен	ポジティブ
неофициален	非公式
неофициален	略式
неофициален	非公式
ханибал	ハンニバル
руди	ルディ
руди	ルディ
татари	タタール
посетителите	ビジター
национализъм	ナショナリズム
капела	チャペル
откритие	ディスカバリー
откритие	発見
недостатък	欠陥
недостатък	不利益
разширяването	引き伸ばし
рани	傷口
вот	投票
кандидатурата	入札
кандидатурата	立候補
алтернативни	オルタナティブ
алтернативни	代替
падане	落下
падане	落ちる
падане	落下
фактите	事実
привличане	アトラクション
свидетели	証人
свидетели	証人
поръчки	契約
поръчки	調達
поръчки	用事
поръчки	命令
поръчки	オーダー
поръчки	注文
йони	イオン
лари	ラリー
терористи	テロリスト
пациентите	患者
трагедия	悲惨
трагедия	悲劇
фондове	資金
фондове	ファンド
кол	コール
подарък	現在
подарък	present
подарък	プレゼント
подарък	ギフト
подарък	贈り物
електроенергия	電力
електроенергия	電気
умишлено	わざと
умишлено	故意
умишлено	故意
клинтън	クリントン
намерения	意図
рик	リック
модули	モジュール
жестоко	残酷
гостите	ゲスト
вируси	ウィルス
вируси	ウイルス
вируси	ウィルス
вируси	ウイルス
стенопис	壁画
кафяво	褐色
кафяво	茶色
кафяво	ブラウン
изолирани	絶縁
потъва	沈む
маска	仮面
маска	マスク
ядрен	原子力
дора	ドーラ
зрялост	満期
гийом	ギヨーム
пирати	パイレーツ
пирати	海賊
сексуално	性的
пеперуда	チョウ
пеперуда	バタフライ
сектори	セクター
проектирането	デザイン
депортиво	デポルティーボ
берн	ベルヌ
стандартен	基準
стандартен	スタンダード
стандартен	標準
тулуза	トゥールーズ
съкращение	略語
съкращение	略記
съкращение	略称
съкращение	冗長
двойни	ダブル
двойни	二重
двойни	ダブルス
водород	水素
алгоритми	アルゴリズム
картите	カード
картите	地図
картите	マップ
вацлав	ヴァーツラフ
активи	アセット
активи	資産
активи	アセット
активи	資産
сек	sec
постановление	布告
постановление	支配
постановление	裁定
постановление	審判
сергий	セルゲイ
ъгли	アングル
писти	トラック
кая	カヤ
ърнест	アーネスト
изоставен	放棄された
лава	溶岩
слънчев	晴れ
слънчев	サニー
студия	スタジオ
обстоятелствата	状況
обстоятелствата	事情
обстоятелствата	情状
заплащане	報酬
заплащане	給与
заплащане	支払う
заплащане	支払い
заплащане	支払
заплащане	決済
заплащане	支払い
поклонение	巡礼
корпорация	コーポレーション
средиземноморски	地中海
екипи	チーム
проби	サンプル
акра	エーカー
бронз	青銅
бронз	ブロンズ
лисици	キツネ
завършено	コンプリート
завършено	完備
възнесение	アセンション
камерън	キャメロン
ата	ata
разрешаване	認可
разрешаване	解決
разрешаване	解消
субтропичен	亜熱帯
санскрит	サンスクリット
пиаченца	ピアチェンツァ
ензими	酵素
летища	空港
диаманти	ダイヤモンド
лама	ラーマ
лама	ラマ
лама	ラマ
сценарии	シナリオ
сценарии	スクリプト
сценарии	脚本
сценарии	スクリプト
постигнато	達成
ефективни	実効
маршрути	路線
маршрути	ルート
лимасол	リマソール
творческа	クリエイティブ
барбадос	バルバドス
управляващата	支配
управляващата	裁定
управляващата	審判
претендент	チャレンジャー
склад	倉庫
склад	ストレージ
видимо	可視
компютрите	コンピューター
компютрите	コンピュータ
чука	ハンマー
чука	ハマー
аналог	アナログ
любляна	リュブリャナ
яйце	エッグ
меркурий	水星
меркурий	マーキュリー
меркурий	水銀
урбино	ウルビーノ
рейтинг	評価
рейтинг	格付
рейтинг	評価
софи	ソフィー
суми	金額
суми	合計
предшественици	先祖
предшественици	前身
водорасли	コンブ
водорасли	昆布
водорасли	藻類
водорасли	ワカメ
водорасли	海藻
атом	原子
желания	欲望
желания	願いごと
батиста	バティスタ
настилка	舗装
корупцията	汚職
спасяване	セーブ
спасяване	保存
спасяване	保存
спасяване	救助
спасяване	レスキュー
железница	鉄道
железница	鉄道
саша	サシャ
саша	サーシャ
интелектуалци	知識人
тонове	トン
тонове	トン
тонове	音色
морал	士気
морал	道徳
ледник	氷河
енергетика	エネルギー
пейдж	ペイジ
адютант	副官
бернар	ベルナール
метрото	地下鉄
метрото	地下鉄
метрото	メトロ
хокей	ホッケー
хокей	アイスホッケー
пруски	プロイセン
разбиване	速報
шефилд	シェフィールド
честоти	周波数
омир	ホーマー
експрес	エクスプレス
експрес	急行
прозореца	ウィンドウ
слепи	ブラインド
слепи	盲人
пиърс	ピアス
пиърс	ピアース
пиърс	ピアース
хайнц	ハインツ
дикинсън	ディキンソン
етиен	エティエンヌ
етиен	エティエンヌ
йерархия	ヒエラルキー
огледало	ミラー
рут	ルース
пръстите	爪先
пръстите	つま先
пикет	ピケット
съдията	ジャッジ
съдията	裁判官
райнхард	ラインハルト
райнхард	ラインハルト
кат	ネコ
кат	ねこ
кат	kat
престъпност	犯罪
мас	mas
мас	ラード
автобиография	自伝
азот	窒素
пит	ピート
пит	ピット
диас	ディアス
гранична	ボーダー
гранична	国境
носещи	軸受
уолъс	ウォレス
намиране	find
кандидатите	候補者
кандидатите	志願者
луда	気狂い
луда	狂気
луда	クレイジー
луда	マッド
луда	mad
индустриални	工業
светски	世俗
джудже	ミゼット
джудже	ドワーフ
джудже	小人
мики	ミッキー
мики	三木
мики	ミキ
мики	みき
мики	miki
козина	毛皮
усещане	気分
усещане	フィーリング
усещане	感覚
затвори	刑務所
затвори	監獄
столетия	世紀
отава	オタワ
въже	ロープ
противоречие	矛盾
емоции	感情
емоции	感情
теология	神学
литъл	リトル
литъл	小さい
вечно	フォーエバー
опасно	危険
сарагоса	サラゴサ
плъхове	ラット
плъхове	ネズミ
плъхове	ネズミ
пан	パン
стомаха	お腹
вайс	ヴァイス
признаване	認識
признаване	認定
директен	ダイレクト
адалберт	アダルベルト
ричи	リッチー
ричи	リッチー
ричи	リッチ
наш	ナッシュ
оригинална	オリジナル
родопски	ユリ
техеран	テヘラン
влажност	水分
влажност	湿度
протоколи	プロトコル
мерцедес	メルセデス
сечение	セクション
берта	バーサ
берта	ベルタ
насоченост	方向
насоченост	向き
насоченост	オリエンテーション
дявола	悪魔
добавки	添加物
ловец	狩人
ловец	ハンター
небраска	ネブラスカ
кавалерията	騎兵
матео	マッテオ
матео	マテオ
ресторанти	レストラン
красиво	美しい
красиво	ビューティフル
съобщението	メッセージ
съобщението	伝言
патрона	実包
патрона	カートリッジ
интернешънъл	インターナショナル
интернешънъл	国際
изразяване	表現
изразяване	expression
крийк	クリーク
дени	デニー
болки	痛み
болки	疼痛
болки	ペイン
акциите	株式
акциите	ストック
погребение	埋葬
погребение	葬式
погребение	葬儀
квантовата	量子
фреди	フレディ
заточен	流罪
мебели	家具
мотив	動機
коритото	トラフ
взаимодействието	相互作用
доставки	サプライ
доставки	供給
доставки	デリバリー
сянката	シャドー
сянката	シャドウ
засада	待ち伏せ
лойд	ロイド
милиция	民兵
детайл	ディテール
голи	ヌード
голи	ヌード
изстрел	銃声
изстрел	ショット
гринуич	グリニッジ
фраза	フレーズ
новак	ノヴァク
новак	初心者
зрение	視力
зрение	ヴィジョン
зрение	ビジョン
зрение	vision
оценяване	評価
оценяване	評定
оценяване	査定
оценяване	評価
оценяване	測定
оценяване	査定
оценяване	評定
дървесина	木材
дървесина	木製
дървесина	ウッド
дървесина	材木
дървесина	木材
нормални	普通
нормални	ノーマル
ансбах	アンスバッハ
биографии	伝記
насърчаване	奨励
насърчаване	激励
насърчаване	プロモーション
насърчаване	宣伝
насърчаване	宣伝
бери	ベリー
необичайно	珍しい
необичайно	異常
спенсър	スペンサー
ръб	エッジ
ръб	edge
кота	cota
здравеопазване	健康
насаждения	農産物
насаждения	作物
насаждения	プランテーション
полицаи	警察官
полицаи	役員
юдея	ユダヤ
дневен	デイリー
версиите	バージョン
самюъл	サミュエル
излитане	離陸
недостатъчност	不全
разписание	日程
разписание	スケジュール
разписание	時刻表
джийн	ジャン
джийн	ジーン
джийн	遺伝子
джийн	ジーン
покрайнините	郊外
предвидени	予見
здрав	ヘルシー
здрав	健康
мое	鉱山
вилньов	ヴィルヌーヴ
сиатъл	シアトル
подземни	地下
подземни	地下鉄
преживявания	エクスペリエンス
стайлс	スタイル
стайлс	スタイルズ
джеферсън	ジェファーソン
стачка	ストライキ
стачка	ストライク
пипер	ペッパー
пипер	胡椒
пипер	コショウ
превоз	輸送
превоз	交通
превоз	輸送
превоз	交通
полите	スカート
задължение	義務
задължение	コミットメント
задължение	収容
задължение	義務
задължение	債務
сектора	セクター
ястие	ディッシュ
ястие	食事
новела	小説
брашно	粉末
брашно	小麦粉
брашно	食事
ростов	ロストフ
платформи	プラットフォーム
последователите	フォロワー
златно	ゴールデン
златно	黄金
златно	gold
златно	ゴールド
сексуална	性的
разбити	壊れた
режими	モード
повишена	高架
гваделупа	グアドループ
импулс	パルス
импулс	脈拍
импулс	インパルス
предвидено	予見
репутацията	評判
диагноза	診断
руини	廃墟
руини	遺跡
имение	マンション
проста	シンプル
проста	簡単
проста	単純
пън	スタンプ
флейта	フルート
санто	サント
девойки	ガールズ
комбинации	組み合わせ
академични	アカデミック
графични	グラフィック
конфедерацията	連盟
плаж	ビーチ
плаж	砂浜
пафос	パフォス
лиса	リサ
получен	受け取り
получен	受信
колумб	コロンブス
течности	液体
течности	流体
страст	パッション
страст	情熱
страст	受難
сериен	シリアル
херкулес	ヘラクレス
радиация	放射線
радиация	放射
хюз	ヒューズ
бозайниците	哺乳類
вирус	ウィルス
вирус	ウイルス
измама	詐欺
измама	欺瞞
измама	con
подчинен	劣後
стад	スタッド
гьотеборг	ヨーテボリ
едисън	アディソン
едисън	エジソン
мок	モク
див	ワイルド
див	野生
алтернативна	オルタナティブ
алтернативна	代替
алтернативна	交互
игрище	遊び場
данъците	税金
лабораторията	研究室
лабораторията	ラボ
дворци	宮殿
воин	戦士
колелото	ホイール
колелото	車輪
колелото	バイク
колелото	自転車
нептун	海王星
нептун	ネプチューン
кристин	クリスティン
бик	ビック
бик	ブル
мишка	ねずみ
мишка	マウス
топло	あったかい
топло	暖かい
топло	温かい
моят	鉱山
удине	ウーディネ
кока	コカ
мелодия	メロディ
мелодия	メロディー
мелодия	メロディ
мелодия	チューン
доменико	ドメニコ
дипломация	外交
наблюдател	オブザーバー
наблюдател	オブザーバ
наблюдател	ウォッチャー
репортер	リポーター
репортер	レポーター
плоски	フラット
емануел	エマニュエル
емануел	エマニュエル
гренада	グレナダ
предателство	裏切り
предателство	裏切り
предателство	反逆
мъченик	殉教
реформите	改革
кенет	ケネス
китайско	中国語
китайско	中国人
ага	アガ
специализиран	専門
демонстрации	デモンストレーション
демонстрации	実演
демонстрации	デモ
демонстрации	デモ
изтриването	削除
писмено	筆記
яде	食べる
окачване	休止
окачване	サスペンション
декорация	装飾
декорация	デコレーション
фбр	fbi
работещ	働く
работещ	作業
коментира	コメント
усеща	感じ
алея	車道
алея	裏通り
алея	路地
аугуст	アウグスト
ходове	moves
придобиване	買収
терени	地形
проникване	潜入
наводнения	洪水
наводнения	洪水
наводнения	洪水
екология	エコロジー
екология	生態学
ганди	ガンジー
едуардс	エドワーズ
специфично	特定
магдебург	マクデブルク
свалени	ダウンロード
костюми	コスチューム
костюми	衣装
костюми	装束
костюми	スーツ
сряда	水曜
сряда	水曜日
сряда	水曜
меки	やわらかい
меки	柔らかい
меки	ソフト
цензура	検閲
цензура	検閲
публикуване	公開
публикуване	出版
публикуване	パブリッシング
публикуване	ポスト
публикуване	投稿
публикуване	出版物
публикуване	出版
публикуване	公表
грег	グレッグ
планирано	予定
планирано	予定
планирано	計画
носеща	軸受
мускулите	筋肉
псв	psv
боксьор	ボクサー
пауза	休止
жермен	ジェルマン
жермен	ジェルメーヌ
въглерод	炭素
фарнезе	ファルネーゼ
произведена	製造
вилнюс	ヴィリニュス
мартиника	マルティニーク
цепелин	ツェッペリン
забранена	禁止
джорджо	ジョルジョ
използвайте	使用
тълкуване	解釈
тълкуване	通訳
гърлото	咽喉
дневно	デイリー
разширения	拡張
кордоба	コルドバ
цитира	クォート
регенсбург	レーゲンスブルク
лекарите	医師
лекарите	医者
сексуални	性的
разшири	延長
трудна	難しい
воини	戦士
воини	ウォリアーズ
юрген	ユルゲン
наемници	傭兵
стандартна	基準
стандартна	スタンダード
стандартна	標準
корал	サンゴ
белег	傷跡
кош	バスケット
кош	かご
кош	サイドカー
ария	アーリア
ария	アリア
ария	アーヤ
животното	アニマル
животното	動物
волф	ウルフ
волф	オオカミ
тура	しっぽ
андора	アンドラ
дек	dec
трофей	トロフィー
гибралтар	ジブラルタル
котли	ボイラー
делхи	デリー
минимална	最低限
минимална	最低
минимална	最小
минимална	最小限
ефективна	効率
ефективна	実効
куросава	黒澤
куросава	黒沢
свойство	プロパティ
свойство	財産
общуване	通信
общуване	コミュニケーション
общуване	コミュニケーション
съвместен	関節
болници	病院
грегъри	グレゴリー
обсег	範囲
обсег	レンジ
стефани	ステファニー
бътлър	バトラー
полуфиналите	準決勝
оуен	オーウェン
оуен	オーエン
домашно	宿題
домашно	手作り
домашно	自家製
контузии	怪我
качествени	定性的
занимания	アクティビティ
занимания	活動
спускане	降下
стълба	ラダー
стълба	ハシゴ
стълба	はしご
стълба	梯子
астън	アストン
николас	ニコラス
предоставяне	付与
предоставяне	支給
предоставяне	条項
предоставяне	条文
насилието	暴力
алианс	アライアンス
хавана	ハバナ
пренос	伝送
навигация	nav
навигация	航法
навигация	ナビゲーション
навигация	ナビゲート
хирург	外科医
делник	平日
съдиите	裁判官
интелект	知能
интелект	知能
натоварване	読み込む
натоварване	ロード
натоварване	読み込み
натоварване	ローディング
юго	ユーゴ
наблюдатели	オブザーバー
наблюдатели	オブザーバ
знамена	バナー
знамена	横断幕
знамена	フラグ
знамена	国旗
класика	古典
класика	クラシカル
класика	クラシック
класика	古典
класика	クラシック
класика	古典
класика	classic
замърсяване	汚染
замърсяване	公害
замърсяване	汚染
прикритие	表紙
прикритие	被覆
прикритие	カバー
прикритие	cover
стандартите	基準
стандартите	規格
отрицателни	ネガティブ
отрицателни	マイナス
отрицателни	ネガ
роди	ロディ
собственика	オーナー
собственика	所有者
тирана	ティラナ
новините	news
новините	ニュース
вдъхновен	インスパイア
имп	インプ
имп	imp
триполи	トリポリ
колумбийски	コロンビア
корана	クルアーン
корана	コーラン
корана	コーラン
хоризонтално	水平
стрелец	シューティング
стрелец	サジタリウス
аудитория	観客
аудитория	オーディエンス
аудитория	講堂
дарове	ギフト
дарове	贈り物
развод	離婚
гомес	ゴメス
гомес	ゴメス
прародител	先祖
ейми	エミー
препоръки	おすすめ
препоръки	推薦
препоръки	参考文献
препоръки	参照
препоръки	リファレンス
препоръки	おすすめ
пеша	歩き
пеша	ウォーク
пеша	歩行
пеша	歩く
пеша	徒歩
резервоар	戦車
резервоар	タンク
резервоар	貯水池
изведнъж	突然
получена	受け取り
получена	受信
гръбначни	脊椎動物
преследван	迫害
актуални	トレンド
загубен	ロスト
орли	イーグルス
орли	オルリー
научи	学習
научи	学ぶ
поправка	修理
поправка	修正
поправка	補正
поправка	訂正
митологията	神話
монголски	モンゴル
светли	ブライト
светли	明るい
отговорността	責任
отговорността	責務
атила	アッティラ
либерална	リベラル
джамии	モスク
рай	天国
рай	ライ
рай	rai
рай	パラダイス
рай	楽園
перспектива	見通し
перспектива	outlook
перспектива	遠近
перспектива	遠近法
перспектива	視点
розов	ピンク
розов	ナデシコ
ребека	レベッカ
глория	グロリア
разпръснати	散逸
древно	古代
започване	開始
изгаряне	焼き
изгаряне	火傷
изгаряне	やけど
изгаряне	burn
изгаряне	燃える
изгаряне	バーニング
изгаряне	焼却炉
изгаряне	燃焼
валидни	有効
фар	灯台
фар	ヘッドライト
пръстени	リング
пръстени	指輪
юбилей	ジュビリー
опасен	危険
кулите	タワーズ
жулиета	ジュリエット
карел	カレル
модерно	モダン
карате	空手
магически	マジカル
следа	トレイル
координатите	座標
доход	収入
доход	所得
иля	イリヤ
уравнението	方程式
наказанието	処罰
заповеди	命令
заповеди	オーダー
заповеди	注文
свиня	ブタ
треньорът	コーチ
треньорът	コーチング
говеда	ウシ
суворов	スヴォーロフ
косата	ヘアー
косата	髪の毛
косата	ヘア
косата	毛髪
калигула	カリグラ
забелязан	斑点
бракове	結婚
филиал	アフィリエイト
скорости	ギア
скорости	スピード
тайлър	タイラー
студен	風邪
студен	コールド
студен	冷たい
студен	寒い
тънък	薄い
тънък	細い
стърлинг	スターリング
стърлинг	スターリング
резерви	予約
резерви	リザーブ
монсерат	モントセラト
правоъгълна	長方形
транскрипция	転写
лече	leche
изоставени	放棄された
рисунка	図面
рисунка	描画
рисунка	ドローイング
дишане	呼吸
достоевски	ドストエフスキー
земен	地上波
земен	地球
земен	アース
кисело	酸っぱい
кисело	すっぱい
кисело	サワー
найджъл	ナイジェル
стандартни	基準
стандартни	スタンダード
стандартни	標準
господари	マスターズ
тежести	重み
ритуал	儀式
видими	可視
ашли	アシュリー
ашли	アシュレイ
влака	電車
влака	列車
влака	トレイン
идентифицира	識別
идентифицира	識別
цигулар	ヴァイオリン
блокирането	ブロッキング
килограма	キログラム
автономни	自律
данте	ダンテ
бременност	妊娠
топли	あったかい
топли	暖かい
топли	温かい
процесори	プロセッサ
орда	大群
орда	horde
нотингам	ノッティンガム
комисии	コミッション
изригвания	噴火
пер	単価
сцените	シーン
сцените	場面
драматично	ドラマチック
библия	聖書
леда	レダ
агата	アガサ
агата	アガタ
хуманитарни	人道的
хуманитарни	人道
шулц	シュルツ
шулц	シュルツ
вражда	確執
девойка	処女
сплит	分ける
сплит	分割
сплит	スプリット
минали	過去
стандартно	基準
стандартно	スタンダード
стандартно	標準
ежедневно	デイリー
осиновен	養子
осиновен	採択
кадър	フレーム
нико	日光
нико	ニコ
нико	ニコ
квартет	カルテット
биографията	伝記
брест	ブレスト
пътниците	乗客
виждане	ヴィジョン
виждане	ビジョン
виждане	vision
разширен	拡張
разширен	延長
дялове	株式
дялове	シェア
пас	パス
обреди	祭事
геноцид	ジェノサイド
монро	モンロー
оае	uae
демократичен	民主主義
съществителни	名詞
кодиране	暗号
кодиране	コーディング
променен	変更された
забележки	備考
забележки	注記
забележки	メモ
забележки	備考
забележки	ノート
забележки	観測
забележки	コメント
вградени	インライン
вградени	組み込み
ечемик	大麦
ниуе	ニウエ
лима	リマ
незаконно	違法
камбанарията	鐘楼
голф	ゴルフ
предговор	序文
предговор	序文
джуджета	ドワーフ
уникално	ユニーク
уникално	独特
хаос	カオス
хаос	混沌
порно	ポルノ
абхазия	アブハジア
цялост	整合性
кипърски	キプロス
хелмут	ヘルムート
норфолк	ノーフォーク
стимулира	刺激
неуспешно	失敗
обозначаване	指定
нинджа	忍者
нинджа	ニンジャ
атомите	原子
дойл	ドイル
васал	家臣
чудовище	怪物
чудовище	モンスター
чудовище	怪獣
антология	アンソロジー
издигане	アセンション
грим	グリム
грим	メイク
грим	化粧
муса	ムサ
муса	ムーサ
муса	ムーサー
уил	ウィル
уил	遺言
мозайка	モザイク
католицизма	カトリシズム
платформата	プラットフォーム
платформата	プラットホーム
артефакти	アーティファクト
препоръка	おすすめ
препоръка	推薦
кори	コーリー
кори	コーリー
унищожение	壊滅
унищожение	破壊
спиърс	スピアーズ
доходи	収益
доходи	収入
доходи	所得
слух	聴聞
слух	聴覚
слух	聴力
слух	審問
звена	単位
звена	ユニット
гордост	プライド
гордост	傲慢
гордост	誇り
тасмания	タスマニア
наказания	処罰
оценката	評価
оценката	評定
ябълка	リンゴ
ябълка	りんご
ябълка	アップル
ябълка	林檎
топене	融解
обяснения	説明
обяснения	解説
обяснения	解説
надзор	監督
надзор	監視
наредба	条例
пушки	小銃
чилийски	チリ
овца	ヒツジ
команда	指揮
команда	コマンド
меси	メッシ
художничка	画家
художничка	芸術家
художничка	アーティスト
подобрена	改良
цифрови	デジタル
лесото	レソト
изискване	要件
неуспех	故障
неуспех	失敗
неуспех	失敗
жури	陪審制
жури	陪審員
континентална	コンチネンタル
жилище	住居
кристиян	クリスチャン
кристиян	キリスト教
кристиян	キリスト教徒
насока	指針
насока	ガイドライン
равенството	平等
бенфика	ベンフィカ
екземпляр	標本
екземпляр	見本
мрака	暗闇
производителите	製造業者
