年	tahun
完成	tamat
完成	selesaikan
完成	finish
完成	done
完成	complete
完成	lengkap
白	white
白	putih
白	bai
音樂	muzik
音樂	music
音樂	muzikal
音樂	musical
沙	sha
沙	pasir
沙	shah
他們	mereka
可能	munasabah
可能	kemungkinan
分布	agihan
分布	pengagihan
分布	pengedaran
分布	diedar
分布	diagihkan
分布	diedarkan
分布	teragih
地區	daerah
地區	keluasan
地區	kawasan
地區	area
車	car
車	kereta
車	cars
車	kereta
官	pegawai
官	perwira
官	officer
梅	may
梅	mei
梅	mei
中文	china
中文	cina
自由	freedom
自由	kebebasan
自由	kebebasan
自由	liberty
自由	free
黃	wong
黃	hwang
黃	huang
黃	kuning
獲得	dapatkan
光	ringan
光	cahaya
光	light
光	hikari
重要	pentingnya
重要	penting
工程	teknik
工程	kejuruteraan
工程	works
工程	berfungsi
港	harbor
港	pelabuhan
港	pelabuhan
港	port
港	pelabuhan
港	harbour
列	kolum
段	duan
最後	last
提交	penyerahan
提交	hantar
提交	dihantar
提交	menghantar
一般	amnya
一般	umumnya
經	sutra
需要	memerlukan
需要	perlukan
需要	perlu
需要	need
需要	diperlukan
需要	needed
需要	keperluan
江	sungai
江	river
江	jiang
臺灣	taiwan
臺灣	taiwan
最佳	optimum
最佳	optimum
這個	ni
泰	tae
泰	tai
地方	place
地方	tempat
地方	tempat
系列	series
系列	siri
系列	seri
電視	televisyen
登	deng
黑	gelap
黑	black
黑	hitam
花	hana
花	bunga
花	flowers
花	bunga
花	flower
神	allah
遊戲	game
遊戲	permainan
遊戲	permain
遊戲	permainan
遊戲	games
遊戲	game
宗	zong
清	qing
最高	top
最高	tertinggi
最高	supreme
要求	keperluan
要求	tuntutan
要求	request
要求	pinta
要求	permintaan
要求	permintaan
要求	demand
要求	permintaan
要求	pemintaan
讓	jean
版本	version
版本	versi
版本	edisi
版本	versi
發現	nemu
發現	terjumpa
發現	dijumpai
發現	teroka
發現	terokai
發現	menerokai
發現	terokai
發現	teroka
發現	penerokaan
發現	penemuan
發現	discovery
語	bahasa
只有	sahaja
內容	kandungan
最大	max
華	hua
華	wah
製作	production
製作	pengeluaran
製作	produksi
製作	productions
出生	lahir
出生	dilahirkan
出生	born
出生	lahir
出生	melahirkan
出生	birth
出生	kelahiran
出生	beranak
朱	zhu
朱	joo
航空	penerbangan
航空	aero
航空	penerbangan
航空	airlines
航空	udaranya
航空	udara
航空	air
數	kiraan
數	membilang
數	nombor
出版	diterbitkan
出版	penerbitan
出版	penerbitan
發展	perkembangan
發展	pembangunan
成功	berjaya
成功	kejayaan
成功	sukses
成功	berjaya
成功	success
面積	keluasan
面積	kawasan
面積	area
堡	fort
系統	system
系統	sistem
系統	sistem
蘭	lan
劉	yoo
劉	liu
劉	lau
班	skuad
冠軍	champ
冠軍	juara
冠軍	juara
冠軍	champion
問題	masalah
問題	problem
問題	masaalah
問題	persoalan
問題	soalan
問題	soalan
問題	pertanyaan
康	kang
福	fuk
海拔	altitud
海拔	ketinggian
海拔	ketinggian
島	pulau
島	island
島	isle
方式	kaedah
率	kadar
率	rate
請	sila
名稱	nama
名稱	nama
名稱	names
官方	officially
愛	love
愛	cinta
得到	dapatkan
平	flat
平	ping
印度	india
街道	jln
街道	street
存在	kewujudan
存在	kehadiran
刪除	dipadam
刪除	terpadam
刪除	memadam
刪除	pemadaman
刪除	delete
設計	design
設計	rekabentuk
設計	rekaan
設計	design
設計	merancang
卡特	carter
群	berkumpulan
群	group
群	kumpulan
命名	menamakan
命名	penamaan
負責	bertanggungjawab
服務	perkhidmatan
服務	servis
服務	hidang
服務	perkhidmatan
服務	khidmat
服務	servis
服務	service
機	machine
機	mesin
機	mesingan
任何	sebarang
列表	senarai
唐	tang
唐	don
西班牙	sepanyol
頁	pages
頁	mukasurat
頁	halaman
兩	dua
當	bila
當	apabila
超	ultra
超	super
丁	ding
夏	xia
以上	diatas
著名	famous
聖	saint
志	zhi
志	chi
已經	sudah
已經	sudahpun
梁	balok
梁	leung
梁	liang
專輯	album
專輯	album
角色	aksara
角色	watak
角色	peranan
角色	aksara
角色	watak
角色	peranan
武	takeshi
赫	hyuk
半	separa
半	separuh
半	haif
半	half
成員	member
成員	ahli
成員	ahli
成員	members
東京	tokyo
新聞	news
現在	sekarang
現在	skrg
現在	now
現在	kini
劇	drama
後來	later
後來	kemudiannya
後來	nanti
女性	betina
女性	perempuan
女性	betina
女性	wanita
女性	perempuan
高度	altitud
高度	ketinggian
高度	ketinggian
高度	tinggi
高度	height
說	ckp
說	cakap
男	jantan
男	male
之前	sebelum
合作	kolaborasi
合作	kerjasama
門	gate
門	pintu
門	door
門	pintu
卷	roll
卷	gulung
卷	rolls
卷	gulung
位置	posisi
位置	kedudukan
位置	jawatan
位置	lokasi
位置	location
活動	aktiviti
活動	peristiwa
活動	acara
活動	peristiwa
活動	event
活動	acara
活動	aktiviti
只	sahaja
歷史	sejarah
歌曲	lagu
歌曲	songs
歌曲	lagu
歌曲	song
點	dot
點	takat
點	point
一次	sekali
植物	tanaman
植物	tumbuhan
植物	tanaman
植物	tumbuhan
封	feng
封	mohor
封	meterai
封	seal
皮	leather
皮	kulit
非常	sangat
而且	dan
通常	kebiasaannya
通常	biasanya
通常	kebiasaannya
形成	membentuk
形成	bentukkan
形成	pembentukan
形成	formasi
比賽	game
比賽	permainan
比賽	permain
比賽	perlumbaan
比賽	race
比賽	ras
比賽	contest
聯賽	liga
九	sembilan
學校	sekolah
學校	mazhab
學校	sekolah
完全	sepenuhnya
完全	totally
信	huruf
信	huruf
信	letter
期間	tempoh
接受	penerimaan
接受	diterima
接受	accepted
接受	accept
接受	terima
接受	terimalah
書	kitab
書	tempah
書	book
書	books
書	buku
交通	pengangkutan
交通	trafik
交通	pengangkutan
交通	transport
木	wooden
木	kayu
木	wood
討論	perbincangan
討論	bincangkan
故事	cerita
故事	story
故事	cerita
直接	direct
直接	langsung
直接	directly
參與	penglibatan
參與	penglibatan
參與	penyertaan
朗	lang
朗	lon
湖	tasik
湖	lake
根	root
根	akar
根	akar
保留	tempahan
保留	reserved
保留	reservation
保留	tempahan
希望	harapan
希望	harap
希望	hope
手	tangan
手	tangan
心	jantung
心	hati
心	heart
心	hati
心	hearts
巴士	bas
巴士	bas
播放	siaran
播放	penyiaran
播放	play
播放	main
播放	dimain
播放	bermain
播放	main
播放	playing
音	konsonan
音	nada
音	tone
增加	meningkat
增加	tingkatkan
增加	meningkat
增加	meningkat
角	corner
角	selekoh
角	sudut
角	bucu
角	sudut
角	cape
角	jubah
角	takat
角	point
天文台	observatories
天文台	observatory
耶	yay
丹	dan
太	too
太	jugak
徐	seo
徐	tsui
永	sayap
永	wing
永	yong
歌	lagu
歌	songs
歌	lagu
歌	song
美元	dollar
美元	dolar
美元	dolar
霍	huo
圖	diagram
圖	rajah
圖	graf
圖	carta
圖	figure
投票	undilah
投票	undian
投票	undi
投票	mengundi
投票	undi
投票	mengundi
投票	pengundian
投票	pungutan
投票	undian
灣	inlet
灣	cove
灣	teluk
灣	bay
民主	demokrasi
寺	temple
寺	kuil
雖然	sungguhpun
雖然	walaupun
雖然	walau
雖然	though
雖然	meskipun
雖然	walaupun
雖然	walau
參加	attend
參加	menghadiri
特別	istimewa
特別	special
控制	kawalan
控制	kawalan
蒙	mont
戰	pertempuran
戰	peperangan
戰	war
戰	perang
戰	peperangan
電視台	televisyen
以下	dibawah
然而	namun
然而	bagaimanapun
然而	namun
七	seven
七	tujuh
口	mulut
仁	jin
仁	jen
委員會	komisen
委員會	suruhanjaya
委員會	commission
編輯	edit
編輯	menyunting
編輯	editing
編輯	suntingan
編輯	penyuntingan
編輯	penyunting
編輯	editor
資料	data
隆	takashi
隆	ryu
青	ching
青	qing
青	tsing
播出	siaran
播出	penyiaran
路線	hala
倫	lun
年度	tahun
宋	lagu
宋	song
附近	berhampiran
附近	near
附近	dekat
附近	berhampiran
附近	berdekatan
歌手	penyanyi
歌手	penyanyi
歌手	singer
店	kedai
店	stor
店	store
店	kedai
二十	twenty
組織	organisasi
組織	pertubuhan
組織	organisasi
組織	pertubuhan
組織	tisu
組織	divisyen
組織	pembahagian
組織	bahagian
分類	mengklasifikasikan
分類	pengelasan
分類	klasifikasi
教授	profesor
教授	professor
盃	piala
盃	cup
盃	cawan
源	sumber
八	lapan
法國	france
法國	perancis
除了	kecuali
文字	teks
民族	etnik
民族	kewarganegaraan
主席	presiden
主席	chairperson
主席	ketua
主席	pengerusi
不過	tapi
不過	tetapi
文物	artifak
文物	pusaka
文物	peninggalan
老	tua
老	old
女子	wanita
女子	perempuan
選	pick
世紀	abad
世紀	century
鐵	besi
鐵	iron
德國	jerman
票	tiket
票	ticket
票	tiket
動畫	anime
打	lawan
打	berlawan
打	bergaduh
打	fight
關係	perhubungan
關係	hubungan
關係	kaitan
關係	hubungan
關係	perhubungan
關係	hubungan
關係	relationship
能力	kapasiti
能力	kebolehan
能力	keupayaan
能力	kemampuan
能力	keupayaan
能力	kemampuan
能力	keupayaan
能力	kemampuan
佛	buddha
少	kurang
少	kurangkan
少	less
網站	website
網站	tapak
模板	templat
頭	kepala
個人	personal
個人	peribadi
個人	individu
個人	followers
擁有	pemilikan
擁有	empunya
擁有	owned
擁有	dimiliki
學生	pelajar
學生	murid
學生	pelajar
學生	student
鎮	bandar
南部	selatan
南部	selatan
語言	bahasa
語言	bahasa
模式	mod
模式	pattern
模式	corak
模式	pola
模式	corak
模式	pola
模式	mod
相關	relevan
相關	berkaitan
相關	berkaitan
相關	terkait
相關	related
相關	berkait
決定	decision
決定	keputusannya
決定	keputusan
決定	keputusan
楊	jan
楊	yang
楊	yeo
方向	orientasi
郭	guo
方法	metodologi
方法	kaedah
方法	kaedah
影響	impak
影響	hentaman
影響	impacts
影響	pengaruh
影響	kesan
影響	pengaruh
許多	banyak
第四	keempat
秀	soo
死	dead
死	mati
自治	alash
自治	autonomi
蘇	sue
甚至	genap
開	open
見	lihat
田	tian
只是	hany
只是	cuma
只是	hanya
結束	hujung
結束	penghujung
巴西	brazil
共同	lumrah
共同	common
出版社	penerbit
出版社	penerbit
提名	pencalonan
提名	dicalonkan
保護	melindungi
保護	protect
保護	melindungi
保護	lindungi
保護	perlindungan
保護	terlindung
保護	dilindungi
加上	add
加上	plus
食	makan
獨立	indie
獨立	independent
獨立	mandiri
獨立	bebas
獨立	kemerdekaan
包含	mengandungi
距離	jarak
社會	masyarakat
社會	masyarakat
社會	social
社會	sosial
加拿大	kanada
加拿大	canada
兩個	dua
公尺	meter
公尺	meter
公尺	meter
還	juga
哥	saudara
哥	brother
哥	abg
歐洲	eropah
歐洲	eropah
像	like
像	ibarat
鐵路	rail
鐵路	rel
鐵路	railways
居民	penduduk
功能	function
功能	fungsi
功能	fungsian
功能	fungsinya
功能	kefungsian
聯盟	union
聯盟	kesatuan
聯盟	penyatuan
聯盟	liga
聯盟	perikatan
聯盟	persekutuan
聯盟	pakatan
聯盟	persekutuan
聯盟	perikatan
洪	hung
洪	hong
利用	guna
最終	akhirnya
平均	purata
平均	avg
平均	purata
侵	serangan
侵	pencerobohan
雙	double
雙	ganda
再次	lagi
再次	semula
網	web
網	sesawang
網	rangkaian
網	network
網	net
網	kelambu
施	shi
量	kuantiti
量	ikhtiar
演員	cast
演員	pelakon
演員	pelakon
演員	pelakon
亞洲	asian
亞洲	asia
亞洲	asia
全球	global
全球	glob
全球	globe
全球	sejagat
全球	global
全部	semua
北部	utara
北部	north
北部	utara
北部	northern
運動	sukan
運動	gerakan
運動	pergerakan
運動	gerak
運動	sport
運動	sukan
運動	gerakan
運動	pergerakan
中共	cpc
中共	ksk
中共	ccp
毛	jijik
毛	kasar
毛	mao
草	rumput
直到	hinggalah
直到	hinga
直到	sehinggalah
直到	sampai
名字	nama
地球	bumi
中華	zhonghua
死亡	kematian
死亡	death
死亡	maut
死亡	ajal
戰爭	war
戰爭	perang
戰爭	peperangan
戰爭	peperangan
戰爭	wars
戰爭	perang
作曲	gubah
作曲	menggubah
溪	creek
邦	pong
紅	merah
紅	red
唱片	rakam
唱片	rekod
安全	aman
安全	amani
安全	secure
玉	jade
玉	jed
學院	akademi
學院	academy
學院	kolej
學院	kolej
勝	sheng
豪	howe
鄉	township
鄉	perbandaran
原因	alasan
原因	sebab
原因	reason
原因	punca
原因	sebab
通過	via
通過	melalui
通過	menerusi
通過	menerusi
通過	melalui
通過	lulus
管	paip
管	tiub
管	tabung
管	tube
強	strong
強	kukuh
強	kuat
選舉	election
選舉	pilihanraya
選舉	pilihanraya
辛	yaasin
辛	dosa
辛	xin
漢	han
法律	perundangan
法律	law
革命	revolusi
革命	revolutions
計劃	plan
時代	times
男性	jantan
男性	jantan
男性	male
男性	men
目的	bertujuan
形式	borang
形式	format
鄭	zheng
鄭	jeong
鄭	jung
基本	asas
基本	basic
蔡	tsai
蔡	cai
蔡	choy
蔡	chae
葉	dedaun
葉	daun
葉	yip
單位	unit
單位	unit
惠	megumi
修	fix
修	membetulkan
修	baiki
科技	teknologi
科技	tek
科技	tech
青年	pemuda
青年	belia
流	streaming
流	penstriman
流	flow
流	aliran
流	strim
流	strim
蒙古	mongolia
蒙古	mongolia
結果	hasil
結果	keputusan
結果	result
教	pengajaran
教	ajar
解放	emancipation
解放	pembebasan
解放	dibebaskan
祖	joe
體	body
體	bodi
體	badan
球隊	pasukan
球隊	teams
球隊	pasukan
球隊	team
昌	cheong
左	kiri
戴	dai
戴	pakai
自然	semulajadi
自然	natural
自然	semulajadi
自然	alam
自然	tabii
自然	semulajadi
台北	taipei
澳門	macao
澳門	macau
新的	new
新的	baharu
新的	baru
經濟	ekonomi
經濟	ekonomi
經濟	ekonomi
傑	jie
傑	jay
切	dipotong
切	cut
切	memotong
切	potong
一起	bersama
越南	vietnam
越南	vietnam
權	kwon
快速	cepat
快速	laju
學	pembelajaran
學	learning
學	pelajari
學	belajarlah
學	belajar
職業	occupations
職業	kerjaya
職業	kerjaya
職業	profesion
職業	kerjaya
職業	pendudukan
團	rejimen
百	seratus
百	ratus
廣	lebar
廣	luas
廣	luas
相同	serupa
相同	sama
相同	same
類	kelas
類	class
兵	soldier
兵	perajurit
兵	askar
億	billion
億	bilion
分鐘	minit
分鐘	minit
松	merana
松	pine
發	hair
發	rambut
超過	melebihi
政策	dasar
政策	dasar
銀	perak
日期	date
日期	tarikh
日期	kurma
單曲	single
鰭	fins
鰭	fin
男子	men
共和國	republik
理由	alasan
理由	sebab
理由	reason
南京	nanking
交流	pertukaran
交流	exchange
總統	presiden
公分	sentimeter
標準	kriteria
標準	piawaian
標準	standard
標準	kriteria
標準	piawai
標準	standard
排名	kedudukan
排名	darjat
排名	pangkat
排名	rank
排名	ranked
表	table
表	jadual
表	meja
韓國	korea
韓國	korea
行動	action
行動	tindakan
行動	aksi
行動	laga
行動	operasi
行動	tindakan
桑	mulberry
博士	doctor
博士	doktor
立法	perundangan
尾	buntut
尾	ekor
尾	ekor
熱帶	tropika
熱帶	tropika
議員	senator
議員	councillor
議員	kongres
漫畫	komik
漫畫	kartun
漫畫	komik
漫畫	comic
漫畫	manga
漫畫	kartun
漫畫	cartoon
短	pendek
坑	pit
大型	large
大型	besar
凱	kai
凱	kay
生物	biologi
生物	biologi
生物	makhluk
生物	mahluk
生物	makhluk
生物	mahluk
生物	makluk
城鎮	bandar
春	spring
海軍	navy
公路	lebuhraya
公路	jalan
公路	road
公路	lebuhraya
公路	highway
冠	mahkota
冠	crown
作家	penulis
作家	penulis
空	kosong
雪	salji
牛	ternakan
牛	lembu
牛	ternak
牛	lembu
牛	sapi
牛	bull
火	api
攻擊	serangan
攻擊	attack
攻擊	serangan
攻擊	serang
攻擊	serangan
值	nilai
值	nilai
十二	twelve
新加坡	singapura
新加坡	singapore
琳	lynn
西部	west
西部	barat
西部	barat
西部	western
土	kotoran
土	tanah
土	tanahnya
早期	early
早期	dini
早期	awal
速度	velocity
速度	halaju
速度	speed
速度	kelajuan
合併	penyatuan
合併	gabung
合併	cantuman
合併	cantum
合併	menggabung
合併	penggabungan
合併	mergers
建築	bangunan
建築	membina
建築	bangunan
建築	construction
建築	pembinaan
建築	binaan
建築	arkitek
建築	rekabentuk
建築	senibina
道路	jalan
道路	road
發表	penerbitan
發表	terbit
發表	publish
發表	terbitkan
發表	diterbitkan
低	turunkan
低	lower
低	rendah
低	low
庫	coop
色	warna
色	colour
樂	lok
轉	turn
仍然	still
仍然	masih
仍然	pegun
來自	dari
來自	daripada
每年	tahunan
天津	tianjin
技術	teknikal
技術	teknologi
技術	teknik
技術	teknologi
技術	teknik
主任	pengarah
畢業	lulus
畢業	berkelulusan
畢業	graduasi
畢業	konvokesyen
畢業	kelulusan
畢業	graduan
畢業	lulus
畢業	graduate
設	set
機場	airport
機場	bandara
威廉	william
館	astaka
館	pavilion
天主教	katolik
天主教	katolik
富	kaya
千	ribu
芬	fen
芬	fin
大部分	most
大部分	paling
大部分	kebanyakan
大部分	terbanyak
程	cheng
房	bilik
房	room
柏	por
最早	terawal
她的	nya
她的	her
太平洋	pacific
太平洋	pasifik
費	yuran
情況	situasi
最初	awalnya
來源	sumber
來源	sumber
首都	modal
首都	capital
牌	kad
杯	piala
杯	cup
杯	cawan
廣告	iklan
廣告	ads
廣告	mengiklan
廣告	advertising
廣告	pengiklanan
廣告	iklan
廣告	pengiklanan
深	kedalaman
深	deep
描述	terangkan
描述	description
描述	deskriptif
描述	descriptions
皇帝	maharaja
皇帝	kaiser
侯	hou
域	domain
域	domain
團體	berkumpulan
團體	kumpulan
團體	groups
流行	popular
流行	pop
潘	pam
潘	pan
計畫	plan
列車	keretapi
列車	kereta
列車	latih
列車	keretapi
環	ring
環	cincin
環	berbunyi
環	loop
環	gelung
父	ayah
父	bapa
父	father
父	ayahanda
取代	digantikan
取代	diganti
取代	geganti
兄弟	saudara
兄弟	brother
兄弟	abg
物理	fizik
物理	jasmani
物理	fizikal
底	bawah
底	bawahnya
右	kanan
右	kan
武器	senjata
武器	weapon
武器	senjata
顯示	showing
顯示	menunjukkan
顯示	display
顯示	tunjuk
顯示	papar
制度	rejim
制度	regime
報告	report
報告	lapor
報告	laporkan
報告	laporan
報告	pelaporan
報告	laporan
報告	melaporkan
報告	laporan
秒	seconds
秒	detik
秒	saat
秒	second
秒	kedua
秒	sec
第五	kelima
雲	awan
雲	awan
雲	cloud
雲	yun
小說	novel
小說	novel
小說	fiksyen
風	angin
程度	ijazah
程度	darjah
導演	pengarah
父親	ayah
父親	bapa
父親	father
父親	ayahanda
和平	ketenangan
和平	peace
西北	northwestern
產生	menjana
圈	bulatan
圈	bulatan
修改	ubahsuai
修改	diubahsuai
修改	pengubahsuaian
直	straight
生產	production
生產	pengeluaran
生產	produksi
申請	aplikasi
申請	aturcara
申請	aplikasi
單	single
單	bujang
單	singel
谷	valley
谷	lembah
谷	patani
魏	wei
巴黎	paris
家庭	families
家庭	keluaga
家庭	keluarga
家庭	family
家庭	keluarga
流域	besen
流域	watersheds
宗教	agama
宗教	agama
宗教	keagamaan
宗教	agama
表演	tampil
英格蘭	england
英格蘭	inggeris
拜	bye
聯合	joint
聯合	sendi
當地	tempatan
當地	tempatan
不久	segera
不久	soon
作用	peranan
作用	peranan
改革	pembaharuan
改革	reformasi
改革	reforming
藝術	seni
藝術	kesenian
藝術	seni
藝術	kesenian
藝術	artistik
球員	player
球員	pemain
球員	pemain
教區	mukim
教區	jemaah
教區	paroki
教區	keuskupan
處理	pengendalian
處理	mengendali
處理	handle
處理	pemprosesan
香	dupa
先生	sir
先生	tuan
先生	encik
寧	ning
建議	nasihat
建議	saranan
建議	saranan
建議	cadangan
建議	saranan
建議	cadangan
建議	saranan
建議	proposal
建議	meminang
旅	brigades
旅	briged
全國	nationally
全國	nationwide
人員	kakitangan
虎	tiger
虎	harimau
超級	super
土地	lands
土地	tanah
土地	land
土地	tanah
土地	darat
土地	kontang
彭	peng
四川	sichuan
曹	cao
展	pameran
公園	park
公園	taman
公園	taman
包	bag
包	beg
包	pakej
包	bao
包	pek
包	pack
中部	midland
西南	baratdaya
西南	southwest
韋	wei
翼	tsubasa
翼	sayap
翼	wing
翼	sayap
翼	wings
孔	kong
孔	lubang
孔	hole
麥	mak
盧	lou
十一	eleven
十一	sebelas
研究所	institute
研究所	institut
協會	persatuan
協會	association
協會	perkaitan
主演	dibintangi
文學	sastera
文學	kesusasteraan
文學	sastera
頻道	saluran
頻道	channel
少年	teen
少年	remaja
少年	juvana
少年	junior
舊	tua
舊	old
大家	semuanya
股份	kongsian
股份	perkongsian
泉	izumi
紀錄	rakam
紀錄	rekod
紀錄	rekod
影片	filem
影片	movie
影片	cereka
影片	filem
影片	video
影片	filem
身份	identiti
身份	identiti
義	kebajikan
基地	base
基地	pengkalan
必須	mesti
文件	fail
文件	fail
電視劇	drama
更多	lebih
更多	lagi
更多	more
藍	blue
藍	biru
居住	residence
居住	kediamannya
居住	kediaman
居住	residensi
力量	kekuatan
板	pelat
板	plat
板	plate
板	lempeng
板	plat
板	piring
板	papan
秦	qin
浙江	zhejiang
禁	terlarang
禁	dilarang
船	kapal
船	ship
船	sampan
船	bot
船	perahu
船	boat
文章	artikel
意見	pendapat
意見	komen
意見	pendapat
意見	pendapatnya
公主	puteri
公主	princess
同意	bersetuju
同意	setuju
同意	agreed
同意	bersetuju
同意	setuju
果	berbuah
果	buah
最多	most
最多	paling
最多	kebanyakan
最多	terbanyak
最多	max
地下	underground
銀行	banks
銀行	bank
銀行	bank
非洲	afrika
非洲	afrika
非洲	african
媒體	media
支援	sokongan
支援	support
支援	sokong
支援	backup
陵	makam
第十	kesepuluh
拍攝	shoot
拍攝	tunas
拍攝	tembak
拍攝	merakam
拍攝	penembakan
拍攝	penggambaran
拍攝	shooting
還有	dan
西藏	tibet
俄羅斯	rusia
俄羅斯	russia
節	festival
節	perayaan
