andrés	αντρές
audrų	καταιγίδες
audrų	θύελλες
laiptų	σκάλα
laiptų	σκαλιά
laiptų	σκαλοπάτια
laiptų	σκάλες
dekoruoti	στολίζουν
vežimo	βαγόνι
vežimo	άμαξα
jaroslavlio	γιαροσλάβλ
sionistų	σιωνιστές
fermentai	ένζυμα
levinas	λέβιν
susidūrimas	σύγκρουση
navbox	navbox
mažylis	μωρό
jeep	τζιπ
kalė	σκύλα
vėžiagyvių	οστρακοειδή
skundas	έκκληση
skundas	έφεση
skundas	αναίρεση
kritiškai	κριτικά
kieno	ποιανού
kieno	τίνος
kieno	ποιου
astronomai	αστρονόμοι
pagrobti	απαγωγή
pagrobti	απαγάγει
fulham	φούλαμ
butas	διαμέρισμα
tarpininkas	ενδιάμεσος
tarpininkas	διαμεσολαβητής
iliustratorius	εικονογράφος
sauga	ασφάλεια
kepler	κέπλερ
ožys	κατσίκα
ožys	τράγος
pokalbis	συζήτηση
pokalbis	συνομιλία
stabilizatorius	σταθεροποιητή
kaktos	φρύδι
kompetencija	αρμοδιότητες
aufl	aufl
tiekėjas	προμηθευτής
tiekėjas	προμηθευτή
atidėti	αναβάλει
štirijos	steiermark
pėstininkas	πιόνι
kvarco	χαλαζία
šopeno	σοπέν
endriu	άντριου
endriu	αντριου
poznanėje	poznań
bendrieji	στρατηγός
bendrieji	γενική
bendrieji	γενικές
bendrieji	γενικά
bendrieji	γενικό
samdiniai	μισθοφόροι
samdiniai	μισθοφόρους
tao	τάο
gėjų	γκέι
gėjų	ομοφυλόφιλος
gėjų	gay
kurdistano	κουρδιστάν
rašant	συγγραφή
rašant	γραφή
rašant	γράψιμο
chromo	χρώμιο
chromo	χρωμίου
kostiumas	κοστούμι
kostiumas	κουστούμι
pirkėjų	αγοραστές
firefox	firefox
hablo	χαμπλ
lježo	λιέγη
kirpėjas	κομμωτήριο
kirpėjas	κομμώτρια
naviko	όγκος
atviri	εντάλματα
cirkas	τσίρκο
gorkis	γκόρκι
sąskaitos	χρεώσεις
sąskaitos	χρέωσης
bsd	bsd
nusikaltėlis	δράστης
nusikaltėlis	δράστης
nusikaltėlis	δράστη
kriaušės	αχλάδι
kriaušės	αχλάδια
jautrus	ευαίσθητο
jautrus	ευαίσθητη
jautrus	ευαίσθητος
jautrus	ευαίσθητα
jautrus	ευαισθησία
dominuoti	κυριαρχούν
papėdėse	πρόποδες
skola	χρέος
skola	οφειλή
pusmėnulio	κρέσεντ
chuck	τσακ
chuck	chuck
senelė	γιαγιά
laisves	ελευθερίες
laisves	ελευθεριών
opel	opel
derry	ντέρι
sprogmenų	εκρηκτικό
sprogmenų	εκρηκτική
sprogmenų	εκρηκτικά
sprogmenų	εκρηκτικές
švęsti	γιορτάσουμε
švęsti	γιόρτασε
švęsti	γιορτάζουν
lašišos	σολομός
lašišos	σολομού
fussballdaten	fussballdaten
rankraščiai	χειρόγραφα
alyvos	βαρέλι
alyvos	λάδια
alyvos	έλαια
lingė	harrier
bilis	μπίλι
bilis	μπίλυ
vyšnios	κεράσι
vyšnios	τσέρι
vyšnios	κεράσια
verona	βερόνα
eng	ενγκ
stipriau	σκληρότερα
nematomas	αόρατο
nematomas	αόρατη
nematomas	αόρατοι
nematomas	αόρατα
nematomas	αόρατος
ssc	ssc
kėdės	καρέκλες
kėdės	πολυθρόνα
kėdės	καρέκλα
įspūdingas	εντυπωσιακός
įspūdingas	εντυπωσιακή
įspūdingas	εντυπωσιακό
greita	γρήγορα
greita	γρήγορος
greita	γρήγορη
greita	γρήγορα
greita	γρήγορος
greita	γρήγορο
greita	γρήγορη
paaiškinimas	επεξήγηση
paaiškinimas	εξήγηση
fortuna	φορτούνα
jungtys	διεπαφές
nedarbas	ανεργία
nedarbas	ανεργίας
akira	ακίρα
disertacija	διατριβή
idol	είδωλο
katalogo	κατάλογο
altas	σαξόφωνο
altas	σαξ
verslininkai	επιχειρηματίες
sukilimus	εξεγέρσεις
gao	γκάο
opus	opus
agresijos	επιθετικότητα
bonifacas	βονιφάτιος
prostatos	προστάτη
prostatos	προστάτης
bonus	bonus
bonus	μπόνους
electro	ηλεκτρο
balansas	υπόλοιπο
balansas	ισορροπία
balansas	ισοζύγιο
barškuolė	κροταλία
samsung	samsung
rebelde	rebelde
plytos	τούβλα
faktais	εγγυημένο
faktais	εγγυημένη
faktais	εγγυημένα
idris	ίντρις
miega	κοιμάται
miega	κοιμάται
miega	κοιμάται
miega	ύπνος
miega	κοιμάσαι
miega	κοιμάμαι
tiuringijos	θουριγγία
naikinimas	κρας
siekius	φιλοδοξίες
eminem	eminem
bradley	μπράντλεϊ
profesionaliai	επαγγελματικά
tikrovė	πραγματικότητα
griežti	αυστηρός
griežti	αυστηρή
griežti	αυστηρά
griežti	αυστηρό
griežti	αυστηροί
griežti	hardcore
horizontali	οριζόντιο
horizontali	οριζόντιες
horizontali	οριζόντια
griovių	χαντάκια
drausmės	πειθαρχική
jerome	τζερόμ
originalas	πειρατές
mori	mori
mori	μόρι
cao	τσάο
cao	cao
koordinavimo	συντονισμός
koordinavimo	συντονισμού
porai	πράσο
porai	λικ
porai	πράσα
stiprina	ενισχυτή
stiprina	ενισχύει
stiprina	δυναμώνει
šiukšlių	σκουπίδια
šiukšlių	σκουπίδια
tonumber	tonumber
prisiminti	θυμάσαι
prisiminti	θυμήσου
prisiminti	θυμηθείτε
konsultacijų	διαβουλεύσεις
konsultacijų	διαβούλευση
konsultacijų	διαβουλεύσεις
jure	jure
dingsta	εξαφανίζεται
dingsta	εξαφανίζονται
dingsta	εξαφανιστεί
kilme	προέλευση
kilme	καταγωγή
pipirai	πιπέρι
pipirai	πιπεριά
pipirai	πέπερ
sekmadienis	κυριακή
alisa	alice
alisa	αλίκη
zagora	ζαγκόρα
olimpia	olimpia
šiltos	ζεστή
šiltos	ζεστό
šiltos	ζεστός
šiltos	ζεστά
buto	διαμέρισμα
būtinybė	αναγκαιότητα
laimėjimai	επιτεύγματα
bušas	bush
bušas	μπους
bušas	θάμνος
bušas	θάμνο
vankuverio	βανκούβερ
realybė	πραγματικότητα
tobias	τομπάιας
auguste	ογκίστ
rojas	ρόχας
rowling	rowling
libertadores	λιμπερταδόρες
lankai	τόξα
gražu	πανέμορφη
gražu	όμορφη
gražu	ωραία
gražu	ωραίο
plaučius	πνεύμονες
plaučius	πνευμόνια
mustafa	μουσταφά
demonstracijos	επιδείξεις
demonstracijos	διαδηλώσεις
livonija	λιβονίας
matavimai	μετρήσεις
matavimai	μετρήσεις
matavimai	μέτρηση
dumbliai	φύκια
janos	γιάνος
uraganas	τυφώνας
uraganas	τυφώνα
gridcolor	gridcolor
ska	σκα
delavero	ντέλαγουερ
dalmatijos	δαλματίας
drabužis	ένδυμα
stipendijos	υποτροφίες
stipendijos	επιχορηγήσεις
stipendijos	επιδοτήσεις
stipendijos	υποτροφίες
spektras	φάσμα
wikidata	wikidata
nino	νίνο
gobio	γκόμπι
nuosprendis	ετυμηγορία
okb	okb
hemoglobino	αιμοσφαιρίνη
hemoglobino	αιμοσφαιρίνης
robertson	ρόμπερτσον
judas	ιούδας
judas	ιούδα
žiurkė	ποντικός
žiurkė	αρουραίος
tešla	ζύμη
arterijų	αρτηριακή
arterijų	αρτηρίες
tuščia	κενό
tuščia	κενή
baladė	μπαλάντα
transformacijos	μεταμόρφωση
pardavėjas	έμπορος
pardavėjas	πωλητής
pardavėjas	πωλητή
pabėgėliai	πρόσφυγας
pabėgėliai	πρόσφυγα
pabėgėliai	πρόσφυγες
keistas	παράξενο
keistas	περίεργα
keistas	περίεργο
keistas	παράξενος
keistas	παράξενο
keistas	περίεργο
lingua	lingua
mafija	μαφία
mafija	όχλος
mafija	όχλο
mafija	μαφία
mafija	μαφιόζος
ertmėje	κοιλότητα
specializuotų	εξειδικευμένες
rifai	υφάλους
gazos	γάζα
endeminių	ενδημική
patiekalus	πιάτα
vėliavas	πανό
klesti	ακμάζουσα
dora	ντόρα
skystas	υγρά
skystas	υγρή
skystas	υγρός
skystas	υγρό
achilo	αχιλλέα
alyvuogių	ελιές
ciklų	κύκλους
ciklų	κύκλοι
wrocław	wrocław
smithsonian	σμιθσόνιαν
leben	leben
ekologinė	οικολογική
ekologinė	οικολογικό
ekologinė	οικολογικά
ekologinė	οικολογικές
pranešimo	ειδοποίηση
pranešimo	κοινοποίηση
pranešimo	γνωστοποίηση
tyliai	αθόρυβα
tyliai	ήσυχα
tyliai	ήσυχα
tyliai	ησυχία
vandalai	βάνδαλοι
porter	πόρτερ
discogs	discogs
buteo	buteo
šviesi	φωτεινά
šviesi	φωτεινή
šviesi	φωτεινό
šviesi	φωτεινός
tiekėjų	προμηθευτές
strėliukė	coenagrion
delle	delle
patogiau	άνετο
patogiau	άνετα
padažas	σάλτσα
potencialiai	δυνητικά
potencialiai	ενδεχομένως
ign	ign
receptorius	υποδοχέα
receptorius	υποδοχείς
receptorius	υποδοχείς
tonos	τόνους
tonos	τόνοι
neigia	αρνείται
esbo	οασε
amour	amour
staigus	κοφτερό
staigus	αιχμηρό
staigus	σαρπ
šlovė	χαίρε
šlovė	χαλάζι
montažas	μοντάζ
dravidų	δραβιδικές
berberai	βέρβεροι
cole	cole
cole	κόουλ
proporcingas	αναλογική
proporcingas	αναλογικά
proporcingas	αναλογικό
patobulinta	αναβάθμισε
lgbt	λοατ
vadove	οδηγό
vadove	οδηγός
madam	μαντάμ
ritualas	τελετουργικό
ritualas	τελετουργία
ritualas	ιεροτελεστία
estai	εσθονοί
fabio	φάμπιο
palestiniečių	παλαιστινίων
palestiniečių	παλαιστίνιοι
balsis	φωνήεν
įsivaizduoti	φανταστεί
revoliucinė	επαναστάτης
revoliucinė	επαναστατική
revoliucinė	επαναστατικό
grunge	grunge
poseidonas	ποσειδώνας
poseidonas	ποσειδώνα
clarkson	κλάρκσον
sklypų	συνωμοσίες
sklypų	οικόπεδα
sklypų	δέματα
sklypų	αγροτεμαχίων
rosenborg	ρόζενμποργκ
krizių	κρίσεις
triumfavo	επικράτησε
cellpadding	cellpadding
moliuskai	μαλάκια
kolegos	συναδέλφους
kolegos	συνάδελφοι
pokalbio	συζήτηση
pokalbio	συνομιλία
asirija	ασσυρία
vakar	χθες
vakar	εχθές
vakar	χτες
vakar	χθές
violetinė	μοβ
violetinė	πορφυρό
violetinė	μωβ
oliveira	oliveira
aparatūra	συσκευές
aparatūra	συσκευή
akvariumas	ενυδρείο
oksidacijos	οξείδωση
atari	atari
pokerio	πόκερ
pokerio	poker
remiama	χορηγός
remiama	χορηγία
remiama	χορηγούμενη
chamberlain	τσάμπερλεν
skliaustuose	παρένθεση
blokavimo	μπλοκάρει
esminė	κρίσιμη
esminė	κρίσιμα
esminė	κρίσιμο
esminė	κρίσιμες
jaguar	τζάγκουαρ
dirvožemį	χώμα
dirvožemį	έδαφος
slyvų	δαμάσκηνο
vadi	ουάντι
biologiškai	βιολογικά
aštrus	πικάντικο
aštrus	πικάντικη
augmenijos	βλάστηση
turbina	τουρμπίνα
paviršiai	επιφάνειες
triukšmas	θόρυβος
triukšmas	θόρυβο
triukšmas	θόρυβοι
elta	ελτα
makaronai	μακαρόνια
optika	οπτική
kalifas	χαλίφη
netinkamas	λανθασμένη
netinkamas	λάθος
netinkamas	εσφαλμένη
netinkamas	άκυρο
netinkamas	άκυρη
amino	αμινο
demonai	δαίμονες
džiaugsmas	χαρα
džiaugsmas	χαρά
višnaus	βισνού
plaukikas	κολυμβητής
švelnios	ευγενική
švelnios	ευγενικός
maratonas	μαραθώνιο
maratonas	μαραθώνιος
pirmtakai	προκατόχων
specializacijos	ειδίκευση
specializacijos	εξειδίκευση
skiemuo	συλλαβή
mozilla	mozilla
animatorius	εμψυχωτή
bora	μπόρα
teleskopo	τηλεσκόπιο
brangi	αγαπητέ
brangi	αγαπητή
klestėjimas	ευημερία
donatello	ντονατέλλο
hermiona	ερμιόνη
cellspacing	cellspacing
postų	θέσεις
postų	δημοσιεύσεις
robotas	ρομπότ
galingi	ισχυρός
galingi	ισχυρό
galingi	ισχυρή
minerva	μινέρβα
sprogstamosios	εκρηκτικό
sprogstamosios	εκρηκτική
sprogstamosios	εκρηκτικά
sprogstamosios	εκρηκτικές
atsparumo	αντοχή
atsparumo	αντίστασης
atsparumo	αντίσταση
atsparumo	ανθεκτικότητα
southampton	σαουθάμπτον
paaukoti	δωρεά
paaukoti	δωρίσει
valyti	καθαρίζονται
valyti	καθαριστεί
styga	χορδή
rožinio	ροζέ
užtvankų	φράγματα
starta	μπάντινγκ
granada	γρανάδα
turinas	τορίνο
diplomatinių	διπλωματική
diplomatinių	διπλωματικά
diplomatinių	διπλωματικό
nirvana	νιρβάνα
bandymą	πείραμα
braun	braun
braun	μπράουν
šalmus	κράνη
energijai	ανεβαίνει
vandeninis	υδατικό
dublinas	δουβλίνο
sindarin	σίνταριν
udo	ούντο
apvalkalas	κέλυφος
barrichello	μπαρικέλο
budistai	βουδιστές
tikslumas	ακρίβεια
tikslumas	ακριβείας
tikslumas	ακρίβεια
tikslumas	ορθότητα
kremliaus	κρεμλίνο
berger	μπέργκερ
elvis	έλβις
vagonų	άμαξες
vagonų	βαγόνια
suprojektuota	σχεδιασμένη
suprojektuota	σχεδιασμένα
suprojektuota	σχεδιασμένος
suprojektuota	σχεδιασμένο
suprojektuota	σχεδιάστηκε
mokymasis	εκμάθηση
mokymasis	μαθαίνοντας
mokymasis	μάθηση
mokymasis	μάθησης
blokų	μπλοκ
blokų	τετράγωνα
svetimas	ξένος
svetimas	ξένο
sprogsta	εκρήγνυται
ger	ger
šiaudų	καλαμάκι
šiaudų	άχυρα
šiaudų	άχυρο
diktatūros	δικτατορίες
diktatūros	δικτατορία
laguna	λαγκούνα
paskiria	επικοινωνήστε
paskiria	επαφη
paskiria	επαφή
paskiria	επικοινωνία
aktyvistai	ακτιβιστές
katalonų	καταλανικά
adis	αντίς
puikų	εξαιρετικά
puikų	εξαιρετικό
puikų	εξαιρετική
tsv	tsv
mono	mono
pagerina	βελτιώνει
pagerina	βελτιώνεται
plėšrūnų	αρπακτικά
apgyvendinimo	καταλύματα
apgyvendinimo	κατάλυμα
apgyvendinimo	στέγαση
apgyvendinimo	διαμονή
vežimas	φορτία
vežimas	αποστολές
dumblių	φύκια
ursus	ursus
forum	forum
forum	φόρουμ
listclass	listclass
konkursai	προσφορών
teologija	θεολογία
paktas	σύμφωνο
citadelė	ακρόπολη
kaukazas	καύκασο
marselio	μασσαλία
brendan	μπρένταν
nendrių	ριντ
nendrių	ρηντ
kančia	βάσανο
kančia	ταλαιπωρία
kančia	βάσανα
kančia	μαρτύριο
cinkas	ψευδάργυρος
cinkas	ψευδάργυρο
cinkas	ψευδαργύρου
norimą	επιθυμητή
norimą	επιθυμητό
jūreivių	ναυτικών
jūreivių	ναυτικούς
jūreivių	ναυτικοί
jūreivių	ναύτες
laimingas	ευτυχής
laimingas	ευτυχισμένη
laimingas	χαρούμενος
laimingas	χαρούμενη
laimingas	ευτυχισμένος
kontaktas	επικοινωνήστε
kontaktas	επαφη
kontaktas	επαφή
kontaktas	επικοινωνία
sąjungas	συμμαχίες
bismarkas	μπίσμαρκ
sąsmauka	ισθμού
oktavianas	οκταβιανού
gegutės	κούκου
mileris	μίλλερ
mileris	μίλερ
mileris	miller
hunai	ούνοι
elzė	ελάιζα
elzė	ελίζα
dal	νταλ
vakarienė	βραδινό
vakarienė	δείπνο
elisabeth	ελισάβετ
kenkėjų	παράσιτα
koridorius	διάδρομοι
koridorius	διαδρόμους
koridorius	διάδρομος
koridorius	διάδρομο
dunojus	δούναβη
įkvėpti	εμπνεύσει
lydiniai	κράματα
milžinai	γίγαντες
charleroi	charleroi
viskio	ουίσκι
viskio	ουίσκι
priimtų	στιγμιότυπα
priimtų	επισημαίνει
važiuoklės	σασί
dinozaurai	δεινόσαυροι
dinozaurai	δεινόσαυρους
spiritas	αποστάγματα
spiritas	πνεύματα
spiritas	οινοπνευματώδη
šeštoji	έκτη
šeštoji	έκτος
šeštoji	έκτο
egzamino	εξετάσεις
neišvengiamai	αναπόφευκτα
krantinės	προβλήτα
krantinės	προκυμαία
krantinės	αποβάθρα
rūsys	κελάρι
sakiniai	ποινές
suaugusieji	ενηλίκων
suaugusieji	ενήλικοι
suaugusieji	ενήλικες
suaugusieji	ενήλικο
suaugusieji	ενήλικας
suaugusieji	ενήλικα
suaugusieji	ενήλικος
suaugusieji	ενήλικες
suaugusieji	ενηλίκων
galija	belgica
sophia	σοφία
coca	κόκα
coca	coca
konservantas	συντηρητικό
konservantas	συντηρητικά
austrai	αυστριακοί
tinklinis	βόλεϊ
cikas	cycas
rekomenduoja	συστήνει
rekomenduoja	συνιστά
rekomenduoja	προτείνει
rekomenduoja	προτείνετε
rekomenduoja	προτείνω
šviesus	φωτεινά
šviesus	φωτεινή
šviesus	φωτεινό
šviesus	φωτεινός
toras	θωρ
toras	θορ
incidentas	περιστατικό
incidentas	συμβάν
lesa	πτερώματος
dominavimo	κυριαρχία
dominavimo	υπεροχή
dominavimo	κυριαρχία
kaiser	κάιζερ
paskirstymas	κατανομή
paskirstymas	ανάλυση
paskirstymas	κατανομή
paskirstymas	κατάρρευση
paskirstymas	διανομής
paskirstymas	κατανομή
paskirstymas	διανομή
moses	μωυσή
moses	μωυσής
eritrėja	ερυθραία
meteoritas	μετεωρίτη
meteoritas	μετεωρίτης
ruiz	ruiz
derėtis	διαπραγματευτεί
niufaundlando	newfoundland
maserati	μαζεράτι
rainbow	rainbow
kontracepcijos	αντισύλληψη
bangor	μπάνγκορ
persekiojami	διώκονται
leto	λέτο
beata	μπεάτα
plikas	φαλακρός
plikas	φαλακρό
laikrodžiai	ρολόγια
laikrodžiai	ρολόγια
krosnis	φούρνο
krosnis	φούρνος
krosnis	φούρνο
malcolm	μάλκολμ
malcolm	μάλκομ
bmg	bmg
wordpress	wordpress
laidumas	αγωγιμότητα
butanas	βουτάνιο
wow	ουάου
logiškai	λογικά
diktatūra	δικτατορία
renato	renato
owen	όουεν
owen	owen
direktoriai	διευθυντές
direktoriai	σκηνοθέτες
karcinoma	καρκίνωμα
apyrankės	βραχιόλια
lynn	λυν
lynn	λιν
soros	κεχρί
seminaras	ημερίδα
seminaras	εργαστήριο
seminaras	εργαστήρι
seminaras	σεμινάριο
čerčilis	τσόρτσιλ
čerčilis	τσώρτσιλ
draugės	φίλους
draugės	φίλες
draugės	friends
draugės	φίλοι
draugės	φιλοι
legionas	λεγεώνα
kerštas	εκδίκηση
kerštas	εκδίκηση
tibetas	θιβέτ
kalvis	σιδερά
kambodža	καμπότζη
drąsiai	γενναία
romero	ρομέρο
stadio	stadio
tokelau	τοκελάου
konstantos	σταθερές
raiteliai	καβαλάρηδες
raiteliai	ιππείς
raiteliai	αναβάτες
buitinių	νοικοκυριό
buitinių	οικιακά
buitinių	νοικοκυριού
buitinių	δημοτική
skylė	οπή
skylė	τρύπα
trajektorija	τροχιά
simboliškai	συμβολικά
kardą	σπαθί
kardą	ξίφος
warcraft	warcraft
guido	γκουίντο
viskonsino	γουισκόνσιν
viskonsino	ουισκόνσιν
rimta	σοβαρό
rimta	σοβαρός
rimta	σοβαρή
miko	μίκο
socializmas	σοσιαλισμού
stabilus	σταθερό
stabilus	σταθερή
stabilus	σταθερά
stabilus	σταθερός
nevis	νέβις
mesopotamija	μεσοποταμία
gandras	πελαργός
netikras	ψεύτικα
netikras	ψεύτικος
netikras	ψεύτικο
netikras	ψεύτικη
sapiens	σάπιενς
grenlandija	γροιλανδίας
grenlandija	γροιλανδία
skaičiavimus	υπολογισμούς
skaičiavimus	υπολογισμοί
teo	theo
teo	θίο
teo	τεό
teo	τέο
kor	κορ
rodezijos	ροδεσία
kaldera	καλντέρα
kiūšiū	κιούσου
gijos	νήματα
len	λεν
coloma	κολόμα
grafinė	γραφικό
grafinė	γραφικός
eduard	εντουάρ
tres	tres
varškės	αγροικία
varškės	εξοχικό
piper	piper
piper	πάιπερ
epa	ερα
nerimą	ανησυχητικά
nerimą	ανησυχητική
nerimą	ανησυχητικό
nerimą	ανησυχητική
nerimą	ανησυχητικό
asunsjonas	ασουνσιόν
skersinis	εγκάρσια
skatinimas	προαγωγή
skatinimas	προώθηση
vulkaninė	πυριγενές
gangsteris	γκάνγκστερ
hnk	ηνκ
astrachanės	αστραχάν
jutos	γιούτα
mayer	μάγιερ
mayer	mayer
baigtos	ολοκληρώθηκαν
baigtos	ολοκληρωθεί
baigtos	ολοκληρώθηκε
baigtos	ολοκληρωμένα
reguliuojamas	ρυθμιζόμενη
reguliuojamas	ρυθμιζόμενο
sunitų	σουνίτες
aronas	ααρών
aronas	aaron
aronas	άαρον
antigva	αντίγκουα
cfc	cfc
cfc	cfc
geografiniai	γεωγραφικό
geografiniai	γεωγραφική
geografiniai	γεωγραφικά
išdavimo	έκδοσης
paša	πάσα
paša	πασά
eksperimentus	πειράματα
pasėlių	σοδειά
technikai	τεχνικοί
technikai	τεχνικούς
prieštaravimų	ενστάσεις
prieštaravimų	αντιρρήσεις
sekretoriatas	γραμματεία
pašalinamas	απέκκριση
ilgalaikės	μακροχρόνια
ilgalaikės	μακροπρόθεσμες
ilgalaikės	μακροπρόθεσμη
dumblas	ιλύος
saba	σάμπα
slepia	κρύβει
linijinis	γραμμική
stogų	στέγες
žvejys	ψαράς
žvejys	ψαρά
juostele	ρίγα
niger	νίγηρα
omega	ωμέγα
genomo	γονιδίωμα
jet	τζετ
jet	jet
pjovimo	κοπή
pjovimo	κόψιμο
atlyginimas	μισθός
atlyginimas	μισθό
atlyginimas	μισθοί
atlyginimas	μισθούς
atlyginimas	αποδοχές
atlyginimas	αμοιβή
soma	σόμα
angų	ανοίγματα
sutrikimą	σύγχυση
patarimų	συμβουλές
patarimų	συμβουλή
brangus	αγαπητέ
brangus	αγαπητή
raudų	θρήνος
būgnas	τύμπανα
būgnas	τύμπανο
būgnas	βαρέλι
morena	μορένα
puškinas	πούσκιν
skyrybos	διαζύγια
skyrybos	διαζύγιο
nuovargis	κούραση
nuovargis	κόπωση
borgo	borgo
bethoveno	μπετόβεν
genas	τζην
genas	gene
genas	τζιν
genas	γονίδιο
vaikšto	περπατώντας
vaikšto	περπάτημα
vaikšto	βόλτες
vaikšto	περπατάει
vaikšto	περπατά
jachtos	γιοτ
vittorio	βιτόριο
gipso	γύψο
gipso	γύψος
gipso	γύψο
cenzūra	λογοκρισία
urdu	ουρντού
kroft	κροφτ
šengeno	σένγκεν
mega	μέγα
mega	mega
mega	μεγα
vožtuvų	βαλβίδα
diplomatinis	διπλωματική
diplomatinis	διπλωματικά
diplomatinis	διπλωματικό
lira	λιρέτες
lira	λίρα
palladio	palladio
minios	πλήθος
minios	πλήθη
šaudo	πυροβολεί
šaudo	σουτάρει
gru	gro
guma	τσίχλες
guma	τσίχλα
skydliaukės	θυρεοειδή
skydliaukės	θυρεοειδούς
bevardis	άτιτλο
manas	χαίτη
švenčia	γιορτάζει
katy	κέιτι
junano	γιουνάν
tamsa	σκοτάδι
tamsa	σκότος
taičio	ταϊτή
vargas	βάργκας
plėšikai	ληστές
toma	τόμα
pilsudskis	πιλσούντσκι
medikai	νοσοκόμοι
apolonija	apollonia
martínez	martínez
chloridas	χλωριούχο
išlaikymo	παρακράτηση
išlaikymo	κατακράτηση
išlaikymo	διατήρηση
pažintis	σύνδεση
parodija	παρωδία
android	android
android	ανδροειδές
puošnioji	αρλεκίνος
virvės	σχοινί
virvės	σκοινί
virvės	σκοινιά
virvės	σχοινιά
virvės	νήματος
dsc	dsc
gleivių	βλέννα
šamanizmas	σαμανισμού
lynai	σκοινιά
lynai	σχοινιά
sil	σιλ
camila	καμίλα
matricos	μήτρα
matricos	μάτριξ
septintoji	έβδομη
septintoji	έβδομο
trąšos	λίπασμα
trąšos	λιπάσματα
trąšos	λιπάσματα
trąšos	λιπασμάτων
trąšos	λίπασμα
trąšos	λιπάσματα
patikimumas	αξιοπιστία
skaičiavimai	υπολογισμούς
skaičiavimai	υπολογισμοί
