hanoi	हनोई
mátote	आप
mátote	तुम
esperas	आपको
esperas	आप
esperas	तुम
esperas	प्रतीक्षारत
caín	गिरी
escravo	स्लेव
socorro	मदद
socorro	सहायता
mandou	भेजी
mandou	प्रेषित
mandou	भेजा
joseph	जोसफ
joseph	यूसुफ
joseph	जोसेफ
seda	सिल्क
seda	रेशों
seda	रेशे
seda	रेशम
seda	रेशा
secreta	गोपनीय
secreta	गुप्त
secreta	भेद
secreta	रहस्य
xusta	सिर्फ
xusta	बस
vido	आईये
vido	आइये
vido	आया
vido	आये
vido	आए
ombreiro	कंधा
ombreiro	कंधे
dispararon	गोली
dispararon	शॉट
dispararon	उन्होंने
dispararon	वे
potencia	पावर
potencia	शक्ति
terlle	उससे
terlle	उसको
terlle	उसे
prometo	वादा
planos	योजनाएँ
polis	पुलिसवाले
seguirá	करेंगे
seguirá	होगी
seguirá	करेगा
seguirá	करेगी
seguirá	होगा
seguirá	स्टिल
vervos	देख
vervos	देखें
vervos	देखिए
vervos	आपको
vervos	आप
vervos	तुम
sóltame	पाएँ
sóltame	मिलेंगी
ataques	हमलों
ataques	हमले
celosa	जलन
celosa	ईर्ष्या
cometer	कमिट
estabades	यहूद
estabades	आपको
estabades	आप
estabades	तुम
interesada	रुचि
interesada	रुचिकर
interesada	दिलचस्पी
escoitaches	आपको
escoitaches	आप
escoitaches	तुम
escoitaches	सुन
escoitaches	सुना
fálame	परिचय
fálame	बताओ
fálame	बताना
vendas	विक्रय
vendas	बिक्री
parezo	देखो
parezo	dekh
vinnie	vinnie
permíteme	मई
permíteme	may
pague	अदा
colar	हार
colar	नेकलेस
levarte	आपको
levarte	आप
levarte	तुम
levarte	लें
levarte	ले
levarte	लो
sacaches	पाएँ
sacaches	मिलेंगी
sacaches	किया
sacaches	आपको
sacaches	आप
sacaches	तुम
xudea	judea
xudea	अग्र
xudea	सामने
boh	कुआँ
boh	खैर
boh	खूब
lima	लीमा
rezo	दुवा
refíreste	आपको
refíreste	आप
refíreste	तुम
refíreste	मतलब
refíreste	औसत
adoro	प्यार
adoro	मोहब्बत
adoro	प्रेम
dillo	बताओ
dillo	बताना
dillo	उससे
dillo	उसको
dillo	उसे
trent	ट्रेंट
jean	जाँ
jean	जां
saigón	साइगॉन
ámoa	प्यार
ámoa	मोहब्बत
ámoa	प्रेम
ámoa	उसे
ámoa	उसका
ámoa	उसकी
ámoa	उसके
dakar	डकार
dylan	डायलन
dylan	डिलन
xastre	दर्जी
enxergar	समझो
enxergar	समझ
enxergar	समझे
tetas	स्तन
boulevard	boulevard
autoestrada	फ्रीवे
clermont	clermont
serventa	नौकरानी
melinda	मेलिंडा
père	पेरे
imperfecto	अपूर्ण
refuxiados	शरणार्थी
refuxiados	शरणार्थी
refuxiados	शरणार्थियों
viñan	आईये
viñan	आइये
viñan	आया
viñan	आये
viñan	आए
viñan	उन्होंने
viñan	वे
cambian	परिवर्तन
cambian	बदलाव
cambian	बदलें
honestidade	ईमानदारी
granxas	फ़ार्म
granxas	खेतो
mozart	मोजार्ट
mestra	शिक्षक
mestra	अध्यापक
mestra	टीचर
mestra	कृति
mestra	कलाकृति
occidental	पश्चिमी
occidental	पश्चिम
occidental	वेस्ट
actuación	निष्पादन
actuación	प्रदर्शन
impresionante	प्रभावशाली
king	राजा
king	बादशाह
king	किंग
andy	एंडी
archie	आर्ची
fantasía	काल्पनिक
xulgar	जज
xulgar	न्यायाधीश
xulgar	फैसला
xulgar	न्यायधीश
vicepresidente	वाइस
vicepresidente	प्रदेशाध्यक्ष
vicepresidente	राष्ट्रपति
vicepresidente	अध्यक्ष
fase	चरण
fase	स्टेज
veredes	देख
veredes	देखें
veredes	देखिए
veredes	आपको
veredes	आप
veredes	तुम
deixala	उसे
deixala	उसका
deixala	उसकी
deixala	उसके
deixala	आपको
deixala	आप
deixala	तुम
extraordinario	असाधारण
anderson	एंडरसन
contesta	उत्तर
contesta	जवाब
pagas	अदा
pagas	आपको
pagas	आप
pagas	तुम
preguntoume	और
preguntoume	पुछा
preguntoume	माँगी
preguntoume	पूछे
preguntoume	पूछा
impedir	रोकें
impedir	रखें
impedir	रखना
congreso	कांग्रेस
congreso	कॉंग्रेस
recibiron	प्राप्त
collen	लें
collen	ले
collen	लो
béisbol	बेसबॉल
electrónico	इलेक्ट्रानिक
electrónico	इलेक्ट्रॉनिक
reto	चुनौती
postura	पद
postura	स्थिति
interacción	सहभागिता
interacción	बातचीत
relacionado	संबंधित
relacionado	सम्बन्धित
tocas	आपको
tocas	आप
tocas	तुम
despedida	विदाई
convencer	मनाना
ego	अहंकार
prioridades	प्राथमिकताओं
prioridades	प्राथमिकताएं
largo	पाएँ
largo	मिलेंगी
largo	बाहर
largo	आउट
experto	एक्सपर्ट
experto	विशेषज्ञ
referencia	संदर्भ
referencia	सन्दर्भ
tiveses	आपको
tiveses	आप
tiveses	तुम
tiveses	था
preocupar	परिचय
preocupar	चिंता
gafas	चश्मा
gafas	चश्मे
gafas	ऐनक
secundarios	पार्श्व
secundarios	तरफ
secundarios	पक्ष
secreto	गोपनीय
secreto	गुप्त
secreto	भेद
secreto	रहस्य
verdadeiros	असली
verdadeiros	यथार्थ
verdadeiros	रीयल
verdadeiros	वास्तविक
verdadeiros	रियल
verdadeiros	सच
verdadeiros	सही
verdadeiros	सच्चा
similares	समान
desafío	चुनौती
capturar	कैप्चर
profundidade	गहराई
profundidade	दीप
profundidade	गहरी
profundidade	गहरा
profundidade	गहन
capas	परतें
capas	लेयर
capas	परतों
capas	सोने
capas	सोना
capas	गोल्ड
capas	स्वर्ण
capas	सुनहरा
utiliza	उपयोग
virán	आईये
virán	आइये
orientais	पूर्वी
adolescente	adolescent
nalgures	कहीं
nalgures	कही
maquinaria	मशीनों
maquinaria	मशीनरी
maquinaria	मशीन
maquinaria	यंत्र
renda	किराए
renda	किराया
renda	आमदनी
renda	इनकम
renda	आय
inxección	इंजेक्शन
instrumento	यंत्र
diaños	जहन्नुम
diaños	नर्क
diaños	नरक
micrófono	माइक्रोफ़ोन
micrófono	माइक्रोफोन
cheguen	उन्होंने
cheguen	वे
cheguen	पाएँ
cheguen	मिलेंगी
cheguen	आईये
cheguen	आइये
placas	प्लेटों
habitacións	कमरे
habitacións	rooms
habitacións	रूम
habitacións	कक्ष
actuais	धारा
actuais	मौजूदा
actuais	मौज़ूदा
actuais	वर्तमान
construíu	बनवाया
construíu	बनवाई
construíu	निर्मित
contrasinal	कूटशब्द
contrasinal	पासवर्ड
dispositivos	उपकरण
dispositivos	युक्ति
dispositivos	औज़ार
dispositivos	डिवाइस
mandela	मंडेला
mark	मार्क
mark	चिह्नित
particularmente	विशेषकर
porca	गन्दा
porca	गंदे
porca	गंदा
entrevistas	साक्षात्कार
lendo	पढ़ना
lendo	पढना
sa	स्वास्थ्यवर्धक
sa	स्वस्थ
queixa	शिकायत
verdades	सच्चाई
tomen	लें
tomen	ले
tomen	लो
ética	नैतिकता
ética	आचार
cruzando	आरपार
cruzando	क्रासिंग
opresión	दमन
serra	सिएरा
argumento	तर्क
xen	जीन
asilo	नर्सिंग
asilo	मुखपृष्ठ
asilo	गृह
asilo	होम
asilo	घर
autor	रचयिता
autor	लेखक
ducha	शॉवर
ducha	बरसात
amabilidade	दया
amabilidade	करुणा
simon	साइमन
nucleares	परमाणु
nucleares	न्यूक्लियर
nucleares	नाभिकीय
propiedades	संपत्ति
propiedades	गुण
propiedades	सम्पत्ति
propiedades	प्रॉपर्टी
propiedades	गुण
henry	हेनरी
gañadores	विजेताओं
gañadores	विजेता
use	उपयोग
paramos	रोकें
aparecer	दिखाओ
aparecer	शो
aparecer	दिखाएं
aparecer	दिखाएँ
buracos	छेद
ensaio	मुकदमा
ensaio	ट्रायल
ensaio	विचारण
mercados	बाजार
mercados	बाज़ार
mercados	मार्केट
mercados	बाज़ारों
mercados	बाजारों
mercados	बाजार
mercados	बाज़ार
suecia	स्वीडिश
suecia	स्वीडन
pares	रोकें
dentista	डेंटिस्ट
obtivo	मिली
obtivo	मिला
comín	एट
comín	खाया
comín	खायी
comín	ate
reside	झूठ
farían	होता
farían	उन्होंने
farían	वे
xerais	जनरल
xerais	साधारण
xerais	सामान्य
xerais	सेनापतियों
meniño	छोरा
meniño	लड़का
meniño	लडका
meniño	बॉय
meniño	लड़के
colleron	उन्होंने
colleron	वे
debiamos	चाहिए
debiamos	था
teredes	आपको
teredes	आप
teredes	तुम
nazis	नाजी
cazadores	शिकार
trataba	था
trataba	थी
musulmáns	मुसलमानो
musulmáns	मुसलमान
barrios	पड़ोस
barrios	एटलस
barrios	क्षेत्र
barrios	क्षेत्रों
reláxate	आराम
reláxate	रिलैक्स
entendía	समझा
entendía	समझो
entendía	समझ
entendía	समझे
bater	हिट
bater	hit
manteñen	रखें
manteñen	रखना
manteñen	उन्होंने
manteñen	वे
elemento	अवयव
elemento	तत्व
mecánico	यांत्रिक
mecánico	mechanical
mecánico	मैकेनिक
piden	पूछें
piden	पूछो
piden	लिये
piden	उन्होंने
piden	वे
durmimos	निद्रा
durmimos	नींद
refire	मतलब
refire	औसत
espacial	हबल
espacial	अंतरिक्ष
espacial	समष्टि
espacial	जगह
espacial	स्पेस
estacións	मौसम
estacións	सीज़न
estacións	स्टेशन
barra	पट्टी
barra	बार
barra	सहस्र
barra	किलो
rabaño	झुण्ड
national	राष्टीय
national	राष्ट्रीय
national	नेशनल
diálogo	संवाद
personalidade	व्यक्तित्व
sinceramente	सचमुच
sinceramente	वाकई
perdidos	खोई
perdidos	गुमशुदा
perdidos	खोया
hara	hara
hara	हारा
bebendo	पीना
bebendo	पीने
acusación	प्रभार
acusación	चार्ज
vivido	जिया
lanzamento	छोडें
lanzamento	बूंद
lanzamento	बूँद
recorda	याद
recorda	आपको
recorda	आप
recorda	तुम
green	हरित
green	हरी
green	हरा
green	ग्रीन
clásico	शास्त्रीय
clásico	क्लासिक
armado	सशस्त्र
armado	हथियारबंद
mobles	फ़र्नीचर
mobles	फर्नीचर
afastados	दूर
afastados	से
afastados	इससे
xestos	इशारों
disturbios	दंगों
disturbios	दंगे
intelectual	बौद्धिक
gravitacional	गुरुत्वाकर्षक
averiguar	बाहर
averiguar	आउट
averiguar	ढूंढें
averiguar	ढूँढें
presencia	मौजूदगी
presencia	उपस्थिति
teríamos	होता
brando	नर्म
brando	सॉफ्ट
brando	मुलायम
brando	नरम
sospeita	संदिग्धों
mestura	मिश्रण
mestura	मिक्स
mestura	मिक्सर
novidade	नया
novidade	नई
mañán	सुबह
mañán	सवेरा
mañán	morning
mañán	कल
tua	आपकी
tua	आपके
tua	आपका
tua	अपने
tua	अपना
tua	प्यार
tua	मोहब्बत
tua	मीत
sintes	महसूस
asentos	सीटें
asentos	सीटों
asentos	सीटे
fondos	निधि
bicos	चुम्बन
bicos	चुंबन
soto	तहखाने
ocuparse	केयर
ocuparse	परवाह
ocuparse	लें
ocuparse	ले
ocuparse	लो
eterna	सनातन
eterna	अनन्त
elixido	चुनी
elixido	निर्वाचित
elixido	चुनी
elixido	एक
fíxate	देखो
fíxate	dekh
socialismo	समाजवाद
socialismo	समाजवादी
traio	लाओ
créame	विश्वास
créame	मानना
dareille	दे
mantemento	रखरखाव
mantemento	मेंटेनेंस
molestar	परेशान
cansos	थका
cansos	थकान
pases	वक़्त
pases	वक्त
pases	समय
botes	नौकाएँ
tivésemos	था
algodón	सूत
algodón	कपास
pazo	महल
pazo	पैलेस
pazo	राजमहल
pazo	विला
volvería	होता
volvería	पीछे
volvería	बैक
volvería	पिछे
volvería	वापस
saes	आपको
saes	आप
saes	तुम
saes	बाहर
saes	आउट
solitario	अकेला
solitario	लोनली
solitario	निर्जन
aturo	लें
aturo	ले
aturo	लो
aturo	स्टैंड
direiche	बताओ
direiche	बताना
responsábeis	ज़िम्मेदार
responsábeis	उत्तरदायी
responsábeis	जिम्मेदार
responsábeis	लिये
desexaría	काश
aparta	पाएँ
aparta	मिलेंगी
escocés	स्कॉच
quite	लें
quite	ले
quite	लो
quite	बन्द
quite	बंद
louis	लुई
recordas	याद
miami	मियामी
descansa	आराम
descansa	रेस्ट
descansa	बाकी
pedido	क्रम
pedido	ऑर्डर
pedido	आदेश
pedido	अनुक्रम
francesas	फ़्रेंच
francesas	फ़्रांसीसी
francesas	फ्रांसीसी
francesas	फ्रेंच
perdes	आपको
perdes	आप
perdes	तुम
perdes	खोना
falaron	उन्होंने
falaron	वे
detente	रोकें
servirá	करेंगे
servirá	होगी
servirá	करेगा
servirá	करेगी
servirá	होगा
amarelo	पीला
wheeler	व्हीलर
fama	प्रसिद्धि
fama	शोहरत
fama	ख्याति
fama	कीर्ति
canibalismo	नरभक्षण
duras	हार्ड
duras	कड़ा
duras	कठिन
duras	कठोर
duras	मेहनत
duras	मुश्किल
aceno	भाव
estouche	आपको
estouche	आप
estouche	तुम
della	देला
trucos	तरकीब
trucos	गुर
trucos	नापाक
alumnado	विद्यार्थियों
alumnado	हैं
alumnado	छात्रों
alumnado	विद्यार्थी
burgueses	बुर्जुआ
vera	वेरा
vera	वीरा
entendín	समझा
movédevos	चाल
movédevos	मूव
stan	स्टेन
stan	आपको
stan	आप
stan	तुम
west	पश्चिम
west	वेस्ट
bild	bild
marines	समुद्रतट
marines	मरीन
marines	समुद्री
cóidate	लें
cóidate	ले
cóidate	लो
cóidate	केयर
cóidate	परवाह
armenia	अर्मेनिया
correde	चला
correde	चलाएँ
correde	चलेगी
correde	चलाएं
turista	पर्यटक
mann	मन
kathy	कैथी
alicia	अनीता
alicia	ऐलिस
won	जीता
won	जीते
won	जीती
heavy	भारी
wey	वेई
cora	कोरा
doutora	doctor
doutora	डाक्टर
doutora	डॉक्टर
envioume	भेजी
envioume	प्रेषित
envioume	भेजा
conquistar	जीतें
equipos	टीम
equipos	टीमों
procede	आता
procede	से
procede	इससे
vise	देखा
vise	आरी
vise	देखी
vise	देख
vise	देखें
vise	देखिए
altar	वेदी
refírome	मतलब
refírome	औसत
debates	चर्चाएँ
redes	नेट
redes	नेटवर्क
redes	संजाल
investigadores	शोधकर्ताओं
utilidade	उपयोग
utilidade	उपयोगी
utilidade	सुविधा
utilidade	उपयोगिता
utilidade	यूटिलिटी
entretemento	मनोरंजन
entretemento	entertainment
diapositiva	स्लाइड
trampas	फन्दा
trampas	फंदा
soben	उस
soben	कि
vense	हैं
decatei	एहसास
cometeu	प्रतिबद्ध
cometeu	वचनबद्ध
cometeu	बनाया
cometeu	बना
favoritos	पसंदीदा
favoritos	पसंदीदा
volvía	पीछे
volvía	बैक
volvía	पिछे
volvía	वापस
musical	संगीतमय
musical	musical
musical	संगीत
musical	म्यूज़िक
funcionamento	केसे
funcionamento	कैसे
funcionamento	कैसा
illado	पृथक
illado	उस
illado	कि
fundamental	मूलभूत
fundamental	आधारभूत
xuízos	ट्रायल
causas	ध्येय
causas	कारण
causas	कल्याणकारी
bate	धड़कता
bate	बीट्स
substituír	बदलें
substituír	स्थानापन्न
substituír	लिये
debuxo	रेखाचित्र
debuxo	ड्राइंग
debuxo	चित्रांकन
debuxo	आरेखण
rostros	चेहरे
rostros	चेहरों
rostros	चेहरे
rostros	चेहरा
rostros	face
rostros	फेस
aula	कक्ष
aula	कमरा
aula	कमरे
aula	रूम
aula	कक्षा
aula	वर्ग
aula	क्लास
manipulación	हेरफेर
sentirse	महसूस
campá	बेल
campá	घंटी
saíde	पाएँ
saíde	मिलेंगी
saíde	बाहर
saíde	आउट
corrupción	भ्रष्टाचार
entras	आईये
entras	आइये
elo	उस
elo	कि
preguntarnos	पूछें
preguntarnos	पूछो
entrando	प्रवेश
prestar	अदा
persoais	पर्सनल
persoais	व्यक्तिगत
persoais	निजी
herdanza	धरोहर
herdanza	विरासत
herdanza	उत्तराधिकार
defecto	मूलभूत
defecto	डिफ़ॉल्ट
defecto	डिफॉल्ट
eléctrica	विद्युत
eléctrica	इलेक्ट्रिक
eléctrica	पावर
eléctrica	शक्ति
prestado	उधार
interiores	भीतरी
interiores	इंटीरियर्स
traxes	पूर्वी
traxes	परिधान
traxes	ड्रेस
traxes	पोशाक
traxes	सूट
limitado	limited
limitado	सीमित
ancián	ओल्ड
ancián	पुराने
ancián	पुरानी
ancián	पुराना
ancián	वृद्ध
ancián	बूढ़ा
ancián	पुरुष
ancián	मनुष्य
ancián	मैन
ancián	आदमी
ancián	इन्सान
ancián	man
infección	संक्रमण
radicais	रेडिकल्स
radicais	रेडिकल
radicais	कट्टरपंथी
recente	हालिया
recente	हाल
italianos	इतालवी
xeracións	पीढियां
barreira	अवरोध
ouviu	सुना
ouviu	आपको
ouviu	आप
ouviu	तुम
ouviu	सुन
jamie	जेमी
ido	गए
toquei	छुआ
toquei	स्पर्श
toquei	छू
toquei	टच
concertos	कॉन्सर्ट
pecho	बन्द
pecho	करीब
pecho	बंद
virus	वाइरस
virus	विषाणु
virus	वायरस
pulmóns	फेफड़ों
pulmóns	फेफड़े
extremadamente	बेहद
extremadamente	अत्यंत
extremadamente	अत्यधिक
fármacos	ड्रग्स
fármacos	दवाएँ
prácticas	व्यावहारिक
axuden	मदद
axuden	सहायता
hackers	हैकर
hackers	हैकर्स
arrecifes	मूंगा
arrecifes	कोरल
arrecifes	मूँगे
arrecifes	मूँगा
éramos	यहूद
ondas	लहरों
ondas	लहरें
acabará	अंत
acabará	समाप्ति
acabará	समाप्त
acabará	करेंगे
acabará	होगी
acabará	करेगा
acabará	करेगी
acabará	होगा
ártico	आर्कटिक
mortas	मर
mortas	मुर्दे
egoísta	स्वार्थी
crecín	उठी
crecín	अर्जित
crecín	उठाया
tratei	आजमाया
camiñas	चलना
camiñas	आपको
camiñas	आप
camiñas	तुम
camiñas	सैर
camiñas	चलना
rescate	उद्धार
rescate	बचाव
rescate	फिरौती
racismo	नस्लवाद
racismo	जातिवाद
esposo	पति
esposo	husband
disposta	तैयार
grecia	यूनानी
grecia	ग्रीस
grecia	यूनान
grecia	यूनानियों
xove	युवा
xove	जवान
xove	यंग
demáis	अन्य
xenético	जेनेटिक
tecidos	ऊतकों
frecuencia	अक्सर
frecuencia	अकसर
frecuencia	अक्सर
frecuencia	प्रायः
kilos	पाउंड
agradecido	आभारी
aburrida	ऊब
aburrida	बोर
aburrida	उबाऊ
tentan	कोशिश
tentan	उन्होंने
tentan	वे
axencia	एजेंसी
motel	मोटल
responsables	ज़िम्मेदार
responsables	उत्तरदायी
responsables	जिम्मेदार
responsables	उत्तरदायित्व
responsables	ज़िम्मेदारी
responsables	जिम्मेदारी
responsables	लिये
responsables	जिसने
responsables	कौन
responsables	जो
nobel	नोबेल
nobel	ईनाम
nobel	इनाम
nobel	पुरस्कार
sentiu	किया
sentiu	महसूस
sentiu	लगा
sentiu	उन्होंने
sentiu	वे
memorias	यादें
industriais	औद्योगिक
industriais	फ़ैक्टरी
industriais	कारखाना
industriais	फैक्ट्री
industriais	फैक्टरी
desigualdade	असमानता
ameazas	ख़तरे
ameazas	खतरे
posesión	कब्जे
posesión	कब्ज़ा
poderiades	आपको
poderiades	आप
poderiades	तुम
curva	वक्र
curva	मोड़ना
curva	बारी
curva	फेरे
entradas	टिकट
entradas	टिकटें
pasas	आपको
pasas	आप
pasas	तुम
pasas	खर्च
cultivo	संस्कृति
tratamentos	इलाज
tratamentos	उपचार
tratamentos	उपचार
tratamentos	हैं
almacéns	दुकानें
almacéns	स्टोर
almacéns	स्टोर्स
almacéns	विभाग
almacéns	स्टोर
meteu	मिली
meteu	मिला
mecanismo	यांत्रिकी
mecanismo	उपकरण
mecanismo	युक्ति
mecanismo	डिवाइस
mecanismo	यंत्र
taylor	टेलर
quinto	पंचम
quinto	पाँचवा
quinto	पांचवा
quinto	पांचवां
quinto	जहन्नुम
quinto	नर्क
quinto	नरक
mandei	भेजी
mandei	प्रेषित
mandei	भेजा
divino	दिव्य
divino	परमात्मा
divino	दैवी
xoguetes	खिलौना
xoguetes	खिलौने
vilas	कस्बों
vilas	गावों
vilas	गांवों
arquivos	फ़ाइलें
arquivos	फ़ाइल
arquivos	संचिका
arquivos	फाइलें
arquivos	अभिलेखागार
arquivos	अभिलेख
cambiaron	परिवर्तित
cambiaron	बदला
encargo	क्रम
encargo	ऑर्डर
encargo	आदेश
encargo	अनुक्रम
encargo	लें
encargo	ले
encargo	लो
empece	हड़ताल
empece	स्ट्राइक
empece	बाहर
empece	आउट
asiáticos	एशियाई
asiáticos	एशियाइ
factor	कारक
factor	फ़ैक्टर
labor	कार्यालय
labor	काम
labor	कार्य
labor	कार्य
déronlle	उन्होंने
déronlle	वे
déronlle	था
déronlle	थी
perpetua	जिंदगी
perpetua	ज़िन्दगी
perpetua	ज़िंदगी
perpetua	जिन्दगी
perpetua	जीवन
aparencia	देखो
aparencia	dekh
aparencia	प्रकटन
aparencia	रूप
mesas	टेबल
abraham	अब्राहम
temer	डर
temer	ख़ौफ़
temer	भय
temer	डर
temer	भयभीत
cinto	बेल्ट
camiñamos	सैर
camiñamos	चलना
lectura	पढ़ना
lectura	पढना
lectura	पढ़ें
lectura	पढ़े
lectura	पढ़ा
batallas	लड़ाइयों
bendiga	आपको
bendiga	आप
bendiga	तुम
propietaria	स्वामी
propietaria	मालिक
bonitos	सुंदर
bonitos	सूंदर
bonitos	ब्यूटीफुल
bonitos	खूबसूरत
bonitos	नाइस
bonitos	nice
esperade	रुको
esperade	इंतजार
esperade	लिये
usaba	प्रयुक्त
matamos	हत्या
matamos	मारे
sentou	बैठा
sentou	शनि
sentou	शनिवार
sentou	सत
mates	किल
mates	मारो
mates	मार
mates	गणित
carl	कार्ल
columnas	स्तंभ
columnas	कॉलम
columnas	स्तम्भ
columnas	कालम
furgoneta	वान
furgoneta	वैन
numerosos	कई
numerosos	अनेक
reforma	सुधार
incendio	फायर
incendio	अग्नि
incendio	आग
estuda	अध्ययन
estuda	पढ़ाई
estuda	अध्ययन
decepción	निराशा
reportaxe	रिपोर्ट
reportaxe	रपट
ooh	ऊह
móvese	चलती
leopardo	चीता
leopardo	चीते
leopardo	तेंदुआ
hola	नमस्कार
hola	हेलो
hola	hello
elvis	एल्विस
europea	यूरोपियाई
europea	यूरोपीय
mona	मोना
mona	mona
alzhéimer	अल्जाइमर
oracións	प्रार्थना
oracións	प्रार्थनाएं
xentes	लोग
xentes	लोगों
radiación	irradiation
radiación	विकिरण
marco	ग्राउंड
marco	जमीन
marco	मैदान
marco	फ्रेम
marco	ढांचा
marco	गठन
marco	फ़्रेम
marco	मार्को
viena	वियना
rumbo	पाठ्यक्रम
rumbo	कोर्स
vestíbulo	लॉबी
vestíbulo	हॉल
burguesa	बुर्जुआ
ave	पंछी
ave	पक्षी
ave	चिड़िया
ave	बर्ड
ave	एव
voa	उड़ता
higgs	हिग्स
chegado	आईये
chegado	आइये
chegado	साथ
brutalidade	क्रूरता
brutalidade	निर्दयता
cosmos	ब्रह्मांड
transición	संक्रमण
transición	परिवर्तन
usou	प्रयुक्त
actuando	अभिनय
actuando	एक्टिंग
caldeiro	जेल
caldeiro	कारावास
caldeiro	बाल्टी
paulo	पाउलो
atopaba	था
atopaba	थी
atopaba	ढूंढें
atopaba	ढूँढें
delincuencia	क्राइम
delincuencia	अपराध
delincuencia	जुर्म
delincuencia	अपराधों
permitirei	करेंगे
permitirei	होगी
permitirei	करेगा
permitirei	करेगी
permitirei	होगा
permitirei	नही
permitirei	नहीं
permitirei	जीता
permitirei	जीते
permitirei	जीती
permitirei	उसे
permitirei	उसका
permitirei	उसकी
permitirei	उसके
iii	तृतीय
iii	iii
levareite	लें
levareite	ले
levareite	लो
levareite	आपको
levareite	आप
levareite	तुम
prométocho	वादा
prométocho	आपको
prométocho	आप
prométocho	तुम
virei	आईये
virei	आइये
choras	हैं
choras	आपको
choras	आप
choras	तुम
choras	रोना
choras	रो
choras	रोता
choras	रोना
choras	फरियाद
choras	क्राई
pagalo	अदा
pagalo	लिये
municipal	नगरपालिका
peste	प्लेग
estrañas	अजीब
representantes	प्रतिनिधियों
representantes	प्रतिनिधि
envexa	ईर्ष्या
vente	आईये
vente	आइये
mel	हनीमून
mel	सुहागरात
mel	हनी
mel	शहद
mel	मधु
cuartel	मुख्यालय
cuartel	बैरकों
calmo	शांत
afecto	शौकीन
afecto	स्नेह
mineiros	खनिक
coide	देखो
coide	dekh
coide	लें
coide	ले
coide	लो
coide	केयर
coide	परवाह
culler	चम्मच
culler	चमचा
disparan	फायर
disparan	अग्नि
disparan	आग
fianza	जमानत
mantas	कंबल
entendiches	समझो
entendiches	समझ
entendiches	समझे
entendiches	मिली
entendiches	मिला
pálida	पाले
fresca	फ्रेश
fresca	ताजा
fresca	ताज़ा
fresca	भैस
fresca	मस्त
fresca	कूल
alice	अनीता
alice	ऐलिस
volverás	आपको
volverás	आप
volverás	तुम
honrado	गौरव
honrado	सम्मानित
honrado	इमानदार
honrado	ईमानदार
levarei	लें
levarei	ले
levarei	लो
serpe	सर्प
serpe	सांप
serpe	नाग
serpe	स्नेक
serpe	साँप
valen	हैं
valen	लायक
víchelo	देखा
víchelo	आरी
víchelo	देखी
víchelo	उससे
víchelo	उसको
víchelo	उसे
víchelo	आपको
víchelo	आप
víchelo	तुम
walter	वाल्टर
bebo	ड्रिंक
bebo	पीना
bebo	पेय
dicides	कहें
dicides	बोलो
dicides	कह
dicides	आपको
dicides	आप
dicides	तुम
paras	आपको
paras	आप
paras	तुम
paras	रोकें
