πυροβόλο	火器
δάπεδο	地板
πετάει	蒼蠅
καταστροφική	破壞性
καταστροφική	毀滅性
πκε	邑
ανακτήσει	檢索
ανακτήσει	檢索
αρπακτικά	猛禽
πενσυλβάνια	賓州
πενσυλβάνια	賓夕法尼亞
έντγκαρ	edgar
φιλοξενία	托管
φιλοξενία	主機
φιλοξενία	主辦
βαλτικής	波羅
βαλτικής	波羅的海
ρομαντική	浪漫
κόμβοι	樞紐
κόμβοι	中樞
κόμβοι	節點
κοιλάδες	山谷
ενεργητικό	資產
τυπικές	典型
χαρτ	hart
χαρτ	芯
φορτηγό	貨車
φορτηγό	卡車
λιν	琳
λιν	lin
λιν	林
απομεινάρια	剩菜
απομεινάρια	殘留物
μαραθώνιο	馬拉松
όξινο	酸性
αποτελεσματικό	高效
αποτελεσματικό	有效率
αποτελεσματικό	有效
ποτό	飲酒
ποτό	喝
ποτό	喝酒
ποτό	飲料
πλούτος	財富
ζωντανός	活著
δημοκρατικός	共和
ρίβερ	河
ρίβερ	江河
ρίβερ	河流
ρίβερ	江
επαναστάτης	革命性
επαναστάτης	叛亂分子
επαναστάτης	反叛
επαναστάτης	叛軍
επαναστάτης	叛逆
μπετόβεν	貝多芬
κρόνος	土星
χαρτιά	卡
χαρτιά	紙牌
χαρτιά	卡片
χαρτιά	牌
χαρτιά	論文
σκοτάδι	黑
σκοτάδι	暗
σκοτάδι	黑暗
σκοτάδι	黑暗
ετικέτα	標記
ετικέτα	標籤
ετικέτα	標籤
συμμορία	幫
συμμορία	幫派
διαγράφηκε	刪除
εξελικτική	演化
εξελικτική	進化
πλατιά	廣
πλατιά	寬
μίσος	仇視
μίσος	仇恨
μίσος	憎恨
μίσος	恨
μίσος	討厭
μίσος	仇恨
πείτε	說
τρώει	吃
τρώει	飲食
τρώει	進食
τρώει	食
προφορική	口頭
προφορική	口服
προφορική	口腔
προφορική	口頭
ιατρικά	醫療
ιατρικά	醫務
ιατρικά	醫學
επικίνδυνα	危險
επικίνδυνα	危險性
άνεμο	風
εμβόλιο	疫苗
άνεση	安慰
άνεση	撫慰
άνεση	舒適
κέλι	kelly
λεσότο	賴索托
ειδοποίηση	通知
ειδοποίηση	通知
ειδοποίηση	提醒
ειδοποίηση	警報
ειδοποίηση	警示
προνόμιο	特權
όσλο	奧斯陸
βινυλίου	乙烯
επαγγέλματα	職業
αντιπαλότητα	競爭
αντιπαλότητα	對立
ινών	纖維
τόμσον	thompson
μωρό	嬰兒
μωρό	baby
μωρό	寶貝
μωρό	寶寶
συμπόσιο	座談會
συμπόσιο	宴會
οντότητες	實體
εξάλειψη	消除
εξάλειψη	鏟除
εξάλειψη	根除
κινέζικα	中文
κινέζικα	漢語
κινέζικα	華人
γουατεμάλα	瓜地馬拉
ορατά	可見
εκπροσώπηση	代表性
αποχρώσεις	墨鏡
χειρότερα	最糟糕
χειρότερα	最壞
χειρότερα	最糟
κενή	出缺
κενή	空缺
κενή	空白
κενή	空
κενή	空白
προκατόχου	前身
διαλυθεί	溶解
απεικόνισης	成像
απεικόνισης	影像
βανκούβερ	溫哥華
επιθετικό	咄咄逼人
μήλο	apple
μήλο	蘋果
πρεσβείας	大使館
πρεσβείας	使館
λογαριασμούς	賬單
λογαριασμούς	帳單
λογαριασμούς	法案
λογαριασμούς	決算
μαϊάμι	邁阿密
έλξη	牽引
έλξη	牽引力
έλξη	景點
έλξη	吸引力
έλξη	吸引
μπουλ	牛
μπουλ	公牛
ευθύνες	責任
φορολογία	稅收
φορολογία	稅務
ακέραιος	整數
κρανίο	骷髏
κρανίο	頭顱
κρανίο	頭骨
δεξιότητες	技能
δεξιότητες	技藝
δεξιότητες	技巧
δεξιότητες	技能
νηλ	neale
νηλ	neal
νηλ	neil
συνοδεύει	伴隨
υπάλληλοι	僱員
υπάλληλοι	員工
υπάλληλοι	官員
ιορδανία	約旦
κάρι	咖哩
κάρι	cary
κάρι	carrie
δένδρο	樹
δένδρο	樹木
ιρλανδική	愛爾蘭
ναμίμπια	納米比亞
πλατύ	廣
πλατύ	寬
ξύλινη	木質
ξύλινη	木
ξύλινη	木制
τόξα	弓
τόξα	箭頭
τόξα	箭
ππ	fps
ραλφ	ralph
παρατηρητήριο	天文台
εγγονή	孫女
εγγονή	外孫女
ορθογραφία	拼字
ορθογραφία	拼寫
διεκδίκηση	索賠
διεκδίκηση	認領
διεκδίκηση	債權
διεκδίκηση	聲稱
ασφαλής	安全
ασφαλής	平安
ασφαλής	安全
κινέζοι	中文
κινέζοι	漢語
κινέζοι	華人
δράκος	龍
δράκος	神龍
βλέπεις	見
εμπόρους	經銷商
χαβάης	夏威夷
συμπλοκή	混戰
συμπλοκή	近戰
συμπλοκή	邂逅
συμπλοκή	偶遇
μάρθα	martha
μπέτι	betty
ταξί	計程車
ταξί	出租
επικοινωνίες	通訊
υποψίες	懷疑
υπάρχουσα	現存
υπάρχουσα	現有
ισμαήλ	ishmael
πρόξενος	領事
πρόξενος	執政官
μπακ	降壓
μπακ	bac
εμβαδόν	面積
εμβαδόν	地區
εμβαδόν	區域
εμβαδόν	區
ημερήσια	每日
μανδύα	地幔
ρώτησε	問
δηλητήριο	毒
δηλητήριο	毒液
δηλητήριο	毒藥
δηλητήριο	毒
δηλητήριο	毒物
εξαρτήματα	飾品
εξαρτήματα	配件
εξαρτήματα	元件
ναύτες	水兵
ναύτες	海員
σημασιολογία	語義
υπομονή	耐心
υπομονή	忍耐
υπομονή	耐性
βούλα	點
πληροφόρηση	資訊
πειραματικό	實驗
διάβαση	跨越
διάβαση	穿越
διάβαση	天橋
μνήμες	記憶
μνήμες	回憶
μνήμες	記憶力
μνήμες	記憶
μνήμες	記憶體
μνήμες	回憶
αγροτικός	農村
ανθρακικό	碳酸
τρομοκρατία	恐怖主義
χρόνοι	時代
χρόνοι	times
χρόνοι	時報
ικανοποίηση	滿意
ικανοποίηση	抵償
μόργκαν	morgan
εκτύπωση	印刷
εκτύπωση	列印
εκτύπωση	印刷
εκτύπωση	列印
αναφορών	請願書
αναφορών	請願
αντικαθίσταται	取代
διαδήλωση	抗議
διαδήλωση	示範
διαδήλωση	演示
διαδήλωση	示威
κανονισμός	條例
παίχτης	球員
παίχτης	玩家
περίεργο	怪
περίεργο	怪異
περίεργο	奇怪
μαλαισίας	馬來西亞
ανέκδοτα	笑話
ανέκδοτα	軼事
μπιτς	beech
χαμένη	失
χαμένη	輸
χαμένη	輸了
χαμένη	遺失
χαμένη	迷失
νικαράγουα	尼加拉瓜
χείλη	嘴唇
χείλη	唇
χείλη	雙唇
ισχυρισμούς	指控
ισχυρισμούς	指稱
βίκυ	vicky
βίκυ	vicki
τιμόνι	輪
τιμόνι	車輪
ωκεανός	大洋
ωκεανός	洋
ωκεανός	海洋
ωκεανός	海
αναδιοργάνωση	重組
αναδιοργάνωση	改組
αναδιοργάνωση	重組
μετατρέψει	轉換
μετατρέψει	變換
μετατρέψει	轉變
μετατρέψει	變形
αμπέλια	葡萄園
κρίκετ	蟋蟀
εκτεταμένα	廣泛
μαρσέλ	marcel
κλήρου	神職人員
σύσκεψη	會議
σύσκεψη	會議
εγκατάλειψη	中止
εγκατάλειψη	遺棄
εγκατάλειψη	廢棄
εγκατάλειψη	中止
ταγματάρχη	少校
ταγματάρχη	主要
ταγματάρχη	主修
στολές	制服
στολές	服裝
στολές	戲服
στολές	西裝
φίλτρα	篩選
φίλτρα	過濾
φίλτρα	過濾器
θαυμαστές	粉絲
γκλόβερ	glover
κελί	細胞
κελί	牢房
συνιστάται	推薦
λύκος	狼瘡
λύκος	狼
σήραγγα	地道
σήραγγα	隧道
δεκτό	接受
ντάλας	達拉斯
μεσάνυχτα	半夜
μεσάνυχτα	午夜
καταγγελίες	投訴
καταγγελίες	控訴
καταγγελίες	申訴
υφάσματα	布料
υφάσματα	織物
υφάσματα	紡織業
υφάσματα	紡織
υφάσματα	紡織品
τόνος	音調
τόνος	色調
τόνος	音
τόνος	基調
τόνος	語氣
χαλκός	銅礦
χαλκός	銅
ιρλανδός	愛爾蘭
ψηλότερα	較高
ψηλότερα	更高
σπήλαια	洞穴
σπήλαια	山洞
σπήλαια	洞穴
σπήλαια	岩洞
νέφος	煙霧
νέφος	雲
νέφος	雲端
προοπτικές	前景
προοπτικές	展望
προοπτικές	視角
προοπτικές	觀點
σκέλος	strand
παράβαση	侵犯
έξτρα	額外
έξτρα	多餘
ταχυδρομείο	mail
ταχυδρομείο	郵件
ταχυδρομείο	郵寄
ταχυδρομείο	信件
τένις	網球
τακτικής	戰術
μάρκετινγκ	行銷
ανταρσία	叛亂
ανταρσία	叛變
πιάτο	小菜
πιάτο	菜
πιάτο	板
κρίστι	kristi
κρίστι	kristy
αποχή	棄權
αποχή	禁慾
αποχή	棄權
αξιοθέατο	景點
αξιοθέατο	吸引力
αξιοθέατο	吸引
διακύμανση	波動
διακύμανση	變更
διακύμανση	變異
διακύμανση	差異
επιβεβαίωση	確認
επιβεβαίωση	確認
επιβεβαίωση	證實
επιβεβαίωση	確認
επιβεβαίωση	證實
μονομαχία	決鬥
μονομαχία	決戰
πνευμονία	肺炎
δόσεις	劑量
τσουνάμι	海嘯
τσουνάμι	海嘯
φλάουτο	笛
φλάουτο	笛子
συντεχνία	公會
αναίρεση	上訴
αναίρεση	呼籲
αναίρεση	撤銷
αποστολική	使徒
ξηρό	乾燥
ξηρό	乾
εναλλαγή	切換
εναλλαγή	開關
εναλλαγή	切換
εναλλαγή	交換
εναλλαγή	互換
εξήντα	六十
συνήθεις	平時
ανάθεση	委派
ανάθεση	指派
ανάθεση	任務
ανάθεση	轉讓
ανάθεση	代表團
κεραμικά	陶器
κεραμικά	陶藝
κεραμικά	陶瓷
κεραμικά	陶瓷
λη	lee
λη	李
οδηγούς	指南
οδηγούς	嚮導
γέννα	出生
γέννα	分娩
γέννα	生育
γέννα	難產
μπάτλερ	管家
φυσιολογικό	常態
φυσιολογικό	正常
σορτς	短褲
λογικές	合理
λογικές	邏輯
πωλήθηκε	賣
πωλήθηκε	售出
ρόναλντ	ronald
αρίθμηση	編號
φιλελεύθερη	自由主義
μίξη	搭配
μίξη	組合
μίξη	混合
επισημαίνει	突顯
αυτόνομες	自主
βελτιωμένη	改進
βελτιωμένη	改善
βελτιωμένη	改良
προορίζεται	預留
προορίζεται	保留
παραγουάη	巴拉圭
βάρκα	船
βάρκα	船隻
βάρκα	艇
αυθεντική	正宗
ρόλοι	作用
ρόλοι	角色
παχύ	厚
παχύ	厚厚
άγχος	壓力
άγχος	強調
άγχος	應力
άγχος	焦慮
πάουελ	鮑威爾
ιστός	web
ιστός	網
ιστός	網路
ιστός	組織
ιστός	紙巾
ντικ	dick
αμιγώς	純粹
αιμορραγία	流血
αιμορραγία	出血
αιμορραγία	出血
υπουργεία	部委
υπουργεία	各部
καράβι	船
καράβι	船隻
καράβι	艦
καράβι	船舶
καράβι	船
καράβι	船隻
καράβι	艇
φινάλε	殘局
πέμπτος	第五
πέμπτος	第五次
ονδούρα	宏都拉斯
δανεισμού	借貸
δανεισμού	借款
δανεισμού	借用
δανεισμού	借
δανεισμού	借貸
ορισμοί	定義
πνεύμονα	肺
πνεύμονα	龍
δόγματα	學說
εξόντωση	滅絕
εξόντωση	消滅
αντισώματα	抗體
μαγνήσιο	鎂
μέι	may
μέι	梅
μέι	五月份
μέι	五月
μέι	小美
μέι	梅
μέι	mae
υπόμνημα	清單
υπόμνημα	備忘錄
υπόμνημα	備忘錄
θαύματα	奇蹟
θαύματα	奇跡
θαύματα	奇觀
θαύματα	奇跡
καθολικός	天主教
καθολικός	天主教徒
σινεμά	電影院
σινεμά	電影
σινεμά	戲院
κενού	真空
πρόσθετη	附加
ποσειδώνας	海王星
ίντσες	英吋
μογγολίας	蒙古
σύννεφα	雲
σύννεφα	雲彩
ερπετά	爬蟲類
ερπετά	爬蟲類
ψευδαργύρου	鋅
κόλινς	collins
ιδανικά	理想
ιδανικά	理想
φίδι	蛇
τρίχες	頭髮
τρίχες	毛髮
τρίχες	髮型
τρίχες	發
βιταμίνη	維生素
βιταμίνη	維他命
σκόπια	馬其頓
πρακτικό	實用
καταρράκτες	白內障
καταρράκτες	瀑布
καταρράκτες	瀑布
παράξενο	怪
παράξενο	怪異
παράξενο	奇怪
παράξενο	單數
παράξενο	怪
κελιά	細胞
έμμα	艾瑪
έμμα	emma
αφηρημένη	摘要
αφηρημένη	抽象
συναγωγή	會堂
τεχνητό	人工
τεχνητό	人造
προσδοκίες	期望
προσδοκίες	預期
προσδοκίες	期望值
καταδίωξη	跟蹤
καταδίωξη	追求
καταδίωξη	追逐
καταδίωξη	追擊
καταδίωξη	追
καταδίωξη	大通
καταδίωξη	追逐
νικόλα	nikola
επεξεργαστής	cpu
επεξεργαστής	編輯
επεξεργαστής	處理器
διακυμάνσεις	波動
διακυμάνσεις	變異
αφίσα	海報
μάσκα	口罩
μάσκα	面具
μάσκα	面罩
μαραθώνιος	馬拉松
ένοχος	有罪
κυρά	情婦
κυρά	女主人
τζούντο	柔道
ταύρος	牛
ταύρος	公牛
κρουζ	cruz
εξόρυξης	採礦業
εξόρυξης	礦業
εξόρυξης	採礦
οδοί	公路
οδοί	道路
τοπογραφία	地形
σχεδιαστή	設計師
αρετές	美德
ένθετο	插入
ιστοριογραφία	史學
μούσα	musa
καταβολή	付款
καταβολή	支付
κατασκευαστή	製造商
κατασκευαστή	廠商
κατασκευαστή	製造廠商
κουτιά	方框
επικίνδυνες	危險
επικίνδυνες	危險性
γίγαντες	巨人
σταθερός	穩
σταθερός	平穩
σταθερός	穩定
σταθερός	穩步
σταθερός	穩住
σταθερός	穩定
σταθερός	馬廄
κρίσιμο	危急
κρίσιμο	批判
κρίσιμο	臨界
πύραυλο	火箭
κατάστρωμα	甲板
λιβάδι	草原
λιβάδι	草地
μπέντζαμιν	benjamin
ημερολόγια	期刊
ημερολόγια	日曆
εξαγορά	接管
εξαγορά	收購
εξαγορά	購置
ρώσικα	俄語
ρώσικα	俄文
φίδια	蛇
θέρετρο	度假勝地
ελιές	橄欖
οπτικές	光學
στίγμα	職位
στίγμα	位置
στίγμα	立場
ανόργανες	無機
θεραπευτική	治療
βάθρο	講台
βάθρο	主席台
βάθρο	基座
βαγδάτη	巴格達
αυτόνομα	自主
ιδιωτικός	隱私
ιδιωτικός	私人
ιδιωτικός	私營
αίτιο	原因
έλιοτ	elliott
έλιοτ	elliot
κουμπί	按鍵
κουμπί	按鈕
εμπορευμάτων	商品
εμπορευμάτων	貨物
ταξιδεύουν	旅行
άρωμα	香味
άρωμα	芳香
άρωμα	香氣
άρωμα	氣味
άρωμα	芳香
άρωμα	香氣
άρωμα	芬芳
άρωμα	香味
άρωμα	香水
άρωμα	香水
φόρος	納稅
φόρος	稅務
φόρος	稅收
φόρος	稅
φόρος	稅金
αντιδρούν	反應
αντιδρούν	被動
ερασιτέχνες	業餘
διπλωματικό	外交
εξελίχθηκαν	進化
διαιτητή	裁判
διαιτητή	裁判
ιδίωμα	熟語
εδαφική	領土
εχθρικά	敵對
εχθρικά	敵意
εχθρικά	敵視
υφή	紋理
γκεόργκι	georgi
αρκούδα	熊
υπάρχουσες	現存
υπάρχουσες	現有
ακρωτήρι	角
βυθό	海床
βυθό	下方
βυθό	底
βυθό	底部
βυθό	底下
πυρετός	發燒
πυρετός	發熱
πτερύγια	鰭
πτερύγια	襟翼
φωνητική	聲樂
διευθύντρια	主任
διευθύντρια	導演
διευθύντρια	司長
γραφικό	圖形
έφηβος	青少年
έφηβος	少年
έφηβος	青少年
έφηβος	青春期
εθελοντής	志願者
εθελοντής	義工
ηπείρους	大洲
ηπείρους	大陸
ισότοπα	同位素
ήπαρ	肝臟
ήπαρ	肝
γιουγκοσλαβική	南斯拉夫
εθελοντικά	志願者
εθελοντικά	義工
άσχημη	醜八怪
άσχημη	醜
άσχημη	醜陋
ανωμαλίες	異常
δημοσιογράφους	記者
ρινγκ	響鈴
ρινγκ	環
ρινγκ	戒指
ψυχές	靈魂
κωδικοποίηση	編纂
κωδικοποίηση	編碼
κωδικοποίηση	編碼
κατάθεση	沈積
κατάθεση	保證金
κατάθεση	存
κατάθεση	存款
κατάθεση	押金
κατάθεση	證言
κατάθεση	證詞
λάφυρα	戰利品
λάφυρα	掠奪
λάφυρα	侵吞
βέρντι	verdi
παράνομο	非法
διαπραγματεύσεων	談判
πλαστικό	塑料
πλαστικό	塑膠
αναμενόμενη	預計
αναμενόμενη	預期
αναμενόμενη	預計
αναμενόμενη	預期
σεισμούς	地震
σάρκα	血肉
σάρκα	肉體
θραύση	骨折
θραύση	斷裂
βύθιση	沈沒
εκλεγμένος	當選
ανακοινώσεις	故事
ανακοινώσεις	動態
αυθεντικό	正宗
αυθεντικό	原文
αυθεντικό	原件
αυθεντικό	原創
αυθεντικό	原始
αυθεντικό	原
σιντ	sid
δασκάλα	老師
δασκάλα	教師
μαριονέτα	傀儡
μαριονέτα	木偶
φόρεσε	戴
φόρεσε	穿
μαγικό	魔神
μαγικό	魔法
μαγικό	魔術
μαγικό	神奇
μαγικό	魔力
μαγικό	神奇
σπένσερ	spencer
επαρχιακό	省級
βίβλος	聖經
άδη	冥府
άδη	冥王
πυρκαγιές	火災
τζόρνταν	約旦
ερωτικές	色情
ερωτικές	情慾
τραύμα	傷口
τραύμα	損傷
τραύμα	創傷
τραύμα	外傷
ανακαίνιση	整修
ανακαίνιση	翻修
ανακαίνιση	修繕
ανακαίνιση	整修
ανακαίνιση	翻修
ανακαίνιση	翻新
ανακαίνιση	裝修
ανακαίνιση	修繕
ανακαίνιση	整修
ανακαίνιση	翻新
ανακαίνιση	翻修
τρίγωνα	三角形
ασιατική	亞洲
εγκέφαλος	腦子
εγκέφαλος	大腦
εγκέφαλος	腦袋
εγκέφαλος	腦
δίκες	審判
προσκύνημα	朝拜
προσκύνημα	朝聖
ορατός	可見
νυχτερινό	夜行
γυρίζει	紡
διαμαρτυρία	抗議
τριπλό	三重
τζένη	珍妮
τζένη	jenny
γονίδιο	gene
γονίδιο	基因
επαρχιακή	省級
ορθοδοξία	東正教
ορθοδοξία	正統
ακτογραμμή	海岸線
τζόαν	瓊
τζόαν	joan
πυγμάχος	拳手
πυγμάχος	拳擊手
πυγμάχος	拳手
πυγμάχος	鬥士
βομβαρδισμούς	轟炸
πλάσματα	生物
παράνομα	非法
παράνομα	非法
αναρρίχηση	登山
αναρρίχηση	爬升
αναρρίχηση	爬
καίσαρας	凱撒
κάνσας	堪薩斯
κάνσας	堪薩斯州
αισθάνεται	感覺
ράινμουτ	reinmuth
βωμό	祭壇
βωμό	壇
γονιδίων	基因
κλέφτες	小偷
κλέφτες	賊
κλέφτες	盜賊
κλέφτες	竊賊
κιθάρες	吉他
γεύμα	午餐
γεύμα	午飯
γεύμα	餐
γεύμα	飯
ίππους	馬力
διευθυντές	董事
διευθυντές	管理者
σεντάν	轎車
βάρη	加權
βάρη	重量
διαγράφονται	刪除
οξείδια	氧化物
μανιφέστο	宣言
θραύσματα	片段
θραύσματα	碎片
θραύσματα	廢棄物
θραύσματα	碎片
θραύσματα	廢料
θραύσματα	彈片
λύτρα	贖金
εξήγησε	解釋
χάγιεκ	hayek
φλεγμονή	發炎
φλεγμονή	發炎
φλεγμονή	炎症
ορυχείο	礦山
ψηφοφόρων	選民
παραμόρφωση	變形
παραμόρφωση	歪曲
παραμόρφωση	失真
παραμόρφωση	扭曲
αβγά	蛋
αβγά	雞蛋
αβγά	卵
αποδόσεις	產量
ντάνι	danny
βαμβάκι	棉花
βαμβάκι	棉
βαμβάκι	棉質
διαλύτη	溶劑
βερν	verne
βερν	vern
κήποι	花園
διακριτά	離散
λανς	lance
λανς	長矛
προσαρμοστεί	改編
άσχετο	不相干
εγχείρηση	手術
εγχείρηση	行動
εγχείρηση	運算
εγχείρηση	操作
εγχείρηση	手術
εγχείρηση	外科手術
οἱ	這些
τίγρη	虎
τίγρη	老虎
δικτάτορα	獨裁者
ντεν	den
επικρατούσα	主流
τραγική	悲劇
τραγική	悲慘
κονσταντίν	konstantin
προνύμφες	幼蟲
βλέμμα	凝視
πρόθεσή	意圖
πρόθεσή	意向
υπάρχον	現存
υπάρχον	現有
μάγος	巫師
μάγος	魔法師
μάγος	魔法師
μάγος	魔術師
ανίχνευσης	探測
ανίχνευσης	偵測
ανίχνευσης	檢測
οστό	骨
οστό	骨骼
οστό	骨頭
αναταραχή	騷動
αναταραχή	騷亂
αναταραχή	動亂
αναταραχή	動蕩
αναταραχή	動亂
αναταραχή	擾動
αναταραχή	動蕩
ασυνήθιστη	異常
ασυνήθιστη	不尋常
παγίδα	圈套
παγίδα	陷阱
μπαράκ	barack
πνευματικού	氣動
γλυκιά	甜蜜
γλυκιά	甜
πάνελ	小組
πάνελ	面板
ευεργέτες	恩人
ώμο	肩
ώμο	肩膀
ενθαρρύνει	鼓勵
εμπνευσμένο	啟發
εμπνευσμένο	靈感
εμπνευσμένο	鼓舞
χτυπήματα	命中
βοστώνη	波士頓
ακόλουθος	追隨者
ακόλουθος	隨員
ντανιέλ	丹尼爾
ντανιέλ	daniel
ντανιέλ	danielle
κληρονόμος	繼承人
κυψέλη	水泡
κυψέλη	蜂巢
κυψέλη	蜂巢
αμαλία	amalia
ένατο	第九
κάλυμμα	覆蓋
κάλυμμα	封面
κάλυμμα	掩護
προσόντα	合格
προσόντα	資歷
προσόντα	資格
τοίχοι	牆壁
τοίχοι	城牆
τοίχοι	牆
λεγεώνα	軍團
κράτησης	拘留所
κράτησης	拘禁
κράτησης	拘留
κέρμα	硬幣
κέρμα	錢幣
δικηγόρο	律師
βαθμίδες	步驟
ραμόν	ramon
τέρνερ	turner
ορόσημο	里程碑
γονιμότητας	生育率
γονιμότητας	生育
λισαβόνα	里斯本
λισαβόνα	lisbon
παρέλαση	遊行
παρέλαση	巡遊
παρέλαση	閱兵
καζίνο	賭場
καζίνο	賭場
μεσολάβηση	調停
μεσολάβηση	調停
μεσολάβηση	調解
γραπτές	書寫
γραπτές	撰寫
δυνατός	強大
δυνατός	強壯
δυνατός	強烈
δυνατός	強
δυνατός	堅強
