herbert	herbert
pojedinci	posamezniki
pojedinci	posameznike
pojedinci	posameznikov
trst	trst
jorge	jorge
stope	stopnje
stope	stopinje
stope	koraki
izjava	izjavo
izjava	navedba
izjava	izjava
suprotnosti	nasprotja
suprotnosti	nasprotij
suprotnosti	nasprotje
sandra	sandra
jonathan	jonathan
hrabrost	pogum
menadžer	upravnik
menadžer	upravitelj
menadžer	upravljalnik
menadžer	menedžer
piramida	piramide
piramida	piramido
piramida	piramida
piramida	piramide
podjeli	pregrada
podjeli	porazdelitveni
kapitala	kapitala
kapitala	prestolnica
kapitala	kapital
garcia	garcia
gonzález	gonzález
čvor	vozlišče
čvor	vozel
bek	beck
bek	podajalec
musa	musa
eduard	eduard
odgovarajući	ujemanja
odgovarajući	ujemanje
udovica	vdovo
udovica	vdove
udovica	vdova
tumačenje	razlago
tumačenje	tolmačenje
tumačenje	razlaga
podgorica	podgorica
harmonika	orglice
harmonika	harmonika
spora	spore
spora	spor
trgovac	trgovec
trgovac	trgovec
trgovac	trgovec
poslovi	zaposlitve
legendarni	legendarna
legendarni	legendarno
legendarni	legendarni
klasificira	razvršča
želeći	želeti
želeći	željo
želeći	želja
miljenko	miljenko
obveza	obveznost
obveza	obveznosti
obveza	obveza
obveza	zavezo
obveza	zaveza
obveza	zavezanost
hooper	hooper
radovan	radovan
nebeska	nebeško
nebeska	nebeški
nebeska	nebesni
rukopis	pisava
rukopis	rokopis
postignut	dosežen
postignut	dosežena
postignut	doseženo
postignut	dosežene
dostupne	razpoložljivi
dostupne	razpoložljiva
ulaganja	vlaganje
ulaganja	naložbe
ulaganja	investicije
ulaganja	naložba
ulaganja	naložbe
ulaganja	investicije
sahranjen	zakopan
sahranjen	zakopano
sahranjen	pokopani
sahranjen	pokopan
sahranjen	pokopana
pregovori	pogajanje
pregovori	pogajanja
pregovori	pogajanja
novčanice	račune
novčanice	računi
šteta	usmiljenje
šteta	usmiljenja
šteta	škoda
hlađenja	hlajenje
lisica	fox
lisica	lisica
lisica	lisjak
napetosti	napetost
napetosti	napetosti
napetosti	napetosti
najmanja	najmanjšega
najmanja	najmanjše
najmanja	najmanjši
najmanja	najmanjša
lazar	lazarus
lazar	lazar
lazar	lazar
litara	litrov
litara	litrov
litara	litrov
prepoznati	prepoznal
prepoznati	prepoznati
whitley	whitley
milorad	milorad
nezadovoljstvo	nezadovoljstvo
nezadovoljstvo	nezadovoljstvo
cestom	pot
cestom	cesta
definirana	opredeljen
definirana	opredeljeni
definirana	opredeljeno
definirana	opredeljena
nebeski	nebeško
nebeski	nebeški
okrunjen	kronan
dubravko	dubravko
udaljeno	oddaljen
udaljeno	oddaljeno
udaljeno	oddaljeni
udaljeno	oddaljena
udaljeno	oddaljen
udaljeno	oddaljeno
udaljeno	oddaljeni
udaljeno	oddaljenih
udaljeno	oddaljena
fernández	fernández
islanda	islandija
islanda	islandijo
islanda	islandije
smanjen	zmanjšan
smanjen	zmanjšana
smanjen	znižana
smanjen	zmanjšano
smanjen	zmanjšani
evolucija	evolucijo
evolucija	razvoj
evolucija	evolucija
prijateljstvo	prijateljstvo
prijateljstvo	prijateljstva
poletio	letel
poletio	poletela
poletio	letela
ulmus	ulmus
francuza	francoza
francuza	francoz
jose	jose
jose	josé
jose	jose
jose	josé
tehnološki	tehnološko
tehnološki	tehnološke
tehnološki	tehnološka
tehnološki	tehnološko
tehnološki	tehnološki
blake	blake
neuspjeh	neuspeh
neuspjeh	izpad
savršeno	popolna
savršeno	popoln
savršeno	popolno
elvis	elvis
elvis	elvisa
carska	cesarski
carska	carski
carska	imperial
vena	vene
vena	žilo
vena	veno
skoplje	skopje
ram	ram
ram	rama
cao	cao
rukopisa	pisava
rukopisa	rokopisi
rukopisa	rokopis
nedjelja	nedeljsko
nedjelja	nedeljo
nedjelja	nedelje
nedjelja	nedeljski
nedjelja	nedelja
bjelokosti	slonokoščeni
doktorat	doktorat
doktorat	doktorat
churchill	churchill
psa	dog
psa	pasja
psa	kuža
psa	pasji
psa	pes
vaše	tvoje
vaše	tvoji
vaše	vaš
vaše	tvoj
vaše	tvoja
vaše	vaša
felix	felix
koeficijent	koeficient
proslave	praznovanja
ubijena	umorili
ubijena	umorjen
ubijena	umorjena
ubijena	umorjeni
mlijeka	mlečni
mlijeka	mleka
mlijeka	mleko
motiva	motiv
motiva	motive
motiva	motivi
porta	porta
snijeg	snega
snijeg	sneg
ravna	ravna
ravna	stanovanje
domovina	domovina
domovina	dežela
domovina	država
domovina	državo
domovina	domovino
domovina	domovinska
domovina	domovina
objavljivanje	objava
objavljivanje	objavo
objavljivanje	objavljanje
objavljivanje	napotitvi
objavljivanje	objavljanje
objavljivanje	izdajanje
objavljivanje	objavo
objavljivanje	objavljanje
nadvojvoda	nadvojvoda
atomi	atomov
atomi	atomi
bratstva	bratovščine
bratstva	bratovščina
bratstva	bratovščino
bratstva	bratstvo
bratstva	bratovščina
bratstva	bratstvo
diktature	diktature
poštovanje	spoštovanja
poštovanje	spoštovati
poštovanje	spoštovanje
poštovanje	spoštuj
nude	daritev
nude	ponuja
jar	kozarec
obična	navadna
obična	navadni
imanje	posest
imanje	posestvo
reich	rajh
istarski	istrsko
rama	rama
rama	rami
zatvara	zapre
bilja	zelišča
mons	mons
ferrari	ferrari
reagira	reagira
reagira	odzivnost
barnard	barnard
dokazuje	dokazuje
goveda	govedo
goveda	živina
goveda	goveda
argentinski	argentinska
komunistički	komunistično
komunistički	komunist
komunistički	komunistična
komunistički	komunistični
moskvu	moskvi
moskvu	moskva
stavi	postavi
obećao	obljubljeno
obećao	obljubil
znajući	vedoč
zaštićeni	zaščiteno
zaštićeni	zaščitena
zaštićeni	zaščiteni
zaštićeni	zaščiten
hughes	hughes
vidljive	vidno
vidljive	vidni
vidljive	viden
vidljive	vidna
procese	procesi
procese	postopki
procese	procesov
izbjegao	izognili
izbjegao	izogibati
izbjegao	izognil
izbjegao	izognil
curtis	curtis
marx	marx
ujedinjeni	združeni
ujedinjeni	združena
ujedinjeni	združene
ujedinjeni	united
ujedinjeni	združeno
opcija	možnost
temeljni	temeljno
temeljni	temeljna
ovisnost	odvisnosti
ovisnost	odvisnost
ovisnost	odvisnost
ovisnost	zasvojenost
plinovi	plinov
plinovi	plini
tunela	predori
tunela	tuneli
tunela	tunelov
dennis	dennis
dennis	denis
arterija	arterijo
arterija	arterija
arterija	arterije
arterija	arterij
bor	bor
bor	pine
hendrix	hendrix
financija	finance
financija	financiranje
obljetnica	obletnico
obljetnica	obletnica
lorenzo	lorenzo
apsolutno	absolutno
salvador	salvador
građanin	državljan
građanin	meščan
dario	dario
vjerovali	verjel
vjerovali	verjela
vjerovali	verjeli
vjerovali	zaupanja
zenica	zenica
radno	dela
radno	delo
radno	dela
radno	delovna
radno	delovno
radno	delovni
mirage	privid
preživjelih	preživelih
preživjelih	preživele
preživjelih	preživeli
opisana	opisano
opisana	opisane
opisana	opisan
opisana	opisani
opisana	opisana
okružuje	obdaja
okružuje	obkroža
okružuje	okoliških
okružuje	obdaja
bantu	bantu
makarska	makarska
naučiti	naučil
hebrejski	hebrejsko
albanija	albanije
albanija	albaniji
albanija	albanijo
albanija	albanija
balada	balado
srbe	srbi
wolfgang	wolfgang
aerodrom	letališče
virovitica	virovitica
din	din
din	dekan
din	dean
slavenski	slovanske
zastupnici	namestniki
zastupnici	zakonodajalci
atom	atom
mladu	nevesto
mladu	nevesta
mladu	nevesti
leopard	leopard
lijep	lep
lijep	prijetno
lijep	lepo
pijesak	peska
pijesak	peščena
pijesak	pesek
pijesak	peščeni
armenski	armenski
konstantno	neprekinjeno
konstantno	konstantno
konstantno	nenehno
konstantno	konstanta
konstantno	stalno
vaš	tvoje
vaš	tvoji
vaš	vaš
vaš	tvoj
vaš	tvoja
vaš	vaša
castro	castra
castro	castro
#dddddd	#dddddd
raja	raja
raja	nebes
raja	nebesa
raja	paradiž
raja	raj
raja	paradise
manastira	samostanov
full	poln
full	full
full	polno
full	polni
full	polna
povećan	povečana
povećan	povečan
povećan	povečano
povećan	zvišana
prefektura	prefekture
opisati	opisati
opisati	opišite
misu	maso
misu	mase
misu	mass
misu	masa
autonomna	avtonomne
autonomna	samostojno
autonomna	avtonomna
spremnik	tanka
spremnik	rezervoar
spremnik	tank
spremnik	zabojnik
spremnik	posoda
efekti	učinki
efekti	vplivi
violinu	violina
violinu	violino
povjerenstvo	komisija
povjerenstvo	provizija
atmosfera	ozračje
atmosfera	atmosfera
atmosfera	atmosfero
atmosfera	vzdušje
pristaše	podporniki
abraham	abraham
zvezda	zvezdica
zvezda	zvezdo
zvezda	zvezda
ice	led
ice	ice
ice	ledom
atrakcija	zanimivost
atrakcija	atrakcija
atrakcija	privlačnosti
atrakcija	privlačnost
atrakcija	zanimivosti
izjave	izjave
izjave	izjavi
lipa	ustnice
lipa	ustnico
litve	litva
litve	litvi
litve	litvo
liang	liang
staklo	steklo
staklo	stekla
staklo	kozarec
staklo	steklena
lang	lang
biskupi	škofje
negativno	negativen
negativno	negativna
negativno	negativno
negativno	negativni
prestižnu	prestižno
milovan	milovan
biljni	zeliščni
zapošljava	zaposluje
prince	princa
prince	prince
prince	knez
prince	princ
gov	gov
leća	lečo
leća	leče
leća	objektiv
leća	leča
leća	lečo
leća	leča
leća	leče
ponudi	ponudba
ponudi	ponudbo
skladišta	skladišče
skladišta	skladišča
ikona	ikona
pueblo	pueblo
velebit	velebit
main	glavne
main	main
main	glavni
main	glavno
main	glavna
usmjerena	režiral
usmjerena	usmerjeno
usmjerena	usmerjeni
usmjerena	usmerjena
prikazivanje	prikazovanje
prikazivanje	prikazovanje
pećina	votlina
pećina	jamo
pećina	jama
pećina	jami
preci	predniki
mehmed	mehmed
dres	dres
dres	jersey
voyager	voyager
ralph	ralph
lišće	listje
lišće	listi
lišće	listov
mještani	domačini
inspiriran	navdih
lubanja	lobanjo
lubanja	lobanje
lubanja	lobanja
proze	proza
pokrenula	izstreljena
sfr	sfr
mare	mare
mare	kobila
mare	kobilo
projekcija	projekcija
projekcija	projekcijo
isteka	potek
dominik	dominic
dominik	dominik
bear	medo
bear	medvedka
bear	medvedje
bear	medved
bear	medvedek
kraći	krajša
kraći	krajšo
kraći	krajši
kraći	krajše
primirje	premirje
studiji	studios
obnavlja	obnavlja
mitchell	mitchell
kljun	kljun
jasenovac	jasenovac
neprijatelji	sovražniki
neprijatelji	sovražnike
neprijatelji	sovražnikov
izložen	izpostavljen
izložen	izpostavljeni
izložen	izpostavljena
izložen	izpostavljeno
izložen	izpostavljene
podjelu	pregrada
podjelu	porazdelitveni
une	une
tan	tan
luna	luna
zvjezdana	stellar
zvjezdana	zvezdno
zabrane	prepovedi
fotograf	fotografa
fotograf	fotograf
fotograf	fotografinja
greben	greben
greben	čeri
alen	allen
alen	alen
božice	boginje
bože	boga
bože	bog
make	naredi
mirjana	mirjana
ansambl	ansambel
edo	edo
divlji	divja
divlji	wild
divlji	divje
divlji	divji
rijetka	redki
rijetka	redko
nichols	nichols
bon	bon
singer	pevka
singer	singer
singer	pevec
bački	bački
joan	joan
hardcore	hardcore
nila	nila
nila	nil
otpornost	odpornost
spisateljica	pisec
spisateljica	pisateljica
spisateljica	pisatelj
ten	tan
otpad	odpadni
otpad	ostanki
otpad	odpadki
otpad	odpadke
intermedia	intermedia
spremni	pripravljeni
spremni	pripravljena
spremni	pripravljen
dvorište	dvorišče
dvorište	dvorišče
dvorište	ladjedelnica
dvorište	dvorišče
pogreške	napake
pogreške	napake
lisa	lisa
lisa	liso
uporište	stronghold
oslobodio	osvobojen
oslobodio	osvobodil
mlečani	benečani
marsa	mars
kemija	kemija
kemija	kemijo
groba	grob
groba	groba
konjic	konjic
rossi	rossi
marketing	marketing
marketing	trženje
izložena	izpostavljen
izložena	izpostavljeni
izložena	izpostavljena
izložena	izpostavljeno
izložena	izpostavljene
mlijeko	mlečni
mlijeko	mleka
mlijeko	mleko
označeni	označena
označeni	označeni
označeni	označen
označeni	označene
označeni	označeno
znakove	znamenja
znakove	znake
znakove	znaki
znakove	znakov
legije	legije
počast	poklon
tehničar	tehnik
tehničar	tehnika
gljiva	goba
gljiva	gobe
perković	perković
generator	generatorja
generator	generator
peruu	peruja
peruu	peru
peruu	peruju
ispit	test
ispit	preskus
ispit	preizkus
ispit	izpit
tak	tak
poslužitelj	strežnik
pomak	izmeno
pomak	premik
pomak	zamik
pomak	odmik
inicijativa	pobuda
inicijativa	pobudo
wien	wien
gubitaka	izgube
gubitaka	izguba
jabuka	jabolka
jabuka	jabolčni
jabuka	apple
jabuka	jabolko
oton	oton
bihać	bihać
pearl	pearl
pearl	biser
božanstvo	božanstvo
božanstvo	božanski
morris	morris
nastava	poučevanje
nastava	razredi
nastava	pouk
nedavni	nedavne
nedavni	nedavno
nedavni	nedavna
vjerska	verske
vjerska	verski
vjerska	versko
vjerska	verska
vjerska	verskega
baterije	baterija
baterije	baterijo
baterije	baterije
baterije	akumulator
baterije	akumulatorji
baterije	baterije
meksički	mehiško
meksički	mehiški
meksički	mehičan
meksički	mehiška
sicilije	sicilija
ćelija	celico
ćelija	celice
ćelija	celic
ćelija	celica
rothschild	rothschild
uvjerenja	prepričanja
uvjerenja	prepričanj
uvjerenja	verovanja
brojeve	številke
brojeve	števila
pjevao	pel
krater	krater
vitamin	vitamina
vitamin	vitamin
aplikacija	zahtevek
aplikacija	vloga
aplikacija	app
aplikacija	aplikacija
aplikacija	aplikaciji
aplikacija	aplikacijo
torino	torino
igračke	igrač
igračke	igračke
igračke	igrače
šupljine	votline
spašavanje	prihranek
spašavanje	reševanje
spašavanje	varčevanje
spašavanje	shranjevanje
spašavanje	reševalna
spašavanje	reševanje
wei	wei
stambene	stanovanjske
stambene	stanovanjska
stambene	stanovanjsko
stambene	stanovanjskih
stambene	stanovanjski
vrhova	vrhov
vrhova	vrhovi
glover	glover
čuda	čudežev
čuda	čudeži
čuda	čudeže
čuda	čudes
čuda	čudeže
čuda	čudeži
dublje	globlje
dublje	globlji
opsada	obleganje
springs	vzmeti
prodor	preboj
turista	turistična
turista	turistični
turista	turistične
turista	turist
turista	turistično
turista	turiste
turista	turisti
kampanja	kampanje
kampanja	kampanjo
kampanja	kampanja
obveze	obveznosti
obveze	zaveze
obveze	obveznosti
obveze	obveze
obveze	obveznost
obveze	obveznosti
obveze	obveza
puebla	puebla
mara	mara
odredište	destinacija
drvena	lesen
drvena	leseno
drvena	lesena
drvena	leseni
drvena	les
drvena	wood
drvena	lesena
drvena	lesa
drvena	lesni
drvena	leseno
pošta	mail
pošta	pošta
cska	cska
predavač	predavatelj
fontana	fontana
fontana	vodnjak
fontana	fontana
fontana	fontan
sektora	sektor
sektora	sektorji
sektora	sektorje
faust	faust
duke	vojvodo
duke	duke
duke	knez
duke	vojvoda
boban	boban
andreas	andreas
piramide	piramide
piramide	piramido
piramide	piramida
piramide	piramide
glad	lakota
glad	lakota
glad	lakote
glad	lakoto
zeleno	zeleno
zeleno	zelene
zeleno	green
zeleno	zeleni
zeleno	zelena
dick	tič
dick	dick
izbjeglice	begunci
izbjeglice	beguncev
senj	senj
spojena	združeni
spojena	združena
zastupljenost	zastopanje
zastupljenost	ponazoritev
zastupljenost	predstavništvo
putanje	poti
putanje	poteh
izumio	izumili
izumio	izumil
trogir	trogir
izvješća	poročila
izvješća	poročili
zabave	pogodbenice
zabave	zabave
zabave	stranke
varijacije	različice
varijacije	variacije
varijacije	variacije
sánchez	sánchez
siriji	sirija
siriji	sirijo
siriji	siriji
siriji	sirije
vrti	predenje
vrti	vrtenje
khl	khl
postojeći	obstoječa
postojeći	obstoječo
postojeći	obstoječe
postojeći	obstoječi
standardna	standardna
standardna	standardno
standardna	standard
aluminija	aluminijev
aluminija	aluminij
aluminija	aluminija
aluminija	aluminij
vozi	vožnja
vozi	pogon
vozi	vozi
donald	donald
naredbe	ukazi
naredbe	ukaze
naredbe	naročila
naredbe	ukazi
naredbe	ukaz
umjetni	umetne
umjetni	umetna
umjetni	umetno
umjetni	umetni
umjetni	umetnega
profesionalno	profesionalno
profesionalno	strokovna
profesionalno	strokovno
profesionalno	poklicna
profesionalno	poklicne
profesionalno	strokovni
profesionalno	profesionalno
profesionalno	poklicno
okus	okus
okus	okusi
okus	okus
tropske	tropske
tropske	tropski
tropske	tropskih
canis	canis
almanah	almanah
poplava	poplave
poplava	poplavo
poplava	poplava
poplava	poplave
poplava	poplav
poplava	poplava
poplava	poplave
poplava	poplav
sergio	sergio
primjeni	uveljavi
tramvaj	tramvaj
tramvaj	voziček
tramvaj	tramvaj
tramvaj	tramvaja
kraljevsko	kraljevi
kraljevsko	kraljevsko
kraljevsko	royal
kraljevsko	kraljevo
sim	sim
sim	sim
bosanskih	bosanski
leone	leone
leone	leon
probiti	prodreti
urb	urb
ukratko	kratki
ukratko	kratko
ukratko	kratek
ukratko	kratka
ukratko	kratke
pjevala	pel
japansko	japonski
japansko	japonsko
japansko	japonci
japansko	japonec
japansko	japonska
pečat	žig
pečat	žiga
pečat	pečat
ebert	ebert
prehrane	prehrana
prehrane	prehrano
prehrane	prehrani
prehrane	prehranske
natječaj	ponudba
natječaj	tekmovanje
natječaj	natečaj
natječaj	natečaja
esejist	esejist
violina	violina
violina	violino
maxim	maxim
jurica	jurica
počinio	predano
počinio	storjena
vidović	vidović
proteina	beljakovin
proteina	protein
proteina	proteini
proteina	beljakovine
odbacio	odpuščen
lyon	lyon
osvajača	napadalci
osvajača	vsiljivci
danilo	danilo
barcelone	barcelono
barcelone	barcelona
augustin	augustin
miles	kilometre
miles	milje
miles	kilometri
miles	miles
miles	kilometrov
miles	milj
zrcala	ogledal
zrcala	ogledali
zrcala	ogledala
zaštitnika	pokrovitelj
esej	spis
esej	esej
izbijanja	izbruha
izbijanja	izbruh
postizanje	doseganje
postizanje	doseganje
konvencije	konvencij
konvencije	konvencije
konvencije	konvencija
konvencije	konvencijo
konvencije	konvencije
odražava	odseva
odražava	odraža
iznutra	znotraj
iznutra	notri
grijeha	greha
grijeha	greh
karakterističan	značilen
bratstvo	bratovščina
bratstvo	bratovščino
bratstvo	bratstvo
bratstvo	bratovščina
bratstvo	bratstvo
dinara	dinar
dinara	dinarjev
pgp	pgp
vlakana	vlaken
vlakana	vlakno
vlakana	vlakna
krzno	dlako
krzno	kožuh
krzno	krzno
satima	urami
satima	ure
satima	urah
satima	ur
vuka	volka
vuka	wolf
vuka	volčji
vuka	volk
pokrenuta	izstreljena
deutsche	deutsche
glasine	govorice
glasine	govorica
glasine	govorice
glasine	govorice
glasine	govorica
glasine	govorice
radionica	delavnica
radionica	delavnice
radionica	delavnico
vjenčanja	porok
vjenčanja	poroke
camp	taborišče
camp	kamp
camp	camp
camp	tabor
britaniju	britanija
britaniju	britanijo
revoluciju	revolucijo
revoluciju	revolucije
revoluciju	revolucija
maribor	maribor
hampshire	hampshire
leptir	metulja
leptir	metulj
prikazano	prikazano
prikazano	prikazan
prikazano	prikazana
prikazano	prikazanih
prikazano	prikazano
prikazano	prikazane
prikazano	prikazan
prikazano	predstavljeni
prikazano	predstavljeno
prikazano	predstavljene
prikazano	predstavljena
prikazano	predstavljenih
prikazano	predstavljen
ubojice	ubijalci
ubojice	morilci
ubojice	morilci
ubojice	morilci
tvrdeći	prepir
glasom	glas
suha	suha
suha	suhi
suha	suhe
suha	posuši
suha	suho
komercijalno	komercialno
bora	bora
nakai	nakai
hunt	hunt
hunt	lov
uši	uši
uši	ušes
uši	ušesi
uši	ušesa
bitaka	bitke
bitaka	bitk
graf	graf
graf	graf
potpora	podporo
potpora	podpore
potpora	podpora
baterija	baterija
baterija	baterijo
baterija	baterije
baterija	akumulator
mita	podkupnine
fritz	fritz
acer	acer
poznavanje	znanja
poznavanje	poznavanje
poznavanje	znanje
atlanta	atlanti
atlanta	atlanto
historia	historia
petru	petra
vjenčanje	poroka
vjenčanje	poroke
vjenčanje	poroko
kuge	kuge
kuge	kugi
kuge	kugo
kuge	kuga
kurt	kurt
pomogli	pomagala
pomogli	pomagal
pomogli	pomagalo
sul	sul
zahvalnosti	hvaležnost
zahvalnosti	hvaležnosti
gene	gene
gene	gen
bojan	bojan
ekološki	ekološki
ekološki	ekološka
ekološki	ekološko
vice	vice
vice	podpredsednik
parovi	pari
parovi	parov
uništavanje	razdejanje
uništavanje	uničenje
uništavanje	uničevanje
horor	groza
horor	grozljivke
horor	grozljivka
linux	linux
dinko	dinko
faraon	faraon
zenit	zenith
liječnici	zdravnikov
liječnici	doktorji
liječnici	zdravniki
liječnici	zdravnike
zamjene	zamenjave
susjeda	sosedo
susjeda	sosed
susjeda	soseda
susjeda	sosed
susjeda	soseda
ahmed	ahmed
tekuće	teku
tekuće	tekoče
tekuće	tekočine
tekuće	tekoča
tekuće	tekočina
tekuće	tekoči
molio	molila
molio	molil
molio	prosil
preuzimanja	prenosi
preuzimanja	prejemanja
malus	malus
ograničeno	omejena
ograničeno	omejene
ograničeno	omejen
ograničeno	omejeno
ograničeno	omejeni
ograničeno	omejen
ograničeno	omejena
ograničeno	omejeno
ograničeno	omejeni
testiranje	preskušanje
testiranje	testiranje
testiranje	preizkušanje
dog	dog
dog	pasja
dog	kuža
dog	pasji
dog	pes
definicije	definicije
definicije	opredelitve
definicije	opredelitev
definicije	definicija
audi	audi
tokyo	tokio
pronađe	najde
besplatno	svoboden
besplatno	prosto
besplatno	free
besplatno	svobodna
besplatno	brezplačno
besplatno	brezplačna
forest	gozda
forest	gozd
forest	gozdni
forest	gozdovi
promatranje	opazovati
promatranje	opazovanje
promatranje	opazovanja
promatranje	opazovanje
karen	karen
kukuruz	koruza
kukuruz	koruzo
posthumno	posmrtne
posthumno	posmrtno
chamberlain	chamberlain
trening	trening
trening	usposabljanja
trening	treningi
trening	usposabljanje
trening	vaje
trening	trening
trening	vaja
trening	praksi
trening	prakse
trening	praksa
trening	trening
trening	vadba
trening	telovadba
trening	vadbe
poduzetnik	podjetnik
poljoprivredne	kmetijska
poljoprivredne	kmetijske
poljoprivredne	kmetijsko
poljoprivredne	kmetijski
grebena	grebeni
catherine	catherine
catherine	katarina
studentima	dijaki
studentima	študentje
studentima	študenti
studentima	študente
studentima	učenci
spiraea	spiraea
pretpostavke	predpostavke
pretpostavke	domneve
anđeli	angele
anđeli	angelov
