конференцию	konferencija
финансы	finansų
финансы	finansai
финансы	finansai
финансы	finansus
справки	tyrimus
тормоза	stabdys
тормоза	stabdžiai
тормоза	stabdžių
тормоза	stabdymas
тормоза	stabdžiai
камбоджи	kambodžos
камбоджи	kambodža
отрывки	ištraukas
паром	keltų
паром	keltu
ульрих	ulrich
спад	recesija
спад	nuosmukis
босс	bose
босс	bosas
религиозное	religinių
свинца	švino
депортации	deportacijos
депортации	deportuotas
муссолини	mussolini
декрет	dekretas
морали	moralę
морали	dėsnis
ханна	hana
тайм	laiko
тайм	laikas
национализм	nacionalizmas
карлсруэ	karlsruhe
кеннет	kenneth
коров	karvės
коров	karvė
коров	karvių
внука	anūkas
хавьер	javier
беспорядков	riaušės
беспорядков	neramumai
рекламные	skatinimo
лаура	laura
сингапуре	singapūre
сингапуре	singapūro
сингапуре	singapūras
заместители	pavaduotojai
биеннале	biennale
джакомо	giacomo
моллюсков	vėžiagyvių
уотсон	watson
отрицание	neigimas
волокон	pluoštai
волокон	pluoštų
господь	viešpatie
свобод	laisves
полезный	naudinga
камеруна	kamerūnas
бэтмен	betmenas
преступник	nusikaltėlis
гари	gari
иудаизм	judaizmas
торрес	torres
телескопа	teleskopo
точками	taškai
кредит	paskolos
кредит	paskola
пламя	liepsna
пламя	liepsnos
пламя	liepsnos
ярмарка	sąžiningą
флоренция	florencijos
хонсю	honšiu
осторожно	atsargiai
благодарности	dėkingumą
бела	bela
бела	béla
журналистка	žurnalistai
журналистка	žurnalistas
несет	paims
конкретное	konkrečių
критически	kritiškai
тихонов	tichonovas
надзор	priežiūra
надзор	priežiūros
надзор	priežiūra
сознании	sąmoningo
дрезден	dresden
рубль	rublis
аркадия	arkadija
поверхностей	paviršiai
поверхностей	paviršių
регламент	reglamentai
социализм	socializmas
абдулла	abdullah
лишнее	nereikalingos
лишнее	nereikalingų
лишнее	nereikalingi
разместил	nustačiusi
сгорел	sudegino
делегация	delegacija
делегация	pavedimas
спины	nugarų
юридическая	teisinių
мусор	šiukšlių
мусор	šiukšlių
аппаратура	įrangos
аппаратура	įranga
робертс	roberts
лин	ling
эффективного	veiksmingai
демонов	demonai
признает	pripažįsta
цивилизация	civilizaciją
цивилизация	civilizacija
цивилизация	civilizacijos
цивилизация	civilizacija
пересмотреть	peržiūra
наследования	paveldėjimo
эфира	eteryje
микки	mikis
микки	miki
позвоночных	stuburiniams
мандат	įgaliojimai
мандат	mandatas
лингвистика	kalbotyra
африканский	afrikos
африканский	afrika
успешные	sėkmingai
делегаты	delegatai
выжить	išgyventi
выжить	išgyventi
кэри	keris
кэри	carey
цитирую	citatą
цитирую	citata
корсика	korsika
мудрости	išmintis
мудрости	išminties
рам	ram
копенгагене	kopenhagos
копенгагене	kopenhaga
сухие	sausa
сухие	sausas
сухие	sausos
альфонс	alfonsas
искусственные	dirbtinių
искусственные	dirbtinis
искусственные	dirbtinė
китайское	kinų
китайское	kinijos
китайское	kinas
сьюзан	siuzana
авто	auto
авто	automatinė
славяне	slavai
ярмарки	mugės
ярмарки	mugėse
живое	gyventi
живое	gyvenimo
живое	gyvos
кун	kun
кун	meškėnų
кун	kuhn
возражаю	protestas
возражаю	prieštaravimo
возражаю	prieštaravimas
арно	arno
арно	arnaud
абрамов	abramovas
соображения	atspindžiai
резня	žudynės
резня	skerdynės
резня	skerdimo
астон	aston
приятно	gražiai
приятно	gražus
приятно	gražūs
приятно	gražu
ганы	gana
магазинах	parduotuvės
магазинах	parduotuvėse
оценили	vertinamas
вирт	wirth
похищение	grobimo
похищение	pagrobimas
химики	chemikų
катерина	katerina
катерина	katerina
катерина	caterina
черепаха	vėžlys
репутации	reputaciją
репутации	ry
репутации	reputacija
выживших	išgyvenusiųjų
соня	miegapelė
соня	sonja
сегментов	segmentai
методологии	metodologija
методологии	metodika
методологии	metodikas
семейное	šeima
семейное	šeimos
семейное	šeimyna
азиатов	azijiečių
доминго	domingo
перестройка	pertvarka
перестройка	restruktūrizavimo
перестройка	restruktūrizavimas
мун	mun
мун	palydovas
туристический	turistai
туристический	turizmo
ура	valio
имам	imam
гарсиа	garcía
кэрол	kerol
шрифт	šriftas
шрифт	šrifto
браков	santuokų
раиса	raisa
дюма	diuma
мюррей	murray
ящик	dėžė
ящик	langelyje
ящик	dėžutė
равномерно	tolygiai
клавдий	klaudijus
тодд	todai
фуа	foie
почки	inkstai
ингушетии	ingušija
висконсин	viskonsino
монстров	monstrai
настаивал	reikalavo
живущие	gyventi
живущие	gyvenimo
живущие	gyvos
абсолютное	absoliutas
абсолютное	absoliutus
сегмента	atkarpa
диагностика	diagnostiniai
диагностика	diagnostika
диагностика	diagnostikos
диагностика	diagnozės
диагностика	diagnozė
диагностика	diagnostika
диагностика	diagnostika
поправка	pakeitimas
пистолеты	pistoletai
пистолеты	ginklus
пистолеты	ginklų
пистолеты	ginklai
скелет	skeletas
слабый	silpną
слабый	silpnas
террор	teroro
лодку	valties
лодку	valtis
ассамблея	susirinkimas
ассамблея	mazgas
ассамблея	surinkimo
милосердия	pasigailėjimo
учета	apskaita
ассоциаций	asociacijos
ассоциаций	asociacijoms
принес	atnešė
зак	zak
зак	zac
зимняя	žiemos
зимняя	žiemą
зимняя	ziema
зимняя	žiema
чайковский	čaikovskis
иезуитов	jėzuitų
стили	parengtus
пёс	suo
пёс	šuo
выдержки	ištraukos
выдержки	ekstraktai
биологи	biologų
евангелия	evangelijas
миры	pasauliai
гнев	pyktis
гнев	rūstybė
гнев	pykčio
убийц	žudikai
убийц	meistrų
титов	titovas
ники	nicki
наступательных	puolimas
ощущения	pojūčius
ощущения	jausmas
ливане	libanas
родные	šeima
родные	šeimos
родные	šeimyna
кострома	kostroma
печь	viryklės
печь	krosnių
печь	krosnies
печь	krosnis
печь	orkaitėje
печь	krosnis
дневники	žurnalai
дневники	dienoraščiai
растет	auga
департаментов	departamentai
химки	khimki
американец	amerikos
парадокс	paradoksas
старшие	vyr
старшие	vyresnysis
колокол	bell
красиво	graži
красиво	gražu
активист	aktyvistas
американо	americano
цветёт	žydinčių
гриб	grybai
нога	kojos
богданович	bogdanovičius
исчезла	dingo
плохая	blogai
плохая	bloga
плохая	blogas
плохая	blogi
степь	stepė
конкурентов	konkurentų
конкурентов	konkurentai
пятницу	penktadienis
пятницу	penktadienį
итальянцы	italai
пуатье	puatjė
аристократии	aristokratija
чувствительность	jautrumas
чувствительность	jautris
ускорение	akceleracijos
возвращено	grąžintas
сертификации	sertifikavimo
сертификации	sertifikavimas
клинике	klinika
клинике	klinikos
клинике	klinikoje
солнечные	saulėta
сдался	atsisakyta
сдался	atiduodami
бактерии	bakterijų
бактерии	bakterijas
бактерии	bakterija
бактерии	bakterijos
экспериментальных	eksperimentinių
тёплый	šiltas
тёплый	šilta
тёплый	šiltai
тёплый	šiltos
уменьшает	sumažėja
тигр	tiger
тигр	tigras
пионер	pioneer
насекомыми	vabzdžiai
насекомыми	vabzdžių
эрнандес	hernandez
ньютона	niutonas
хозяева	kapitonai
рама	ram
рама	rama
алексеевка	aleksejevka
цзы	zi
лицензий	licencijos
лицензий	licenzijos
измене	išdavystę
изучил	tiriamas
зои	zoja
освобождены	išleistas
экспериментальные	eksperimentinių
троцкий	trockis
угрожает	grėsmę
знакомый	pažįstamas
знакомый	matytas
булгаков	bulgakovas
роджерс	rodgers
мирные	ramu
мирные	taikus
мирные	taikaus
коул	cole
конвой	konvojus
отделы	skyriai
отделы	kvadratai
биржи	mainų
расчет	apskaičiavimas
расчет	skaičiavimas
полет	skrenda
полет	skraidyti
полет	skrydžio
полет	skrydis
вавилон	babilonas
красота	gražuolė
красота	grožis
подача	pikis
нейтральный	neutralus
хулио	julio
сеуле	seule
мониторинг	stebėjimas
мониторинг	stebėsena
мониторинг	stebėsenos
вече	veche
крестоносцев	kryžiuočiai
посещаемость	dalyvavimą
посещаемость	dalyvavimas
клер	clare
клер	kler
подводного	povandeninis
подводного	povandeninių
стреляет	šaudo
циклы	ciklų
циклы	ciklai
циклы	ciklas
препятствия	kliūtis
товар	prekė
видения	vizijas
юристов	teisininkai
юристов	advokatai
зеленый	žalia
объектив	lęšiai
чистые	grynas
чистые	aiški
чистые	švarus
чистые	švari
каталоги	katalogai
талантливый	talentinga
талантливый	talentingas
стратегическое	strateginiai
собрали	surinkti
привлекать	pritraukti
вик	vika
стоун	akmens
крит	kreta
грот	grota
ион	jonų
филиалы	filialai
филиалы	šakos
брэдли	bradley
хайнц	heinz
библия	biblija
библия	biblijos
жених	jaunikis
жених	sužadėtinis
грейс	grace
совпадение	sutapimas
совпадение	atsitiktinumas
зерно	grūdų
зерно	grūdai
заимствования	skolinimosi
заимствования	skolinimasis
микеланджело	mikelandželas
камерун	kamerūnas
кори	corey
кори	cory
кори	cori
страхование	atsargumas
страхование	draudimas
страхование	draudimo
кызыл	kyzylas
близнецы	gemini
близнецы	dvyniai
сахалин	sachalino
нападений	išpuoliai
нападений	išpuolių
вуд	medienos
вуд	mediena
секретариата	sekretoriatas
секретариата	sekretoriato
тринидад	trinidadas
дикие	laukiniai
дикие	laukinių
казак	kazokas
санто	santo
гарантии	garantijos
гарантии	garantijų
гарантии	garantijos
гарантии	garantija
перья	plunksnos
бетти	betty
чудеса	stebuklus
чудеса	stebuklus
поры	poras
обнаружение	aptikimas
обнаружение	aptikimo
обнаружение	atradimas
киль	kilio
самоубийства	savižudybės
самоубийства	savižudybė
гимнастика	gimnastika
ноу	nou
ноу	leu
хронологии	chronologija
азиз	aziz
авила	avila
стандартизации	standartizacija
стандартизации	standartizavimas
стандартизации	standartizacijos
проректор	provost
картофеля	bulvės
картофеля	bulvių
самолеты	orlaivis
самолеты	orlaiviai
самолеты	lėktuvas
лекция	paskaita
трения	trinties
немногие	keletą
казармы	kareivines
трактор	traktorius
трактор	traktorių
трактор	traktoriai
трактор	traktorius
трактор	traktoriaus
трактор	vilkikas
трактор	traktoriai
избранное	mėgstamiausių
избранное	mėgstami
изабель	izabele
регулируется	reguliuojama
регулируется	reguliuojami
регулируется	reguliuojamas
регулируется	reguliuojamos
регулируется	reglamentuojami
страсть	aistra
тихо	tyliai
тихо	ramu
тихо	tyliai
тайлер	taileris
тайлер	smėlis
гвидо	guido
флейта	fleita
переписку	pokalbis
переписку	pokalbio
публий	publius
посоветовал	patarė
бомбардировщик	bombonešis
развелись	išsiskyrė
рен	ren
бал	balius
бал	kamuolys
бал	bal
лен	len
перечисление	skaičiavimas
докторской	doktorantūros
меньшее	mažoji
сиэтл	sietlo
мск	tkt
транс	trance
черепахи	vėžlys
черепахи	vėžliai
страшно	baisus
страшно	išsigandęs
удовлетворения	atitinkančiu
волки	vilkai
бабочки	drugelis
бабочки	drugelių
мебель	baldai
перемирия	paliaubas
огюст	auguste
делегатов	delegatai
гранат	granatų
гранат	granatos
тройку	trejeto
удовольствие	labui
удовольствие	malonumas
ландшафт	kraštovaizdžio
ландшафт	kraštovaizdis
сходства	panašumų
сходства	panašumas
сходства	panašumo
финансовая	finansiniai
финансовая	finansinis
белла	bella
урожай	derliaus
урожай	pasėlių
жалко	gaila
запустить	vykdyti
психологический	universiteto
элли	eli
элли	ele
элли	ally
элли	sąjungininkas
овощи	augalinis
овощи	daržovės
овощи	daržovių
любить	myliu
любить	meile
любить	meilės
любить	meilė
любить	mylėti
ереване	erevan
баритон	baritonas
дюймов	cm
астронавтов	astronautų
лестнице	kopėčios
лестнице	kils
лестнице	laiptai
лестнице	laiptų
лестнице	laiptai
пенза	penza
эдвин	edvinas
луну	palydovas
возврат	grįžimas
возврат	grįžti
возврат	grąžos
гана	gana
бейкер	baker
тит	titas
анджело	angelo
габсбургов	habsburg
сеул	seule
гласные	balses
иэн	ian
юлиус	julius
продана	parduota
продана	parduodami
продана	parduotas
продана	parduodama
знала	žinojo
решена	išspręsta
незначительные	nedideli
незначительные	nedideli
этническая	etninės
индо	indo
квартир	butų
квартир	butai
заинтересованных	domina
заинтересованных	susidomėję
мэтью	mathew
окисления	oksidacijos
иконостас	ikonostasas
накопления	kaupimasis
накопления	kaupimosi
разбили	sutriuškino
стэн	stan
чудом	stebuklingai
фараона	faraonas
глубокая	gilus
глубокая	gili
глубокая	giliai
высоцкий	vysockis
расстройство	sutrikimas
расстройство	nusivylimas
расстройство	nusivylimą
брага	braga
атомная	atominė
атомная	atominės
немногим	keletą
элиты	elitas
элиты	elite
синтезатор	sintezatorius
бандиты	banditai
мориц	moritz
дани	dani
молитва	maldos
молитва	maldas
молитва	maldos
молитва	malda
оболочка	shell
оболочка	apvalkalas
кран	kranas
стефани	stefani
кипре	kipras
отрицает	neigia
посредники	tarpininkai
гроб	karstas
комитеты	komitetai
пасхи	velykų
адвокатов	teisininkai
адвокатов	advokatai
биржа	keitimosi
биржа	mainai
туры	keliones
морально	morališkai
морально	protiškai
идеально	tobulos
идеально	tobulas
идеально	tobula
смещение	poslinkio
волшебный	stebuklingas
волшебный	stebuklinga
комикс	comics
камаз	kamaz
новороссийск	novorosijskas
бунт	maišto
мата	mata
певцов	dainininkai
лян	liang
мечи	kardus
декорации	dekoravimas
декорации	dekoracijos
электро	electro
валентиниан	valentinianas
феликса	félix
луизиана	luizianos
полость	ertmėje
энни	ene
смешанный	sumaišyti
кэрри	kerė
снаряжение	įrangos
снаряжение	įranga
домик	salono
домик	kabina
моника	monika
моника	monika
колёса	ratai
заложил	užstatė
лебедь	gulbė
обувь	batų
обувь	bateliai
обувь	batai
обувь	batų
обувь	avalynė
барабан	būgno
барабан	būgnas
революционная	revoliucinė
охраняемых	saugomų
разговоры	pokalbiai
разговоры	kalbėti
созвездия	žvaigždynus
иллюстратор	iliustratorius
жилища	būstas
холмы	kalvų
пианино	pianino
защищены	saugomų
защищены	rezervuota
интересное	įdomu
интересное	įdomus
алабама	alabama
четверг	ketvirtadienis
четверг	ketvirtadienį
четверг	ketvirtadienio
четверг	ketvirtadieniais
моше	moshe
лама	lama
лама	lamų
миниатюра	miniatiūriniai
бон	bom
бон	bon
рыболовство	žuvininkystė
рыболовство	žvejyba
рыболовство	žvejybos
технологические	technologiniai
потребление	suvartojimas
потребление	sunaudojimas
духовно	dvasiškai
сомнительно	abejotina
сомнительно	abejotinas
сомнительно	abejotina
сенате	senato
сенате	senatas
энергетика	energija
энергетика	energetika
ледник	ledynas
эмират	emyratas
автономных	savarankiška
простирается	lipa
простирается	siekiu
плакат	plakatas
отъезда	išvykimas
отъезда	išvykimo
замечательно	nuostabaus
замечательно	nuostabu
замечательно	nuostabios
замечательно	nuostabus
замечательно	nuostabi
заключенных	kaliniai
гестапо	gestapo
убита	nužudytas
тимоти	timothy
фиба	fiba
органические	ekologinio
достойно	orus
серьезные	rimti
серьезные	rimta
серьезные	rimtas
серьезные	rimtų
серьезные	sunkus
этика	etika
этика	etikos
лилия	lily
эммануэль	emmanuel
назаров	nazarovas
визуально	vizualiai
собрано	surinkti
разгромил	atšaukiamas
гнезда	lizdas
ватикана	vatikano
ласло	lazlo
робертсон	robertson
вечной	amžina
исполнить	vykdyti
предыдущая	ankstesnė
предыдущая	ankstesnis
предыдущая	ankstesnių
орлеан	orleano
фрукты	vaisiai
фрукты	vaisiai
фрукты	vaisių
страдания	kančia
страдания	kančias
страдания	kančios
узких	siauros
узких	siauras
узких	siaura
беременность	nėštumas
прогулки	vaikšto
прогулки	vaikšto
валуа	valua
беседа	pokalbis
беседа	pokalbio
академий	akademijų
тринадцать	trylika
иакова	džeikobas
таня	tania
азиаты	azijiečių
извержение	išsiveržimas
привлекла	traukia
оранжевый	apelsinų
парни	berniukai
парни	vaikinai
годовщины	jubiliejus
провал	gedimas
провал	nesėkmė
провал	nepakankamumas
чистое	grynas
чистое	aiški
усилить	stiprinti
кишечника	žarnyno
кишечника	žarnyną
хочешь	nori
хочешь	norit
концы	baigiama
концы	baigiasi
преодоления	sąryšio
преодоления	įveikti
тюрингии	tiuringijos
спирс	spears
тесты	testai
тесты	bandymai
стоянка	stovėjimo
скандинавии	skandinavijos
распространять	paskirstyti
тито	tito
пальцы	pirštai
олимп	olimpą
намерение	ketinimas
намерение	ketinimą
привет	linkėjimai
привет	sveikinimai
привет	hello
привет	sveiki
привет	ei
привет	labas
привет	sveikas
глобус	gaublį
морено	moreno
красавица	graži
красавица	gražu
красавица	nuostabiai
вознесения	žengimo
эксперта	ekspertas
некрополь	nekropolio
комбинация	derinys
комбинация	combo
мягкие	minkštas
мягкие	minkšta
освободил	išlaisvinti
шульц	schulz
ликвидация	likvidavimo
ликвидация	likvidavimas
ликвидация	šalinimas
стоя	nuolatinio
рита	rita
ира	ira
древностей	senienų
грязи	purvo
ничья	susieti
кабо	cabo
палец	nykščiu
палец	pirštas
палец	pirštą
триумф	triumfas
маи	mai
маи	gegužė
влажность	drėgnumas
влажность	drėgmės
влажность	drėgnis
влажность	drėgmė
влажность	drėgnumas
влажность	drėgnis
влажность	drėgmė
атташе	atašė
держится	valda
роботы	robotai
искали	truko
исключает	neapima
гусь	žąsų
гусь	žąsys
ядерная	branduolinės
ядерная	branduolinis
керамика	keramika
горизонтальной	horizontalus
горизонтальной	horizontali
горизонтальной	horizontaliai
дюйма	cm
геев	gėjai
равновесие	balansas
равновесие	pusiausvyrą
равновесие	pusiausvyra
волка	vilkas
осы	vapsvas
месопотамии	mesopotamija
картли	kartlis
личинок	lervų
личинок	lervos
поймать	sugavimo
поймать	žūklės
диспетчер	išsiuntimo
диспетчер	siuntimas
кения	kenijoje
кения	kenija
кения	kenijos
признанных	pripažintos
экономисты	ekonomistai
кристалл	kristalų
повсюду	visur
хранилище	sandėlis
хранилище	sandėliai
хранилище	sandėlio
хранилище	saugyklą
хранилище	sandėliavimas
хранилище	saugojimas
хранилище	saugyklos
хранилище	saugykla
слона	dramblys
отклонение	atmetimas
отклонение	atmetimo
исламский	islamo
свежие	šviežias
свежие	šviežios
свежие	švieži
свежие	šviežia
пятно	dėmių
пятно	blur
мобильный	mobilusis
мобильный	saugojimo
мобильный	mobilus
выжил	išgyveno
долги	skolos
долги	skola
пятница	penktadienis
пятница	penktadienį
психиатр	psichiatras
воспроизведения	grojimą
бертран	bertrand
горожане	miestiečiams
гуманитарной	humanitarinė
гуманитарной	humanitarinės
