से	от
शामिल	включени
शामिल	включено
शामिल	включена
शामिल	включен
शामिल	включват
शामिल	включване
उन्हें	ги
उन्हें	тях
उस	че
स्थान	места
स्थान	местоположения
स्थान	място
स्थान	местоположение
स्थान	място
स्थान	местонахождение
स्थान	локация
प्रमुख	шефе
प्रमुख	началник
प्रमुख	майорът
प्रमुख	майор
प्रमुख	основни
प्रमुख	основна
प्रमुख	главна
प्रमुख	главен
प्रमुख	главни
बीच	beach
बीच	плажът
बीच	плаж
बीच	бряг
बीच	плажа
बीच	център
मुख्य	шефе
मुख्य	началник
मुख्य	основни
मुख्य	основна
मुख्य	главна
मुख्य	главен
मुख्य	главни
थी	бе
बिहार	бихар
उसे	него
उसे	нея
कार्य	задачи
कार्य	работа
कार्य	йов
कार्य	работа
कार्य	труд
कार्य	работи
कार्य	задача
कार्य	задачата
उनकी	тяхното
उनकी	тяхната
उनकी	техните
उनकी	техният
आंध्र	андра
नगर	град
नगर	градът
नगर	градче
नगर	град
नगर	градът
नगर	сити
नगर	city
नगर	нагар
उपयोग	използване
उपयोग	употреба
उपयोग	използване
उपयोग	употреба
उपयोग	използвайте
उपयोग	употреби
उपयोग	използва
लोगों	народ
लोगों	хора
लोगों	хората
आधार	основа
आधार	база
आधार	предпоставка
आधार	предпоставки
आधार	основа
आधार	основание
आधार	база
काम	работа
काम	труд
काम	работи
जीवन	живот
जीवन	живота
जीवन	life
जीवन	лайф
जीवन	животът
विश्व	свят
विश्व	света
भाग	секции
भाग	участъци
भाग	раздели
भाग	част
भाग	части
निर्माण	създаване
निर्माण	създаването
निर्माण	изграждане
निर्माण	строеж
निर्माण	конструкция
निर्माण	строителство
निर्माण	изграждане
निर्माण	построи
निर्माण	производство
दोनों	двете
राष्ट्रीय	национална
राष्ट्रीय	национални
राष्ट्रीय	национален
राष्ट्रीय	национално
जानकारी	информация
जानकारी	info
जानकारी	инфо
जानकारी	информация
जानकारी	информиране
पोर्टल	портал
शहर	град
शहर	градът
शहर	сити
शहर	city
शहर	градове
शहर	градовете
बार	пръти
बार	барове
बार	решетки
बार	решетките
बार	бар
बार	барът
बार	пъти
बार	времена
बार	таймс
बार	times
लगभग	почти
लगभग	приблизително
फिल्म	филмова
फिल्म	филм
फिल्म	филм
फिल्म	лента
यहाँ	тук
प्रसिद्ध	прочут
प्रसिद्ध	известни
प्रसिद्ध	прочута
प्रसिद्ध	известна
प्रसिद्ध	известен
प्रसिद्ध	прочут
विकास	развитие
विकास	разработване
विकास	разработка
विकास	израстване
विकास	растеж
विकास	ръст
केवल	само
केवल	единствено
देश	държава
देश	страна
देश	нация
देश	държави
देश	страни
वेबसाइट	уебсайт
वेबसाइट	сайт
अलग	разделени
अलग	отделени
अलग	разделен
अलग	различна
अलग	различно
अलग	различни
अलग	различен
अलग	отделни
अलग	разделени
अलग	отделно
अलग	отделна
अलग	отделен
अलग	отделени
विशेष	изключително
विशेष	ексклузивно
विशेष	изключителни
विशेष	изключителна
विशेष	специална
विशेष	специално
विशेष	специални
विशेष	специален
कभी	някога
दी	дадени
दी	дадена
दी	дадено
दी	даде
दी	дала
पृष्ठ	страница
पृष्ठ	страницата
पृष्ठ	page
पृष्ठ	страници
माना	разглеждания
माना	разглеждан
माना	мана
माना	предполагаемо
शब्द	дума
शब्द	думите
शब्द	думи
फिर	тогава
तीन	три
तीन	трима
पुरस्कार	награди
पुरस्कार	награда
पुरस्कार	възлагане
पुरस्कार	награда
पुरस्कार	награди
पुरस्कार	награди
पुरस्कार	награда
लेख	изделия
लेख	статии
लेख	артикули
लेख	тезата
लेख	дисертация
लेख	теза
लेख	статия
लेख	член
अब	сега
अमेरिका	америка
मंदिर	темпъл
मंदिर	храмът
मंदिर	храм
अलावा	добавка
अलावा	добавяне
अलावा	допълнение
वार्ता	разговори
दक्षिण	южно
दक्षिण	южен
दक्षिण	юг
दक्षिण	южна
विभिन्न	различни
विभिन्न	различни
विभिन्न	разнообразни
विभिन्न	разни
इतिहास	историята
इतिहास	история
लिया	взет
लिया	взето
लिया	взети
फ़िल्म	филмова
फ़िल्म	филм
फ़िल्म	филм
फ़िल्म	лента
क्योंकि	защото
पास	пропуск
पास	мине
पास	пас
पास	преминаване
विस्तृत	подробно
विस्तृत	подробен
विस्तृत	подробна
विस्तृत	подробни
विस्तृत	изчерпателен
विस्तृत	изчерпателно
विस्तृत	напреднал
विस्तृत	напреднала
विस्तृत	разширено
विस्तृत	напреднали
दिन	денят
दिन	ден
दिन	дни
दिन	дена
कृषि	земеделието
कृषि	земеделие
जाना	жизнеспособността
जाना	жизнеспособност
शुरू	започна
शुरू	започнете
व्यक्ति	човек
व्यक्ति	личност
व्यक्ति	индивидуален
व्यक्ति	индивидуално
व्यक्ति	индивидуална
व्यक्ति	индивид
व्यक्ति	индивидуални
व्यक्ति	индивидуализъм
उनका	тяхното
उनका	тяхната
उनका	техните
उनका	техният
विज्ञान	науката
विज्ञान	наука
सदस्य	член
सदस्य	абоната
सदस्य	абонати
सदस्य	членове
सदस्य	членовете
हालांकि	макар
हालांकि	макар
सिंह	синг
सिंह	сингх
सिंह	лъв
सिंह	лео
अनेक	mnogo
अनेक	много
अनेक	няколко
अनेक	множествена
अनेक	многобройни
अनेक	множество
यहां	тук
संख्या	брой
संख्या	число
संख्या	номер
संख्या	числа
संख्या	цифри
अपना	собствен
अपना	собствена
अपना	собствено
अपना	собствени
अपना	вашият
अपना	твоят
अपना	твоя
अपना	твоята
बात	говори
बात	поговорим
साहित्य	литература
शिक्षा	обучение
शिक्षा	образование
शिक्षा	възпитание
दिल्ली	делхи
धर्म	религията
धर्म	религия
धर्म	религии
धर्म	дарма
मूल	произход
मूल	оригиналите
मूल	древни
मूल	оригинали
मूल	родна
मूल	местни
मूल	оригинални
मूल	оригинал
मूल	оригинално
मूल	оригинална
मूल	оригинален
मूल	основна
मूल	основни
मूल	основен
तब	тогава
बना	направи
बना	направена
बना	направено
बना	направен
बना	направени
कोड	код
कोड	кодове
संयुक्त	обединени
संयुक्त	обединена
संयुक्त	обединен
संयुक्त	юнайтед
संयुक्त	обединено
संयुक्त	комбинирана
संयुक्त	комбинирано
संयुक्त	комбинирани
संयुक्त	комбиниран
संयुक्त	съвместния
संयुक्त	джойнт
संयुक्त	съвместни
संयुक्त	съвместно
संयुक्त	съвместна
संयुक्त	съвместен
जुलाई	юли
युद्ध	битката
युद्ध	битка
युद्ध	войната
युद्ध	война
नदी	ривър
नदी	река
नदी	реката
वाला	вала
काल	напрегнато
काल	напрегнат
काल	напрегната
काल	напрегнати
काल	повикване
काल	обаждане
काल	период
ऐसे	такава
ऐसे	такива
ऐसे	такова
ऐसे	такъв
वर्षों	години
वर्षों	годините
प्रति	пер
स्टेशन	станция
स्टेशन	station
स्टेशन	гара
स्टेशन	станции
बड़े	голямо
बड़े	големи
बड़े	голям
बड़े	голяма
बड़े	биг
बड़े	голямо
बड़े	големи
बड़े	голям
बड़े	голяма
जनवरी	януари
मध्य	централно
मध्य	централен
मध्य	централа
मध्य	централни
मध्य	централна
मध्य	център
मध्य	средната
राजा	раджа
राजा	крал
राजा	кинг
राजा	кралят
राजा	цар
राजा	краля
प्रथम	първи
प्रथम	първо
विश्वविद्यालय	университетите
विश्वविद्यालय	университети
विश्वविद्यालय	университет
विश्वविद्यालय	university
विश्वविद्यालय	университета
जून	джун
जून	юни
उसकी	неговият
उसकी	неговата
उसकी	му
उसकी	неговия
उसकी	нея
जिसके	облекчава
मार्च	мар
मार्च	март
बन	хлебче
बन	питка
बन	бън
बन	кифла
बनी	зайчето
बनी	бъни
बनी	зайче
अर्थ	смисъл
अप्रैल	април
अप्रैल	ейприл
अप्रैल	април
महत्वपूर्ण	важно
महत्वपूर्ण	важен
महत्वपूर्ण	важни
महत्वपूर्ण	важна
महत्वपूर्ण	критичен
महत्वपूर्ण	критично
महत्वपूर्ण	критична
महत्वपूर्ण	критични
प्रामाणिक	автентични
प्रामाणिक	автентично
प्रामाणिक	автентична
प्रामाणिक	автентичен
आप	си
आप	ти
आप	ви
किए	coa
अक्टूबर	октомври
अक्टूबर	ост
अक्टूबर	октомври
समूह	паството
समूह	събор
समूह	група
समूह	групово
समूह	групиране
समूह	групова
समूह	групи
वर्तमान	ток
वर्तमान	текущ
वर्तमान	текуща
वर्तमान	текущи
वर्तमान	настоящ
वर्तमान	подарък
वर्तमान	настояще
वर्तमान	присъстващи
अध्ययन	учене
अध्ययन	уча
अध्ययन	изучаване
अध्ययन	учим
अध्ययन	учене
अध्ययन	учи
अध्ययन	проучване
अध्ययन	изучаване
अध्ययन	изследване
अध्ययन	изследвания
अध्ययन	проучвания
विभाग	отдел
विभाग	департамент
विभाग	участък
विभाग	разделение
विभाग	дивизия
विभाग	деление
विभाग	отделите
विभाग	управления
विभाग	отдели
आम	манго
आम	обща
आम	общ
आम	общи
आम	чести
स्थिति	статус
स्थिति	състояние
स्थिति	положение
स्थिति	статут
स्थिति	позиция
स्थिति	положение
स्थिति	длъжност
स्थिति	щат
स्थिति	държава
स्थिति	държавно
स्थिति	състояние
स्थिति	състоянието
स्थिति	условие
स्थिति	положението
स्थिति	ситуация
स्थिति	положение
प्रभाव	влияние
प्रभाव	сблъсък
प्रभाव	въздействие
प्रभाव	удар
प्रभाव	последици
प्रभाव	въздействие
प्रभाव	ефекти
प्रभाव	ефект
प्रभाव	влияния
प्रभाव	ефект
प्रभाव	въздействие
आदर्श	идеализъм
आदर्श	идеален
आदर्श	идеални
आदर्श	идеал
आदर्श	идол
साल	години
साल	годините
साल	година
साल	годината
पहली	първи
पहली	първо
संगीत	music
संगीत	музиката
संगीत	музика
अमेरिकी	американска
अमेरिकी	американско
अमेरिकी	американски
अमेरिकी	американец
अमेरिकी	американците
अमेरिकी	американци
सेवा	услуга
सेवा	служба
सेवा	сервиз
सेवा	обслужване
सेवा	услуги
बनाने	правене
बनाने	копачи
आज	днеска
आज	днес
स्थापित	установен
स्थापित	установена
स्थापित	установени
स्थापित	установено
स्थापित	инсталирана
स्थापित	инсталиран
स्थापित	монтирано
स्थापित	монтиран
स्थापित	инсталирани
स्थापित	основана
स्थापित	основано
स्थापित	основан
स्थापित	установи
उच्च	висок
उच्च	висока
उच्च	високи
उच्च	високо
उच्च	възвишено
देता	дава
उपलब्ध	наличен
उपलब्ध	налично
उपलब्ध	налични
उपलब्ध	налична
काफी	достатъчно
काफी	изобилие
बड़ी	голямо
बड़ी	големи
बड़ी	голям
बड़ी	голяма
बड़ी	биг
बड़ी	голямо
बड़ी	големи
बड़ी	голям
बड़ी	голяма
चार	четири
चार	четирима
शक	съмнението
शक	съмнения
शक	съмнение
श्री	шри
उदाहरण	примерна
उदाहरण	пример
उदाहरण	илюстрация
उदाहरण	примери
उसका	неговият
उसका	неговата
उसका	му
उसका	неговия
उसका	нея
ले	вземете
ले	вземи
जिससे	което
जिससे	която
स्थापना	инсталация
स्थापना	монтаж
स्थापना	инсталиране
स्थापना	монтиране
स्थापना	инсталации
स्थापना	инсталации
स्थापना	инсталиране
स्थापना	учреждение
स्थापना	установяване
कंपनी	дружество
कंपनी	компания
कंपनी	company
कंपनी	рота
कंपनी	фирма
अधिकांश	повечето
अधिकांश	предимно
अधिकांश	главно
सामाजिक	социално
सामाजिक	социален
सामाजिक	социални
सामाजिक	социална
प्रत्येक	всяка
प्रत्येक	всеки
प्रत्येक	всяко
प्रत्येक	всяка
प्रत्येक	всеки
बड़ा	голямо
बड़ा	големи
बड़ा	голям
बड़ा	голяма
बड़ा	биг
बड़ा	голямо
बड़ा	големи
बड़ा	голям
बड़ा	голяма
बड़ा	страхотно
स्तर	нива
स्तर	равнища
स्तर	равнище
स्तर	ниво
बनाया	направена
बनाया	направено
बनाया	направен
बनाया	направени
बनाया	създадени
बनाया	създадено
बनाया	създадена
बनाया	създаде
बनाया	създаден
जारी	продължение
जारी	продължаване
जारी	продължи
जारी	продължил
जारी	текущо
जारी	издадена
जारी	издаден
जारी	емитирани
जारी	издадени
जारी	издадено
जबकि	докато
चित्र	снимка
चित्र	картинка
चित्र	снимки
चित्र	картинки
चित्र	картини
चित्र	имидж
चित्र	картинка
चित्र	образ
चित्र	изображение
चित्र	изображения
चित्र	образи
इससे	от
इससे	измисля
प्रणाली	система
प्रणाली	системата
प्रणाली	системни
सरकारी	официален
सरकारी	официално
सरकारी	официална
सरकारी	правителство
जहां	къде
देशों	държави
देशों	страни
जल	вода
जल	водата
सूची	списък
सूची	списъци
रखा	държани
विचार	идея
विचार	идеи
विचार	мисъл
विचार	обмисляне
विचार	мисли
छोटे	малка
छोटे	малки
छोटे	малък
छोटे	дребен
छोटे	малка
छोटे	малки
छोटे	малък
छोटे	литъл
छोटे	малко
ऊपर	top
ऊपर	топ
ऊपर	върха
ऊपर	над
ऊपर	отгоре
आधारित	базирана
इसलिए	затуй
इसलिए	следователно
पानी	вода
पानी	водата
सामान्य	обща
सामान्य	общи
सामान्य	генерал
सामान्य	обща
सामान्य	общ
सामान्य	общи
सामान्य	чести
सामान्य	нормален
सामान्य	нормално
सामान्य	нормални
सामान्य	нормална
आगे	напред
कुल	съставна
कुल	общо
कुल	общ
कुल	обща
एक्स्प्रेस	експресна
एक्स्प्रेस	експрес
पुलिस	полиция
वर्ग	категория
वर्ग	квадратна
वर्ग	квадратни
वर्ग	квадратен
वर्ग	квадрат
वर्ग	площад
वर्ग	класи
वर्ग	класовете
वर्ग	класове
वर्ग	клас
वर्ग	класа
शरीर	тялото
शरीर	тяло
शरीर	телесно
अंग्रेजी	английски
अंग्रेजी	bulgarian
अंग्रेजी	англичани
माध्यम	средна
माध्यम	среден
माध्यम	средни
माध्यम	средно
मानव	човешка
मानव	човешко
मानव	човек
मानव	човешки
पाकिस्तान	пакистан
भूमिका	въведение
भूमिका	въвеждане
भूमिका	роля
हर	хар
हर	всяка
हर	всеки
हर	всяко
हर	хур
अतिरिक्त	екстри
अतिरिक्त	резервни
अतिरिक्त	резервна
अतिरिक्त	резервен
अतिरिक्त	допълнителни
अतिरिक्त	допълнителна
अतिरिक्त	допълнителен
अतिरिक्त	допълнително
अतिरिक्त	допълнителни
अतिरिक्त	допълнително
अतिरिक्त	екстра
पिता	баща
पिता	татко
समाज	общество
समाज	обществото
उत्पन्न	генерирани
नीचे	долу
नीचे	надолу
नीचे	долу
नीचे	отдолу
नीचे	дъното
नीचे	отдолу
नीचे	дъно
दुनिया	свят
दुनिया	света
आधुनिक	модерно
आधुनिक	модерни
आधुनिक	модерна
आधुनिक	съвременно
आधुनिक	модерен
आधुनिक	съвременен
ध्यान	медитацията
ध्यान	медитация
ध्यान	внимание
हिंदी	хинди
दे	дай
सभा	паството
सभा	събор
सभा	сглобяване
सभा	събрание
सभा	събиране
सभा	сабха
परिवार	семейство
परिवार	семейството
विषय	тема
विषय	теми
विषय	темите
विषय	субекти
विषय	поданици
विषय	теми
विषय	обекти
विषय	субект
विषय	обект
अधिकार	права
रंग	цветове
रंग	цвят
रंग	цветен
रंग	цветно
रंग	цветове
रंग	цветове
रंग	цветна
रंग	цветове
रंग	цвят
रंग	цветен
रंग	цветно
बाहर	открито
बाहर	външен
बाहर	отвън
बाहर	навън
बाहर	вън
बाहर	навън
खेल	играе
खेल	играй
खेल	свири
खेल	игра
खेल	спортни
खेल	спортен
खेल	спорт
खेल	спортно
खेल	спортове
खेल	мач
खेल	гейм
खेल	играта
खेल	игра
खेल	игри
खेल	спорт
खेल	спортен
क्षेत्रों	райони
क्षेत्रों	зони
क्षेत्रों	площи
क्षेत्रों	области
जहाँ	къде
समान	хомогенна
समान	същият
समान	същата
समान	същото
समान	подобно
समान	подобен
समान	сходен
समान	подобна
समान	подобни
सितंबर	септември
दूर	надалеч
दूर	далеч
दूर	далечно
दूर	далечен
दूर	далечни
दूर	далечна
पता	адреси
पता	адресите
पता	адрес
शक्ति	сила
शक्ति	мощ
शक्ति	якост
शक्ति	мощност
शक्ति	сила
शक्ति	власт
शक्ति	мощ
शक्ति	шакти
ब्रिटिश	британско
ब्रिटिश	британци
ब्रिटिश	британска
ब्रिटिश	британец
ब्रिटिश	британски
कला	изкуства
कला	изкуствата
कला	изкуство
कला	арт
कला	изкуството
कला	art
कला	изкуство
घर	дом
घर	домашен
घर	вкъщи
घर	house
घर	къща
घर	къщата
घर	хаус
संस्कृत	санскрит
प्रकाशित	публикува
प्रकाशित	публикуване
प्रकाशित	публикувайте
प्रकाशित	публикувани
प्रकाशित	публикуван
प्रकाशित	публикувана
प्रकाशित	публикувано
मई	май
प्रक्रिया	процес
प्रक्रिया	процеси
प्रक्रिया	процесите
प्रक्रिया	процедура
सेना	армии
सेना	сена
सेना	армията
सेना	армеец
सेना	армия
सेना	армейски
पार्टी	парти
पार्टी	party
पार्टी	купон
पार्टी	партия
पार्टी	купони
हम	хум
रेलवे	железници
रेलवे	железница
रेलवे	железопътен
रेलवे	железници
पश्चिम	запад
पश्चिम	западно
पश्चिम	западна
पश्चिम	западен
पश्चिम	уест
अंत	край
दशक	десетилетие
पूरी	цялата
पूरी	цяла
पूरी	цял
पूरी	цялото
बिना	без
क्या	какво
अगस्त	август
अगस्त	аугуст
अगस्त	август
विकसित	разработена
विकसित	развит
विकसित	разработени
विकसित	разработен
विकसित	развитите
विकसित	развита
विकसित	еволюира
विकसित	еволюирали
संबंध	връзки
संबंध	взаимоотношения
संबंध	връзките
संबंध	отношения
संबंध	връзка
संबंध	взаимоотношения
संबंध	отношения
संबंध	взаимоотношения
संबंध	отношения
संबंध	свързване
प्रदर्शन	изпълнение
प्रदर्शन	ефективност
प्रदर्शन	представления
प्रदर्शन	изпълнения
प्रदर्शन	показване
प्रदर्शन	излагане
प्रदर्शन	облъчване
प्रदर्शन	експозиция
ऐसी	такава
ऐसी	такива
ऐसी	такова
ऐसी	такъв
मार्ग	маршрут
मार्ग	път
मार्ग	трасе
मार्ग	начин
पर्यटन	туризмът
पर्यटन	туризъм
ज्ञान	познаване
ज्ञान	знания
ज्ञान	познания
ज्ञान	знание
ज्ञान	познание
लगा	почувствах
लगा	изглеждаше
दिसम्बर	декември
दिसम्बर	декември
दिसम्बर	дек
प्रदर्शित	препоръчани
प्रदर्शित	показани
प्रदर्शित	показано
प्रदर्शित	показване
अक्सर	често
सहायता	помощ
सहायता	подпомагане
सहायता	подкрепа
सहायता	поддръжка
सहायता	помощи
सहायता	помощ
पहला	първи
पहला	първо
मृत्यु	смърт
मृत्यु	смъртта
मृत्यु	смъртност
स्वयं	селф
स्वयं	собствен
स्वयं	собствена
स्वयं	собствено
स्वयं	собствени
विकिपीडिया	уики
विकिपीडिया	уикипедия
तैयार	готови
आवश्यक	изисквана
आवश्यक	спешна
आवश्यक	спешно
देखा	наблюдаван
देखा	наблюдавани
देखा	гледах
देखा	видян
देखा	виждал
देखा	видяна
देखा	видяно
देखा	трион
देखा	видях
उत्पादन	продукция
उत्पादन	производство
रोग	болест
रोग	болести
रोग	заболяване
रोग	заболявания
संबंधित	съответна
संबंधित	съответни
संबंधित	съответен
संबंधित	свързани
संबंधित	свързан
संबंधित	свързана
संबंधित	свързано
शताब्दी	век
शताब्दी	вековен
शताब्दी	века
चीन	порцелан
चीन	китай
चीन	чайна
अभी	сега
संघ	профсъюз
संघ	съюз
संघ	съюза
संघ	юниън
संघ	синдикатите
संघ	профсъюзите
संघ	съюзи
संघ	федерация
संघ	федерацията
संघ	сдружение
संघ	асоциация
संघ	асоцииране
यात्रा	пътувания
यात्रा	пътуване
यात्रा	пътувам
यात्रा	пътуват
यात्रा	пътешествия
यात्रा	пътуване
यात्रा	пътешествие
यात्रा	пътуване
यात्रा	пътешествие
यात्रा	трип
यात्रा	екскурзия
मात्रा	сума
मात्रा	количество
मात्रा	количество
रचना	създаване
रचना	създаването
रचना	състав
रचना	композиция
जगह	отстояние
जगह	място
जगह	пространство
जगह	космос
जगह	космоса
भिन्न	дискретна
भिन्न	дискретни
भिन्न	дискретен
भिन्न	различна
भिन्न	различно
भिन्न	различни
भिन्न	различен
भिन्न	фракция
लोक	публично
लोक	публични
लोक	публична
लोक	обществено
लोक	публичен
लोक	обществени
लोक	фолк
लोक	народни
सब	саб
सब	всички
सब	всичко
पूरा	завършена
पूरा	завършени
पूरा	завършен
पूरा	завършено
पूरा	пълна
पूरा	пълни
पूरा	пълен
पूरा	пълно
पूरा	цялата
पूरा	цяла
पूरा	цял
पूरा	цялото
पूरा	пълна
पूरा	пълно
पूरा	завършен
पूरा	пълен
पूरा	завършено
आवश्यकता	изискване
प्रकाश	светло
प्रकाश	светлина
प्रकाश	светлината
प्रकाश	светлини
नई	ню
नई	ново
नई	нов
नई	нови
नई	нова
चिकित्सा	медицински
चिकित्सा	медицинска
चिकित्सा	терапията
चिकित्सा	терапия
दूसरी	второ
दूसरी	втора
दूसरी	втори
कार्यक्रम	програми
कार्यक्रम	събития
कार्यक्रम	мероприятия
कार्यक्रम	случки
कार्यक्रम	програмата
कार्यक्रम	програма
कार्यक्रम	събитието
कार्यक्रम	събитие
कार्यक्रम	програма
पुराने	старо
पुराने	стари
पुराने	стар
पुराने	стара
सदी	век
सदी	вековен
सदी	века
भगवान	господ
भगवान	бог
भगवान	лорд
लिखा	писмено
लिखा	написана
लिखा	написано
लिखा	писмен
लिखा	писмена
लिखा	написал
लिखा	написа
संस्थान	институт
संस्थान	института
संस्थान	институти
संस्कृति	култура
अंग्रेज़ी	английски
अंग्रेज़ी	bulgarian
अंग्रेज़ी	англичани
पूर्ण	перфектна
पूर्ण	перфектно
पूर्ण	перфектен
पूर्ण	съвършен
पूर्ण	пълна
पूर्ण	пълни
पूर्ण	пълен
पूर्ण	пълно
पूर्ण	пълна
पूर्ण	пълно
पूर्ण	завършен
पूर्ण	пълен
पूर्ण	завършено
पूर्ण	завършена
पूर्ण	завършени
पूर्ण	завършен
पूर्ण	завършено
परिवर्तन	превръщане
परिवर्तन	преобразуване
परिवर्तन	преход
परिवर्तन	промени
परिवर्तन	промените
परिवर्तन	изменения
परिवर्तन	трансформация
परिवर्तन	преобразяване
परिवर्तन	преобразуване
परिवर्तन	промени
परिवर्तन	смяна
परिवर्तन	промяна
टीम	отбори
टीम	екипи
टीम	тийм
टीम	отбор
टीम	отбора
टीम	екип
टीम	team
चर्चा	дискусия
चर्चा	обсъждания
चर्चा	дискусии
चर्चा	обсъждане
संगठन	организация
संगठन	организация
संगठन	организации
अगर	агар
शैली	стил
शैली	шели
तुलना	сравнение
तुलना	сравняване
स्कूल	училища
स्कूल	школи
स्कूल	училищата
स्कूल	училището
स्कूल	школа
स्कूल	училище
पुस्तक	тефтер
पुस्तक	книга
लेखक	писателка
लेखक	сценарист
लेखक	писател
