और	và
शामिल	kèm
उन्हें	them
उन्हें	cói
उन्हें	chúng
उन्हें	họ
उस	thế
उस	rằng
उस	điều
उस	mà
उस	vn
स्थान	nơi
स्थान	chỗ
प्रमुख	sếp
प्रमुख	chính
प्रमुख	main
हुई	huệ
हुई	hui
हुई	hủi
हुई	huy
बीच	biển
बीच	beach
बीच	tâm
मुख्य	sếp
मुख्य	chính
मुख्य	main
थी	aw
थी	bị
बिहार	bihar
उसे	her
उसे	cổ
कार्य	nghề
कार्य	việc
कार्य	jobs
कार्य	task
उनकी	nhị
आंध्र	andhra
आंध्र	andra
नगर	phố
नगर	phố
नगर	by
नगर	nagar
उपयोग	dùng
लोगों	người
आधार	base
जीवन	đời
विश्व	giới
भाग	saga
भाग	part
भाग	phần
भाग	phần
निर्माण	tạo
राष्ट्रीय	gạt
जानकारी	info
पोर्टल	portal
पोर्टल	cổng
शहर	phố
शहर	by
बार	thanh
बार	bar
बार	lần
बार	times
वाली	wali
लगभग	sắp
लगभग	gần
लगभग	hầu
फिल्म	phim
फिल्म	phim
फिल्म	film
यहाँ	đây
प्रसिद्ध	nổi
विकास	gai
केवल	chỉ
केवल	duy
देश	quốc
वेबसाइट	website
अलग	khác
अलग	skill
विशेष	cống
इसकी	its
कभी	từng
दी	tặng
पृष्ठ	page
पृष्ठ	trang
पृष्ठ	trang
माना	mana
माना	supposedly
शब्द	lời
शब्द	từ
शब्द	lời
फिर	rồi
तीन	tre
तीन	ba
तीन	three
पुरस्कार	premier
पुरस्कार	thưởng
लेख	thesis
अब	giờ
अब	ngay
अमेरिका	châu
अमेरिका	mỹ
मंदिर	đền
मंदिर	chùa
दक्षिण	nam
लिया	taken
लिया	bắt
लिया	chụp
फ़िल्म	phim
फ़िल्म	phim
फ़िल्म	film
क्योंकि	vì
पास	qua
पास	đèo
पास	pass
विस्तृत	thiệp
दिन	ngày
दिन	day
दिन	ngày
गढ़वाल	garhwal
व्यक्ति	người
उनका	nhị
विज्ञान	khoa
सिंह	singh
सिंह	leo
अनेक	nhiều
अनेक	nhiều
यहां	đây
संख्या	số
संख्या	số
अपना	chính
अपना	của
बात	điều
बात	thứ
बात	nói
दिल्ली	delhi
धर्म	đạo
धर्म	dharma
मूल	vạn
मूल	native
मूल	gốc
मूल	tác
तब	rồi
बना	pha
बना	chế
कोड	code
कोड	mã
कोड	codes
कोड	mã
संयुक्त	concurrent
संयुक्त	united
संयुक्त	hoa
संयुक्त	tham
युद्ध	battle
युद्ध	trận
युद्ध	tranh
युद्ध	chiến
नदी	sông
वाला	vala
काल	gọi
काल	call
काल	cẩm
वर्षों	chèo
वर्षों	năm
वर्षों	rainforest
प्रति	pr
प्रति	per
स्टेशन	trạm
स्टेशन	ga
स्टेशन	trạm
बड़े	lớn
बड़े	lớn
बड़े	to
बड़े	đúc
बड़े	đại
बड़े	big
मध्य	trung
मध्य	central
मध्य	tâm
मध्य	trung
मध्य	giữa
मध्य	đọng
राजा	raja
राजा	king
राजा	guy
राजा	vua
प्रथम	trước
प्रथम	đầu
जून	tuấn
जून	jun
जून	june
उसकी	ngành
उसकी	her
उसकी	cổ
मार्च	mar
मार्च	march
बन	bún
बन	bun
बनी	thỏ
बनी	bunny
अप्रैल	apr
महत्वपूर्ण	trọng
प्रामाणिक	thực
प्रामाणिक	authentic
आप	các
आप	cac
आप	bạn
आप	anh
आप	cô
किए	coa
अक्टूबर	oct
समूह	group
समूह	nhóm
समूह	nhóm
अध्ययन	học
अध्ययन	học
विभाग	sở
विभाग	khu
विभाग	division
आम	xoài
आम	mango
आम	chung
स्थिति	status
स्थिति	bang
स्थिति	tiêm
स्थिति	trạng
आदर्श	idol
साल	chèo
साल	năm
साल	năm
पहली	trước
पहली	đầu
संगीत	nhạc
अमेरिकी	american
अमेरिकी	mỹ
बनाने	tạo
बनाने	making
बनाने	diggers
आज	nay
उच्च	cao
उच्च	sublime
चाहिए	nên
देता	cung
उपलब्ध	rảnh
काफी	đủ
बड़ी	lớn
बड़ी	lớn
बड़ी	to
बड़ी	đúc
बड़ी	đại
बड़ी	big
चार	bốn
शक	reo
श्री	shree
श्री	sri
उदाहरण	dụ
उसका	ngành
उसका	her
उसका	cổ
ले	lấy
ले	bắt
ले	chụp
उत्तरा	uttara
जिससे	mà
कंपनी	ty
प्रत्येक	mỗi
प्रत्येक	hằng
प्रत्येक	mỗi
बड़ा	lớn
बड़ा	lớn
बड़ा	to
बड़ा	đúc
बड़ा	đại
बड़ा	big
बड़ा	tuyệt
स्तर	cấp
स्तर	mức
स्तर	tầng
स्तर	cấp
बनाया	chế
बनाया	tạo
जबकि	phiêu
जबकि	mens
चित्र	ảnh
चित्र	ảnh
चित्र	nh
चित्र	hình
चित्र	ảnh
इससे	khỏi
इससे	từ
प्रणाली	hệ
सरकारी	phủ
जहां	đâu
जल	nước
सूची	kê
सूची	list
सूची	danh
विचार	nghĩ
विचार	tưởng
विचार	suy
छोटे	nhỏ
छोटे	nhỏ
छोटे	tiểu
ऊपर	nắp
ऊपर	top
ऊपर	đỉnh
ऊपर	trên
आधारित	dựa
पानी	nước
सामान्य	tướng
सामान्य	chung
सामान्य	chung
सामान्य	chuẩn
सामान्य	thường
कुल	tổng
एक्स्प्रेस	express
पुलिस	cảnh
वर्ग	loại
वर्ग	đc
वर्ग	square
वर्ग	vuông
वर्ग	hạng
वर्ग	hạng
वर्ग	lớp
शरीर	thân
शरीर	body
माध्यम	vừa
माध्यम	medium
माध्यम	trung
मानव	human
पाकिस्तान	pakistan
हर	har
हर	mỗi
हर	hằng
हर	hur
अतिरिक्त	extras
अतिरिक्त	chừa
अतिरिक्त	cục
अतिरिक्त	extra
पिता	cha
नीचे	down
नीचे	xuống
नीचे	dưới
नीचे	dưới
नीचे	bậc
नीचे	đáy
नीचे	bottom
दुनिया	giới
ध्यान	thiền
हिंदी	hindi
दे	đưa
दे	tặng
दे	cho
सभा	gom
सभा	sabha
परिवार	đình
विषय	topic
अधिकार	quyền
रंग	nhuộm
रंग	màu
रंग	mầu
रंग	màu
रंग	màu
बाहर	thoát
बाहर	ngoài
बाहर	ngại
बाहर	ra
बाहर	tứ
खेल	play
खेल	chơi
खेल	at
खेल	game
खेल	chơi
खेल	sport
जहाँ	đâu
समान	cùng
दूर	xa
दूर	xa
दूर	phí
शक्ति	sục
शक्ति	lực
शक्ति	shakti
ब्रिटिश	british
कला	art
घर	nhà
घर	ốc
घर	nhà
संस्कृत	phạn
संस्कृत	sanskrit
प्रकाशित	đăng
मई	may
सेना	sena
सेना	quân
सेना	army
पार्टी	đảng
पार्टी	party
पार्टी	tiệc
हम	hum
पश्चिम	tây
अंत	end
अंत	kết
पूरी	toàn
पूरी	hẹt
पूरी	whole
नए	mơi
क्या	gì
अगस्त	august
विकसित	evolved
प्रदर्शन	suất
मार्ग	đường
दिसम्बर	dec
प्रदर्शित	chê
सहायता	cứu
सहायता	giúp
सहायता	aid
पहला	trước
पहला	đầu
मृत्यु	chết
स्वयं	self
स्वयं	tự
स्वयं	chính
विकिपीडिया	wiki
विकिपीडिया	wikipedia
देखा	thấy
देखा	cưa
संबंधित	related
चीन	china
अभी	giờ
अभी	ngay
संघ	union
संघ	hợp
संघ	federation
यात्रा	du
यात्रा	tý
यात्रा	lượt
यात्रा	trip
रचना	tạo
रचना	rachana
जगह	nơi
जगह	chỗ
भिन्न	khác
लोक	loka
लोक	công
सब	sab
सब	hết
पूरा	say
पूरा	full
पूरा	đầy
पूरा	toàn
पूरा	hẹt
पूरा	whole
प्रकाश	châm
प्रकाश	đèn
प्रकाश	nhạt
प्रकाश	prakash
प्रकाश	đèn
नई	new
नई	mới
नई	sâm
नई	mơi
दूसरी	giây
कार्यक्रम	trắc
कार्यक्रम	chương
पुराने	cũ
पुराने	tuổi
पुराने	già
भगवान	bhagavan
भगवान	huân
लिखा	viết
संस्थान	viện
पूर्ण	hảo
पूर्ण	say
पूर्ण	full
पूर्ण	đầy
परिवर्तन	dốc
परिवर्तन	đổi
परिवर्तन	thay
टीम	tạo
टीम	đội
टीम	lớp
टीम	team
अगर	agar
शैली	style
शैली	shelly
स्कूल	trường
स्कूल	trường
स्कूल	học
पुस्तक	sách
संस्करण	edition
संस्करण	phiên
संस्करण	bản
खिलाड़ी	player
आकार	hình
आकार	form
आकार	cỡ
आकार	thước
आकार	cỡ
आकार	size
उत्तरी	bắc
सीमा	hạn
सीमा	viền
सीमा	biên
सीमा	tầm
पश्चिमी	tây
राजधानी	vốn
दर्शन	darshan
दर्शन	vision
वहाँ	kia
वहाँ	đó
विधि	luật
दृष्टि	visual
दृष्टि	vision
सिद्धांत	thuyết
सिद्धांत	siddhanta
बैंक	banks
बैंक	ngân
बैंक	bank
ज्यादा	thêm
अंतिम	cuối
अंतिम	final
हिन्दू	hindu
हिन्दू	hinđu
लाल	đỏ
पूर्वी	đông
व्यापार	trade
महिला	nữ
महिला	đầm
महिला	tẩy
महिला	nữ
जीवित	sống
जीवित	live
जीवित	alive
अभिनेता	diễn
क्षमता	capability
वो	cổ
पृथ्वी	đất
गति	motion
गति	seeding
परिणाम	quả
राजस्थान	rajasthan
लेने	taking
होगा	will
होगा	sẽ
होगा	muốn
पुत्र	trai
पुत्र	nhi
पुत्र	son
सहित	gồm
शासन	luật
छत्तीसगढ़	chhattisgarh
वर्णन	tả
क्रिकेट	dế
क्रिकेट	cricket
योजना	scheme
योजना	plan
सन	nắng
सन	cn
राजनीतिक	rajkot
प्राकृतिक	chích
कहानी	truyện
कहानी	chuyện
वृद्धि	escalation
वृद्धि	rise
वृद्धि	tăng
वृद्धि	nâng
वृद्धि	lift
वृद्धि	dỡ
वृद्धि	gai
वृद्धि	increment
सुरक्षा	ninh
कवि	thơ
हिस्सा	saga
हिस्सा	part
हिस्सा	phần
पद	rang
पद	rank
हाथ	tay
हाथ	tay
जनता	công
विस्तार	bung
पूरे	toàn
पूरे	hẹt
पूरे	whole
युग	yuga
द्वितीय	giây
मेल	mail
मेल	evolution
मेल	thư
दूसरा	giây
यूरोप	âu
शुरुआत	commencement
निर्मित	tạo
सामग्री	dung
सामग्री	nguyên
सामग्री	dung
ऊर्जा	lượng
ली	lee
कुमार	kumar
उद्देश्य	aim
उद्देश्य	ngắm
उद्देश्य	nhắm
प्रान्त	tỉnh
सर्वश्रेष्ठ	nhất
द्वीप	đảo
केंद्र	tâm
केंद्र	centre
ठीक	ok
ठीक	ổn
ठीक	khỏe
पदार्थ	nguyên
पदार्थ	chất
तथ्य	sự
लाभ	lợi
साम्राज्य	empire
देवी	devi
भूमि	đáp
व्यापक	lược
व्यापक	rộng
व्यापक	vid
व्यापक	rộng
किमी	kms
किमी	mph
परीक्षण	test
परीक्षण	thử
अनुसंधान	bê
आन्ध्र	andhra
गीत	lyrics
गीत	song
गणना	đếm
गणना	tính
निम्न	low
निम्न	thấp
खोज	tìm
खोज	discovery
जाति	đua
जाति	nhung
जाति	caste
योगदान	góp
इनकी	nhị
सही	hảo
सही	phải
सही	đúng
सही	thật
सही	đúng
सही	đúng
पुरुष	hãm
पुरुष	buồng
पुरुष	đực
पुरुष	nam
पुरुष	người
पुरुष	man
मिल	mill
जनगणना	census
अंतर्गत	dưới
अंतर्गत	under
उद्योग	ngành
छोटी	nhỏ
छोटी	nhỏ
छोटी	tiểu
छोटी	bài
छोटी	ngắn
छोटी	short
छोटी	lá
मदद	cứu
मदद	giúp
दिशा	hướng
दिशा	hướng
सूचना	info
सूचना	chuông
सूचना	quận
कमी	vitamin
पत्र	chữ
पत्र	thư
राम	ram
राम	rama
नवम्बर	nov
माता	mata
पीछे	ngược
पीछे	ngược
पीछे	rear
दल	nhóm
दल	đảng
दल	party
दल	tiệc
मीटर	mts
मीटर	mét
मीटर	mét
मीटर	mét
क्रिया	hành
गूगल	google
गूगल	google+
विवाह	marriages
विवाह	cưới
मैच	thủ
मैच	khớp
बनाए	tạo
सुधार	sửa
समाप्त	end
समाप्त	kết
समाप्त	xong
ब्रिटेन	britain
करें	toc
दिनों	ngày
रह	reh
नियम	luật
नियम	luật
जन्मे	sinh
शब्दों	lời
स्वास्थ्य	khỏe
सहायक	ass
सहायक	helper
प्रयुक्त	phơi
उल्लेख	mentions
उपयुक्त	aligned
बंद	close
बंद	đóng
बंद	gần
बंद	kín
बंद	off
बंद	tắt
बंद	đóng
किलोमीटर	km
जिसने	ai
जिसने	who
इंग्लैंड	eng
सार्वजनिक	công
लाख	triệu
लाख	lacs
लाख	lac
खिलाफ	dũng
खिलाफ	chống
सफल	prosper
सफल	prolific
पहचान	identity
देना	dena
रक्त	máu
रक्त	huyết
सम्मान	bai
सम्मान	vinh
नृत्य	điệu
नृत्य	múa
स्रोत	nguồn
स्रोत	nguồn
लगे	lage
एकल	single
एकल	đơn
संकेत	nhắc
संकेत	hint
मानक	chuẩn
मानक	standard
स्वतंत्रता	do
स्वतंत्रता	liberty
यौगिक	compound
विकि	wiki
विद्यालय	trường
विद्यालय	trường
विद्यालय	học
विशाल	huge
विशाल	lớn
विशाल	massive
गैर	non
बंगाल	bengal
कानून	luật
कानून	luật
महान	tuyệt
बल	buộc
भाई	bro
भाई	huynh
तहत	dưới
तहत	under
केन्द्र	tâm
केन्द्र	centre
अवस्था	bang
निजी	tư
जॉन	gioan
जॉन	john
मिला	mila
घंटे	tiếng
घंटे	giờ
मुक्त	free
मुक्त	rảnh
बल्कि	aye
बल्कि	thà
परन्तु	nhưng
मनुष्य	human
मनुष्य	người
मनुष्य	man
उपकरण	cụ
विक्रम	vikram
नेपाल	nepal
बदलाव	makeover
बदलाव	đổi
बदलाव	thay
अनुमति	ngập
अनुमति	quyền
अनुमति	phép
अनुमति	phép
हवाई	hawai
हवाई	hawaii
हवाई	hawaii
गांव	làng
यूरोपीय	âu
पटना	patna
साधारण	mediocre
साधारण	tướng
साधारण	chung
देखने	xem
पंजाब	punjab
दक्षिणी	nam
बैंड	ban
बैंड	band
नया	new
नया	mới
नया	sâm
नया	mơi
पर्वत	núi
सूर्य	nắng
सूर्य	cn
अनुवाद	dịch
अनुवाद	dịch
अनुवाद	dịch
मान	giá
स्वतंत्र	lập
टीवी	tv
टीवी	tivi
चला	chạy
पक्ष	bên
पक्ष	phe
पक्ष	trang
दृश्य	views
दृश्य	cảnh
दृश्य	bien
दृश्य	xem
दृश्य	view
भोजन	mat
भोजन	foods
शिव	shiv
शिव	shiva
मॉडल	model
मुंबई	mumbai
आयोजित	chức
प्रांत	tỉnh
मिलियन	milan
मिलियन	milano
मिलियन	triệu
मिलियन	triệu
पांच	năm
संचालित	powered
वहां	kia
वहां	đó
मन	phiền
मन	mann
ऑस्ट्रेलिया	australia
ऑस्ट्रेलिया	úc
उम्र	tuổi
सागर	sagar
सागर	biển
सक्रिय	bật
आया	aya
छोड़	skip
छोड़	bỏ
कृपया	xin
जर्मनी	đức
जर्मनी	đức
हासिल	hoài
लंदन	đôn
लंदन	london
जापान	japan
वस्तु	tố
वस्तु	nguyên
वस्तु	tượng
सम्मानित	vinh
स्वरूप	format
जीत	thang
जीत	win
जीत	thắng
जीत	triệt
जीत	thắng
अध्यक्ष	loa
राज्यों	kỳ
राज्यों	rajkot
विजेता	thang
विजेता	thắng
बाजार	bazaar
बाजार	chợ
लीग	league
कविता	thơ
कविता	thơ
तरफ	bên
तरफ	phe
तरफ	trang
दिसंबर	dec
खान	khan
ग्रंथ	granth
वास्तविक	real
वास्तविक	thực
वास्तविक	thật
वास्तविक	thiệt
इलाहाबाद	allahabad
चैनल	kênh
चैनल	chanel
चैनल	kênh
राज	raj
सात	seven
सात	bảy
सात	vỉ
सात	vii
आरंभ	khởi
आरंभ	startup
समुद्र	biển
प्रारंभ	khởi
प्रारंभ	startup
समाचार	tin
समस्या	đề
वीडियो	video
वीडियो	video
वीडियो	videos
नही	không
नही	ko
वन	rừng
नेटवर्क	mạng
नेटवर्क	mạng
प्रकृति	natures
मूल्य	price
मूल्य	giá
मूल्य	giá
क्लब	club
क्लब	clb
अरब	rập
अरब	arab
अरब	tỷ
अरब	tỉ
चरण	bước
चरण	bước
चरण	stage
चल	chal
नाटक	drama
नाटक	kịch
विरोध	xung
ज्ञात	quen
अंतर	gap
निर्धारित	quyết
कैलेंडर	lịch
सीमित	hẹp
तेल	nhớt
तेल	dầu
काव्य	thơ
छोटा	nhỏ
छोटा	nhỏ
छोटा	tiểu
छोटा	bài
छोटा	ngắn
छोटा	short
छोटा	lá
छोटा	xíu
छोटा	tiny
संपादन	sửa
औसत	mediocre
अफ्रीका	phi
विश्वास	tin
विश्वास	tin
रक्षा	vệ
जर्मन	đức
विपरीत	ngược
विपरीत	ngược
खुद	chính
विद्युत	điện
विद्युत	điện
विद्युत	điện
वायु	gió
वायु	khí
वायु	air
अधिनियम	act
लिखे	viết
लिखे	ghi
लिखे	gõ
रूस	nga
विजय	vijay
बस	bus
बस	chỉ
बस	funny
गुरु	guru
महाराष्ट्र	maharashtra
महिलाओं	quý
महिलाओं	nữ
हमारे	plr
फ्रांस	pháp
धारा	phần
धारा	luồng
धारा	suối
धारा	stream
प्रेम	prem
प्रेम	love
प्रेम	yêu
इंजन	tơ
आंदोलन	uro
कृष्णा	krishna
अभिनय	diễn
विधान	vidhan
रासायनिक	hóa
कृष्ण	krishna
नैनीताल	nainital
डॉलर	đôla
बच्चे	con
मन्दिर	đền
मन्दिर	chùa
पर्याप्त	đủ
मसीह	christ
भारी	nặng
पत्नी	vợ
पत्नी	vơ
पत्नी	vk
कप	cup
कप	cốc
कप	tách
कपूर	kapur
कपूर	kapoor
तरीके	cách
उचित	fair
सड़क	phố
सड़क	street
सड़क	đường
सड़क	road
रात	đêm
कोशिश	thử
सूत्र	kinh
डिग्री	độ
बाल	tóc
बाल	bal
झील	hồ
ना	naa
स्वामी	hữu
स्वामी	swami
सिर्फ	chỉ
सिर्फ	duy
सिर्फ	chỉ
सिर्फ	funny
कश्मीर	kashmir
पिछले	trước
आयु	ayu
आयु	tuổi
प्रशिक्षण	luyện
प्रशिक्षण	training
फ़रवरी	tháng
फ़रवरी	feb
रेडियो	đài
रेडियो	radio
डिजाइन	designs
दस	mười
आगरा	agra
जिन	jin
जिन	kim
जिन	gin
आपको	các
आपको	cac
आपको	bạn
आपको	anh
आपको	cô
सहयोग	collaborations
गैस	gas
गैस	xăng
वी	wii
राय	rai
राय	roy
कनाडा	canada
विश्लेषण	analytics
लक्ष्य	tiêu
लक्ष्य	đo
लक्ष्य	đo
शासक	ruler
शासक	thước
न्यायालय	triều
तमिल	tamil
मीडिया	media
जूलियन	julian
पार्क	viên
पार्क	park
पार्क	parks
तट	cảng
अधिकारी	quan
मिट्टी	clay
मिट्टी	bùn
तंत्र	hệ
सितम्बर	sept
सप्ताह	tuần
सप्ताह	tuần
निकट	gần
ग्राम	gam
ग्राम	gram
ग्राम	gam
ग्राम	gram
ग्राम	grams
शायद	chu
देख	xem
लिंक	link
लिंक	xích
लिंक	links
पाँच	năm
निर्देशक	trương
संपर्क	lạc
गंगा	ganga
गंगा	hằng
महीने	tháng
महीने	tháng
शर्मा	sharma
सुरक्षित	an
सुरक्षित	reserved
पद्म	padma
भूगोल	globe
लिपि	script
एल्बम	album
एल्बम	album
एल्बम	albums
धन	tiền
धन	tien
योग	sum
योग	yoga
गुजरात	gujrat
गुजरात	gujarat
शीर्ष	nắp
शीर्ष	top
शीर्ष	đỉnh
संस्था	sở
प्रधान	prime
प्रधान	pradhan
प्रधान	sếp
नेता	leader
शीर्षक	caption
शीर्षक	tựa
अवसर	dịp
अवसर	hội
अंक	điểm
अंक	điểm
अंक	điểm
प्रसाद	prasad
शोध	bê
गांधी	gandhi
हमेशा	luôn
जोखिम	liều
जोखिम	ro
जोखिम	hazard
तापमान	nhiệt
शाखा	cành
शाखा	cành
शाखा	nhánh
इत्यादि	etc
इत्यादि	vv
प्रतीक	icon
रायगढ़	raigarh
संदर्भ	ref
करीब	closer
करीब	close
करीब	đóng
करीब	gần
करीब	kín
चक्र	wheel
चक्र	luân
प्राथमिक	chính
ग्रह	tinh
महल	mahal
महल	fortresses
सिद्ध	siddha
बजाय	thà
निधन	chết
भूषण	bhushan
बराबर	bằng
मिनट	phút
मिनट	phút
मिनट	phút
मिनट	phút
मिनट	min
फिल्मों	phim
व्यवसाय	nghề
बनाई	recreated
शो	xem
शो	hiện
शो	show
रिपोर्ट	cáo
अंग	organ
हिस्से	saga
हिस्से	part
हिस्से	phần
मुस्लिम	muslim
रिकॉर्ड	album
रिकॉर्ड	records
धातु	co
संघर्ष	xung
तकनीक	ktv
कैसे	bao
प्रकट	lộ
कार्बनिक	organic
शाह	shah
विवरण	tả
विवरण	tiết
शादी	cưới
उप	sub
पात्र	container
वेब	web
चेन्नई	chennai
परमाणु	nguyên
परमाणु	atom
आक्रमण	công
कार	car
कार	xe
कार	oto
कार	ôtô
केरल	kerala
जांच	khám
जांच	test
जांच	thử
पत्थर	đá
पत्थर	stone
आठ	tám
आठ	eight
टेनिस	tennis
देव	dev
देव	deo
आचार्य	acharya
युक्त	ukraine
युक्त	ucraina
युक्त	ukraina
घोषित	tuyên
सिस्टम	hệ
किनारे	góc
किनारे	ngách
किनारे	mép
किनारे	biên
किनारे	mép
किनारे	edge
किनारे	rìa
किनारे	cạnh
कार्बन	carbon
कार्बन	cacbon
गणित	toán
गणित	toán
गणित	toán
मौत	chết
अली	ali
ग्रहण	eclipse
माँ	mª
माँ	mẹ
माँ	mom
माँ	mẹ
विष्णु	vishnu
मैदान	plains
मैदान	plain
मैदान	maidan
मैदान	đất
विमान	aviation
औरंगाबाद	aurangabad
सक्षम	bật
वातावरण	atmosphere
लागत	tốn
अलीगढ़	aligarh
सीधे	thẳng
सीधे	sảnh
प्रेस	nhấn
प्रेस	bào
प्रेस	ấn
प्रेस	bấm
रोमन	roman
रोमन	đế
मील	dặm
मील	miles
मील	phít
मील	km
मील	dặm
अज्ञात	anonymous
रेखा	line
रेखा	dòng
पार	chinh
पार	chon
लेखन	viết
लेखन	ghi
सेंट	xu
बोली	thầu
बोली	bid
नष्ट	hỏng
नष्ट	hư
नष्ट	xì
अल्मोड़ा	almora
हवा	gió
पाठ	chữ
वैदिक	vedic
गठन	khung
गठन	khung
नागरिक	civic
अस्तित्व	survival
गंभीर	bách
समझ	hiểu
समझ	hieu
किस	hôn
किस	kiss
आदेश	lệnh
अंदर	indoor
छह	six
छह	sáu
उनसे	them
उनसे	cói
उनसे	chúng
उनसे	họ
निवास	residences
हत्या	giết
हत्या	giết
पवित्र	thánh
विभाजित	chia
विभाजित	tách
विभाजित	chia
अम्ल	axit
अम्ल	acid
अम्ल	axít
वही	cùng
जीता	thắng
जीता	won
जीता	thắng
मुद्रा	tiền
मुद्रा	tien
युवा	trẻ
युवा	young
प्रसारण	phát
नियमित	thường
व्याख्या	note
शेष	trái
दावा	nhận
दावा	ngợi
दावा	khai
मोबाइल	mobile
मोबाइल	mobil
दिवस	ngày
दिवस	day
विधायक	mla
तर्क	luận
तर्क	logic
आपके	của
विरुद्ध	dũng
विरुद्ध	chống
परीक्षा	test
परीक्षा	thử
परीक्षा	thi
परीक्षा	thi
महाभारत	mahanadi
महाभारत	mahabharata
भविष्य	lai
बिक्री	bán
बिक्री	lô
बिक्री	bán
बिक्री	lô
बिक्री	sale
इंटरनेट	internet
कर्नाटक	karnataka
पौड़ी	pauri
सम्मेलन	thảo
रानी	hậu
सिटी	phố
सिटी	by
अच्छे	tốt
अच्छे	hay
अच्छे	ngon
तुम	các
तुम	cac
तुम	bạn
तुम	anh
तुम	cô
सिर	đầu
सिर	đàu
सिर	head
बोर्ड	bảng
ख़ान	khan
फरवरी	tháng
फरवरी	feb
नेशनल	gạt
संसार	giới
संसार	worlds
कोलकाता	kolkata
समारोह	lễ
समारोह	jamboree
मस्तिष्क	óc
मस्तिष्क	não
जेम्स	james
प्रायः	thuồng
प्रायः	thường
मौसम	mùa
मौसम	seasons
मौसम	mùa
मौसम	season
छात्र	bmi
खाना	mat
मिले	trúng
मिले	met
इटली	italy
सिद्धान्त	siddhanta
सिद्धान्त	thuyết
विरोधी	địch
संक्रमण	dốc
घाटी	lũng
विलियम	william
विकल्प	alternatives
उद्यान	viên
उद्यान	park
होगी	will
होगी	sẽ
होगी	muốn
पशु	vật
पशु	vật
मुरादाबाद	moradabad
ईसाई	nguyen
ईसाई	christian
याद	nhớ
मानसिक	psychic
फर्रुखाबाद	farrukhabad
रसायन	hóa
रसायन	hóa
रसायन	lờ
क्षेत्रफल	loạt
क्षेत्रफल	vực
क्षेत्रफल	vùng
अमरीका	châu
अमरीका	mỹ
शिकार	capture
शिकार	prey
शिकार	săn
रोगी	nhân
रूसी	nga
अधीन	dưới
अधीन	under
गुप्त	gupta
गुप्त	covert
गुप्त	mật
गुप्त	bí
मंडल	mandala
ब्राह्मण	brahmin
ब्राह्मण	brahman
माने	mane
माने	bờm
हृदय	tim
हृदय	heart
हिंदू	hindu
हिंदू	hinđu
शुद्ध	sạch
चर्च	thờ
स्टार	star
वर्षा	rain
वर्षा	mưa
वर्षा	rainforest
जनरल	gen
जनरल	tướng
जनरल	chung
मार	giết
मार	giết
परिचय	khoảng
परिचय	về
परिचय	ban
परिचय	intro
उत्पत्ति	vạn
उत्पत्ति	genesis
