ausscheiden	звільнення
christ	християнин
christ	крістіан
christ	християнський
christ	християнська
christ	христос
christ	christ
christ	христа
vorwort	преамбула
vergrößert	збільшує
vergrößert	збільшив
tropischen	тропічний
tropischen	тропічні
miami	miami
miami	маямі
shanghai	шанхай
mexico	мексики
mexico	мексиці
mexico	мексика
bischofs	єпископа
bischofs	єпископ
vertretung	представлення
vertretung	реп
vertretung	репутації
vertretung	представник
vertretung	представника
fauna	фауна
fauna	природу
abriss	знесення
protokoll	хвилин
protokoll	хвилини
protokoll	протокол
protokoll	журнал
protokoll	лог
protokoll	log
protokoll	журнали
protokoll	журналів
athleten	спортсмен
athleten	спортсмени
teilnehmern	учасників
teilnehmern	учасники
teilnehmern	учасникам
teilnehmern	учасників
teilnehmern	учасники
baker	бейкер
baker	пекар
ethnischen	національну
ethnischen	етно
ethnischen	етнічна
copa	кубок
konzipiert	запропонувала
konzipiert	розроблена
konzipiert	розробив
konzipiert	розроблено
breiter	ширше
breiter	широкі
breiter	широке
breiter	широкий
breiter	широка
breiter	ширшу
udo	удо
steuerung	контроль
steuerung	контрольна
steuerung	керування
steuerung	контролер
steuerung	регулятор
steuerung	керування
steuerung	управління
steuerung	контролює
vortrag	лекції
vortrag	лекція
vortrag	мовлення
vortrag	промову
vortrag	презентацію
vortrag	презентації
vortrag	презентація
vortrag	поговоримо
vortrag	розмова
vortrag	talk
vortrag	говорити
prinzipien	засади
prinzipien	принципи
dienstleistungen	послуги
dienstleistungen	служби
lehrbuch	підручник
lehrbuch	присвячена
lehrbuch	посібник
comedy	комедія
comedy	комедії
basketballspieler	баскетбол
subsp	subsp
hansen	гансен
catherine	катерина
standorte	розміщення
standorte	місцезнаходження
standorte	локація
standorte	місце
standorte	розташування
standorte	розташування
standorte	адреси
standorte	місця
standorte	адрес
standorte	сайти
standorte	сайтів
standorte	юнеско
aufteilung	виділення
aufteilung	зриву
aufteilung	розподіл
aufteilung	розділення
aufteilung	поділ
böhmischen	чеський
böhmischen	чеському
erwachsene	дорослому
erwachsene	доросла
erwachsene	виріс
erwachsene	дорослі
erwachsene	дорослих
erwachsene	доросла
erwachsene	дорослі
erwachsene	доросле
erwachsene	дорослий
werfen	кидати
werfen	зіграла
werfen	кидок
werfen	викидати
werfen	молота
werfen	кинути
erfunden	вигадав
erfunden	винайшов
mexikanischen	мексиканська
mexikanischen	мексиканський
philosophen	філософи
philosophen	філософ
frag	запитати
frag	питати
frag	запитувати
frag	попросити
frag	спитати
frag	ask
ehrenmitglied	почесний
dicke	жирна
dicke	товстий
dicke	товста
dicke	густе
dicke	товщина
irischen	ірландський
irischen	irish
irischen	ірландська
ländlichen	сільське
ländlichen	сільська
han	хан
han	хана
vielfalt	численність
vielfalt	різноманітність
vielfalt	diversity
vielfalt	різноманітності
vielfalt	різноманіття
vielfalt	різноманітність
vielfalt	сорти
vielfalt	різноманітності
wettbewerbe	конкурсів
wettbewerbe	змагань
wettbewerbe	змагання
wettbewerbe	конкурси
wettbewerbe	конкурс
wettbewerbe	євробачення
rowohlt	rowohlt
heiraten	одружуватися
heiraten	одружитися
heiraten	ср
heiraten	шлюб
heiraten	весілля
murray	мюррей
archäologe	археолог
austin	остін
stellungnahme	думка
zelle	клітинка
zelle	комірки
zelle	комірку
zelle	клітини
zelle	комірка
zelle	комірки
wälder	лісі
wälder	побратима
wälder	ліси
wälder	лісах
wälder	лісами
wälder	лісова
wälder	ліс
schließung	закриття
schließung	замикання
schließung	закриття
hierher	тут
ausgelöst	спричинили
maßnahme	бойовики
maßnahme	дії
maßnahme	дія
maßnahme	вимірювання
maßnahme	міру
maßnahme	міра
chief	шеф
chief	вождь
chief	головний
echo	echo
echo	ехо
echo	відлуння
grundlegende	основи
grundlegende	основне
grundlegende	фундаментальні
grundlegende	базові
grundlegende	базове
grundlegende	основні
grundlegende	базовий
grundlegende	основний
professoren	професорів
geschmack	смак
geschmack	аромат
porto	поштові
porto	порто
porto	порту
konzentration	спеціальність
konzentration	спеціальність
konzentration	концентрація
ansprüche	заявляє
ansprüche	стверджує
wiedervereinigung	зустрілася
kabel	кабелі
kabel	дріт
kabel	кабель
berner	берн
konzentrierte	зосереджена
konzentrierte	фокусі
keramik	кераміка
keramik	керамічний
keramik	кераміка
keramik	кераміка
bismarck	бісмарк
monika	моніка
monika	monika
monika	моніка
pakistan	пакистану
pakistan	пакистан
grant	грант
grant	надати
angemeldet	ввійшли
angemeldet	подав
angemeldet	зареєстрували
brasilianischen	бразильська
löwe	лев
löwe	леви
löwe	лео
löwe	лев
pädagogik	педагогіка
melodie	мелодія
melodie	мелодії
melodie	мелодію
canadian	канадська
canadian	канадський
canadian	canadian
beratung	порада
beratung	пораду
beratung	поради
beratung	попередження
beratung	консультант
beratung	консалтинг
beratung	консультування
beratung	консультацій
beratung	консалтингових
bäumen	дерев
bäumen	дерева
boeing	боїнг
boeing	boeing
beschäftigung	працевлаштування
externe	зовнішнє
externe	зовнішні
externe	зовнішній
externe	зовнішня
orientierung	орієнтація
orientierung	орієнтацію
prinzen	принців
prinzen	принц
prinzen	принца
prinzen	князь
mängel	слабкості
mängel	слабкості
mängel	дефекти
medal	медаль
portrait	портрет
portrait	книжкова
challenge	виклик
werten	значення
werten	цінності
elektronischen	електронне
elektronischen	електронні
elektronischen	електроніка
elektronischen	електронна
elektronischen	електронний
fachzeitschrift	журнал
fachzeitschrift	journal
fachzeitschrift	щоденник
salvador	сальвадор
saarland	саар
dakota	дакота
untergang	тягарем
untergang	лихо
untergang	горе
untergang	дум
untergang	горою
untergang	смерть
untergang	занепад
untergang	загибель
rache	розплата
rache	помста
rache	помсти
rache	помста
dutzend	десятки
dutzend	десяток
dutzend	десятки
egon	егон
utrecht	утрехт
control	контроль
control	контрольна
control	керування
vorwürfe	заявою
vorwürfe	звинувачення
tiger	tiger
tiger	тигр
tiger	тигри
päpstlichen	папська
päpstlichen	папська
finanziell	фінансово
finanziell	матеріально
finanziell	фінанси
finanziell	фінансові
finanziell	фінансова
finanziell	фінанси
beamter	офіційні
beamter	офіційна
beamter	офіційний
beamter	офіційне
beamter	чиновники
beamter	чиновників
beamter	наглядач
beamter	офіцер
allgemeines	загальні
allgemeines	генерал
allgemeines	загальний
allgemeines	загальне
lichtenberg	ліхтенберг
wang	ван
liverpool	ліверпуль
ringer	борці
ringer	двійник
ringer	боротьба
ringer	борець
identifiziert	визначена
identifiziert	визначено
behauptungen	заявляє
behauptungen	стверджує
behauptungen	заявою
behauptungen	умовних
gerecht	ярмарок
gerecht	справедливо
gerecht	справедлива
gerecht	справедливий
roll	рол
roll	roll
roll	кинути
broadway	бродвей
