文字通り	字面上
狂気	瘋狂
狂気	瘋狂
懸賞	抽獎
懸賞	獎品
ストーカー	跟蹤
ロバ	驢
ロバ	驢子
ジュリー	julie
大麻	大麻
村落	鄉村
村落	村莊
村落	村
村落	鄉村
村落	村莊
村落	村落
村落	村子
かわいい	可愛
モニュメント	古蹟
モニュメント	紀念碑
モニュメント	碑
モニュメント	紀念碑
ジャッジ	法官
注入	注入
ローラン	laurent
マジカル	神奇
リクルート	招募
リクルート	新兵
銃器	火器
銃器	火器
銃器	槍械
ソート	排序
ソート	排序
覚書	備忘錄
サンダー	雷電
サンダー	雷霆
サンダー	打雷
紅茶	茶葉
紅茶	茶
デア	der
ヴィンセント	vincent
ハイライト	突顯
ハイライト	突顯
ハイライト	凸顯
フェスタ	festa
マシーン	機械
マシーン	機
マシーン	機器
ポーラ	paula
船首	弓
船首	鞠躬
暗闇	黑暗
マーチン	martin
マーチン	馬丁
リラ	里拉
せり	拍賣
リベラル	自由主義
プロローグ	序幕
プロローグ	序
果物	果實
果物	水果
果物	果
果物	果實
果物	水果
おじ	舅舅
おじ	伯父
おじ	叔叔
おじ	阿叔
停電	停電
爬虫類	爬蟲類
爬虫類	爬蟲類
共感	共鳴
五つ	五
五つ	五個
税金	納稅
税金	稅務
税金	稅收
税金	稅
税金	稅金
税金	稅務
税金	稅收
税金	稅
税金	稅款
登る	爬升
登る	爬
隔離	隔絕
隔離	隔離
隔離	孤立
隔離	與世隔絕
バーレーン	巴林
球体	球體
領事	領事
領事	執政官
未熟	未成熟
不便	不便
不便	不便
キャメロン	cameron
染め	染色
染め	染
マーキュリー	水星
マーキュリー	水銀
マーキュリー	汞
知識人	智力
談話	話語
砲艦	炮艇
ウェディング	婚禮
ウェディング	婚禮
義昭	yoshiaki
着物	和服
救急車	救護車
救急車	救護
花弁	花瓣
残党	殘留物
ノエル	noel
絶縁	絕緣
絶縁	隔熱
ナタリー	natalie
在庫	庫存
在庫	存貨
在庫	庫存
トミ	tomi
カーティス	curtis
サングラス	太陽眼鏡
サングラス	墨鏡
スプリンター	碎片
原子核	核
原子核	核心
ペルソナ	人格
軍縮	裁軍
スプレー	噴霧
スプレー	噴
ガリレオ	伽利略
ポテンシャル	潛力
ポテンシャル	潛在
生化学	生物化學
スピーチ	講話
スピーチ	演講
スピーチ	語音
スピーチ	演說
ジャスティン	justin
シング	singh
タスク	任務
タスク	任務
ジュピター	木星
キャプション	標題
鞍馬	鞍馬
物品	商品
物品	貨物
サイレン	警笛
直哉	naoya
ルーレット	輪盤
小人	矮人
小人	矮
小人	侏儒
小人	矮星
リビング	生活
バイオリン	小提琴
バイオリン	琴
バイオリン	提琴
ジャカルタ	雅加達
インターフェース	介面
インターフェース	介面
即興	即興
コーダ	coda
ドロー	繪製
ドロー	畫
ドロー	抽籤
賞品	獎品
公判	審訊
公判	審判
収縮	收縮
カスタマイズ	定制
カスタマイズ	定制
バングラデシュ	孟加拉國
ペルシャ	波斯
車道	車道
リハビリテーション	康復
屈折	折射
アクセサリー	飾品
アクセサリー	配件
アクセサリー	配件
アクセサリー	從犯
肥料	施肥
肥料	肥料
肥料	化肥
フォーチュン	財富
検知	探測
検知	偵測
検知	檢測
検知	偵測
花序	inflorescence
野獣	野獸
野獣	獸
野獣	怪獸
サメ	鯊魚
サメ	鯊
サメ	鯊魚
フレディ	freddy
湖沼	湖泊
オペレーター	經營者
ゲット	獲取
ゲット	獲得
ゲット	得到
レイチェル	rachel
バンクス	銀行
ナット	堅果
陽気	開朗
ホルヘ	jorge
概説	提綱
概説	概要
概説	大綱
概説	輪廓
ジョイ	快樂
ジョイ	喜悅
ジョイ	歡樂
ジョイ	joy
クッキング	做飯
クッキング	烹飪
クッキング	煮
クッキング	烹調
クッキング	煮飯
リーク	洩漏
プッシュ	推
プッシュ	推推
プッシュ	推動
ファンク	funk
グアテマラ	瓜地馬拉
フライデー	星期五
フライデー	週五
ダイバー	潛水員
ダイバー	潛水員
可視	可見
メタン	甲烷
メタン	沼氣
長方形	矩形
長方形	矩形
パイプライン	管道
パイプライン	管線
河南省	河南
疾病	病
疾病	疾病
迷路	迷宮
コントローラー	控制器
形容詞	形容詞
形容詞	形容詞
アスリート	運動員
アスリート	運動員
ユーリ	yuri
手足	肢體
手足	四肢
手足	肢
丸い	圓
丸い	輪
ジェラルド	gerald
変奏曲	變異
カーテン	窗簾
カーテン	簾幕
カーテン	窗簾
嫌悪	反感
嫌悪	厭惡
嫌悪	厭惡
嫌悪	反感
嫌悪	厭惡
豆腐	豆腐
昨日	昨天
昨日	昨日
人道	人道主義
引き出し	抽屜
課金	電荷
課金	充電
課金	收費
我慢	耐心
我慢	忍耐
我慢	耐性
レクリエーション	娛樂
レクリエーション	休閒
コンパイル	編譯
コンパイル	編纂
コンパイル	編譯
コンパイル	匯編
コンパイル	編譯
カルメン	carmen
超新星	超新星
バンパー	保險槓
命題	命題
命題	提議
ファイターズ	戰鬥機
ファイターズ	鬥士
サーベル	sabre
ファシズム	法西斯
テナー	男高音
ハルビン	哈爾濱
組み込み	嵌入
組み込み	嵌入式
ズボン	褲
ズボン	褲子
ズボン	長褲
ズボン	褲
ズボン	褲子
カリキュラム	課程
カリキュラム	課程
カリキュラム	教學大綱
タップ	水龍頭
藤山	fujiyama
おしゃれ	時尚
合理化	合理化
風車	風車
風車	風車
定量	量化
定量	定量
ヒデ	隱藏
遼寧省	遼寧
触手	觸角
触手	觸手
ドク	doc
ホイットニー	whitney
チタン	鈦
和睦	和解
生計	民生
生計	生計
悲しい	悲哀
悲しい	悲傷
悲しい	傷心
悲しい	難過
ステロイド	類固醇
ステロイド	類固醇
ハガキ	明信片
ダイス	骰子
アレクサンドラ	alexandra
宴会	宴會
スニーカー	sneaker
スニーカー	球鞋
メル	mel
メル	梅爾
ノミ	跳蚤
ノミ	跳蚤
ファイナンス	財務
偏見	偏見
ファルコン	獵鷹
ファルコン	隼
許す	寬恕
カメルーン	喀麥隆
牡丹	牡丹
コンプリート	完整
コンプリート	完成
スーパースター	巨星
ダイビング	跳水
ダイビング	潛水
ダイビング	俯衝
ダイビング	跳水
ダイビング	潛水
リザ	liza
マーラー	馬勒
カストロ	castro
ワシ	鷹
ワシ	老鷹
ワシ	雕
ワシ	鵰
新星	新星
新星	nova
農薬	農藥
農薬	殺蟲劑
農薬	農藥
農薬	殺蟲劑
ブロンズ	青銅
ブロンズ	銅
アントワーヌ	antoine
スキップ	跳過
ヤシ	棕櫚
小切手	支票
絶叫	尖叫
手榴弾	手雷
手榴弾	榴彈
手榴弾	榴彈
運動量	勢頭
パルチザン	黨派
パルチザン	游擊隊
セネガル	塞內加爾
浙江省	浙江
ソーラー	太陽
ソーラー	太陽能
ピザ	披薩
ピザ	比薩
土星	土星
サクセス	成功
ニカラグア	尼加拉瓜
アラー	真主
アラー	阿拉
海老	蝦
海老	蝦
コンパイラ	編譯器
コンパイラ	compiler
退屈	無聊
退屈	無聊
ダーツ	飛鏢
シフ	schiff
酸性	酸性
中庭	院子
中庭	庭院
ウィークリー	每星期
ウィークリー	週刊
ウィークリー	每週
ウィークリー	每周
購買	購買
購買	採購
ウィルス	病毒
ウィルス	病毒
アンジェラ	angela
噴水	噴泉
噴水	噴泉
リムジン	轎車
リムジン	轎車
試練	審判
ガレージ	車庫
苦しむ	受苦
ヘルプ	幫助
ヘルプ	幫忙
スーパーマン	超人
レンガ	磚頭
レンガ	磚
レンガ	磚塊
レンガ	磚頭
レンガ	brick
レンガ	磚
レンガ	磚塊
リベンジ	報復
リベンジ	報仇
リベンジ	復仇
ミヒャエル	麥可
ミヒャエル	michael
投影	投射
投影	投影
投影	預測
未婚	未婚
わくわく	興奮
わくわく	激動
ベティ	betty
ベーシック	基本
切り札	trump
包装	包裝
鉛筆	鉛筆
鉛筆	筆
鉛筆	鉛筆
会計士	會計師
会計士	會計
会計士	會計師
ヒート	熱
ヒート	熱火
ヒート	加熱
ヒート	熱力
ヒート	熱量
東南	東南
干拓	開墾
隣人	鄰居
乱暴	毛坯
乱暴	粗
乱暴	粗糙
エヴァ	eva
後悔	後悔
後悔	後悔
催眠	催眠
ハエ	飛
ハエ	蒼蠅
ハエ	飛翔
悪霊	妖
醍醐	醍醐
汚職	腐敗
取り付ける	附上
取り付ける	附加
必然	無可避免
必然	不可避免
服飾	服裝
服飾	戲服
ロケーション	所在地
ロケーション	位置
ロケーション	地點
牛肉	牛肉
確執	世仇
散乱	散射
レジスタンス	阻力
レジスタンス	電阻
レジスタンス	抵抗
レジスタンス	抵制
胎児	胎兒
マーカス	marcus
由緒	歷史
地下水	地下水
好奇心	好奇
好奇心	好奇心
好奇心	好奇
エドウィン	edwin
ニャー	喵
花粉	花粉
サタン	撒旦
生態学	生態
生態学	生態學
生態学	生態
サイクリング	單車
サイクリング	騎車
サイクリング	自行車
フレックス	flex
フレックス	彈性
バスト	胸圍
フェーズ	階段
タフ	艱難
タフ	強硬
スパイス	香料
スパイス	香料
鮮やか	生動
光沢	光澤
光沢	光滑
トラウマ	創傷
トラウマ	外傷
親指	拇指
親指	大拇指
親指	拇指
親指	大拇指
フォロー	跟著
フォロー	跟隨
政治局	政治局
粉末	麵粉
粉末	粉
粉末	粉末
粉末	火藥
粉末	粉末
ジブラルタル	直布羅陀
プレイボーイ	花花公子
マーズ	火星
台所	廚房
ちあき	千秋
レミ	remi
モア	moa
パウエル	鮑威爾
ジョエル	joel
誘発	誘導
誘発	誘發
リッチー	richie
楽屋	後台
公道	高速公路
公道	公路
峡谷	峽谷
峡谷	峽谷
峡谷	山溝
救世主	救星
救世主	救世主
馬術	馬術
書式	格式
書式	格式
書式	形式
書式	格式化
アレルギー	過敏症
アレルギー	過敏
ヘッドライト	車燈
ヘッドライト	車頭燈
ヘッドライト	車燈
知覚	感知
知覚	知覺
知覚	感知
クワ	桑
ブルズ	公牛
勇敢	勇者
勇敢	勇敢
モーメント	moments
モーメント	瞬間
モーメント	時刻
モーメント	時刻
農産物	莊稼
農産物	農作物
農産物	作物
洗練	老練
洗練	精密
洗練	高雅
レベッカ	rebecca
マルティネス	martinez
ウィレム	willem
キラキラ	火花
キラキラ	閃光
叙事詩	史詩
注射	注射
注射	注射
注射	注入
ファックス	傳真
平仮名	hiragana
無制限	無限
サギ	白鷺
サギ	鷺
ブレンド	混合
クレーム	投訴
クレーム	控訴
クレーム	申訴
クレーム	投訴
クレーム	申訴
プレスト	presto
島民	島民
トウモロコシ	玉米
修司	shuji
ギネス	gwyneth
景色	風景
景色	景觀
甲状腺	甲狀腺
尾形	緒方
尾形	緒形
フェルディナンド	ferdinand
ラインハルト	reinhard
ラインハルト	reinhardt
硝酸	硝酸鹽
硝酸	硝酸
図面	圖畫
図面	圖紙
図面	繪圖
図面	畫畫
図面	繪圖
図面	圖畫
図面	繪畫
ハッスル	喧囂
サバンナ	草原
埋める	埋
埋める	埋葬
埋める	填寫
埋める	填滿
埋める	填充
埋める	填補
フィンガー	指頭
フィンガー	手指
スターズ	星星
スターズ	明星
スターズ	星空
スターズ	星
スターズ	恆星
同化	同化
チャリティ	慈善
かつら	假髮
かつら	假髮
リッキー	ricky
ストリング	弦樂
ストリング	字串
ストリング	弦
プロット	密謀
プロット	陰謀
プロット	劇情
区切り	中斷
区切り	休息
区切り	打破
山西省	山西
雄大	華麗
計器	儀器
計器	樂器
計器	文書
ゲームセンター	arcade
クリケット	蟋蟀
ゆっくり	慢慢地
タオル	浴巾
タオル	毛巾
カローラ	花冠
プレジデント	總統
プレジデント	主席
ディッシュ	小菜
ディッシュ	菜
ビスタ	vista
クッキー	餅乾
クッキー	cookie
クッキー	餅乾
クッキー	cookie
電極	電極
シギ	鷸
瞑想	冥想
瞑想	打坐
瞑想	冥想
ノズル	噴嘴
ノズル	噴嘴
パイン	松樹
パイン	松
正方形	正方形
正方形	平方
正方形	方塊
正方形	方形
正方形	廣場
正方形	方塊
テオドール	theodor
パスカル	pascal
リザーブ	準備金
リザーブ	儲備
肥満	肥胖
肥満	肥胖症
エーテル	aether
エーテル	醚
モデリング	模特
モデリング	造型
キャビン	船艙
キャビン	客艙
キャビン	機艙
ヘリウム	氦
行軍	行軍
行軍	行進
羽毛	羽
羽毛	羽毛
羽毛	羽毛
ウッズ	林子
ウッズ	樹林
フラグ	旗幟
フラグ	國旗
フラグ	旗
フラグ	旗子
フラグ	旗幟
フラグ	旗
フラグ	旗子
銀河系	銀河
銀河系	星系
銀河系	galaxy
銀河系	銀河系
サプライズ	驚喜
サプライズ	驚奇
アニマル	動物
防水	防水
同定	識別
チャーチ	教會
チャーチ	教堂
開祖	創辦人
開祖	創始人
マグネシウム	鎂
共和制	共和國
共和制	共和
仮装	服裝
仮装	戲服
