est	rytų
fils	sūnus
fils	sūnūs
fils	verpalai
fils	siūlai
roi	karalius
roi	ig
parti	dingo
mise	lažybų
ancien	senovės
ancien	senas
ancien	vyresnysis
origine	kilmė
origine	kilme
château	pilis
château	pilies
château	fidi
école	mokykla
école	mokykla
école	mokyklos
carrière	karjera
carrière	karjeros
carrière	karjeras
carrière	karjerai
carrière	karjera
carrière	karjeros
part	akcija
part	dalintis
points	taškai
paul	paulius
rue	gatvė
rue	gatvės
chef	šefas
père	tėti
père	tėvas
durant	durant
rapport	ataskaita
canton	kantonas
compte	skaičiuoti
armée	karinė
armée	karinis
armée	karinės
armée	armijos
armée	kariuomenė
armée	armija
projet	projekto
projet	projektas
anglais	anglų
province	provincija
conseil	patarimų
conseil	patarimai
françois	pranciškus
françois	françois
maison	namas
cela	šio
cela	kad
demande	klausti
demande	paprašyti
fonction	funkcija
toujours	visada
toujours	dar
doit	turi
production	gamyba
production	gamybos
près	arti
près	netoli
meilleur	geresnė
meilleur	geresnis
meilleur	gerėja
meilleur	geriau
meilleur	geriausi
meilleur	geriausia
meilleur	aukščiausia
meilleur	geriausios
meilleur	geriausias
mois	mėnesiai
île	sala
île	islandija
île	islandijos
île	salos
score	balu
ensuite	tada
langue	kalbos
langue	kalba
dit	sako
elles	jie
argent	pinigų
argent	pinigai
argent	grynieji
style	stilius
style	styling
olympiques	žaidynėse
mondiale	pasaulyje
ensemble	ansamblis
théâtre	teatras
théâtre	teatro
théâtre	teatre
théâtre	teatras
théâtre	teatro
théâtre	teatre
musée	muziejus
musée	muziejų
nombreux	daug
création	kūryba
création	laikinojo
stade	stade
stade	estadio
stade	stadionas
tard	vėlai
roman	romos
hui	hujų
hui	šiandienos
hui	šiandien
édition	leidyba
édition	leidybos
historique	istorinis
historique	istorinė
historique	istoriniai
historique	istorinis
historique	istorinė
historique	istorijos
historique	istorija
sera	bus
âge	amžiaus
âge	amžius
champion	čempione
champion	čempionas
espèce	rūšis
espèce	rūšių
espèce	rūšys
modèle	modelis
travail	darbas
femme	moterys
femme	moteris
femme	moteris
femme	patelės
femme	moterys
femme	moterų
femme	patelė
femme	žmona
cinq	cinq
déjà	jau
bas	bas
texte	tekstas
terre	terre
terre	dirvožemio
terre	dirvožemį
terre	dirvožemis
allemagne	vokietija
compétition	konkurencingas
compétition	konkurencinis
allemand	allemand
britannique	britanijos
britannique	britai
britannique	britų
porte	vartų
porte	vartai
porte	durys
porte	durų
hommes	vyrai
hommes	patinai
corps	kūno
corps	kūnas
corps	korpusas
demi	demi
siège	apgulties
siège	sėdynės
siège	sėdynė
nommé	paskirtas
route	maršrutas
route	greitkelis
route	kelias
route	kelių
route	kelio
finale	finale
finale	galutiniai
finale	galutinis
finale	galutinė
finale	finalas
finale	finalo
match	žaidimas
york	york
royaume	karalystę
long	ilgai
long	ilga
long	ilgas
études	tyrimai
association	asociacijos
association	asociacija
militaire	karinė
militaire	karinis
militaire	karinės
longitude	ilguma
longitude	ilgumos
bronze	bronza
livre	knygą
livre	knyga
livre	livre
américaine	amerikos
suisse	šveicarijos
suisse	šveicarija
canada	kanada
canada	kanadoje
canada	kanados
valign	valign
beaucoup	daug
beaucoup	daug
dire	pasakyti
seul	tik
fille	mergaite
fille	mergaitė
fille	mergina
fille	merga
fille	dukra
fille	dukrą
fille	duktė
buts	tikslai
buts	tikslų
enfants	vaikai
direction	direktoratas
pouvoir	galios
pouvoir	galia
but	tikslas
but	paskirtis
merci	dėkui
merci	ačiū
tête	galvos
construction	statyba
ancienne	senovės
ancienne	senas
maire	maire
personnalité	asmenybė
personnalité	asmenybės
ligue	lygos
ligue	lyga
simple	singles
chanson	dainas
chanson	dainos
chanson	dainų
chanson	daina
chanson	dainos
culture	kultūra
culture	kultūros
grâce	grace
sortie	išėjimo
empire	imperija
david	david
david	deividas
david	dovydas
équipes	komandos
équipes	komandas
mer	jūra
mer	jūros
espagne	ispanija
espagne	ispanijos
mère	mama
mère	mama
mère	motina
fichier	failas
nombreuses	daug
acteur	aktorė
acteur	aktorius
parcours	maršrutas
parcours	kelione
parcours	kelionė
classement	klasifikavimas
classement	klasifikacija
double	dvigubos
double	dvigubas
entraîneur	treneris
entraîneur	treneris
entraîneur	trenerio
web	interneto
web	žiniatinklio
arrondissement	borough
directeur	direktorius
joseph	joseph
ici	čia
ici	cia
vainqueur	laimėtojas
réalisé	realizuotas
existe	egzistuoti
devant	devant
écrit	parašiau
écrit	parašė
écrit	rašė
petite	petite
bois	medienos
bois	mediena
bois	gėrimas
bois	gerti
bois	mediena
entreprise	verslo
entreprise	įmonė
entreprise	verslas
entreprise	bendrovė
entreprise	įmonė
entreprise	bendrovės
entreprise	kompanija
retour	grįžimas
retour	grįžti
retour	grąžos
comté	apskritis
gare	stotis
gare	stoties
formation	mokymai
formation	mokymas
formation	mokymo
arts	meno
arts	menas
arts	menų
technique	techninių
technique	technika
révolution	revoliucijos
révolution	revoliucija
objet	tikslas
objet	paskirtis
mon	mon
philippe	philip
cinéma	filmai
cinéma	filmus
médaille	medaliu
serait	būtų
œuvres	kūriniams
œuvres	veikia
œuvres	kūriniai
œuvres	darbai
zone	zona
compagnie	bendrovė
compagnie	įmonė
compagnie	bendrovės
compagnie	kompanija
films	filmų
films	filmai
films	filmuose
films	filmai
films	filmus
parfois	kartais
parfois	kartais
parfois	retkarčiais
parc	parc
parc	park
parc	parkas
moyenne	vidutinės
mouvement	judėjimas
succès	sėkmė
succès	sėkmės
rivière	upės
rivière	upė
vidéo	video
moyen	vidutinės
bon	gerai
bon	geras
bon	puikiai
bon	gera
voix	balsai
voix	balsų
voix	balsų
rouge	raudona
rouge	rouge
district	rajonas
seulement	tik
pont	pont
pont	tilto
pont	tiltas
libre	libre
air	oro
air	oras
sein	krūtų
sein	krūties
milieu	vidurys
milieu	artimųjų
milieu	vidutinės
milieu	saugas
festival	festivalis
festival	festivalio
grands	didelių
grands	dideli
grands	didelis
georges	georges
blanc	tuščia
blanc	tuščias
gauche	paliko
travaux	darbas
travaux	kūriniams
travaux	veikia
travaux	kūriniai
travaux	darbai
passe	praeina
diffusion	transliavimas
diffusion	transliavimo
diffusion	sklaidos
aide	pagalbos
aide	pagalba
action	veiksmas
andré	andre
andré	endriu
font	šriftas
font	šrifto
réseau	tinklų
femmes	patelių
femmes	patelės
femmes	moteris
femmes	patelės
femmes	moterys
femmes	moterų
femmes	patelė
femmes	moterys
aurait	būtų
belge	belge
espèces	rūšis
espèces	rūšių
espèces	rūšys
angleterre	anglija
angleterre	anglijos
angleterre	england
monuments	paminklų
sens	sens
personne	niekas
municipalité	savivaldybė
frère	broli
frère	brolis
matchs	atitinka
japon	japonija
japon	japonijos
publié	išleistas
publié	nustačiusi
domaine	laukas
eux	jais
eux	jas
eux	joms
eux	jiems
eux	jomis
eux	juos
eux	jie
professeur	profesorius
professeur	mokytoja
quartier	kaimynystės
scientifique	mokslas
scientifique	mokslo
scientifique	mokslininkas
honneur	garbės
honneur	garbė
honneur	garbės
honneur	garbė
seule	tik
rien	nieko
administration	administravimas
comte	skaičiuoti
fort	stiprūs
fort	tvirtas
fort	stipri
fort	stiprus
hockey	ritulio
journal	tvarkaraštį
journal	dienoraštis
possible	įmanoma
dix	dix
taille	juosmens
sport	sportui
sport	sporto
sport	sportas
croix	esančiuose
croix	kerta
croix	croix
élections	rinkimai
élections	rinkimai
élections	rinkimų
enfin	pagaliau
millions	milijonus
millions	milijonų
millions	milijonai
noir	tamsus
noir	tamsi
noir	tamsiai
noir	noir
noir	juodai
noir	juodas
noir	juodi
noir	juoda
agglomération	aglomeracijos
moment	akimirką
moment	momentas
moment	akimirka
chapelle	koplyčia
russe	russe
manière	būdu
manière	būdas
réalisateur	direktorius
monument	paminklas
sciences	mokslas
sciences	mokslo
sciences	mokslai
radio	radijas
radio	radijo
classe	klasėje
classe	klasės
classe	klasė
lieux	vietose
lieux	vietovės
lieux	vieta
espace	kosmosas
villes	miestai
fer	geležies
fer	geležis
organisation	įstaiga
organisation	organizacija
participe	dalyvauja
institut	institutas
james	james
james	džeimsas
cadre	kraštas
lac	ežeras
lac	lac
affaires	verslo
affaires	įmonė
affaires	verslas
télévision	televizijos
télévision	televizija
duc	kunigaikštis
précédent	precedentas
précédent	ankstesnė
précédent	ankstesnis
précédent	ankstesnių
cour	kieme
richard	ričardas
adresse	adresas
ball	balius
ball	kamuolys
finalement	galiausiai
finalement	pagaliau
bonne	gerai
bonne	geras
bonne	puikiai
bonne	gera
nature	pobūdžio
nature	gamta
nature	prigimtis
grandes	didelių
grandes	dideli
grandes	didelis
grandes	grandes
vol	skrydžio
vol	skrydis
vol	vagystės
port	uosto
port	harbour
donné	dovanojo
discussion	diskusijos
discussion	aptarimas
discussion	diskusija
dame	ledi
dame	dama
dame	damos
épouse	sutuoktinis
épouse	žmona
historiques	istorinis
historiques	istorinė
historiques	istoriniai
historiques	istorinis
historiques	istorinė
axe	kirvis
axe	ašis
axe	ašies
mesure	matavimo
mesure	matavimas
mesure	matavimo
mesure	matavimas
mesure	matavimai
force	force
pologne	pologne
couleur	spalva
couleur	spalvos
couleur	spalvų
couleur	spalva
actrice	aktorė
élu	išrinkti
élu	išrinktas
élu	išrinkta
régiment	pulkas
régiment	pulką
station	stotis
station	stoties
loire	loire
bande	juostos
bande	gaujos
bande	gauja
capitale	kapitalas
capitale	kapitalo
côte	šonkaulių
façon	būdu
façon	būdas
combat	kovoti
footballeur	futbolininkas
forces	stiprybes
forces	pajėgos
russie	russie
nicolas	nicolas
nicolas	nikolai
mètres	metrų
mètres	metrai
mètres	metrų
presse	spaudos
académie	akademija
construit	statybų
tournoi	turnyras
tournoi	turnyro
épisodes	epizodai
revue	lapą
revue	žurnalas
revue	peržiūra
jeunes	jaunimo
jeunes	jaunimas
présence	dalyvavimą
présence	dalyvavimas
présence	buvimas
course	lenktynių
ceinture	diržai
ceinture	diržo
ceinture	diržas
meilleure	geresnė
meilleure	geresnis
meilleure	gerėja
meilleure	geriau
meilleure	geriausi
meilleure	geriausia
meilleure	aukščiausia
meilleure	geriausios
meilleure	geriausias
maître	kapitonas
intérieur	viduje
intérieur	interjero
olympique	olympique
bernard	bernard
langues	kalbos
langues	kalbos
langues	kalba
propre	švarus
propre	švari
patrimoine	paveldo
patrimoine	paveldas
com	com
évolution	evoliucija
tours	bokštai
tours	keliones
compositeur	kompozitorius
joueurs	žaidėjai
joueurs	žaidėjų
joueurs	žaidėjas
amérique	amerikoje
amérique	amerika
amérique	amerikos
amérique	americas
mal	blogai
mal	bloga
mal	blogas
mal	blogi
mal	blogis
mal	blogio
rock	akmuo
rock	rokas
rock	rock
abbaye	abi
bretagne	bretagne
bretagne	bretanės
clubs	klubai
générale	bendri
générale	bendra
générale	bendrieji
vitesse	greitis
vitesse	greitis
vitesse	greičio
chemin	kelias
chemin	kelių
chemin	kelio
réalisation	realizavimo
statut	būsena
statut	statusą
statut	būklė
statut	būsenos
éléments	elementai
salle	kambarys
valeur	vertė
palais	palais
palais	pilies
composé	junginys
court	trumpa
court	trumpi
court	trumpai
court	trumpas
vallée	slėnis
anciens	senovės
anciens	senas
anciens	alumni
rugby	regbio
cité	kotiruojamos
basse	žemi
pro	pro
nationalité	pilietiškumas
chambre	kambarys
proche	uždaryti
proche	glaudžiai
proche	užverti
proche	arti
proche	netoli
mot	žodžiai
main	ranka
assemblée	susirinkimas
assemblée	mazgas
assemblée	surinkimo
populaire	dažniausi
critique	kritika
critique	kritikos
critique	kritiką
critique	kritikas
critique	esminė
publication	leidyba
publication	leidybos
dieu	dievas
japonais	japonijos
japonais	japonų
australie	australija
catholique	katalikų
accord	styga
campagne	kampanija
campagne	kampanijos
rapidement	greitas
rapidement	greita
rapidement	greitai
rapidement	greitas
rapidement	greita
rapidement	greiti
rapidement	greitai
rapidement	greit
rapidement	greitai
traduction	vertimai
traduction	vertimo
traduction	vertimas
anne	anne
anne	ann
départ	išvykimas
départ	išvykimo
montréal	toronto
bgcolor	bgcolor
coup	smūgis
coup	kadras
enfant	vaikas
enfant	vaikui
enfant	vaikai
information	informacija
mieux	geresnė
mieux	geresnis
mieux	gerėja
mieux	geriau
maurice	maurice
défense	gynyba
défense	gynybos
défense	gynyba
défense	gynybos
vice	vice
contrôle	kontrolė
noms	vardai
internet	interneto
internet	internetas
hiver	žiemos
hiver	žiemą
hiver	ziema
hiver	žiema
troupes	kariai
antoine	antanas
antoine	antonijus
antoine	antoine
daniel	daniel
cœur	širdy
cœur	širdies
cœur	širdis
cœur	branduolys
cœur	širdys
pris	pagavo
marine	jūrų
marine	jūrinė
juste	tik
juste	tiesiog
fondé	įkurta
seine	seine
amour	myliu
amour	meile
amour	meilės
amour	meilė
mont	mont
science	mokslas
science	mokslo
bonjour	hello
bonjour	sveiki
marc	marc
altitude	aukštis
économique	ekonomiškas
unité	vienybės
unité	vienybė
lignes	eilutės
lignes	eilutės
lignes	linijos
montre	saugok
montre	prižiūrėti
idée	idėja
idée	mintis
attaque	ataka
sol	dirvožemio
sol	dirvožemį
sol	dirvožemis
sol	sol
sol	grindys
sol	grindų
chaîne	grandinės
chaîne	grandinė
chaîne	griežtas
fondée	įkurta
reçoit	gauna
espagnol	ispanų
espagnol	ispaniškai
espagnol	ispanijos
producteur	gamintojas
artiste	atlikėjas
composition	sudėtis
garde	globos
votre	tavo
votre	savo
votre	jūsų
sécurité	saugos
sécurité	sauga
fédération	federacija
fédération	federacijos
junior	junior
junior	jaunesnysis
police	šriftas
police	šrifto
police	policija
police	policijos
comédie	komedija
empereur	imperatorius
infanterie	infanterie
infanterie	pėstininkų
rejoint	prisijungė
chevalier	žirgas
chevalier	riteris
chevalier	chevalier
armes	ginklų
armes	rankos
armes	ginklai
armes	ginklas
armes	ginklai
armes	ginklus
armes	ginklų
armes	ginklai
livres	knygos
personnalités	asmenybės
unique	unikali
unique	unikalus
capitaine	kapitonas
large	platus
large	platus
large	plati
guillaume	guillaume
tel	tel
demandé	paprašė
classique	klasikinio
classique	klasikinis
fit	tinka
mandat	įgaliojimai
mandat	mandatas
berlin	berlynas
isbn	isbn
architecture	architektūra
astéroïde	asteroidas
transport	transportas
rené	rené
alexandre	alexandre
alexandre	aleksandras
alexandre	aleksandro
alexandre	alexander
oui	aha
oui	taip
oui	aha
oui	taip
pièce	monetos
pièce	moneta
pièce	monetų
conseiller	patarėjas
conseiller	patarėja
conseiller	konsultantas
terrain	vietovės
comprend	supranta
tennis	teniso
donner	paaukoti
donner	padovanoti
chose	daiktas
chose	dalykas
pièces	monetos
fonctions	funkcija
fonctions	ypatumai
fonctions	savybės
fonctions	pareigas
informations	informacija
marché	rinka
alpes	alpės
sites	svetainių
basket	krepšelį
basket	krepšys
basket	krepšinio
économie	ekonomika
économie	ekonomika
longueur	ilguma
longueur	ilgis
légende	antraštė
pense	manau
arrivée	atvykimas
élection	rinkimai
élection	rinkimų
protection	apsauga
protection	apsaugos
bibliothèque	bibliotekų
bibliothèque	bibliotekos
bibliothèque	biblioteka
influence	įtaka
énergie	energija
énergie	energetika
fiction	fantastika
laurent	laurence
laurent	david
laurent	deividas
laurent	dovydas
kilomètres	kilometrai
kilomètres	km
kilomètres	kilometrai
kilomètres	kilometrų
jeunesse	jaunimo
jeunesse	jaunimas
enseignement	mokymo
enseignement	mokymas
enseignement	švietimas
enseignement	išsilavinimas
seigneur	viešpatie
exposition	parodos
exposition	paroda
poids	svarstyklės
poids	svoriai
poids	svoris
santé	cheers
santé	sveikata
heure	valanda
heure	laiko
heure	laikas
feu	ugnies
feu	gaisro
feu	gaisras
feu	ugnis
profession	profesija
profession	užsiėmimas
voyage	kelionėms
voyage	kelionei
voyage	kelione
voyage	kelionės
voyage	kelionė
voyage	kelione
voyage	kelionė
voyage	kelione
voyage	kelionė
localité	vietovė
localité	vietovėje
régime	dieta
régime	dietos
régime	mityba
régime	mitybos
black	juodai
black	juodas
black	juodi
black	juoda
couleurs	spalva
couleurs	spalvos
couleurs	spalvų
couleurs	spalva
couleurs	spalvos
couleurs	dažai
couleurs	dažikliai
couleurs	spalvų
comment	kaip
nations	tautos
orchestre	orkestras
concours	varžybose
concours	varžybų
moderne	moderni
longue	ilgai
longue	ilga
longue	ilgas
termine	baigti
termine	užbaigti
journaliste	žurnalistai
journaliste	žurnalistas
record	rekordas
célèbre	žymi
doivent	turi
musical	muzikos
mariage	santuokos
mariage	santuoka
mariage	vestuvės
mariage	vestuves
devenir	tapti
devenir	tampa
architecte	architektas
architecte	architektai
architecte	architektų
artistes	atlikėjas
artistes	atlikėjai
artistes	menininkai
constitution	konstitucija
presque	beveik
esprit	esprit
esprit	protas
esprit	dvasios
esprit	dvasia
suivi	sekimo
suivi	sekimas
suivi	stebėjimas
suivi	stebėsena
suivi	stebėsenos
ouverture	viešumas
ouverture	atvirumas
ouverture	atvirumą
ouverture	atvirumo
ouverture	atverti
désormais	dabar
alain	alain
alain	david
alain	deividas
alain	dovydas
élève	mokinių
élève	mokinys
séries	serija
séries	serijos
galerie	galerija
galerie	galerijoje
découvert	atrado
découvert	aptikta
zip	zip
étudiant	studentų
étudiant	studentė
étudiant	studentas
techniques	techninių
théorie	teorijos
théorie	teorija
doute	abejonės
doute	abejonės
doute	abejonių
ait	ait
ami	ami
ami	draugė
ami	draugo
ami	drauge
ami	draugas
super	puikiai
super	puiku
super	puiki
super	super
super	nuostabios
super	nuostabu
super	nuostabūs
super	nuostabus
arrive	atvyksta
éducation	švietimas
éducation	išsilavinimas
magazine	lapą
magazine	žurnalas
don	donorystės
don	paaukoti
don	padovanoti
don	don
morts	miręs
camp	stovyklos
camp	stovykla
considéré	laikoma
probablement	tikriausiai
probablement	greičiausiai
saisons	sezonas
temple	šventyklą
forêt	miškais
forêt	miškai
forêt	miškas
importance	svarbą
maintenant	dabar
forte	forte
forte	stiprūs
forte	tvirtas
forte	stipri
forte	stiprus
conflit	konfliktų
conflit	konfliktas
conflit	ginčas
conflit	ginčai
meurt	miršta
docteur	gydytojo
docteur	gydytojas
gouverneur	reguliatorius
gouverneur	gubernatorius
artistique	meno
loin	šalin
collège	collège
collège	koledžas
collège	kolegijos
collège	kolegija
collège	koledžo
bassin	baseinas
victoires	pergalių
bureau	tarnyba
bureau	biuro
bureau	biuras
bureau	darbastalio
féminin	moteris
féminin	patelės
féminin	moterys
féminin	moterų
féminin	patelė
féminin	moterys
romain	romos
professionnel	profesinės
professionnel	profesionalus
marseille	marselio
arbitre	arbitražo
arbitre	teisėjas
appel	skundas
appel	vadina
you	tu
chanteur	dainininkė
neuf	devyni
photographie	nuotrauka
photographie	photography
photographie	fotografijos
photographie	fotografija
victor	viktoras
bord	bord
distribution	platinimas
distribution	paskirstymo
distribution	paskirstymas
distribution	pasiskirstymas
entreprises	verslo
entreprises	įmonė
entreprises	verslas
entreprises	bendrovės
entreprises	įmonėse
entreprises	bendrovių
lumière	žiburiai
lumière	šviesos
frères	brolių
frères	brothers
frères	broliai
automobile	automobilių
automobile	automobiliai
automobile	automobilių
soviétique	sovietų
soviétique	tsrs
textes	tekstas
textes	tekstai
royale	royale
pilote	vairuotojo
pilote	mašinistas
pilote	vairuotojas
josé	josé
studio	studijoje
studio	studija
studio	studio
studio	studijos
réponse	atsakymas
réponse	atsakyti
réponse	atsakymas
réponse	atsakyti
réponse	atsakymai
réponse	atsakymą
reine	karaliene
reine	karalienė
reine	queen
physique	fizikos
physique	fizika
chansons	dainas
chansons	dainos
chansons	dainų
étienne	stephen
étienne	étienne
californie	kalifornija
californie	kalifornijoje
californie	kalifornijos
militaires	karinė
militaires	karinis
militaires	karinės
pape	pape
pape	popiežius
quoi	kas
quoi	ko
quoi	kokie
parle	kalbėti
parle	kalbėk
parle	kalbėti
ouvrages	knygos
denis	deni
man	vyru
man	vyras
man	žmogus
opération	eksploatavimas
opération	veikimas
opération	operacija
paix	taikos
paix	taikai
paix	fredas
paix	taika
vieux	senas
propriétaire	savininkas
faible	silpnas
cathédrale	katedra
cathédrale	katedros
participation	dalyvavimą
participation	dalyvavimas
participation	dalyvavimas
puissance	galios
puissance	galia
final	galutiniai
final	galutinis
final	galutinė
final	finalas
simon	saimonas
simon	simonas
endémique	endeminių
formule	formulę
formule	formulės
formule	formulė
sœur	sis
sœur	sesuo
sœur	sese
sœur	sesė
opéra	opera
reçu	gautas
reçu	čekis
piano	pianino
gros	didelės
gros	dideli
gros	didysis
gros	didelis
gros	storas
gros	riebalų
gros	riebalai
gros	didmeninės
montagne	kalnų
montagne	kalnas
montagne	kalnai
montagne	kalnuose
découverte	atradimas
front	kaktą
front	kaktos
circonscription	kvadratas
poète	poetas
champ	laukas
champ	čempione
val	val
religieux	religinių
archives	archyvas
archives	archyvai
vote	balsai
vote	balsų
romaine	romaninės
romaine	romos
blanche	blanche
angeles	miesta
belle	graži
belle	gražu
belle	belle
belle	gražios
belle	miela
aire	aire
continue	nuolat
continue	tęsti
chant	daina
chant	dainos
chant	vokalinių
chant	dainuoja
mondial	pasaulyje
longtemps	ilgai
longtemps	ilga
longtemps	ilgas
congrès	kongresas
congrès	kongresų
chinois	kinų
chinois	kinijos
chinois	kinas
frédéric	friedrich
frédéric	frédéric
frédéric	frederic
allemands	vokiečiai
sportif	sportui
sportif	sporto
sportif	sportas
amis	draugus
amis	draugų
amis	draugės
amis	draugai
amis	draugė
amis	draugo
amis	drauge
amis	draugas
lnh	nhl
toulouse	tulūzos
peinture	dažai
peinture	dažų
peinture	dažymas
légion	legionas
inclinaison	pokrypis
guitare	gitara
star	žvaigždės
star	žvaigždė
star	star
fête	festivalis
fête	festivalio
fête	šventė
photo	nuotraukos
photo	foto
photo	nuotrauka
canal	kanalas
jouer	žaisti
jouer	groti
jouer	žaidžia
jules	jules
jules	julius
précédente	ankstesnė
précédente	ankstesnis
précédente	ankstesnių
polonais	lenkai
analyse	analizė
noire	nuaras
noire	juodai
noire	juodas
noire	juodi
noire	juoda
frontière	pasienio
max	daugiausiai
américains	amerikos
américains	amerikiečiai
existence	buvimas
indépendance	nepriklausomybės
indépendance	nepriklausomybė
indépendance	nepriklausomumas
indépendance	savarankiškumas
eaux	vandenyse
eaux	vandenis
eaux	vandenys
love	myliu
love	meile
love	meilės
love	meilė
uniquement	tik
résistance	atsparumo
résistance	atsparumą
résistance	atsparumas
bleu	bleu
asie	azija
excentricité	ekscentricitetas
guy	vyrukas
guy	vaikinas
objets	objektų
border	pasienio
faits	faktai
construite	statybų
licence	licencijos
licence	licencija
juifs	žydų
juifs	žydai
médecin	gydytojo
médecin	gydytojas
médecin	gydytojo
médecin	gydytojas
écrire	rašyti
écrire	rašant
lance	ietis
fonds	fondas
fonds	fondo
besoin	reikėjo
besoin	reikia
fondateur	įkūrėjas
grec	graikų
bordeaux	bordo
soldats	kareiviai
soldats	kariai
chicago	čikagos
publie	publikuoti
publie	paskelbia
successeur	įpėdinis
cimetière	cimetière
cimetière	kapinės
cimetière	graveyard
formé	apmokyti
éviter	išvengti
éviter	vengimo
réserve	rezervacija
réserve	atsargų
réserve	rezervai
défaite	nugalėti
ceci	šio
épreuve	bandymo
épreuve	bandomoji
épreuve	bandymas
voies	juostomis
sert	tarnauja
encyclopédie	encyclopédie
encyclopédie	enciklopedija
résumé	abstraktus
lutte	imtynių
lutte	kova
tournée	kelionių
tournée	ekskursija
tournée	kelione
tournée	ekskursijų
disque	diskai
disque	diskas
disque	disko
philosophie	filosofijos
philosophie	filosofija
hôpital	ligoninė
hôpital	ligoninės
hôpital	nebuvimą
hôpital	ligoninės
propriété	savybė
propriété	turtas
propriété	nuosavybė
cycliste	dviratininkas
ouvert	atverti
parler	kalbėti
parler	kalbėk
parler	kalbėti
astéroïdes	asteroidas
nécessaire	reikėjo
nécessaire	būtinas
tom	tomas
tom	tom
champions	čempionai
modèles	modelių
modèles	modeliai
meilleurs	geresnė
meilleurs	geresnis
meilleurs	gerėja
meilleurs	geriau
meilleurs	geriausi
meilleurs	geriausia
meilleurs	aukščiausia
meilleurs	geriausios
meilleurs	geriausias
animaux	augintiniai
animaux	gyvūnai
animaux	gyvuliai
animaux	gyvūnų
cheval	arklių
cheval	arkliai
cheval	arklius
cheval	žirgas
cheval	arklys
cheval	arkliai
cheval	arklio
débuts	debiutas
milan	milanas
milan	milano
rive	kranto
rive	krantas
animation	animacija
raymond	raimondas
méthode	metodologija
méthode	metodika
méthode	metodas
commun	bendras
commun	dažni
jardin	sode
jardin	sodas
min	min
avion	orlaivis
avion	orlaiviai
avion	lėktuvas
avion	lėktuvas
avion	plokštumos
avion	lėktuve
avion	lėktuvas
avion	lėktuvą
avion	lėktuvas
paroisse	parapija
internes	vidaus
mots	žodžiai
vert	žalia
personnel	asmeninis
frank	frank
frank	frenkas
historien	istorikas
inde	inde
inde	indija
inde	indijos
navire	laivas
navire	indas
baptiste	baptiste
baptiste	baptistų
étudiants	studentų
étudiants	studentė
étudiants	studentas
maisons	namai
manque	trūksta
